7. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО УРОВНЮ ОБРАЗОВАНИЯ 												
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО  ПРОЖИВАНИЯ КМН												
												
	Численность населения соответству-ющей националь-ности в возрасте 15 лет и более	в том числе  имеют образование								Не имеют
Городское население	198.0	1.0	45.0	6.0	51.0	20.0	41.0	22.0	9.0	1.0	1.0	2.0
Сельское население	470.0	-	15.0	8.0	69.0	76.0	81.0	177.0	41.0	3.0	1.0	-
Магаданская область												
Городское и сельское население	33.0	-	7.0	-	5.0	5.0	8.0	8.0	-	-	-	-
Городское население	30.0	-	7.0	-	5.0	4.0	6.0	8.0	-	-	-	-
Сельское население	3.0	-	-	-	-	1.0	2.0	-	-	-	-	-
ЧУКЧИ												
Территории преимущественного проживания КМН												
Городское и сельское население	9588.0	2.0	345.0	72.0	1453.0	1085.0	2506.0	2963.0	888.0	235.0	175.0	39.0
Городское население	1706.0	1.0	155.0	19.0	328.0	202.0	464.0	420.0	88.0	17.0	11.0	12.0
Сельское население	7882.0	1.0	190.0	53.0	1125.0	883.0	2042.0	2543.0	800.0	218.0	164.0	27.0
Чукотский автономный округ												
Городское и сельское население	8586.0	1.0	306.0	61.0	1298.0	1039.0	2178.0	2651.0	811.0	202.0	148.0	39.0
Городское население	1657.0	1.0	148.0	18.0	318.0	199.0	454.0	404.0	86.0	17.0	11.0	12.0
Сельское население	6929.0	-	158.0	43.0	980.0	840.0	1724.0	2247.0	725.0	185.0	137.0	27.0
Корякский автономный округ												
Городское и сельское население	1002.0	1.0	39.0	11.0	155.0	46.0	328.0	312.0	77.0	33.0	27.0	-
Городское население	49.0	-	7.0	1.0	10.0	3.0	10.0	16.0	2.0	-	-	-
Сельское население	953.0	1.0	32.0	10.0	145.0	43.0	318.0	296.0	75.0	33.0	27.0	-
ЧУЛЫМЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	516.0	-	6.0	3.0	57.0	143.0	40.0	137.0	106.0	24.0	8.0	-
Городское население	40.0	-	2.0	1.0	14.0	7.0	6.0	5.0	5.0	-	-	-
Сельское население	476.0	-	4.0	2.0	43.0	136.0	34.0	132.0	101.0	24.0	8.0	-
Томская область												
Городское и сельское население	387.0	-	5.0	2.0	46.0	107.0	31.0	112.0	66.0	18.0	6.0	-
Городское население	30.0	-	2.0	-	10.0	6.0	2.0	5.0	5.0	-	-	-
Сельское население	357.0	-	3.0	2.0	36.0	101.0	29.0	107.0	61.0	18.0	6.0	-
Красноярский край												
Городское и сельское население	129.0	-	1.0	1.0	11.0	36.0	9.0	25.0	40.0	6.0	2.0	-
Городское население	10.0	-	-	1.0	4.0	1.0	4.0	-	-	-	-	-
Сельское население	119.0	-	1.0	-	7.0	35.0	5.0	25.0	40.0	6.0	2.0	-
ШАПСУГИ												
Краснодарский край												
Городское и сельское население	2596.0	2.0	398.0	80.0	551.0	260.0	740.0	343.0	205.0	17.0	15.0	-
Городское население	662.0	1.0	147.0	33.0	200.0	54.0	116.0	75.0	35.0	1.0	1.0	-
Сельское население	1934.0	1.0	251.0	47.0	351.0	206.0	624.0	268.0	170.0	16.0	14.0	-
ШОРЦЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	10110.0	6.0	513.0	117.0	1963.0	2166.0	1809.0	1975.0	1300.0	260.0	161.0	1.0
Городское население	7286.0	6.0	439.0	107.0	1724.0	1541.0	1350.0	1253.0	742.0	123.0	73.0	1.0
Сельское население	2824.0	-	74.0	10.0	239.0	625.0	459.0	722.0	558.0	137.0	88.0	-
Кемеровская область 												
Городское и сельское население	9143.0	5.0	480.0	111.0	1777.0	2026.0	1606.0	1737.0	1169.0	231.0	140.0	1.0
Городское население	6835.0	5.0	412.0	103.0	1608.0	1490.0	1232.0	1162.0	703.0	119.0	71.0	1.0
Сельское население	2308.0	-	68.0	8.0	169.0	536.0	374.0	575.0	466.0	112.0	69.0	-
Республика Хакасия												
Городское и сельское население	855.0	1.0	26.0	4.0	165.0	120.0	186.0	216.0	117.0	20.0	15.0	-
Городское население	434.0	1.0	21.0	4.0	114.0	49.0	113.0	90.0	38.0	4.0	2.0	-
Сельское население	421.0	-	5.0	-	51.0	71.0	73.0	126.0	79.0	16.0	13.0	-
Республика Алтай												
Городское и сельское население	112.0	-	7.0	2.0	21.0	20.0	17.0	22.0	14.0	9.0	6.0	-
Городское население	17.0	-	6.0	-	2.0	2.0	5.0	1.0	1.0	-	-	-
Сельское население	95.0	-	1.0	2.0	19.0	18.0	12.0	21.0	13.0	9.0	6.0	-
ЭВЕНКИ												
Территории преимущественного проживания КМН												
Городское и сельское население	24017.0	19.0	1863.0	532.0	4697.0	2234.0	6346.0	5914.0	2069.0	329.0	230.0	14.0
Городское население	6022.0	15.0	969.0	272.0	1433.0	540.0	1640.0	882.0	214.0	54.0	42.0	3.0
Сельское население	17995.0	4.0	894.0	260.0	3264.0	1694.0	4706.0	5032.0	1855.0	275.0	188.0	11.0
Республика Саха (Якутия)												
Городское и сельское население	12487.0	15.0	1080.0	332.0	2791.0	1213.0	3766.0	2268.0	859.0	154.0	102.0	9.0
Городское население	3196.0	12.0	531.0	173.0	767.0	252.0	962.0	379.0	95.0	23.0	19.0	2.0
Сельское население	9291.0	3.0	549.0	159.0	2024.0	961.0	2804.0	1889.0	764.0	131.0	83.0	7.0
Красноярский край												
Городское и сельское население	3150.0	3.0	250.0	57.0	562.0	195.0	733.0	950.0	353.0	47.0	36.0	-
Городское население	1008.0	3.0	167.0	29.0	242.0	77.0	236.0	207.0	42.0	5.0	5.0	-
Сельское население	2142.0	-	83.0	28.0	320.0	118.0	497.0	743.0	311.0	42.0	31.0	-
Эвенкийский автономный округ												
Городское и сельское население	2513.0	-	170.0	46.0	473.0	152.0	578.0	814.0	248.0	32.0	24.0	-
Городское население	704.0	-	100.0	21.0	184.0	56.0	158.0	161.0	23.0	1.0	1.0	-
Сельское население	1809.0	-	70.0	25.0	289.0	96.0	420.0	653.0	225.0	31.0	23.0	-
Хабаровский край												
Городское и сельское население	3194.0	-	158.0	31.0	577.0	307.0	600.0	1191.0	302.0	28.0	23.0	-
Городское население	568.0	-	63.0	19.0	137.0	65.0	145.0	105.0	23.0	11.0	10.0	-
Сельское население	2626.0	-	95.0	12.0	440.0	242.0	455.0	1086.0	279.0	17.0	13.0	-
Республика Бурятия												
Городское и сельское население	1617.0	-	143.0	38.0	262.0	204.0	412.0	391.0	139.0	26.0	19.0	2.0
Городское население	501.0	-	85.0	22.0	105.0	60.0	121.0	84.0	19.0	5.0	3.0	-
Сельское население	1116.0	-	58.0	16.0	157.0	144.0	291.0	307.0	120.0	21.0	16.0	2.0
Амурская область												
Городское и сельское население	1083.0	-	60.0	24.0	132.0	101.0	297.0	357.0	92.0	18.0	9.0	2.0
Городское население	155.0	-	21.0	7.0	32.0	17.0	47.0	26.0	5.0	-	-	-
Сельское население	928.0	-	39.0	17.0	100.0	84.0	250.0	331.0	87.0	18.0	9.0	2.0
Читинская область												
Городское и сельское население	1066.0	1.0	56.0	14.0	140.0	86.0	244.0	338.0	161.0	26.0	22.0	-
Городское население	179.0	-	22.0	5.0	47.0	18.0	43.0	26.0	13.0	5.0	2.0	-
Сельское население	887.0	1.0	34.0	9.0	93.0	68.0	201.0	312.0	148.0	21.0	20.0	-
Иркутская область												
Городское и сельское население	1073.0	-	83.0	29.0	173.0	84.0	221.0	324.0	135.0	23.0	15.0	1.0
Городское население	296.0	-	53.0	14.0	78.0	33.0	58.0	41.0	14.0	4.0	3.0	1.0
Сельское население	777.0	-	30.0	15.0	95.0	51.0	163.0	283.0	121.0	19.0	12.0	-
Сахалинская область												
Городское и сельское население	181.0	-	20.0	4.0	34.0	27.0	33.0	56.0	7.0	-	-	-
Городское население	69.0	-	16.0	2.0	14.0	11.0	13.0	12.0	1.0	-	-	-
Сельское население	112.0	-	4.0	2.0	20.0	16.0	20.0	44.0	6.0	-	-	-
Томская область												
Городское и сельское население	83.0	-	3.0	2.0	10.0	10.0	21.0	21.0	12.0	4.0	1.0	-
Городское население	17.0	-	1.0	1.0	3.0	2.0	7.0	1.0	1.0	1.0	-	-
Сельское население	66.0	-	2.0	1.0	7.0	8.0	14.0	20.0	11.0	3.0	1.0	-
Тюменская область												
Городское и сельское население	83.0	-	10.0	1.0	16.0	7.0	19.0	18.0	9.0	3.0	3.0	-
Городское население	33.0	-	10.0	-	8.0	5.0	8.0	1.0	1.0	-	-	-
Сельское население	50.0	-	-	1.0	8.0	2.0	11.0	17.0	8.0	3.0	3.0	-
ЭВЕНЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	13001.0	17.0	938.0	331.0	2628.0	1271.0	3379.0	3071.0	1141.0	211.0	146.0	14.0
Городское население	4386.0	13.0	561.0	190.0	1073.0	409.0	1087.0	756.0	232.0	60.0	50.0	5.0
Сельское население	8615.0	4.0	377.0	141.0	1555.0	862.0	2292.0	2315.0	909.0	151.0	96.0	9.0
Республика Саха (Якутия)												
Городское и сельское население	8083.0	13.0	697.0	257.0	1742.0	719.0	2438.0	1494.0	596.0	120.0	84.0	7.0
Городское население	2712.0	10.0	419.0	147.0	682.0	212.0	752.0	333.0	121.0	34.0	26.0	2.0
Сельское население	5371.0	3.0	278.0	110.0	1060.0	507.0	1686.0	1161.0	475.0	86.0	58.0	5.0
Магаданская область 												
Городское и сельское население	1809.0	3.0	103.0	39.0	349.0	178.0	335.0	548.0	212.0	39.0	31.0	3.0
Городское население	1011.0	2.0	81.0	30.0	214.0	112.0	206.0	259.0	81.0	24.0	22.0	2.0
Сельское население	798.0	1.0	22.0	9.0	135.0	66.0	129.0	289.0	131.0	15.0	9.0	1.0
Камчатская область 												
Городское и сельское население	1227.0	1.0	69.0	20.0	244.0	116.0	300.0	338.0	124.0	13.0	8.0	2.0
Городское население	221.0	1.0	22.0	4.0	67.0	28.0	48.0	41.0	9.0	1.0	1.0	-
Сельское население	1006.0	-	47.0	16.0	177.0	88.0	252.0	297.0	115.0	12.0	7.0	2.0
Корякский автономный округ												
Городское и сельское население	526.0	1.0	28.0	9.0	111.0	33.0	141.0	149.0	47.0	7.0	4.0	-
Городское население	87.0	1.0	8.0	1.0	37.0	4.0	12.0	17.0	7.0	-	-	-
Сельское население	439.0	-	20.0	8.0	74.0	29.0	129.0	132.0	40.0	7.0	4.0	-
Чукотский автономный округ												
Городское и сельское население	968.0	-	38.0	3.0	151.0	134.0	172.0	368.0	83.0	18.0	8.0	1.0
Городское население	230.0	-	22.0	1.0	57.0	26.0	43.0	67.0	12.0	1.0	1.0	1.0
Сельское население	738.0	-	16.0	2.0	94.0	108.0	129.0	301.0	71.0	17.0	7.0	-
Хабаровский край												
Городское и сельское население	914.0	-	31.0	12.0	142.0	124.0	134.0	323.0	126.0	21.0	15.0	1.0
Городское население	212.0	-	17.0	8.0	53.0	31.0	38.0	56.0	9.0	-	-	-
Сельское население	702.0	-	14.0	4.0	89.0	93.0	96.0	267.0	117.0	21.0	15.0	1.0
ЭНЦЫ												
Таймырский (Долгано-Ненецкий) автономный округ												
Городское и сельское население	142.0	-	11.0	-	23.0	3.0	30.0	53.0	22.0	-	-	-
Городское население	20.0	-	9.0	-	4.0	2.0	3.0	2.0	-	-	-	-
Сельское население	122.0	-	2.0	-	19.0	1.0	27.0	51.0	22.0	-	-	-
ЭСКИМОСЫ												
Чукотский автономный округ												
Городское и сельское население	1083.0	-	46.0	11.0	194.0	186.0	279.0	289.0	69.0	1.0	-	8.0
Городское население	294.0	-	23.0	6.0	61.0	52.0	73.0	65.0	10.0	-	-	4.0
Сельское население	789.0	-	23.0	5.0	133.0	134.0	206.0	224.0	59.0	1.0	-	4.0
ЮКАГИРЫ												
Территории преимущественного проживания КМН												
Городское и сельское население	793.0	5.0	92.0	31.0	179.0	48.0	222.0	154.0	54.0	7.0	7.0	1.0
Городское население	357.0	4.0	72.0	17.0	88.0	24.0	95.0	40.0	13.0	3.0	3.0	1.0
Сельское население	436.0	1.0	20.0	14.0	91.0	24.0	127.0	114.0	41.0	4.0	4.0	-
Республика Саха (Якутия)												
Городское и сельское население	741.0	5.0	85.0	31.0	170.0	41.0	207.0	141.0	53.0	7.0	7.0	1.0
Городское население	313.0	4.0	65.0	17.0	79.0	18.0	83.0	30.0	13.0	3.0	3.0	1.0
Сельское население	428.0	1.0	20.0	14.0	91.0	23.0	124.0	111.0	40.0	4.0	4.0	-
Магаданская область												
Городское и сельское население	52.0	-	7.0	-	9.0	7.0	15.0	13.0	1.0	-	-	-
Городское население	44.0	-	7.0	-	9.0	6.0	12.0	10.0	-	-	-	-
Сельское население	8.0	-	-	-	-	1.0	3.0	3.0	1.0	-	-	-
