14. ЖЕНЩИНЫ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ПО ВОЗРАСТНЫМ												
ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС												
												
	Всего	из них									Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин, указавших число рожденных детей)
60 – 69	16.0	-	3.0	4.0	2.0	-	2.0	1.0	4.0	-	69.0	4313.0
70 и более	7.0	-	-	1.0	2.0	-	-	1.0	3.0	-	38.0	5429.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Сахалинская область												
Женщины в возрасте 15 лет и более	37.0	9.0	8.0	9.0	6.0	2.0	-	1.0	2.0	-	76.0	2054.0
в том числе в возрасте, лет:												
15 – 17	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	3.0	2.0	-	1.0	-	-	-	-	-	-	2.0	667.0
20 – 29	8.0	3.0	2.0	2.0	1.0	-	-	-	-	-	9.0	1125.0
30 – 39	4.0	1.0	2.0	1.0	-	-	-	-	-	-	4.0	1000.0
40 – 49	10.0	1.0	1.0	4.0	3.0	1.0	-	-	-	-	22.0	2200.0
50 – 59	6.0	-	2.0	1.0	2.0	-	-	1.0	-	-	16.0	2667.0
60 – 69	2.0	1.0	1.0	-	-	-	-	-	-	-	1.0	500.0
70 и более	3.0	-	-	-	-	1.0	-	-	2.0	-	22.0	7333.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
НГАНАСАНЫ												
Красноярский край												
Женщины в возрасте 15 лет и более	284.0	78.0	58.0	54.0	32.0	25.0	14.0	8.0	15.0	-	613.0	2158.0
в том числе в возрасте, лет:												
15 – 17	33.0	32.0	1.0	-	-	-	-	-	-	-	1.0	30.0
18 – 19	16.0	16.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	59.0	20.0	23.0	11.0	3.0	2.0	-	-	-	-	62.0	1051.0
30 – 39	65.0	5.0	16.0	21.0	11.0	6.0	2.0	3.0	1.0	-	152.0	2338.0
40 – 49	57.0	1.0	7.0	11.0	12.0	13.0	7.0	2.0	4.0	-	197.0	3456.0
50 – 59	37.0	3.0	7.0	11.0	5.0	2.0	3.0	1.0	5.0	-	116.0	3135.0
60 – 69	11.0	1.0	3.0	-	1.0	2.0	-	2.0	2.0	-	46.0	4182.0
70 и более	6.0	-	1.0	-	-	-	2.0	-	3.0	-	39.0	6500.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Таймырский (Долгано-Ненецкий) автономный округ												
Женщины в возрасте 15 лет и более	281.0	78.0	56.0	54.0	31.0	25.0	14.0	8.0	15.0	-	608.0	2164.0
в том числе в возрасте, лет:												
15 – 17	33.0	32.0	1.0	-	-	-	-	-	-	-	1.0	30.0
18 – 19	16.0	16.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	57.0	20.0	22.0	11.0	2.0	2.0	-	-	-	-	58.0	1018.0
30 – 39	65.0	5.0	16.0	21.0	11.0	6.0	2.0	3.0	1.0	-	152.0	2338.0
40 – 49	57.0	1.0	7.0	11.0	12.0	13.0	7.0	2.0	4.0	-	197.0	3456.0
50 – 59	36.0	3.0	6.0	11.0	5.0	2.0	3.0	1.0	5.0	-	115.0	3194.0
60 – 69	11.0	1.0	3.0	-	1.0	2.0	-	2.0	2.0	-	46.0	4182.0
70 и более	6.0	-	1.0	-	-	-	2.0	-	3.0	-	39.0	6500.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
НЕГИДАЛЬЦЫ												
Хабаровский край												
Женщины в возрасте 15 лет и более	169.0	31.0	34.0	39.0	31.0	16.0	6.0	3.0	7.0	2.0	369.0	2210.0
в том числе в возрасте, лет:												
15 – 17	10.0	9.0	-	-	-	-	-	-	-	1.0	-	0.0
18 – 19	10.0	6.0	4.0	-	-	-	-	-	-	-	4.0	400.0
20 – 29	28.0	7.0	10.0	7.0	4.0	-	-	-	-	-	36.0	1286.0
30 – 39	31.0	3.0	7.0	13.0	6.0	1.0	-	1.0	-	-	61.0	1968.0
40 – 49	39.0	2.0	7.0	12.0	13.0	5.0	-	-	-	-	90.0	2308.0
50 – 59	22.0	2.0	4.0	5.0	4.0	4.0	2.0	-	-	1.0	52.0	2476.0
60 – 69	15.0	1.0	2.0	-	3.0	3.0	2.0	1.0	3.0	-	61.0	4067.0
70 и более	14.0	1.0	-	2.0	1.0	3.0	2.0	1.0	4.0	-	65.0	4643.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
НЕНЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	12697.0	3337.0	1905.0	2018.0	1535.0	1088.0	718.0	526.0	1006.0	564.0	30260.0	2494.0
в том числе в возрасте, лет:												
15 – 17	1393.0	1194.0	39.0	-	-	-	-	-	-	160.0	39.0	32.0
18 – 19	723.0	552.0	112.0	13.0	-	-	-	-	-	46.0	138.0	204.0
20 – 29	2860.0	975.0	816.0	524.0	240.0	117.0	42.0	7.0	9.0	130.0	3392.0	1242.0
30 – 39	2800.0	235.0	435.0	695.0	560.0	370.0	204.0	125.0	112.0	64.0	7634.0	2790.0
40 – 49	2371.0	152.0	251.0	444.0	433.0	335.0	223.0	186.0	297.0	50.0	8525.0	3673.0
50 – 59	1080.0	114.0	118.0	169.0	136.0	125.0	113.0	83.0	198.0	24.0	4170.0	3949.0
60 – 69	871.0	71.0	83.0	111.0	101.0	83.0	77.0	79.0	216.0	50.0	3665.0	4464.0
70 и более	599.0	44.0	51.0	62.0	65.0	58.0	59.0	46.0	174.0	40.0	2697.0	4825.0
Женщины, не указавшие возраст	27.0	2.0	-	3.0	2.0	2.0	1.0	-	2.0	15.0	39.0	3250.0
Ямало-Ненецкий автономный округ												
Женщины в возрасте 15 лет и более	8384.0	2228.0	1168.0	1199.0	977.0	747.0	509.0	359.0	702.0	495.0	20198.0	2560.0
в том числе в возрасте, лет:												
15 – 17	972.0	802.0	28.0	-	-	-	-	-	-	142.0	28.0	34.0
18 – 19	494.0	368.0	75.0	9.0	-	-	-	-	-	42.0	93.0	206.0
20 – 29	1942.0	666.0	493.0	351.0	171.0	95.0	34.0	7.0	9.0	116.0	2388.0	1308.0
30 – 39	1812.0	144.0	257.0	393.0	358.0	258.0	166.0	94.0	91.0	51.0	5253.0	2983.0
40 – 49	1553.0	91.0	159.0	246.0	267.0	235.0	151.0	128.0	232.0	44.0	5881.0	3897.0
50 – 59	693.0	80.0	75.0	96.0	79.0	77.0	74.0	58.0	133.0	21.0	2715.0	4040.0
60 – 69	523.0	46.0	48.0	62.0	54.0	44.0	46.0	46.0	134.0	43.0	2184.0	4550.0
70 и более	395.0	31.0	33.0	42.0	48.0	38.0	38.0	26.0	103.0	36.0	1656.0	4613.0
Женщины, не указавшие возраст	26.0	2.0	-	3.0	2.0	2.0	1.0	-	2.0	14.0	39.0	3250.0
Архангельская область												
Ненецкий автономный округ 												
Женщины в возрасте 15 лет и более	2842.0	713.0	504.0	542.0	384.0	227.0	141.0	105.0	183.0	43.0	6533.0	2334.0
в том числе в возрасте, лет:												
15 – 17	248.0	233.0	5.0	-	-	-	-	-	-	10.0	5.0	21.0
18 – 19	128.0	104.0	19.0	3.0	-	-	-	-	-	2.0	25.0	198.0
20 – 29	586.0	204.0	214.0	103.0	41.0	11.0	3.0	-	-	10.0	602.0	1045.0
30 – 39	651.0	75.0	126.0	195.0	133.0	68.0	18.0	18.0	10.0	8.0	1459.0	2269.0
40 – 49	557.0	44.0	68.0	139.0	118.0	65.0	53.0	35.0	30.0	5.0	1680.0	3043.0
50 – 59	273.0	25.0	29.0	54.0	40.0	39.0	26.0	16.0	43.0	1.0	996.0	3662.0
60 – 69	252.0	17.0	29.0	34.0	41.0	31.0	25.0	20.0	51.0	4.0	1029.0	4149.0
70 и более	147.0	11.0	14.0	14.0	11.0	13.0	16.0	16.0	49.0	3.0	737.0	5118.0
Женщины, не указавшие возраст	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Таймырский (Долгано-Ненецкий) автономный округ												
Женщины в возрасте 15 лет и более	1051.0	316.0	161.0	164.0	114.0	86.0	52.0	48.0	107.0	3.0	2658.0	2536.0
в том числе в возрасте, лет:												
15 – 17	127.0	121.0	5.0	-	-	-	-	-	-	1.0	5.0	40.0
18 – 19	75.0	61.0	13.0	-	-	-	-	-	-	1.0	13.0	176.0
20 – 29	270.0	95.0	83.0	54.0	22.0	11.0	5.0	-	-	-	326.0	1207.0
30 – 39	230.0	13.0	34.0	58.0	44.0	40.0	19.0	11.0	11.0	-	698.0	3035.0
40 – 49	173.0	12.0	8.0	31.0	34.0	20.0	15.0	18.0	35.0	-	740.0	4277.0
50 – 59	80.0	7.0	10.0	10.0	10.0	7.0	7.0	7.0	21.0	1.0	356.0	4506.0
60 – 69	61.0	5.0	4.0	9.0	2.0	3.0	2.0	10.0	26.0	-	331.0	5426.0
70 и более	35.0	2.0	4.0	2.0	2.0	5.0	4.0	2.0	14.0	-	189.0	5400.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Ханты-Мансийский автономный округ – Югра 												
Женщины в возрасте 15 лет и более	395.0	77.0	71.0	106.0	55.0	25.0	15.0	11.0	13.0	22.0	799.0	2142.0
в том числе в возрасте, лет:												
15 – 17	46.0	38.0	1.0	-	-	-	-	-	-	7.0	1.0	26.0
18 – 19	25.0	18.0	5.0	1.0	-	-	-	-	-	1.0	7.0	292.0
20 – 29	61.0	10.0	26.0	15.0	6.0	-	-	-	-	4.0	74.0	1298.0
30 – 39	100.0	2.0	18.0	46.0	24.0	4.0	1.0	1.0	-	4.0	209.0	2177.0
40 – 49	80.0	5.0	15.0	26.0	11.0	14.0	4.0	4.0	-	1.0	200.0	2532.0
50 – 59	30.0	1.0	4.0	8.0	6.0	1.0	6.0	2.0	1.0	1.0	94.0	3241.0
60 – 69	31.0	3.0	2.0	6.0	4.0	4.0	3.0	2.0	4.0	3.0	99.0	3536.0
70 и более	22.0	-	-	4.0	4.0	2.0	1.0	2.0	8.0	1.0	115.0	5476.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Республика Коми												
Женщины в возрасте 15 лет и более	25.0	3.0	1.0	7.0	5.0	3.0	1.0	3.0	1.0	1.0	72.0	3000.0
в том числе в возрасте, лет:												
15 – 17	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
20 – 29	1.0	-	-	1.0	-	-	-	-	-	-	2.0	2000.0
30 – 39	7.0	1.0	-	3.0	1.0	-	-	1.0	-	1.0	15.0	2500.0
40 – 49	8.0	-	1.0	2.0	3.0	1.0	-	1.0	-	-	24.0	3000.0
50 – 59	4.0	1.0	-	1.0	1.0	1.0	-	-	-	-	9.0	2250.0
60 – 69	4.0	-	-	-	-	1.0	1.0	1.0	1.0	-	22.0	5500.0
70 и более	-	-	-	-	-	-	-	-	-	-	-	-
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
НИВХИ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	1499.0	333.0	333.0	341.0	205.0	113.0	69.0	39.0	33.0	33.0	2912.0	1986.0
в том числе в возрасте, лет:												
15 – 17	118.0	104.0	8.0	-	-	-	-	-	-	6.0	8.0	71.0
18 – 19	65.0	49.0	12.0	2.0	-	-	-	-	-	2.0	16.0	254.0
20 – 29	333.0	110.0	136.0	53.0	17.0	6.0	2.0	-	1.0	8.0	334.0	1028.0
30 – 39	321.0	32.0	76.0	106.0	62.0	25.0	6.0	7.0	3.0	4.0	668.0	2107.0
40 – 49	344.0	21.0	57.0	110.0	70.0	32.0	25.0	17.0	6.0	6.0	887.0	2624.0
50 – 59	178.0	12.0	26.0	50.0	31.0	25.0	16.0	4.0	12.0	2.0	516.0	2932.0
60 – 69	99.0	3.0	11.0	15.0	22.0	18.0	13.0	9.0	4.0	4.0	328.0	3453.0
70 и более	41.0	2.0	7.0	5.0	3.0	7.0	7.0	2.0	7.0	1.0	155.0	3875.0
Женщины, не указавшие возраст	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
Хабаровский край 												
Женщины в возрасте 15 лет и более	629.0	130.0	116.0	137.0	94.0	51.0	37.0	22.0	22.0	20.0	1358.0	2230.0
в том числе в возрасте, лет:												
15 – 17	50.0	44.0	2.0	-	-	-	-	-	-	4.0	2.0	43.0
18 – 19	25.0	17.0	6.0	1.0	-	-	-	-	-	1.0	8.0	333.0
20 – 29	143.0	48.0	50.0	25.0	9.0	5.0	1.0	-	-	5.0	152.0	1101.0
30 – 39	132.0	12.0	27.0	39.0	28.0	13.0	4.0	4.0	2.0	3.0	299.0	2318.0
40 – 49	153.0	6.0	17.0	45.0	33.0	13.0	16.0	13.0	5.0	5.0	452.0	3054.0
50 – 59	68.0	2.0	8.0	19.0	12.0	8.0	7.0	1.0	10.0	1.0	232.0	3463.0
60 – 69	38.0	1.0	3.0	5.0	11.0	8.0	4.0	3.0	2.0	1.0	131.0	3541.0
70 и более	20.0	-	3.0	3.0	1.0	4.0	5.0	1.0	3.0	-	82.0	4100.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Сахалинская область												
Женщины в возрасте 15 лет и более	870.0	203.0	217.0	204.0	111.0	62.0	32.0	17.0	11.0	13.0	1554.0	1813.0
в том числе в возрасте, лет:												
15 – 17	68.0	60.0	6.0	-	-	-	-	-	-	2.0	6.0	91.0
18 – 19	40.0	32.0	6.0	1.0	-	-	-	-	-	1.0	8.0	205.0
20 – 29	190.0	62.0	86.0	28.0	8.0	1.0	1.0	-	1.0	3.0	182.0	973.0
30 – 39	189.0	20.0	49.0	67.0	34.0	12.0	2.0	3.0	1.0	1.0	369.0	1963.0
40 – 49	191.0	15.0	40.0	65.0	37.0	19.0	9.0	4.0	1.0	1.0	435.0	2289.0
50 – 59	110.0	10.0	18.0	31.0	19.0	17.0	9.0	3.0	2.0	1.0	284.0	2606.0
60 – 69	61.0	2.0	8.0	10.0	11.0	10.0	9.0	6.0	2.0	3.0	197.0	3397.0
70 и более	21.0	2.0	4.0	2.0	2.0	3.0	2.0	1.0	4.0	1.0	73.0	3650.0
Женщины, не указавшие возраст	1.0	1.0	-	-	-	-	-	-	-	-	-	0.0
ОРОЧИ												
Хабаровский край												
Женщины в возрасте 15 лет и более	121.0	22.0	34.0	27.0	13.0	9.0	6.0	1.0	3.0	6.0	227.0	1974.0
в том числе в возрасте, лет:												
15 – 17	9.0	6.0	1.0	-	-	-	-	-	-	2.0	1.0	143.0
18 – 19	7.0	5.0	2.0	-	-	-	-	-	-	-	2.0	286.0
20 – 29	29.0	7.0	12.0	4.0	2.0	-	-	-	-	4.0	26.0	1040.0
30 – 39	22.0	-	8.0	9.0	3.0	1.0	1.0	-	-	-	44.0	2000.0
40 – 49	30.0	2.0	4.0	11.0	6.0	4.0	2.0	1.0	-	-	76.0	2533.0
50 – 59	11.0	-	3.0	3.0	-	1.0	2.0	-	2.0	-	41.0	3727.0
60 – 69	11.0	2.0	3.0	-	2.0	2.0	1.0	-	1.0	-	32.0	2909.0
70 и более	2.0	-	1.0	-	-	1.0	-	-	-	-	5.0	2500.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
СААМЫ												
Мурманская область												
Женщины в возрасте 15 лет и более	526.0	118.0	115.0	158.0	75.0	29.0	10.0	7.0	11.0	3.0	948.0	1813.0
в том числе в возрасте, лет:												
15 – 17	49.0	47.0	1.0	-	-	-	-	-	-	1.0	1.0	21.0
18 – 19	16.0	14.0	1.0	1.0	-	-	-	-	-	-	3.0	188.0
20 – 29	89.0	33.0	39.0	14.0	2.0	1.0	-	-	-	-	77.0	865.0
30 – 39	97.0	6.0	23.0	43.0	14.0	8.0	2.0	-	-	1.0	193.0	2010.0
40 – 49	125.0	8.0	27.0	58.0	27.0	2.0	-	-	2.0	1.0	246.0	1984.0
50 – 59	63.0	3.0	11.0	22.0	12.0	10.0	3.0	1.0	1.0	-	159.0	2524.0
60 – 69	45.0	5.0	7.0	15.0	11.0	4.0	1.0	2.0	-	-	103.0	2289.0
70 и более	42.0	2.0	6.0	5.0	9.0	4.0	4.0	4.0	8.0	-	166.0	3952.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
СЕЛЬКУПЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	1339.0	275.0	253.0	305.0	199.0	107.0	75.0	26.0	42.0	57.0	2759.0	2152.0
в том числе в возрасте, лет:												
15 – 17	105.0	92.0	2.0	1.0	-	-	-	-	-	10.0	4.0	42.0
18 – 19	66.0	41.0	18.0	-	-	-	-	-	-	7.0	18.0	305.0
20 – 29	327.0	104.0	126.0	60.0	15.0	5.0	2.0	1.0	-	14.0	327.0	1045.0
30 – 39	248.0	11.0	50.0	90.0	48.0	21.0	10.0	5.0	3.0	10.0	560.0	2353.0
40 – 49	296.0	8.0	21.0	89.0	80.0	39.0	27.0	9.0	15.0	8.0	902.0	3132.0
50 – 59	137.0	8.0	18.0	35.0	27.0	21.0	13.0	4.0	8.0	3.0	406.0	3030.0
60 – 69	99.0	6.0	8.0	24.0	15.0	11.0	13.0	5.0	13.0	4.0	349.0	3674.0
70 и более	61.0	5.0	10.0	6.0	14.0	10.0	10.0	2.0	3.0	1.0	193.0	3217.0
Женщины, не указавшие возраст	2.0	1.0	-	-	-	-	-	-	-	1.0	-	0.0
Тюменская область												
Женщины в возрасте 15 лет и более	654.0	163.0	137.0	138.0	71.0	46.0	27.0	10.0	26.0	36.0	1215.0	1966.0
в том числе в возрасте, лет:												
15 – 17	63.0	54.0	2.0	-	-	-	-	-	-	7.0	2.0	36.0
18 – 19	36.0	23.0	11.0	-	-	-	-	-	-	2.0	11.0	324.0
20 – 29	182.0	70.0	64.0	27.0	8.0	3.0	-	-	-	10.0	154.0	895.0
30 – 39	154.0	7.0	37.0	55.0	26.0	15.0	5.0	1.0	2.0	6.0	331.0	2236.0
40 – 49	135.0	5.0	11.0	39.0	33.0	16.0	13.0	4.0	9.0	5.0	412.0	3169.0
50 – 59	44.0	2.0	10.0	9.0	2.0	7.0	5.0	3.0	5.0	1.0	143.0	3326.0
60 – 69	31.0	2.0	2.0	7.0	2.0	1.0	3.0	2.0	8.0	4.0	120.0	4444.0
70 и более	9.0	-	-	1.0	-	4.0	1.0	-	2.0	1.0	42.0	5250.0
Женщины, не указавшие возраст	2.0	1.0	-	-	-	-	-	-	-	1.0	-	0.0
Ямало-Ненецкий автономный округ												
Женщины в возрасте 15 лет и более	651.0	163.0	137.0	135.0	71.0	46.0	27.0	10.0	26.0	36.0	1209.0	1966.0
в том числе в возрасте, лет:												
15 – 17	63.0	54.0	2.0	-	-	-	-	-	-	7.0	2.0	36.0
18 – 19	36.0	23.0	11.0	-	-	-	-	-	-	2.0	11.0	324.0
20 – 29	182.0	70.0	64.0	27.0	8.0	3.0	-	-	-	10.0	154.0	895.0
30 – 39	152.0	7.0	37.0	53.0	26.0	15.0	5.0	1.0	2.0	6.0	327.0	2240.0
40 – 49	134.0	5.0	11.0	38.0	33.0	16.0	13.0	4.0	9.0	5.0	410.0	3178.0
50 – 59	44.0	2.0	10.0	9.0	2.0	7.0	5.0	3.0	5.0	1.0	143.0	3326.0
60 – 69	31.0	2.0	2.0	7.0	2.0	1.0	3.0	2.0	8.0	4.0	120.0	4444.0
70 и более	9.0	-	-	1.0	-	4.0	1.0	-	2.0	1.0	42.0	5250.0
Женщины, не указавшие возраст	2.0	1.0	-	-	-	-	-	-	-	1.0	-	0.0
Томская область 												
Женщины в возрасте 15 лет и более	568.0	94.0	104.0	153.0	109.0	51.0	33.0	10.0	14.0	-	1279.0	2252.0
в том числе в возрасте, лет:												
15 – 17	30.0	29.0	-	1.0	-	-	-	-	-	-	2.0	67.0
18 – 19	21.0	15.0	6.0	-	-	-	-	-	-	-	6.0	286.0
20 – 29	121.0	31.0	58.0	27.0	4.0	-	1.0	-	-	-	129.0	1066.0
30 – 39	71.0	4.0	9.0	33.0	15.0	4.0	3.0	2.0	1.0	-	170.0	2394.0
40 – 49	135.0	2.0	9.0	47.0	41.0	20.0	9.0	3.0	4.0	-	399.0	2956.0
50 – 59	80.0	5.0	6.0	24.0	23.0	13.0	5.0	1.0	3.0	-	232.0	2900.0
60 – 69	59.0	3.0	6.0	16.0	12.0	8.0	7.0	2.0	5.0	-	195.0	3305.0
70 и более	51.0	5.0	10.0	5.0	14.0	6.0	8.0	2.0	1.0	-	146.0	2863.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
Красноярский край												
Женщины в возрасте 15 лет и более	117.0	18.0	12.0	14.0	19.0	10.0	15.0	6.0	2.0	21.0	265.0	2760.0
в том числе в возрасте, лет:												
15 – 17	12.0	9.0	-	-	-	-	-	-	-	3.0	-	0.0
18 – 19	9.0	3.0	1.0	-	-	-	-	-	-	5.0	1.0	250.0
20 – 29	24.0	3.0	4.0	6.0	3.0	2.0	1.0	1.0	-	4.0	44.0	2200.0
30 – 39	23.0	-	4.0	2.0	7.0	2.0	2.0	2.0	-	4.0	59.0	3105.0
40 – 49	26.0	1.0	1.0	3.0	6.0	3.0	5.0	2.0	2.0	3.0	91.0	3957.0
50 – 59	13.0	1.0	2.0	2.0	2.0	1.0	3.0	-	-	2.0	31.0	2818.0
60 – 69	9.0	1.0	-	1.0	1.0	2.0	3.0	1.0	-	-	34.0	3778.0
70 и более	1.0	-	-	-	-	-	1.0	-	-	-	5.0	5000.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ТЕЛЕНГИТЫ												
Республика Алтай												
Женщины в возрасте 15 лет и более	3.0	-	2.0	-	-	1.0	-	-	-	-	6.0	2000.0
в том числе в возрасте, лет:												
15 – 17	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 29	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
30 – 39	1.0	-	1.0	-	-	-	-	-	-	-	1.0	1000.0
40 – 49	1.0	-	-	-	-	1.0	-	-	-	-	4.0	4000.0
50 – 59	-	-	-	-	-	-	-	-	-	-	-	-
60 – 69	-	-	-	-	-	-	-	-	-	-	-	-
70 и более	-	-	-	-	-	-	-	-	-	-	-	-
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ТЕЛЕУТЫ												
Кемеровская область												
Женщины в возрасте 15 лет и более	631.0	140.0	134.0	154.0	102.0	34.0	24.0	17.0	26.0	-	1323.0	2097.0
в том числе в возрасте, лет:												
15 – 17	39.0	39.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	33.0	29.0	4.0	-	-	-	-	-	-	-	4.0	121.0
20 – 29	105.0	39.0	47.0	16.0	2.0	1.0	-	-	-	-	89.0	848.0
30 – 39	108.0	7.0	31.0	46.0	22.0	1.0	-	1.0	-	-	199.0	1843.0
40 – 49	140.0	9.0	24.0	55.0	39.0	8.0	3.0	-	2.0	-	314.0	2243.0
50 – 59	65.0	2.0	12.0	16.0	23.0	1.0	7.0	1.0	3.0	-	183.0	2815.0
60 – 69	69.0	7.0	5.0	14.0	12.0	15.0	9.0	5.0	2.0	-	220.0	3188.0
70 и более	72.0	8.0	11.0	7.0	4.0	8.0	5.0	10.0	19.0	-	314.0	4361.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ТОФАЛАРЫ												
Иркутская область												
Женщины в возрасте 15 лет и более	233.0	63.0	46.0	52.0	32.0	10.0	14.0	7.0	5.0	4.0	439.0	1917.0
в том числе в возрасте, лет:												
15 – 17	24.0	24.0	-	-	-	-	-	-	-	-	-	0.0
18 – 19	18.0	14.0	4.0	-	-	-	-	-	-	-	4.0	222.0
20 – 29	56.0	15.0	21.0	12.0	5.0	1.0	-	-	-	2.0	64.0	1185.0
30 – 39	41.0	4.0	9.0	17.0	5.0	3.0	2.0	1.0	-	-	86.0	2098.0
40 – 49	60.0	5.0	3.0	17.0	14.0	5.0	9.0	3.0	3.0	1.0	187.0	3169.0
50 – 59	19.0	-	7.0	4.0	5.0	-	2.0	1.0	-	-	46.0	2421.0
60 – 69	9.0	1.0	-	1.0	3.0	-	1.0	1.0	1.0	1.0	31.0	3875.0
70 и более	6.0	-	2.0	1.0	-	1.0	-	1.0	1.0	-	21.0	3500.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ТУБАЛАРЫ												
Республика Алтай												
Женщины в возрасте 15 лет и более	364.0	69.0	60.0	94.0	67.0	34.0	10.0	11.0	18.0	1.0	842.0	2320.0
в том числе в возрасте, лет:												
15 – 17	29.0	28.0	1.0	-	-	-	-	-	-	-	1.0	34.0
18 – 19	10.0	9.0	1.0	-	-	-	-	-	-	-	1.0	100.0
20 – 29	60.0	20.0	19.0	16.0	5.0	-	-	-	-	-	66.0	1100.0
30 – 39	83.0	4.0	21.0	29.0	16.0	9.0	2.0	1.0	1.0	-	186.0	2241.0
40 – 49	96.0	3.0	7.0	38.0	29.0	13.0	4.0	2.0	-	-	254.0	2646.0
50 – 59	27.0	3.0	3.0	1.0	9.0	6.0	2.0	2.0	1.0	-	85.0	3148.0
60 – 69	28.0	1.0	3.0	5.0	2.0	4.0	1.0	5.0	7.0	-	123.0	4393.0
70 и более	31.0	1.0	5.0	5.0	6.0	2.0	1.0	1.0	9.0	1.0	126.0	4200.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
ТУВИНЦЫ-ТОДЖИНЦЫ												
Республика Тыва												
Женщины в возрасте 15 лет и более	1562.0	398.0	286.0	281.0	212.0	156.0	95.0	48.0	85.0	1.0	3593.0	2302.0
в том числе в возрасте, лет:												
15 – 17	182.0	180.0	2.0	-	-	-	-	-	-	-	2.0	11.0
18 – 19	64.0	47.0	15.0	2.0	-	-	-	-	-	-	19.0	297.0
20 – 29	380.0	123.0	135.0	85.0	33.0	2.0	1.0	-	-	1.0	417.0	1100.0
30 – 39	338.0	22.0	70.0	107.0	76.0	44.0	10.0	5.0	4.0	-	796.0	2355.0
40 – 49	304.0	13.0	36.0	52.0	63.0	68.0	45.0	14.0	13.0	-	1011.0	3326.0
50 – 59	128.0	4.0	11.0	16.0	22.0	20.0	19.0	20.0	16.0	-	540.0	4219.0
60 – 69	119.0	7.0	13.0	15.0	13.0	16.0	16.0	7.0	32.0	-	539.0	4529.0
70 и более	47.0	2.0	4.0	4.0	5.0	6.0	4.0	2.0	20.0	-	269.0	5723.0
Женщины, не указавшие возраст	-	-	-	-	-	-	-	-	-	-	-	-
УДЭГЕЙЦЫ												
Территории преимущественного проживания КМНС												
Женщины в возрасте 15 лет и более	437.0	85.0	83.0	96.0	80.0	40.0	20.0	9.0	20.0	4.0	995.0	2298.0
в том числе в возрасте, лет:												
15 – 17	32.0	30.0	-	-	-	-	-	-	-	2.0	-	0.0
18 – 19	18.0	13.0	3.0	1.0	-	-	-	-	-	1.0	5.0	294.0
20 – 29	81.0	27.0	31.0	16.0	6.0	1.0	-	-	-	-	85.0	1049.0
30 – 39	101.0	7.0	21.0	37.0	20.0	9.0	6.0	-	1.0	-	228.0	2257.0
40 – 49	109.0	5.0	15.0	23.0	35.0	20.0	6.0	3.0	1.0	1.0	304.0	2815.0
50 – 59	41.0	2.0	5.0	9.0	13.0	4.0	4.0	1.0	3.0	-	125.0	3049.0
60 – 69	39.0	1.0	5.0	9.0	5.0	5.0	1.0	3.0	10.0	-	169.0	4333.0
