6. ГРУППИРОВКА СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
	Всего1)	в том числе сельские населенные пункты с числом жителей						
мужчины	579692.0	136.0	25340.0	61094.0	112281.0	162763.0	87468.0	130610.0
женщины	640969.0	126.0	26463.0	65311.0	122756.0	179521.0	98820.0	147972.0
Красноярский край								
Число сельских населенных пунктов	1618.0	80.0	703.0	447.0	224.0	115.0	38.0	11.0
численность населения	720327.0	339.0	70282.0	142556.0	160129.0	155179.0	112155.0	79687.0
мужчины	351246.0	187.0	34743.0	69969.0	77840.0	75053.0	56148.0	37306.0
женщины	369081.0	152.0	35539.0	72587.0	82289.0	80126.0	56007.0	42381.0
Таймырский (Долгано-Ненецкий) автономный округ								
Число сельских населенных пунктов	25.0	1.0	4.0	12.0	6.0	1.0	1.0	-
численность населения	13456.0	7.0	221.0	4116.0	4105.0	1557.0	3450.0	-
мужчины	6802.0	4.0	119.0	2086.0	2049.0	792.0	1752.0	-
женщины	6654.0	3.0	102.0	2030.0	2056.0	765.0	1698.0	-
Эвенкийский автономный округ								
Число сельских населенных пунктов	23.0	-	12.0	8.0	1.0	-	2.0	-
численность населения	11861.0	-	1416.0	2467.0	647.0	-	7331.0	-
мужчины	6065.0	-	789.0	1314.0	327.0	-	3635.0	-
женщины	5796.0	-	627.0	1153.0	320.0	-	3696.0	-
Иркутская область								
Число сельских населенных пунктов	1464.0	119.0	681.0	338.0	202.0	93.0	27.0	4.0
численность населения	534091.0	573.0	60466.0	106846.0	142483.0	122964.0	70521.0	30238.0
мужчины	260910.0	314.0	29985.0	52663.0	69437.0	60528.0	34064.0	13919.0
женщины	273181.0	259.0	30481.0	54183.0	73046.0	62436.0	36457.0	16319.0
Усть-Ордынский Бурятский  автономный округ								
Число сельских населенных пунктов	317.0	15.0	150.0	78.0	51.0	16.0	4.0	3.0
численность населения	135327.0	68.0	15702.0	24167.0	36972.0	20444.0	12785.0	25189.0
мужчины	65007.0	28.0	7734.0	11918.0	18145.0	9818.0	5931.0	11433.0
женщины	70320.0	40.0	7968.0	12249.0	18827.0	10626.0	6854.0	13756.0
Кемеровская область								
Число сельских населенных пунктов	1041.0	94.0	459.0	238.0	148.0	83.0	18.0	1.0
численность населения	386194.0	467.0	39070.0	77998.0	103561.0	110683.0	49305.0	5110.0
мужчины	186608.0	260.0	19231.0	37811.0	49744.0	53135.0	23940.0	2487.0
женщины	199586.0	207.0	19839.0	40187.0	53817.0	57548.0	25365.0	2623.0
Новосибирская область								
Число сельских населенных пунктов	1523.0	57.0	637.0	408.0	296.0	89.0	22.0	14.0
численность населения	670654.0	292.0	64660.0	129882.0	207587.0	118799.0	64090.0	85344.0
мужчины	321270.0	156.0	31392.0	62801.0	99071.0	55947.0	31658.0	40245.0
женщины	349384.0	136.0	33268.0	67081.0	108516.0	62852.0	32432.0	45099.0
Омская область								
Число сельских населенных пунктов	1501.0	51.0	619.0	474.0	199.0	125.0	24.0	9.0
численность населения	650740.0	241.0	65870.0	150721.0	145785.0	167923.0	66509.0	53691.0
мужчины	311347.0	134.0	32207.0	73891.0	69646.0	79553.0	30984.0	24932.0
женщины	339393.0	107.0	33663.0	76830.0	76139.0	88370.0	35525.0	28759.0
Томская область								
Число сельских населенных пунктов	578.0	50.0	214.0	152.0	91.0	37.0	18.0	16.0
численность населения	337498.0	249.0	18032.0	49176.0	60452.0	49029.0	50962.0	109598.0
мужчины	162289.0	135.0	9047.0	24258.0	29405.0	23578.0	24278.0	51588.0
женщины	175209.0	114.0	8985.0	24918.0	31047.0	25451.0	26684.0	58010.0
Читинская область								
Число сельских населенных пунктов	752.0	33.0	258.0	200.0	158.0	75.0	22.0	6.0
численность населения	416801.0	170.0	27301.0	66168.0	115545.0	100185.0	67795.0	39637.0
мужчины	206608.0	98.0	13820.0	33122.0	57081.0	49692.0	33159.0	19636.0
женщины	210193.0	72.0	13481.0	33046.0	58464.0	50493.0	34636.0	20001.0
Агинский Бурятский автономный округ								
Число сельских населенных пунктов	62.0	2.0	21.0	6.0	12.0	20.0	-	1.0
численность населения	46703.0	13.0	1717.0	1830.0	10112.0	26649.0	-	6382.0
мужчины	23109.0	7.0	873.0	936.0	4976.0	13259.0	-	3058.0
женщины	23594.0	6.0	844.0	894.0	5136.0	13390.0	-	3324.0
Дальневосточный федеральный округ								
Число сельских населенных пунктов	2624.0	180.0	824.0	675.0	565.0	247.0	95.0	38.0
численность населения	1611290.0	878.0	75984.0	228964.0	399418.0	335634.0	279993.0	290419.0
мужчины	814522.0	515.0	39538.0	115444.0	199714.0	169359.0	143453.0	146499.0
женщины	796768.0	363.0	36446.0	113520.0	199704.0	166275.0	136540.0	143920.0
Республика Саха (Якутия)								
Число сельских населенных пунктов	551.0	36.0	129.0	144.0	168.0	54.0	11.0	9.0
численность населения	339281.0	196.0	11481.0	50690.0	117744.0	68577.0	28077.0	62516.0
мужчины	168062.0	122.0	6069.0	25652.0	58862.0	33900.0	13992.0	29465.0
женщины	171219.0	74.0	5412.0	25038.0	58882.0	34677.0	14085.0	33051.0
Приморский край								
Число сельских населенных пунктов	602.0	22.0	193.0	164.0	119.0	67.0	23.0	14.0
численность населения	449233.0	119.0	19071.0	55652.0	84101.0	92620.0	79696.0	117974.0
мужчины	225899.0	65.0	9598.0	27932.0	42060.0	45484.0	41177.0	59583.0
женщины	223334.0	54.0	9473.0	27720.0	42041.0	47136.0	38519.0	58391.0
Хабаровский край								
Число сельских населенных пунктов	421.0	56.0	141.0	68.0	73.0	49.0	29.0	5.0
численность населения	279244.0	235.0	11596.0	22597.0	54313.0	69493.0	85137.0	35873.0
мужчины	145059.0	137.0	6141.0	11398.0	27385.0	35863.0	44908.0	19227.0
женщины	134185.0	98.0	5455.0	11199.0	26928.0	33630.0	40229.0	16646.0
Амурская область								
Число сельских населенных пунктов	602.0	34.0	218.0	176.0	118.0	32.0	17.0	7.0
численность населения	308458.0	193.0	21901.0	59192.0	81478.0	44149.0	49162.0	52383.0
мужчины	154253.0	101.0	11128.0	29391.0	40011.0	22580.0	23825.0	27217.0
женщины	154205.0	92.0	10773.0	29801.0	41467.0	21569.0	25337.0	25166.0
Камчатская область								
Число сельских населенных пунктов	73.0	1.0	12.0	16.0	23.0	12.0	8.0	1.0
численность населения	67990.0	4.0	1357.0	5593.0	16448.0	16342.0	19003.0	9243.0
мужчины	34828.0	4.0	763.0	2998.0	8685.0	8292.0	9438.0	4648.0
женщины	33162.0	-	594.0	2595.0	7763.0	8050.0	9565.0	4595.0
Корякский автономный округ								
Число сельских населенных пунктов	27.0	-	3.0	9.0	10.0	3.0	2.0	-
численность населения	18640.0	-	347.0	3221.0	6810.0	4024.0	4238.0	-
мужчины	9717.0	-	198.0	1704.0	3592.0	2108.0	2115.0	-
женщины	8923.0	-	149.0	1517.0	3218.0	1916.0	2123.0	-
Магаданская область								
Число сельских населенных пунктов	52.0	7.0	18.0	19.0	7.0	1.0	-	-
численность населения	14001.0	25.0	1624.0	6103.0	4664.0	1585.0	-	-
мужчины	7524.0	17.0	968.0	3312.0	2409.0	818.0	-	-
женщины	6477.0	8.0	656.0	2791.0	2255.0	767.0	-	-
Сахалинская область								
Число сельских населенных пунктов	187.0	18.0	83.0	39.0	25.0	19.0	3.0	-
численность населения	72572.0	71.0	6660.0	13145.0	17851.0	26720.0	8125.0	-
мужчины	37483.0	45.0	3566.0	6677.0	8829.0	14038.0	4328.0	-
женщины	35089.0	26.0	3094.0	6468.0	9022.0	12682.0	3797.0	-
Еврейская автономная область								
Число сельских населенных пунктов	95.0	3.0	26.0	28.0	21.0	11.0	4.0	2.0
численность населения	62556.0	18.0	1817.0	8817.0	15102.0	13579.0	10793.0	12430.0
мужчины	32299.0	10.0	1039.0	4431.0	7547.0	7128.0	5785.0	6359.0
женщины	30257.0	8.0	778.0	4386.0	7555.0	6451.0	5008.0	6071.0
Чукотский автономный округ								
Число сельских населенных пунктов	41.0	3.0	4.0	21.0	11.0	2.0	-	-
численность населения	17955.0	17.0	477.0	7175.0	7717.0	2569.0	-	-
мужчины	9115.0	14.0	266.0	3653.0	3926.0	1256.0	-	-
женщины	8840.0	3.0	211.0	3522.0	3791.0	1313.0	-	-
1) В эту таблицу не включены сельские населенные пункты, в которых никто не проживал; число таких пунктов представлено в таблице 3 данного тома.								
