4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
из них:											
учащиеся	417.0	-	6.0	20.0	72.0	32.0	142.0	122.0	23.0	-	-
Экономически неактивные	78720.0	43.0	2355.0	601.0	11812.0	12396.0	10732.0	28819.0	10649.0	1276.0	37.0
Калининградская область											
Городское и сельское  население	662919.0	1994.0	125779.0	23047.0	221091.0	85326.0	110696.0	73194.0	13716.0	994.0	7082.0
Экономически активные	457912.0	1682.0	106879.0	14890.0	175203.0	64606.0	65157.0	25091.0	3561.0	149.0	694.0
в том числе:											
занятые в экономике	400793.0	1595.0	100324.0	12695.0	156998.0	55065.0	53342.0	17773.0	2532.0	100.0	369.0
из них:											
учащиеся	13389.0	58.0	996.0	3817.0	3233.0	747.0	4066.0	457.0	11.0	-	4.0
безработные	57119.0	87.0	6555.0	2195.0	18205.0	9541.0	11815.0	7318.0	1029.0	49.0	325.0
из них:											
учащиеся	5246.0	-	90.0	954.0	472.0	170.0	2207.0	1247.0	98.0	-	8.0
Экономически неактивные	194373.0	308.0	18485.0	7960.0	44864.0	20288.0	44572.0	46662.0	9704.0	801.0	729.0
Городское население	517555.0	1816.0	113328.0	20703.0	183057.0	52900.0	86176.0	46297.0	6010.0	485.0	6783.0
Экономически активные	366872.0	1561.0	96816.0	13397.0	146656.0	41407.0	50816.0	14015.0	1516.0	92.0	596.0
в том числе:											
занятые в экономике	326326.0	1474.0	91054.0	11441.0	132472.0	36137.0	42044.0	10225.0	1113.0	61.0	305.0
из них:											
учащиеся	11878.0	58.0	910.0	3550.0	2790.0	619.0	3563.0	377.0	8.0	-	3.0
безработные	40546.0	87.0	5762.0	1956.0	14184.0	5270.0	8772.0	3790.0	403.0	31.0	291.0
из них:											
учащиеся	4676.0	-	86.0	900.0	435.0	133.0	1993.0	1043.0	82.0	-	4.0
Экономически неактивные	141686.0	251.0	16215.0	7160.0	35646.0	11228.0	34689.0	31313.0	4270.0	376.0	538.0
Сельское население	145364.0	178.0	12451.0	2344.0	38034.0	32426.0	24520.0	26897.0	7706.0	509.0	299.0
Экономически активные	91040.0	121.0	10063.0	1493.0	28547.0	23199.0	14341.0	11076.0	2045.0	57.0	98.0
в том числе:											
занятые в экономике	74467.0	121.0	9270.0	1254.0	24526.0	18928.0	11298.0	7548.0	1419.0	39.0	64.0
из них:											
учащиеся	1511.0	-	86.0	267.0	443.0	128.0	503.0	80.0	3.0	-	1.0
безработные	16573.0	-	793.0	239.0	4021.0	4271.0	3043.0	3528.0	626.0	18.0	34.0
из них:											
учащиеся	570.0	-	4.0	54.0	37.0	37.0	214.0	204.0	16.0	-	4.0
Экономически неактивные	52687.0	57.0	2270.0	800.0	9218.0	9060.0	9883.0	15349.0	5434.0	425.0	191.0
Ленинградская область											
Городское и сельское  население	1154021.0	2992.0	176423.0	38902.0	372112.0	185280.0	184430.0	137247.0	26629.0	1655.0	28351.0
Экономически активные	797041.0	2496.0	150328.0	25667.0	302434.0	145534.0	114565.0	47586.0	6852.0	226.0	1353.0
в том числе:											
занятые в экономике	726562.0	2387.0	142859.0	22985.0	280807.0	131598.0	100824.0	38448.0	5413.0	171.0	1070.0
из них:											
учащиеся	26129.0	112.0	1496.0	7921.0	6713.0	1928.0	6811.0	1084.0	56.0	1.0	7.0
безработные	70479.0	109.0	7469.0	2682.0	21627.0	13936.0	13741.0	9138.0	1439.0	55.0	283.0
из них:											
учащиеся	6639.0	11.0	84.0	1248.0	717.0	300.0	2454.0	1616.0	203.0	-	6.0
Экономически неактивные	317342.0	470.0	25075.0	12740.0	66993.0	38442.0	67148.0	85584.0	18478.0	1353.0	1059.0
Городское население	773840.0	2137.0	131856.0	28987.0	257908.0	107608.0	125621.0	80756.0	13469.0	805.0	24693.0
Экономически активные	541086.0	1798.0	113545.0	19363.0	211458.0	85804.0	78547.0	26007.0	3510.0	114.0	940.0
в том числе:											
занятые в экономике	496602.0	1711.0	108109.0	17429.0	197057.0	78280.0	69545.0	20973.0	2704.0	86.0	708.0
из них:											
учащиеся	20402.0	90.0	1200.0	6293.0	5235.0	1452.0	5313.0	778.0	37.0	-	4.0
безработные	44484.0	87.0	5436.0	1934.0	14401.0	7524.0	9002.0	5034.0	806.0	28.0	232.0
из них:											
учащиеся	4935.0	9.0	71.0	960.0	550.0	215.0	1855.0	1135.0	140.0	-	-
Экономически неактивные	201346.0	323.0	17585.0	9284.0	44782.0	21091.0	45298.0	52293.0	9328.0	646.0	716.0
Сельское население	380181.0	855.0	44567.0	9915.0	114204.0	77672.0	58809.0	56491.0	13160.0	850.0	3658.0
Экономически активные	255955.0	698.0	36783.0	6304.0	90976.0	59730.0	36018.0	21579.0	3342.0	112.0	413.0
в том числе:											
занятые в экономике	229960.0	676.0	34750.0	5556.0	83750.0	53318.0	31279.0	17475.0	2709.0	85.0	362.0
из них:											
учащиеся	5727.0	22.0	296.0	1628.0	1478.0	476.0	1498.0	306.0	19.0	1.0	3.0
безработные	25995.0	22.0	2033.0	748.0	7226.0	6412.0	4739.0	4104.0	633.0	27.0	51.0
из них:											
учащиеся	1704.0	2.0	13.0	288.0	167.0	85.0	599.0	481.0	63.0	-	6.0
Экономически неактивные	115996.0	147.0	7490.0	3456.0	22211.0	17351.0	21850.0	33291.0	9150.0	707.0	343.0
Мурманская область											
Городское и сельское  население	649027.0	1349.0	108642.0	18058.0	204477.0	103344.0	128402.0	67774.0	8758.0	507.0	7716.0
Экономически активные	478712.0	1234.0	97527.0	12785.0	172098.0	85215.0	86489.0	20837.0	1997.0	83.0	447.0
в том числе:											
занятые в экономике	426181.0	1188.0	92638.0	11263.0	156912.0	73683.0	72802.0	15638.0	1583.0	53.0	421.0
из них:											
учащиеся	26233.0	73.0	2276.0	5837.0	7575.0	2776.0	6961.0	712.0	23.0	-	-
безработные	52531.0	46.0	4889.0	1522.0	15186.0	11532.0	13687.0	5199.0	414.0	30.0	26.0
из них:											
учащиеся	5446.0	-	137.0	869.0	761.0	374.0	2434.0	827.0	44.0	-	-
Экономически неактивные	161722.0	109.0	11027.0	5193.0	32075.0	17982.0	41564.0	46179.0	6626.0	415.0	552.0
Городское население	604260.0	1272.0	100869.0	17432.0	190346.0	95991.0	120266.0	62116.0	7994.0	450.0	7524.0
Экономически активные	443819.0	1164.0	90294.0	12290.0	159608.0	79135.0	80329.0	18668.0	1810.0	79.0	442.0
в том числе:											
занятые в экономике	394820.0	1120.0	85646.0	10827.0	145389.0	68422.0	67525.0	13984.0	1442.0	49.0	416.0
из них:											
учащиеся	24927.0	68.0	2117.0	5660.0	7107.0	2651.0	6648.0	656.0	20.0	-	-
безработные	48999.0	44.0	4648.0	1463.0	14219.0	10713.0	12804.0	4684.0	368.0	30.0	26.0
из них:											
учащиеся	5221.0	-	131.0	849.0	714.0	364.0	2338.0	787.0	38.0	-	-
Экономически неактивные	152207.0	102.0	10494.0	5075.0	30477.0	16715.0	39624.0	42745.0	6068.0	362.0	545.0
Сельское население	44767.0	77.0	7773.0	626.0	14131.0	7353.0	8136.0	5658.0	764.0	57.0	192.0
Экономически активные	34893.0	70.0	7233.0	495.0	12490.0	6080.0	6160.0	2169.0	187.0	4.0	5.0
в том числе:											
занятые в экономике	31361.0	68.0	6992.0	436.0	11523.0	5261.0	5277.0	1654.0	141.0	4.0	5.0
из них:											
учащиеся	1306.0	5.0	159.0	177.0	468.0	125.0	313.0	56.0	3.0	-	-
безработные	3532.0	2.0	241.0	59.0	967.0	819.0	883.0	515.0	46.0	-	-
из них:											
учащиеся	225.0	-	6.0	20.0	47.0	10.0	96.0	40.0	6.0	-	-
Экономически неактивные	9515.0	7.0	533.0	118.0	1598.0	1267.0	1940.0	3434.0	558.0	53.0	7.0
Новгородская область											
Городское и сельское  население	465950.0	1120.0	69079.0	12389.0	144885.0	69983.0	85156.0	65225.0	12687.0	1403.0	4023.0
Экономически активные	312588.0	953.0	58687.0	8042.0	115612.0	51565.0	53024.0	21761.0	2545.0	195.0	204.0
в том числе:											
занятые в экономике	283471.0	925.0	56251.0	6938.0	107664.0	46008.0	46213.0	17264.0	1969.0	142.0	97.0
из них:											
учащиеся	11837.0	76.0	987.0	2789.0	3704.0	740.0	3096.0	425.0	19.0	1.0	-
безработные	29117.0	28.0	2436.0	1104.0	7948.0	5557.0	6811.0	4497.0	576.0	53.0	107.0
из них:											
учащиеся	3583.0	6.0	72.0	764.0	444.0	118.0	1427.0	727.0	25.0	-	-
Экономически неактивные	148224.0	160.0	10265.0	4295.0	28884.0	18225.0	31714.0	42653.0	9836.0	1183.0	1009.0
Городское население	338671.0	921.0	59033.0	10890.0	111028.0	43844.0	63310.0	39509.0	5700.0	472.0	3964.0
Экономически активные	237163.0	803.0	50797.0	7090.0	90548.0	33930.0	39565.0	12908.0	1298.0	43.0	181.0
в том числе:											
занятые в экономике	216927.0	775.0	48706.0	6062.0	84681.0	30796.0	34605.0	10172.0	1012.0	35.0	83.0
из них:											
учащиеся	10200.0	71.0	912.0	2591.0	3062.0	608.0	2615.0	325.0	15.0	1.0	-
безработные	20236.0	28.0	2091.0	1028.0	5867.0	3134.0	4960.0	2736.0	286.0	8.0	98.0
из них:											
учащиеся	3243.0	6.0	70.0	735.0	379.0	96.0	1316.0	629.0	12.0	-	-
Экономически неактивные	97510.0	111.0	8142.0	3767.0	20240.0	9842.0	23479.0	26221.0	4291.0	420.0	997.0
Сельское население	127279.0	199.0	10046.0	1499.0	33857.0	26139.0	21846.0	25716.0	6987.0	931.0	59.0
Экономически активные	75425.0	150.0	7890.0	952.0	25064.0	17635.0	13459.0	8853.0	1247.0	152.0	23.0
в том числе:											
занятые в экономике	66544.0	150.0	7545.0	876.0	22983.0	15212.0	11608.0	7092.0	957.0	107.0	14.0
из них:											
учащиеся	1637.0	5.0	75.0	198.0	642.0	132.0	481.0	100.0	4.0	-	-
безработные	8881.0	-	345.0	76.0	2081.0	2423.0	1851.0	1761.0	290.0	45.0	9.0
из них:											
учащиеся	340.0	-	2.0	29.0	65.0	22.0	111.0	98.0	13.0	-	-
Экономически неактивные	50714.0	49.0	2123.0	528.0	8644.0	8383.0	8235.0	16432.0	5545.0	763.0	12.0
Псковская область											
Городское и сельское  население	503044.0	897.0	71747.0	11475.0	157587.0	81864.0	92731.0	66598.0	17117.0	1339.0	1689.0
Экономически активные	333655.0	780.0	60719.0	7308.0	124797.0	60382.0	56221.0	20281.0	2922.0	131.0	114.0
в том числе:											
занятые в экономике	298914.0	743.0	58016.0	6433.0	114968.0	52840.0	48107.0	15592.0	2055.0	83.0	77.0
из них:											
учащиеся	12069.0	37.0	723.0	2603.0	3904.0	1014.0	3407.0	367.0	14.0	-	-
безработные	34741.0	37.0	2703.0	875.0	9829.0	7542.0	8114.0	4689.0	867.0	48.0	37.0
из них:											
учащиеся	2935.0	-	44.0	543.0	349.0	131.0	1274.0	518.0	76.0	-	-
Экономически неактивные	164783.0	117.0	10792.0	4099.0	32244.0	21179.0	35964.0	45182.0	13820.0	1187.0	199.0
Городское население	351646.0	792.0	60272.0	9965.0	117808.0	50121.0	67140.0	36686.0	6766.0	467.0	1629.0
Экономически активные	248316.0	710.0	52263.0	6357.0	96414.0	39596.0	41257.0	10405.0	1170.0	45.0	99.0
в том числе:											
занятые в экономике	226375.0	679.0	50022.0	5614.0	89628.0	35548.0	35746.0	8150.0	893.0	25.0	70.0
из них:											
учащиеся	10715.0	36.0	660.0	2410.0	3393.0	857.0	3042.0	310.0	7.0	-	-
безработные	21941.0	31.0	2241.0	743.0	6786.0	4048.0	5511.0	2255.0	277.0	20.0	29.0
из них:											
учащиеся	2585.0	-	42.0	520.0	303.0	119.0	1204.0	360.0	37.0	-	-
Экономически неактивные	99857.0	82.0	7839.0	3544.0	21012.0	10365.0	25463.0	25577.0	5387.0	413.0	175.0
Сельское население	151398.0	105.0	11475.0	1510.0	39779.0	31743.0	25591.0	29912.0	10351.0	872.0	60.0
Экономически активные	85339.0	70.0	8456.0	951.0	28383.0	20786.0	14964.0	9876.0	1752.0	86.0	15.0
в том числе:											
занятые в экономике	72539.0	64.0	7994.0	819.0	25340.0	17292.0	12361.0	7442.0	1162.0	58.0	7.0
из них:											
учащиеся	1354.0	1.0	63.0	193.0	511.0	157.0	365.0	57.0	7.0	-	-
безработные	12800.0	6.0	462.0	132.0	3043.0	3494.0	2603.0	2434.0	590.0	28.0	8.0
из них:											
учащиеся	350.0	-	2.0	23.0	46.0	12.0	70.0	158.0	39.0	-	-
Экономически неактивные	64926.0	35.0	2953.0	555.0	11232.0	10814.0	10501.0	19605.0	8433.0	774.0	24.0
г. Санкт-Петербург											
Городское население	3290581.0	26153.0	884844.0	208375.0	929291.0	254165.0	463757.0	212125.0	28256.0	3582.0	280033.0
Экономически активные	2153291.0	22101.0	743703.0	126859.0	733662.0	194521.0	255015.0	56441.0	7073.0	1159.0	12757.0
в том числе:											
занятые в экономике	1978368.0	21252.0	709419.0	107898.0	683319.0	178401.0	216729.0	44742.0	5709.0	1017.0	9882.0
из них:											
учащиеся	83355.0	1057.0	8056.0	31987.0	12726.0	3304.0	23516.0	2523.0	155.0	3.0	28.0
безработные	174923.0	849.0	34284.0	18961.0	50343.0	16120.0	38286.0	11699.0	1364.0	142.0	2875.0
из них:											
учащиеся	37603.0	137.0	1034.0	11769.0	2594.0	841.0	16485.0	4356.0	358.0	13.0	16.0
Экономически неактивные	859475.0	3886.0	136435.0	79194.0	189085.0	57921.0	202450.0	150387.0	20084.0	1841.0	18192.0
Южный федеральный округ											
Городское и сельское  население	14736077.0	38663.0	2320990.0	541330.0	3999750.0	1776704.0	3459229.0	2035999.0	486367.0	51600.0	25445.0
Экономически активные	9163495.0	32316.0	1921110.0	283623.0	2987022.0	1258856.0	1909705.0	650061.0	111917.0	7771.0	1114.0
в том числе:											
занятые в экономике	7469671.0	29784.0	1752907.0	217360.0	2575625.0	1030712.0	1358196.0	432317.0	67758.0	4353.0	659.0
из них:											
учащиеся	255976.0	1372.0	18053.0	73003.0	60371.0	16193.0	78629.0	8009.0	334.0	10.0	2.0
безработные	1693824.0	2532.0	168203.0	66263.0	411397.0	228144.0	551509.0	217744.0	44159.0	3418.0	455.0
из них:											
учащиеся	150078.0	193.0	3184.0	35177.0	13398.0	5618.0	61432.0	28386.0	2645.0	25.0	20.0
Экономически неактивные	5525111.0	6312.0	398276.0	256473.0	1009073.0	515612.0	1540827.0	1378283.0	371654.0	43433.0	5168.0
Городское население	8890581.0	31617.0	1798778.0	418284.0	2672423.0	909178.0	1919884.0	937720.0	161113.0	18202.0	23382.0
Экономически активные	5758934.0	26723.0	1499499.0	215275.0	2030058.0	662641.0	1017945.0	265954.0	36899.0	3091.0	849.0
в том числе:											
занятые в экономике	4938298.0	25109.0	1382281.0	168797.0	1791473.0	562638.0	790717.0	189772.0	24874.0	2064.0	573.0
из них:											
учащиеся	198039.0	1214.0	15066.0	57599.0	45891.0	12101.0	60295.0	5697.0	168.0	7.0	1.0
безработные	820636.0	1614.0	117218.0	46478.0	238585.0	100003.0	227228.0	76182.0	12025.0	1027.0	276.0
из них:											
учащиеся	106726.0	162.0	2422.0	27252.0	9806.0	3947.0	46305.0	15599.0	1217.0	13.0	3.0
Экономически неактивные	3102757.0	4871.0	298365.0	202287.0	640313.0	245769.0	899025.0	668823.0	123591.0	14995.0	4718.0
Сельское население	5845496.0	7046.0	522212.0	123046.0	1327327.0	867526.0	1539345.0	1098279.0	325254.0	33398.0	2063.0
Экономически активные	3404561.0	5593.0	421611.0	68348.0	956964.0	596215.0	891760.0	384107.0	75018.0	4680.0	265.0
в том числе:											
занятые в экономике	2531373.0	4675.0	370626.0	48563.0	784152.0	468074.0	567479.0	242545.0	42884.0	2289.0	86.0
из них:											
учащиеся	57937.0	158.0	2987.0	15404.0	14480.0	4092.0	18334.0	2312.0	166.0	3.0	1.0
безработные	873188.0	918.0	50985.0	19785.0	172812.0	128141.0	324281.0	141562.0	32134.0	2391.0	179.0
из них:											
учащиеся	43352.0	31.0	762.0	7925.0	3592.0	1671.0	15127.0	12787.0	1428.0	12.0	17.0
Экономически неактивные	2422354.0	1441.0	99911.0	54186.0	368760.0	269843.0	641802.0	709460.0	248063.0	28438.0	450.0
Республика Адыгея											
Городское и сельское  население	299226.0	786.0	47717.0	10335.0	83980.0	40695.0	65283.0	39920.0	8130.0	1182.0	1198.0
Экономически активные	174086.0	677.0	38082.0	5188.0	59078.0	26733.0	32607.0	10126.0	1440.0	147.0	8.0
в том числе:											
занятые в экономике	142257.0	644.0	34322.0	4084.0	49822.0	20962.0	24324.0	7012.0	1008.0	72.0	7.0
из них:											
учащиеся	5677.0	32.0	444.0	1696.0	1449.0	323.0	1532.0	199.0	2.0	-	-
безработные	31829.0	33.0	3760.0	1104.0	9256.0	5771.0	8283.0	3114.0	432.0	75.0	1.0
из них:											
учащиеся	2174.0	-	36.0	548.0	261.0	100.0	951.0	273.0	5.0	-	-
Экономически неактивные	123935.0	109.0	9634.0	5144.0	24893.0	13960.0	32666.0	29794.0	6690.0	1035.0	10.0
Городское население	162086.0	625.0	33706.0	6896.0	48905.0	16710.0	33628.0	18236.0	2386.0	262.0	732.0
Экономически активные	100159.0	551.0	27259.0	3396.0	35629.0	11716.0	16349.0	4675.0	541.0	35.0	8.0
в том числе:											
занятые в экономике	85805.0	534.0	24808.0	2700.0	30983.0	9830.0	13008.0	3494.0	418.0	23.0	7.0
из них:											
учащиеся	4105.0	28.0	375.0	1146.0	1086.0	219.0	1110.0	140.0	1.0	-	-
безработные	14354.0	17.0	2451.0	696.0	4646.0	1886.0	3341.0	1181.0	123.0	12.0	1.0
из них:											
учащиеся	1588.0	-	31.0	395.0	209.0	65.0	726.0	161.0	1.0	-	-
Экономически неактивные	61193.0	74.0	6446.0	3498.0	13271.0	4992.0	17271.0	13561.0	1845.0	227.0	8.0
Сельское население	137140.0	161.0	14011.0	3439.0	35075.0	23985.0	31655.0	21684.0	5744.0	920.0	466.0
Экономически активные	73927.0	126.0	10823.0	1792.0	23449.0	15017.0	16258.0	5451.0	899.0	112.0	-
в том числе:											
занятые в экономике	56452.0	110.0	9514.0	1384.0	18839.0	11132.0	11316.0	3518.0	590.0	49.0	-
из них:											
учащиеся	1572.0	4.0	69.0	550.0	363.0	104.0	422.0	59.0	1.0	-	-
безработные	17475.0	16.0	1309.0	408.0	4610.0	3885.0	4942.0	1933.0	309.0	63.0	-
из них:											
учащиеся	586.0	-	5.0	153.0	52.0	35.0	225.0	112.0	4.0	-	-
Экономически неактивные	62742.0	35.0	3188.0	1646.0	11622.0	8968.0	15395.0	16233.0	4845.0	808.0	2.0
Республика Дагестан											
Городское и сельское  население	1641698.0	4643.0	210402.0	85795.0	285082.0	105540.0	576522.0	287859.0	78717.0	7097.0	41.0
Экономически активные	967017.0	3875.0	179563.0	34169.0	213586.0	76535.0	325762.0	103572.0	28573.0	1367.0	15.0
в том числе:											
занятые в экономике	547282.0	3344.0	151517.0	18529.0	149128.0	43655.0	130111.0	39503.0	11023.0	469.0	3.0
из них:											
учащиеся	11710.0	96.0	817.0	5725.0	1229.0	341.0	3228.0	248.0	23.0	3.0	-
безработные	419735.0	531.0	28046.0	15640.0	64458.0	32880.0	195651.0	64069.0	17550.0	898.0	12.0
из них:											
учащиеся	30381.0	17.0	528.0	8983.0	1465.0	579.0	10430.0	7671.0	707.0	1.0	-
Экономически неактивные	671935.0	768.0	30778.0	51590.0	71423.0	28873.0	249417.0	183627.0	49718.0	5718.0	23.0
Городское население	750785.0	3537.0	138310.0	64037.0	157567.0	41963.0	233783.0	92352.0	17620.0	1587.0	29.0
Экономически активные	432668.0	2932.0	116349.0	21081.0	115286.0	30687.0	112693.0	27698.0	5588.0	341.0	13.0
в том числе:											
занятые в экономике	301368.0	2648.0	100080.0	11832.0	86254.0	20588.0	63459.0	13582.0	2736.0	186.0	3.0
из них:											
учащиеся	7433.0	81.0	560.0	3658.0	709.0	199.0	2063.0	151.0	10.0	2.0	-
безработные	131300.0	284.0	16269.0	9249.0	29032.0	10099.0	49234.0	14116.0	2852.0	155.0	10.0
из них:											
учащиеся	16606.0	13.0	345.0	6075.0	870.0	277.0	6265.0	2541.0	219.0	1.0	-
Экономически неактивные	318086.0	605.0	21958.0	42956.0	42281.0	11276.0	121078.0	64638.0	12032.0	1246.0	16.0
Сельское население	890913.0	1106.0	72092.0	21758.0	127515.0	63577.0	342739.0	195507.0	61097.0	5510.0	12.0
Экономически активные	534349.0	943.0	63214.0	13088.0	98300.0	45848.0	213069.0	75874.0	22985.0	1026.0	2.0
в том числе:											
занятые в экономике	245914.0	696.0	51437.0	6697.0	62874.0	23067.0	66652.0	25921.0	8287.0	283.0	-
из них:											
учащиеся	4277.0	15.0	257.0	2067.0	520.0	142.0	1165.0	97.0	13.0	1.0	-
безработные	288435.0	247.0	11777.0	6391.0	35426.0	22781.0	146417.0	49953.0	14698.0	743.0	2.0
из них:											
учащиеся	13775.0	4.0	183.0	2908.0	595.0	302.0	4165.0	5130.0	488.0	-	-
Экономически неактивные	353849.0	163.0	8820.0	8634.0	29142.0	17597.0	128339.0	118989.0	37686.0	4472.0	7.0
Республика Ингушетия											
Городское и сельское  население	282735.0	913.0	32308.0	17795.0	42424.0	30753.0	94177.0	43969.0	16408.0	3508.0	480.0
Экономически активные	162117.0	738.0	25055.0	9487.0	28918.0	20781.0	53384.0	16704.0	6053.0	847.0	150.0
в том числе:											
занятые в экономике	39965.0	389.0	12911.0	2339.0	8818.0	4958.0	7649.0	1939.0	798.0	129.0	35.0
из них:											
учащиеся	2174.0	18.0	393.0	872.0	302.0	105.0	429.0	52.0	3.0	-	-
безработные	122152.0	349.0	12144.0	7148.0	20100.0	15823.0	45735.0	14765.0	5255.0	718.0	115.0
из них:											
учащиеся	12910.0	25.0	572.0	3177.0	1548.0	479.0	3244.0	3374.0	455.0	16.0	20.0
Экономически неактивные	107904.0	160.0	6626.0	7755.0	12191.0	8876.0	36588.0	24041.0	9099.0	2380.0	188.0
Городское население	122058.0	468.0	17859.0	9264.0	20681.0	12691.0	36486.0	16744.0	6430.0	1340.0	95.0
Экономически активные	73420.0	385.0	14085.0	4943.0	14535.0	8696.0	21334.0	6413.0	2622.0	367.0	40.0
в том числе:											
занятые в экономике	20765.0	231.0	7411.0	1197.0	4774.0	2349.0	3577.0	760.0	390.0	61.0	15.0
из них:											
учащиеся	1143.0	14.0	235.0	429.0	162.0	58.0	215.0	30.0	-	-	-
безработные	52655.0	154.0	6674.0	3746.0	9761.0	6347.0	17757.0	5653.0	2232.0	306.0	25.0
из них:											
учащиеся	6970.0	12.0	359.0	1816.0	931.0	211.0	1593.0	1785.0	252.0	8.0	3.0
Экономически неактивные	46612.0	80.0	3654.0	4141.0	5893.0	3888.0	14642.0	9736.0	3616.0	922.0	40.0
Сельское население	160677.0	445.0	14449.0	8531.0	21743.0	18062.0	57691.0	27225.0	9978.0	2168.0	385.0
Экономически активные	88697.0	353.0	10970.0	4544.0	14383.0	12085.0	32050.0	10291.0	3431.0	480.0	110.0
в том числе:											
занятые в экономике	19200.0	158.0	5500.0	1142.0	4044.0	2609.0	4072.0	1179.0	408.0	68.0	20.0
из них:											
учащиеся	1031.0	4.0	158.0	443.0	140.0	47.0	214.0	22.0	3.0	-	-
безработные	69497.0	195.0	5470.0	3402.0	10339.0	9476.0	27978.0	9112.0	3023.0	412.0	90.0
из них:											
учащиеся	5940.0	13.0	213.0	1361.0	617.0	268.0	1651.0	1589.0	203.0	8.0	17.0
Экономически неактивные	61292.0	80.0	2972.0	3614.0	6298.0	4988.0	21946.0	14305.0	5483.0	1458.0	148.0
Кабардино–Балкарская Республика											
Городское и сельское  население	611954.0	1878.0	104136.0	25891.0	174232.0	66167.0	146939.0	76065.0	14660.0	1982.0	4.0
Экономически активные	373138.0	1645.0	88676.0	11330.0	128940.0	46077.0	71794.0	21372.0	3037.0	263.0	4.0
в том числе:											
занятые в экономике	282515.0	1530.0	78065.0	8105.0	101655.0	33873.0	44477.0	12721.0	1921.0	164.0	4.0
из них:											
учащиеся	7182.0	75.0	610.0	2670.0	1158.0	359.0	2140.0	162.0	7.0	1.0	-
безработные	90623.0	115.0	10611.0	3225.0	27285.0	12204.0	27317.0	8651.0	1116.0	99.0	-
из них:											
учащиеся	5686.0	5.0	143.0	1674.0	347.0	167.0	2594.0	722.0	34.0	-	-
Экономически неактивные	238769.0	233.0	15453.0	14561.0	45282.0	20085.0	75132.0	54685.0	11619.0	1719.0	-
Городское население	362643.0	1496.0	77946.0	18574.0	110058.0	34879.0	77009.0	36161.0	5643.0	873.0	4.0
Экономически активные	236062.0	1311.0	66850.0	8342.0	84348.0	25617.0	38081.0	9910.0	1404.0	195.0	4.0
в том числе:											
занятые в экономике	192087.0	1242.0	59773.0	6237.0	70457.0	20301.0	26514.0	6520.0	919.0	120.0	4.0
из них:											
учащиеся	5407.0	59.0	504.0	2048.0	903.0	269.0	1501.0	117.0	5.0	1.0	-
безработные	43975.0	69.0	7077.0	2105.0	13891.0	5316.0	11567.0	3390.0	485.0	75.0	-
из них:											
учащиеся	3556.0	5.0	108.0	1125.0	230.0	102.0	1576.0	393.0	17.0	-	-
Экономически неактивные	126534.0	185.0	11089.0	10232.0	25700.0	9257.0	38915.0	26243.0	4235.0	678.0	-
Сельское население	249311.0	382.0	26190.0	7317.0	64174.0	31288.0	69930.0	39904.0	9017.0	1109.0	-
Экономически активные	137076.0	334.0	21826.0	2988.0	44592.0	20460.0	33713.0	11462.0	1633.0	68.0	-
в том числе:											
занятые в экономике	90428.0	288.0	18292.0	1868.0	31198.0	13572.0	17963.0	6201.0	1002.0	44.0	-
из них:											
учащиеся	1775.0	16.0	106.0	622.0	255.0	90.0	639.0	45.0	2.0	-	-
безработные	46648.0	46.0	3534.0	1120.0	13394.0	6888.0	15750.0	5261.0	631.0	24.0	-
из них:											
учащиеся	2130.0	-	35.0	549.0	117.0	65.0	1018.0	329.0	17.0	-	-
Экономически неактивные	112235.0	48.0	4364.0	4329.0	19582.0	10828.0	36217.0	28442.0	7384.0	1041.0	-
Республика Калмыкия											
Городское и сельское  население	197950.0	346.0	31326.0	6426.0	55417.0	19915.0	47269.0	28696.0	7651.0	884.0	20.0
Экономически активные	122462.0	308.0	26518.0	3611.0	41751.0	13866.0	26629.0	8236.0	1434.0	99.0	10.0
в том числе:											
занятые в экономике	97282.0	292.0	24068.0	2866.0	34108.0	10353.0	18949.0	5519.0	1046.0	73.0	8.0
из них:											
учащиеся	4587.0	12.0	356.0	1414.0	1460.0	243.0	1052.0	50.0	-	-	-
безработные	25180.0	16.0	2450.0	745.0	7643.0	3513.0	7680.0	2717.0	388.0	26.0	2.0
из них:											
учащиеся	1672.0	-	27.0	377.0	286.0	81.0	702.0	195.0	4.0	-	-
Экономически неактивные	75165.0	38.0	4791.0	2805.0	13612.0	6020.0	20573.0	20355.0	6181.0	781.0	9.0
Городское население	90356.0	289.0	20177.0	4269.0	28735.0	6905.0	18230.0	9771.0	1737.0	231.0	12.0
Экономически активные	56656.0	258.0	16950.0	2203.0	21478.0	4763.0	8710.0	2014.0	247.0	24.0	9.0
в том числе:											
занятые в экономике	46442.0	245.0	15350.0	1758.0	17738.0	3584.0	6224.0	1353.0	167.0	16.0	7.0
из них:											
учащиеся	2759.0	10.0	254.0	909.0	845.0	127.0	581.0	33.0	-	-	-
безработные	10214.0	13.0	1600.0	445.0	3740.0	1179.0	2486.0	661.0	80.0	8.0	2.0
из них:											
