													
4. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником средств к существованию											
60 – 64	27645.0	131.0	7.0	-	26966.0	499.0	2.0	-	30.0	-	1.0	6.0	3.0
65 и более	85363.0	42.0	11.0	-	82805.0	2326.0	8.0	-	150.0	-	-	17.0	4.0
возраст не указан	27.0	14.0	-	-	7.0	1.0	-	-	2.0	-	-	1.0	2.0
Городское население	701079.0	370857.0	1487.0	1766.0	150625.0	14645.0	3222.0	4976.0	6239.0	698.0	96.0	139186.0	7282.0
из него в возрасте, лет:													
до 15	62403.0	4.0	1.0	5.0	94.0	61.0	1214.0	-	1883.0	-	5.0	59114.0	22.0
15 – 19	54261.0	13208.0	25.0	1212.0	267.0	254.0	335.0	211.0	835.0	13.0	2.0	37672.0	227.0
20 – 29	142801.0	113525.0	202.0	533.0	97.0	1130.0	859.0	1131.0	1560.0	189.0	18.0	22136.0	1421.0
30 – 49	263656.0	222652.0	1072.0	16.0	3823.0	6255.0	764.0	3328.0	1447.0	463.0	69.0	18883.0	4884.0
50 – 54	39562.0	19231.0	164.0	-	15587.0	2159.0	39.0	303.0	139.0	29.0	-	1282.0	629.0
55 – 59	19347.0	1784.0	12.0	-	16584.0	767.0	2.0	3.0	53.0	3.0	1.0	62.0	76.0
60 – 64	33839.0	339.0	5.0	-	32588.0	798.0	2.0	-	81.0	-	1.0	11.0	14.0
65 и более	85168.0	89.0	6.0	-	81577.0	3221.0	7.0	-	240.0	1.0	-	22.0	5.0
возраст не указан	42.0	25.0	-	-	8.0	-	-	-	1.0	-	-	4.0	4.0
Мужчины	328724.0	194861.0	917.0	821.0	45655.0	8251.0	951.0	2183.0	4938.0	482.0	51.0	64691.0	4923.0
из них в возрасте, лет:													
до 15	31997.0	3.0	-	4.0	46.0	37.0	656.0	-	1091.0	-	2.0	30151.0	7.0
15 – 19	28134.0	8902.0	13.0	599.0	116.0	154.0	122.0	75.0	621.0	7.0	-	17394.0	131.0
20 – 29	74823.0	62635.0	101.0	213.0	27.0	671.0	31.0	360.0	1518.0	126.0	7.0	8293.0	841.0
30 – 49	127704.0	106946.0	641.0	5.0	2175.0	3615.0	113.0	1458.0	1367.0	319.0	41.0	7727.0	3297.0
50 – 54	22576.0	14860.0	149.0	-	3912.0	1570.0	27.0	287.0	127.0	26.0	-	1055.0	563.0
55 – 59	7817.0	1232.0	8.0	-	5955.0	448.0	1.0	3.0	44.0	3.0	1.0	54.0	68.0
60 – 64	12195.0	217.0	3.0	-	11510.0	389.0	-	-	60.0	-	-	5.0	11.0
65 и более	23456.0	52.0	2.0	-	21911.0	1367.0	1.0	-	110.0	1.0	-	9.0	3.0
возраст не указан	22.0	14.0	-	-	3.0	-	-	-	-	-	-	3.0	2.0
Женщины	372355.0	175996.0	570.0	945.0	104970.0	6394.0	2271.0	2793.0	1301.0	216.0	45.0	74495.0	2359.0
из них в возрасте, лет:													
до 15	30406.0	1.0	1.0	1.0	48.0	24.0	558.0	-	792.0	-	3.0	28963.0	15.0
15 – 19	26127.0	4306.0	12.0	613.0	151.0	100.0	213.0	136.0	214.0	6.0	2.0	20278.0	96.0
20 – 29	67978.0	50890.0	101.0	320.0	70.0	459.0	828.0	771.0	42.0	63.0	11.0	13843.0	580.0
30 – 49	135952.0	115706.0	431.0	11.0	1648.0	2640.0	651.0	1870.0	80.0	144.0	28.0	11156.0	1587.0
50 – 54	16986.0	4371.0	15.0	-	11675.0	589.0	12.0	16.0	12.0	3.0	-	227.0	66.0
55 – 59	11530.0	552.0	4.0	-	10629.0	319.0	1.0	-	9.0	-	-	8.0	8.0
60 – 64	21644.0	122.0	2.0	-	21078.0	409.0	2.0	-	21.0	-	1.0	6.0	3.0
65 и более	61712.0	37.0	4.0	-	59666.0	1854.0	6.0	-	130.0	-	-	13.0	2.0
возраст не указан	20.0	11.0	-	-	5.0	-	-	-	1.0	-	-	1.0	2.0
Сельское население	180100.0	75335.0	4804.0	201.0	53683.0	5678.0	1490.0	5228.0	2943.0	72.0	18.0	26235.0	4413.0
из него в возрасте, лет:													
до 15	9421.0	-	-	-	26.0	17.0	594.0	-	464.0	-	1.0	8311.0	8.0
15 – 19	10600.0	3153.0	62.0	158.0	88.0	158.0	234.0	363.0	312.0	4.0	-	5943.0	125.0
20 – 29	30630.0	20848.0	599.0	43.0	51.0	675.0	324.0	1321.0	849.0	21.0	6.0	5072.0	821.0
30 – 49	68853.0	47442.0	3574.0	-	1053.0	2719.0	313.0	3272.0	1141.0	40.0	9.0	6318.0	2972.0
50 – 54	11538.0	3640.0	524.0	-	5206.0	794.0	20.0	266.0	108.0	7.0	2.0	556.0	415.0
55 – 59	5305.0	211.0	27.0	-	4762.0	185.0	2.0	6.0	24.0	-	-	30.0	58.0
60 – 64	10415.0	25.0	8.0	-	10136.0	216.0	-	-	18.0	-	-	1.0	11.0
65 и более	33328.0	11.0	10.0	-	32359.0	912.0	3.0	-	26.0	-	-	4.0	3.0
возраст не указан	10.0	5.0	-	-	2.0	2.0	-	-	1.0	-	-	-	-
Мужчины	90043.0	42984.0	3017.0	107.0	17753.0	3550.0	535.0	2312.0	2585.0	61.0	11.0	13850.0	3278.0
из них в возрасте, лет:													
до 15	4900.0	-	-	-	17.0	10.0	308.0	-	265.0	-	-	4297.0	3.0
15 – 19	6438.0	2339.0	37.0	93.0	51.0	101.0	100.0	146.0	269.0	3.0	-	3219.0	80.0
20 – 29	17434.0	12438.0	344.0	14.0	9.0	430.0	20.0	442.0	835.0	18.0	4.0	2341.0	539.0
30 – 49	37695.0	24886.0	2133.0	-	582.0	1696.0	89.0	1469.0	1086.0	33.0	5.0	3497.0	2219.0
50 – 54	6883.0	3131.0	474.0	-	1449.0	622.0	15.0	249.0	96.0	7.0	2.0	469.0	369.0
55 – 59	2599.0	166.0	23.0	-	2177.0	124.0	2.0	6.0	19.0	-	-	26.0	56.0
60 – 64	4414.0	16.0	3.0	-	4248.0	126.0	-	-	9.0	-	-	1.0	11.0
65 и более	9677.0	6.0	3.0	-	9220.0	440.0	1.0	-	6.0	-	-	-	1.0
возраст не указан	3.0	2.0	-	-	-	1.0	-	-	-	-	-	-	-
Женщины	90057.0	32351.0	1787.0	94.0	35930.0	2128.0	955.0	2916.0	358.0	11.0	7.0	12385.0	1135.0
из них в возрасте, лет:													
до 15	4521.0	-	-	-	9.0	7.0	286.0	-	199.0	-	1.0	4014.0	5.0
15 – 19	4162.0	814.0	25.0	65.0	37.0	57.0	134.0	217.0	43.0	1.0	-	2724.0	45.0
20 – 29	13196.0	8410.0	255.0	29.0	42.0	245.0	304.0	879.0	14.0	3.0	2.0	2731.0	282.0
30 – 49	31158.0	22556.0	1441.0	-	471.0	1023.0	224.0	1803.0	55.0	7.0	4.0	2821.0	753.0
50 – 54	4655.0	509.0	50.0	-	3757.0	172.0	5.0	17.0	12.0	-	-	87.0	46.0
55 – 59	2706.0	45.0	4.0	-	2585.0	61.0	-	-	5.0	-	-	4.0	2.0
60 – 64	6001.0	9.0	5.0	-	5888.0	90.0	-	-	9.0	-	-	-	-
65 и более	23651.0	5.0	7.0	-	23139.0	472.0	2.0	-	20.0	-	-	4.0	2.0
возраст не указан	7.0	3.0	-	-	2.0	1.0	-	-	1.0	-	-	-	-
Ненецкий автономный округ													
Городское и сельское население	29944.0	16561.0	113.0	18.0	4102.0	777.0	84.0	676.0	156.0	22.0	5.0	7127.0	303.0
из него в возрасте, лет:													
до 15	3661.0	1.0	-	-	6.0	3.0	6.0	-	89.0	-	-	3555.0	1.0
15 – 19	2323.0	586.0	1.0	10.0	20.0	29.0	7.0	52.0	30.0	-	-	1579.0	9.0
20 – 29	6179.0	4785.0	14.0	7.0	4.0	109.0	21.0	169.0	24.0	3.0	1.0	981.0	61.0
30 – 49	12429.0	10234.0	90.0	1.0	102.0	333.0	46.0	426.0	12.0	16.0	4.0	959.0	206.0
50 – 54	1545.0	847.0	8.0	-	489.0	97.0	3.0	27.0	-	3.0	-	48.0	23.0
55 – 59	589.0	78.0	-	-	458.0	45.0	1.0	2.0	1.0	-	-	3.0	1.0
60 – 64	951.0	18.0	-	-	898.0	35.0	-	-	-	-	-	-	-
65 и более	2260.0	8.0	-	-	2125.0	126.0	-	-	-	-	-	1.0	-
возраст не указан	7.0	4.0	-	-	-	-	-	-	-	-	-	1.0	2.0
Мужчины	15091.0	8831.0	81.0	1.0	1313.0	444.0	40.0	394.0	96.0	18.0	4.0	3661.0	208.0
из них в возрасте, лет:													
до 15	1906.0	1.0	-	-	4.0	2.0	3.0	-	50.0	-	-	1845.0	1.0
15 – 19	1280.0	397.0	1.0	1.0	10.0	19.0	5.0	21.0	16.0	-	-	806.0	4.0
20 – 29	3268.0	2602.0	7.0	-	2.0	67.0	5.0	94.0	20.0	3.0	1.0	430.0	37.0
30 – 49	6333.0	5048.0	65.0	-	50.0	195.0	24.0	252.0	10.0	12.0	3.0	533.0	141.0
50 – 54	1022.0	715.0	8.0	-	133.0	68.0	2.0	25.0	-	3.0	-	45.0	23.0
55 – 59	300.0	55.0	-	-	211.0	29.0	1.0	2.0	-	-	-	1.0	1.0
60 – 64	374.0	6.0	-	-	350.0	18.0	-	-	-	-	-	-	-
65 и более	602.0	3.0	-	-	553.0	46.0	-	-	-	-	-	-	-
возраст не указан	6.0	4.0	-	-	-	-	-	-	-	-	-	1.0	1.0
Женщины	14853.0	7730.0	32.0	17.0	2789.0	333.0	44.0	282.0	60.0	4.0	1.0	3466.0	95.0
из них в возрасте, лет:													
до 15	1755.0	-	-	-	2.0	1.0	3.0	-	39.0	-	-	1710.0	-
15 – 19	1043.0	189.0	-	9.0	10.0	10.0	2.0	31.0	14.0	-	-	773.0	5.0
20 – 29	2911.0	2183.0	7.0	7.0	2.0	42.0	16.0	75.0	4.0	-	-	551.0	24.0
30 – 49	6096.0	5186.0	25.0	1.0	52.0	138.0	22.0	174.0	2.0	4.0	1.0	426.0	65.0
50 – 54	523.0	132.0	-	-	356.0	29.0	1.0	2.0	-	-	-	3.0	-
55 – 59	289.0	23.0	-	-	247.0	16.0	-	-	1.0	-	-	2.0	-
60 – 64	577.0	12.0	-	-	548.0	17.0	-	-	-	-	-	-	-
65 и более	1658.0	5.0	-	-	1572.0	80.0	-	-	-	-	-	1.0	-
возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	-	1.0
Городское население	19973.0	11467.0	19.0	17.0	2153.0	390.0	25.0	132.0	153.0	16.0	2.0	5498.0	101.0
из него в возрасте, лет:													
до 15	3167.0	1.0	-	-	3.0	2.0	4.0	-	89.0	-	-	3068.0	-
15 – 19	1639.0	382.0	-	9.0	13.0	7.0	2.0	5.0	29.0	-	-	1190.0	2.0
20 – 29	4292.0	3517.0	2.0	7.0	1.0	39.0	5.0	38.0	22.0	2.0	-	643.0	16.0
30 – 49	7885.0	6878.0	15.0	1.0	84.0	147.0	13.0	80.0	12.0	11.0	2.0	571.0	71.0
50 – 54	996.0	610.0	2.0	-	277.0	62.0	1.0	9.0	-	3.0	-	22.0	10.0
55 – 59	340.0	57.0	-	-	252.0	28.0	-	-	1.0	-	-	2.0	-
60 – 64	487.0	12.0	-	-	453.0	22.0	-	-	-	-	-	-	-
65 и более	1160.0	6.0	-	-	1070.0	83.0	-	-	-	-	-	1.0	-
возраст не указан	7.0	4.0	-	-	-	-	-	-	-	-	-	1.0	2.0
Мужчины	9846.0	6014.0	12.0	1.0	648.0	203.0	7.0	72.0	96.0	12.0	2.0	2710.0	69.0
из них в возрасте, лет:													
до 15	1638.0	1.0	-	-	1.0	1.0	1.0	-	50.0	-	-	1584.0	-
15 – 19	875.0	247.0	-	1.0	5.0	5.0	1.0	2.0	16.0	-	-	597.0	1.0
20 – 29	2192.0	1894.0	-	-	1.0	19.0	1.0	16.0	20.0	2.0	-	229.0	10.0
30 – 49	3840.0	3311.0	10.0	-	44.0	82.0	3.0	46.0	10.0	7.0	2.0	278.0	47.0
50 – 54	670.0	510.0	2.0	-	73.0	43.0	1.0	8.0	-	3.0	-	20.0	10.0
55 – 59	168.0	41.0	-	-	108.0	18.0	-	-	-	-	-	1.0	-
60 – 64	172.0	4.0	-	-	157.0	11.0	-	-	-	-	-	-	-
65 и более	285.0	2.0	-	-	259.0	24.0	-	-	-	-	-	-	-
возраст не указан	6.0	4.0	-	-	-	-	-	-	-	-	-	1.0	1.0
Женщины	10127.0	5453.0	7.0	16.0	1505.0	187.0	18.0	60.0	57.0	4.0	-	2788.0	32.0
из них в возрасте, лет:													
до 15	1529.0	-	-	-	2.0	1.0	3.0	-	39.0	-	-	1484.0	-
15 – 19	764.0	135.0	-	8.0	8.0	2.0	1.0	3.0	13.0	-	-	593.0	1.0
20 – 29	2100.0	1623.0	2.0	7.0	-	20.0	4.0	22.0	2.0	-	-	414.0	6.0
30 – 49	4045.0	3567.0	5.0	1.0	40.0	65.0	10.0	34.0	2.0	4.0	-	293.0	24.0
50 – 54	326.0	100.0	-	-	204.0	19.0	-	1.0	-	-	-	2.0	-
55 – 59	172.0	16.0	-	-	144.0	10.0	-	-	1.0	-	-	1.0	-
60 – 64	315.0	8.0	-	-	296.0	11.0	-	-	-	-	-	-	-
65 и более	875.0	4.0	-	-	811.0	59.0	-	-	-	-	-	1.0	-
возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	-	1.0
Сельское население	9971.0	5094.0	94.0	1.0	1949.0	387.0	59.0	544.0	3.0	6.0	3.0	1629.0	202.0
из него в возрасте, лет:													
до 15	494.0	-	-	-	3.0	1.0	2.0	-	-	-	-	487.0	1.0
15 – 19	684.0	204.0	1.0	1.0	7.0	22.0	5.0	47.0	1.0	-	-	389.0	7.0
20 – 29	1887.0	1268.0	12.0	-	3.0	70.0	16.0	131.0	2.0	1.0	1.0	338.0	45.0
30 – 49	4544.0	3356.0	75.0	-	18.0	186.0	33.0	346.0	-	5.0	2.0	388.0	135.0
50 – 54	549.0	237.0	6.0	-	212.0	35.0	2.0	18.0	-	-	-	26.0	13.0
55 – 59	249.0	21.0	-	-	206.0	17.0	1.0	2.0	-	-	-	1.0	1.0
60 – 64	464.0	6.0	-	-	445.0	13.0	-	-	-	-	-	-	-
65 и более	1100.0	2.0	-	-	1055.0	43.0	-	-	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-
Мужчины	5245.0	2817.0	69.0	-	665.0	241.0	33.0	322.0	-	6.0	2.0	951.0	139.0
из них в возрасте, лет:													
до 15	268.0	-	-	-	3.0	1.0	2.0	-	-	-	-	261.0	1.0
15 – 19	405.0	150.0	1.0	-	5.0	14.0	4.0	19.0	-	-	-	209.0	3.0
20 – 29	1076.0	708.0	7.0	-	1.0	48.0	4.0	78.0	-	1.0	1.0	201.0	27.0
30 – 49	2493.0	1737.0	55.0	-	6.0	113.0	21.0	206.0	-	5.0	1.0	255.0	94.0
50 – 54	352.0	205.0	6.0	-	60.0	25.0	1.0	17.0	-	-	-	25.0	13.0
55 – 59	132.0	14.0	-	-	103.0	11.0	1.0	2.0	-	-	-	-	1.0
60 – 64	202.0	2.0	-	-	193.0	7.0	-	-	-	-	-	-	-
65 и более	317.0	1.0	-	-	294.0	22.0	-	-	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-
Женщины	4726.0	2277.0	25.0	1.0	1284.0	146.0	26.0	222.0	3.0	-	1.0	678.0	63.0
из них в возрасте, лет:													
до 15	226.0	-	-	-	-	-	-	-	-	-	-	226.0	-
15 – 19	279.0	54.0	-	1.0	2.0	8.0	1.0	28.0	1.0	-	-	180.0	4.0
20 – 29	811.0	560.0	5.0	-	2.0	22.0	12.0	53.0	2.0	-	-	137.0	18.0
30 – 49	2051.0	1619.0	20.0	-	12.0	73.0	12.0	140.0	-	-	1.0	133.0	41.0
50 – 54	197.0	32.0	-	-	152.0	10.0	1.0	1.0	-	-	-	1.0	-
55 – 59	117.0	7.0	-	-	103.0	6.0	-	-	-	-	-	1.0	-
60 – 64	262.0	4.0	-	-	252.0	6.0	-	-	-	-	-	-	-
65 и более	783.0	1.0	-	-	761.0	21.0	-	-	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-
Вологодская область													
Городское и сельское население	776163.0	380030.0	10290.0	2703.0	158051.0	22297.0	7265.0	6035.0	8898.0	891.0	140.0	174781.0	4782.0
из него в возрасте, лет:													
до 15	94690.0	9.0	5.0	6.0	291.0	190.0	3296.0	-	1468.0	-	11.0	89380.0	34.0
15 – 19	59648.0	11678.0	167.0	2113.0	455.0	494.0	742.0	293.0	1601.0	8.0	3.0	41967.0	127.0
20 – 29	138544.0	107607.0	1187.0	576.0	197.0	1401.0	1951.0	1222.0	3055.0	173.0	18.0	20434.0	723.0
30 – 49	262080.0	214979.0	6907.0	4.0	2737.0	7509.0	1126.0	3421.0	2205.0	575.0	85.0	19489.0	3043.0
50 – 54	53251.0	38194.0	1583.0	-	4744.0	3801.0	109.0	960.0	201.0	107.0	15.0	2898.0	639.0
55 – 59	20430.0	6711.0	365.0	-	10760.0	1706.0	18.0	137.0	66.0	25.0	5.0	465.0	172.0
60 – 64	36107.0	563.0	30.0	-	33689.0	1686.0	9.0	-	53.0	2.0	1.0	43.0	31.0
65 и более	111191.0	186.0	39.0	-	105143.0	5503.0	12.0	-	232.0	1.0	1.0	68.0	6.0
возраст не указан	222.0	103.0	7.0	4.0	35.0	7.0	2.0	2.0	17.0	-	1.0	37.0	7.0
Мужчины	361949.0	191453.0	6683.0	1328.0	47236.0	12456.0	2215.0	2206.0	7618.0	617.0	78.0	86448.0	3611.0
из них в возрасте, лет:													
до 15	48853.0	4.0	2.0	5.0	150.0	107.0	1665.0	-	913.0	-	7.0	45984.0	16.0
15 – 19	29794.0	6055.0	97.0	1077.0	226.0	309.0	280.0	78.0	1440.0	3.0	2.0	20173.0	54.0
20 – 29	71857.0	57700.0	644.0	243.0	57.0	849.0	42.0	380.0	2871.0	118.0	10.0	8499.0	444.0
30 – 49	130211.0	103428.0	4481.0	1.0	1673.0	4516.0	175.0	1249.0	2030.0	393.0	46.0	9836.0	2383.0
50 – 54	25937.0	18211.0	1073.0	-	1832.0	2180.0	34.0	361.0	175.0	77.0	5.0	1477.0	512.0
55 – 59	10319.0	5527.0	348.0	-	2474.0	1144.0	13.0	137.0	58.0	24.0	5.0	423.0	166.0
60 – 64	14232.0	379.0	21.0	-	12798.0	947.0	3.0	-	39.0	1.0	1.0	16.0	27.0
65 и более	30636.0	92.0	15.0	-	28015.0	2401.0	2.0	-	80.0	1.0	1.0	24.0	5.0
возраст не указан	110.0	57.0	2.0	2.0	11.0	3.0	1.0	1.0	12.0	-	1.0	16.0	4.0
Женщины	414214.0	188577.0	3607.0	1375.0	110815.0	9841.0	5050.0	3829.0	1280.0	274.0	62.0	88333.0	1171.0
из них в возрасте, лет:													
до 15	45837.0	5.0	3.0	1.0	141.0	83.0	1631.0	-	555.0	-	4.0	43396.0	18.0
15 – 19	29854.0	5623.0	70.0	1036.0	229.0	185.0	462.0	215.0	161.0	5.0	1.0	21794.0	73.0
20 – 29	66687.0	49907.0	543.0	333.0	140.0	552.0	1909.0	842.0	184.0	55.0	8.0	11935.0	279.0
30 – 49	131869.0	111551.0	2426.0	3.0	1064.0	2993.0	951.0	2172.0	175.0	182.0	39.0	9653.0	660.0
50 – 54	27314.0	19983.0	510.0	-	2912.0	1621.0	75.0	599.0	26.0	30.0	10.0	1421.0	127.0
55 – 59	10111.0	1184.0	17.0	-	8286.0	562.0	5.0	-	8.0	1.0	-	42.0	6.0
60 – 64	21875.0	184.0	9.0	-	20891.0	739.0	6.0	-	14.0	1.0	-	27.0	4.0
65 и более	80555.0	94.0	24.0	-	77128.0	3102.0	10.0	-	152.0	-	-	44.0	1.0
возраст не указан	112.0	46.0	5.0	2.0	24.0	4.0	1.0	1.0	5.0	-	-	21.0	3.0
Городское население	619513.0	317546.0	2827.0	2361.0	112346.0	15721.0	4895.0	4273.0	7156.0	743.0	116.0	148155.0	3374.0
из него в возрасте, лет:													
до 15	81971.0	7.0	5.0	5.0	209.0	138.0	1941.0	-	1290.0	-	11.0	78336.0	29.0
15 – 19	49753.0	9055.0	62.0	1805.0	318.0	281.0	412.0	180.0	1343.0	5.0	3.0	36187.0	102.0
20 – 29	115055.0	90731.0	393.0	543.0	159.0	900.0	1524.0	869.0	2469.0	147.0	16.0	16735.0	569.0
30 – 49	210256.0	179126.0	1820.0	4.0	2179.0	5076.0	901.0	2399.0	1790.0	487.0	67.0	14310.0	2097.0
50 – 54	42831.0	32190.0	437.0	-	3840.0	2734.0	87.0	720.0	154.0	86.0	14.0	2139.0	430.0
55 – 59	16366.0	5670.0	80.0	-	8721.0	1288.0	13.0	103.0	47.0	16.0	2.0	320.0	106.0
60 – 64	27342.0	505.0	8.0	-	25467.0	1278.0	7.0	-	12.0	1.0	1.0	35.0	28.0
65 и более	75750.0	173.0	20.0	-	71428.0	4019.0	9.0	-	34.0	1.0	1.0	59.0	6.0
возраст не указан	189.0	89.0	2.0	4.0	25.0	7.0	1.0	2.0	17.0	-	1.0	34.0	7.0
Мужчины	285769.0	157037.0	1710.0	1149.0	33584.0	8342.0	1317.0	1559.0	6146.0	503.0	61.0	71885.0	2476.0
из них в возрасте, лет:													
до 15	42292.0	3.0	2.0	4.0	106.0	77.0	964.0	-	819.0	-	7.0	40297.0	13.0
15 – 19	24415.0	4551.0	35.0	914.0	147.0	175.0	147.0	45.0	1198.0	1.0	2.0	17159.0	41.0
20 – 29	58779.0	48139.0	188.0	228.0	47.0	527.0	34.0	276.0	2293.0	98.0	9.0	6603.0	337.0
30 – 49	100862.0	84405.0	1114.0	1.0	1342.0	2896.0	135.0	868.0	1632.0	327.0	33.0	6500.0	1609.0
50 – 54	20003.0	14888.0	283.0	-	1524.0	1485.0	24.0	266.0	131.0	60.0	5.0	996.0	341.0
55 – 59	8058.0	4584.0	76.0	-	2010.0	830.0	8.0	103.0	44.0	15.0	2.0	285.0	101.0
60 – 64	10461.0	337.0	5.0	-	9368.0	702.0	2.0	-	10.0	1.0	1.0	10.0	25.0
65 и более	20803.0	82.0	7.0	-	19030.0	1647.0	2.0	-	7.0	1.0	1.0	21.0	5.0
возраст не указан	96.0	48.0	-	2.0	10.0	3.0	1.0	1.0	12.0	-	1.0	14.0	4.0
Женщины	333744.0	160509.0	1117.0	1212.0	78762.0	7379.0	3578.0	2714.0	1010.0	240.0	55.0	76270.0	898.0
из них в возрасте, лет:													
до 15	39679.0	4.0	3.0	1.0	103.0	61.0	977.0	-	471.0	-	4.0	38039.0	16.0
15 – 19	25338.0	4504.0	27.0	891.0	171.0	106.0	265.0	135.0	145.0	4.0	1.0	19028.0	61.0
20 – 29	56276.0	42592.0	205.0	315.0	112.0	373.0	1490.0	593.0	176.0	49.0	7.0	10132.0	232.0
30 – 49	109394.0	94721.0	706.0	3.0	837.0	2180.0	766.0	1531.0	158.0	160.0	34.0	7810.0	488.0
50 – 54	22828.0	17302.0	154.0	-	2316.0	1249.0	63.0	454.0	23.0	26.0	9.0	1143.0	89.0
55 – 59	8308.0	1086.0	4.0	-	6711.0	458.0	5.0	-	3.0	1.0	-	35.0	5.0
60 – 64	16881.0	168.0	3.0	-	16099.0	576.0	5.0	-	2.0	-	-	25.0	3.0
65 и более	54947.0	91.0	13.0	-	52398.0	2372.0	7.0	-	27.0	-	-	38.0	1.0
возраст не указан	93.0	41.0	2.0	2.0	15.0	4.0	-	1.0	5.0	-	-	20.0	3.0
Сельское население	156650.0	62484.0	7463.0	342.0	45705.0	6576.0	2370.0	1762.0	1742.0	148.0	24.0	26626.0	1408.0
из него в возрасте, лет:													
до 15	12719.0	2.0	-	1.0	82.0	52.0	1355.0	-	178.0	-	-	11044.0	5.0
15 – 19	9895.0	2623.0	105.0	308.0	137.0	213.0	330.0	113.0	258.0	3.0	-	5780.0	25.0
20 – 29	23489.0	16876.0	794.0	33.0	38.0	501.0	427.0	353.0	586.0	26.0	2.0	3699.0	154.0
30 – 49	51824.0	35853.0	5087.0	-	558.0	2433.0	225.0	1022.0	415.0	88.0	18.0	5179.0	946.0
50 – 54	10420.0	6004.0	1146.0	-	904.0	1067.0	22.0	240.0	47.0	21.0	1.0	759.0	209.0
55 – 59	4064.0	1041.0	285.0	-	2039.0	418.0	5.0	34.0	19.0	9.0	3.0	145.0	66.0
60 – 64	8765.0	58.0	22.0	-	8222.0	408.0	2.0	-	41.0	1.0	-	8.0	3.0
65 и более	35441.0	13.0	19.0	-	33715.0	1484.0	3.0	-	198.0	-	-	9.0	-
возраст не указан	33.0	14.0	5.0	-	10.0	-	1.0	-	-	-	-	3.0	-
Мужчины	76180.0	34416.0	4973.0	179.0	13652.0	4114.0	898.0	647.0	1472.0	114.0	17.0	14563.0	1135.0
из них в возрасте, лет:													
до 15	6561.0	1.0	-	1.0	44.0	30.0	701.0	-	94.0	-	-	5687.0	3.0
15 – 19	5379.0	1504.0	62.0	163.0	79.0	134.0	133.0	33.0	242.0	2.0	-	3014.0	13.0
20 – 29	13078.0	9561.0	456.0	15.0	10.0	322.0	8.0	104.0	578.0	20.0	1.0	1896.0	107.0
30 – 49	29349.0	19023.0	3367.0	-	331.0	1620.0	40.0	381.0	398.0	66.0	13.0	3336.0	774.0
50 – 54	5934.0	3323.0	790.0	-	308.0	695.0	10.0	95.0	44.0	17.0	-	481.0	171.0
55 – 59	2261.0	943.0	272.0	-	464.0	314.0	5.0	34.0	14.0	9.0	3.0	138.0	65.0
60 – 64	3771.0	42.0	16.0	-	3430.0	245.0	1.0	-	29.0	-	-	6.0	2.0
65 и более	9833.0	10.0	8.0	-	8985.0	754.0	-	-	73.0	-	-	3.0	-
возраст не указан	14.0	9.0	2.0	-	1.0	-	-	-	-	-	-	2.0	-
Женщины	80470.0	28068.0	2490.0	163.0	32053.0	2462.0	1472.0	1115.0	270.0	34.0	7.0	12063.0	273.0
из них в возрасте, лет:													
до 15	6158.0	1.0	-	-	38.0	22.0	654.0	-	84.0	-	-	5357.0	2.0
15 – 19	4516.0	1119.0	43.0	145.0	58.0	79.0	197.0	80.0	16.0	1.0	-	2766.0	12.0
20 – 29	10411.0	7315.0	338.0	18.0	28.0	179.0	419.0	249.0	8.0	6.0	1.0	1803.0	47.0
30 – 49	22475.0	16830.0	1720.0	-	227.0	813.0	185.0	641.0	17.0	22.0	5.0	1843.0	172.0
50 – 54	4486.0	2681.0	356.0	-	596.0	372.0	12.0	145.0	3.0	4.0	1.0	278.0	38.0
55 – 59	1803.0	98.0	13.0	-	1575.0	104.0	-	-	5.0	-	-	7.0	1.0
60 – 64	4994.0	16.0	6.0	-	4792.0	163.0	1.0	-	12.0	1.0	-	2.0	1.0
65 и более	25608.0	3.0	11.0	-	24730.0	730.0	3.0	-	125.0	-	-	6.0	-
возраст не указан	19.0	5.0	3.0	-	9.0	-	1.0	-	-	-	-	1.0	-
Калининградская область													
Городское и сельское население	751301.0	360641.0	9343.0	3971.0	142945.0	15486.0	5964.0	5032.0	9658.0	2029.0	173.0	175874.0	20185.0
из него в возрасте, лет:													
до 15	82888.0	9.0	-	12.0	175.0	189.0	2979.0	-	1690.0	-	14.0	77751.0	69.0
15 – 19	63142.0	14855.0	86.0	2859.0	253.0	378.0	651.0	198.0	2643.0	24.0	9.0	40461.0	725.0
20 – 29	133714.0	92929.0	1404.0	1074.0	127.0	1246.0	1167.0	1168.0	3314.0	378.0	30.0	26077.0	4800.0
