13. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	85.0	1.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	475.0	7.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	2585.0	38.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	500.0	7.5
операторы, аппаратчики, машинисты установок и машин	192.0	2.9
неквалифицированные рабочие	1507.0	22.5
занятые на военной службе	2.0	0.0
лица, неточно указавшие или не указавшие  занятия	130.0	1.9
Архангельская область		
Ненецкий автономный округ		
Население, занятое в экономике 	2624.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	135.0	5.2
специалисты высшего уровня квалификации	201.0	7.7
специалисты среднего уровня квалификации	293.0	11.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	51.0	1.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	262.0	10.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	746.0	28.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	309.0	11.8
операторы, аппаратчики, машинисты установок и машин	182.0	6.9
неквалифицированные рабочие	434.0	16.5
занятые на военной службе	1.0	0.0
лица, неточно указавшие или не указавшие  занятия	10.0	0.4
Таймырский (Долгано-Ненецкий) автономный округ		
Население, занятое в экономике 	658.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	52.0	7.9
специалисты высшего уровня квалификации	47.0	7.1
специалисты среднего уровня квалификации	70.0	10.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8.0	1.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	64.0	9.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	207.0	31.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85.0	12.9
операторы, аппаратчики, машинисты установок и машин	15.0	2.3
неквалифицированные рабочие	109.0	16.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	0.2
Ханты-Мансийский автономный округ – Югра		
Население, занятое в экономике 	315.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	16.0	5.1
специалисты высшего уровня квалификации	33.0	10.5
специалисты среднего уровня квалификации	70.0	22.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	5.0	1.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	31.0	9.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	22.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	43.0	13.7
операторы, аппаратчики, машинисты установок и машин	24.0	7.6
неквалифицированные рабочие	65.0	20.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	6.0	1.9
Республика Коми		
Население, занятое в экономике 	16.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	1.0	6.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1.0	6.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1.0	6.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5.0	31.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1.0	6.2
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	6.0	37.5
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	6.3
НИВХИ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	983.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	61.0	6.2
специалисты высшего уровня квалификации	83.0	8.5
специалисты среднего уровня квалификации	109.0	11.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16.0	1.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	131.0	13.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	93.0	9.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	133.0	13.5
операторы, аппаратчики, машинисты установок и машин	118.0	12.0
неквалифицированные рабочие	225.0	22.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	14.0	1.4
Хабаровский край		
Население, занятое в экономике 	431.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	19.0	4.4
специалисты высшего уровня квалификации	37.0	8.6
специалисты среднего уровня квалификации	62.0	14.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	6.0	1.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	49.0	11.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	45.0	10.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	62.0	14.4
операторы, аппаратчики, машинисты установок и машин	48.0	11.1
неквалифицированные рабочие	96.0	22.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	7.0	1.6
Сахалинская область		
Население, занятое в экономике 	552.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	42.0	7.6
специалисты высшего уровня квалификации	46.0	8.3
специалисты среднего уровня квалификации	47.0	8.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10.0	1.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	82.0	14.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	48.0	8.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	71.0	12.9
операторы, аппаратчики, машинисты установок и машин	70.0	12.7
неквалифицированные рабочие	129.0	23.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	7.0	1.3
ОРОЧИ		
Хабаровский край		
Население, занятое в экономике 	112.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	9.0	8.0
специалисты высшего уровня квалификации	12.0	10.7
специалисты среднего уровня квалификации	3.0	2.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2.0	1.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	10.0	8.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	18.0	16.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	25.0	22.3
операторы, аппаратчики, машинисты установок и машин	3.0	2.7
неквалифицированные рабочие	26.0	23.2
занятые на военной службе	1.0	0.9
лица, неточно указавшие или не указавшие  занятия	3.0	2.7
СААМЫ		
Мурманская область		
Население, занятое в экономике 	417.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	29.0	6.9
специалисты высшего уровня квалификации	42.0	10.1
специалисты среднего уровня квалификации	42.0	10.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17.0	4.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	38.0	9.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	25.0	6.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	62.0	14.9
операторы, аппаратчики, машинисты установок и машин	53.0	12.7
неквалифицированные рабочие	103.0	24.7
занятые на военной службе	2.0	0.5
лица, неточно указавшие или не указавшие  занятия	4.0	0.9
СЕЛЬКУПЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	920.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	32.0	3.5
специалисты высшего уровня квалификации	79.0	8.6
специалисты среднего уровня квалификации	101.0	11.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17.0	1.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	108.0	11.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	174.0	18.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	87.0	9.5
операторы, аппаратчики, машинисты установок и машин	112.0	12.2
неквалифицированные рабочие	178.0	19.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	32.0	3.5
Тюменская область		
Население, занятое в экономике 	519.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	13.0	2.5
специалисты высшего уровня квалификации	47.0	9.1
специалисты среднего уровня квалификации	61.0	11.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	1.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	63.0	12.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	139.0	26.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	40.0	7.7
операторы, аппаратчики, машинисты установок и машин	40.0	7.7
неквалифицированные рабочие	92.0	17.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	17.0	3.3
Ямало-Ненецкий автономный округ		
Население, занятое в экономике 	518.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	13.0	2.5
специалисты высшего уровня квалификации	47.0	9.1
специалисты среднего уровня квалификации	61.0	11.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	1.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	63.0	12.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	139.0	26.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	40.0	7.7
операторы, аппаратчики, машинисты установок и машин	40.0	7.7
неквалифицированные рабочие	91.0	17.6
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	17.0	3.3
Томская область		
Население, занятое в экономике 	314.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	16.0	5.1
специалисты высшего уровня квалификации	31.0	9.9
специалисты среднего уровня квалификации	30.0	9.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	8.0	2.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	38.0	12.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11.0	3.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	38.0	12.1
операторы, аппаратчики, машинисты установок и машин	69.0	22.0
неквалифицированные рабочие	66.0	21.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	7.0	2.2
Красноярский край		
Население, занятое в экономике 	87.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3.0	3.5
специалисты высшего уровня квалификации	1.0	1.2
специалисты среднего уровня квалификации	10.0	11.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	2.0	2.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	7.0	8.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	24.0	27.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9.0	10.3
операторы, аппаратчики, машинисты установок и машин	3.0	3.4
неквалифицированные рабочие	20.0	23.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	8.0	9.2
ТЕЛЕНГИТЫ		
Республика Алтай		
Население, занятое в экономике 	2.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	-	-
специалисты высшего уровня квалификации	-	-
специалисты среднего уровня квалификации	-	-
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	-	-
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	-	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1.0	50.0
операторы, аппаратчики, машинисты установок и машин	-	-
неквалифицированные рабочие	1.0	50.0
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ТЕЛЕУТЫ		
Кемеровская область		
Население, занятое в экономике 	459.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	35.0	7.6
специалисты высшего уровня квалификации	40.0	8.7
специалисты среднего уровня квалификации	50.0	10.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16.0	3.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	73.0	15.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	28.0	6.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	100.0	21.8
операторы, аппаратчики, машинисты установок и машин	52.0	11.3
неквалифицированные рабочие	62.0	13.5
занятые на военной службе	1.0	0.2
лица, неточно указавшие или не указавшие  занятия	2.0	0.5
ТОФАЛАРЫ		
Иркутская область		
Население, занятое в экономике 	86.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	7.0	8.2
специалисты высшего уровня квалификации	7.0	8.1
специалисты среднего уровня квалификации	10.0	11.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3.0	3.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	17.0	19.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	10.0	11.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	3.0	3.5
операторы, аппаратчики, машинисты установок и машин	5.0	5.8
неквалифицированные рабочие	21.0	24.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	3.0	3.5
ТУБАЛАРЫ		
Республика Алтай		
Население, занятое в экономике 	223.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	14.0	6.3
специалисты высшего уровня квалификации	24.0	10.8
специалисты среднего уровня квалификации	33.0	14.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11.0	4.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	23.0	10.3
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	17.0	7.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	36.0	16.1
операторы, аппаратчики, машинисты установок и машин	22.0	9.9
неквалифицированные рабочие	43.0	19.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
ТУВИНЦЫ-ТОДЖИНЦЫ		
Республика Тыва		
Население, занятое в экономике 	655.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	56.0	8.6
специалисты высшего уровня квалификации	90.0	13.8
специалисты среднего уровня квалификации	126.0	19.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	32.0	4.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	71.0	10.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	84.0	12.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	14.0	2.1
операторы, аппаратчики, машинисты установок и машин	23.0	3.5
неквалифицированные рабочие	157.0	24.0
занятые на военной службе	2.0	0.3
лица, неточно указавшие или не указавшие  занятия	-	-
УДЭГЕЙЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	347.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	28.0	8.1
специалисты высшего уровня квалификации	43.0	12.4
специалисты среднего уровня квалификации	43.0	12.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12.0	3.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	38.0	10.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	27.0	7.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	26.0	7.5
операторы, аппаратчики, машинисты установок и машин	44.0	12.7
неквалифицированные рабочие	83.0	23.9
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	3.0	0.9
Приморский край		
Население, занятое в экономике 	231.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	17.0	7.4
специалисты высшего уровня квалификации	32.0	13.9
специалисты среднего уровня квалификации	31.0	13.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	9.0	3.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	25.0	10.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	8.0	3.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	16.0	6.9
операторы, аппаратчики, машинисты установок и машин	35.0	15.1
неквалифицированные рабочие	57.0	24.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	0.4
Хабаровский край		
Население, занятое в экономике 	116.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	11.0	9.5
специалисты высшего уровня квалификации	11.0	9.5
специалисты среднего уровня квалификации	12.0	10.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	3.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	13.0	11.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19.0	16.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	10.0	8.6
операторы, аппаратчики, машинисты установок и машин	9.0	7.8
неквалифицированные рабочие	26.0	22.4
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	2.0	1.7
УЛЬТА (ОРОКИ)		
Сахалинская область		
Население, занятое в экономике 	66.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2.0	3.0
специалисты высшего уровня квалификации	6.0	9.1
специалисты среднего уровня квалификации	10.0	15.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	-	-
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	7.0	10.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13.0	19.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	9.0	13.6
операторы, аппаратчики, машинисты установок и машин	4.0	6.1
неквалифицированные рабочие	15.0	22.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	-	-
УЛЬЧИ		
Хабаровский край		
Население, занятое в экономике 	556.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	59.0	10.6
специалисты высшего уровня квалификации	79.0	14.2
специалисты среднего уровня квалификации	104.0	18.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	25.0	4.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	47.0	8.5
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	36.0	6.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	62.0	11.1
операторы, аппаратчики, машинисты установок и машин	40.0	7.2
неквалифицированные рабочие	96.0	17.3
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	8.0	1.4
ХАНТЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	6610.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	374.0	5.7
специалисты высшего уровня квалификации	724.0	11.0
специалисты среднего уровня квалификации	993.0	15.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	170.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	742.0	11.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1154.0	17.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	525.0	7.9
операторы, аппаратчики, машинисты установок и машин	499.0	7.5
неквалифицированные рабочие	1284.0	19.4
занятые на военной службе	2.0	0.0
лица, неточно указавшие или не указавшие  занятия	143.0	2.2
Тюменская область		
Население, занятое в экономике 	6470.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	369.0	5.7
специалисты высшего уровня квалификации	716.0	11.1
специалисты среднего уровня квалификации	977.0	15.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	169.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	724.0	11.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1149.0	17.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	510.0	7.9
операторы, аппаратчики, машинисты установок и машин	464.0	7.2
неквалифицированные рабочие	1248.0	19.3
занятые на военной службе	2.0	0.0
лица, неточно указавшие или не указавшие  занятия	142.0	2.2
Ханты-Мансийский автономный округ – Югра		
Население, занятое в экономике 	3701.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	264.0	7.1
специалисты высшего уровня квалификации	439.0	11.9
специалисты среднего уровня квалификации	539.0	14.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	106.0	2.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	423.0	11.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	496.0	13.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	281.0	7.6
операторы, аппаратчики, машинисты установок и машин	324.0	8.8
неквалифицированные рабочие	734.0	19.8
занятые на военной службе	2.0	0.0
лица, неточно указавшие или не указавшие  занятия	93.0	2.5
Ямало-Ненецкий автономный округ 		
Население, занятое в экономике 	2732.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	105.0	3.9
специалисты высшего уровня квалификации	277.0	10.2
специалисты среднего уровня квалификации	438.0	16.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	63.0	2.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	301.0	11.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	621.0	22.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	229.0	8.4
операторы, аппаратчики, машинисты установок и машин	140.0	5.1
неквалифицированные рабочие	514.0	18.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	44.0	1.6
Томская область		
Население, занятое в экономике 	140.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	5.0	3.6
специалисты высшего уровня квалификации	8.0	5.7
специалисты среднего уровня квалификации	16.0	11.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1.0	0.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	18.0	12.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	5.0	3.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	15.0	10.7
операторы, аппаратчики, машинисты установок и машин	35.0	25.0
неквалифицированные рабочие	36.0	25.7
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	0.7
Республика Коми		
Население, занятое в экономике 	-	-
ЧЕЛКАНЦЫ		
Республика Алтай		
Население, занятое в экономике 	171.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	24.0	14.0
специалисты высшего уровня квалификации	25.0	14.6
специалисты среднего уровня квалификации	34.0	19.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	7.0	4.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	22.0	12.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1.0	0.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	13.0	7.6
операторы, аппаратчики, машинисты установок и машин	22.0	12.9
неквалифицированные рабочие	22.0	12.9
занятые на военной службе	1.0	0.6
лица, неточно указавшие или не указавшие  занятия	-	-
ЧУВАНЦЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	392.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31.0	7.9
специалисты высшего уровня квалификации	47.0	12.0
специалисты среднего уровня квалификации	43.0	11.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12.0	3.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	48.0	12.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	27.0	6.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	41.0	10.4
операторы, аппаратчики, машинисты установок и машин	43.0	11.0
