																			
2. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
																			
	Все население	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
трудоспособном	176605.0	214425.0	120609.0	16279.0	10832.0	7181.0	4289.0	9449.0	2402.0	744.0	345.0	88.0	40147.0	2060.0	1878.0	137992.0	33864.0	2781.0	90.0
старше трудоспособного	79472.0	97121.0	7758.0	9706.0	-	74406.0	3205.0	1326.0	-	138.0	73.0	82.0	358.0	69.0	661.0	62043.0	15277.0	1440.0	51.0
Сельское население	313784.0	496978.0	106478.0	118111.0	4114.0	96340.0	12175.0	62939.0	608.0	5630.0	720.0	2200.0	82890.0	4773.0	218.0	143208.0	157720.0	12244.0	394.0
из него в возрасте:																			
моложе трудоспособного	57238.0	108668.0	32.0	995.0	457.0	1189.0	652.0	49495.0	-	1152.0	4.0	40.0	54588.0	64.0	80.0	7801.0	47251.0	2059.0	47.0
трудоспособном	164095.0	244622.0	103455.0	74271.0	3657.0	6955.0	8032.0	10265.0	608.0	3213.0	354.0	1116.0	28073.0	4623.0	101.0	89681.0	68195.0	5932.0	186.0
старше трудоспособного	92384.0	143616.0	2965.0	42824.0	-	88181.0	3490.0	3175.0	-	1265.0	362.0	1044.0	226.0	84.0	19.0	45699.0	42253.0	4252.0	161.0
Мужчины	144952.0	228658.0	56067.0	53556.0	2197.0	30509.0	7441.0	30239.0	244.0	2139.0	329.0	958.0	41704.0	3275.0	101.0	66613.0	72828.0	5263.0	147.0
из них в возрасте:																			
моложе трудоспособного	29424.0	55843.0	26.0	508.0	286.0	617.0	392.0	25334.0	-	656.0	2.0	21.0	27973.0	28.0	39.0	4072.0	24190.0	1101.0	22.0
трудоспособном	86498.0	126533.0	55053.0	38486.0	1911.0	2858.0	5294.0	4002.0	244.0	975.0	193.0	618.0	13687.0	3212.0	54.0	49263.0	34348.0	2766.0	67.0
старше трудоспособного	29001.0	46247.0	975.0	14554.0	-	27027.0	1754.0	899.0	-	508.0	134.0	319.0	43.0	34.0	3.0	13264.0	14281.0	1395.0	58.0
Женщины	168832.0	268320.0	50411.0	64555.0	1917.0	65831.0	4734.0	32700.0	364.0	3491.0	391.0	1242.0	41186.0	1498.0	117.0	76595.0	84892.0	6981.0	247.0
из них в возрасте:																			
моложе трудоспособного	27814.0	52825.0	6.0	487.0	171.0	572.0	260.0	24161.0	-	496.0	2.0	19.0	26615.0	36.0	41.0	3729.0	23061.0	958.0	25.0
трудоспособном	77597.0	118089.0	48402.0	35785.0	1746.0	4097.0	2738.0	6263.0	364.0	2238.0	161.0	498.0	14386.0	1411.0	47.0	40418.0	33847.0	3166.0	119.0
старше трудоспособного	63383.0	97369.0	1990.0	28270.0	-	61154.0	1736.0	2276.0	-	757.0	228.0	725.0	183.0	50.0	16.0	32435.0	27972.0	2857.0	103.0
Рязанская область																			
Городское и сельское население	1227910.0	1603885.0	502663.0	165969.0	29905.0	333151.0	59111.0	150888.0	4207.0	19419.0	2095.0	796.0	324463.0	11218.0	13872.0	844411.0	350011.0	19021.0	595.0
из него в возрасте:																			
моложе трудоспособного	193871.0	320107.0	186.0	1344.0	2372.0	3886.0	2231.0	121552.0	-	2758.0	34.0	64.0	185321.0	359.0	1929.0	68217.0	119381.0	4249.0	95.0
трудоспособном	711120.0	865788.0	477497.0	97308.0	27533.0	30314.0	38625.0	26312.0	4207.0	14709.0	1632.0	494.0	136554.0	10603.0	9033.0	548696.0	143482.0	9514.0	395.0
старше трудоспособного	322749.0	417966.0	24974.0	67314.0	-	298944.0	18254.0	3022.0	-	1952.0	429.0	237.0	2586.0	254.0	2756.0	227488.0	87144.0	5256.0	105.0
Мужчины	560925.0	733151.0	253325.0	73017.0	15269.0	108753.0	32131.0	70196.0	1226.0	15548.0	1159.0	308.0	155130.0	7089.0	6431.0	384515.0	161587.0	8110.0	282.0
из них в возрасте:																			
моложе трудоспособного	99214.0	163881.0	121.0	682.0	1478.0	1980.0	1326.0	61929.0	-	1477.0	16.0	30.0	94647.0	195.0	1014.0	34856.0	61060.0	2232.0	52.0
трудоспособном	362099.0	436914.0	244259.0	49589.0	13791.0	16685.0	22817.0	7363.0	1226.0	13222.0	1007.0	247.0	59913.0	6795.0	4471.0	282744.0	70678.0	4012.0	194.0
старше трудоспособного	99536.0	132348.0	8943.0	22745.0	-	90085.0	7988.0	904.0	-	849.0	136.0	31.0	569.0	98.0	877.0	66909.0	29848.0	1866.0	36.0
Женщины	666985.0	870734.0	249338.0	92952.0	14636.0	224398.0	26980.0	80692.0	2981.0	3871.0	936.0	488.0	169333.0	4129.0	7441.0	459896.0	188424.0	10911.0	313.0
из них в возрасте:																			
моложе трудоспособного	94657.0	156226.0	65.0	662.0	894.0	1906.0	905.0	59623.0	-	1281.0	18.0	34.0	90674.0	164.0	915.0	33361.0	58321.0	2017.0	43.0
трудоспособном	349021.0	428874.0	233238.0	47719.0	13742.0	13629.0	15808.0	18949.0	2981.0	1487.0	625.0	247.0	76641.0	3808.0	4562.0	265952.0	72804.0	5502.0	201.0
старше трудоспособного	223213.0	285618.0	16031.0	44569.0	-	208859.0	10266.0	2118.0	-	1103.0	293.0	206.0	2017.0	156.0	1879.0	160579.0	57296.0	3390.0	69.0
Городское население	846180.0	1044574.0	381335.0	50889.0	25538.0	198164.0	37731.0	95419.0	3380.0	13308.0	1681.0	616.0	229850.0	6663.0	13618.0	633093.0	187374.0	11655.0	440.0
из него в возрасте:																			
моложе трудоспособного	132916.0	208687.0	99.0	449.0	1756.0	2329.0	1394.0	72972.0	-	1875.0	30.0	42.0	127460.0	281.0	1841.0	55861.0	72861.0	2308.0	45.0
трудоспособном	524152.0	606969.0	360511.0	32031.0	23782.0	23691.0	24122.0	19720.0	3380.0	10514.0	1353.0	361.0	101294.0	6210.0	8915.0	430464.0	78126.0	6341.0	306.0
старше трудоспособного	188970.0	228903.0	20721.0	18408.0	-	172141.0	12214.0	2725.0	-	919.0	298.0	212.0	1094.0	171.0	2729.0	146763.0	36385.0	3004.0	89.0
Мужчины	386749.0	478589.0	188749.0	22295.0	12823.0	66962.0	19521.0	43594.0	992.0	11077.0	921.0	222.0	107570.0	3863.0	6299.0	287908.0	87171.0	5148.0	223.0
из них в возрасте:																			
моложе трудоспособного	67800.0	106485.0	61.0	211.0	1073.0	1174.0	818.0	37064.0	-	1032.0	14.0	21.0	64869.0	148.0	962.0	28447.0	37161.0	1204.0	26.0
трудоспособном	260638.0	299406.0	181027.0	15724.0	11750.0	13725.0	13691.0	5727.0	992.0	9625.0	816.0	173.0	42501.0	3655.0	4407.0	216164.0	37125.0	2778.0	164.0
старше трудоспособного	58247.0	72693.0	7660.0	6359.0	-	52061.0	5012.0	803.0	-	420.0	91.0	28.0	199.0	60.0	870.0	43294.0	12884.0	1166.0	33.0
Женщины	459431.0	565985.0	192586.0	28594.0	12715.0	131202.0	18210.0	51825.0	2388.0	2231.0	760.0	394.0	122280.0	2800.0	7319.0	345185.0	100203.0	6507.0	217.0
из них в возрасте:																			
моложе трудоспособного	65116.0	102202.0	38.0	238.0	683.0	1155.0	576.0	35908.0	-	843.0	16.0	21.0	62591.0	133.0	879.0	27414.0	35700.0	1104.0	19.0
трудоспособном	263514.0	307563.0	179484.0	16307.0	12032.0	9966.0	10431.0	13993.0	2388.0	889.0	537.0	188.0	58793.0	2555.0	4508.0	214300.0	41001.0	3563.0	142.0
старше трудоспособного	130723.0	156210.0	13061.0	12049.0	-	120080.0	7202.0	1922.0	-	499.0	207.0	184.0	895.0	111.0	1859.0	103469.0	23501.0	1838.0	56.0
Сельское население	381730.0	559311.0	121328.0	115080.0	4367.0	134987.0	21380.0	55469.0	827.0	6111.0	414.0	180.0	94613.0	4555.0	254.0	211318.0	162637.0	7366.0	155.0
из него в возрасте:																			
моложе трудоспособного	60955.0	111420.0	87.0	895.0	616.0	1557.0	837.0	48580.0	-	883.0	4.0	22.0	57861.0	78.0	88.0	12356.0	46520.0	1941.0	50.0
трудоспособном	186968.0	258819.0	116986.0	65277.0	3751.0	6623.0	14503.0	6592.0	827.0	4195.0	279.0	133.0	35260.0	4393.0	118.0	118232.0	65356.0	3173.0	89.0
старше трудоспособного	133779.0	189063.0	4253.0	48906.0	-	126803.0	6040.0	297.0	-	1033.0	131.0	25.0	1492.0	83.0	27.0	80725.0	50759.0	2252.0	16.0
Мужчины	174176.0	254562.0	64576.0	50722.0	2446.0	41791.0	12610.0	26602.0	234.0	4471.0	238.0	86.0	47560.0	3226.0	132.0	96607.0	74416.0	2962.0	59.0
из них в возрасте:																			
моложе трудоспособного	31414.0	57396.0	60.0	471.0	405.0	806.0	508.0	24865.0	-	445.0	2.0	9.0	29778.0	47.0	52.0	6409.0	23899.0	1028.0	26.0
трудоспособном	101461.0	137508.0	63232.0	33865.0	2041.0	2960.0	9126.0	1636.0	234.0	3597.0	191.0	74.0	17412.0	3140.0	64.0	66580.0	33553.0	1234.0	30.0
старше трудоспособного	41289.0	59655.0	1283.0	16386.0	-	38024.0	2976.0	101.0	-	429.0	45.0	3.0	370.0	38.0	7.0	23615.0	16964.0	700.0	3.0
Женщины	207554.0	304749.0	56752.0	64358.0	1921.0	93196.0	8770.0	28867.0	593.0	1640.0	176.0	94.0	47053.0	1329.0	122.0	114711.0	88221.0	4404.0	96.0
из них в возрасте:																			
моложе трудоспособного	29541.0	54024.0	27.0	424.0	211.0	751.0	329.0	23715.0	-	438.0	2.0	13.0	28083.0	31.0	36.0	5947.0	22621.0	913.0	24.0
трудоспособном	85507.0	121311.0	53754.0	31412.0	1710.0	3663.0	5377.0	4956.0	593.0	598.0	88.0	59.0	17848.0	1253.0	54.0	51652.0	31803.0	1939.0	59.0
старше трудоспособного	92490.0	129408.0	2970.0	32520.0	-	88779.0	3064.0	196.0	-	604.0	86.0	22.0	1122.0	45.0	20.0	57110.0	33795.0	1552.0	13.0
Смоленская область																			
Городское и сельское население	1049574.0	1304787.0	441646.0	106264.0	18600.0	256506.0	46749.0	104574.0	3210.0	17870.0	1767.0	536.0	290907.0	16158.0	11895.0	780032.0	248376.0	9083.0	188.0
из него в возрасте:																			
моложе трудоспособного	169764.0	261283.0	184.0	242.0	1713.0	3628.0	1996.0	87483.0	-	2693.0	18.0	70.0	162893.0	363.0	1118.0	78610.0	87496.0	2479.0	61.0
трудоспособном	628117.0	733382.0	421463.0	63671.0	16869.0	24478.0	30439.0	16875.0	3209.0	12275.0	1366.0	358.0	126944.0	15435.0	4395.0	518435.0	101008.0	4186.0	93.0
старше трудоспособного	246022.0	309697.0	19827.0	42323.0	-	228314.0	14301.0	209.0	-	2860.0	382.0	107.0	1022.0	352.0	1054.0	182716.0	59807.0	2413.0	32.0
Мужчины	477356.0	593484.0	218955.0	45912.0	8939.0	82124.0	26365.0	47348.0	1056.0	13290.0	905.0	228.0	138529.0	9833.0	5617.0	353948.0	113930.0	3769.0	92.0
из них в возрасте:																			
моложе трудоспособного	86700.0	133335.0	118.0	124.0	1005.0	1831.0	1145.0	44373.0	-	1504.0	9.0	31.0	83022.0	173.0	579.0	40266.0	44528.0	1295.0	32.0
трудоспособном	314671.0	364869.0	212082.0	31551.0	7928.0	14090.0	18825.0	2935.0	1055.0	10664.0	760.0	176.0	55280.0	9523.0	2173.0	261806.0	49053.0	1599.0	40.0
старше трудоспособного	73300.0	95086.0	6668.0	14225.0	-	66174.0	6388.0	39.0	-	1098.0	135.0	20.0	205.0	134.0	340.0	51745.0	20322.0	875.0	18.0
Женщины	572218.0	711303.0	222691.0	60352.0	9661.0	174382.0	20384.0	57226.0	2154.0	4580.0	862.0	308.0	152378.0	6325.0	6278.0	426084.0	134446.0	5314.0	96.0
из них в возрасте:																			
моложе трудоспособного	83064.0	127948.0	66.0	118.0	708.0	1797.0	851.0	43110.0	-	1189.0	9.0	39.0	79871.0	190.0	539.0	38344.0	42968.0	1184.0	29.0
трудоспособном	313446.0	368513.0	209381.0	32120.0	8941.0	10388.0	11614.0	13940.0	2154.0	1611.0	606.0	182.0	71664.0	5912.0	2222.0	256629.0	51955.0	2587.0	53.0
старше трудоспособного	172722.0	214611.0	13159.0	28098.0	-	162140.0	7913.0	170.0	-	1762.0	247.0	87.0	817.0	218.0	714.0	130971.0	39485.0	1538.0	14.0
Городское население	743599.0	874851.0	339272.0	32799.0	15306.0	161271.0	29536.0	61629.0	2388.0	10856.0	1410.0	415.0	210085.0	9884.0	11618.0	594447.0	132345.0	5044.0	145.0
из него в возрасте:																			
моложе трудоспособного	119359.0	171665.0	110.0	160.0	1290.0	2101.0	1034.0	49938.0	-	1860.0	14.0	50.0	114818.0	290.0	1046.0	66319.0	50691.0	1248.0	55.0
трудоспособном	465820.0	521523.0	322509.0	20928.0	13998.0	18869.0	18514.0	11514.0	2387.0	7472.0	1120.0	274.0	94572.0	9366.0	4259.0	404128.0	54969.0	2400.0	64.0
старше трудоспособного	152870.0	181333.0	16521.0	11697.0	-	140235.0	9977.0	172.0	-	1490.0	275.0	90.0	653.0	223.0	1033.0	123780.0	26642.0	1391.0	24.0
Мужчины	335436.0	394747.0	164395.0	13911.0	7135.0	52438.0	15905.0	27103.0	808.0	8162.0	726.0	173.0	98359.0	5632.0	5491.0	267382.0	60396.0	2096.0	71.0
из них в возрасте:																			
моложе трудоспособного	60868.0	87425.0	57.0	74.0	756.0	1044.0	577.0	25258.0	-	1038.0	7.0	23.0	58450.0	141.0	540.0	33918.0	25750.0	633.0	27.0
трудоспособном	227123.0	252496.0	158649.0	9951.0	6373.0	11193.0	11218.0	1814.0	807.0	6568.0	619.0	132.0	39769.0	5403.0	2107.0	198557.0	25468.0	961.0	30.0
старше трудоспособного	44812.0	54674.0	5619.0	3879.0	-	40178.0	4105.0	30.0	-	540.0	99.0	17.0	122.0	85.0	338.0	34800.0	9160.0	502.0	12.0
Женщины	408163.0	480104.0	174877.0	18888.0	8171.0	108833.0	13631.0	34526.0	1580.0	2694.0	684.0	242.0	111726.0	4252.0	6127.0	327065.0	71949.0	2948.0	74.0
из них в возрасте:																			
моложе трудоспособного	58491.0	84240.0	53.0	86.0	534.0	1057.0	457.0	24680.0	-	822.0	7.0	27.0	56368.0	149.0	506.0	32401.0	24941.0	615.0	28.0
трудоспособном	238697.0	269027.0	163860.0	10977.0	7625.0	7676.0	7296.0	9700.0	1580.0	904.0	501.0	142.0	54803.0	3963.0	2152.0	205571.0	29501.0	1439.0	34.0
старше трудоспособного	108058.0	126659.0	10902.0	7818.0	-	100057.0	5872.0	142.0	-	950.0	176.0	73.0	531.0	138.0	695.0	88980.0	17482.0	889.0	12.0
Сельское население	305975.0	429936.0	102374.0	73465.0	3294.0	95235.0	17213.0	42945.0	822.0	7014.0	357.0	121.0	80822.0	6274.0	277.0	185585.0	116031.0	4039.0	43.0
из него в возрасте:																			
моложе трудоспособного	50405.0	89618.0	74.0	82.0	423.0	1527.0	962.0	37545.0	-	833.0	4.0	20.0	48075.0	73.0	72.0	12291.0	36805.0	1231.0	6.0
трудоспособном	162297.0	211859.0	98954.0	42743.0	2871.0	5609.0	11925.0	5361.0	822.0	4803.0	246.0	84.0	32372.0	6069.0	136.0	114307.0	46039.0	1786.0	29.0
старше трудоспособного	93152.0	128364.0	3306.0	30626.0	-	88079.0	4324.0	37.0	-	1370.0	107.0	17.0	369.0	129.0	21.0	58936.0	33165.0	1022.0	8.0
Мужчины	141920.0	198737.0	54560.0	32001.0	1804.0	29686.0	10460.0	20245.0	248.0	5128.0	179.0	55.0	40170.0	4201.0	126.0	86566.0	53534.0	1673.0	21.0
из них в возрасте:																			
моложе трудоспособного	25832.0	45910.0	61.0	50.0	249.0	787.0	568.0	19115.0	-	466.0	2.0	8.0	24572.0	32.0	39.0	6348.0	18778.0	662.0	5.0
трудоспособном	87548.0	112373.0	53433.0	21600.0	1555.0	2897.0	7607.0	1121.0	248.0	4096.0	141.0	44.0	15511.0	4120.0	66.0	63249.0	23585.0	638.0	10.0
старше трудоспособного	28488.0	40412.0	1049.0	10346.0	-	25996.0	2283.0	9.0	-	558.0	36.0	3.0	83.0	49.0	2.0	16945.0	11162.0	373.0	6.0
Женщины	164055.0	231199.0	47814.0	41464.0	1490.0	65549.0	6753.0	22700.0	574.0	1886.0	178.0	66.0	40652.0	2073.0	151.0	99019.0	62497.0	2366.0	22.0
из них в возрасте:																			
моложе трудоспособного	24573.0	43708.0	13.0	32.0	174.0	740.0	394.0	18430.0	-	367.0	2.0	12.0	23503.0	41.0	33.0	5943.0	18027.0	569.0	1.0
трудоспособном	74749.0	99486.0	45521.0	21143.0	1316.0	2712.0	4318.0	4240.0	574.0	707.0	105.0	40.0	16861.0	1949.0	70.0	51058.0	22454.0	1148.0	19.0
старше трудоспособного	64664.0	87952.0	2257.0	20280.0	-	62083.0	2041.0	28.0	-	812.0	71.0	14.0	286.0	80.0	19.0	41991.0	22003.0	649.0	2.0
Тамбовская область																			
Городское и сельское население	1178443.0	1547527.0	421449.0	181032.0	24929.0	311586.0	56009.0	155701.0	11990.0	15977.0	1813.0	605.0	344889.0	21547.0	5042.0	813576.0	345780.0	13791.0	254.0
из него в возрасте:																			
моложе трудоспособного	197385.0	335611.0	79.0	711.0	2026.0	3740.0	2271.0	133009.0	-	3081.0	4.0	112.0	190170.0	408.0	624.0	62312.0	130136.0	4225.0	88.0
трудоспособном	679812.0	835714.0	404615.0	123194.0	22898.0	27297.0	37307.0	22548.0	11987.0	10822.0	1198.0	353.0	152844.0	20651.0	3185.0	524474.0	145359.0	6656.0	138.0
старше трудоспособного	300746.0	376065.0	16714.0	57123.0	-	280527.0	16426.0	134.0	-	2061.0	610.0	140.0	1846.0	484.0	845.0	226702.0	70262.0	2909.0	28.0
Мужчины	539209.0	712285.0	212394.0	84973.0	12586.0	102368.0	30144.0	73607.0	4319.0	11962.0	901.0	259.0	165404.0	13368.0	2321.0	367344.0	163783.0	5669.0	92.0
из них в возрасте:																			
моложе трудоспособного	101248.0	172077.0	58.0	384.0	1242.0	1905.0	1318.0	67812.0	-	1698.0	2.0	55.0	97397.0	206.0	316.0	32105.0	66555.0	2226.0	46.0
трудоспособном	344855.0	420969.0	206879.0	64216.0	11342.0	15593.0	21807.0	5756.0	4317.0	9424.0	685.0	180.0	67778.0	12992.0	1525.0	268232.0	72589.0	2477.0	32.0
старше трудоспособного	92870.0	119177.0	5433.0	20371.0	-	84866.0	7017.0	36.0	-	833.0	213.0	24.0	215.0	169.0	295.0	66966.0	24630.0	965.0	14.0
Женщины	639234.0	835242.0	209055.0	96059.0	12343.0	209218.0	25865.0	82094.0	7671.0	4015.0	912.0	346.0	179485.0	8179.0	2721.0	446232.0	181997.0	8122.0	162.0
из них в возрасте:																			
моложе трудоспособного	96137.0	163534.0	21.0	327.0	784.0	1835.0	953.0	65197.0	-	1383.0	2.0	57.0	92773.0	202.0	308.0	30207.0	63581.0	1999.0	42.0
трудоспособном	334957.0	414745.0	197736.0	58978.0	11556.0	11704.0	15500.0	16792.0	7670.0	1398.0	513.0	173.0	85066.0	7659.0	1660.0	256242.0	72770.0	4179.0	106.0
старше трудоспособного	207876.0	256888.0	11281.0	36752.0	-	195661.0	9409.0	98.0	-	1228.0	397.0	116.0	1631.0	315.0	550.0	159736.0	45632.0	1944.0	14.0
Городское население	674095.0	816648.0	268886.0	28928.0	18300.0	160753.0	30923.0	75234.0	8018.0	8427.0	925.0	363.0	202783.0	13108.0	3767.0	529391.0	135667.0	5158.0	112.0
из него в возрасте:																			
моложе трудоспособного	110133.0	175228.0	42.0	124.0	1304.0	1767.0	1176.0	62398.0	-	1988.0	2.0	38.0	106074.0	315.0	430.0	46070.0	61797.0	1780.0	56.0
трудоспособном	411989.0	470283.0	256446.0	21217.0	16991.0	19615.0	19837.0	12745.0	8015.0	5704.0	835.0	227.0	96117.0	12534.0	2300.0	351809.0	55212.0	2623.0	45.0
старше трудоспособного	151577.0	171044.0	12369.0	7587.0	-	139360.0	9908.0	83.0	-	727.0	87.0	98.0	569.0	256.0	718.0	131450.0	18644.0	754.0	11.0
Мужчины	303560.0	370459.0	129646.0	13825.0	9037.0	54003.0	15454.0	34931.0	2969.0	6472.0	511.0	149.0	95824.0	7638.0	1711.0	235629.0	63892.0	2266.0	62.0
из них в возрасте:																			
моложе трудоспособного	56392.0	89802.0	29.0	78.0	791.0	875.0	664.0	31818.0	-	1105.0	1.0	19.0	54268.0	154.0	214.0	23570.0	31626.0	948.0	34.0
трудоспособном	201218.0	227991.0	125544.0	10969.0	8244.0	11792.0	10984.0	3089.0	2967.0	4969.0	476.0	118.0	41451.0	7388.0	1086.0	173347.0	25730.0	1036.0	19.0
старше трудоспособного	45763.0	52627.0	4057.0	2778.0	-	41335.0	3805.0	22.0	-	394.0	33.0	12.0	95.0	96.0	257.0	38684.0	6532.0	281.0	9.0
Женщины	370535.0	446189.0	139240.0	15103.0	9263.0	106750.0	15469.0	40303.0	5049.0	1955.0	414.0	214.0	106959.0	5470.0	2056.0	293762.0	71775.0	2892.0	50.0
из них в возрасте:																			
моложе трудоспособного	53741.0	85426.0	13.0	46.0	513.0	892.0	512.0	30580.0	-	883.0	1.0	19.0	51806.0	161.0	216.0	22500.0	30171.0	832.0	22.0
трудоспособном	210771.0	242292.0	130902.0	10248.0	8747.0	7823.0	8853.0	9656.0	5048.0	735.0	359.0	109.0	54666.0	5146.0	1214.0	178462.0	29482.0	1587.0	26.0
старше трудоспособного	105814.0	118417.0	8312.0	4809.0	-	98025.0	6103.0	61.0	-	333.0	54.0	86.0	474.0	160.0	461.0	92766.0	12112.0	473.0	2.0
Сельское население	504348.0	730879.0	152563.0	152104.0	6629.0	150833.0	25086.0	80467.0	3972.0	7550.0	888.0	242.0	142106.0	8439.0	1275.0	284185.0	210113.0	8633.0	142.0
из него в возрасте:																			
моложе трудоспособного	87252.0	160383.0	37.0	587.0	722.0	1973.0	1095.0	70611.0	-	1093.0	2.0	74.0	84096.0	93.0	194.0	16242.0	68339.0	2445.0	32.0
трудоспособном	267823.0	365431.0	148169.0	101977.0	5907.0	7682.0	17470.0	9803.0	3972.0	5118.0	363.0	126.0	56727.0	8117.0	885.0	172665.0	90147.0	4033.0	93.0
старше трудоспособного	149169.0	205021.0	4345.0	49536.0	-	141167.0	6518.0	51.0	-	1334.0	523.0	42.0	1277.0	228.0	127.0	95252.0	51618.0	2155.0	17.0
Мужчины	235649.0	341826.0	82748.0	71148.0	3549.0	48365.0	14690.0	38676.0	1350.0	5490.0	390.0	110.0	69580.0	5730.0	610.0	131715.0	99891.0	3403.0	30.0
из них в возрасте:																			
моложе трудоспособного	44856.0	82275.0	29.0	306.0	451.0	1030.0	654.0	35994.0	-	593.0	1.0	36.0	43129.0	52.0	102.0	8535.0	34929.0	1278.0	12.0
трудоспособном	143637.0	192978.0	81335.0	53247.0	3098.0	3801.0	10823.0	2667.0	1350.0	4455.0	209.0	62.0	26327.0	5604.0	439.0	94885.0	46859.0	1441.0	13.0
старше трудоспособного	47107.0	66550.0	1376.0	17593.0	-	43531.0	3212.0	14.0	-	439.0	180.0	12.0	120.0	73.0	38.0	28282.0	18098.0	684.0	5.0
Женщины	268699.0	389053.0	69815.0	80956.0	3080.0	102468.0	10396.0	41791.0	2622.0	2060.0	498.0	132.0	72526.0	2709.0	665.0	152470.0	110222.0	5230.0	112.0
из них в возрасте:																			
моложе трудоспособного	42396.0	78108.0	8.0	281.0	271.0	943.0	441.0	34617.0	-	500.0	1.0	38.0	40967.0	41.0	92.0	7707.0	33410.0	1167.0	20.0
трудоспособном	124186.0	172453.0	66834.0	48730.0	2809.0	3881.0	6647.0	7136.0	2622.0	663.0	154.0	64.0	30400.0	2513.0	446.0	77780.0	43288.0	2592.0	80.0
старше трудоспособного	102062.0	138471.0	2969.0	31943.0	-	97636.0	3306.0	37.0	-	895.0	343.0	30.0	1157.0	155.0	89.0	66970.0	33520.0	1471.0	12.0
Тверская область																			
Городское и сельское население	1471459.0	1886819.0	633454.0	169058.0	31239.0	403988.0	43339.0	170869.0	4212.0	24895.0	2617.0	922.0	373810.0	28416.0	14998.0	1044699.0	393509.0	17921.0	332.0
из него в возрасте:																			
моложе трудоспособного	238425.0	389718.0	331.0	826.0	3138.0	5869.0	2613.0	145791.0	-	5333.0	17.0	149.0	224703.0	948.0	2202.0	88359.0	142310.0	5478.0	76.0
трудоспособном	850050.0	1013407.0	597634.0	101491.0	28095.0	36296.0	28062.0	24732.0	4210.0	15710.0	1914.0	618.0	147761.0	26884.0	9127.0	676448.0	156665.0	7617.0	193.0
старше трудоспособного	382280.0	483420.0	35375.0	66712.0	-	361771.0	12654.0	337.0	-	3845.0	685.0	155.0	1306.0	580.0	3188.0	279715.0	94493.0	4821.0	63.0
Мужчины	662322.0	852064.0	316174.0	72797.0	14994.0	128927.0	24685.0	79465.0	1120.0	16377.0	1350.0	406.0	177525.0	18244.0	6804.0	467198.0	180231.0	7956.0	133.0
из них в возрасте:																			
моложе трудоспособного	122608.0	200397.0	236.0	425.0	1901.0	3006.0	1529.0	74499.0	-	3169.0	8.0	76.0	115055.0	493.0	1092.0	45647.0	72902.0	2922.0	45.0
трудоспособном	425905.0	503267.0	303437.0	50290.0	13092.0	20343.0	17157.0	4879.0	1118.0	11804.0	1095.0	299.0	62229.0	17524.0	4503.0	342823.0	75353.0	3168.0	58.0
старше трудоспособного	113483.0	148284.0	12448.0	22073.0	-	105564.0	5995.0	82.0	-	1397.0	246.0	31.0	223.0	225.0	977.0	78653.0	31960.0	1863.0	30.0
Женщины	809137.0	1034755.0	317280.0	96261.0	16245.0	275061.0	18654.0	91404.0	3092.0	8518.0	1267.0	516.0	196285.0	10172.0	8194.0	577501.0	213278.0	9965.0	199.0
из них в возрасте:																			
моложе трудоспособного	115817.0	189321.0	95.0	401.0	1237.0	2863.0	1084.0	71292.0	-	2164.0	9.0	73.0	109648.0	455.0	1110.0	42712.0	69408.0	2556.0	31.0
трудоспособном	424145.0	510140.0	294197.0	51201.0	15003.0	15953.0	10905.0	19853.0	3092.0	3906.0	819.0	319.0	85532.0	9360.0	4624.0	333625.0	81312.0	4449.0	135.0
старше трудоспособного	268797.0	335136.0	22927.0	44639.0	-	256207.0	6659.0	255.0	-	2448.0	439.0	124.0	1083.0	355.0	2211.0	201062.0	62533.0	2958.0	33.0
Городское население	1075746.0	1321826.0	499518.0	68113.0	26857.0	271797.0	28792.0	110876.0	3377.0	16024.0	2010.0	683.0	277276.0	16503.0	14293.0	812876.0	237020.0	11328.0	229.0
из него в возрасте:																			
моложе трудоспособного	173040.0	269884.0	208.0	431.0	2542.0	3638.0	1716.0	93059.0	-	3877.0	12.0	107.0	163499.0	795.0	2058.0	75368.0	92372.0	3197.0	45.0
трудоспособном	647852.0	742992.0	468546.0	41814.0	24310.0	29546.0	17734.0	17560.0	3376.0	10037.0	1565.0	430.0	112756.0	15318.0	8849.0	540157.0	93844.0	4867.0	135.0
старше трудоспособного	254288.0	308787.0	30680.0	25863.0	-	238581.0	9335.0	254.0	-	2109.0	433.0	146.0	998.0	388.0	2964.0	197223.0	50791.0	3261.0	49.0
Мужчины	479236.0	591005.0	244188.0	29029.0	12660.0	87335.0	15527.0	50646.0	882.0	10213.0	1053.0	287.0	129289.0	9896.0	6464.0	359786.0	107832.0	5064.0	90.0
из них в возрасте:																			
моложе трудоспособного	88715.0	138347.0	143.0	219.0	1531.0	1818.0	978.0	47369.0	-	2352.0	6.0	54.0	83470.0	407.0	1015.0	38800.0	47180.0	1693.0	27.0
