							
2. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ							
							
							
	Мужчины и женщины	Мужчины	Женщины	В процентах к итогу			Женщин на 1000 мужчин
10 – 14	48709.0	24842.0	23867.0	6.6	7.1	6.1	961.0
15 – 19	67955.0	37039.0	30916.0	9.2	10.6	7.9	835.0
20 – 24	60519.0	33214.0	27305.0	8.2	9.5	7.0	822.0
25 – 29	54519.0	27701.0	26818.0	7.30000019073	7.9	6.9	968.0
30 – 34	52556.0	26797.0	25759.0	7.1	7.6	6.6	961.0
35 – 39	53236.0	26755.0	26481.0	7.2	7.6	6.8	990.0
40 – 44	62844.0	30343.0	32501.0	8.5	8.6	8.3	1071.0
45 – 49	61590.0	28734.0	32856.0	8.3	8.2	8.4	1143.0
50 – 54	57499.0	25946.0	31553.0	7.69999980927	7.4	8.1	1216.0
55 – 59	29498.0	13198.0	16300.0	4.0	3.70000004768	4.2	1235.0
60 – 64	40567.0	16393.0	24174.0	5.5	4.7	6.2	1475.0
65 – 69	32707.0	12279.0	20428.0	4.4	3.5	5.2	1664.0
70 – 74	29355.0	9673.0	19682.0	3.90000009537	2.70000004768	5.0	2035.0
75 – 79	20870.0	5741.0	15129.0	2.8	1.6	3.9	2635.0
80 – 84	6812.0	1390.0	5422.0	0.9	0.4	1.4	3901.0
85 и более	3193.0	604.0	2589.0	0.4	0.2	0.7	4286.0
возраст не указан	481.0	258.0	223.0	0.1	0.1	0.0	864.0
Медианный возраст	37.7	34.1	40.9				
Из общей численности - население в возрасте:							
моложе трудоспособного	119397.0	60978.0	58419.0	16.1	17.4	15.0	958.0
трудоспособном	471805.0	243647.0	228158.0	63.6	69.4	58.4	936.0
старше трудоспособного	149804.0	46080.0	103724.0	20.2	13.1	26.6	2251.0
0 – 13 лет	95580.0	48928.0	46652.0	12.9	13.9	11.9	953.0
0 – 17 лет	144381.0	73616.0	70765.0	19.5	21.0	18.1	961.0
16 – 29 лет	170882.0	91874.0	79008.0	23.0	26.2	20.2	860.0
Сельское население	213794.0	105098.0	108696.0	100.0	100.0	100.0	1034.0
в том числе в возрасте, лет:							
0 – 4	10933.0	5597.0	5336.0	5.1	5.3	4.9	953.0
5 – 9	12073.0	6243.0	5830.0	5.69999980927	5.9	5.4	934.0
10 – 14	17768.0	9221.0	8547.0	8.3	8.8	7.9	927.0
15 – 19	19527.0	10347.0	9180.0	9.1	9.89999961853	8.4	887.0
20 – 24	17744.0	9421.0	8323.0	8.3	9.0	7.7	883.0
25 – 29	16237.0	8626.0	7611.0	7.6	8.2	7.0	882.0
30 – 34	14999.0	7886.0	7113.0	7.0	7.5	6.5	902.0
35 – 39	15406.0	8125.0	7281.0	7.2	7.7	6.7	896.0
40 – 44	18501.0	9549.0	8952.0	8.7	9.1	8.2	937.0
45 – 49	16780.0	8699.0	8081.0	7.8	8.3	7.4	929.0
50 – 54	14082.0	6962.0	7120.0	6.6	6.6	6.6	1023.0
55 – 59	6870.0	3204.0	3666.0	3.2	3.09999990463	3.4	1144.0
60 – 64	9825.0	4004.0	5821.0	4.6	3.8	5.4	1454.0
65 – 69	8525.0	3246.0	5279.0	4.0	3.1	4.9	1626.0
70 – 74	7670.0	2559.0	5111.0	3.6	2.4	4.7	1997.0
75 – 79	4552.0	1043.0	3509.0	2.1	1.0	3.2	3364.0
80 – 84	1464.0	242.0	1222.0	0.7	0.2	1.1	5050.0
85 и более	798.0	102.0	696.0	0.4	0.1	0.6	6824.0
возраст не указан	40.0	22.0	18.0	0.0	0.0	0.0	818.0
Медианный возраст	34.1	31.9	36.7				
Из общей численности - население в возрасте:							
моложе трудоспособного	44990.0	23280.0	21710.0	21.0	22.1	20.0	933.0
трудоспособном	132264.0	70600.0	61664.0	61.9	67.2	56.7	873.0
старше трудоспособного	36500.0	11196.0	25304.0	17.1	10.7	23.3	2260.0
0 – 13 лет	36730.0	18966.0	17764.0	17.2	18.0	16.3	937.0
0 – 17 лет	52756.0	27366.0	25390.0	24.7	26.0	23.4	928.0
16 – 29 лет	49292.0	26175.0	23117.0	23.1	24.9	21.3	883.0
Ленинградская область							
Все население	1669205.0	770086.0	899119.0	100.0	100.0	100.0	1168.0
в том числе в возрасте, лет:							
0 – 4	61431.0	31286.0	30145.0	3.7	4.1	3.4	964.0
5 – 9	66096.0	33828.0	32268.0	4.0	4.4	3.6	954.0
10 – 14	108955.0	55842.0	53113.0	6.5	7.19999980927	5.9	951.0
15 – 19	143264.0	76693.0	66571.0	8.6	10.0	7.4	868.0
20 – 24	127493.0	67747.0	59746.0	7.6	8.8	6.6	882.0
25 – 29	115972.0	59036.0	56936.0	6.9	7.7	6.3	964.0
30 – 34	103763.0	51634.0	52129.0	6.2	6.7	5.8	1010.0
35 – 39	111350.0	53702.0	57648.0	6.7	7.0	6.4	1073.0
40 – 44	147221.0	70027.0	77194.0	8.8	9.1	8.6	1102.0
45 – 49	144434.0	67195.0	77239.0	8.60000038147	8.7	8.6	1149.0
50 – 54	127858.0	58589.0	69269.0	7.7	7.6	7.7	1182.0
55 – 59	66581.0	29585.0	36996.0	4.0	3.8	4.1	1250.0
60 – 64	96626.0	38172.0	58454.0	5.8	4.90000009537	6.5	1531.0
65 – 69	83727.0	31250.0	52477.0	5.0	4.1	5.8	1679.0
70 – 74	79536.0	26666.0	52870.0	4.8	3.5	5.9	1983.0
75 – 79	51380.0	12709.0	38671.0	3.1	1.6	4.3	3043.0
80 – 84	20451.0	3837.0	16614.0	1.2	0.5	1.89999997616	4330.0
85 и более	11999.0	1794.0	10205.0	0.7	0.2	1.1	5688.0
возраст не указан	1068.0	494.0	574.0	0.1	0.1	0.1	1162.0
Медианный возраст	39.9	35.9	42.7				
Из общей численности - население в возрасте:							
моложе трудоспособного	264198.0	135172.0	129026.0	15.8	17.5	14.3	955.0
трудоспособном	1023224.0	519992.0	503232.0	61.3	67.5	56.0	968.0
старше трудоспособного	380715.0	114428.0	266287.0	22.8	14.9	29.6	2327.0
0 – 13 лет	209622.0	107140.0	102482.0	12.6	13.9	11.4	957.0
0 – 17 лет	319389.0	163353.0	156036.0	19.1	21.2	17.4	955.0
16 – 29 лет	359013.0	189260.0	169753.0	21.5	24.6	18.9	897.0
Городское население	1108762.0	508113.0	600649.0	100.0	100.0	100.0	1182.0
в том числе в возрасте, лет:							
0 – 4	41060.0	20881.0	20179.0	3.7	4.1	3.29999995232	966.0
5 – 9	44138.0	22606.0	21532.0	4.0	4.5	3.6	952.0
10 – 14	72223.0	36845.0	35378.0	6.5	7.3	5.9	960.0
15 – 19	95378.0	51094.0	44284.0	8.6	10.1	7.4	867.0
20 – 24	84137.0	44178.0	39959.0	7.6	8.7	6.59999990463	904.0
25 – 29	79143.0	39889.0	39254.0	7.1	7.8	6.5	984.0
30 – 34	71142.0	34971.0	36171.0	6.4	6.9	6.0	1034.0
35 – 39	75367.0	35887.0	39480.0	6.8	7.1	6.6	1100.0
40 – 44	98640.0	46178.0	52462.0	8.9	9.1	8.7	1136.0
45 – 49	96324.0	43776.0	52548.0	8.7	8.6	8.7	1200.0
50 – 54	86482.0	38844.0	47638.0	7.8	7.6	7.9	1226.0
55 – 59	44827.0	19810.0	25017.0	4.0	3.9	4.2	1263.0
60 – 64	62828.0	24607.0	38221.0	5.7	4.8	6.4	1553.0
65 – 69	53344.0	19700.0	33644.0	4.8	3.9	5.6	1708.0
70 – 74	49542.0	16481.0	33061.0	4.5	3.2	5.5	2006.0
75 – 79	32642.0	8235.0	24407.0	2.9	1.6	4.1	2964.0
80 – 84	13203.0	2542.0	10661.0	1.2	0.5	1.8	4194.0
85 и более	7638.0	1264.0	6374.0	0.7	0.2	1.1	5043.0
возраст не указан	704.0	325.0	379.0	0.1	0.1	0.1	1166.0
Медианный возраст	39.5	35.6	42.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	175818.0	89769.0	86049.0	15.9	17.7	14.3	959.0
трудоспособном	688026.0	345190.0	342836.0	62.0	67.9	57.1	993.0
старше трудоспособного	244214.0	72829.0	171385.0	22.0	14.3	28.5	2353.0
0 – 13 лет	139672.0	71300.0	68372.0	12.6	14.0	11.4	959.0
0 – 17 лет	212466.0	108411.0	104055.0	19.2	21.3	17.3	960.0
16 – 29 лет	240261.0	125724.0	114537.0	21.7	24.7	19.1	911.0
Сельское население	560443.0	261973.0	298470.0	100.0	100.0	100.0	1139.0
в том числе в возрасте, лет:							
0 – 4	20371.0	10405.0	9966.0	3.6	4.0	3.3	958.0
5 – 9	21958.0	11222.0	10736.0	3.9	4.3	3.6	957.0
10 – 14	36732.0	18997.0	17735.0	6.6	7.19999980927	5.9	934.0
15 – 19	47886.0	25599.0	22287.0	8.5	9.8	7.5	871.0
20 – 24	43356.0	23569.0	19787.0	7.7	9.0	6.6	840.0
25 – 29	36829.0	19147.0	17682.0	6.6	7.3	5.9	923.0
30 – 34	32621.0	16663.0	15958.0	5.8	6.4	5.40000009537	958.0
35 – 39	35983.0	17815.0	18168.0	6.4	6.8	6.1	1020.0
40 – 44	48581.0	23849.0	24732.0	8.7	9.1	8.3	1037.0
45 – 49	48110.0	23419.0	24691.0	8.6	8.9	8.3	1054.0
50 – 54	41376.0	19745.0	21631.0	7.4	7.5	7.2	1096.0
55 – 59	21754.0	9775.0	11979.0	3.9	3.7	4.0	1225.0
60 – 64	33798.0	13565.0	20233.0	6.0	5.2	6.8	1492.0
65 – 69	30383.0	11550.0	18833.0	5.4	4.4	6.3	1631.0
70 – 74	29994.0	10185.0	19809.0	5.4	3.9	6.6	1945.0
75 – 79	18738.0	4474.0	14264.0	3.3	1.7	4.8	3188.0
80 – 84	7248.0	1295.0	5953.0	1.3	0.5	2.0	4597.0
85 и более	4361.0	530.0	3831.0	0.8	0.2	1.3	7228.0
возраст не указан	364.0	169.0	195.0	0.1	0.1	0.1	1154.0
Медианный возраст	40.5	36.7	43.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	88380.0	45403.0	42977.0	15.8	17.3	14.4	947.0
трудоспособном	335198.0	174802.0	160396.0	59.8	66.7	53.7	918.0
старше трудоспособного	136501.0	41599.0	94902.0	24.3	15.9	31.8	2281.0
0 – 13 лет	69950.0	35840.0	34110.0	12.5	13.7	11.4	952.0
0 – 17 лет	106923.0	54942.0	51981.0	19.1	21.0	17.4	946.0
16 – 29 лет	118752.0	63536.0	55216.0	21.2	24.3	18.5	869.0
Мурманская область							
Все население	892534.0	435135.0	457399.0	100.0	100.0	100.0	1051.0
в том числе в возрасте, лет:							
0 – 4	39968.0	20569.0	19399.0	4.5	4.7	4.30000019073	943.0
5 – 9	40986.0	21173.0	19813.0	4.6	4.9	4.3	936.0
10 – 14	63724.0	32539.0	31185.0	7.1	7.5	6.8	958.0
15 – 19	84707.0	48949.0	35758.0	9.5	11.2	7.8	731.0
20 – 24	80637.0	46263.0	34374.0	9.0	10.6	7.5	743.0
25 – 29	75468.0	39602.0	35866.0	8.5	9.1	7.90000009537	906.0
30 – 34	67976.0	35803.0	32173.0	7.6	8.2	7.0	899.0
35 – 39	68841.0	35057.0	33784.0	7.7	8.1	7.4	964.0
40 – 44	84859.0	41461.0	43398.0	9.5	9.5	9.5	1047.0
45 – 49	80168.0	37148.0	43020.0	9.0	8.60000038147	9.4	1158.0
50 – 54	68557.0	30071.0	38486.0	7.7	6.9	8.4	1280.0
55 – 59	32945.0	14126.0	18819.0	3.7	3.29999995232	4.1	1332.0
60 – 64	38895.0	14498.0	24397.0	4.4	3.3	5.3	1683.0
65 – 69	26190.0	8532.0	17658.0	2.9	2.0	3.9	2070.0
70 – 74	19460.0	5379.0	14081.0	2.2	1.2	3.1	2618.0
75 – 79	11550.0	2281.0	9269.0	1.3	0.5	2.0	4064.0
80 – 84	3856.0	504.0	3352.0	0.4	0.1	0.7	6651.0
85 и более	1961.0	196.0	1765.0	0.2	0.10000000149	0.4	9005.0
возраст не указан	1786.0	984.0	802.0	0.2	0.2	0.2	815.0
Медианный возраст	34.4	31.1	38.2				
Из общей численности - население в возрасте:							
моложе трудоспособного	160900.0	82513.0	78387.0	18.0	19.0	17.1	950.0
трудоспособном	609117.0	320248.0	288869.0	68.3	73.6	63.2	902.0
старше трудоспособного	120731.0	31390.0	89341.0	13.5	7.2	19.5	2846.0
0 – 13 лет	129171.0	66463.0	62708.0	14.5	15.3	13.7	944.0
0 – 17 лет	190249.0	97495.0	92754.0	21.3	22.4	20.3	951.0
16 – 29 лет	224590.0	126582.0	98008.0	25.2	29.1	21.4	774.0
Городское население	823215.0	395794.0	427421.0	100.0	100.0	100.0	1080.0
в том числе в возрасте, лет:							
0 – 4	36450.0	18728.0	17722.0	4.4	4.7	4.1	946.0
5 – 9	37440.0	19370.0	18070.0	4.59999990463	4.9	4.2	933.0
10 – 14	58784.0	30030.0	28754.0	7.19999980927	7.6	6.7	958.0
15 – 19	75247.0	41604.0	33643.0	9.1	10.5	7.9	809.0
20 – 24	70999.0	39049.0	31950.0	8.6	9.9	7.5	818.0
25 – 29	69439.0	36198.0	33241.0	8.4	9.1	7.8	918.0
30 – 34	62704.0	32931.0	29773.0	7.6	8.3	7.0	904.0
35 – 39	63679.0	32382.0	31297.0	7.7	8.2	7.3	966.0
40 – 44	78832.0	38433.0	40399.0	9.6	9.7	9.5	1051.0
45 – 49	74994.0	34625.0	40369.0	9.1	8.80000019073	9.4	1166.0
50 – 54	64643.0	28280.0	36363.0	7.9	7.1	8.5	1286.0
55 – 59	31382.0	13425.0	17957.0	3.8	3.4	4.2	1338.0
60 – 64	37101.0	13824.0	23277.0	4.5	3.5	5.4	1684.0
65 – 69	24923.0	8114.0	16809.0	3.0	2.0	3.9	2072.0
70 – 74	18469.0	5101.0	13368.0	2.29999995232	1.3	3.1	2621.0
75 – 79	10983.0	2177.0	8806.0	1.3	0.6	2.1	4045.0
80 – 84	3673.0	482.0	3191.0	0.5	0.1	0.800000011921	6620.0
85 и более	1882.0	189.0	1693.0	0.2	0.10000000149	0.4	8958.0
возраст не указан	1591.0	852.0	739.0	0.2	0.2	0.2	867.0
Медианный возраст	35.0	31.8	38.4				
Из общей численности - население в возрасте:							
моложе трудоспособного	147686.0	75713.0	71973.0	17.9	19.1	16.8	951.0
трудоспособном	558950.0	289342.0	269608.0	67.9	73.1	63.1	932.0
старше трудоспособного	114988.0	29887.0	85101.0	14.0	7.6	19.9	2847.0
0 – 13 лет	118344.0	60905.0	57439.0	14.4	15.4	13.4	943.0
0 – 17 лет	175254.0	89770.0	85484.0	21.3	22.7	20.0	952.0
16 – 29 лет	200673.0	109266.0	91407.0	24.4	27.6	21.4	837.0
Сельское население	69319.0	39341.0	29978.0	100.0	100.0	100.0	762.0
в том числе в возрасте, лет:							
0 – 4	3518.0	1841.0	1677.0	5.1	4.7	5.6	911.0
5 – 9	3546.0	1803.0	1743.0	5.1	4.6	5.8	967.0
10 – 14	4940.0	2509.0	2431.0	7.1	6.4	8.1	969.0
15 – 19	9460.0	7345.0	2115.0	13.6	18.7	7.1	288.0
20 – 24	9638.0	7214.0	2424.0	13.9	18.3	8.1	336.0
25 – 29	6029.0	3404.0	2625.0	8.7	8.60000038147	8.8	771.0
30 – 34	5272.0	2872.0	2400.0	7.6	7.3	8.0	836.0
35 – 39	5162.0	2675.0	2487.0	7.5	6.8	8.3	930.0
40 – 44	6027.0	3028.0	2999.0	8.7	7.7	10.0	990.0
45 – 49	5174.0	2523.0	2651.0	7.5	6.4	8.8	1051.0
50 – 54	3914.0	1791.0	2123.0	5.6	4.5	7.1	1185.0
55 – 59	1563.0	701.0	862.0	2.3	1.8	2.9	1230.0
60 – 64	1794.0	674.0	1120.0	2.6	1.7	3.7	1662.0
65 – 69	1267.0	418.0	849.0	1.8	1.1	2.8	2031.0
70 – 74	991.0	278.0	713.0	1.4	0.7	2.4	2565.0
75 – 79	567.0	104.0	463.0	0.8	0.3	1.60000002384	4452.0
80 – 84	183.0	22.0	161.0	0.3	0.1	0.5	7318.0
85 и более	79.0	7.0	72.0	0.1	0.0	0.2	10286.0
возраст не указан	195.0	132.0	63.0	0.3	0.3	0.2	477.0
Медианный возраст	27.9	23.9	34.0				
Из общей численности - население в возрасте:							
моложе трудоспособного	13214.0	6800.0	6414.0	19.0	17.3	21.4	943.0
трудоспособном	50167.0	30906.0	19261.0	72.4	78.6	64.3	623.0
старше трудоспособного	5743.0	1503.0	4240.0	8.3	3.8	14.1	2821.0
0 – 13 лет	10827.0	5558.0	5269.0	15.6	14.1	17.6	948.0
0 – 17 лет	14995.0	7725.0	7270.0	21.6	19.6	24.3	941.0
16 – 29 лет	23917.0	17316.0	6601.0	34.5	44.0	22.0	381.0
Новгородская область							
Все население	694355.0	312607.0	381748.0	100.0	100.0	100.0	1221.0
в том числе в возрасте, лет:							
0 – 4	27142.0	14021.0	13121.0	3.9	4.5	3.4	936.0
5 – 9	28740.0	14868.0	13872.0	4.1	4.8	3.6	933.0
10 – 14	47616.0	24293.0	23323.0	6.9	7.8	6.1	960.0
15 – 19	56106.0	27696.0	28410.0	8.1	8.9	7.4	1026.0
20 – 24	48918.0	23705.0	25213.0	7.0	7.6	6.6	1064.0
25 – 29	45606.0	22894.0	22712.0	6.6	7.3	6.0	992.0
30 – 34	41835.0	20547.0	21288.0	6.0	6.6	5.6	1036.0
35 – 39	46061.0	22038.0	24023.0	6.6	7.0	6.3	1090.0
40 – 44	59647.0	28930.0	30717.0	8.6	9.19999980927	8.0	1062.0
45 – 49	58691.0	27761.0	30930.0	8.39999961853	8.9	8.1	1114.0
50 – 54	50457.0	23317.0	27140.0	7.3	7.5	7.1	1164.0
55 – 59	26121.0	11770.0	14351.0	3.8	3.8	3.8	1219.0
60 – 64	41657.0	16797.0	24860.0	6.0	5.4	6.5	1480.0
65 – 69	37440.0	13928.0	23512.0	5.4	4.40000009537	6.2	1688.0
70 – 74	37372.0	11974.0	25398.0	5.4	3.8	6.7	2121.0
75 – 79	24340.0	5474.0	18866.0	3.5	1.70000004768	4.9	3446.0
80 – 84	10072.0	1658.0	8414.0	1.39999997616	0.5	2.2	5075.0
85 и более	5959.0	686.0	5273.0	0.9	0.2	1.4	7687.0
возраст не указан	575.0	250.0	325.0	0.1	0.1	0.1	1300.0
Медианный возраст	40.5	37.0	43.1				
Из общей численности - население в возрасте:							
моложе трудоспособного	116100.0	59606.0	56494.0	16.7	19.1	14.8	948.0
трудоспособном	406489.0	202234.0	204255.0	58.5	64.7	53.5	1010.0
старше трудоспособного	171191.0	50517.0	120674.0	24.7	16.1	31.6	2389.0
0 – 13 лет	92081.0	47337.0	44744.0	13.3	15.1	11.7	945.0
0 – 17 лет	138363.0	70933.0	67430.0	19.9	22.7	17.7	951.0
16 – 29 лет	138028.0	67871.0	70157.0	19.9	21.7	18.4	1034.0
Городское население	484920.0	216488.0	268432.0	100.0	100.0	100.0	1240.0
в том числе в возрасте, лет:							
0 – 4	19579.0	10109.0	9470.0	4.0	4.7	3.5	937.0
5 – 9	20274.0	10464.0	9810.0	4.2	4.8	3.7	938.0
10 – 14	32866.0	16701.0	16165.0	6.8	7.7	6.0	968.0
15 – 19	41234.0	19725.0	21509.0	8.5	9.1	8.0	1090.0
20 – 24	37317.0	17833.0	19484.0	7.7	8.2	7.3	1093.0
25 – 29	35448.0	17751.0	17697.0	7.3	8.2	6.6	997.0
30 – 34	31627.0	15452.0	16175.0	6.5	7.1	6.0	1047.0
35 – 39	32963.0	15472.0	17491.0	6.8	7.19999980927	6.5	1130.0
40 – 44	41792.0	19308.0	22484.0	8.6	8.9	8.4	1164.0
45 – 49	42035.0	19073.0	22962.0	8.7	8.8	8.6	1204.0
50 – 54	36573.0	16245.0	20328.0	7.5	7.5	7.6	1251.0
55 – 59	18671.0	8174.0	10497.0	3.8	3.8	3.9	1284.0
60 – 64	27156.0	10550.0	16606.0	5.6	4.9	6.2	1574.0
65 – 69	22316.0	8019.0	14297.0	4.6	3.7	5.3	1783.0
70 – 74	21080.0	6596.0	14484.0	4.40000009537	3.09999990463	5.4	2196.0
75 – 79	14296.0	3282.0	11014.0	3.0	1.5	4.1	3356.0
80 – 84	5909.0	1031.0	4878.0	1.2	0.5	1.8	4731.0
85 и более	3252.0	468.0	2784.0	0.7	0.2	1.0	5949.0
возраст не указан	532.0	235.0	297.0	0.1	0.1	0.1	1264.0
Медианный возраст	38.7	35.1	41.5				
Из общей численности - население в возрасте:							
моложе трудоспособного	81533.0	41693.0	39840.0	16.8	19.3	14.8	956.0
трудоспособном	298349.0	144614.0	153735.0	61.5	66.8	57.3	1063.0
старше трудоспособного	104506.0	29946.0	74560.0	21.6	13.8	27.8	2490.0
0 – 13 лет	64743.0	33232.0	31511.0	13.4	15.4	11.7	948.0
0 – 17 лет	97895.0	49813.0	48082.0	20.2	23.0	17.9	965.0
16 – 29 лет	105185.0	50890.0	54295.0	21.7	23.5	20.2	1067.0
Сельское население	209435.0	96119.0	113316.0	100.0	100.0	100.0	1179.0
в том числе в возрасте, лет:							
0 – 4	7563.0	3912.0	3651.0	3.6	4.1	3.2	933.0
5 – 9	8466.0	4404.0	4062.0	4.0	4.6	3.6	922.0
10 – 14	14750.0	7592.0	7158.0	7.09999990463	7.9	6.3	943.0
15 – 19	14872.0	7971.0	6901.0	7.1	8.3	6.1	866.0
20 – 24	11601.0	5872.0	5729.0	5.5	6.1	5.1	976.0
25 – 29	10158.0	5143.0	5015.0	4.8	5.4	4.4	975.0
30 – 34	10208.0	5095.0	5113.0	4.9	5.3	4.5	1004.0
35 – 39	13098.0	6566.0	6532.0	6.3	6.8	5.8	995.0
40 – 44	17855.0	9622.0	8233.0	8.5	10.0	7.3	856.0
45 – 49	16656.0	8688.0	7968.0	8.0	9.0	7.09999990463	917.0
50 – 54	13884.0	7072.0	6812.0	6.6	7.4	6.0	963.0
55 – 59	7450.0	3596.0	3854.0	3.6	3.7	3.4	1072.0
60 – 64	14501.0	6247.0	8254.0	6.9	6.5	7.3	1321.0
65 – 69	15124.0	5909.0	9215.0	7.2	6.1	8.1	1559.0
70 – 74	16292.0	5378.0	10914.0	7.8	5.6	9.6	2029.0
75 – 79	10044.0	2192.0	7852.0	4.8	2.3	6.9	3582.0
80 – 84	4163.0	627.0	3536.0	2.0	0.7	3.1	5640.0
85 и более	2707.0	218.0	2489.0	1.3	0.2	2.2	11417.0
возраст не указан	43.0	15.0	28.0	0.0	0.0	0.0	1867.0
Медианный возраст	44.0	40.9	47.6				
Из общей численности - население в возрасте:							
моложе трудоспособного	34567.0	17913.0	16654.0	16.5	18.6	14.7	930.0
трудоспособном	108140.0	57620.0	50520.0	51.6	60.0	44.6	877.0
старше трудоспособного	66685.0	20571.0	46114.0	31.9	21.4	40.7	2242.0
0 – 13 лет	27338.0	14105.0	13233.0	13.1	14.7	11.7	938.0
0 – 17 лет	40468.0	21120.0	19348.0	19.3	22.0	17.1	916.0
16 – 29 лет	32843.0	16981.0	15862.0	15.7	17.7	14.0	934.0
Псковская область							
Все население	760810.0	348194.0	412616.0	100.0	100.0	100.0	1185.0
в том числе в возрасте, лет:							
0 – 4	28388.0	14570.0	13818.0	3.7	4.2	3.3	948.0
5 – 9	31185.0	16044.0	15141.0	4.1	4.6	3.7	944.0
10 – 14	50808.0	26019.0	24789.0	6.7	7.5	6.0	953.0
15 – 19	61822.0	32165.0	29657.0	8.1	9.2	7.2	922.0
20 – 24	51949.0	26962.0	24987.0	6.8	7.80000019073	6.1	927.0
25 – 29	48381.0	24388.0	23993.0	6.4	7.0	5.8	984.0
30 – 34	46653.0	22961.0	23692.0	6.1	6.6	5.7	1032.0
35 – 39	50793.0	24864.0	25929.0	6.7	7.1	6.3	1043.0
40 – 44	63975.0	31130.0	32845.0	8.4	8.9	8.0	1055.0
45 – 49	62362.0	29850.0	32512.0	8.2	8.6	7.9	1089.0
50 – 54	57034.0	26855.0	30179.0	7.5	7.7	7.3	1124.0
55 – 59	29429.0	13412.0	16017.0	3.9	3.9	3.9	1194.0
60 – 64	45367.0	18882.0	26485.0	6.0	5.4	6.4	1403.0
65 – 69	41177.0	15797.0	25380.0	5.4	4.5	6.09999990463	1607.0
70 – 74	42383.0	14103.0	28280.0	5.6	4.0	6.9	2005.0
75 – 79	29371.0	6827.0	22544.0	3.9	2.0	5.5	3302.0
80 – 84	12411.0	2327.0	10084.0	1.6	0.7	2.4	4333.0
85 и более	7004.0	892.0	6112.0	0.9	0.3	1.5	6852.0
возраст не указан	318.0	146.0	172.0	0.0	0.0	0.0	1178.0
Медианный возраст	40.8	37.4	43.7				
Из общей численности - население в возрасте:							
моложе трудоспособного	123286.0	63184.0	60102.0	16.2	18.2	14.6	951.0
трудоспособном	443476.0	226036.0	217440.0	58.3	64.9	52.7	962.0
старше трудоспособного	193730.0	58828.0	134902.0	25.5	16.9	32.7	2293.0
0 – 13 лет	98372.0	50495.0	47877.0	12.9	14.5	11.6	948.0
0 – 17 лет	147595.0	75677.0	71918.0	19.4	21.7	17.4	950.0
16 – 29 лет	149247.0	76964.0	72283.0	19.6	22.1	17.5	939.0
Городское население	502654.0	227498.0	275156.0	100.0	100.0	100.0	1209.0
в том числе в возрасте, лет:							
0 – 4	19857.0	10161.0	9696.0	3.90000009537	4.5	3.5	954.0
5 – 9	21136.0	10883.0	10253.0	4.2	4.8	3.7	942.0
10 – 14	34045.0	17343.0	16702.0	6.8	7.6	6.1	963.0
15 – 19	45153.0	22996.0	22157.0	9.0	10.1	8.1	964.0
20 – 24	38552.0	19393.0	19159.0	7.7	8.5	7.0	988.0
25 – 29	35901.0	17724.0	18177.0	7.1	7.8	6.6	1026.0
30 – 34	33653.0	16194.0	17459.0	6.7	7.1	6.3	1078.0
35 – 39	34836.0	16452.0	18384.0	6.9	7.2	6.7	1117.0
40 – 44	43399.0	20004.0	23395.0	8.6	8.8	8.5	1170.0
45 – 49	43048.0	19393.0	23655.0	8.6	8.5	8.6	1220.0
50 – 54	39283.0	17565.0	21718.0	7.8	7.7	7.9	1236.0
55 – 59	19591.0	8671.0	10920.0	3.9	3.8	4.0	1259.0
60 – 64	26890.0	10774.0	16116.0	5.4	4.7	5.9	1496.0
65 – 69	21768.0	7924.0	13844.0	4.3	3.5	5.0	1747.0
70 – 74	20402.0	6570.0	13832.0	4.1	2.9	5.0	2105.0
75 – 79	15118.0	3603.0	11515.0	3.0	1.6	4.2	3196.0
80 – 84	6423.0	1243.0	5180.0	1.3	0.600000023842	1.9	4167.0
85 и более	3367.0	498.0	2869.0	0.7	0.2	1.0	5761.0
возраст не указан	232.0	107.0	125.0	0.0	0.10000000149	0.0	1168.0
Медианный возраст	38.4	34.7	41.3				
Из общей численности - население в возрасте:							
моложе трудоспособного	83905.0	42859.0	41046.0	16.7	18.8	14.9	958.0
трудоспособном	313629.0	153920.0	159709.0	62.4	67.7	58.1	1038.0
старше трудоспособного	104888.0	30612.0	74276.0	20.9	13.4	27.0	2426.0
0 – 13 лет	66975.0	34270.0	32705.0	13.3	15.1	11.9	954.0
0 – 17 лет	101615.0	51780.0	49835.0	20.2	22.8	18.1	962.0
16 – 29 лет	110739.0	55641.0	55098.0	22.0	24.5	20.0	990.0
Сельское население	258156.0	120696.0	137460.0	100.0	100.0	100.0	1139.0
в том числе в возрасте, лет:							
0 – 4	8531.0	4409.0	4122.0	3.3	3.7	3.0	935.0
5 – 9	10049.0	5161.0	4888.0	3.9	4.3	3.6	947.0
10 – 14	16763.0	8676.0	8087.0	6.5	7.2	5.9	932.0
15 – 19	16669.0	9169.0	7500.0	6.5	7.6	5.5	818.0
20 – 24	13397.0	7569.0	5828.0	5.2	6.3	4.2	770.0
25 – 29	12480.0	6664.0	5816.0	4.8	5.5	4.2	873.0
30 – 34	13000.0	6767.0	6233.0	5.0	5.6	4.5	921.0
