5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	405800.0	404185.0	18687.0	349193.0	33182.0	350728.0	28727.0	24913.0	371592.0	360162.0	344155.0	281712.0	58809.0	331824.0	22.0	967.0
в том числе:																
в индивидуальных домах	28871.0	28780.0	893.0	12002.0	14353.0	1560.0	14768.0	12967.0	10979.0	4746.0	3293.0	645.0	2315.0	2010.0	7.0	45.0
в отдельных квартирах	361530.0	360242.0	17396.0	324321.0	17114.0	335734.0	13289.0	10923.0	346713.0	341805.0	331328.0	271549.0	54914.0	320925.0	15.0	716.0
в коммунальных квартирах	15399.0	15163.0	398.0	12870.0	1715.0	13434.0	670.0	1023.0	13900.0	13611.0	9534.0	9518.0	1580.0	8889.0	-	206.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	105766.0	105195.0	2392.0	26933.0	66649.0	35607.0	12539.0	58305.0	48305.0	39427.0	34079.0	14061.0	5823.0	18451.0	14.0	251.0
в том числе:																
в индивидуальных домах	54179.0	53923.0	878.0	4104.0	42904.0	1446.0	6441.0	47044.0	9040.0	3174.0	1946.0	303.0	709.0	781.0	10.0	103.0
в отдельных квартирах	50882.0	50587.0	1483.0	22554.0	23454.0	33722.0	6026.0	11082.0	38782.0	35797.0	31821.0	13587.0	5078.0	17487.0	4.0	136.0
в коммунальных квартирах	705.0	685.0	31.0	275.0	291.0	439.0	72.0	179.0	483.0	456.0	312.0	171.0	36.0	183.0	-	12.0
г. Москва																
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	3262272.0	3216189.0	1329822.0	1867902.0	3450.0	3184952.0	10680.0	5243.0	3220439.0	3217392.0	3192936.0	3053601.0	114862.0	3085387.0	140.0	36678.0
в том числе:																
в индивидуальных домах	7243.0	6659.0	904.0	4021.0	1421.0	2308.0	2720.0	1423.0	4837.0	3753.0	3491.0	2207.0	909.0	2693.0	28.0	495.0
в отдельных квартирах	3126335.0	3084863.0	1301698.0	1767186.0	1855.0	3059925.0	7148.0	3566.0	3090813.0	3089073.0	3066800.0	2948110.0	95642.0	2964846.0	101.0	32610.0
в коммунальных квартирах	128694.0	124667.0	27220.0	96695.0	174.0	122719.0	812.0	254.0	124789.0	124566.0	122645.0	103284.0	18311.0	117848.0	11.0	3573.0
Северо-Западный федеральный округ																
Республика Карелия																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	255971.0	254896.0	99025.0	4982.0	131812.0	170884.0	3934.0	80388.0	181560.0	178761.0	163104.0	108723.0	45616.0	149998.0	23.0	313.0
в том числе:																
в индивидуальных домах	25255.0	25015.0	3207.0	47.0	14018.0	757.0	1343.0	23495.0	3606.0	2616.0	1541.0	227.0	989.0	1030.0	8.0	51.0
в отдельных квартирах	228509.0	227692.0	95344.0	4898.0	116210.0	168390.0	2560.0	56470.0	176024.0	174237.0	160378.0	107691.0	44203.0	147880.0	15.0	248.0
в коммунальных квартирах	2207.0	2189.0	474.0	37.0	1584.0	1737.0	31.0	423.0	1930.0	1908.0	1185.0	805.0	424.0	1088.0	-	14.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	185748.0	185085.0	88294.0	4459.0	86878.0	155279.0	2068.0	27436.0	162857.0	161961.0	149802.0	104516.0	40286.0	141004.0	11.0	214.0
в том числе:																
в индивидуальных домах	8431.0	8365.0	1232.0	16.0	5146.0	377.0	707.0	7473.0	1636.0	1252.0	859.0	141.0	623.0	650.0	4.0	18.0
в отдельных квартирах	175238.0	174658.0	86614.0	4406.0	80222.0	153203.0	1337.0	19625.0	159339.0	158840.0	147786.0	103588.0	39249.0	139287.0	7.0	182.0
в коммунальных квартирах	2079.0	2062.0	448.0	37.0	1510.0	1699.0	24.0	338.0	1882.0	1869.0	1157.0	787.0	414.0	1067.0	-	14.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	70223.0	69811.0	10731.0	523.0	44934.0	15605.0	1866.0	52952.0	18703.0	16800.0	13302.0	4207.0	5330.0	8994.0	12.0	99.0
в том числе:																
в индивидуальных домах	16824.0	16650.0	1975.0	31.0	8872.0	380.0	636.0	16022.0	1970.0	1364.0	682.0	86.0	366.0	380.0	4.0	33.0
в отдельных квартирах	53271.0	53034.0	8730.0	492.0	35988.0	15187.0	1223.0	36845.0	16685.0	15397.0	12592.0	4103.0	4954.0	8593.0	8.0	66.0
в коммунальных квартирах	128.0	127.0	26.0	-	74.0	38.0	7.0	85.0	48.0	39.0	28.0	18.0	10.0	21.0	-	-
Республика Коми																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	344905.0	343776.0	81248.0	162294.0	33188.0	267233.0	6614.0	70854.0	263104.0	257014.0	244144.0	183587.0	55062.0	220257.0	28.0	630.0
в том числе:																
в индивидуальных домах	44628.0	44373.0	4391.0	906.0	13539.0	2308.0	3371.0	39649.0	3080.0	1584.0	1148.0	570.0	364.0	699.0	5.0	83.0
в отдельных квартирах	297671.0	296832.0	76227.0	160459.0	19432.0	262735.0	3208.0	30853.0	257919.0	253361.0	241530.0	181581.0	54496.0	218406.0	23.0	516.0
в коммунальных квартирах	2606.0	2571.0	630.0	929.0	217.0	2190.0	35.0	352.0	2105.0	2069.0	1466.0	1436.0	202.0	1152.0	-	31.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	256931.0	256180.0	71629.0	153545.0	8739.0	243610.0	1541.0	10674.0	243015.0	240781.0	231040.0	176485.0	52233.0	212200.0	26.0	547.0
в том числе:																
в индивидуальных домах	6191.0	6120.0	598.0	711.0	2413.0	861.0	802.0	4563.0	1134.0	787.0	633.0	352.0	297.0	489.0	3.0	55.0
в отдельных квартирах	248404.0	247759.0	70446.0	151940.0	6181.0	240640.0	723.0	5934.0	239830.0	237968.0	228977.0	174724.0	51746.0	210588.0	23.0	461.0
в коммунальных квартирах	2336.0	2301.0	585.0	894.0	145.0	2109.0	16.0	177.0	2051.0	2026.0	1430.0	1409.0	190.0	1123.0	-	31.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	87974.0	87596.0	9619.0	8749.0	24449.0	23623.0	5073.0	60180.0	20089.0	16233.0	13104.0	7102.0	2829.0	8057.0	2.0	83.0
в том числе:																
в индивидуальных домах	38437.0	38253.0	3793.0	195.0	11126.0	1447.0	2569.0	35086.0	1946.0	797.0	515.0	218.0	67.0	210.0	2.0	28.0
в отдельных квартирах	49267.0	49073.0	5781.0	8519.0	13251.0	22095.0	2485.0	24919.0	18089.0	15393.0	12553.0	6857.0	2750.0	7818.0	-	55.0
в коммунальных квартирах	270.0	270.0	45.0	35.0	72.0	81.0	19.0	175.0	54.0	43.0	36.0	27.0	12.0	29.0	-	-
Архангельская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	475671.0	474494.0	49396.0	45033.0	279681.0	300244.0	11652.0	164127.0	303599.0	296652.0	276600.0	250586.0	16870.0	258872.0	31.0	377.0
в том числе:																
в индивидуальных домах	75077.0	74668.0	1477.0	1139.0	25501.0	864.0	4001.0	71156.0	3113.0	1750.0	1062.0	267.0	515.0	638.0	13.0	57.0
в отдельных квартирах	387443.0	386742.0	46008.0	42720.0	246925.0	289408.0	7527.0	90006.0	289244.0	283972.0	268215.0	241990.0	15972.0	251599.0	18.0	273.0
в коммунальных квартирах	13151.0	13084.0	1911.0	1174.0	7255.0	9972.0	124.0	2965.0	11242.0	10930.0	7323.0	8329.0	383.0	6635.0	-	47.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	349432.0	348889.0	42940.0	43483.0	232809.0	276856.0	6195.0	66076.0	280122.0	275685.0	258905.0	239154.0	14487.0	245887.0	13.0	262.0
в том числе:																
в индивидуальных домах	20638.0	20592.0	632.0	893.0	9894.0	483.0	1740.0	18937.0	1496.0	972.0	650.0	192.0	314.0	418.0	4.0	14.0
в отдельных квартирах	316198.0	315768.0	40422.0	41419.0	215896.0	266589.0	4350.0	44523.0	267547.0	263934.0	251061.0	230731.0	13808.0	238932.0	9.0	201.0
в коммунальных квартирах	12596.0	12529.0	1886.0	1171.0	7019.0	9784.0	105.0	2616.0	11079.0	10779.0	7194.0	8231.0	365.0	6537.0	-	47.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	126239.0	125605.0	6456.0	1550.0	46872.0	23388.0	5457.0	98051.0	23477.0	20967.0	17695.0	11432.0	2383.0	12985.0	18.0	115.0
в том числе:																
в индивидуальных домах	54439.0	54076.0	845.0	246.0	15607.0	381.0	2261.0	52219.0	1617.0	778.0	412.0	75.0	201.0	220.0	9.0	43.0
в отдельных квартирах	71245.0	70974.0	5586.0	1301.0	31029.0	22819.0	3177.0	45483.0	21697.0	20038.0	17154.0	11259.0	2164.0	12667.0	9.0	72.0
в коммунальных квартирах	555.0	555.0	25.0	3.0	236.0	188.0	19.0	349.0	163.0	151.0	129.0	98.0	18.0	98.0	-	-
Ненецкий автономный округ																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	12262.0	12202.0	508.0	7485.0	242.0	5841.0	3866.0	2642.0	4332.0	3888.0	3530.0	3069.0	238.0	2874.0	15.0	41.0
в том числе:																
в индивидуальных домах	2688.0	2671.0	126.0	592.0	99.0	48.0	1504.0	1250.0	161.0	96.0	62.0	8.0	33.0	32.0	9.0	7.0
в отдельных квартирах	9489.0	9446.0	376.0	6851.0	141.0	5755.0	2320.0	1387.0	4148.0	3771.0	3455.0	3058.0	205.0	2839.0	6.0	34.0
в коммунальных квартирах	85.0	85.0	6.0	42.0	2.0	38.0	42.0	5.0	23.0	21.0	13.0	3.0	-	3.0	-	-
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	7916.0	7879.0	347.0	7106.0	69.0	5530.0	2110.0	191.0	4265.0	3859.0	3504.0	3054.0	233.0	2869.0	-	34.0
в том числе:																
в индивидуальных домах	527.0	522.0	36.0	382.0	5.0	20.0	387.0	114.0	118.0	87.0	55.0	7.0	29.0	28.0	-	4.0
в отдельных квартирах	7327.0	7295.0	305.0	6684.0	64.0	5485.0	1688.0	75.0	4124.0	3751.0	3436.0	3044.0	204.0	2838.0	-	30.0
в коммунальных квартирах	62.0	62.0	6.0	40.0	-	25.0	35.0	2.0	23.0	21.0	13.0	3.0	-	3.0	-	-
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	4346.0	4323.0	161.0	379.0	173.0	311.0	1756.0	2451.0	67.0	29.0	26.0	15.0	5.0	5.0	15.0	7.0
в том числе:																
в индивидуальных домах	2161.0	2149.0	90.0	210.0	94.0	28.0	1117.0	1136.0	43.0	9.0	7.0	1.0	4.0	4.0	9.0	3.0
в отдельных квартирах	2162.0	2151.0	71.0	167.0	77.0	270.0	632.0	1312.0	24.0	20.0	19.0	14.0	1.0	1.0	6.0	4.0
в коммунальных квартирах	23.0	23.0	-	2.0	2.0	13.0	7.0	3.0	-	-	-	-	-	-	-	-
Вологодская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	456135.0	454193.0	17990.0	254229.0	144388.0	285276.0	14078.0	158158.0	311232.0	287283.0	275076.0	227815.0	38123.0	259051.0	64.0	1019.0
в том числе:																
в индивидуальных домах	97414.0	96983.0	1860.0	5137.0	67321.0	2708.0	6727.0	89900.0	16323.0	5272.0	3608.0	1113.0	1803.0	2573.0	11.0	142.0
в отдельных квартирах	352086.0	350661.0	15579.0	245408.0	75556.0	277850.0	7267.0	66521.0	290238.0	277483.0	267895.0	223624.0	35739.0	253157.0	51.0	803.0
в коммунальных квартирах	6635.0	6549.0	551.0	3684.0	1511.0	4718.0	84.0	1737.0	4671.0	4528.0	3573.0	3078.0	581.0	3321.0	2.0	74.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	300945.0	299636.0	14689.0	231593.0	45004.0	253732.0	6788.0	40100.0	261853.0	254682.0	245893.0	211387.0	30124.0	236288.0	49.0	815.0
в том числе:																
в индивидуальных домах	20221.0	20109.0	930.0	2755.0	13187.0	1158.0	2958.0	16823.0	4734.0	2027.0	1331.0	603.0	658.0	1094.0	4.0	47.0
в отдельных квартирах	274682.0	273563.0	13237.0	225383.0	30516.0	248202.0	3761.0	21767.0	252804.0	248434.0	241271.0	207891.0	28960.0	232115.0	43.0	698.0
в коммунальных квартирах	6042.0	5964.0	522.0	3455.0	1301.0	4372.0	69.0	1510.0	4315.0	4221.0	3291.0	2893.0	506.0	3079.0	2.0	70.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	155190.0	154557.0	3301.0	22636.0	99384.0	31544.0	7290.0	118058.0	49379.0	32601.0	29183.0	16428.0	7999.0	22763.0	15.0	204.0
в том числе:																
в индивидуальных домах	77193.0	76874.0	930.0	2382.0	54134.0	1550.0	3769.0	73077.0	11589.0	3245.0	2277.0	510.0	1145.0	1479.0	7.0	95.0
в отдельных квартирах	77404.0	77098.0	2342.0	20025.0	45040.0	29648.0	3506.0	44754.0	37434.0	29049.0	26624.0	15733.0	6779.0	21042.0	8.0	105.0
в коммунальных квартирах	593.0	585.0	29.0	229.0	210.0	346.0	15.0	227.0	356.0	307.0	282.0	185.0	75.0	242.0	-	4.0
Калининградская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	309759.0	307553.0	17267.0	151185.0	134857.0	176683.0	84131.0	48641.0	282711.0	269094.0	231788.0	134171.0	68510.0	195502.0	173.0	1031.0
в том числе:																
в индивидуальных домах	33477.0	33079.0	1200.0	2732.0	28527.0	844.0	21327.0	12150.0	22882.0	18103.0	12590.0	774.0	7452.0	7469.0	62.0	63.0
в отдельных квартирах	270426.0	268777.0	15880.0	145006.0	104418.0	173673.0	60512.0	35204.0	254287.0	245598.0	215369.0	132213.0	58843.0	184847.0	105.0	834.0
в коммунальных квартирах	5856.0	5697.0	187.0	3447.0	1912.0	2166.0	2292.0	1287.0	5542.0	5393.0	3829.0	1184.0	2215.0	3186.0	6.0	134.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	245128.0	243472.0	15046.0	146177.0	81091.0	168983.0	52714.0	22404.0	240391.0	234084.0	205902.0	131156.0	56159.0	181032.0	78.0	914.0
в том числе:																
в индивидуальных домах	10170.0	10043.0	355.0	1907.0	7817.0	684.0	7382.0	2324.0	8950.0	7486.0	5524.0	664.0	3669.0	3913.0	27.0	20.0
в отдельных квартирах	229507.0	228134.0	14514.0	140860.0	71699.0	166177.0	43286.0	18927.0	226196.0	221438.0	196717.0	129333.0	50351.0	174029.0	47.0	760.0
в коммунальных квартирах	5451.0	5295.0	177.0	3410.0	1575.0	2122.0	2046.0	1153.0	5245.0	5160.0	3661.0	1159.0	2139.0	3090.0	4.0	134.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	64631.0	64081.0	2221.0	5008.0	53766.0	7700.0	31417.0	26237.0	42320.0	35010.0	25886.0	3015.0	12351.0	14470.0	95.0	117.0
в том числе:																
в индивидуальных домах	23307.0	23036.0	845.0	825.0	20710.0	160.0	13945.0	9826.0	13932.0	10617.0	7066.0	110.0	3783.0	3556.0	35.0	43.0
в отдельных квартирах	40919.0	40643.0	1366.0	4146.0	32719.0	7496.0	17226.0	16277.0	28091.0	24160.0	18652.0	2880.0	8492.0	10818.0	58.0	74.0
в коммунальных квартирах	405.0	402.0	10.0	37.0	337.0	44.0	246.0	134.0	297.0	233.0	168.0	25.0	76.0	96.0	2.0	-
Ленинградская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	602717.0	595741.0	54603.0	360025.0	149898.0	462692.0	24709.0	107741.0	491315.0	476960.0	449568.0	348751.0	46104.0	374641.0	473.0	3534.0
в том числе:																
в индивидуальных домах	95684.0	94084.0	3598.0	4771.0	67750.0	3102.0	19179.0	73761.0	18395.0	9067.0	5473.0	1623.0	2784.0	2987.0	193.0	691.0
в отдельных квартирах	489882.0	484994.0	49340.0	344525.0	78613.0	445351.0	4894.0	32366.0	457795.0	453177.0	431731.0	337784.0	41417.0	361545.0	255.0	2446.0
в коммунальных квартирах	17151.0	16663.0	1665.0	10729.0	3535.0	14239.0	636.0	1614.0	15125.0	14716.0	12364.0	9344.0	1903.0	10109.0	25.0	397.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	396352.0	391975.0	37611.0	275266.0	69845.0	338694.0	13817.0	37949.0	356780.0	347914.0	331120.0	266052.0	37061.0	288945.0	248.0	2526.0
в том числе:																
в индивидуальных домах	34907.0	34227.0	1372.0	3588.0	24839.0	1944.0	10588.0	22339.0	10698.0	4836.0	3013.0	1051.0	1621.0	1768.0	87.0	365.0
в отдельных квартирах	347985.0	344676.0	34992.0	262693.0	42630.0	325165.0	2860.0	14663.0	333808.0	331087.0	317990.0	257313.0	33716.0	278803.0	139.0	1849.0
в коммунальных квартирах	13460.0	13072.0	1247.0	8985.0	2376.0	11585.0	369.0	947.0	12274.0	11991.0	10117.0	7688.0	1724.0	8374.0	22.0	312.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	206365.0	203766.0	16992.0	84759.0	80053.0	123998.0	10892.0	69792.0	134535.0	129046.0	118448.0	82699.0	9043.0	85696.0	225.0	1008.0
в том числе:																
в индивидуальных домах	60777.0	59857.0	2226.0	1183.0	42911.0	1158.0	8591.0	51422.0	7697.0	4231.0	2460.0	572.0	1163.0	1219.0	106.0	326.0
в отдельных квартирах	141897.0	140318.0	14348.0	81832.0	35983.0	120186.0	2034.0	17703.0	123987.0	122090.0	113741.0	80471.0	7701.0	82742.0	116.0	597.0
в коммунальных квартирах	3691.0	3591.0	418.0	1744.0	1159.0	2654.0	267.0	667.0	2851.0	2725.0	2247.0	1656.0	179.0	1735.0	3.0	85.0
Мурманская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	329371.0	328584.0	191781.0	7724.0	108632.0	322396.0	823.0	4336.0	323937.0	323539.0	318342.0	314315.0	2438.0	294623.0	19.0	522.0
в том числе:																
в индивидуальных домах	1870.0	1843.0	170.0	10.0	948.0	228.0	79.0	1561.0	295.0	260.0	215.0	153.0	39.0	159.0	2.0	13.0
в отдельных квартирах	321972.0	321279.0	190544.0	7286.0	104018.0	316805.0	716.0	2729.0	318312.0	317962.0	313972.0	309837.0	2357.0	290596.0	17.0	456.0
в коммунальных квартирах	5529.0	5462.0	1067.0	428.0	3666.0	5363.0	28.0	46.0	5330.0	5317.0	4155.0	4325.0	42.0	3868.0	-	53.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	306089.0	305377.0	178014.0	7422.0	101898.0	301488.0	525.0	2426.0	302611.0	302387.0	297731.0	295691.0	1145.0	276470.0	14.0	476.0
в том числе:																
в индивидуальных домах	935.0	920.0	123.0	9.0	406.0	170.0	35.0	714.0	221.0	190.0	155.0	123.0	28.0	126.0	2.0	8.0
в отдельных квартирах	299771.0	299136.0	176877.0	6985.0	97885.0	296072.0	468.0	1687.0	297182.0	297002.0	293502.0	291315.0	1088.0	272546.0	12.0	415.0
в коммунальных квартирах	5383.0	5321.0	1014.0	428.0	3607.0	5246.0	22.0	25.0	5208.0	5195.0	4074.0	4253.0	29.0	3798.0	-	53.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	23282.0	23207.0	13767.0	302.0	6734.0	20908.0	298.0	1910.0	21326.0	21152.0	20611.0	18624.0	1293.0	18153.0	5.0	46.0
в том числе:																
в индивидуальных домах	935.0	923.0	47.0	1.0	542.0	58.0	44.0	847.0	74.0	70.0	60.0	30.0	11.0	33.0	-	5.0
в отдельных квартирах	22201.0	22143.0	13667.0	301.0	6133.0	20733.0	248.0	1042.0	21130.0	20960.0	20470.0	18522.0	1269.0	18050.0	5.0	41.0
в коммунальных квартирах	146.0	141.0	53.0	-	59.0	117.0	6.0	21.0	122.0	122.0	81.0	72.0	13.0	70.0	-	-
Новгородская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	263242.0	260229.0	6588.0	130187.0	107080.0	144762.0	8250.0	108444.0	169675.0	150124.0	134419.0	71708.0	54220.0	118255.0	55.0	2039.0
в том числе:																
в индивидуальных домах	85629.0	84758.0	900.0	3446.0	68701.0	1658.0	5613.0	78759.0	18436.0	4837.0	2671.0	339.0	1592.0	1383.0	31.0	365.0
в отдельных квартирах	173013.0	171030.0	5586.0	123497.0	37428.0	139498.0	2550.0	28948.0	147473.0	141719.0	129377.0	70376.0	51503.0	114886.0	21.0	1525.0
в коммунальных квартирах	4600.0	4441.0	102.0	3244.0	951.0	3606.0	87.0	737.0	3766.0	3568.0	2371.0	993.0	1125.0	1986.0	3.0	149.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	177044.0	174822.0	5833.0	118557.0	45853.0	128946.0	5636.0	40518.0	141448.0	132351.0	119720.0	65479.0	49830.0	108476.0	40.0	1739.0
в том числе:																
в индивидуальных домах	30180.0	29845.0	525.0	3065.0	23976.0	1197.0	4140.0	25068.0	9493.0	3131.0	1796.0	233.0	1372.0	1128.0	18.0	161.0
в отдельных квартирах	142575.0	140835.0	5209.0	112344.0	21071.0	124273.0	1419.0	14874.0	128332.0	125783.0	115651.0	64285.0	47376.0	105434.0	19.0	1439.0
в коммунальных квартирах	4289.0	4142.0	99.0	3148.0	806.0	3476.0	77.0	576.0	3623.0	3437.0	2273.0	961.0	1082.0	1914.0	3.0	139.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	86198.0	85407.0	755.0	11630.0	61227.0	15816.0	2614.0	67926.0	28227.0	17773.0	14699.0	6229.0	4390.0	9779.0	15.0	300.0
в том числе:																
в индивидуальных домах	55449.0	54913.0	375.0	381.0	44725.0	461.0	1473.0	53691.0	8943.0	1706.0	875.0	106.0	220.0	255.0	13.0	204.0
в отдельных квартирах	30438.0	30195.0	377.0	11153.0	16357.0	15225.0	1131.0	14074.0	19141.0	15936.0	13726.0	6091.0	4127.0	9452.0	2.0	86.0
в коммунальных квартирах	311.0	299.0	3.0	96.0	145.0	130.0	10.0	161.0	143.0	131.0	98.0	32.0	43.0	72.0	-	10.0
Псковская область																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	289628.0	287144.0	9832.0	111772.0	137795.0	135609.0	9511.0	144001.0	161743.0	149441.0	135804.0	84616.0	30065.0	112323.0	82.0	866.0
в том числе:																
в индивидуальных домах	115824.0	114576.0	919.0	3536.0	86772.0	1452.0	7069.0	107987.0	16978.0	8371.0	4598.0	633.0	1294.0	1517.0	44.0	290.0
в отдельных квартирах	169827.0	168665.0	8771.0	106324.0	49289.0	131787.0	2264.0	34626.0	141799.0	138265.0	129102.0	82740.0	28298.0	109161.0	36.0	524.0
в коммунальных квартирах	3977.0	3903.0	142.0	1912.0	1734.0	2370.0	178.0	1388.0	2966.0	2805.0	2104.0	1243.0	473.0	1645.0	2.0	52.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	179831.0	178661.0	9016.0	104697.0	61135.0	123818.0	6374.0	48817.0	138728.0	131737.0	121923.0	78637.0	28168.0	104851.0	40.0	623.0
в том числе:																
в индивидуальных домах	32705.0	32425.0	445.0	3064.0	26368.0	979.0	4492.0	27454.0	8146.0	3646.0	1735.0	470.0	737.0	941.0	13.0	109.0
в отдельных квартирах	143501.0	142683.0	8442.0	99817.0	33242.0	120604.0	1720.0	20181.0	127777.0	125437.0	118217.0	77014.0	26971.0	102362.0	25.0	462.0
в коммунальных квартирах	3625.0	3553.0	129.0	1816.0	1525.0	2235.0	162.0	1182.0	2805.0	2654.0	1971.0	1153.0	460.0	1548.0	2.0	52.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	109797.0	108483.0	816.0	7075.0	76660.0	11791.0	3137.0	95184.0	23015.0	17704.0	13881.0	5979.0	1897.0	7472.0	42.0	243.0
в том числе:																
в индивидуальных домах	83119.0	82151.0	474.0	472.0	60404.0	473.0	2577.0	80533.0	8832.0	4725.0	2863.0	163.0	557.0	576.0	31.0	181.0
в отдельных квартирах	26326.0	25982.0	329.0	6507.0	16047.0	11183.0	544.0	14445.0	14022.0	12828.0	10885.0	5726.0	1327.0	6799.0	11.0	62.0
в коммунальных квартирах	352.0	350.0	13.0	96.0	209.0	135.0	16.0	206.0	161.0	151.0	133.0	90.0	13.0	97.0	-	-
г. Санкт–Петербург																
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	1588109.0	1562616.0	317171.0	1223507.0	20709.0	1524807.0	19512.0	11212.0	1555900.0	1551175.0	1495672.0	1236946.0	261014.0	1434745.0	282.0	19502.0
в том числе:																
в индивидуальных домах	15523.0	14990.0	951.0	3312.0	10455.0	1726.0	7903.0	5430.0	7202.0	4439.0	3355.0	1342.0	2064.0	2522.0	46.0	379.0
в отдельных квартирах	1352775.0	1335383.0	306425.0	1019654.0	8424.0	1316973.0	8440.0	4592.0	1336811.0	1335331.0	1310023.0	1102162.0	198163.0	1260346.0	172.0	12367.0
в коммунальных квартирах	219811.0	212243.0	9795.0	200541.0	1830.0	206108.0	3169.0	1190.0	211887.0	211405.0	182294.0	133442.0	60787.0	171877.0	64.0	6756.0
Южный федеральный округ																
Республика Адыгея																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	141392.0	141001.0	1538.0	101156.0	31545.0	42926.0	63090.0	34847.0	101640.0	101415.0	82704.0	29727.0	54377.0	80600.0	74.0	102.0
в том числе:																
в индивидуальных домах	85155.0	84935.0	652.0	50744.0	27662.0	955.0	52883.0	31046.0	49387.0	49214.0	34691.0	562.0	35246.0	33349.0	55.0	49.0
в отдельных квартирах	55986.0	55815.0	854.0	50231.0	3855.0	41861.0	10100.0	3769.0	52036.0	51984.0	47841.0	29088.0	19032.0	47083.0	19.0	53.0
в коммунальных квартирах	251.0	251.0	32.0	181.0	28.0	110.0	107.0	32.0	217.0	217.0	172.0	77.0	99.0	168.0	-	-
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	74566.0	74344.0	847.0	66305.0	5365.0	37985.0	29709.0	6632.0	69396.0	69316.0	59957.0	28318.0	32861.0	59022.0	21.0	88.0
в том числе:																
в индивидуальных домах	29046.0	28955.0	83.0	23296.0	4033.0	595.0	23066.0	5302.0	24995.0	24938.0	18303.0	337.0	18960.0	17900.0	13.0	45.0
в отдельных квартирах	45311.0	45180.0	732.0	42856.0	1310.0	37290.0	6556.0	1310.0	44213.0	44190.0	41496.0	27904.0	13817.0	40968.0	8.0	43.0
в коммунальных квартирах	209.0	209.0	32.0	153.0	22.0	100.0	87.0	20.0	188.0	188.0	158.0	77.0	84.0	154.0	-	-
Сельские населенные пункты																
