8. ГРУППИРОВКА СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	из них с числом жителей								
численность населения	508831.0	27971.0	102837.0	115522.0	68276.0	85634.0	37775.0	30212.0	31362.0	9242.0
мужчины	246255.0	13611.0	48858.0	54814.0	32570.0	42287.0	18708.0	14178.0	14789.0	6440.0
женщины	262576.0	14360.0	53979.0	60708.0	35706.0	43347.0	19067.0	16034.0	16573.0	2802.0
Тюменская область										
Число сельских администраций	429.0	35.0	153.0	103.0	53.0	34.0	12.0	8.0	21.0	10.0
численность населения	704772.0	12798.0	113777.0	124898.0	91655.0	81863.0	41345.0	34817.0	117635.0	85984.0
мужчины	345586.0	6410.0	55461.0	60849.0	45280.0	39941.0	21024.0	16696.0	56611.0	43314.0
женщины	359186.0	6388.0	58316.0	64049.0	46375.0	41922.0	20321.0	18121.0	61024.0	42670.0
Ханты-Мансийский автономный округ – Югра										
Число сельских администраций	70.0	9.0	18.0	17.0	9.0	8.0	3.0	-	4.0	2.0
численность населения	127860.0	3430.0	11630.0	22123.0	15752.0	20220.0	11183.0	-	22018.0	21504.0
мужчины	66745.0	1749.0	5844.0	11171.0	8010.0	10024.0	6578.0	-	11124.0	12245.0
женщины	61115.0	1681.0	5786.0	10952.0	7742.0	10196.0	4605.0	-	10894.0	9259.0
Ямало-Ненецкий автономный округ										
Число сельских администраций	42.0	6.0	8.0	7.0	7.0	7.0	2.0	2.0	2.0	1.0
численность населения	81819.0	1715.0	5883.0	8887.0	12236.0	17221.0	6367.0	8635.0	11801.0	9074.0
мужчины	41525.0	919.0	3024.0	4455.0	6096.0	8667.0	3118.0	4375.0	5874.0	4997.0
женщины	40294.0	796.0	2859.0	4432.0	6140.0	8554.0	3249.0	4260.0	5927.0	4077.0
Челябинская область										
Число сельских администраций	257.0	13.0	33.0	34.0	49.0	66.0	28.0	9.0	14.0	11.0
численность населения	640566.0	4314.0	26221.0	41953.0	87296.0	159617.0	95171.0	40821.0	81194.0	103979.0
мужчины	302586.0	2044.0	12516.0	19962.0	41213.0	75799.0	45222.0	19316.0	38188.0	48326.0
женщины	337980.0	2270.0	13705.0	21991.0	46083.0	83818.0	49949.0	21505.0	43006.0	55653.0
Сибирский федеральный округ										
Число сельских администраций	3628.0	411.0	1076.0	881.0	538.0	390.0	111.0	78.0	79.0	64.0
численность населения	5663865.0	133834.0	811041.0	1082070.0	927445.0	927150.0	377447.0	342841.0	456325.0	605712.0
мужчины	2728880.0	67024.0	395725.0	523592.0	446044.0	447317.0	181800.0	163789.0	217023.0	286566.0
женщины	2934985.0	66810.0	415316.0	558478.0	481401.0	479833.0	195647.0	179052.0	239302.0	319146.0
Республика Алтай										
Число сельских администраций	90.0	7.0	30.0	25.0	11.0	7.0	3.0	1.0	5.0	1.0
численность населения	149409.0	2595.0	21749.0	31403.0	19363.0	15582.0	10540.0	4376.0	27171.0	16630.0
мужчины	72576.0	1306.0	10534.0	15295.0	9364.0	7612.0	5084.0	2163.0	12774.0	8444.0
женщины	76833.0	1289.0	11215.0	16108.0	9999.0	7970.0	5456.0	2213.0	14397.0	8186.0
Республика Бурятия										
Число сельских администраций	226.0	30.0	65.0	58.0	21.0	27.0	6.0	7.0	6.0	6.0
численность населения	371956.0	11813.0	47892.0	71058.0	37096.0	65425.0	20642.0	32347.0	35979.0	49704.0
мужчины	180557.0	5949.0	23754.0	35146.0	18081.0	31454.0	10359.0	15288.0	17102.0	23424.0
женщины	191399.0	5864.0	24138.0	35912.0	19015.0	33971.0	10283.0	17059.0	18877.0	26280.0
Республика Тыва										
Число сельских администраций	112.0	14.0	40.0	33.0	10.0	4.0	7.0	3.0	1.0	-
численность населения	147129.0	5288.0	30929.0	40207.0	17588.0	10521.0	23838.0	13712.0	5046.0	-
мужчины	71006.0	2651.0	15111.0	19588.0	8478.0	5002.0	11233.0	6511.0	2432.0	-
женщины	76123.0	2637.0	15818.0	20619.0	9110.0	5519.0	12605.0	7201.0	2614.0	-
Республика Хакасия										
Число сельских администраций	79.0	3.0	13.0	20.0	17.0	16.0	4.0	1.0	3.0	2.0
численность населения	156936.0	818.0	10301.0	23999.0	29832.0	38313.0	13278.0	4888.0	17195.0	18312.0
мужчины	74707.0	421.0	4913.0	11525.0	14210.0	18379.0	6365.0	2241.0	8129.0	8524.0
женщины	82229.0	397.0	5388.0	12474.0	15622.0	19934.0	6913.0	2647.0	9066.0	9788.0
Алтайский край										
Число сельских администраций	726.0	40.0	236.0	222.0	101.0	57.0	9.0	22.0	20.0	19.0
численность населения	1212572.0	13916.0	176944.0	275351.0	170991.0	134469.0	29918.0	97414.0	113292.0	200277.0
мужчины	575679.0	6687.0	84969.0	131490.0	81601.0	63835.0	14004.0	45604.0	53164.0	94325.0
женщины	636893.0	7229.0	91975.0	143861.0	89390.0	70634.0	15914.0	51810.0	60128.0	105952.0
Красноярский край										
Число сельских администраций	511.0	105.0	153.0	90.0	71.0	45.0	21.0	10.0	11.0	5.0
численность населения	707088.0	31852.0	111862.0	110589.0	121432.0	108623.0	70109.0	42897.0	62694.0	47030.0
мужчины	344627.0	16133.0	54894.0	53691.0	59083.0	52755.0	33739.0	21384.0	30801.0	22147.0
женщины	362461.0	15719.0	56968.0	56898.0	62349.0	55868.0	36370.0	21513.0	31893.0	24883.0
Таймырский (Долгано-Ненецкий) автономный округ										
Число сельских администраций	20.0	13.0	5.0	-	1.0	-	1.0	-	-	-
численность населения	12569.0	4319.0	3218.0	-	1582.0	-	3450.0	-	-	-
мужчины	6366.0	2194.0	1613.0	-	807.0	-	1752.0	-	-	-
женщины	6203.0	2125.0	1605.0	-	775.0	-	1698.0	-	-	-
Эвенкийский автономный округ										
Число сельских администраций	22.0	19.0	1.0	-	-	-	1.0	1.0	-	-
численность населения	11861.0	3883.0	647.0	-	-	-	3313.0	4018.0	-	-
мужчины	6065.0	2103.0	327.0	-	-	-	1617.0	2018.0	-	-
женщины	5796.0	1780.0	320.0	-	-	-	1696.0	2000.0	-	-
Иркутская область										
Число сельских администраций	365.0	54.0	91.0	97.0	60.0	42.0	9.0	4.0	4.0	4.0
численность населения	514456.0	14134.0	67081.0	117460.0	104030.0	101172.0	30725.0	17041.0	22684.0	40129.0
мужчины	249869.0	7159.0	33131.0	57709.0	50126.0	49032.0	14786.0	8141.0	10523.0	19262.0
женщины	264587.0	6975.0	33950.0	59751.0	53904.0	52140.0	15939.0	8900.0	12161.0	20867.0
Усть-Ордынский Бурятский  автономный округ										
Число сельских администраций	77.0	-	12.0	35.0	18.0	7.0	-	1.0	3.0	1.0
численность населения	135327.0	-	8886.0	43306.0	30509.0	16644.0	-	4278.0	17369.0	14335.0
мужчины	65007.0	-	4386.0	21387.0	14778.0	7984.0	-	1991.0	7934.0	6547.0
женщины	70320.0	-	4500.0	21919.0	15731.0	8660.0	-	2287.0	9435.0	7788.0
Кемеровская область										
Число сельских администраций	235.0	14.0	55.0	59.0	52.0	35.0	8.0	8.0	3.0	1.0
численность населения	373274.0	4495.0	41365.0	71474.0	91002.0	81827.0	26924.0	33812.0	15347.0	7028.0
мужчины	179607.0	2188.0	20215.0	34302.0	43607.0	39147.0	12775.0	16562.0	7393.0	3418.0
женщины	193667.0	2307.0	21150.0	37172.0	47395.0	42680.0	14149.0	17250.0	7954.0	3610.0
Новосибирская область										
Число сельских администраций	428.0	30.0	136.0	113.0	69.0	43.0	16.0	5.0	8.0	8.0
численность населения	665662.0	11994.0	103879.0	138890.0	117324.0	98304.0	56509.0	22385.0	48929.0	67448.0
мужчины	318901.0	5820.0	50058.0	66597.0	55925.0	47610.0	27519.0	10515.0	23446.0	31411.0
женщины	346761.0	6174.0	53821.0	72293.0	61399.0	50694.0	28990.0	11870.0	25483.0	36037.0
Омская область										
Число сельских администраций	359.0	15.0	77.0	77.0	77.0	80.0	12.0	9.0	10.0	2.0
численность населения	646803.0	5648.0	60353.0	96315.0	133671.0	191315.0	40615.0	39197.0	59096.0	20593.0
мужчины	309462.0	2857.0	29241.0	46477.0	63922.0	91793.0	19357.0	18506.0	27633.0	9676.0
женщины	337341.0	2791.0	31112.0	49838.0	69749.0	99522.0	21258.0	20691.0	31463.0	10917.0
Томская область										
Число сельских администраций	132.0	19.0	31.0	18.0	21.0	16.0	5.0	4.0	4.0	14.0
численность населения	308053.0	5891.0	23170.0	21713.0	36913.0	38894.0	16579.0	17622.0	23359.0	123912.0
мужчины	148316.0	3028.0	11518.0	10572.0	18153.0	18898.0	8061.0	8454.0	11095.0	58537.0
женщины	159737.0	2863.0	11652.0	11141.0	18760.0	19996.0	8518.0	9168.0	12264.0	65375.0
Читинская область										
Число сельских администраций	365.0	80.0	149.0	69.0	28.0	18.0	11.0	4.0	4.0	2.0
численность населения	410527.0	25390.0	115516.0	83611.0	48203.0	42705.0	37770.0	17150.0	25533.0	14649.0
мужчины	203573.0	12825.0	57387.0	41200.0	23494.0	21800.0	18518.0	8420.0	12531.0	7398.0
женщины	206954.0	12565.0	58129.0	42411.0	24709.0	20905.0	19252.0	8730.0	13002.0	7251.0
Агинский Бурятский автономный округ										
Число сельских администраций	35.0	2.0	8.0	16.0	7.0	1.0	-	-	1.0	-
численность населения	46577.0	739.0	6710.0	18985.0	11721.0	2040.0	-	-	6382.0	-
мужчины	23039.0	360.0	3312.0	9437.0	5767.0	1105.0	-	-	3058.0	-
женщины	23538.0	379.0	3398.0	9548.0	5954.0	935.0	-	-	3324.0	-
Дальневосточный федеральный округ										
Число сельских администраций	1271.0	393.0	432.0	191.0	83.0	84.0	25.0	17.0	26.0	20.0
численность населения	1524205.0	122748.0	312285.0	230407.0	143526.0	197673.0	86368.0	76738.0	152878.0	201582.0
мужчины	769884.0	62497.0	156115.0	116023.0	71152.0	100180.0	43582.0	39312.0	79253.0	101770.0
женщины	754321.0	60251.0	156170.0	114384.0	72374.0	97493.0	42786.0	37426.0	73625.0	99812.0
Республика Саха (Якутия)										
Число сельских администраций	364.0	126.0	150.0	53.0	11.0	13.0	2.0	1.0	5.0	3.0
численность населения	326189.0	41281.0	106264.0	61889.0	19117.0	30087.0	6486.0	4783.0	31577.0	24705.0
мужчины	161607.0	20975.0	53197.0	30871.0	9403.0	15078.0	3150.0	2343.0	14940.0	11650.0
женщины	164582.0	20306.0	53067.0	31018.0	9714.0	15009.0	3336.0	2440.0	16637.0	13055.0
Приморский край										
Число сельских администраций	226.0	31.0	64.0	49.0	23.0	24.0	7.0	8.0	12.0	8.0
численность населения	441190.0	10583.0	49180.0	60591.0	40047.0	56015.0	22336.0	35747.0	67967.0	98724.0
мужчины	221944.0	5391.0	24613.0	30223.0	19285.0	27921.0	11294.0	17910.0	36288.0	49019.0
женщины	219246.0	5192.0	24567.0	30368.0	20762.0	28094.0	11042.0	17837.0	31679.0	49705.0
Хабаровский край										
Число сельских администраций	186.0	57.0	49.0	23.0	20.0	21.0	3.0	5.0	5.0	3.0
численность населения	258223.0	15546.0	35831.0	29014.0	34973.0	49942.0	11355.0	23195.0	29366.0	29001.0
мужчины	134106.0	7884.0	18128.0	14952.0	17762.0	25906.0	5778.0	12242.0	15808.0	15646.0
женщины	124117.0	7662.0	17703.0	14062.0	17211.0	24036.0	5577.0	10953.0	13558.0	13355.0
Амурская область										
Число сельских администраций	289.0	90.0	117.0	35.0	16.0	15.0	7.0	1.0	3.0	5.0
численность населения	306058.0	31147.0	83335.0	41274.0	26937.0	35021.0	24648.0	4080.0	18292.0	41324.0
мужчины	153032.0	15555.0	41049.0	20633.0	13483.0	17699.0	11897.0	1965.0	9530.0	21221.0
женщины	153026.0	15592.0	42286.0	20641.0	13454.0	17322.0	12751.0	2115.0	8762.0	20103.0
Камчатская область										
Число сельских администраций	24.0	7.0	5.0	3.0	2.0	3.0	4.0	-	-	-
численность населения	35389.0	1890.0	3778.0	3358.0	3468.0	8085.0	14810.0	-	-	-
мужчины	18060.0	1017.0	1986.0	1810.0	1838.0	4064.0	7345.0	-	-	-
женщины	17329.0	873.0	1792.0	1548.0	1630.0	4021.0	7465.0	-	-	-
Корякский автономный округ										
Число сельских администраций	12.0	7.0	4.0	1.0	-	-	-	-	-	-
численность населения	6057.0	1890.0	3018.0	1149.0	-	-	-	-	-	-
мужчины	3219.0	1017.0	1588.0	614.0	-	-	-	-	-	-
женщины	2838.0	873.0	1430.0	535.0	-	-	-	-	-	-
Магаданская область										
Число сельских администраций	31.0	23.0	7.0	-	1.0	-	-	-	-	-
численность населения	11658.0	5034.0	4662.0	-	1962.0	-	-	-	-	-
мужчины	6174.0	2711.0	2434.0	-	1029.0	-	-	-	-	-
женщины	5484.0	2323.0	2228.0	-	933.0	-	-	-	-	-
Сахалинская область										
Число сельских администраций	60.0	17.0	16.0	14.0	5.0	5.0	2.0	1.0	-	-
численность населения	66389.0	5668.0	12087.0	17342.0	8542.0	11474.0	6733.0	4543.0	-	-
мужчины	34303.0	3004.0	6052.0	8666.0	4207.0	5959.0	4118.0	2297.0	-	-
женщины	32086.0	2664.0	6035.0	8676.0	4335.0	5515.0	2615.0	2246.0	-	-
Еврейская автономная область										
Число сельских администраций	47.0	11.0	13.0	12.0	5.0	3.0	-	1.0	1.0	1.0
численность населения	61154.0	3930.0	9431.0	14370.0	8480.0	7049.0	-	4390.0	5676.0	7828.0
мужчины	31543.0	2027.0	4730.0	7612.0	4145.0	3553.0	-	2555.0	2687.0	4234.0
женщины	29611.0	1903.0	4701.0	6758.0	4335.0	3496.0	-	1835.0	2989.0	3594.0
Чукотский автономный округ										
Число сельских администраций	44.0	31.0	11.0	2.0	-	-	-	-	-	-
численность населения	17955.0	7669.0	7717.0	2569.0	-	-	-	-	-	-
мужчины	9115.0	3933.0	3926.0	1256.0	-	-	-	-	-	-
женщины	8840.0	3736.0	3791.0	1313.0	-	-	-	-	-	-
