10. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛУ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ                                                                                                         ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
	Всего	в том числе с числом сельских населенных пунктов							
численность сельского населения	1570306.0	444950.0	971229.0	69771.0	84356.0	-	-	-	-
мужчины	794329.0	226953.0	486898.0	34684.0	45794.0	-	-	-	-
женщины	775977.0	217997.0	484331.0	35087.0	38562.0	-	-	-	-
Республика Саха (Якутия)									
Число районов	33.0	20.0	12.0	1.0	-	-	-	-	-
численность сельского населения	329636.0	93998.0	218849.0	16789.0	-	-	-	-	-
мужчины	163321.0	46930.0	107925.0	8466.0	-	-	-	-	-
женщины	166315.0	47068.0	110924.0	8323.0	-	-	-	-	-
Приморский край									
Число районов	24.0	7.0	17.0	-	-	-	-	-	-
численность сельского населения	427424.0	66756.0	360668.0	-	-	-	-	-	-
мужчины	215117.0	34680.0	180437.0	-	-	-	-	-	-
женщины	212307.0	32076.0	180231.0	-	-	-	-	-	-
Хабаровский край									
Число районов	17.0	9.0	6.0	1.0	1.0	-	-	-	-
численность сельского населения	279211.0	80346.0	89002.0	25507.0	84356.0	-	-	-	-
мужчины	145036.0	40781.0	45958.0	12503.0	45794.0	-	-	-	-
женщины	134175.0	39565.0	43044.0	13004.0	38562.0	-	-	-	-
Амурская область									
Число районов	20.0	4.0	14.0	2.0	-	-	-	-	-
численность сельского населения	303855.0	32645.0	243735.0	27475.0	-	-	-	-	-
мужчины	151985.0	15992.0	122278.0	13715.0	-	-	-	-	-
женщины	151870.0	16653.0	121457.0	13760.0	-	-	-	-	-
Камчатская область									
Число районов	11.0	10.0	1.0	-	-	-	-	-	-
численность сельского населения	67990.0	43904.0	24086.0	-	-	-	-	-	-
мужчины	34828.0	22704.0	12124.0	-	-	-	-	-	-
женщины	33162.0	21200.0	11962.0	-	-	-	-	-	-
Корякский автономный округ									
Число районов	4.0	4.0	-	-	-	-	-	-	-
численность сельского населения	18640.0	18640.0	-	-	-	-	-	-	-
мужчины	9717.0	9717.0	-	-	-	-	-	-	-
женщины	8923.0	8923.0	-	-	-	-	-	-	-
Магаданская область									
Число районов	8.0	7.0	1.0	-	-	-	-	-	-
численность сельского населения	14001.0	12523.0	1478.0	-	-	-	-	-	-
мужчины	7524.0	6729.0	795.0	-	-	-	-	-	-
женщины	6477.0	5794.0	683.0	-	-	-	-	-	-
Сахалинская область									
Число районов	17.0	16.0	1.0	-	-	-	-	-	-
численность сельского населения	67678.0	57111.0	10567.0	-	-	-	-	-	-
мужчины	35104.0	29813.0	5291.0	-	-	-	-	-	-
женщины	32574.0	27298.0	5276.0	-	-	-	-	-	-
Еврейская автономная область									
Число районов	5.0	4.0	1.0	-	-	-	-	-	-
численность сельского населения	62556.0	39712.0	22844.0	-	-	-	-	-	-
мужчины	32299.0	20209.0	12090.0	-	-	-	-	-	-
женщины	30257.0	19503.0	10754.0	-	-	-	-	-	-
Чукотский автономный округ									
Число районов	8.0	8.0	-	-	-	-	-	-	-
численность сельского населения	17955.0	17955.0	-	-	-	-	-	-	-
мужчины	9115.0	9115.0	-	-	-	-	-	-	-
женщины	8840.0	8840.0	-	-	-	-	-	-	-
