5. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
Городское и сельское население	846.0	499.0	432.0	67.0	255.0	26.0	66.0	-	1110.0	541.0	458.0	83.0	239.0	212.0	118.0	-
Городское население	363.0	211.0	178.0	33.0	119.0	10.0	23.0	-	462.0	240.0	204.0	36.0	109.0	59.0	54.0	-
Сельское население	483.0	288.0	254.0	34.0	136.0	16.0	43.0	-	648.0	301.0	254.0	47.0	130.0	153.0	64.0	-
ТОФАЛАРЫ																
Иркутская область																
Городское и сельское население	240.0	109.0	59.0	50.0	112.0	8.0	11.0	-	257.0	134.0	76.0	58.0	78.0	24.0	21.0	-
Городское население	16.0	7.0	4.0	3.0	6.0	-	3.0	-	18.0	10.0	10.0	-	7.0	1.0	-	-
Сельское население	224.0	102.0	55.0	47.0	106.0	8.0	8.0	-	239.0	124.0	66.0	58.0	71.0	23.0	21.0	-
ТУБАЛАРЫ																
Республика Алтай																
Городское и сельское население	528.0	322.0	218.0	104.0	139.0	27.0	40.0	-	547.0	336.0	219.0	117.0	110.0	74.0	27.0	-
Городское население	40.0	26.0	23.0	3.0	8.0	1.0	5.0	-	57.0	27.0	22.0	5.0	16.0	7.0	7.0	-
Сельское население	488.0	296.0	195.0	101.0	131.0	26.0	35.0	-	490.0	309.0	197.0	112.0	94.0	67.0	20.0	-
ТУВИНЦЫ-ТОДЖИНЦЫ																
Республика Тыва																
Городское и сельское население	1367.0	813.0	531.0	282.0	452.0	78.0	24.0	-	1499.0	837.0	548.0	289.0	419.0	206.0	36.0	1.0
Городское население	2.0	2.0	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-
Сельское население	1365.0	811.0	529.0	282.0	452.0	78.0	24.0	-	1499.0	837.0	548.0	289.0	419.0	206.0	36.0	1.0
УДЭГЕЙЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	507.0	262.0	196.0	66.0	185.0	18.0	40.0	2.0	586.0	347.0	248.0	99.0	143.0	56.0	38.0	2.0
Городское население	96.0	48.0	40.0	8.0	37.0	2.0	9.0	-	176.0	90.0	68.0	22.0	63.0	11.0	12.0	-
Сельское население	411.0	214.0	156.0	58.0	148.0	16.0	31.0	2.0	410.0	257.0	180.0	77.0	80.0	45.0	26.0	2.0
Приморский край																
Городское и сельское население	327.0	167.0	123.0	44.0	119.0	12.0	27.0	2.0	322.0	189.0	142.0	47.0	78.0	27.0	27.0	1.0
Городское население	53.0	30.0	25.0	5.0	20.0	-	3.0	-	90.0	45.0	37.0	8.0	33.0	5.0	7.0	-
Сельское население	274.0	137.0	98.0	39.0	99.0	12.0	24.0	2.0	232.0	144.0	105.0	39.0	45.0	22.0	20.0	1.0
Хабаровский край																
Городское и сельское население	180.0	95.0	73.0	22.0	66.0	6.0	13.0	-	264.0	158.0	106.0	52.0	65.0	29.0	11.0	1.0
Городское население	43.0	18.0	15.0	3.0	17.0	2.0	6.0	-	86.0	45.0	31.0	14.0	30.0	6.0	5.0	-
Сельское население	137.0	77.0	58.0	19.0	49.0	4.0	7.0	-	178.0	113.0	75.0	38.0	35.0	23.0	6.0	1.0
УЛЬТА (ОРОКИ)																
Сахалинская область																
Городское и сельское население	105.0	29.0	15.0	14.0	70.0	3.0	3.0	-	109.0	55.0	29.0	26.0	36.0	13.0	5.0	-
Городское население	60.0	19.0	11.0	8.0	36.0	2.0	3.0	-	65.0	32.0	18.0	14.0	24.0	5.0	4.0	-
Сельское население	45.0	10.0	4.0	6.0	34.0	1.0	-	-	44.0	23.0	11.0	12.0	12.0	8.0	1.0	-
УЛЬЧИ																
Хабаровский край																
Городское и сельское население	849.0	382.0	284.0	98.0	374.0	24.0	69.0	-	1055.0	559.0	408.0	151.0	290.0	125.0	81.0	-
Городское население	127.0	54.0	46.0	8.0	51.0	4.0	18.0	-	217.0	96.0	78.0	18.0	89.0	15.0	17.0	-
Сельское население	722.0	328.0	238.0	90.0	323.0	20.0	51.0	-	838.0	463.0	330.0	133.0	201.0	110.0	64.0	-
ХАНТЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	7749.0	3846.0	3067.0	779.0	3237.0	274.0	357.0	35.0	10290.0	5580.0	4369.0	1211.0	2662.0	1300.0	722.0	26.0
Городское население	2446.0	1160.0	952.0	208.0	1074.0	45.0	153.0	14.0	4025.0	1953.0	1562.0	391.0	1254.0	401.0	407.0	10.0
Сельское население	5303.0	2686.0	2115.0	571.0	2163.0	229.0	204.0	21.0	6265.0	3627.0	2807.0	820.0	1408.0	899.0	315.0	16.0
Тюменская область																
Городское и сельское население	7404.0	3681.0	2958.0	723.0	3098.0	265.0	325.0	35.0	9885.0	5340.0	4183.0	1157.0	2588.0	1251.0	680.0	26.0
Городское население	2350.0	1112.0	911.0	201.0	1039.0	44.0	141.0	14.0	3901.0	1886.0	1504.0	382.0	1225.0	390.0	390.0	10.0
Сельское население	5054.0	2569.0	2047.0	522.0	2059.0	221.0	184.0	21.0	5984.0	3454.0	2679.0	775.0	1363.0	861.0	290.0	16.0
Ханты-Мансийский автономный округ – Югра 																
Городское и сельское население	4801.0	2314.0	1810.0	504.0	2061.0	161.0	239.0	26.0	6292.0	3326.0	2544.0	782.0	1678.0	780.0	485.0	23.0
Городское население	1808.0	884.0	718.0	166.0	778.0	29.0	107.0	10.0	2813.0	1381.0	1099.0	282.0	834.0	296.0	292.0	10.0
Сельское население	2993.0	1430.0	1092.0	338.0	1283.0	132.0	132.0	16.0	3479.0	1945.0	1445.0	500.0	844.0	484.0	193.0	13.0
Ямало-Ненецкий автономный округ																
Городское и сельское население	2351.0	1261.0	1059.0	202.0	915.0	98.0	69.0	8.0	3168.0	1795.0	1461.0	334.0	795.0	417.0	159.0	2.0
Городское население	390.0	168.0	141.0	27.0	185.0	11.0	23.0	3.0	825.0	382.0	303.0	79.0	309.0	61.0	73.0	-
Сельское население	1961.0	1093.0	918.0	175.0	730.0	87.0	46.0	5.0	2343.0	1413.0	1158.0	255.0	486.0	356.0	86.0	2.0
Томская область																
Городское и сельское население	314.0	149.0	93.0	56.0	128.0	8.0	29.0	-	371.0	220.0	169.0	51.0	68.0	45.0	38.0	-
Городское население	69.0	35.0	28.0	7.0	25.0	-	9.0	-	94.0	50.0	44.0	6.0	23.0	7.0	14.0	-
Сельское население	245.0	114.0	65.0	49.0	103.0	8.0	20.0	-	277.0	170.0	125.0	45.0	45.0	38.0	24.0	-
Республика Коми																
Городское и сельское население	31.0	16.0	16.0	-	11.0	1.0	3.0	-	34.0	20.0	17.0	3.0	6.0	4.0	4.0	-
Городское население	27.0	13.0	13.0	-	10.0	1.0	3.0	-	30.0	17.0	14.0	3.0	6.0	4.0	3.0	-
Сельское население	4.0	3.0	3.0	-	1.0	-	-	-	4.0	3.0	3.0	-	-	-	1.0	-
ЧЕЛКАНЦЫ																
Республика Алтай																
Городское и сельское население	253.0	156.0	117.0	39.0	77.0	11.0	9.0	-	331.0	201.0	141.0	60.0	74.0	35.0	21.0	-
Городское население	41.0	19.0	18.0	1.0	18.0	2.0	2.0	-	48.0	23.0	19.0	4.0	15.0	3.0	7.0	-
Сельское население	212.0	137.0	99.0	38.0	59.0	9.0	7.0	-	283.0	178.0	122.0	56.0	59.0	32.0	14.0	-
ЧУВАНЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	284.0	125.0	97.0	28.0	122.0	10.0	25.0	2.0	392.0	181.0	148.0	33.0	126.0	45.0	40.0	-
Городское население	79.0	32.0	24.0	8.0	36.0	2.0	7.0	2.0	144.0	65.0	53.0	12.0	45.0	15.0	19.0	-
Сельское население	205.0	93.0	73.0	20.0	86.0	8.0	18.0	-	248.0	116.0	95.0	21.0	81.0	30.0	21.0	-
Чукотский автономный округ																
Городское и сельское население	271.0	118.0	93.0	25.0	116.0	10.0	25.0	2.0	373.0	175.0	143.0	32.0	118.0	44.0	36.0	-
Городское население	67.0	26.0	20.0	6.0	30.0	2.0	7.0	2.0	127.0	59.0	48.0	11.0	38.0	14.0	16.0	-
Сельское население	204.0	92.0	73.0	19.0	86.0	8.0	18.0	-	246.0	116.0	95.0	21.0	80.0	30.0	20.0	-
Магаданская область																
Городское и сельское население	13.0	7.0	4.0	3.0	6.0	-	-	-	19.0	6.0	5.0	1.0	8.0	1.0	4.0	-
Городское население	12.0	6.0	4.0	2.0	6.0	-	-	-	17.0	6.0	5.0	1.0	7.0	1.0	3.0	-
Сельское население	1.0	1.0	-	1.0	-	-	-	-	2.0	-	-	-	1.0	-	1.0	-
ЧУКЧИ																
Территории преимущественного проживания КМН																
Городское и сельское население	4174.0	1711.0	1164.0	547.0	2004.0	183.0	212.0	64.0	5036.0	2360.0	1588.0	772.0	1650.0	613.0	346.0	67.0
Городское население	620.0	186.0	144.0	42.0	354.0	17.0	39.0	24.0	1018.0	381.0	268.0	113.0	445.0	64.0	118.0	10.0
Сельское население	3554.0	1525.0	1020.0	505.0	1650.0	166.0	173.0	40.0	4018.0	1979.0	1320.0	659.0	1205.0	549.0	228.0	57.0
Чукотский автономный округ																
Городское и сельское население	3750.0	1550.0	1073.0	477.0	1776.0	167.0	193.0	64.0	4490.0	2099.0	1437.0	662.0	1490.0	530.0	305.0	66.0
Городское население	607.0	182.0	141.0	41.0	345.0	17.0	39.0	24.0	983.0	369.0	259.0	110.0	426.0	63.0	115.0	10.0
Сельское население	3143.0	1368.0	932.0	436.0	1431.0	150.0	154.0	40.0	3507.0	1730.0	1178.0	552.0	1064.0	467.0	190.0	56.0
Корякский автономный округ																
Городское и сельское население	424.0	161.0	91.0	70.0	228.0	16.0	19.0	-	546.0	261.0	151.0	110.0	160.0	83.0	41.0	1.0
Городское население	13.0	4.0	3.0	1.0	9.0	-	-	-	35.0	12.0	9.0	3.0	19.0	1.0	3.0	-
Сельское население	411.0	157.0	88.0	69.0	219.0	16.0	19.0	-	511.0	249.0	142.0	107.0	141.0	82.0	38.0	1.0
ЧУЛЫМЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	240.0	121.0	83.0	38.0	88.0	14.0	17.0	-	251.0	126.0	87.0	39.0	57.0	48.0	20.0	-
Городское население	18.0	10.0	6.0	4.0	6.0	1.0	1.0	-	22.0	10.0	7.0	3.0	6.0	3.0	3.0	-
Сельское население	222.0	111.0	77.0	34.0	82.0	13.0	16.0	-	229.0	116.0	80.0	36.0	51.0	45.0	17.0	-
Томская область																
Городское и сельское население	179.0	91.0	59.0	32.0	64.0	12.0	12.0	-	189.0	89.0	61.0	28.0	42.0	43.0	15.0	-
Городское население	16.0	9.0	6.0	3.0	5.0	1.0	1.0	-	14.0	7.0	5.0	2.0	2.0	3.0	2.0	-
Сельское население	163.0	82.0	53.0	29.0	59.0	11.0	11.0	-	175.0	82.0	56.0	26.0	40.0	40.0	13.0	-
Красноярский край																
Городское и сельское население	61.0	30.0	24.0	6.0	24.0	2.0	5.0	-	62.0	37.0	26.0	11.0	15.0	5.0	5.0	-
Городское население	2.0	1.0	-	1.0	1.0	-	-	-	8.0	3.0	2.0	1.0	4.0	-	1.0	-
Сельское население	59.0	29.0	24.0	5.0	23.0	2.0	5.0	-	54.0	34.0	24.0	10.0	11.0	5.0	4.0	-
ШАПСУГИ																
Краснодарский край																
Городское и сельское население	1253.0	773.0	745.0	28.0	369.0	53.0	58.0	-	1279.0	686.0	667.0	19.0	290.0	223.0	80.0	-
Городское население	318.0	197.0	190.0	7.0	97.0	7.0	17.0	-	324.0	172.0	165.0	7.0	67.0	58.0	27.0	-
Сельское население	935.0	576.0	555.0	21.0	272.0	46.0	41.0	-	955.0	514.0	502.0	12.0	223.0	165.0	53.0	-
ШОРЦЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	4416.0	2496.0	1926.0	570.0	1381.0	241.0	297.0	1.0	5431.0	2928.0	2212.0	716.0	1027.0	1014.0	462.0	-
Городское население	3104.0	1785.0	1456.0	329.0	971.0	140.0	207.0	1.0	3999.0	2092.0	1671.0	421.0	807.0	703.0	397.0	-
Сельское население	1312.0	711.0	470.0	241.0	410.0	101.0	90.0	-	1432.0	836.0	541.0	295.0	220.0	311.0	65.0	-
Кемеровская область 																
Городское и сельское население	4008.0	2256.0	1766.0	490.0	1258.0	222.0	271.0	1.0	4900.0	2633.0	2022.0	611.0	920.0	925.0	422.0	-
Городское население	2919.0	1681.0	1374.0	307.0	912.0	133.0	192.0	1.0	3748.0	1966.0	1579.0	387.0	743.0	667.0	372.0	-
Сельское население	1089.0	575.0	392.0	183.0	346.0	89.0	79.0	-	1152.0	667.0	443.0	224.0	177.0	258.0	50.0	-
Республика Хакасия																
Городское и сельское население	351.0	208.0	140.0	68.0	106.0	17.0	20.0	-	479.0	267.0	176.0	91.0	98.0	80.0	34.0	-
Городское население	172.0	97.0	77.0	20.0	55.0	7.0	13.0	-	247.0	126.0	92.0	34.0	62.0	35.0	24.0	-
Сельское население	179.0	111.0	63.0	48.0	51.0	10.0	7.0	-	232.0	141.0	84.0	57.0	36.0	45.0	10.0	-
Республика Алтай																
Городское и сельское население	57.0	32.0	20.0	12.0	17.0	2.0	6.0	-	52.0	28.0	14.0	14.0	9.0	9.0	6.0	-
Городское население	13.0	7.0	5.0	2.0	4.0	-	2.0	-	4.0	-	-	-	2.0	1.0	1.0	-
Сельское население	44.0	25.0	15.0	10.0	13.0	2.0	4.0	-	48.0	28.0	14.0	14.0	7.0	8.0	5.0	-
ЭВЕНКИ																
Территории преимущественного проживания КМН																
Городское и сельское население	10722.0	4917.0	3846.0	1071.0	4813.0	458.0	515.0	19.0	12351.0	6205.0	4603.0	1602.0	3778.0	1602.0	756.0	10.0
Городское население	2532.0	1125.0	894.0	231.0	1184.0	76.0	140.0	7.0	3302.0	1457.0	1083.0	374.0	1215.0	330.0	294.0	6.0
Сельское население	8190.0	3792.0	2952.0	840.0	3629.0	382.0	375.0	12.0	9049.0	4748.0	3520.0	1228.0	2563.0	1272.0	462.0	4.0
Республика Саха (Якутия)																
Городское и сельское население	5872.0	2938.0	2527.0	411.0	2436.0	217.0	270.0	11.0	6138.0	3069.0	2594.0	475.0	1919.0	780.0	362.0	8.0
Городское население	1530.0	704.0	585.0	119.0	709.0	39.0	72.0	6.0	1587.0	693.0	550.0	143.0	603.0	158.0	128.0	5.0
Сельское население	4342.0	2234.0	1942.0	292.0	1727.0	178.0	198.0	5.0	4551.0	2376.0	2044.0	332.0	1316.0	622.0	234.0	3.0
Красноярский край																
Городское и сельское население	1269.0	519.0	327.0	192.0	617.0	78.0	54.0	1.0	1725.0	889.0	529.0	360.0	495.0	209.0	132.0	-
Городское население	328.0	143.0	102.0	41.0	156.0	10.0	18.0	1.0	610.0	278.0	171.0	107.0	206.0	63.0	63.0	-
Сельское население	941.0	376.0	225.0	151.0	461.0	68.0	36.0	-	1115.0	611.0	358.0	253.0	289.0	146.0	69.0	-
Эвенкийский автономный округ																
Городское и сельское население	1006.0	408.0	259.0	149.0	496.0	62.0	39.0	1.0	1369.0	714.0	425.0	289.0	393.0	161.0	101.0	-
Городское население	207.0	89.0	62.0	27.0	103.0	6.0	8.0	1.0	432.0	198.0	120.0	78.0	144.0	43.0	47.0	-
Сельское население	799.0	319.0	197.0	122.0	393.0	56.0	31.0	-	937.0	516.0	305.0	211.0	249.0	118.0	54.0	-
Хабаровский край																
Городское и сельское население	1281.0	482.0	313.0	169.0	672.0	58.0	68.0	1.0	1790.0	876.0	561.0	315.0	566.0	230.0	118.0	-
Городское население	168.0	51.0	34.0	17.0	104.0	3.0	10.0	-	390.0	134.0	92.0	42.0	185.0	34.0	37.0	-
Сельское население	1113.0	431.0	279.0	152.0	568.0	55.0	58.0	1.0	1400.0	742.0	469.0	273.0	381.0	196.0	81.0	-
Республика Бурятия																
Городское и сельское население	723.0	347.0	254.0	93.0	313.0	30.0	33.0	-	815.0	389.0	270.0	119.0	259.0	116.0	50.0	1.0
Городское население	198.0	94.0	71.0	23.0	83.0	9.0	12.0	-	282.0	135.0	105.0	30.0	89.0	32.0	25.0	1.0
Сельское население	525.0	253.0	183.0	70.0	230.0	21.0	21.0	-	533.0	254.0	165.0	89.0	170.0	84.0	25.0	-
Амурская область																
Городское и сельское население	477.0	175.0	109.0	66.0	267.0	20.0	13.0	2.0	575.0	289.0	173.0	116.0	188.0	75.0	23.0	-
Городское население	69.0	16.0	14.0	2.0	47.0	3.0	3.0	-	85.0	43.0	33.0	10.0	30.0	5.0	7.0	-
Сельское население	408.0	159.0	95.0	64.0	220.0	17.0	10.0	2.0	490.0	246.0	140.0	106.0	158.0	70.0	16.0	-
Читинская область																
Городское и сельское население	468.0	185.0	136.0	49.0	229.0	25.0	26.0	3.0	560.0	288.0	212.0	76.0	156.0	81.0	34.0	1.0
Городское население	73.0	29.0	20.0	9.0	30.0	7.0	7.0	-	104.0	46.0	38.0	8.0	35.0	10.0	13.0	-
Сельское население	395.0	156.0	116.0	40.0	199.0	18.0	19.0	3.0	456.0	242.0	174.0	68.0	121.0	71.0	21.0	1.0
Иркутская область																
Городское и сельское население	482.0	212.0	140.0	72.0	208.0	24.0	37.0	1.0	558.0	300.0	197.0	103.0	145.0	88.0	25.0	-
Городское население	117.0	67.0	51.0	16.0	36.0	2.0	12.0	-	175.0	90.0	67.0	23.0	47.0	23.0	15.0	-
Сельское население	365.0	145.0	89.0	56.0	172.0	22.0	25.0	1.0	383.0	210.0	130.0	80.0	98.0	65.0	10.0	-
Сахалинская область																
Городское и сельское население	68.0	20.0	15.0	5.0	38.0	2.0	8.0	-	109.0	60.0	33.0	27.0	30.0	10.0	9.0	-
Городское население	23.0	8.0	6.0	2.0	10.0	1.0	4.0	-	45.0	24.0	13.0	11.0	13.0	3.0	5.0	-
Сельское население	45.0	12.0	9.0	3.0	28.0	1.0	4.0	-	64.0	36.0	20.0	16.0	17.0	7.0	4.0	-
Томская область																
Городское и сельское население	39.0	14.0	8.0	6.0	22.0	1.0	2.0	-	42.0	24.0	19.0	5.0	12.0	4.0	2.0	-
Городское население	8.0	3.0	2.0	1.0	5.0	-	-	-	9.0	6.0	6.0	-	2.0	1.0	-	-
Сельское население	31.0	11.0	6.0	5.0	17.0	1.0	2.0	-	33.0	18.0	13.0	5.0	10.0	3.0	2.0	-
Тюменская область																
Городское и сельское население	43.0	25.0	17.0	8.0	11.0	3.0	4.0	-	39.0	21.0	15.0	6.0	8.0	9.0	1.0	-
Городское население	18.0	10.0	9.0	1.0	4.0	2.0	2.0	-	15.0	8.0	8.0	-	5.0	1.0	1.0	-
Сельское население	25.0	15.0	8.0	7.0	7.0	1.0	2.0	-	24.0	13.0	7.0	6.0	3.0	8.0	-	-
ЭВЕНЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	4880.0	2119.0	1672.0	447.0	2279.0	197.0	278.0	7.0	7646.0	3949.0	3049.0	900.0	2136.0	1012.0	536.0	13.0
Городское население	1325.0	549.0	443.0	106.0	655.0	36.0	80.0	5.0	2913.0	1332.0	1011.0	321.0	967.0	327.0	279.0	8.0
Сельское население	3555.0	1570.0	1229.0	341.0	1624.0	161.0	198.0	2.0	4733.0	2617.0	2038.0	579.0	1169.0	685.0	257.0	5.0
Республика Саха (Якутия)																
Городское и сельское население	2810.0	1313.0	1117.0	196.0	1249.0	107.0	141.0	-	4990.0	2593.0	2141.0	452.0	1403.0	654.0	337.0	3.0
Городское население	712.0	339.0	298.0	41.0	315.0	18.0	40.0	-	1930.0	889.0	709.0	180.0	637.0	217.0	186.0	1.0
Сельское население	2098.0	974.0	819.0	155.0	934.0	89.0	101.0	-	3060.0	1704.0	1432.0	272.0	766.0	437.0	151.0	2.0
Магаданская область 																
Городское и сельское население	721.0	293.0	201.0	92.0	336.0	29.0	61.0	2.0	1007.0	515.0	331.0	184.0	275.0	132.0	81.0	4.0
Городское население	355.0	133.0	87.0	46.0	185.0	11.0	24.0	2.0	605.0	290.0	191.0	99.0	187.0	70.0	54.0	4.0
Сельское население	366.0	160.0	114.0	46.0	151.0	18.0	37.0	-	402.0	225.0	140.0	85.0	88.0	62.0	27.0	-
Камчатская область 																
Городское и сельское население	529.0	199.0	133.0	66.0	287.0	20.0	22.0	1.0	654.0	332.0	217.0	115.0	176.0	96.0	49.0	1.0
Городское население	82.0	19.0	15.0	4.0	57.0	4.0	1.0	1.0	133.0	58.0	43.0	15.0	43.0	19.0	12.0	1.0
Сельское население	447.0	180.0	118.0	62.0	230.0	16.0	21.0	-	521.0	274.0	174.0	100.0	133.0	77.0	37.0	-
Корякский автономный округ																
Городское и сельское население	224.0	88.0	54.0	34.0	112.0	12.0	11.0	1.0	281.0	144.0	80.0	64.0	66.0	52.0	19.0	-
Городское население	20.0	8.0	8.0	-	7.0	3.0	1.0	1.0	60.0	26.0	17.0	9.0	16.0	13.0	5.0	-
Сельское население	204.0	80.0	46.0	34.0	105.0	9.0	10.0	-	221.0	118.0	63.0	55.0	50.0	39.0	14.0	-
Чукотский автономный округ																
Городское и сельское население	410.0	163.0	116.0	47.0	189.0	20.0	34.0	4.0	521.0	255.0	185.0	70.0	152.0	71.0	40.0	3.0
Городское население	81.0	27.0	22.0	5.0	44.0	-	8.0	2.0	138.0	48.0	36.0	12.0	58.0	15.0	15.0	2.0
Сельское население	329.0	136.0	94.0	42.0	145.0	20.0	26.0	2.0	383.0	207.0	149.0	58.0	94.0	56.0	25.0	1.0
Хабаровский край																
Городское и сельское население	410.0	151.0	105.0	46.0	218.0	21.0	20.0	-	474.0	254.0	175.0	79.0	130.0	59.0	29.0	2.0
Городское население	95.0	31.0	21.0	10.0	54.0	3.0	7.0	-	107.0	47.0	32.0	15.0	42.0	6.0	12.0	-
Сельское население	315.0	120.0	84.0	36.0	164.0	18.0	13.0	-	367.0	207.0	143.0	64.0	88.0	53.0	17.0	2.0
ЭНЦЫ																
Таймырский (Долгано-Ненецкий) автономный округ																
Городское и сельское население	62.0	28.0	25.0	3.0	28.0	5.0	1.0	-	70.0	30.0	19.0	11.0	26.0	10.0	4.0	-
Городское население	4.0	3.0	2.0	1.0	1.0	-	-	-	14.0	5.0	4.0	1.0	6.0	1.0	2.0	-
Сельское население	58.0	25.0	23.0	2.0	27.0	5.0	1.0	-	56.0	25.0	15.0	10.0	20.0	9.0	2.0	-
ЭСКИМОСЫ																
Чукотский автономный округ																
Городское и сельское население	475.0	194.0	154.0	40.0	209.0	19.0	39.0	14.0	566.0	251.0	201.0	50.0	193.0	60.0	56.0	6.0
Городское население	105.0	37.0	27.0	10.0	50.0	2.0	11.0	5.0	178.0	80.0	63.0	17.0	66.0	14.0	17.0	1.0
Сельское население	370.0	157.0	127.0	30.0	159.0	17.0	28.0	9.0	388.0	171.0	138.0	33.0	127.0	46.0	39.0	5.0
ЮКАГИРЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	358.0	188.0	159.0	29.0	133.0	10.0	25.0	2.0	408.0	207.0	170.0	37.0	128.0	48.0	24.0	1.0
Городское население	159.0	86.0	75.0	11.0	52.0	7.0	12.0	2.0	191.0	93.0	70.0	23.0	58.0	22.0	17.0	1.0
Сельское население	199.0	102.0	84.0	18.0	81.0	3.0	13.0	-	217.0	114.0	100.0	14.0	70.0	26.0	7.0	-
Республика Саха (Якутия)																
Городское и сельское население	335.0	175.0	148.0	27.0	125.0	10.0	23.0	2.0	381.0	193.0	161.0	32.0	120.0	45.0	22.0	1.0
Городское население	139.0	74.0	64.0	10.0	45.0	7.0	11.0	2.0	168.0	82.0	63.0	19.0	51.0	19.0	15.0	1.0
Сельское население	196.0	101.0	84.0	17.0	80.0	3.0	12.0	-	213.0	111.0	98.0	13.0	69.0	26.0	7.0	-
Магаданская область																
Городское и сельское население	23.0	13.0	11.0	2.0	8.0	-	2.0	-	27.0	14.0	9.0	5.0	8.0	3.0	2.0	-
Городское население	20.0	12.0	11.0	1.0	7.0	-	1.0	-	23.0	11.0	7.0	4.0	7.0	3.0	2.0	-
Сельское население	3.0	1.0	-	1.0	1.0	-	1.0	-	4.0	3.0	2.0	1.0	1.0	-	-	-
