5.5. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И ПОЛУ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В процентах ко всему населению		
безработные	79587.0	40384.0	39203.0	17.3	19.0	15.8
из них:						
учащиеся	4221.0	2118.0	2103.0	0.9	1.0	0.9
пенсионеры	6562.0	2839.0	3723.0	1.4	1.3	1.5
Экономически неактивное население	186376.0	75365.0	111011.0	40.5	35.4	44.9
Краснодарский край						
Все население в возрасте 15-64 лет	3494997.0	1641725.0	1853272.0	100.0	100.0	100.0
Экономически активное население	2216840.0	1149065.0	1067775.0	63.4	70.0	57.6
в том числе:						
занятые в экономике	1952115.0	1016925.0	935190.0	55.8	61.9	50.5
из них:						
учащиеся	67391.0	29147.0	38244.0	1.9	1.8	2.1
пенсионеры	90718.0	41409.0	49309.0	2.6	2.5	2.7
безработные	264725.0	132140.0	132585.0	7.6	8.1	7.1
из них:						
учащиеся	23561.0	10799.0	12762.0	0.7	0.7	0.7
пенсионеры	22022.0	10937.0	11085.0	0.6	0.7	0.6
Экономически неактивное население	1272011.0	489687.0	782324.0	36.4	29.8	42.2
Ставропольский край						
Все население в возрасте 15-64 лет	1865763.0	878686.0	987077.0	100.0	100.0	100.0
Экономически активное население	1158012.0	601787.0	556225.0	62.1	68.5	56.4
в том числе:						
занятые в экономике	996620.0	521283.0	475337.0	53.4	59.3	48.2
из них:						
учащиеся	37059.0	16810.0	20249.0	2.0	1.9	2.1
пенсионеры	44321.0	19803.0	24518.0	2.4	2.3	2.5
безработные	161392.0	80504.0	80888.0	8.7	9.2	8.2
из них:						
учащиеся	18121.0	8291.0	9830.0	1.0	0.9	1.0
пенсионеры	12899.0	6334.0	6565.0	0.7	0.7	0.7
Экономически неактивное население	707681.0	276874.0	430807.0	37.9	31.5	43.6
Астраханская область						
Все население в возрасте 15-64 лет	688876.0	325933.0	362943.0	100.0	100.0	100.0
Экономически активное население	455415.0	233117.0	222298.0	66.1	71.5	61.2
в том числе:						
занятые в экономике	393885.0	201293.0	192592.0	57.2	61.7	53.0
из них:						
учащиеся	14674.0	6591.0	8083.0	2.1	2.0	2.2
пенсионеры	20371.0	9591.0	10780.0	3.0	2.9	3.0
безработные	61530.0	31824.0	29706.0	8.9	9.8	8.2
из них:						
учащиеся	5181.0	2412.0	2769.0	0.8	0.7	0.8
пенсионеры	4374.0	2265.0	2109.0	0.6	0.7	0.6
Экономически неактивное население	228977.0	91043.0	137934.0	33.2	27.9	38.0
Волгоградская область						
Все население в возрасте 15-64 лет	1849984.0	871152.0	978832.0	100.0	100.0	100.0
Экономически активное население	1205075.0	611266.0	593809.0	65.1	70.2	60.7
в том числе:						
занятые в экономике	1056979.0	536649.0	520330.0	57.1	61.6	53.2
из них:						
учащиеся	43913.0	19030.0	24883.0	2.4	2.2	2.5
пенсионеры	63061.0	29042.0	34019.0	3.4	3.3	3.5
безработные	148096.0	74617.0	73479.0	8.0	8.6	7.5
из них:						
учащиеся	15803.0	7190.0	8613.0	0.9	0.8	0.9
пенсионеры	13375.0	6691.0	6684.0	0.7	0.8	0.7
Экономически неактивное население	640321.0	257736.0	382585.0	34.6	29.6	39.1
Ростовская область						
Все население в возрасте 15-64 лет	3048723.0	1433986.0	1614737.0	100.0	100.0	100.0
Экономически активное население	1893315.0	971615.0	921700.0	62.1	67.8	57.1
в том числе:						
занятые в экономике	1659942.0	854457.0	805485.0	54.4	59.6	49.9
из них:						
учащиеся	53740.0	23464.0	30276.0	1.8	1.6	1.9
пенсионеры	85194.0	40117.0	45077.0	2.8	2.8	2.8
безработные	233373.0	117158.0	116215.0	7.7	8.2	7.2
из них:						
учащиеся	27262.0	13268.0	13994.0	0.9	0.9	0.9
пенсионеры	24036.0	12686.0	11350.0	0.8	0.9	0.7
Экономически неактивное население	1142729.0	456758.0	685971.0	37.5	31.9	42.5
Приволжский федеральный округ						
Все население в возрасте 15-64 лет	21386807.0	10084310.0	11302497.0	100.0	100.0	100.0
Экономически активное население	14684376.0	7364668.0	7319708.0	68.7	73.0	64.8
в том числе:						
занятые в экономике	13255158.0	6637161.0	6617997.0	62.0	65.8	58.6
из них:						
учащиеся	583155.0	236352.0	346803.0	2.7	2.3	3.1
пенсионеры	695191.0	300863.0	394328.0	3.3	3.0	3.5
безработные	1429218.0	727507.0	701711.0	6.7	7.2	6.2
из них:						
учащиеся	161303.0	68723.0	92580.0	0.8	0.7	0.8
пенсионеры	121748.0	60256.0	61492.0	0.6	0.6	0.5
Экономически неактивное население	6647029.0	2693980.0	3953049.0	31.1	26.7	35.0
Республика Башкортостан						
Все население в возрасте 15-64 лет	2764417.0	1319428.0	1444989.0	100.0	100.0	100.0
Экономически активное население	1880049.0	966353.0	913696.0	68.0	73.2	63.2
в том числе:						
занятые в экономике	1672385.0	860750.0	811635.0	60.5	65.2	56.2
из них:						
учащиеся	75114.0	31041.0	44073.0	2.7	2.4	3.1
пенсионеры	75973.0	34339.0	41634.0	2.7	2.6	2.9
безработные	207664.0	105603.0	102061.0	7.5	8.0	7.0
из них:						
учащиеся	22530.0	9284.0	13246.0	0.8	0.7	0.9
пенсионеры	14233.0	6927.0	7306.0	0.5	0.5	0.5
Экономически неактивное население	882622.0	352250.0	530372.0	31.9	26.7	36.7
Республика Марий Эл						
Все население в возрасте 15-64 лет	502978.0	239538.0	263440.0	100.0	100.0	100.0
Экономически активное население	338743.0	166714.0	172029.0	67.3	69.6	65.3
в том числе:						
занятые в экономике	299661.0	145748.0	153913.0	59.6	60.8	58.4
из них:						
учащиеся	11144.0	4359.0	6785.0	2.2	1.8	2.6
пенсионеры	15157.0	6663.0	8494.0	3.0	2.8	3.2
безработные	39082.0	20966.0	18116.0	7.7	8.8	6.9
из них:						
учащиеся	4369.0	1853.0	2516.0	0.9	0.8	1.0
пенсионеры	3126.0	1658.0	1468.0	0.6	0.7	0.6
Экономически неактивное население	162796.0	72115.0	90681.0	32.4	30.1	34.4
Республика Мордовия						
Все население в возрасте 15-64 лет	600439.0	283882.0	316557.0	100.0	100.0	100.0
Экономически активное население	391816.0	193432.0	198384.0	65.3	68.1	62.7
в том числе:						
занятые в экономике	349073.0	170433.0	178640.0	58.2	60.0	56.4
из них:						
учащиеся	10796.0	4594.0	6202.0	1.8	1.6	2.0
пенсионеры	18738.0	7426.0	11312.0	3.1	2.6	3.6
безработные	42743.0	22999.0	19744.0	7.1	8.1	6.3
из них:						
учащиеся	3622.0	1434.0	2188.0	0.6	0.5	0.7
пенсионеры	3334.0	1661.0	1673.0	0.6	0.6	0.5
Экономически неактивное население	206652.0	89537.0	117115.0	34.4	31.5	37.0
Республика Татарстан						
Все население в возрасте 15-64 лет	2585132.0	1220172.0	1364960.0	100.0	100.0	100.0
Экономически активное население	1818915.0	916022.0	902893.0	70.4	75.1	66.1
в том числе:						
занятые в экономике	1685719.0	849750.0	835969.0	65.2	69.7	61.2
из них:						
учащиеся	69070.0	28068.0	41002.0	2.7	2.3	3.0
пенсионеры	67402.0	30178.0	37224.0	2.6	2.5	2.7
безработные	133196.0	66272.0	66924.0	5.2	5.4	4.9
из них:						
учащиеся	18922.0	8618.0	10304.0	0.7	0.7	0.8
пенсионеры	11398.0	5656.0	5742.0	0.4	0.5	0.4
Экономически неактивное население	765232.0	303736.0	461496.0	29.6	24.9	33.8
Удмуртская Республика						
Все население в возрасте 15-64 лет	1092546.0	516235.0	576311.0	100.0	100.0	100.0
Экономически активное население	790559.0	390582.0	399977.0	72.4	75.7	69.4
в том числе:						
занятые в экономике	724578.0	355896.0	368682.0	66.3	69.0	64.0
из них:						
учащиеся	47099.0	18556.0	28543.0	4.3	3.6	5.0
пенсионеры	37091.0	15417.0	21674.0	3.4	3.0	3.8
безработные	65981.0	34686.0	31295.0	6.1	6.7	5.4
из них:						
учащиеся	9405.0	3748.0	5657.0	0.9	0.7	1.0
пенсионеры	5794.0	2885.0	2909.0	0.5	0.6	0.5
Экономически неактивное население	300515.0	124923.0	175592.0	27.5	24.2	30.5
Чувашская Республика						
Все население в возрасте 15-64 лет	894988.0	427550.0	467438.0	100.0	100.0	100.0
Экономически активное население	612492.0	304444.0	308048.0	68.4	71.2	65.9
в том числе:						
занятые в экономике	548915.0	270152.0	278763.0	61.3	63.2	59.6
из них:						
учащиеся	24159.0	9541.0	14618.0	2.7	2.2	3.1
пенсионеры	26252.0	11061.0	15191.0	2.9	2.6	3.2
безработные	63577.0	34292.0	29285.0	7.1	8.0	6.3
из них:						
учащиеся	8501.0	3352.0	5149.0	0.9	0.8	1.1
пенсионеры	4740.0	2279.0	2461.0	0.5	0.5	0.5
Экономически неактивное население	280797.0	122281.0	158516.0	31.4	28.6	33.9
Кировская область						
Все население в возрасте 15-64 лет	1023826.0	488452.0	535374.0	100.0	100.0	100.0
Экономически активное население	732901.0	360974.0	371927.0	71.6	73.9	69.5
в том числе:						
занятые в экономике	667050.0	326811.0	340239.0	65.2	66.9	63.6
из них:						
учащиеся	37512.0	13966.0	23546.0	3.7	2.9	4.4
пенсионеры	40980.0	16386.0	24594.0	4.0	3.4	4.6
безработные	65851.0	34163.0	31688.0	6.4	7.0	5.9
из них:						
учащиеся	8000.0	3086.0	4914.0	0.8	0.6	0.9
пенсионеры	5071.0	2695.0	2376.0	0.5	0.6	0.4
Экономически неактивное население	289045.0	126567.0	162478.0	28.2	25.9	30.3
Нижегородская область						
Все население в возрасте 15-64 лет	2396011.0	1120623.0	1275388.0	100.0	100.0	100.0
Экономически активное население	1703980.0	838401.0	865579.0	71.1	74.8	67.9
в том числе:						
занятые в экономике	1570198.0	768351.0	801847.0	65.5	68.6	62.9
из них:						
учащиеся	73600.0	28722.0	44878.0	3.1	2.6	3.5
пенсионеры	89201.0	36781.0	52420.0	3.7	3.3	4.1
безработные	133782.0	70050.0	63732.0	5.6	6.2	5.0
из них:						
учащиеся	16945.0	7130.0	9815.0	0.7	0.6	0.8
пенсионеры	15142.0	7338.0	7804.0	0.6	0.7	0.6
Экономически неактивное население	691227.0	281890.0	409337.0	28.8	25.2	32.1
Оренбургская область						
Все население в возрасте 15-64 лет	1489459.0	704201.0	785258.0	100.0	100.0	100.0
Экономически активное население	978087.0	505025.0	473062.0	65.7	71.7	60.2
в том числе:						
занятые в экономике	877206.0	454224.0	422982.0	58.9	64.5	53.8
из них:						
учащиеся	41084.0	17904.0	23180.0	2.8	2.5	3.0
пенсионеры	45995.0	21536.0	24459.0	3.1	3.1	3.1
безработные	100881.0	50801.0	50080.0	6.8	7.2	6.4
из них:						
учащиеся	9967.0	4278.0	5689.0	0.7	0.6	0.7
пенсионеры	8899.0	4528.0	4371.0	0.6	0.6	0.6
Экономически неактивное население	509345.0	198303.0	311042.0	34.2	28.2	39.6
Пензенская область						
Все население в возрасте 15-64 лет	1003725.0	472707.0	531018.0	100.0	100.0	100.0
Экономически активное население	657703.0	328694.0	329009.0	65.5	69.5	62.0
в том числе:						
занятые в экономике	561906.0	279306.0	282600.0	56.0	59.1	53.2
из них:						
учащиеся	16337.0	6432.0	9905.0	1.6	1.4	1.9
пенсионеры	26985.0	11552.0	15433.0	2.7	2.4	2.9
безработные	95797.0	49388.0	46409.0	9.5	10.4	8.8
из них:						
учащиеся	6961.0	3229.0	3732.0	0.7	0.7	0.7
пенсионеры	7519.0	3707.0	3812.0	0.7	0.8	0.7
Экономически неактивное население	342631.0	142526.0	200105.0	34.1	30.2	37.7
Пермская область						
Все население в возрасте 15-64 лет	1935218.0	908064.0	1027154.0	100.0	100.0	100.0
Экономически активное население	1337089.0	658214.0	678875.0	69.1	72.5	66.1
в том числе:						
занятые в экономике	1213888.0	593213.0	620675.0	62.7	65.3	60.4
из них:						
учащиеся	61375.0	24259.0	37116.0	3.2	2.7	3.6
пенсионеры	84217.0	33973.0	50244.0	4.4	3.7	4.9
безработные	123201.0	65001.0	58200.0	6.4	7.2	5.7
из них:						
учащиеся	13133.0	5458.0	7675.0	0.7	0.6	0.7
пенсионеры	11362.0	5718.0	5644.0	0.6	0.6	0.5
Экономически неактивное население	588610.0	245432.0	343178.0	30.4	27.0	33.4
Коми–Пермяцкий автономный округ						
Все население в возрасте 15-64 лет	89152.0	45232.0	43920.0	100.0	100.0	100.0
Экономически активное население	52859.0	27065.0	25794.0	59.3	59.8	58.7
в том числе:						
занятые в экономике	45469.0	22645.0	22824.0	51.0	50.0	52.0
из них:						
учащиеся	1279.0	370.0	909.0	1.4	0.8	2.1
пенсионеры	2607.0	822.0	1785.0	2.9	1.8	4.1
безработные	7390.0	4420.0	2970.0	8.3	9.8	6.7
из них:						
учащиеся	125.0	49.0	76.0	0.1	0.1	0.2
пенсионеры	110.0	59.0	51.0	0.1	0.1	0.1
Экономически неактивное население	36293.0	18167.0	18126.0	40.7	40.2	41.3
Самарская область						
Все население в возрасте 15-64 лет	2285891.0	1069125.0	1216766.0	100.0	100.0	100.0
Экономически активное население	1591983.0	801178.0	790805.0	69.6	74.9	65.0
в том числе:						
занятые в экономике	1456616.0	736579.0	720037.0	63.7	68.9	59.2
из них:						
учащиеся	67405.0	27936.0	39469.0	2.9	2.6	3.2
пенсионеры	88554.0	39224.0	49330.0	3.9	3.7	4.1
безработные	135367.0	64599.0	70768.0	5.9	6.0	5.8
из них:						
учащиеся	20071.0	8912.0	11159.0	0.9	0.8	0.9
пенсионеры	13652.0	6510.0	7142.0	0.6	0.6	0.6
Экономически неактивное население	681742.0	261770.0	419972.0	29.8	24.5	34.5
Саратовская область						
Все население в возрасте 15-64 лет	1854235.0	864940.0	989295.0	100.0	100.0	100.0
Экономически активное население	1202739.0	610470.0	592269.0	64.9	70.6	59.9
в том числе:						
занятые в экономике	1050813.0	536367.0	514446.0	56.7	62.0	52.0
из них:						
учащиеся	29328.0	13169.0	16159.0	1.6	1.5	1.6
пенсионеры	48498.0	22378.0	26120.0	2.6	2.6	2.6
безработные	151926.0	74103.0	77823.0	8.2	8.6	7.9
из них:						
учащиеся	13511.0	6190.0	7321.0	0.7	0.7	0.7
пенсионеры	11578.0	5823.0	5755.0	0.6	0.7	0.6
Экономически неактивное население	636768.0	248062.0	388706.0	34.3	28.7	39.3
Ульяновская область						
Все население в возрасте 15-64 лет	957942.0	449393.0	508549.0	100.0	100.0	100.0
Экономически активное население	647320.0	324165.0	323155.0	67.6	72.1	63.5
в том числе:						
занятые в экономике	577150.0	289581.0	287569.0	60.3	64.4	56.5
из них:						
учащиеся	19132.0	7805.0	11327.0	2.0	1.7	2.2
пенсионеры	30148.0	13949.0	16199.0	3.1	3.1	3.2
безработные	70170.0	34584.0	35586.0	7.3	7.7	7.0
из них:						
учащиеся	5366.0	2151.0	3215.0	0.6	0.5	0.6
пенсионеры	5900.0	2871.0	3029.0	0.6	0.6	0.6
Экономически неактивное население	309047.0	124588.0	184459.0	32.3	27.7	36.3
Уральский федеральный округ						
Все население в возрасте 15-64 лет	8693678.0	4112801.0	4580877.0	100.0	100.0	100.0
Экономически активное население	6102201.0	3086815.0	3015386.0	70.2	75.1	65.8
в том числе:						
занятые в экономике	5532230.0	2806790.0	2725440.0	63.6	68.3	59.5
из них:						
учащиеся	297323.0	127330.0	169993.0	3.4	3.1	3.7
пенсионеры	346517.0	146209.0	200308.0	4.0	3.6	4.4
безработные	569971.0	280025.0	289946.0	6.6	6.8	6.3
из них:						
учащиеся	73539.0	30683.0	42856.0	0.8	0.7	0.9
пенсионеры	51226.0	24426.0	26800.0	0.6	0.6	0.6
Экономически неактивное население	2509810.0	988912.0	1520898.0	28.9	24.0	33.2
Курганская область						
Все население в возрасте 15-64 лет	692853.0	326990.0	365863.0	100.0	100.0	100.0
Экономически активное население	436852.0	221863.0	214989.0	63.1	67.9	58.8
в том числе:						
занятые в экономике	384443.0	195147.0	189296.0	55.5	59.7	51.8
из них:						
учащиеся	14251.0	5786.0	8465.0	2.1	1.8	2.3
пенсионеры	18234.0	7370.0	10864.0	2.6	2.3	3.0
безработные	52409.0	26716.0	25693.0	7.6	8.2	7.0
из них:						
учащиеся	4013.0	1594.0	2419.0	0.6	0.5	0.7
пенсионеры	3161.0	1656.0	1505.0	0.5	0.5	0.4
Экономически неактивное население	252891.0	103758.0	149133.0	36.5	31.7	40.8
Свердловская область						
Все население в возрасте 15-64 лет	3120021.0	1456531.0	1663490.0	100.0	100.0	100.0
Экономически активное население	2207578.0	1095782.0	1111796.0	70.8	75.2	66.8
в том числе:						
занятые в экономике	2020024.0	1004084.0	1015940.0	64.8	68.9	61.1
из них:						
учащиеся	107769.0	45204.0	62565.0	3.5	3.1	3.8
пенсионеры	142433.0	60809.0	81624.0	4.6	4.2	4.9
безработные	187554.0	91698.0	95856.0	6.0	6.3	5.7
из них:						
учащиеся	26640.0	11164.0	15476.0	0.9	0.8	0.9
пенсионеры	19433.0	9165.0	10268.0	0.6	0.6	0.6
Экономически неактивное население	883865.0	347722.0	536143.0	28.3	23.9	32.2
Тюменская область						
Все население в возрасте 15-64 лет	2389750.0	1166512.0	1223238.0	100.0	100.0	100.0
Экономически активное население	1720002.0	898124.0	821878.0	72.0	77.0	67.2
в том числе:						
занятые в экономике	1561396.0	820206.0	741190.0	65.4	70.3	60.6
из них:						
учащиеся	99340.0	44600.0	54740.0	4.2	3.8	4.5
пенсионеры	79752.0	30917.0	48835.0	3.3	2.7	4.0
безработные	158606.0	77918.0	80688.0	6.6	6.7	6.6
из них:						
учащиеся	19409.0	7817.0	11592.0	0.8	0.7	0.9
пенсионеры	11753.0	5685.0	6068.0	0.5	0.5	0.5
Экономически неактивное население	626903.0	248912.0	377991.0	26.2	21.3	30.9
Ханты-Мансийский автономный округ - Югра						
Все население в возрасте 15-64 лет	1081716.0	536947.0	544769.0	100.0	100.0	100.0
Экономически активное население	824661.0	437065.0	387596.0	76.2	81.4	71.1
в том числе:						
занятые в экономике	750403.0	401855.0	348548.0	69.4	74.8	64.0
из них:						
учащиеся	52834.0	24504.0	28330.0	4.9	4.6	5.2
пенсионеры	37322.0	13649.0	23673.0	3.5	2.5	4.3
безработные	74258.0	35210.0	39048.0	6.8	6.6	7.1
из них:						
учащиеся	8877.0	3333.0	5544.0	0.8	0.6	1.0
пенсионеры	5061.0	2338.0	2723.0	0.5	0.4	0.5
Экономически неактивное население	235579.0	90221.0	145358.0	21.8	16.8	26.7
Ямало-Ненецкий автономный округ						
Все население в возрасте 15-64 лет	378959.0	189164.0	189795.0	100.0	100.0	100.0
Экономически активное население	296445.0	155751.0	140694.0	78.2	82.3	74.1
в том числе:						
занятые в экономике	272206.0	144846.0	127360.0	71.8	76.6	67.1
из них:						
учащиеся	20363.0	9223.0	11140.0	5.4	4.9	5.9
пенсионеры	15147.0	5718.0	9429.0	4.0	3.0	5.0
безработные	24239.0	10905.0	13334.0	6.4	5.7	7.0
из них:						
учащиеся	2924.0	1031.0	1893.0	0.8	0.5	1.0
пенсионеры	1729.0	844.0	885.0	0.5	0.4	0.5
Экономически неактивное население	74358.0	29313.0	45045.0	19.6	15.5	23.7
Челябинская область						
Все население в возрасте 15-64 лет	2491054.0	1162768.0	1328286.0	100.0	100.0	100.0
Экономически активное население	1737769.0	871046.0	866723.0	69.8	74.9	65.3
в том числе:						
занятые в экономике	1566367.0	787353.0	779014.0	62.9	67.7	58.7
из них:						
учащиеся	75963.0	31740.0	44223.0	3.0	2.7	3.3
пенсионеры	106098.0	47113.0	58985.0	4.3	4.1	4.4
безработные	171402.0	83693.0	87709.0	6.9	7.2	6.6
из них:						
учащиеся	23477.0	10108.0	13369.0	0.9	0.9	1.0
пенсионеры	16879.0	7920.0	8959.0	0.7	0.7	0.7
Экономически неактивное население	746151.0	288520.0	457631.0	30.0	24.8	34.5
Сибирский федеральный округ						
Все население в возрасте 15-64 лет	13945087.0	6566458.0	7378629.0	100.0	100.0	100.0
Экономически активное население	9266522.0	4680880.0	4585642.0	66.5	71.3	62.1
в том числе:						
занятые в экономике	8096818.0	4107393.0	3989425.0	58.1	62.6	54.0
из них:						
учащиеся	387240.0	163049.0	224191.0	2.8	2.5	3.0
пенсионеры	510340.0	214780.0	295560.0	3.7	3.3	4.0
безработные	1169704.0	573487.0	596217.0	8.4	8.7	8.1
из них:						
учащиеся	126446.0	55024.0	71422.0	0.9	0.8	1.0
пенсионеры	104132.0	50559.0	53573.0	0.7	0.8	0.7
Экономически неактивное население	4644379.0	1870138.0	2774241.0	33.3	28.5	37.6
Республика Алтай						
Все население в возрасте 15-64 лет	134102.0	63980.0	70122.0	100.0	100.0	100.0
Экономически активное население	80484.0	39600.0	40884.0	60.0	61.9	58.3
в том числе:						
занятые в экономике	67280.0	32311.0	34969.0	50.2	50.5	49.9
из них:						
учащиеся	3424.0	1193.0	2231.0	2.6	1.9	3.2
пенсионеры	3917.0	1322.0	2595.0	2.9	2.1	3.7
безработные	13204.0	7289.0	5915.0	9.8	11.4	8.4
из них:						
учащиеся	815.0	354.0	461.0	0.6	0.6	0.7
пенсионеры	862.0	423.0	439.0	0.6	0.7	0.6
Экономически неактивное население	53381.0	24262.0	29119.0	39.8	37.9	41.5
Республика Бурятия						
Все население в возрасте 15-64 лет	666193.0	314118.0	352075.0	100.0	100.0	100.0
Экономически активное население	416631.0	207922.0	208709.0	62.5	66.2	59.3
в том числе:						
занятые в экономике	345237.0	170848.0	174389.0	51.8	54.4	49.5
из них:						
учащиеся	16576.0	6725.0	9851.0	2.5	2.1	2.8
пенсионеры	20145.0	7877.0	12268.0	3.0	2.5	3.5
безработные	71394.0	37074.0	34320.0	10.7	11.8	9.8
из них:						
учащиеся	6015.0	2571.0	3444.0	0.9	0.8	1.0
пенсионеры	5765.0	2766.0	2999.0	0.9	0.9	0.9
Экономически неактивное население	247776.0	105393.0	142383.0	37.2	33.6	40.4
Республика Тыва						
Все население в возрасте 15-64 лет	197913.0	90596.0	107317.0	100.0	100.0	100.0
Экономически активное население	111084.0	50408.0	60676.0	56.1	55.6	56.5
в том числе:						
занятые в экономике	82503.0	35772.0	46731.0	41.7	39.5	43.5
из них:						
учащиеся	3654.0	1191.0	2463.0	1.8	1.3	2.3
пенсионеры	8760.0	2953.0	5807.0	4.4	3.3	5.4
безработные	28581.0	14636.0	13945.0	14.4	16.1	13.0
из них:						
учащиеся	1156.0	431.0	725.0	0.6	0.5	0.7
пенсионеры	3045.0	1461.0	1584.0	1.5	1.6	1.5
Экономически неактивное население	86814.0	40177.0	46637.0	43.9	44.3	43.5
Республика Хакасия						
Все население в возрасте 15-64 лет	378385.0	177224.0	201161.0	100.0	100.0	100.0
Экономически активное население	249068.0	123989.0	125079.0	65.8	70.0	62.2
в том числе:						
занятые в экономике	213696.0	107232.0	106464.0	56.5	60.5	52.9
из них:						
учащиеся	9342.0	4105.0	5237.0	2.5	2.3	2.6
пенсионеры	10120.0	4140.0	5980.0	2.7	2.3	3.0
безработные	35372.0	16757.0	18615.0	9.3	9.5	9.3
из них:						
учащиеся	2925.0	1212.0	1713.0	0.8	0.7	0.9
пенсионеры	2877.0	1390.0	1487.0	0.8	0.8	0.7
Экономически неактивное население	128092.0	52693.0	75399.0	33.9	29.7	37.5
Алтайский край						
Все население в возрасте 15-64 лет	1818726.0	861954.0	956772.0	100.0	100.0	100.0
Экономически активное население	1178385.0	607568.0	570817.0	64.8	70.5	59.7
в том числе:						
занятые в экономике	1035034.0	538519.0	496515.0	56.9	62.5	51.9
из них:						
учащиеся	38375.0	16304.0	22071.0	2.1	1.9	2.3
пенсионеры	51114.0	21948.0	29166.0	2.8	2.5	3.0
безработные	143351.0	69049.0	74302.0	7.9	8.0	7.8
из них:						
учащиеся	13157.0	5643.0	7514.0	0.7	0.7	0.8
пенсионеры	10173.0	5080.0	5093.0	0.6	0.6	0.5
Экономически неактивное население	640016.0	254252.0	385764.0	35.2	29.5	40.3
Красноярский край						
Все население в возрасте 15-64 лет	2092179.0	989795.0	1102384.0	100.0	100.0	100.0
Экономически активное население	1453760.0	732372.0	721388.0	69.5	74.0	65.4
в том числе:						
занятые в экономике	1284174.0	650210.0	633964.0	61.4	65.7	57.5
из них:						
учащиеся	63234.0	26454.0	36780.0	3.0	2.7	3.3
пенсионеры	93128.0	38146.0	54982.0	4.5	3.9	5.0
безработные	169586.0	82162.0	87424.0	8.1	8.3	7.9
из них:						
учащиеся	20472.0	8998.0	11474.0	1.0	0.9	1.0
пенсионеры	15256.0	7255.0	8001.0	0.7	0.7	0.7
Экономически неактивное население	628703.0	252504.0	376199.0	30.1	25.5	34.1
Таймырский (Долгано-Ненецкий) автономный округ						
Все население в возрасте 15-64 лет	28973.0	14116.0	14857.0	100.0	100.0	100.0
Экономически активное население	22056.0	10967.0	11089.0	76.1	77.7	74.6
в том числе:						
занятые в экономике	19414.0	9569.0	9845.0	67.0	67.8	66.2
из них:						
учащиеся	1290.0	532.0	758.0	4.5	3.8	5.1
пенсионеры	1978.0	724.0	1254.0	6.8	5.1	8.4
безработные	2642.0	1398.0	1244.0	9.1	9.9	8.4
из них:						
учащиеся	219.0	89.0	130.0	0.8	0.6	0.9
пенсионеры	263.0	113.0	150.0	0.9	0.8	1.0
Экономически неактивное население	6153.0	2738.0	3415.0	21.2	19.4	23.0
Эвенкийский автономный округ						
Все население в возрасте 15-64 лет	12562.0	6387.0	6175.0	100.0	100.0	100.0
Экономически активное население	9438.0	4850.0	4588.0	75.1	75.9	74.3
в том числе:						
занятые в экономике	8453.0	4283.0	4170.0	67.3	67.0	67.5
из них:						
учащиеся	539.0	195.0	344.0	4.3	3.1	5.6
пенсионеры	957.0	346.0	611.0	7.6	5.4	9.9
безработные	985.0	567.0	418.0	7.8	8.9	6.8
из них:						
учащиеся	59.0	23.0	36.0	0.5	0.4	0.6
пенсионеры	61.0	34.0	27.0	0.5	0.5	0.4
Экономически неактивное население	3119.0	1533.0	1586.0	24.8	24.0	25.7
Иркутская область						
Все население в возрасте 15-64 лет	1787533.0	836284.0	951249.0	100.0	100.0	100.0
Экономически активное население	1194442.0	599064.0	595378.0	66.8	71.6	62.6
в том числе:						
занятые в экономике	1041054.0	525004.0	516050.0	58.2	62.8	54.3
из них:						
учащиеся	47415.0	20323.0	27092.0	2.7	2.4	2.8
пенсионеры	79429.0	31667.0	47762.0	4.4	3.8	5.0
безработные	153388.0	74060.0	79328.0	8.6	8.8	8.3
из них:						
учащиеся	17377.0	7671.0	9706.0	1.0	0.9	1.0
пенсионеры	17094.0	7827.0	9267.0	1.0	0.9	1.0
Экономически неактивное население	583022.0	232906.0	350116.0	32.6	27.9	36.8
Усть-Ордынский Бурятский автономный округ						
Все население в возрасте 15-64 лет	85143.0	41621.0	43522.0	100.0	100.0	100.0
Экономически активное население	48794.0	24782.0	24012.0	57.3	59.5	55.2
в том числе:						
занятые в экономике	41434.0	20729.0	20705.0	48.7	49.8	47.6
из них:						
учащиеся	1402.0	371.0	1031.0	1.6	0.9	2.4
пенсионеры	2707.0	974.0	1733.0	3.2	2.3	4.0
безработные	7360.0	4053.0	3307.0	8.6	9.7	7.6
из них:						
учащиеся	224.0	84.0	140.0	0.3	0.2	0.3
пенсионеры	435.0	219.0	216.0	0.5	0.5	0.5
Экономически неактивное население	36217.0	16784.0	19433.0	42.5	40.3	44.7
Кемеровская область						
Все население в возрасте 15-64 лет	2016679.0	947486.0	1069193.0	100.0	100.0	100.0
Экономически активное население	1377203.0	688969.0	688234.0	68.3	72.7	64.4
в том числе:						
занятые в экономике	1200097.0	602814.0	597283.0	59.5	63.6	55.9
из них:						
учащиеся	60697.0	26901.0	33796.0	3.0	2.8	3.2
пенсионеры	83611.0	38374.0	45237.0	4.1	4.1	4.2
