9. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
Белорусы	2734.0	2135.0	2009.0	126.0	319.0	84.0	192.0	4.0	3447.0	2166.0	2024.0	142.0	324.0	585.0	370.0	2.0
Сельское население	100372.0	60779.0	53043.0	7736.0	23761.0	6228.0	9517.0	87.0	118408.0	59515.0	51914.0	7601.0	14216.0	36210.0	8360.0	107.0
Русские	94217.0	56538.0	49388.0	7150.0	22550.0	5983.0	9083.0	63.0	112563.0	55831.0	48693.0	7138.0	13671.0	35107.0	7871.0	83.0
Украинцы	1654.0	1298.0	1159.0	139.0	164.0	72.0	117.0	3.0	1620.0	1061.0	965.0	96.0	86.0	301.0	171.0	1.0
Белорусы	1314.0	999.0	901.0	98.0	144.0	57.0	113.0	1.0	1554.0	1046.0	951.0	95.0	98.0	314.0	96.0	-
г. Санкт–Петербург																
Городское население	1766217.0	987471.0	920288.0	67183.0	456807.0	63780.0	142794.0	115365.0	2258047.0	1008707.0	939556.0	69151.0	425619.0	378715.0	306700.0	138306.0
Русские	1460413.0	836243.0	777177.0	59066.0	421192.0	55959.0	129014.0	18005.0	1926219.0	880530.0	817761.0	62769.0	393982.0	346997.0	281244.0	23466.0
Украинцы	41134.0	31440.0	29871.0	1569.0	4511.0	1967.0	2960.0	256.0	42490.0	23659.0	22319.0	1340.0	4766.0	7534.0	6151.0	380.0
Белорусы	23573.0	17923.0	17074.0	849.0	2719.0	1163.0	1631.0	137.0	28968.0	15895.0	15034.0	861.0	3034.0	5808.0	4020.0	211.0
Евреи	17468.0	12272.0	11752.0	520.0	2090.0	1510.0	1387.0	209.0	17715.0	7383.0	7101.0	282.0	2703.0	5165.0	2242.0	222.0
Татары	13980.0	8701.0	8083.0	618.0	3416.0	522.0	1195.0	146.0	18311.0	8817.0	8258.0	559.0	3214.0	3337.0	2744.0	199.0
Финны	1452.0	967.0	896.0	71.0	313.0	46.0	113.0	13.0	2288.0	1073.0	993.0	80.0	397.0	488.0	301.0	29.0
Узбеки	1556.0	984.0	895.0	89.0	389.0	27.0	135.0	21.0	946.0	527.0	484.0	43.0	194.0	72.0	146.0	7.0
Казахи	1198.0	637.0	578.0	59.0	428.0	29.0	89.0	15.0	1302.0	605.0	556.0	49.0	450.0	78.0	158.0	11.0
Южный федеральный округ																
Республика Адыгея																
Все население	163587.0	103483.0	94696.0	8787.0	41793.0	5799.0	12011.0	501.0	196746.0	104355.0	95531.0	8824.0	32676.0	36913.0	22200.0	602.0
Адыгейцы	39770.0	25454.0	24194.0	1260.0	11660.0	1003.0	1651.0	2.0	43661.0	24351.0	23272.0	1079.0	8621.0	7365.0	3304.0	20.0
Русские	104090.0	64893.0	58798.0	6095.0	25724.0	4079.0	9378.0	16.0	131927.0	68030.0	61420.0	6610.0	20870.0	26044.0	16967.0	16.0
Армяне	5987.0	3957.0	3569.0	388.0	1538.0	191.0	299.0	2.0	5849.0	3383.0	3098.0	285.0	1227.0	771.0	468.0	-
Украинцы	3527.0	2731.0	2508.0	223.0	330.0	240.0	226.0	-	5098.0	2825.0	2631.0	194.0	326.0	1364.0	583.0	-
Городское население	85837.0	52921.0	48960.0	3961.0	23112.0	2930.0	6536.0	338.0	107458.0	53715.0	49660.0	4055.0	20701.0	18457.0	14165.0	420.0
Адыгейцы	15972.0	9907.0	9347.0	560.0	5152.0	274.0	637.0	2.0	18655.0	9525.0	9016.0	509.0	5014.0	2204.0	1893.0	19.0
Русские	59423.0	36294.0	33470.0	2824.0	15541.0	2255.0	5317.0	16.0	77509.0	38270.0	35137.0	3133.0	13782.0	14371.0	11071.0	15.0
Армяне	3000.0	1943.0	1784.0	159.0	780.0	101.0	174.0	2.0	3006.0	1626.0	1518.0	108.0	689.0	402.0	289.0	-
Украинцы	2196.0	1691.0	1581.0	110.0	218.0	142.0	145.0	-	3127.0	1710.0	1613.0	97.0	220.0	807.0	390.0	-
Сельское население	77750.0	50562.0	45736.0	4826.0	18681.0	2869.0	5475.0	163.0	89288.0	50640.0	45871.0	4769.0	11975.0	18456.0	8035.0	182.0
Адыгейцы	23798.0	15547.0	14847.0	700.0	6508.0	729.0	1014.0	-	25006.0	14826.0	14256.0	570.0	3607.0	5161.0	1411.0	1.0
Русские	44667.0	28599.0	25328.0	3271.0	10183.0	1824.0	4061.0	-	54418.0	29760.0	26283.0	3477.0	7088.0	11673.0	5896.0	1.0
Армяне	2987.0	2014.0	1785.0	229.0	758.0	90.0	125.0	-	2843.0	1757.0	1580.0	177.0	538.0	369.0	179.0	-
Украинцы	1331.0	1040.0	927.0	113.0	112.0	98.0	81.0	-	1971.0	1115.0	1018.0	97.0	106.0	557.0	193.0	-
Республика Дагестан																
Все население	841078.0	526702.0	496073.0	30629.0	270684.0	18902.0	24767.0	23.0	943177.0	537497.0	504160.0	33337.0	220147.0	118790.0	66718.0	25.0
Аварцы	243040.0	150379.0	136727.0	13652.0	80175.0	5533.0	6951.0	2.0	269011.0	149570.0	135297.0	14273.0	65877.0	34563.0	18992.0	9.0
Даргинцы	137727.0	89601.0	85487.0	4114.0	42556.0	2649.0	2916.0	5.0	152738.0	90336.0	86053.0	4283.0	33810.0	19584.0	9002.0	6.0
Кумыки	116489.0	74527.0	68795.0	5732.0	35438.0	2459.0	4061.0	4.0	133573.0	75941.0	69622.0	6319.0	31104.0	15068.0	11458.0	2.0
Лезгины	113097.0	72453.0	71579.0	874.0	35487.0	2499.0	2654.0	4.0	122405.0	72958.0	72025.0	933.0	29864.0	13253.0	6325.0	5.0
Лакцы	47177.0	27823.0	26808.0	1015.0	16449.0	1185.0	1718.0	2.0	55259.0	28342.0	27174.0	1168.0	14871.0	7364.0	4682.0	-
Русские	44562.0	21514.0	20224.0	1290.0	18189.0	1784.0	3074.0	1.0	56720.0	27787.0	25973.0	1814.0	10253.0	11491.0	7189.0	-
Азербайджанцы	36912.0	25005.0	24701.0	304.0	10460.0	665.0	781.0	1.0	39798.0	24412.0	24084.0	328.0	8925.0	4232.0	2229.0	-
Табасараны	35200.0	23618.0	23447.0	171.0	10566.0	512.0	503.0	1.0	37771.0	23964.0	23770.0	194.0	8847.0	3521.0	1437.0	2.0
Чеченцы	26294.0	17340.0	15032.0	2308.0	7508.0	573.0	873.0	-	30812.0	18680.0	16027.0	2653.0	6202.0	3523.0	2407.0	-
Ногайцы	12127.0	7917.0	7238.0	679.0	3540.0	289.0	381.0	-	14097.0	8118.0	7351.0	767.0	3265.0	1791.0	923.0	-
Рутульцы	8239.0	5052.0	4910.0	142.0	2819.0	173.0	195.0	-	8555.0	4998.0	4840.0	158.0	2251.0	868.0	438.0	-
Агулы	7687.0	4895.0	4816.0	79.0	2523.0	140.0	129.0	-	8203.0	4901.0	4815.0	86.0	2055.0	875.0	372.0	-
Цахуры	2698.0	1720.0	1704.0	16.0	901.0	58.0	19.0	-	2655.0	1661.0	1645.0	16.0	672.0	282.0	40.0	-
Таты	319.0	213.0	209.0	4.0	69.0	18.0	19.0	-	353.0	169.0	164.0	5.0	79.0	60.0	45.0	-
Городское население	378945.0	217195.0	205018.0	12177.0	140471.0	8108.0	13156.0	15.0	423870.0	222238.0	209005.0	13233.0	119144.0	45503.0	36972.0	13.0
Аварцы	91567.0	51470.0	46891.0	4579.0	35460.0	1748.0	2887.0	2.0	96145.0	49895.0	45315.0	4580.0	29837.0	8639.0	7769.0	5.0
Даргинцы	51323.0	30325.0	28612.0	1713.0	18683.0	913.0	1401.0	1.0	54585.0	30061.0	28348.0	1713.0	15297.0	4998.0	4228.0	1.0
Кумыки	56603.0	33549.0	31388.0	2161.0	19778.0	1162.0	2110.0	4.0	66164.0	34427.0	31945.0	2482.0	18495.0	6792.0	6449.0	1.0
Лезгины	48853.0	28396.0	27860.0	536.0	18426.0	849.0	1178.0	4.0	53303.0	28695.0	28094.0	601.0	17027.0	4108.0	3469.0	4.0
Лакцы	33433.0	18873.0	18161.0	712.0	12457.0	785.0	1318.0	-	39227.0	19326.0	18489.0	837.0	11899.0	4381.0	3621.0	-
Русские	35238.0	17166.0	16307.0	859.0	14244.0	1389.0	2439.0	-	46426.0	21897.0	20685.0	1212.0	9019.0	9215.0	6295.0	-
Азербайджанцы	17786.0	11311.0	11147.0	164.0	5630.0	361.0	483.0	1.0	19177.0	10851.0	10686.0	165.0	4890.0	2056.0	1380.0	-
Табасараны	14876.0	9251.0	9121.0	130.0	5225.0	164.0	235.0	1.0	15486.0	9397.0	9260.0	137.0	4294.0	1067.0	726.0	2.0
Чеченцы	12025.0	7568.0	6673.0	895.0	3728.0	254.0	475.0	-	13813.0	7896.0	6927.0	969.0	3141.0	1521.0	1255.0	-
Ногайцы	1910.0	1106.0	958.0	148.0	708.0	44.0	52.0	-	2500.0	1113.0	945.0	168.0	933.0	236.0	218.0	-
Рутульцы	2998.0	1657.0	1588.0	69.0	1226.0	51.0	64.0	-	3128.0	1640.0	1567.0	73.0	1056.0	217.0	215.0	-
Агулы	3229.0	1926.0	1887.0	39.0	1192.0	56.0	55.0	-	3487.0	1906.0	1862.0	44.0	1083.0	272.0	226.0	-
Цахуры	876.0	520.0	517.0	3.0	338.0	9.0	9.0	-	722.0	447.0	443.0	4.0	218.0	36.0	21.0	-
Таты	310.0	205.0	201.0	4.0	68.0	18.0	19.0	-	348.0	164.0	159.0	5.0	79.0	60.0	45.0	-
Сельское население	462133.0	309507.0	291055.0	18452.0	130213.0	10794.0	11611.0	8.0	519307.0	315259.0	295155.0	20104.0	101003.0	73287.0	29746.0	12.0
Аварцы	151473.0	98909.0	89836.0	9073.0	44715.0	3785.0	4064.0	-	172866.0	99675.0	89982.0	9693.0	36040.0	25924.0	11223.0	4.0
Даргинцы	86404.0	59276.0	56875.0	2401.0	23873.0	1736.0	1515.0	4.0	98153.0	60275.0	57705.0	2570.0	18513.0	14586.0	4774.0	5.0
Кумыки	59886.0	40978.0	37407.0	3571.0	15660.0	1297.0	1951.0	-	67409.0	41514.0	37677.0	3837.0	12609.0	8276.0	5009.0	1.0
Лезгины	64244.0	44057.0	43719.0	338.0	17061.0	1650.0	1476.0	-	69102.0	44263.0	43931.0	332.0	12837.0	9145.0	2856.0	1.0
Лакцы	13744.0	8950.0	8647.0	303.0	3992.0	400.0	400.0	2.0	16032.0	9016.0	8685.0	331.0	2972.0	2983.0	1061.0	-
Русские	9324.0	4348.0	3917.0	431.0	3945.0	395.0	635.0	1.0	10294.0	5890.0	5288.0	602.0	1234.0	2276.0	894.0	-
Азербайджанцы	19126.0	13694.0	13554.0	140.0	4830.0	304.0	298.0	-	20621.0	13561.0	13398.0	163.0	4035.0	2176.0	849.0	-
Табасараны	20324.0	14367.0	14326.0	41.0	5341.0	348.0	268.0	-	22285.0	14567.0	14510.0	57.0	4553.0	2454.0	711.0	-
Чеченцы	14269.0	9772.0	8359.0	1413.0	3780.0	319.0	398.0	-	16999.0	10784.0	9100.0	1684.0	3061.0	2002.0	1152.0	-
Ногайцы	10217.0	6811.0	6280.0	531.0	2832.0	245.0	329.0	-	11597.0	7005.0	6406.0	599.0	2332.0	1555.0	705.0	-
Рутульцы	5241.0	3395.0	3322.0	73.0	1593.0	122.0	131.0	-	5427.0	3358.0	3273.0	85.0	1195.0	651.0	223.0	-
Агулы	4458.0	2969.0	2929.0	40.0	1331.0	84.0	74.0	-	4716.0	2995.0	2953.0	42.0	972.0	603.0	146.0	-
Цахуры	1822.0	1200.0	1187.0	13.0	563.0	49.0	10.0	-	1933.0	1214.0	1202.0	12.0	454.0	246.0	19.0	-
Таты	9.0	8.0	8.0	-	1.0	-	-	-	5.0	5.0	5.0	-	-	-	-	-
Республика Ингушетия																
Все население	135336.0	66988.0	60271.0	6717.0	60664.0	2851.0	3645.0	1188.0	160677.0	72190.0	64214.0	7976.0	59445.0	19423.0	8476.0	1143.0
Ингуши	105648.0	52414.0	48240.0	4174.0	47771.0	2054.0	2603.0	806.0	123398.0	54556.0	49841.0	4715.0	47935.0	14205.0	5925.0	777.0
Чеченцы	25512.0	13084.0	10699.0	2385.0	10582.0	659.0	874.0	313.0	33051.0	15599.0	12554.0	3045.0	10509.0	4418.0	2227.0	298.0
Русские	2479.0	674.0	616.0	58.0	1570.0	92.0	120.0	23.0	2331.0	1058.0	951.0	107.0	492.0	533.0	227.0	21.0
Украинцы	37.0	18.0	17.0	1.0	10.0	5.0	3.0	1.0	122.0	63.0	57.0	6.0	18.0	32.0	9.0	-
Кумыки	44.0	22.0	16.0	6.0	19.0	-	-	3.0	52.0	40.0	34.0	6.0	5.0	5.0	1.0	1.0
Аварцы	38.0	17.0	14.0	3.0	20.0	1.0	-	-	41.0	23.0	19.0	4.0	8.0	6.0	4.0	-
Армяне	25.0	7.0	7.0	-	17.0	1.0	-	-	25.0	14.0	14.0	-	8.0	2.0	1.0	-
Городское население	58905.0	29065.0	26353.0	2712.0	26751.0	1153.0	1565.0	371.0	68408.0	30880.0	27729.0	3151.0	25181.0	8372.0	3626.0	349.0
Ингуши	48080.0	23876.0	22069.0	1807.0	21822.0	889.0	1194.0	299.0	55452.0	24585.0	22616.0	1969.0	21386.0	6474.0	2713.0	294.0
Чеченцы	9035.0	4747.0	3896.0	851.0	3683.0	237.0	326.0	42.0	11598.0	5598.0	4491.0	1107.0	3547.0	1617.0	807.0	29.0
Русские	1386.0	289.0	262.0	27.0	1029.0	21.0	38.0	9.0	904.0	457.0	411.0	46.0	175.0	186.0	81.0	5.0
Украинцы	18.0	10.0	9.0	1.0	6.0	1.0	-	1.0	49.0	24.0	22.0	2.0	5.0	15.0	5.0	-
Кумыки	20.0	12.0	9.0	3.0	7.0	-	-	1.0	18.0	14.0	11.0	3.0	1.0	3.0	-	-
Аварцы	9.0	3.0	2.0	1.0	6.0	-	-	-	9.0	6.0	5.0	1.0	-	3.0	-	-
Армяне	13.0	5.0	5.0	-	8.0	-	-	-	11.0	9.0	9.0	-	2.0	-	-	-
Сельское население	76431.0	37923.0	33918.0	4005.0	33913.0	1698.0	2080.0	817.0	92269.0	41310.0	36485.0	4825.0	34264.0	11051.0	4850.0	794.0
Ингуши	57568.0	28538.0	26171.0	2367.0	25949.0	1165.0	1409.0	507.0	67946.0	29971.0	27225.0	2746.0	26549.0	7731.0	3212.0	483.0
Чеченцы	16477.0	8337.0	6803.0	1534.0	6899.0	422.0	548.0	271.0	21453.0	10001.0	8063.0	1938.0	6962.0	2801.0	1420.0	269.0
Русские	1093.0	385.0	354.0	31.0	541.0	71.0	82.0	14.0	1427.0	601.0	540.0	61.0	317.0	347.0	146.0	16.0
Украинцы	19.0	8.0	8.0	-	4.0	4.0	3.0	-	73.0	39.0	35.0	4.0	13.0	17.0	4.0	-
Кумыки	24.0	10.0	7.0	3.0	12.0	-	-	2.0	34.0	26.0	23.0	3.0	4.0	2.0	1.0	1.0
Аварцы	29.0	14.0	12.0	2.0	14.0	1.0	-	-	32.0	17.0	14.0	3.0	8.0	3.0	4.0	-
Армяне	12.0	2.0	2.0	-	9.0	1.0	-	-	14.0	5.0	5.0	-	6.0	2.0	1.0	-
Кабардино–Балкарская Республика																
Все население	314817.0	187307.0	180640.0	6667.0	100994.0	9451.0	17055.0	10.0	372546.0	190019.0	183047.0	6972.0	85586.0	59191.0	37744.0	6.0
Кабардинцы	170425.0	103988.0	101899.0	2089.0	55732.0	4027.0	6677.0	1.0	193445.0	102268.0	100302.0	1966.0	47601.0	27398.0	16174.0	4.0
Балкарцы	37751.0	20494.0	19894.0	600.0	14505.0	1005.0	1746.0	1.0	42271.0	20249.0	19710.0	539.0	13229.0	5196.0	3597.0	-
Русские	81310.0	47119.0	44188.0	2931.0	23345.0	3518.0	7325.0	3.0	107351.0	51756.0	48357.0	3399.0	19195.0	21425.0	14974.0	1.0
Осетины	3572.0	1985.0	1856.0	129.0	1215.0	131.0	241.0	-	4350.0	2022.0	1901.0	121.0	964.0	856.0	508.0	-
Украинцы	2644.0	1943.0	1848.0	95.0	315.0	181.0	205.0	-	4435.0	2235.0	2100.0	135.0	343.0	1280.0	577.0	-
Немцы	929.0	575.0	537.0	38.0	229.0	50.0	75.0	-	1156.0	602.0	548.0	54.0	212.0	197.0	145.0	-
Городское население	180593.0	104232.0	99825.0	4407.0	58884.0	5742.0	11726.0	9.0	225146.0	106845.0	102150.0	4695.0	55147.0	34531.0	28620.0	3.0
Кабардинцы	79168.0	45836.0	44565.0	1271.0	27735.0	1795.0	3802.0	-	94263.0	44898.0	43723.0	1175.0	27203.0	11237.0	10924.0	1.0
Балкарцы	17931.0	9457.0	9131.0	326.0	7100.0	430.0	943.0	1.0	20883.0	9281.0	9005.0	276.0	7428.0	2049.0	2125.0	-
Русские	64668.0	37336.0	35270.0	2066.0	18578.0	2828.0	5923.0	3.0	87693.0	41209.0	38723.0	2486.0	16178.0	17239.0	13066.0	1.0
Осетины	2499.0	1416.0	1326.0	90.0	812.0	92.0	179.0	-	3184.0	1411.0	1335.0	76.0	748.0	614.0	411.0	-
Украинцы	2193.0	1594.0	1526.0	68.0	268.0	157.0	174.0	-	3588.0	1756.0	1656.0	100.0	304.0	1036.0	492.0	-
Немцы	652.0	386.0	359.0	27.0	174.0	36.0	56.0	-	791.0	386.0	357.0	29.0	154.0	139.0	112.0	-
Сельское население	134224.0	83075.0	80815.0	2260.0	42110.0	3709.0	5329.0	1.0	147400.0	83174.0	80897.0	2277.0	30439.0	24660.0	9124.0	3.0
Кабардинцы	91257.0	58152.0	57334.0	818.0	27997.0	2232.0	2875.0	1.0	99182.0	57370.0	56579.0	791.0	20398.0	16161.0	5250.0	3.0
Балкарцы	19820.0	11037.0	10763.0	274.0	7405.0	575.0	803.0	-	21388.0	10968.0	10705.0	263.0	5801.0	3147.0	1472.0	-
Русские	16642.0	9783.0	8918.0	865.0	4767.0	690.0	1402.0	-	19658.0	10547.0	9634.0	913.0	3017.0	4186.0	1908.0	-
Осетины	1073.0	569.0	530.0	39.0	403.0	39.0	62.0	-	1166.0	611.0	566.0	45.0	216.0	242.0	97.0	-
Украинцы	451.0	349.0	322.0	27.0	47.0	24.0	31.0	-	847.0	479.0	444.0	35.0	39.0	244.0	85.0	-
Немцы	277.0	189.0	178.0	11.0	55.0	14.0	19.0	-	365.0	216.0	191.0	25.0	58.0	58.0	33.0	-
Республика Калмыкия																
Все население	103164.0	63430.0	57349.0	6081.0	29366.0	3622.0	6695.0	51.0	116799.0	63571.0	57485.0	6086.0	25104.0	17930.0	10145.0	49.0
Калмыки	53690.0	31078.0	28612.0	2466.0	17349.0	2021.0	3212.0	30.0	61339.0	30685.0	28227.0	2458.0	16376.0	8839.0	5414.0	25.0
Русские	35551.0	23222.0	20934.0	2288.0	8075.0	1316.0	2923.0	15.0	42062.0	24235.0	21769.0	2466.0	6209.0	7585.0	4018.0	15.0
Даргинцы	2698.0	1872.0	1669.0	203.0	765.0	25.0	34.0	2.0	2157.0	1657.0	1490.0	167.0	398.0	64.0	37.0	1.0
Чеченцы	2070.0	1170.0	867.0	303.0	833.0	18.0	49.0	-	1778.0	1045.0	789.0	256.0	520.0	128.0	85.0	-
Казахи	1733.0	1019.0	920.0	99.0	578.0	48.0	88.0	-	1981.0	1101.0	989.0	112.0	430.0	307.0	143.0	-
Украинцы	999.0	737.0	639.0	98.0	110.0	52.0	100.0	-	1266.0	794.0	700.0	94.0	98.0	286.0	88.0	-
Немцы	545.0	383.0	339.0	44.0	117.0	9.0	36.0	-	714.0	444.0	383.0	61.0	104.0	103.0	63.0	-
Городское население	44382.0	26789.0	24343.0	2446.0	12984.0	1544.0	3037.0	28.0	55549.0	27436.0	24965.0	2471.0	13872.0	8130.0	6078.0	33.0
Калмыки	25189.0	14196.0	12981.0	1215.0	8456.0	878.0	1640.0	19.0	31843.0	14254.0	13024.0	1230.0	9898.0	4145.0	3526.0	20.0
Русские	16182.0	10603.0	9656.0	947.0	3742.0	590.0	1239.0	8.0	20511.0	11311.0	10308.0	1003.0	3342.0	3563.0	2287.0	8.0
Даргинцы	77.0	47.0	35.0	12.0	27.0	1.0	2.0	-	71.0	35.0	30.0	5.0	32.0	2.0	2.0	-
Чеченцы	289.0	155.0	113.0	42.0	124.0	6.0	4.0	-	235.0	125.0	95.0	30.0	81.0	13.0	16.0	-
Казахи	578.0	352.0	325.0	27.0	186.0	13.0	27.0	-	700.0	394.0	348.0	46.0	146.0	94.0	66.0	-
Украинцы	446.0	349.0	310.0	39.0	47.0	18.0	32.0	-	514.0	325.0	295.0	30.0	40.0	99.0	50.0	-
Немцы	131.0	97.0	89.0	8.0	24.0	2.0	8.0	-	220.0	129.0	111.0	18.0	41.0	29.0	21.0	-
Сельское население	58782.0	36641.0	33006.0	3635.0	16382.0	2078.0	3658.0	23.0	61250.0	36135.0	32520.0	3615.0	11232.0	9800.0	4067.0	16.0
Калмыки	28501.0	16882.0	15631.0	1251.0	8893.0	1143.0	1572.0	11.0	29496.0	16431.0	15203.0	1228.0	6478.0	4694.0	1888.0	5.0
Русские	19369.0	12619.0	11278.0	1341.0	4333.0	726.0	1684.0	7.0	21551.0	12924.0	11461.0	1463.0	2867.0	4022.0	1731.0	7.0
Даргинцы	2621.0	1825.0	1634.0	191.0	738.0	24.0	32.0	2.0	2086.0	1622.0	1460.0	162.0	366.0	62.0	35.0	1.0
Чеченцы	1781.0	1015.0	754.0	261.0	709.0	12.0	45.0	-	1543.0	920.0	694.0	226.0	439.0	115.0	69.0	-
Казахи	1155.0	667.0	595.0	72.0	392.0	35.0	61.0	-	1281.0	707.0	641.0	66.0	284.0	213.0	77.0	-
Украинцы	553.0	388.0	329.0	59.0	63.0	34.0	68.0	-	752.0	469.0	405.0	64.0	58.0	187.0	38.0	-
Немцы	414.0	286.0	250.0	36.0	93.0	7.0	28.0	-	494.0	315.0	272.0	43.0	63.0	74.0	42.0	-
Карачаево-Черкесская Республика																
Все население	154811.0	92873.0	87108.0	5765.0	48679.0	4977.0	8179.0	103.0	184673.0	95237.0	89098.0	6139.0	39217.0	31749.0	18368.0	102.0
Карачаевцы	58756.0	32428.0	30404.0	2024.0	22789.0	1572.0	1954.0	13.0	66235.0	32658.0	30606.0	2052.0	18932.0	9322.0	5312.0	11.0
Черкесы	17616.0	10969.0	10680.0	289.0	5511.0	389.0	745.0	2.0	19964.0	10916.0	10645.0	271.0	4439.0	2970.0	1638.0	1.0
Русские	52486.0	33214.0	30807.0	2407.0	12738.0	2268.0	4221.0	45.0	68294.0	35692.0	32922.0	2770.0	9808.0	14258.0	8487.0	49.0
Абазины	11637.0	7215.0	6943.0	272.0	3639.0	297.0	478.0	8.0	12977.0	6975.0	6719.0	256.0	2738.0	2183.0	1077.0	4.0
Ногайцы	5149.0	3136.0	2947.0	189.0	1553.0	143.0	317.0	-	6158.0	3143.0	2953.0	190.0	1362.0	1020.0	633.0	-
Украинцы	1113.0	858.0	786.0	72.0	127.0	68.0	60.0	-	2002.0	1104.0	1021.0	83.0	129.0	523.0	246.0	-
Городское население	66673.0	40960.0	38248.0	2712.0	19764.0	1979.0	3872.0	98.0	85324.0	42575.0	39638.0	2937.0	18603.0	13490.0	10558.0	98.0
Карачаевцы	20183.0	11159.0	10286.0	873.0	7909.0	438.0	667.0	10.0	23673.0	11188.0	10326.0	862.0	7470.0	2786.0	2218.0	11.0
Черкесы	5455.0	3455.0	3290.0	165.0	1676.0	68.0	254.0	2.0	6771.0	3484.0	3334.0	150.0	1770.0	662.0	855.0	-
Русские	30984.0	19893.0	18687.0	1206.0	7301.0	1228.0	2517.0	45.0	42266.0	21523.0	20093.0	1430.0	6505.0	8277.0	5914.0	47.0
Абазины	4060.0	2528.0	2389.0	139.0	1304.0	72.0	148.0	8.0	5004.0	2493.0	2360.0	133.0	1303.0	578.0	626.0	4.0
Ногайцы	677.0	384.0	366.0	18.0	251.0	10.0	32.0	-	1026.0	424.0	403.0	21.0	393.0	83.0	126.0	-
Украинцы	711.0	548.0	515.0	33.0	77.0	41.0	45.0	-	1291.0	679.0	628.0	51.0	78.0	354.0	180.0	-
Сельское население	88138.0	51913.0	48860.0	3053.0	28915.0	2998.0	4307.0	5.0	99349.0	52662.0	49460.0	3202.0	20614.0	18259.0	7810.0	4.0
Карачаевцы	38573.0	21269.0	20118.0	1151.0	14880.0	1134.0	1287.0	3.0	42562.0	21470.0	20280.0	1190.0	11462.0	6536.0	3094.0	-
Черкесы	12161.0	7514.0	7390.0	124.0	3835.0	321.0	491.0	-	13193.0	7432.0	7311.0	121.0	2669.0	2308.0	783.0	1.0
Русские	21502.0	13321.0	12120.0	1201.0	5437.0	1040.0	1704.0	-	26028.0	14169.0	12829.0	1340.0	3303.0	5981.0	2573.0	2.0
Абазины	7577.0	4687.0	4554.0	133.0	2335.0	225.0	330.0	-	7973.0	4482.0	4359.0	123.0	1435.0	1605.0	451.0	-
Ногайцы	4472.0	2752.0	2581.0	171.0	1302.0	133.0	285.0	-	5132.0	2719.0	2550.0	169.0	969.0	937.0	507.0	-
Украинцы	402.0	310.0	271.0	39.0	50.0	27.0	15.0	-	711.0	425.0	393.0	32.0	51.0	169.0	66.0	-
Республика Северная Осетия – Алания																
Все население	258310.0	143262.0	131315.0	11947.0	92166.0	8868.0	12776.0	1238.0	300257.0	146375.0	133596.0	12779.0	66496.0	58861.0	27010.0	1515.0
Осетины	159306.0	92047.0	83812.0	8235.0	54054.0	5579.0	7482.0	144.0	185409.0	89482.0	81067.0	8415.0	45847.0	35148.0	14766.0	166.0
Русские	62726.0	30872.0	29044.0	1828.0	25657.0	2288.0	3868.0	41.0	75209.0	36841.0	34365.0	2476.0	11899.0	17297.0	9131.0	41.0
Ингуши	6885.0	3357.0	3075.0	282.0	3265.0	116.0	145.0	2.0	7836.0	3395.0	3064.0	331.0	2976.0	1123.0	341.0	1.0
Армяне	6530.0	4100.0	3772.0	328.0	1839.0	234.0	350.0	7.0	6920.0	3553.0	3294.0	259.0	1389.0	1237.0	739.0	2.0
Кумыки	4092.0	2681.0	2350.0	331.0	1161.0	80.0	170.0	-	4361.0	2601.0	2290.0	311.0	900.0	533.0	327.0	-
Грузины	3963.0	2401.0	2154.0	247.0	1178.0	145.0	239.0	-	4647.0	2361.0	2141.0	220.0	1063.0	837.0	384.0	2.0
Городское население	170233.0	92731.0	85267.0	7464.0	62113.0	5364.0	8803.0	1222.0	201759.0	95683.0	87480.0	8203.0	44661.0	38628.0	21278.0	1509.0
Осетины	98798.0	57219.0	52020.0	5199.0	33681.0	2954.0	4805.0	139.0	119238.0	56154.0	50673.0	5481.0	30614.0	21101.0	11207.0	162.0
Русские	49163.0	23159.0	21926.0	1233.0	21249.0	1735.0	2983.0	37.0	58598.0	27841.0	26103.0	1738.0	9528.0	13429.0	7759.0	41.0
Ингуши	1033.0	517.0	457.0	60.0	455.0	18.0	42.0	1.0	1096.0	480.0	417.0	63.0	346.0	190.0	80.0	-
Армяне	6061.0	3806.0	3501.0	305.0	1703.0	215.0	330.0	7.0	6470.0	3274.0	3045.0	229.0	1315.0	1177.0	702.0	2.0
Кумыки	762.0	478.0	429.0	49.0	242.0	11.0	31.0	-	839.0	464.0	417.0	47.0	219.0	73.0	83.0	-
Грузины	3004.0	1808.0	1628.0	180.0	896.0	106.0	194.0	-	3509.0	1696.0	1533.0	163.0	848.0	641.0	322.0	2.0
Сельское население	88077.0	50531.0	46048.0	4483.0	30053.0	3504.0	3973.0	16.0	98498.0	50692.0	46116.0	4576.0	21835.0	20233.0	5732.0	6.0
