5. ГРУППИРОВКА ГОРОДОВ И ПОСЕЛКОВ ГОРОДСКОГО ТИПА ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                          ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	в том числе городские поселения с числом жителей1)  								
женщины	382936.0	7543.0	19802.0	38583.0	89845.0	-	-	227163.0	-	-
Число поселков городского типа	5.0	4.0	1.0	-	-	-	-	-	-	-
численность населения	14510.0	9055.0	5455.0	-	-	-	-	-	-	-
мужчины	6922.0	4375.0	2547.0	-	-	-	-	-	-	-
женщины	7588.0	4680.0	2908.0	-	-	-	-	-	-	-
Ленинградская область										
Число городских поселений	65.0	22.0	14.0	11.0	12.0	6.0	-	-	-	-
численность населения	1108762.0	71488.0	102980.0	151509.0	379742.0	403043.0	-	-	-	-
мужчины	508113.0	34101.0	47617.0	68230.0	173031.0	185134.0	-	-	-	-
женщины	600649.0	37387.0	55363.0	83279.0	206711.0	217909.0	-	-	-	-
Число городов	31.0	2.0	3.0	8.0	12.0	6.0	-	-	-	-
численность населения	927942.0	6289.0	21336.0	117532.0	379742.0	403043.0	-	-	-	-
мужчины	423858.0	3213.0	9741.0	52739.0	173031.0	185134.0	-	-	-	-
женщины	504084.0	3076.0	11595.0	64793.0	206711.0	217909.0	-	-	-	-
Число поселков городского типа	34.0	20.0	11.0	3.0	-	-	-	-	-	-
численность населения	180820.0	65199.0	81644.0	33977.0	-	-	-	-	-	-
мужчины	84255.0	30888.0	37876.0	15491.0	-	-	-	-	-	-
женщины	96565.0	34311.0	43768.0	18486.0	-	-	-	-	-	-
Мурманская область										
Число городских поселений	32.0	9.0	5.0	10.0	4.0	3.0	-	1.0	-	-
численность населения	823215.0	17874.0	34254.0	145011.0	118190.0	171749.0	-	336137.0	-	-
мужчины	395794.0	9302.0	16732.0	75152.0	54377.0	83658.0	-	156573.0	-	-
женщины	427421.0	8572.0	17522.0	69859.0	63813.0	88091.0	-	179564.0	-	-
Число городов	16.0	-	1.0	7.0	4.0	3.0	-	1.0	-	-
численность населения	732874.0	-	5032.0	101766.0	118190.0	171749.0	-	336137.0	-	-
мужчины	348397.0	-	2681.0	51108.0	54377.0	83658.0	-	156573.0	-	-
женщины	384477.0	-	2351.0	50658.0	63813.0	88091.0	-	179564.0	-	-
Число поселков городского типа	16.0	9.0	4.0	3.0	-	-	-	-	-	-
численность населения	90341.0	17874.0	29222.0	43245.0	-	-	-	-	-	-
мужчины	47397.0	9302.0	14051.0	24044.0	-	-	-	-	-	-
женщины	42944.0	8572.0	15171.0	19201.0	-	-	-	-	-	-
Новгородская область										
Число городских поселений	28.0	13.0	5.0	7.0	1.0	1.0	1.0	-	-	-
численность населения	484920.0	36311.0	36387.0	102100.0	35511.0	57755.0	216856.0	-	-	-
мужчины	216488.0	16180.0	16870.0	47315.0	15615.0	25741.0	94767.0	-	-	-
женщины	268432.0	20131.0	19517.0	54785.0	19896.0	32014.0	122089.0	-	-	-
Число городов	10.0	1.0	-	6.0	1.0	1.0	1.0	-	-	-
численность населения	406490.0	4325.0	-	92043.0	35511.0	57755.0	216856.0	-	-	-
мужчины	180024.0	1963.0	-	41938.0	15615.0	25741.0	94767.0	-	-	-
женщины	226466.0	2362.0	-	50105.0	19896.0	32014.0	122089.0	-	-	-
Число поселков городского типа	18.0	12.0	5.0	1.0	-	-	-	-	-	-
численность населения	78430.0	31986.0	36387.0	10057.0	-	-	-	-	-	-
мужчины	36464.0	14217.0	16870.0	5377.0	-	-	-	-	-	-
женщины	41966.0	17769.0	19517.0	4680.0	-	-	-	-	-	-
Псковская область										
Число городских поселений	28.0	11.0	9.0	5.0	1.0	-	2.0	-	-	-
численность населения	502654.0	37043.0	64897.0	67877.0	25078.0	-	307759.0	-	-	-
мужчины	227498.0	16823.0	30257.0	30576.0	11657.0	-	138185.0	-	-	-
женщины	275156.0	20220.0	34640.0	37301.0	13421.0	-	169574.0	-	-	-
Число городов	14.0	1.0	5.0	5.0	1.0	-	2.0	-	-	-
численность населения	439220.0	4125.0	34381.0	67877.0	25078.0	-	307759.0	-	-	-
мужчины	197710.0	1792.0	15500.0	30576.0	11657.0	-	138185.0	-	-	-
женщины	241510.0	2333.0	18881.0	37301.0	13421.0	-	169574.0	-	-	-
Число поселков городского типа	14.0	10.0	4.0	-	-	-	-	-	-	-
численность населения	63434.0	32918.0	30516.0	-	-	-	-	-	-	-
мужчины	29788.0	15031.0	14757.0	-	-	-	-	-	-	-
женщины	33646.0	17887.0	15759.0	-	-	-	-	-	-	-
г. Санкт-Петербург										
Число городских поселений	1.0	-	-	-	-	-	-	-	-	1.0
численность населения	4661219.0	-	-	-	-	-	-	-	-	4661219.0
мужчины	2094836.0	-	-	-	-	-	-	-	-	2094836.0
женщины	2566383.0	-	-	-	-	-	-	-	-	2566383.0
Число городов	1.0	-	-	-	-	-	-	-	-	1.0
численность населения	4661219.0	-	-	-	-	-	-	-	-	4661219.0
мужчины	2094836.0	-	-	-	-	-	-	-	-	2094836.0
женщины	2566383.0	-	-	-	-	-	-	-	-	2566383.0
Число поселков городского типа	-	-	-	-	-	-	-	-	-	-
Южный федеральный округ										
Число городских поселений	267.0	43.0	57.0	50.0	64.0	24.0	18.0	7.0	2.0	2.0
численность населения	13166327.0	110379.0	408909.0	717251.0	2119694.0	1587486.0	2660462.0	2331786.0	1150676.0	2079684.0
мужчины	6090097.0	52865.0	192506.0	334050.0	993083.0	734679.0	1232099.0	1075596.0	525286.0	949933.0
женщины	7076230.0	57514.0	216403.0	383201.0	1126611.0	852807.0	1428363.0	1256190.0	625390.0	1129751.0
Число городов	135.0	1.0	3.0	21.0	57.0	24.0	18.0	7.0	2.0	2.0
численность населения	12079849.0	275.0	27543.0	333290.0	1908647.0	1587486.0	2660462.0	2331786.0	1150676.0	2079684.0
мужчины	5582153.0	135.0	12982.0	156065.0	895378.0	734679.0	1232099.0	1075596.0	525286.0	949933.0
женщины	6497696.0	140.0	14561.0	177225.0	1013269.0	852807.0	1428363.0	1256190.0	625390.0	1129751.0
Число поселков городского типа	132.0	42.0	54.0	29.0	7.0	-	-	-	-	-
численность населения	1086478.0	110104.0	381366.0	383961.0	211047.0	-	-	-	-	-
мужчины	507944.0	52730.0	179524.0	177985.0	97705.0	-	-	-	-	-
женщины	578534.0	57374.0	201842.0	205976.0	113342.0	-	-	-	-	-
Республика Адыгея										
Число городских поселений	7.0	1.0	1.0	3.0	1.0	-	1.0	-	-	-
численность населения	234900.0	4961.0	7580.0	40365.0	25063.0	-	156931.0	-	-	-
мужчины	107069.0	3170.0	3440.0	18439.0	11341.0	-	70679.0	-	-	-
женщины	127831.0	1791.0	4140.0	21926.0	13722.0	-	86252.0	-	-	-
Число городов	2.0	-	-	1.0	-	-	1.0	-	-	-
численность населения	169140.0	-	-	12209.0	-	-	156931.0	-	-	-
мужчины	76374.0	-	-	5695.0	-	-	70679.0	-	-	-
женщины	92766.0	-	-	6514.0	-	-	86252.0	-	-	-
Число поселков городского типа	5.0	1.0	1.0	2.0	1.0	-	-	-	-	-
численность населения	65760.0	4961.0	7580.0	28156.0	25063.0	-	-	-	-	-
мужчины	30695.0	3170.0	3440.0	12744.0	11341.0	-	-	-	-	-
женщины	35065.0	1791.0	4140.0	15412.0	13722.0	-	-	-	-	-
Республика Дагестан										
Число городских поселений	29.0	4.0	14.0	2.0	4.0	2.0	2.0	1.0	-	-
численность населения	1102577.0	11842.0	97377.0	24579.0	144432.0	139087.0	222848.0	462412.0	-	-
мужчины	529889.0	5644.0	47607.0	12263.0	68060.0	68272.0	106836.0	221207.0	-	-
женщины	572688.0	6198.0	49770.0	12316.0	76372.0	70815.0	116012.0	241205.0	-	-
Число городов	10.0	-	1.0	-	4.0	2.0	2.0	1.0	-	-
численность населения	978556.0	-	9777.0	-	144432.0	139087.0	222848.0	462412.0	-	-
мужчины	469097.0	-	4722.0	-	68060.0	68272.0	106836.0	221207.0	-	-
женщины	509459.0	-	5055.0	-	76372.0	70815.0	116012.0	241205.0	-	-
Число поселков городского типа	19.0	4.0	13.0	2.0	-	-	-	-	-	-
численность населения	124021.0	11842.0	87600.0	24579.0	-	-	-	-	-	-
мужчины	60792.0	5644.0	42885.0	12263.0	-	-	-	-	-	-
женщины	63229.0	6198.0	44715.0	12316.0	-	-	-	-	-	-
Республика Ингушетия										
Число городских поселений	4.0	1.0	-	-	2.0	-	1.0	-	-	-
численность населения	198496.0	275.0	-	-	73155.0	-	125066.0	-	-	-
мужчины	93915.0	135.0	-	-	34133.0	-	59647.0	-	-	-
женщины	104581.0	140.0	-	-	39022.0	-	65419.0	-	-	-
Число городов	4.0	1.0	-	-	2.0	-	1.0	-	-	-
численность населения	198496.0	275.0	-	-	73155.0	-	125066.0	-	-	-
мужчины	93915.0	135.0	-	-	34133.0	-	59647.0	-	-	-
женщины	104581.0	140.0	-	-	39022.0	-	65419.0	-	-	-
Число поселков городского типа	-	-	-	-	-	-	-	-	-	-
Кабардино-Балкарская Республика										
Число городских поселений	12.0	2.0	2.0	1.0	5.0	1.0	-	1.0	-	-
численность населения	510346.0	3256.0	14487.0	17893.0	137964.0	61772.0	-	274974.0	-	-
мужчины	233377.0	1536.0	6983.0	8632.0	63308.0	29193.0	-	123725.0	-	-
женщины	276969.0	1720.0	7504.0	9261.0	74656.0	32579.0	-	151249.0	-	-
Число городов	8.0	-	-	1.0	5.0	1.0	-	1.0	-	-
численность населения	492603.0	-	-	17893.0	137964.0	61772.0	-	274974.0	-	-
мужчины	224858.0	-	-	8632.0	63308.0	29193.0	-	123725.0	-	-
женщины	267745.0	-	-	9261.0	74656.0	32579.0	-	151249.0	-	-
Число поселков городского типа	4.0	2.0	2.0	-	-	-	-	-	-	-
численность населения	17743.0	3256.0	14487.0	-	-	-	-	-	-	-
мужчины	8519.0	1536.0	6983.0	-	-	-	-	-	-	-
женщины	9224.0	1720.0	7504.0	-	-	-	-	-	-	-
Республика Калмыкия										
Число городских поселений	3.0	-	-	2.0	-	-	1.0	-	-	-
численность населения	129539.0	-	-	25285.0	-	-	104254.0	-	-	-
мужчины	59381.0	-	-	12117.0	-	-	47264.0	-	-	-
женщины	70158.0	-	-	13168.0	-	-	56990.0	-	-	-
Число городов	3.0	-	-	2.0	-	-	1.0	-	-	-
численность населения	129539.0	-	-	25285.0	-	-	104254.0	-	-	-
мужчины	59381.0	-	-	12117.0	-	-	47264.0	-	-	-
женщины	70158.0	-	-	13168.0	-	-	56990.0	-	-	-
Число поселков городского типа	-	-	-	-	-	-	-	-	-	-
Карачаево-Черкесская Республика										
Число городских поселений	11.0	7.0	1.0	-	2.0	-	1.0	-	-	-
численность населения	193531.0	14444.0	7827.0	-	55016.0	-	116244.0	-	-	-
мужчины	87637.0	6727.0	3589.0	-	24961.0	-	52360.0	-	-	-
женщины	105894.0	7717.0	4238.0	-	30055.0	-	63884.0	-	-	-
Число городов	4.0	-	1.0	-	2.0	-	1.0	-	-	-
численность населения	179087.0	-	7827.0	-	55016.0	-	116244.0	-	-	-
мужчины	80910.0	-	3589.0	-	24961.0	-	52360.0	-	-	-
женщины	98177.0	-	4238.0	-	30055.0	-	63884.0	-	-	-
Число поселков городского типа	7.0	7.0	-	-	-	-	-	-	-	-
численность населения	14444.0	14444.0	-	-	-	-	-	-	-	-
мужчины	6727.0	6727.0	-	-	-	-	-	-	-	-
женщины	7717.0	7717.0	-	-	-	-	-	-	-	-
Республика Северная Осетия-Алания										
Число городских поселений	13.0	6.0	-	3.0	3.0	-	-	1.0	-	-
численность населения	464875.0	5442.0	-	43914.0	99911.0	-	-	315608.0	-	-
мужчины	218033.0	2576.0	-	20861.0	47277.0	-	-	147319.0	-	-
женщины	246842.0	2866.0	-	23053.0	52634.0	-	-	168289.0	-	-
Число городов	6.0	-	-	2.0	3.0	-	-	1.0	-	-
численность населения	444859.0	-	-	29340.0	99911.0	-	-	315608.0	-	-
мужчины	208452.0	-	-	13856.0	47277.0	-	-	147319.0	-	-
женщины	236407.0	-	-	15484.0	52634.0	-	-	168289.0	-	-
Число поселков городского типа	7.0	6.0	-	1.0	-	-	-	-	-	-
численность населения	20016.0	5442.0	-	14574.0	-	-	-	-	-	-
мужчины	9581.0	2576.0	-	7005.0	-	-	-	-	-	-
женщины	10435.0	2866.0	-	7569.0	-	-	-	-	-	-
Чеченская Республика										
Число городских поселений	8.0	1.0	1.0	1.0	4.0	-	1.0	-	-	-
численность населения	373177.0	4773.0	5125.0	12767.0	139792.0	-	210720.0	-	-	-
мужчины	175123.0	2229.0	2416.0	6092.0	68698.0	-	95688.0	-	-	-
женщины	198054.0	2544.0	2709.0	6675.0	71094.0	-	115032.0	-	-	-
Число городов	5.0	-	-	-	4.0	-	1.0	-	-	-
численность населения	350512.0	-	-	-	139792.0	-	210720.0	-	-	-
мужчины	164386.0	-	-	-	68698.0	-	95688.0	-	-	-
женщины	186126.0	-	-	-	71094.0	-	115032.0	-	-	-
Число поселков городского типа	3.0	1.0	1.0	1.0	-	-	-	-	-	-
численность населения	22665.0	4773.0	5125.0	12767.0	-	-	-	-	-	-
мужчины	10737.0	2229.0	2416.0	6092.0	-	-	-	-	-	-
женщины	11928.0	2544.0	2709.0	6675.0	-	-	-	-	-	-
Краснодарский край										
Число городских поселений	47.0	4.0	9.0	4.0	15.0	11.0	2.0	1.0	1.0	-
численность населения	2740544.0	12154.0	62906.0	58465.0	517361.0	688631.0	426043.0	328809.0	646175.0	-
мужчины	1261318.0	5866.0	29135.0	26899.0	241190.0	316431.0	198095.0	149869.0	293833.0	-
женщины	1479226.0	6288.0	33771.0	31566.0	276171.0	372200.0	227948.0	178940.0	352342.0	-
Число городов	26.0	-	-	-	11.0	11.0	2.0	1.0	1.0	-
численность населения	2482601.0	-	-	-	392943.0	688631.0	426043.0	328809.0	646175.0	-
мужчины	1141346.0	-	-	-	183118.0	316431.0	198095.0	149869.0	293833.0	-
женщины	1341255.0	-	-	-	209825.0	372200.0	227948.0	178940.0	352342.0	-
Число поселков городского типа	21.0	4.0	9.0	4.0	4.0	-	-	-	-	-
численность населения	257943.0	12154.0	62906.0	58465.0	124418.0	-	-	-	-	-
мужчины	119972.0	5866.0	29135.0	26899.0	58072.0	-	-	-	-	-
женщины	137971.0	6288.0	33771.0	31566.0	66346.0	-	-	-	-	-
Ставропольский край										
Число городских поселений	26.0	-	3.0	2.0	12.0	5.0	3.0	1.0	-	-
численность населения	1530591.0	-	21801.0	30278.0	369340.0	351817.0	402488.0	354867.0	-	-
мужчины	705569.0	-	10139.0	13868.0	171964.0	162830.0	184125.0	162643.0	-	-
женщины	825022.0	-	11662.0	16410.0	197376.0	188987.0	218363.0	192224.0	-	-
Число городов	19.0	-	-	-	10.0	5.0	3.0	1.0	-	-
численность населения	1416946.0	-	-	-	307774.0	351817.0	402488.0	354867.0	-	-
мужчины	653270.0	-	-	-	143672.0	162830.0	184125.0	162643.0	-	-
женщины	763676.0	-	-	-	164102.0	188987.0	218363.0	192224.0	-	-
Число поселков городского типа	7.0	-	3.0	2.0	2.0	-	-	-	-	-
численность населения	113645.0	-	21801.0	30278.0	61566.0	-	-	-	-	-
мужчины	52299.0	-	10139.0	13868.0	28292.0	-	-	-	-	-
женщины	61346.0	-	11662.0	16410.0	33274.0	-	-	-	-	-
Астраханская область										
Число городских поселений	15.0	4.0	5.0	3.0	2.0	-	-	-	1.0	-
численность населения	680441.0	12733.0	40047.0	45550.0	77610.0	-	-	-	504501.0	-
мужчины	316264.0	6027.0	18659.0	21860.0	38265.0	-	-	-	231453.0	-
женщины	364177.0	6706.0	21388.0	23690.0	39345.0	-	-	-	273048.0	-
Число городов	6.0	-	-	3.0	2.0	-	-	-	1.0	-
численность населения	627661.0	-	-	45550.0	77610.0	-	-	-	504501.0	-
мужчины	291578.0	-	-	21860.0	38265.0	-	-	-	231453.0	-
женщины	336083.0	-	-	23690.0	39345.0	-	-	-	273048.0	-
Число поселков городского типа	9.0	4.0	5.0	-	-	-	-	-	-	-
численность населения	52780.0	12733.0	40047.0	-	-	-	-	-	-	-
мужчины	24686.0	6027.0	18659.0	-	-	-	-	-	-	-
женщины	28094.0	6706.0	21388.0	-	-	-	-	-	-	-
Волгоградская область										
Число городских поселений	44.0	7.0	11.0	17.0	5.0	1.0	1.0	1.0	-	1.0
численность населения	2029785.0	23677.0	77287.0	259235.0	157075.0	60034.0	127891.0	313169.0	-	1011417.0
мужчины	936569.0	10967.0	36301.0	119835.0	75103.0	27213.0	61238.0	144000.0	-	461912.0
женщины	1093216.0	12710.0	40986.0	139400.0	81972.0	32821.0	66653.0	169169.0	-	549505.0
Число городов	19.0	-	1.0	9.0	5.0	1.0	1.0	1.0	-	1.0
численность населения	1828721.0	-	9939.0	149196.0	157075.0	60034.0	127891.0	313169.0	-	1011417.0
мужчины	842902.0	-	4671.0	68765.0	75103.0	27213.0	61238.0	144000.0	-	461912.0
женщины	985819.0	-	5268.0	80431.0	81972.0	32821.0	66653.0	169169.0	-	549505.0
Число поселков городского типа	25.0	7.0	10.0	8.0	-	-	-	-	-	-
численность населения	201064.0	23677.0	67348.0	110039.0	-	-	-	-	-	-
мужчины	93667.0	10967.0	31630.0	51070.0	-	-	-	-	-	-
женщины	107397.0	12710.0	35718.0	58969.0	-	-	-	-	-	-
Ростовская область										
Число городских поселений	48.0	6.0	10.0	12.0	9.0	4.0	5.0	1.0	-	1.0
численность населения	2977525.0	16822.0	74472.0	158920.0	322975.0	286145.0	767977.0	281947.0	-	1068267.0
мужчины	1365953.0	7988.0	34237.0	73184.0	148783.0	130740.0	356167.0	126833.0	-	488021.0
женщины	1611572.0	8834.0	40235.0	85736.0	174192.0	155405.0	411810.0	155114.0	-	580246.0
Число городов	23.0	-	-	3.0	9.0	4.0	5.0	1.0	-	1.0
численность населения	2781128.0	-	-	53817.0	322975.0	286145.0	767977.0	281947.0	-	1068267.0
мужчины	1275684.0	-	-	25140.0	148783.0	130740.0	356167.0	126833.0	-	488021.0
женщины	1505444.0	-	-	28677.0	174192.0	155405.0	411810.0	155114.0	-	580246.0
Число поселков городского типа	25.0	6.0	10.0	9.0	-	-	-	-	-	-
численность населения	196397.0	16822.0	74472.0	105103.0	-	-	-	-	-	-
мужчины	90269.0	7988.0	34237.0	48044.0	-	-	-	-	-	-
женщины	106128.0	8834.0	40235.0	57059.0	-	-	-	-	-	-
Приволжский федеральный округ										
Число городских поселений	583.0	195.0	169.0	83.0	65.0	34.0	18.0	7.0	7.0	5.0
численность населения	22047106.0	519179.0	1230622.0	1149360.0	2001324.0	2367226.0	2503164.0	2236443.0	4421277.0	5618511.0
мужчины	10070360.0	242227.0	579714.0	536365.0	915840.0	1085591.0	1158074.0	1003175.0	2021496.0	2527878.0
женщины	11976746.0	276952.0	650908.0	612995.0	1085484.0	1281635.0	1345090.0	1233268.0	2399781.0	3090633.0
Число городов	196.0	2.0	19.0	45.0	59.0	34.0	18.0	7.0	7.0	5.0
численность населения	19835443.0	7038.0	154752.0	665833.0	1861199.0	2367226.0	2503164.0	2236443.0	4421277.0	5618511.0
мужчины	9027259.0	3229.0	69832.0	307076.0	850908.0	1085591.0	1158074.0	1003175.0	2021496.0	2527878.0
женщины	10808184.0	3809.0	84920.0	358757.0	1010291.0	1281635.0	1345090.0	1233268.0	2399781.0	3090633.0
Число поселков городского типа	387.0	193.0	150.0	38.0	6.0	-	-	-	-	-
численность населения	2211663.0	512141.0	1075870.0	483527.0	140125.0	-	-	-	-	-
мужчины	1043101.0	238998.0	509882.0	229289.0	64932.0	-	-	-	-	-
женщины	1168562.0	273143.0	565988.0	254238.0	75193.0	-	-	-	-	-
Республика Башкортостан										
Число городских поселений	61.0	26.0	7.0	7.0	9.0	7.0	3.0	1.0	-	1.0
численность населения	2626613.0	75206.0	42197.0	103170.0	253767.0	455937.0	389537.0	264362.0	-	1042437.0
мужчины	1212131.0	35285.0	20409.0	49212.0	117305.0	209272.0	183634.0	120809.0	-	476205.0
женщины	1414482.0	39921.0	21788.0	53958.0	136462.0	246665.0	205903.0	143553.0	-	566232.0
Число городов	21.0	-	-	3.0	6.0	7.0	3.0	1.0	-	1.0
численность населения	2399229.0	-	-	55026.0	191930.0	455937.0	389537.0	264362.0	-	1042437.0
мужчины	1104694.0	-	-	26331.0	88443.0	209272.0	183634.0	120809.0	-	476205.0
женщины	1294535.0	-	-	28695.0	103487.0	246665.0	205903.0	143553.0	-	566232.0
Число поселков городского типа	40.0	26.0	7.0	4.0	3.0	-	-	-	-	-
численность населения	227384.0	75206.0	42197.0	48144.0	61837.0	-	-	-	-	-
мужчины	107437.0	35285.0	20409.0	22881.0	28862.0	-	-	-	-	-
женщины	119947.0	39921.0	21788.0	25263.0	32975.0	-	-	-	-	-
Республика Марий Эл										
Число городских поселений	20.0	6.0	8.0	3.0	1.0	1.0	-	1.0	-	-
численность населения	459687.0	22565.0	58527.0	40138.0	22771.0	58967.0	-	256719.0	-	-
мужчины	209153.0	10459.0	27092.0	18983.0	10336.0	26461.0	-	115822.0	-	-
женщины	250534.0	12106.0	31435.0	21155.0	12435.0	32506.0	-	140897.0	-	-
Число городов	4.0	-	-	1.0	1.0	1.0	-	1.0	-	-
численность населения	351179.0	-	-	12722.0	22771.0	58967.0	-	256719.0	-	-
мужчины	158498.0	-	-	5879.0	10336.0	26461.0	-	115822.0	-	-
женщины	192681.0	-	-	6843.0	12435.0	32506.0	-	140897.0	-	-
Число поселков городского типа	16.0	6.0	8.0	2.0	-	-	-	-	-	-
численность населения	108508.0	22565.0	58527.0	27416.0	-	-	-	-	-	-
мужчины	50655.0	10459.0	27092.0	13104.0	-	-	-	-	-	-
женщины	57853.0	12106.0	31435.0	14312.0	-	-	-	-	-	-
Республика Мордовия										
Число городских поселений	25.0	7.0	12.0	3.0	2.0	-	-	1.0	-	-
численность населения	531478.0	24769.0	94752.0	35428.0	71663.0	-	-	304866.0	-	-
мужчины	239922.0	11982.0	43426.0	16172.0	32362.0	-	-	135980.0	-	-
женщины	291556.0	12787.0	51326.0	19256.0	39301.0	-	-	168886.0	-	-
Число городов	7.0	-	3.0	1.0	2.0	-	-	1.0	-	-
численность населения	414285.0	-	26913.0	10843.0	71663.0	-	-	304866.0	-	-
мужчины	185301.0	-	12038.0	4921.0	32362.0	-	-	135980.0	-	-
женщины	228984.0	-	14875.0	5922.0	39301.0	-	-	168886.0	-	-
Число поселков городского типа	18.0	7.0	9.0	2.0	-	-	-	-	-	-
численность населения	117193.0	24769.0	67839.0	24585.0	-	-	-	-	-	-
мужчины	54621.0	11982.0	31388.0	11251.0	-	-	-	-	-	-
женщины	62572.0	12787.0	36451.0	13334.0	-	-	-	-	-	-
Республика Татарстан										
Число городских поселений	41.0	7.0	8.0	12.0	5.0	4.0	3.0	-	1.0	1.0
численность населения	2790661.0	17374.0	64859.0	183003.0	153993.0	290298.0	465975.0	-	509870.0	1105289.0
мужчины	1279365.0	8238.0	31820.0	84869.0	73317.0	133824.0	216759.0	-	236112.0	494426.0
женщины	1511296.0	9136.0	33039.0	98134.0	80676.0	156474.0	249216.0	-	273758.0	610863.0
Число городов	20.0	-	1.0	5.0	5.0	4.0	3.0	-	1.0	1.0
численность населения	2614606.0	-	8655.0	80526.0	153993.0	290298.0	465975.0	-	509870.0	1105289.0
мужчины	1195624.0	-	3946.0	37240.0	73317.0	133824.0	216759.0	-	236112.0	494426.0
женщины	1418982.0	-	4709.0	43286.0	80676.0	156474.0	249216.0	-	273758.0	610863.0
Число поселков городского типа	21.0	7.0	7.0	7.0	-	-	-	-	-	-
численность населения	176055.0	17374.0	56204.0	102477.0	-	-	-	-	-	-
мужчины	83741.0	8238.0	27874.0	47629.0	-	-	-	-	-	-
женщины	92314.0	9136.0	28330.0	54848.0	-	-	-	-	-	-
Удмуртская Республика										
Число городских поселений	16.0	4.0	2.0	4.0	2.0	1.0	2.0	-	1.0	-
численность населения	1094338.0	12453.0	17159.0	59711.0	69399.0	99441.0	204035.0	-	632140.0	-
мужчины	497010.0	5748.0	8051.0	27794.0	31914.0	45260.0	92425.0	-	285818.0	-
женщины	597328.0	6705.0	9108.0	31917.0	37485.0	54181.0	111610.0	-	346322.0	-
Число городов	6.0	-	-	1.0	1.0	1.0	2.0	-	1.0	-
численность населения	995371.0	-	-	12636.0	47119.0	99441.0	204035.0	-	632140.0	-
мужчины	450856.0	-	-	5977.0	21376.0	45260.0	92425.0	-	285818.0	-
женщины	544515.0	-	-	6659.0	25743.0	54181.0	111610.0	-	346322.0	-
Число поселков городского типа	10.0	4.0	2.0	3.0	1.0	-	-	-	-	-
численность населения	98967.0	12453.0	17159.0	47075.0	22280.0	-	-	-	-	-
мужчины	46154.0	5748.0	8051.0	21817.0	10538.0	-	-	-	-	-
женщины	52813.0	6705.0	9108.0	25258.0	11742.0	-	-	-	-	-
Чувашская Республика										
Число городских поселений	17.0	3.0	3.0	6.0	2.0	1.0	1.0	1.0	-	-
численность населения	796196.0	7099.0	23172.0	69454.0	79400.0	50593.0	125857.0	440621.0	-	-
мужчины	361601.0	3248.0	11611.0	31276.0	35216.0	22640.0	59325.0	198285.0	-	-
женщины	434595.0	3851.0	11561.0	38178.0	44184.0	27953.0	66532.0	242336.0	-	-
Число городов	9.0	-	-	4.0	2.0	1.0	1.0	1.0	-	-
численность населения	743338.0	-	-	46867.0	79400.0	50593.0	125857.0	440621.0	-	-
мужчины	336231.0	-	-	20765.0	35216.0	22640.0	59325.0	198285.0	-	-
женщины	407107.0	-	-	26102.0	44184.0	27953.0	66532.0	242336.0	-	-
Число поселков городского типа	8.0	3.0	3.0	2.0	-	-	-	-	-	-
численность населения	52858.0	7099.0	23172.0	22587.0	-	-	-	-	-	-
мужчины	25370.0	3248.0	11611.0	10511.0	-	-	-	-	-	-
женщины	27488.0	3851.0	11561.0	12076.0	-	-	-	-	-	-
Кировская область										
Число городских поселений	72.0	30.0	25.0	11.0	4.0	1.0	-	1.0	-	-
численность населения	1079024.0	86729.0	171291.0	145054.0	128069.0	90303.0	-	457578.0	-	-
мужчины	493856.0	40460.0	83068.0	65879.0	58373.0	43344.0	-	202732.0	-	-
женщины	585168.0	46269.0	88223.0	79175.0	69696.0	46959.0	-	254846.0	-	-
Число городов	18.0	-	3.0	9.0	4.0	1.0	-	1.0	-	-
численность населения	822893.0	-	25564.0	121379.0	128069.0	90303.0	-	457578.0	-	-
мужчины	371390.0	-	11518.0	55423.0	58373.0	43344.0	-	202732.0	-	-
женщины	451503.0	-	14046.0	65956.0	69696.0	46959.0	-	254846.0	-	-
Число поселков городского типа	54.0	30.0	22.0	2.0	-	-	-	-	-	-
численность населения	256131.0	86729.0	145727.0	23675.0	-	-	-	-	-	-
мужчины	122466.0	40460.0	71550.0	10456.0	-	-	-	-	-	-
женщины	133665.0	46269.0	74177.0	13219.0	-	-	-	-	-	-
Нижегородская область										
Число городских поселений	97.0	39.0	33.0	8.0	8.0	6.0	1.0	1.0	-	1.0
численность населения	2754997.0	86966.0	233784.0	105909.0	246390.0	399930.0	109432.0	261334.0	-	1311252.0
мужчины	1242285.0	40323.0	107840.0	48951.0	111241.0	183545.0	49959.0	117432.0	-	582994.0
женщины	1512712.0	46643.0	125944.0	56958.0	135149.0	216385.0	59473.0	143902.0	-	728258.0
Число городов	28.0	1.0	3.0	7.0	8.0	6.0	1.0	1.0	-	1.0
численность населения	2452657.0	2662.0	25865.0	95792.0	246390.0	399930.0	109432.0	261334.0	-	1311252.0
мужчины	1102318.0	1170.0	11764.0	44213.0	111241.0	183545.0	49959.0	117432.0	-	582994.0
женщины	1350339.0	1492.0	14101.0	51579.0	135149.0	216385.0	59473.0	143902.0	-	728258.0
Число поселков городского типа	69.0	38.0	30.0	1.0	-	-	-	-	-	-
