2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, ПРОЖИВАЮЩИЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ТИПАМ ЖИЛЫХ ПОМЕЩЕНИЙ, ЧИСЛУ ЗАНИМАЕМЫХ КОМНАТ И РАЗМЕРУ ДОМОХОЗЯЙСТВ								
								
	Всего частных домохозяйств	в том числе домохозяйства, состоящие из						Средний размер домохозяйства, человек
в том числе проживают:								
в индивидуальных домах	935.0	311.0	314.0	173.0	95.0	42.0	239.0	2.2
в них занимают:								
1 комнату	132.0	63.0	54.0	11.0	3.0	1.0	5.0	1.7
2 комнаты	365.0	133.0	125.0	65.0	30.0	12.0	65.0	2.1
3 комнаты	324.0	90.0	104.0	73.0	40.0	17.0	101.0	2.4
4 и более комнат	107.0	21.0	29.0	24.0	21.0	12.0	68.0	2.8
не указавшие число комнат	7.0	4.0	2.0	-	1.0	-	-	1.7
в отдельных квартирах	299771.0	70260.0	86513.0	85096.0	45367.0	12535.0	66854.0	2.5
в них занимают:								
часть комнаты	172.0	119.0	36.0	11.0	6.0	-	-	1.4
1 комнату	54797.0	29693.0	15206.0	7912.0	1686.0	300.0	1572.0	1.7
2 комнаты	151374.0	31436.0	48926.0	46385.0	20709.0	3918.0	20531.0	2.5
3 комнаты	81933.0	7029.0	19899.0	27746.0	20354.0	6905.0	36854.0	3.0
4 и более комнат 	9000.0	590.0	1800.0	2716.0	2506.0	1388.0	7768.0	3.3
не указавшие число комнат	2495.0	1393.0	646.0	326.0	106.0	24.0	129.0	1.7
в коммунальных квартирах	5383.0	2644.0	1287.0	832.0	451.0	169.0	929.0	1.9
в них занимают:								
часть комнаты	79.0	53.0	14.0	7.0	5.0	-	-	1.5
1 комнату	3812.0	2279.0	900.0	436.0	158.0	39.0	209.0	1.6
2 комнаты	1186.0	250.0	320.0	308.0	215.0	93.0	495.0	2.7
3 комнаты	178.0	19.0	29.0	57.0	50.0	23.0	128.0	3.2
4 и более комнат 	46.0	2.0	3.0	14.0	17.0	10.0	76.0	4.2
не указавшие число комнат	82.0	41.0	21.0	10.0	6.0	4.0	21.0	1.9
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	8149.0	2209.0	2447.0	2263.0	980.0	250.0	1370.0	2.4
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	23282.0	5664.0	6276.0	6721.0	3674.0	947.0	5052.0	2.5
в том числе проживают:								
в индивидуальных домах	935.0	318.0	291.0	154.0	113.0	59.0	322.0	2.3
в них занимают:								
1 комнату	184.0	95.0	59.0	17.0	8.0	5.0	28.0	1.8
2 комнаты	429.0	154.0	142.0	68.0	42.0	23.0	126.0	2.2
3 комнаты	262.0	52.0	77.0	57.0	51.0	25.0	132.0	2.7
4 и более комнат	55.0	12.0	13.0	12.0	12.0	6.0	36.0	2.9
не указавшие число комнат	5.0	5.0	-	-	-	-	-	1.0
в отдельных квартирах	22201.0	5251.0	5955.0	6551.0	3559.0	885.0	4713.0	2.5
в них занимают:								
часть комнаты	15.0	14.0	-	1.0	-	-	-	1.1
1 комнату	3639.0	2260.0	856.0	422.0	85.0	16.0	80.0	1.6
2 комнаты	12565.0	2414.0	3660.0	4287.0	1930.0	274.0	1447.0	2.5
3 комнаты	5265.0	457.0	1283.0	1669.0	1368.0	488.0	2594.0	3.1
4 и более комнат 	577.0	44.0	118.0	142.0	168.0	105.0	582.0	3.4
не указавшие число комнат	140.0	62.0	38.0	30.0	8.0	2.0	10.0	1.9
в коммунальных квартирах	146.0	95.0	30.0	16.0	2.0	3.0	17.0	1.6
в них занимают:								
часть комнаты	13.0	13.0	-	-	-	-	-	1.0
1 комнату	107.0	79.0	20.0	6.0	1.0	1.0	5.0	1.4
2 комнаты	22.0	3.0	9.0	9.0	1.0	-	-	2.4
3 комнаты	3.0	-	1.0	1.0	-	1.0	6.0	3.7
4 и более комнат 	1.0	-	-	-	-	1.0	6.0	6.0
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	367.0	102.0	98.0	110.0	46.0	11.0	59.0	2.4
Новгородская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	263242.0	70125.0	81258.0	59384.0	37005.0	15470.0	84957.0	2.4
в том числе проживают:								
в индивидуальных домах	85629.0	30334.0	28578.0	13330.0	8493.0	4894.0	27685.0	2.2
в них занимают:								
1 комнату	16720.0	8617.0	5686.0	1445.0	611.0	361.0	2053.0	1.7
2 комнаты	36285.0	14604.0	13240.0	4809.0	2352.0	1280.0	7199.0	2.0
3 комнаты	26151.0	5829.0	7890.0	5698.0	4396.0	2338.0	13075.0	2.7
4 и более комнат	6242.0	1174.0	1698.0	1345.0	1118.0	907.0	5309.0	2.9
не указавшие число комнат	231.0	110.0	64.0	33.0	16.0	8.0	49.0	1.9
в отдельных квартирах	173013.0	38007.0	51432.0	45084.0	28073.0	10417.0	56377.0	2.6
в них занимают:								
часть комнаты	97.0	73.0	11.0	8.0	3.0	2.0	10.0	1.5
1 комнату	37270.0	17156.0	11649.0	6220.0	1836.0	409.0	2213.0	1.8
2 комнаты	78219.0	15518.0	26363.0	21798.0	11376.0	3164.0	16851.0	2.5
3 комнаты	48541.0	4144.0	11664.0	14763.0	12637.0	5333.0	28882.0	3.1
4 и более комнат 	7170.0	431.0	1257.0	1967.0	2058.0	1457.0	8132.0	3.5
не указавшие число комнат	1716.0	685.0	488.0	328.0	163.0	52.0	289.0	2.1
в коммунальных квартирах	4600.0	1784.0	1248.0	970.0	439.0	159.0	895.0	2.1
в них занимают:								
часть комнаты	72.0	44.0	11.0	12.0	3.0	2.0	18.0	1.8
1 комнату	3083.0	1493.0	854.0	514.0	175.0	47.0	278.0	1.9
2 комнаты	1121.0	189.0	308.0	357.0	187.0	80.0	434.0	2.7
3 комнаты	184.0	17.0	39.0	63.0	46.0	19.0	101.0	3.1
4 и более комнат 	32.0	3.0	6.0	7.0	9.0	7.0	44.0	3.6
не указавшие число комнат	108.0	38.0	30.0	17.0	19.0	4.0	20.0	2.3
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	7627.0	1844.0	2342.0	2073.0	944.0	424.0	2368.0	2.5
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	177044.0	41697.0	54142.0	44693.0	26638.0	9874.0	53361.0	2.5
в том числе проживают:								
в индивидуальных домах	30180.0	8926.0	9739.0	5909.0	3735.0	1871.0	10373.0	2.4
в них занимают:								
1 комнату	2631.0	1223.0	813.0	343.0	165.0	87.0	485.0	1.9
2 комнаты	12095.0	4356.0	4264.0	2007.0	1004.0	464.0	2561.0	2.1
3 комнаты	11538.0	2674.0	3617.0	2642.0	1801.0	804.0	4397.0	2.6
4 и более комнат	3823.0	634.0	1023.0	900.0	755.0	511.0	2900.0	3.0
не указавшие число комнат	93.0	39.0	22.0	17.0	10.0	5.0	30.0	2.2
в отдельных квартирах	142575.0	31108.0	43246.0	37861.0	22487.0	7873.0	42267.0	2.5
в них занимают:								
часть комнаты	90.0	66.0	11.0	8.0	3.0	2.0	10.0	1.5
1 комнату	32144.0	14548.0	10213.0	5500.0	1561.0	322.0	1735.0	1.8
2 комнаты	64611.0	12459.0	22294.0	18396.0	9059.0	2403.0	12694.0	2.5
3 комнаты	37841.0	3014.0	9175.0	11905.0	9891.0	3856.0	20685.0	3.1
4 и более комнат 	6228.0	359.0	1076.0	1735.0	1819.0	1239.0	6860.0	3.5
не указавшие число комнат	1661.0	662.0	477.0	317.0	154.0	51.0	283.0	2.1
в коммунальных квартирах	4289.0	1663.0	1157.0	923.0	416.0	130.0	721.0	2.1
в них занимают:								
часть комнаты	56.0	38.0	7.0	8.0	3.0	-	-	1.6
1 комнату	2893.0	1397.0	802.0	494.0	163.0	37.0	217.0	1.8
2 комнаты	1045.0	178.0	282.0	338.0	179.0	68.0	368.0	2.7
3 комнаты	167.0	14.0	35.0	60.0	44.0	14.0	72.0	3.1
4 и более комнат 	30.0	3.0	4.0	7.0	9.0	7.0	44.0	3.7
не указавшие число комнат	98.0	33.0	27.0	16.0	18.0	4.0	20.0	2.3
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	5873.0	1413.0	1819.0	1664.0	697.0	280.0	1546.0	2.4
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	86198.0	28428.0	27116.0	14691.0	10367.0	5596.0	31596.0	2.3
в том числе проживают:								
в индивидуальных домах	55449.0	21408.0	18839.0	7421.0	4758.0	3023.0	17312.0	2.1
в них занимают:								
1 комнату	14089.0	7394.0	4873.0	1102.0	446.0	274.0	1568.0	1.7
2 комнаты	24190.0	10248.0	8976.0	2802.0	1348.0	816.0	4638.0	1.9
3 комнаты	14613.0	3155.0	4273.0	3056.0	2595.0	1534.0	8678.0	2.7
4 и более комнат	2419.0	540.0	675.0	445.0	363.0	396.0	2409.0	2.9
не указавшие число комнат	138.0	71.0	42.0	16.0	6.0	3.0	19.0	1.8
в отдельных квартирах	30438.0	6899.0	8186.0	7223.0	5586.0	2544.0	14110.0	2.7
в них занимают:								
часть комнаты	7.0	7.0	-	-	-	-	-	1.0
1 комнату	5126.0	2608.0	1436.0	720.0	275.0	87.0	478.0	1.8
2 комнаты	13608.0	3059.0	4069.0	3402.0	2317.0	761.0	4157.0	2.6
3 комнаты	10700.0	1130.0	2489.0	2858.0	2746.0	1477.0	8197.0	3.2
4 и более комнат 	942.0	72.0	181.0	232.0	239.0	218.0	1272.0	3.6
не указавшие число комнат	55.0	23.0	11.0	11.0	9.0	1.0	6.0	2.2
в коммунальных квартирах	311.0	121.0	91.0	47.0	23.0	29.0	174.0	2.3
в них занимают:								
часть комнаты	16.0	6.0	4.0	4.0	-	2.0	18.0	2.8
1 комнату	190.0	96.0	52.0	20.0	12.0	10.0	61.0	1.9
2 комнаты	76.0	11.0	26.0	19.0	8.0	12.0	66.0	2.9
3 комнаты	17.0	3.0	4.0	3.0	2.0	5.0	29.0	3.4
4 и более комнат 	2.0	-	2.0	-	-	-	-	2.0
не указавшие число комнат	10.0	5.0	3.0	1.0	1.0	-	-	1.8
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1754.0	431.0	523.0	409.0	247.0	144.0	822.0	2.6
Псковская область								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	289628.0	79327.0	90790.0	65393.0	38006.0	16112.0	88600.0	2.4
в том числе проживают:								
в индивидуальных домах	115824.0	39662.0	38772.0	18672.0	11953.0	6765.0	38121.0	2.2
в них занимают:								
1 комнату	26915.0	13624.0	9102.0	2535.0	1077.0	577.0	3257.0	1.7
2 комнаты	50971.0	19640.0	18726.0	6873.0	3716.0	2016.0	11395.0	2.0
3 комнаты	31171.0	5409.0	9164.0	7689.0	5788.0	3121.0	17427.0	2.8
4 и более комнат	6593.0	919.0	1737.0	1553.0	1364.0	1020.0	5747.0	3.1
не указавшие число комнат	174.0	70.0	43.0	22.0	8.0	31.0	295.0	3.2
в отдельных квартирах	169827.0	38083.0	50916.0	45914.0	25699.0	9215.0	49778.0	2.5
в них занимают:								
часть комнаты	131.0	79.0	28.0	21.0	3.0	-	-	1.6
1 комнату	38119.0	17281.0	11738.0	6723.0	1979.0	398.0	2139.0	1.9
2 комнаты	87378.0	16717.0	28648.0	25673.0	12753.0	3587.0	19060.0	2.5
3 комнаты	39890.0	3584.0	9653.0	12349.0	9864.0	4440.0	24017.0	3.1
4 и более комнат 	3825.0	256.0	723.0	1036.0	1051.0	759.0	4336.0	3.5
не указавшие число комнат	484.0	166.0	126.0	112.0	49.0	31.0	226.0	2.4
в коммунальных квартирах	3977.0	1582.0	1102.0	807.0	354.0	132.0	701.0	2.1
в них занимают:								
часть комнаты	69.0	41.0	17.0	8.0	3.0	-	-	1.6
1 комнату	2648.0	1297.0	754.0	426.0	131.0	40.0	213.0	1.8
2 комнаты	994.0	196.0	277.0	301.0	161.0	59.0	312.0	2.6
3 комнаты	158.0	18.0	25.0	49.0	40.0	26.0	139.0	3.3
4 и более комнат 	23.0	3.0	3.0	4.0	9.0	4.0	22.0	3.4
не указавшие число комнат	85.0	27.0	26.0	19.0	10.0	3.0	15.0	2.2
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	7777.0	1836.0	2322.0	2217.0	1030.0	372.0	2053.0	2.5
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	179831.0	41642.0	54897.0	47090.0	26292.0	9910.0	53805.0	2.5
в том числе проживают:								
в индивидуальных домах	32705.0	8851.0	10169.0	6961.0	4477.0	2247.0	12585.0	2.5
в них занимают:								
1 комнату	4565.0	2084.0	1427.0	637.0	295.0	122.0	684.0	1.9
2 комнаты	13236.0	4205.0	4506.0	2493.0	1415.0	617.0	3464.0	2.3
3 комнаты	11241.0	2059.0	3336.0	2955.0	1986.0	905.0	4977.0	2.7
4 и более комнат	3585.0	478.0	882.0	865.0	777.0	583.0	3240.0	3.1
не указавшие число комнат	78.0	25.0	18.0	11.0	4.0	20.0	220.0	4.2
в отдельных квартирах	143501.0	31346.0	43719.0	39388.0	21501.0	7547.0	40604.0	2.5
в них занимают:								
часть комнаты	121.0	74.0	25.0	19.0	3.0	-	-	1.6
1 комнату	32742.0	14506.0	10354.0	5889.0	1673.0	320.0	1717.0	1.9
2 комнаты	74004.0	13716.0	24785.0	22050.0	10538.0	2915.0	15403.0	2.5
3 комнаты	32931.0	2702.0	7839.0	10441.0	8317.0	3632.0	19553.0	3.1
4 и более комнат 	3258.0	197.0	596.0	885.0	925.0	655.0	3736.0	3.5
не указавшие число комнат	445.0	151.0	120.0	104.0	45.0	25.0	195.0	2.4
в коммунальных квартирах	3625.0	1445.0	1009.0	741.0	314.0	116.0	616.0	2.1
в них занимают:								
часть комнаты	58.0	34.0	13.0	8.0	3.0	-	-	1.7
1 комнату	2442.0	1194.0	703.0	394.0	115.0	36.0	193.0	1.8
2 комнаты	899.0	177.0	248.0	277.0	147.0	50.0	262.0	2.6
3 комнаты	128.0	13.0	20.0	41.0	31.0	23.0	124.0	3.3
4 и более комнат 	20.0	3.0	2.0	3.0	8.0	4.0	22.0	3.5
не указавшие число комнат	78.0	24.0	23.0	18.0	10.0	3.0	15.0	2.3
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	6547.0	1489.0	2004.0	1927.0	852.0	275.0	1496.0	2.5
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	109797.0	37685.0	35893.0	18303.0	11714.0	6202.0	34795.0	2.2
в том числе проживают:								
в индивидуальных домах	83119.0	30811.0	28603.0	11711.0	7476.0	4518.0	25536.0	2.1
в них занимают:								
1 комнату	22350.0	11540.0	7675.0	1898.0	782.0	455.0	2573.0	1.7
2 комнаты	37735.0	15435.0	14220.0	4380.0	2301.0	1399.0	7931.0	2.0
3 комнаты	19930.0	3350.0	5828.0	4734.0	3802.0	2216.0	12450.0	2.9
4 и более комнат	3008.0	441.0	855.0	688.0	587.0	437.0	2507.0	3.0
не указавшие число комнат	96.0	45.0	25.0	11.0	4.0	11.0	75.0	2.3
в отдельных квартирах	26326.0	6737.0	7197.0	6526.0	4198.0	1668.0	9174.0	2.5
в них занимают:								
часть комнаты	10.0	5.0	3.0	2.0	-	-	-	1.7
1 комнату	5377.0	2775.0	1384.0	834.0	306.0	78.0	422.0	1.8
2 комнаты	13374.0	3001.0	3863.0	3623.0	2215.0	672.0	3657.0	2.6
3 комнаты	6959.0	882.0	1814.0	1908.0	1547.0	808.0	4464.0	3.0
4 и более комнат 	567.0	59.0	127.0	151.0	126.0	104.0	600.0	3.3
не указавшие число комнат	39.0	15.0	6.0	8.0	4.0	6.0	31.0	2.5
в коммунальных квартирах	352.0	137.0	93.0	66.0	40.0	16.0	85.0	2.2
в них занимают:								
часть комнаты	11.0	7.0	4.0	-	-	-	-	1.4
1 комнату	206.0	103.0	51.0	32.0	16.0	4.0	20.0	1.9
2 комнаты	95.0	19.0	29.0	24.0	14.0	9.0	50.0	2.7
3 комнаты	30.0	5.0	5.0	8.0	9.0	3.0	15.0	3.0
4 и более комнат 	3.0	-	1.0	1.0	1.0	-	-	3.0
не указавшие число комнат	7.0	3.0	3.0	1.0	-	-	-	1.7
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	1230.0	347.0	318.0	290.0	178.0	97.0	557.0	2.5
г. Санкт-Петербург								
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	1588109.0	364094.0	449122.0	384707.0	256225.0	133961.0	739714.0	2.6
в том числе проживают:								
в индивидуальных домах	15523.0	3528.0	4194.0	2885.0	2412.0	2504.0	15089.0	2.9
в них занимают:								
1 комнату	1190.0	538.0	397.0	132.0	74.0	49.0	306.0	2.0
2 комнаты	3948.0	1091.0	1321.0	743.0	479.0	314.0	1861.0	2.5
3 комнаты	5275.0	1144.0	1451.0	1056.0	842.0	782.0	4530.0	2.9
4 и более комнат	4591.0	571.0	893.0	865.0	957.0	1305.0	8053.0	3.7
не указавшие число комнат	519.0	184.0	132.0	89.0	60.0	54.0	339.0	2.5
в отдельных квартирах	1352775.0	278239.0	384669.0	339130.0	229536.0	121201.0	667556.0	2.7
в них занимают:								
часть комнаты	1293.0	1060.0	141.0	63.0	24.0	5.0	30.0	1.3
1 комнату	289519.0	142249.0	96323.0	36229.0	11667.0	3051.0	16629.0	1.8
2 комнаты	580962.0	97101.0	197121.0	166876.0	86982.0	32882.0	176159.0	2.6
3 комнаты	392920.0	25560.0	73630.0	115761.0	110874.0	67095.0	368868.0	3.4
4 и более комнат 	63065.0	5176.0	10434.0	14625.0	16429.0	16401.0	95603.0	3.7
не указавшие число комнат	25016.0	7093.0	7020.0	5576.0	3560.0	1767.0	10267.0	2.5
в коммунальных квартирах	219811.0	82327.0	60259.0	42692.0	24277.0	10256.0	57069.0	2.2
в них занимают:								
часть комнаты	2512.0	1912.0	327.0	170.0	80.0	23.0	124.0	1.4
1 комнату	149870.0	70502.0	43351.0	23605.0	9436.0	2976.0	16665.0	1.9
2 комнаты	54092.0	7678.0	14299.0	15837.0	11532.0	4746.0	25954.0	2.9
3 комнаты	7872.0	634.0	1047.0	2053.0	2370.0	1768.0	9873.0	3.6
4 и более комнат 	1536.0	164.0	187.0	250.0	434.0	501.0	3037.0	3.9
не указавшие число комнат	3929.0	1437.0	1048.0	777.0	425.0	242.0	1416.0	2.3
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	56047.0	12249.0	15980.0	14059.0	8922.0	4837.0	26996.0	2.7
Южный федеральный округ								
Республика Адыгея								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	141392.0	27340.0	36747.0	30908.0	26005.0	20392.0	116227.0	2.9
в том числе проживают:								
в индивидуальных домах	85155.0	15217.0	21100.0	17307.0	15921.0	15610.0	89837.0	3.1
в них занимают:								
1 комнату	3377.0	1200.0	890.0	609.0	455.0	223.0	1279.0	2.3
2 комнаты	18782.0	5162.0	5159.0	3679.0	2879.0	1903.0	10693.0	2.6
3 комнаты	24349.0	4430.0	6546.0	5285.0	4540.0	3548.0	20077.0	2.9
4 и более комнат	38556.0	4396.0	8477.0	7721.0	8034.0	9928.0	57744.0	3.5
не указавшие число комнат	91.0	29.0	28.0	13.0	13.0	8.0	44.0	2.4
в отдельных квартирах	55986.0	12040.0	15594.0	13545.0	10045.0	4762.0	26277.0	2.7
в них занимают:								
часть комнаты	79.0	62.0	8.0	5.0	2.0	2.0	10.0	1.4
1 комнату	11257.0	5055.0	3295.0	1902.0	807.0	198.0	1040.0	1.9
2 комнаты	24301.0	4933.0	7776.0	6265.0	3948.0	1379.0	7450.0	2.6
3 комнаты	17047.0	1731.0	3936.0	4656.0	4419.0	2305.0	12654.0	3.2
4 и более комнат 	3215.0	200.0	568.0	714.0	865.0	868.0	5069.0	3.7
не указавшие число комнат	87.0	59.0	11.0	3.0	4.0	10.0	54.0	1.8
в коммунальных квартирах	251.0	83.0	53.0	56.0	39.0	20.0	113.0	2.5
в них занимают:								
часть комнаты	1.0	-	1.0	-	-	-	-	2.0
1 комнату	113.0	57.0	26.0	18.0	8.0	4.0	21.0	1.9
2 комнаты	81.0	20.0	20.0	20.0	15.0	6.0	35.0	2.7
3 комнаты	36.0	4.0	4.0	12.0	11.0	5.0	30.0	3.4
4 и более комнат 	20.0	2.0	2.0	6.0	5.0	5.0	27.0	3.6
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	6458.0	1659.0	1616.0	1635.0	1067.0	481.0	2695.0	2.6
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	74566.0	15027.0	19965.0	17542.0	13736.0	8296.0	46305.0	2.8
в том числе проживают:								
в индивидуальных домах	29046.0	5312.0	7194.0	6281.0	5651.0	4608.0	26016.0	3.0
в них занимают:								
1 комнату	999.0	364.0	248.0	194.0	136.0	57.0	314.0	2.3
2 комнаты	5736.0	1613.0	1569.0	1197.0	889.0	468.0	2563.0	2.5
3 комнаты	8785.0	1659.0	2349.0	2071.0	1656.0	1050.0	5808.0	2.8
4 и более комнат	13470.0	1660.0	3008.0	2811.0	2962.0	3029.0	17308.0	3.4
не указавшие число комнат	56.0	16.0	20.0	8.0	8.0	4.0	23.0	2.4
в отдельных квартирах	45311.0	9646.0	12726.0	11212.0	8053.0	3674.0	20212.0	2.7
в них занимают:								
часть комнаты	69.0	54.0	7.0	5.0	1.0	2.0	10.0	1.4
1 комнату	9629.0	4285.0	2897.0	1639.0	652.0	156.0	815.0	1.9
2 комнаты	19648.0	3807.0	6394.0	5240.0	3185.0	1022.0	5492.0	2.6
3 комнаты	13621.0	1308.0	3047.0	3820.0	3613.0	1833.0	10031.0	3.2
4 и более комнат 	2267.0	134.0	373.0	508.0	600.0	652.0	3816.0	3.8
не указавшие число комнат	77.0	58.0	8.0	-	2.0	9.0	48.0	1.7
в коммунальных квартирах	209.0	69.0	45.0	49.0	32.0	14.0	77.0	2.4
в них занимают:								
часть комнаты	1.0	-	1.0	-	-	-	-	2.0
1 комнату	99.0	50.0	22.0	17.0	6.0	4.0	21.0	1.9
2 комнаты	69.0	14.0	18.0	18.0	13.0	6.0	35.0	2.8
3 комнаты	28.0	3.0	3.0	11.0	10.0	1.0	5.0	3.1
4 и более комнат 	12.0	2.0	1.0	3.0	3.0	3.0	16.0	3.4
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	5496.0	1496.0	1389.0	1378.0	870.0	363.0	2033.0	2.5
Сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	66826.0	12313.0	16782.0	13366.0	12269.0	12096.0	69922.0	3.1
в том числе проживают:								
в индивидуальных домах	56109.0	9905.0	13906.0	11026.0	10270.0	11002.0	63821.0	3.1
в них занимают:								
1 комнату	2378.0	836.0	642.0	415.0	319.0	166.0	965.0	2.4
2 комнаты	13046.0	3549.0	3590.0	2482.0	1990.0	1435.0	8130.0	2.6
3 комнаты	15564.0	2771.0	4197.0	3214.0	2884.0	2498.0	14269.0	3.0
4 и более комнат	25086.0	2736.0	5469.0	4910.0	5072.0	6899.0	40436.0	3.6
не указавшие число комнат	35.0	13.0	8.0	5.0	5.0	4.0	21.0	2.4
в отдельных квартирах	10675.0	2394.0	2868.0	2333.0	1992.0	1088.0	6065.0	2.7
в них занимают:								
часть комнаты	10.0	8.0	1.0	-	1.0	-	-	1.4
1 комнату	1628.0	770.0	398.0	263.0	155.0	42.0	225.0	2.0
2 комнаты	4653.0	1126.0	1382.0	1025.0	763.0	357.0	1958.0	2.6
3 комнаты	3426.0	423.0	889.0	836.0	806.0	472.0	2623.0	3.1
4 и более комнат 	948.0	66.0	195.0	206.0	265.0	216.0	1253.0	3.6
не указавшие число комнат	10.0	1.0	3.0	3.0	2.0	1.0	6.0	3.0
в коммунальных квартирах	42.0	14.0	8.0	7.0	7.0	6.0	36.0	2.7
в них занимают:								
часть комнаты	-	-	-	-	-	-	-	-
1 комнату	14.0	7.0	4.0	1.0	2.0	-	-	1.9
2 комнаты	12.0	6.0	2.0	2.0	2.0	-	-	2.0
3 комнаты	8.0	1.0	1.0	1.0	1.0	4.0	25.0	4.4
4 и более комнат 	8.0	-	1.0	3.0	2.0	2.0	11.0	3.8
не указавшие число комнат	-	-	-	-	-	-	-	-
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	962.0	163.0	227.0	257.0	197.0	118.0	662.0	3.0
Республика Дагестан								
Городские и сельские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	516867.0	38249.0	60927.0	64152.0	113462.0	240077.0	1525521.0	4.5
в том числе проживают:								
в индивидуальных домах	364536.0	26983.0	38575.0	40019.0	72796.0	186163.0	1203074.0	4.7
в них занимают:								
1 комнату	10963.0	3729.0	2094.0	1459.0	1779.0	1902.0	10991.0	2.8
2 комнаты	65793.0	8765.0	10750.0	9376.0	14880.0	22022.0	131002.0	3.8
3 комнаты	112303.0	7349.0	11995.0	13405.0	24212.0	55342.0	341980.0	4.5
4 и более комнат	175385.0	7134.0	13722.0	15772.0	31900.0	106857.0	718842.0	5.3
не указавшие число комнат	92.0	6.0	14.0	7.0	25.0	40.0	259.0	4.5
в отдельных квартирах	141008.0	9828.0	20107.0	22001.0	37997.0	51075.0	306109.0	4.1
в них занимают:								
часть комнаты	80.0	26.0	20.0	15.0	13.0	6.0	32.0	2.4
1 комнату	22460.0	3974.0	5297.0	4119.0	5264.0	3806.0	21847.0	3.1
2 комнаты	61375.0	4059.0	9557.0	10530.0	17999.0	19230.0	111789.0	3.9
3 комнаты	39739.0	1318.0	3918.0	5500.0	10705.0	18298.0	110304.0	4.5
4 и более комнат 	17280.0	445.0	1306.0	1829.0	3995.0	9705.0	61944.0	5.0
не указавшие число комнат	74.0	6.0	9.0	8.0	21.0	30.0	193.0	4.4
в коммунальных квартирах	11323.0	1438.0	2245.0	2132.0	2669.0	2839.0	16338.0	3.5
в них занимают:								
часть комнаты	53.0	13.0	11.0	12.0	4.0	13.0	71.0	3.0
1 комнату	3588.0	1034.0	964.0	653.0	635.0	302.0	1681.0	2.5
2 комнаты	4816.0	307.0	993.0	1040.0	1260.0	1216.0	6775.0	3.6
3 комнаты	1867.0	61.0	194.0	318.0	516.0	778.0	4418.0	4.2
4 и более комнат 	996.0	22.0	83.0	108.0	253.0	530.0	3393.0	4.9
не указавшие число комнат	3.0	1.0	-	1.0	1.0	-	-	2.7
Частные домохозяйства, снимающие жилые помещения у отдельных граждан	35967.0	3173.0	5557.0	6770.0	8884.0	11583.0	69943.0	3.9
Городские населенные пункты								
Частные домохозяйства (без снимающих жилые помещения у отдельных граждан)	207573.0	10829.0	24596.0	27400.0	52032.0	92716.0	591768.0	4.5
в том числе проживают:								
в индивидуальных домах	83460.0	3327.0	7427.0	8457.0	17757.0	46492.0	314076.0	5.1
в них занимают:								
1 комнату	2064.0	322.0	420.0	360.0	515.0	447.0	2653.0	3.4
2 комнаты	13657.0	1051.0	1965.0	2000.0	3602.0	5039.0	30795.0	4.1
3 комнаты	21684.0	910.0	2128.0	2620.0	5119.0	10907.0	68420.0	4.7
4 и более комнат	46029.0	1042.0	2912.0	3475.0	8511.0	30089.0	212144.0	5.7
не указавшие число комнат	26.0	2.0	2.0	2.0	10.0	10.0	64.0	4.5
в отдельных квартирах	121028.0	7297.0	16697.0	18427.0	33398.0	45209.0	271737.0	4.1
в них занимают:								
часть комнаты	64.0	17.0	17.0	14.0	10.0	6.0	32.0	2.6
