			
6. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ДВА ИСТОЧНИКА СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ			
			
			
	Городское и сельское население	Городское население	Сельское население
пособие и			
сбережения	3.0	3.0	-
доход от сдачи внаем или в аренду имущества	15.0	9.0	6.0
на иждивении отдельных лиц	31877.0	20275.0	11602.0
иной источник	127.0	72.0	55.0
другие сочетания источников средств к существованию	3891.0	1798.0	2093.0
Женщины, указавшие два источника средств к существованию	103049.0	71535.0	31514.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	11391.0	6265.0	5126.0
стипендию	329.0	324.0	5.0
пенсию (кроме пенсии по инвалидности)	22664.0	19177.0	3487.0
пенсию по инвалидности	532.0	419.0	113.0
пособие (кроме пособия по безработице)	2496.0	2067.0	429.0
пособие по безработице	31.0	22.0	9.0
другой вид государственного обеспечения	100.0	86.0	14.0
сбережения	107.0	91.0	16.0
доход от сдачи внаем или в аренду имущества	73.0	63.0	10.0
на иждивении отдельных лиц	1145.0	1067.0	78.0
иной источник	416.0	327.0	89.0
личное подсобное хозяйство и			
стипендию	4.0	3.0	1.0
пенсию (кроме пенсии по инвалидности)	12585.0	6167.0	6418.0
пенсию по инвалидности	304.0	164.0	140.0
пособие (кроме пособия по безработице)	77.0	25.0	52.0
пособие по безработице	462.0	74.0	388.0
другой вид государственного обеспечения	6.0	1.0	5.0
сбережения	19.0	8.0	11.0
доход от сдачи внаем или в аренду имущества	10.0	1.0	9.0
на иждивении отдельных лиц	1404.0	829.0	575.0
иной источник	165.0	42.0	123.0
стипендию и			
пенсию	166.0	151.0	15.0
пособие (кроме пособия по безработице)	60.0	56.0	4.0
сбережения	1.0	1.0	-
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	7601.0	7175.0	426.0
иной источник	14.0	14.0	-
пенсию и			
пособие	336.0	217.0	119.0
сбережения	111.0	77.0	34.0
доход от сдачи внаем или в аренду имущества	62.0	57.0	5.0
на иждивении отдельных лиц	3114.0	2459.0	655.0
иной источник	172.0	114.0	58.0
пособие и			
сбережения	6.0	5.0	1.0
доход от сдачи внаем или в аренду имущества	22.0	11.0	11.0
на иждивении отдельных лиц	33608.0	21888.0	11720.0
иной источник	174.0	100.0	74.0
другие сочетания источников средств к существованию	3279.0	1985.0	1294.0
Республика Коми			
Все население, указавшее два источника средств к существованию	250772.0	130558.0	120214.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	47244.0	13148.0	34096.0
стипендию	772.0	747.0	25.0
пенсию (кроме пенсии по инвалидности)	45486.0	40690.0	4796.0
пенсию по инвалидности	2903.0	2373.0	530.0
пособие (кроме пособия по безработице)	3313.0	2832.0	481.0
пособие по безработице	83.0	58.0	25.0
другой вид государственного обеспечения	9292.0	4471.0	4821.0
сбережения	405.0	378.0	27.0
доход от сдачи внаем или в аренду имущества	184.0	166.0	18.0
на иждивении отдельных лиц	1424.0	1310.0	114.0
иной источник	1400.0	1262.0	138.0
личное подсобное хозяйство и			
стипендию	74.0	39.0	35.0
пенсию (кроме пенсии по инвалидности)	28091.0	6635.0	21456.0
пенсию по инвалидности	2919.0	487.0	2432.0
пособие (кроме пособия по безработице)	581.0	116.0	465.0
пособие по безработице	2192.0	138.0	2054.0
другой вид государственного обеспечения	117.0	11.0	106.0
сбережения	58.0	25.0	33.0
доход от сдачи внаем или в аренду имущества	12.0	2.0	10.0
на иждивении отдельных лиц	8292.0	1139.0	7153.0
иной источник	1651.0	102.0	1549.0
стипендию и			
пенсию	609.0	510.0	99.0
пособие (кроме пособия по безработице)	323.0	300.0	23.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	16272.0	14539.0	1733.0
иной источник	84.0	78.0	6.0
пенсию и			
пособие	1427.0	867.0	560.0
сбережения	160.0	133.0	27.0
доход от сдачи внаем или в аренду имущества	90.0	84.0	6.0
на иждивении отдельных лиц	6593.0	4817.0	1776.0
иной источник	401.0	352.0	49.0
пособие и			
сбережения	26.0	22.0	4.0
доход от сдачи внаем или в аренду имущества	20.0	10.0	10.0
на иждивении отдельных лиц	59703.0	26269.0	33434.0
иной источник	280.0	188.0	92.0
другие сочетания источников средств к существованию	8283.0	6252.0	2031.0
Мужчины, указавшие два источника средств к существованию	119689.0	59571.0	60118.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	24893.0	6849.0	18044.0
стипендию	408.0	397.0	11.0
пенсию (кроме пенсии по инвалидности)	16728.0	15206.0	1522.0
пенсию по инвалидности	1652.0	1339.0	313.0
пособие (кроме пособия по безработице)	253.0	219.0	34.0
пособие по безработице	22.0	18.0	4.0
другой вид государственного обеспечения	8853.0	4053.0	4800.0
сбережения	262.0	245.0	17.0
доход от сдачи внаем или в аренду имущества	97.0	88.0	9.0
на иждивении отдельных лиц	491.0	451.0	40.0
иной источник	711.0	624.0	87.0
личное подсобное хозяйство и			
стипендию	43.0	21.0	22.0
пенсию (кроме пенсии по инвалидности)	9757.0	2434.0	7323.0
пенсию по инвалидности	1893.0	305.0	1588.0
пособие (кроме пособия по безработице)	177.0	36.0	141.0
пособие по безработице	878.0	58.0	820.0
другой вид государственного обеспечения	64.0	6.0	58.0
сбережения	38.0	17.0	21.0
доход от сдачи внаем или в аренду имущества	8.0	1.0	7.0
на иждивении отдельных лиц	4785.0	531.0	4254.0
иной источник	1257.0	66.0	1191.0
стипендию и			
пенсию	261.0	208.0	53.0
пособие (кроме пособия по безработице)	106.0	94.0	12.0
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	8491.0	7544.0	947.0
иной источник	41.0	38.0	3.0
пенсию и			
пособие	674.0	408.0	266.0
сбережения	64.0	56.0	8.0
доход от сдачи внаем или в аренду имущества	19.0	18.0	1.0
на иждивении отдельных лиц	3300.0	2348.0	952.0
иной источник	207.0	174.0	33.0
пособие и			
сбережения	8.0	7.0	1.0
доход от сдачи внаем или в аренду имущества	6.0	3.0	3.0
на иждивении отдельных лиц	28430.0	12049.0	16381.0
иной источник	101.0	66.0	35.0
другие сочетания источников средств к существованию	4711.0	3594.0	1117.0
Женщины, указавшие два источника средств к существованию	131083.0	70987.0	60096.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	22351.0	6299.0	16052.0
стипендию	364.0	350.0	14.0
пенсию (кроме пенсии по инвалидности)	28758.0	25484.0	3274.0
пенсию по инвалидности	1251.0	1034.0	217.0
пособие (кроме пособия по безработице)	3060.0	2613.0	447.0
пособие по безработице	61.0	40.0	21.0
другой вид государственного обеспечения	439.0	418.0	21.0
сбережения	143.0	133.0	10.0
доход от сдачи внаем или в аренду имущества	87.0	78.0	9.0
на иждивении отдельных лиц	933.0	859.0	74.0
иной источник	689.0	638.0	51.0
личное подсобное хозяйство и			
стипендию	31.0	18.0	13.0
пенсию (кроме пенсии по инвалидности)	18334.0	4201.0	14133.0
пенсию по инвалидности	1026.0	182.0	844.0
пособие (кроме пособия по безработице)	404.0	80.0	324.0
пособие по безработице	1314.0	80.0	1234.0
другой вид государственного обеспечения	53.0	5.0	48.0
сбережения	20.0	8.0	12.0
доход от сдачи внаем или в аренду имущества	4.0	1.0	3.0
на иждивении отдельных лиц	3507.0	608.0	2899.0
иной источник	394.0	36.0	358.0
стипендию и			
пенсию	348.0	302.0	46.0
пособие (кроме пособия по безработице)	217.0	206.0	11.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	7781.0	6995.0	786.0
иной источник	43.0	40.0	3.0
пенсию и			
пособие	753.0	459.0	294.0
сбережения	96.0	77.0	19.0
доход от сдачи внаем или в аренду имущества	71.0	66.0	5.0
на иждивении отдельных лиц	3293.0	2469.0	824.0
иной источник	194.0	178.0	16.0
пособие и			
сбережения	18.0	15.0	3.0
доход от сдачи внаем или в аренду имущества	14.0	7.0	7.0
на иждивении отдельных лиц	31273.0	14220.0	17053.0
иной источник	179.0	122.0	57.0
другие сочетания источников средств к существованию	3572.0	2658.0	914.0
Архангельская область			
Все население, указавшее два источника средств к существованию	422297.0	276440.0	145857.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	62478.0	31682.0	30796.0
стипендию	945.0	915.0	30.0
пенсию (кроме пенсии по инвалидности)	59630.0	52885.0	6745.0
пенсию по инвалидности	3101.0	2376.0	725.0
пособие (кроме пособия по безработице)	5530.0	4621.0	909.0
пособие по безработице	84.0	49.0	35.0
другой вид государственного обеспечения	8221.0	5223.0	2998.0
сбережения	362.0	329.0	33.0
доход от сдачи внаем или в аренду имущества	216.0	196.0	20.0
на иждивении отдельных лиц	2225.0	2047.0	178.0
иной источник	953.0	745.0	208.0
личное подсобное хозяйство и			
стипендию	60.0	42.0	18.0
пенсию (кроме пенсии по инвалидности)	51510.0	23059.0	28451.0
пенсию по инвалидности	2693.0	966.0	1727.0
пособие (кроме пособия по безработице)	465.0	144.0	321.0
пособие по безработице	2444.0	460.0	1984.0
другой вид государственного обеспечения	13.0	5.0	8.0
сбережения	66.0	40.0	26.0
доход от сдачи внаем или в аренду имущества	30.0	15.0	15.0
на иждивении отдельных лиц	8150.0	3192.0	4958.0
иной источник	1662.0	360.0	1302.0
стипендию и			
пенсию	567.0	490.0	77.0
пособие (кроме пособия по безработице)	211.0	188.0	23.0
сбережения	5.0	5.0	-
доход от сдачи внаем или в аренду имущества	2.0	2.0	-
на иждивении отдельных лиц	25297.0	22712.0	2585.0
иной источник	66.0	63.0	3.0
пенсию и			
пособие	1425.0	851.0	574.0
сбережения	252.0	232.0	20.0
доход от сдачи внаем или в аренду имущества	96.0	87.0	9.0
на иждивении отдельных лиц	7815.0	6191.0	1624.0
иной источник	312.0	250.0	62.0
пособие и			
сбережения	35.0	29.0	6.0
доход от сдачи внаем или в аренду имущества	69.0	46.0	23.0
на иждивении отдельных лиц	166923.0	110268.0	56655.0
иной источник	443.0	302.0	141.0
другие сочетания источников средств к существованию	7941.0	5373.0	2568.0
Мужчины, указавшие два источника средств к существованию	196817.0	125795.0	71022.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	33075.0	16547.0	16528.0
стипендию	500.0	484.0	16.0
пенсию (кроме пенсии по инвалидности)	21921.0	19586.0	2335.0
пенсию по инвалидности	1877.0	1387.0	490.0
пособие (кроме пособия по безработице)	355.0	298.0	57.0
пособие по безработице	18.0	14.0	4.0
другой вид государственного обеспечения	8069.0	5096.0	2973.0
сбережения	218.0	196.0	22.0
доход от сдачи внаем или в аренду имущества	106.0	97.0	9.0
на иждивении отдельных лиц	751.0	669.0	82.0
иной источник	520.0	388.0	132.0
личное подсобное хозяйство и			
стипендию	27.0	17.0	10.0
пенсию (кроме пенсии по инвалидности)	18293.0	8300.0	9993.0
пенсию по инвалидности	1781.0	614.0	1167.0
пособие (кроме пособия по безработице)	75.0	30.0	45.0
пособие по безработице	1026.0	188.0	838.0
другой вид государственного обеспечения	4.0	2.0	2.0
сбережения	44.0	27.0	17.0
доход от сдачи внаем или в аренду имущества	14.0	9.0	5.0
на иждивении отдельных лиц	4242.0	1498.0	2744.0
иной источник	1225.0	243.0	982.0
стипендию и			
пенсию	242.0	206.0	36.0
пособие (кроме пособия по безработице)	92.0	81.0	11.0
сбережения	2.0	2.0	-
доход от сдачи внаем или в аренду имущества	2.0	2.0	-
на иждивении отдельных лиц	12466.0	10901.0	1565.0
иной источник	28.0	26.0	2.0
пенсию и			
пособие	650.0	356.0	294.0
сбережения	85.0	78.0	7.0
доход от сдачи внаем или в аренду имущества	20.0	18.0	2.0
на иждивении отдельных лиц	3607.0	2799.0	808.0
иной источник	143.0	106.0	37.0
пособие и			
сбережения	11.0	10.0	1.0
доход от сдачи внаем или в аренду имущества	31.0	16.0	15.0
на иждивении отдельных лиц	80659.0	52696.0	27963.0
иной источник	167.0	112.0	55.0
другие сочетания источников средств к существованию	4471.0	2696.0	1775.0
Женщины, указавшие два источника средств к существованию	225480.0	150645.0	74835.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	29403.0	15135.0	14268.0
стипендию	445.0	431.0	14.0
пенсию (кроме пенсии по инвалидности)	37709.0	33299.0	4410.0
пенсию по инвалидности	1224.0	989.0	235.0
пособие (кроме пособия по безработице)	5175.0	4323.0	852.0
пособие по безработице	66.0	35.0	31.0
другой вид государственного обеспечения	152.0	127.0	25.0
сбережения	144.0	133.0	11.0
доход от сдачи внаем или в аренду имущества	110.0	99.0	11.0
на иждивении отдельных лиц	1474.0	1378.0	96.0
иной источник	433.0	357.0	76.0
личное подсобное хозяйство и			
стипендию	33.0	25.0	8.0
пенсию (кроме пенсии по инвалидности)	33217.0	14759.0	18458.0
пенсию по инвалидности	912.0	352.0	560.0
пособие (кроме пособия по безработице)	390.0	114.0	276.0
пособие по безработице	1418.0	272.0	1146.0
другой вид государственного обеспечения	9.0	3.0	6.0
сбережения	22.0	13.0	9.0
доход от сдачи внаем или в аренду имущества	16.0	6.0	10.0
на иждивении отдельных лиц	3908.0	1694.0	2214.0
иной источник	437.0	117.0	320.0
стипендию и			
пенсию	325.0	284.0	41.0
пособие (кроме пособия по безработице)	119.0	107.0	12.0
сбережения	3.0	3.0	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	12831.0	11811.0	1020.0
иной источник	38.0	37.0	1.0
пенсию и			
пособие	775.0	495.0	280.0
сбережения	167.0	154.0	13.0
доход от сдачи внаем или в аренду имущества	76.0	69.0	7.0
на иждивении отдельных лиц	4208.0	3392.0	816.0
иной источник	169.0	144.0	25.0
пособие и			
сбережения	24.0	19.0	5.0
доход от сдачи внаем или в аренду имущества	38.0	30.0	8.0
на иждивении отдельных лиц	86264.0	57572.0	28692.0
иной источник	276.0	190.0	86.0
другие сочетания источников средств к существованию	3470.0	2677.0	793.0
Ненецкий автономный округ			
Все население, указавшее два источника средств к существованию	10367.0	5433.0	4934.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	438.0	154.0	284.0
стипендию	27.0	27.0	-
пенсию (кроме пенсии по инвалидности)	2495.0	1948.0	547.0
пенсию по инвалидности	107.0	62.0	45.0
пособие (кроме пособия по безработице)	18.0	15.0	3.0
пособие по безработице	-	-	-
другой вид государственного обеспечения	15.0	11.0	4.0
сбережения	11.0	9.0	2.0
доход от сдачи внаем или в аренду имущества	9.0	5.0	4.0
на иждивении отдельных лиц	23.0	20.0	3.0
иной источник	14.0	12.0	2.0
личное подсобное хозяйство и			
стипендию	-	-	-
пенсию (кроме пенсии по инвалидности)	202.0	59.0	143.0
пенсию по инвалидности	19.0	8.0	11.0
пособие (кроме пособия по безработице)	-	-	-
пособие по безработице	18.0	3.0	15.0
другой вид государственного обеспечения	-	-	-
сбережения	2.0	-	2.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	69.0	38.0	31.0
иной источник	6.0	5.0	1.0
стипендию и			
пенсию	11.0	11.0	-
пособие (кроме пособия по безработице)	1.0	1.0	-
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	403.0	381.0	22.0
иной источник	-	-	-
пенсию и			
пособие	36.0	4.0	32.0
сбережения	4.0	2.0	2.0
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	373.0	271.0	102.0
иной источник	1.0	1.0	-
пособие и			
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	5778.0	2129.0	3649.0
иной источник	7.0	5.0	2.0
другие сочетания источников средств к существованию	277.0	249.0	28.0
Мужчины, указавшие два источника средств к существованию	4853.0	2454.0	2399.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	258.0	88.0	170.0
стипендию	9.0	9.0	-
пенсию (кроме пенсии по инвалидности)	872.0	737.0	135.0
пенсию по инвалидности	69.0	38.0	31.0
пособие (кроме пособия по безработице)	1.0	1.0	-
пособие по безработице	-	-	-
другой вид государственного обеспечения	2.0	1.0	1.0
сбережения	7.0	5.0	2.0
доход от сдачи внаем или в аренду имущества	5.0	3.0	2.0
на иждивении отдельных лиц	7.0	5.0	2.0
иной источник	8.0	7.0	1.0
личное подсобное хозяйство и			
стипендию	-	-	-
пенсию (кроме пенсии по инвалидности)	81.0	20.0	61.0
пенсию по инвалидности	9.0	3.0	6.0
пособие (кроме пособия по безработице)	-	-	-
пособие по безработице	8.0	1.0	7.0
другой вид государственного обеспечения	-	-	-
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	46.0	25.0	21.0
иной источник	4.0	3.0	1.0
стипендию и			
пенсию	2.0	2.0	-
пособие (кроме пособия по безработице)	-	-	-
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	172.0	162.0	10.0
иной источник	-	-	-
пенсию и			
пособие	18.0	3.0	15.0
сбережения	2.0	1.0	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	191.0	136.0	55.0
иной источник	1.0	1.0	-
пособие и			
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	2937.0	1074.0	1863.0
иной источник	4.0	3.0	1.0
другие сочетания источников средств к существованию	138.0	125.0	13.0
Женщины, указавшие два источника средств к существованию	5514.0	2979.0	2535.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	180.0	66.0	114.0
стипендию	18.0	18.0	-
пенсию (кроме пенсии по инвалидности)	1623.0	1211.0	412.0
пенсию по инвалидности	38.0	24.0	14.0
пособие (кроме пособия по безработице)	17.0	14.0	3.0
пособие по безработице	-	-	-
другой вид государственного обеспечения	13.0	10.0	3.0
сбережения	4.0	4.0	-
доход от сдачи внаем или в аренду имущества	4.0	2.0	2.0
на иждивении отдельных лиц	16.0	15.0	1.0
иной источник	6.0	5.0	1.0
личное подсобное хозяйство и			
стипендию	-	-	-
пенсию (кроме пенсии по инвалидности)	121.0	39.0	82.0
пенсию по инвалидности	10.0	5.0	5.0
пособие (кроме пособия по безработице)	-	-	-
пособие по безработице	10.0	2.0	8.0
другой вид государственного обеспечения	-	-	-
сбережения	1.0	-	1.0
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	23.0	13.0	10.0
иной источник	2.0	2.0	-
стипендию и			
пенсию	9.0	9.0	-
пособие (кроме пособия по безработице)	1.0	1.0	-
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	-	-	-
на иждивении отдельных лиц	231.0	219.0	12.0
иной источник	-	-	-
пенсию и			
пособие	18.0	1.0	17.0
сбережения	2.0	1.0	1.0
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	182.0	135.0	47.0
иной источник	-	-	-
пособие и			
сбережения	-	-	-
доход от сдачи внаем или в аренду имущества	1.0	1.0	-
на иждивении отдельных лиц	2841.0	1055.0	1786.0
иной источник	3.0	2.0	1.0
другие сочетания источников средств к существованию	139.0	124.0	15.0
Вологодская область			
Все население, указавшее два источника средств к существованию	446073.0	228111.0	217962.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	136507.0	60740.0	75767.0
стипендию	761.0	739.0	22.0
пенсию (кроме пенсии по инвалидности)	24640.0	21603.0	3037.0
пенсию по инвалидности	3278.0	2496.0	782.0
пособие (кроме пособия по безработице)	4708.0	3853.0	855.0
пособие по безработице	83.0	61.0	22.0
другой вид государственного обеспечения	3974.0	3519.0	455.0
сбережения	504.0	467.0	37.0
доход от сдачи внаем или в аренду имущества	244.0	225.0	19.0
на иждивении отдельных лиц	2483.0	2245.0	238.0
иной источник	697.0	636.0	61.0
личное подсобное хозяйство и			
стипендию	153.0	109.0	44.0
пенсию (кроме пенсии по инвалидности)	83344.0	27230.0	56114.0
пенсию по инвалидности	7696.0	2394.0	5302.0
пособие (кроме пособия по безработице)	1149.0	318.0	831.0
пособие по безработице	2589.0	853.0	1736.0
другой вид государственного обеспечения	61.0	24.0	37.0
сбережения	235.0	111.0	124.0
доход от сдачи внаем или в аренду имущества	57.0	18.0	39.0
на иждивении отдельных лиц	15747.0	5002.0	10745.0
иной источник	908.0	211.0	697.0
стипендию и			
пенсию	456.0	368.0	88.0
пособие (кроме пособия по безработице)	256.0	209.0	47.0
сбережения	9.0	6.0	3.0
доход от сдачи внаем или в аренду имущества	7.0	6.0	1.0
на иждивении отдельных лиц	23132.0	20250.0	2882.0
иной источник	76.0	73.0	3.0
пенсию и			
пособие	1978.0	1298.0	680.0
сбережения	340.0	299.0	41.0
доход от сдачи внаем или в аренду имущества	124.0	113.0	11.0
на иждивении отдельных лиц	6414.0	4563.0	1851.0
иной источник	199.0	185.0	14.0
пособие и			
сбережения	51.0	42.0	9.0
доход от сдачи внаем или в аренду имущества	39.0	22.0	17.0
на иждивении отдельных лиц	111522.0	59113.0	52409.0
иной источник	218.0	144.0	74.0
другие сочетания источников средств к существованию	11434.0	8566.0	2868.0
Мужчины, указавшие два источника средств к существованию	205799.0	103367.0	102432.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	69960.0	29716.0	40244.0
стипендию	369.0	357.0	12.0
пенсию (кроме пенсии по инвалидности)	10092.0	8980.0	1112.0
пенсию по инвалидности	1847.0	1339.0	508.0
пособие (кроме пособия по безработице)	301.0	249.0	52.0
пособие по безработице	24.0	18.0	6.0
другой вид государственного обеспечения	2924.0	2486.0	438.0
сбережения	288.0	267.0	21.0
доход от сдачи внаем или в аренду имущества	115.0	107.0	8.0
на иждивении отдельных лиц	1094.0	970.0	124.0
иной источник	439.0	393.0	46.0
личное подсобное хозяйство и			
стипендию	77.0	54.0	23.0
пенсию (кроме пенсии по инвалидности)	28074.0	9576.0	18498.0
пенсию по инвалидности	4777.0	1398.0	3379.0
пособие (кроме пособия по безработице)	163.0	46.0	117.0
пособие по безработице	949.0	345.0	604.0
другой вид государственного обеспечения	20.0	10.0	10.0
сбережения	162.0	68.0	94.0
доход от сдачи внаем или в аренду имущества	30.0	11.0	19.0
на иждивении отдельных лиц	8558.0	2428.0	6130.0
иной источник	699.0	151.0	548.0
стипендию и			
пенсию	194.0	146.0	48.0
пособие (кроме пособия по безработице)	110.0	85.0	25.0
сбережения	6.0	5.0	1.0
доход от сдачи внаем или в аренду имущества	3.0	3.0	-
на иждивении отдельных лиц	11000.0	9292.0	1708.0
иной источник	23.0	21.0	2.0
пенсию и			
пособие	806.0	458.0	348.0
сбережения	107.0	95.0	12.0
доход от сдачи внаем или в аренду имущества	30.0	28.0	2.0
на иждивении отдельных лиц	3169.0	2170.0	999.0
иной источник	80.0	72.0	8.0
пособие и			
сбережения	11.0	7.0	4.0
доход от сдачи внаем или в аренду имущества	14.0	7.0	7.0
на иждивении отдельных лиц	53381.0	27677.0	25704.0
иной источник	94.0	52.0	42.0
другие сочетания источников средств к существованию	5809.0	4280.0	1529.0
Женщины, указавшие два источника средств к существованию	240274.0	124744.0	115530.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	66547.0	31024.0	35523.0
стипендию	392.0	382.0	10.0
пенсию (кроме пенсии по инвалидности)	14548.0	12623.0	1925.0
пенсию по инвалидности	1431.0	1157.0	274.0
пособие (кроме пособия по безработице)	4407.0	3604.0	803.0
пособие по безработице	59.0	43.0	16.0
другой вид государственного обеспечения	1050.0	1033.0	17.0
сбережения	216.0	200.0	16.0
доход от сдачи внаем или в аренду имущества	129.0	118.0	11.0
на иждивении отдельных лиц	1389.0	1275.0	114.0
иной источник	258.0	243.0	15.0
личное подсобное хозяйство и			
стипендию	76.0	55.0	21.0
пенсию (кроме пенсии по инвалидности)	55270.0	17654.0	37616.0
пенсию по инвалидности	2919.0	996.0	1923.0
пособие (кроме пособия по безработице)	986.0	272.0	714.0
пособие по безработице	1640.0	508.0	1132.0
другой вид государственного обеспечения	41.0	14.0	27.0
сбережения	73.0	43.0	30.0
доход от сдачи внаем или в аренду имущества	27.0	7.0	20.0
на иждивении отдельных лиц	7189.0	2574.0	4615.0
иной источник	209.0	60.0	149.0
стипендию и			
пенсию	262.0	222.0	40.0
пособие (кроме пособия по безработице)	146.0	124.0	22.0
сбережения	3.0	1.0	2.0
доход от сдачи внаем или в аренду имущества	4.0	3.0	1.0
на иждивении отдельных лиц	12132.0	10958.0	1174.0
иной источник	53.0	52.0	1.0
пенсию и			
пособие	1172.0	840.0	332.0
сбережения	233.0	204.0	29.0
доход от сдачи внаем или в аренду имущества	94.0	85.0	9.0
на иждивении отдельных лиц	3245.0	2393.0	852.0
иной источник	119.0	113.0	6.0
пособие и			
сбережения	40.0	35.0	5.0
доход от сдачи внаем или в аренду имущества	25.0	15.0	10.0
на иждивении отдельных лиц	58141.0	31436.0	26705.0
иной источник	124.0	92.0	32.0
другие сочетания источников средств к существованию	5625.0	4286.0	1339.0
Калининградская область			
Все население, указавшее два источника средств к существованию	187969.0	119053.0	68916.0
в том числе указавшее источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	22270.0	8053.0	14217.0
стипендию	670.0	644.0	26.0
пенсию (кроме пенсии по инвалидности)	33712.0	31050.0	2662.0
пенсию по инвалидности	1637.0	1365.0	272.0
пособие (кроме пособия по безработице)	1619.0	1296.0	323.0
пособие по безработице	42.0	36.0	6.0
другой вид государственного обеспечения	2416.0	1738.0	678.0
сбережения	271.0	251.0	20.0
доход от сдачи внаем или в аренду имущества	158.0	140.0	18.0
на иждивении отдельных лиц	1033.0	924.0	109.0
иной источник	1718.0	1375.0	343.0
личное подсобное хозяйство и			
стипендию	17.0	6.0	11.0
пенсию (кроме пенсии по инвалидности)	17298.0	7915.0	9383.0
пенсию по инвалидности	1122.0	378.0	744.0
пособие (кроме пособия по безработице)	304.0	49.0	255.0
пособие по безработице	738.0	224.0	514.0
другой вид государственного обеспечения	48.0	15.0	33.0
сбережения	116.0	41.0	75.0
доход от сдачи внаем или в аренду имущества	28.0	4.0	24.0
на иждивении отдельных лиц	3904.0	1100.0	2804.0
иной источник	1055.0	237.0	818.0
стипендию и			
пенсию	237.0	183.0	54.0
пособие (кроме пособия по безработице)	123.0	86.0	37.0
сбережения	8.0	8.0	-
доход от сдачи внаем или в аренду имущества	7.0	7.0	-
на иждивении отдельных лиц	13718.0	11161.0	2557.0
иной источник	54.0	52.0	2.0
пенсию и			
пособие	670.0	382.0	288.0
сбережения	216.0	201.0	15.0
доход от сдачи внаем или в аренду имущества	121.0	98.0	23.0
на иждивении отдельных лиц	3264.0	2251.0	1013.0
иной источник	468.0	363.0	105.0
пособие и			
сбережения	43.0	38.0	5.0
доход от сдачи внаем или в аренду имущества	38.0	21.0	17.0
на иждивении отдельных лиц	70983.0	40951.0	30032.0
иной источник	268.0	169.0	99.0
другие сочетания источников средств к существованию	7575.0	6241.0	1334.0
Мужчины, указавшие два источника средств к существованию	90476.0	57410.0	33066.0
в том числе указавшие источники:			
доход от трудовой деятельности и			
личное подсобное хозяйство	11174.0	3684.0	7490.0
стипендию	326.0	313.0	13.0
пенсию (кроме пенсии по инвалидности)	17347.0	16011.0	1336.0
пенсию по инвалидности	946.0	759.0	187.0
пособие (кроме пособия по безработице)	128.0	111.0	17.0
пособие по безработице	17.0	14.0	3.0
другой вид государственного обеспечения	2009.0	1527.0	482.0
сбережения	157.0	145.0	12.0
доход от сдачи внаем или в аренду имущества	80.0	72.0	8.0
