9. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, СОСТОЯЩИХ ИЗ ОДНОГО ЧЕЛОВЕКА, ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ				
				
	Всего	в том числе в возрасте		
на иждивении отдельных лиц	2588.0	215.0	2277.0	93.0
иной источник	3795.0	3.0	3725.0	66.0
Указавшие два источника средств к существованию	23971.0	156.0	5817.0	17993.0
Указавшие три и более источника средств к существованию	1089.0	45.0	317.0	721.0
Мурманская область				
Население частных домохозяйств, состоящих из одного человека	88293.0	204.0	51781.0	35701.0
из них указали один источник средств к существованию	69969.0	110.0	42266.0	27485.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	30483.0	-	30008.0	391.0
личное подсобное хозяйство	60.0	-	59.0	1.0
стипендию	123.0	5.0	118.0	-
пенсию (кроме пенсии по инвалидности)	30318.0	3.0	3975.0	26323.0
пенсию по инвалидности	1733.0	-	997.0	734.0
пособие (кроме пособия по безработице)	151.0	5.0	136.0	10.0
пособие по безработице	1882.0	-	1882.0	-
другой вид государственного обеспечения	68.0	38.0	27.0	3.0
сбережения	392.0	-	392.0	-
доход от сдачи внаем или в аренду имущества	19.0	-	19.0	-
на иждивении отдельных лиц	2765.0	59.0	2692.0	11.0
иной источник	1975.0	-	1961.0	12.0
Указавшие два источника средств к существованию	14695.0	63.0	7103.0	7528.0
Указавшие три и более источника средств к существованию	650.0	14.0	390.0	246.0
Новгородская область				
Население частных домохозяйств, состоящих из одного человека	75035.0	149.0	25034.0	49740.0
из них указали один источник средств к существованию	58992.0	62.0	20575.0	38332.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	14245.0	-	13950.0	289.0
личное подсобное хозяйство	475.0	-	466.0	9.0
стипендию	95.0	2.0	92.0	-
пенсию (кроме пенсии по инвалидности)	36869.0	3.0	716.0	36142.0
пенсию по инвалидности	3283.0	-	1434.0	1845.0
пособие (кроме пособия по безработице)	41.0	3.0	34.0	4.0
пособие по безработице	213.0	-	211.0	-
другой вид государственного обеспечения	73.0	11.0	54.0	7.0
сбережения	160.0	-	159.0	1.0
доход от сдачи внаем или в аренду имущества	13.0	-	13.0	-
на иждивении отдельных лиц	1374.0	42.0	1319.0	13.0
иной источник	2151.0	1.0	2127.0	22.0
Указавшие два источника средств к существованию	14394.0	69.0	3508.0	10817.0
Указавшие три и более источника средств к существованию	623.0	7.0	243.0	373.0
Псковская область				
Население частных домохозяйств, состоящих из одного человека	85165.0	133.0	28631.0	56332.0
из них указали один источник средств к существованию	62541.0	64.0	23229.0	39229.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	15055.0	1.0	14791.0	250.0
личное подсобное хозяйство	1126.0	-	1106.0	20.0
стипендию	100.0	6.0	94.0	-
пенсию (кроме пенсии по инвалидности)	38145.0	4.0	812.0	37323.0
пенсию по инвалидности	3145.0	-	1566.0	1579.0
пособие (кроме пособия по безработице)	76.0	-	66.0	10.0
пособие по безработице	473.0	-	473.0	-
другой вид государственного обеспечения	39.0	2.0	31.0	6.0
сбережения	93.0	-	92.0	1.0
доход от сдачи внаем или в аренду имущества	19.0	-	19.0	-
на иждивении отдельных лиц	1721.0	50.0	1663.0	8.0
иной источник	2549.0	1.0	2516.0	32.0
Указавшие два источника средств к существованию	21475.0	61.0	4892.0	16515.0
Указавшие три и более источника средств к существованию	743.0	4.0	273.0	466.0
г. Санкт-Петербург				
Население частных домохозяйств, состоящих из одного человека	426012.0	2265.0	206903.0	213323.0
из них указали один источник средств к существованию	323053.0	1341.0	154048.0	167312.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	123377.0	15.0	118527.0	4638.0
личное подсобное хозяйство	230.0	1.0	194.0	32.0
стипендию	2564.0	7.0	2554.0	-
пенсию (кроме пенсии по инвалидности)	156158.0	28.0	4035.0	152007.0
пенсию по инвалидности	14601.0	15.0	4510.0	10064.0
пособие (кроме пособия по безработице)	360.0	30.0	269.0	60.0
пособие по безработице	956.0	-	955.0	-
другой вид государственного обеспечения	593.0	139.0	391.0	63.0
сбережения	1069.0	1.0	1032.0	34.0
доход от сдачи внаем или в аренду имущества	169.0	-	151.0	17.0
на иждивении отдельных лиц	17735.0	1089.0	16413.0	206.0
иной источник	5241.0	16.0	5017.0	191.0
Указавшие два источника средств к существованию	55396.0	408.0	23447.0	31516.0
Указавшие три и более источника средств к существованию	2776.0	14.0	1761.0	994.0
Южный федеральный округ				
Население частных домохозяйств, состоящих из одного человека	1283140.0	3334.0	506644.0	771314.0
из них указали один источник средств к существованию	1056004.0	1554.0	424963.0	629231.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	285979.0	31.0	276691.0	9149.0
личное подсобное хозяйство	19834.0	2.0	19121.0	708.0
стипендию	3458.0	132.0	3324.0	-
пенсию (кроме пенсии по инвалидности)	610725.0	25.0	15297.0	595326.0
пенсию по инвалидности	45083.0	6.0	22491.0	22579.0
пособие (кроме пособия по безработице)	1144.0	50.0	834.0	260.0
пособие по безработице	4638.0	-	4638.0	-
другой вид государственного обеспечения	634.0	8.0	492.0	134.0
сбережения	3701.0	-	3633.0	66.0
доход от сдачи внаем или в аренду имущества	956.0	-	918.0	38.0
на иждивении отдельных лиц	60220.0	1284.0	58327.0	570.0
иной источник	19632.0	16.0	19197.0	401.0
Указавшие два источника средств к существованию	210583.0	1671.0	74498.0	134389.0
Указавшие три и более источника средств к существованию	10268.0	58.0	3737.0	6469.0
Республика Адыгея				
Население частных домохозяйств, состоящих из одного человека	30054.0	55.0	10709.0	19189.0
из них указали один источник средств к существованию	23854.0	16.0	8709.0	15126.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	5303.0	1.0	5142.0	158.0
личное подсобное хозяйство	861.0	-	837.0	24.0
стипендию	16.0	-	16.0	-
пенсию (кроме пенсии по инвалидности)	14639.0	-	343.0	14295.0
пенсию по инвалидности	1245.0	-	618.0	627.0
пособие (кроме пособия по безработице)	11.0	-	8.0	3.0
пособие по безработице	114.0	-	114.0	-
другой вид государственного обеспечения	2.0	-	2.0	-
сбережения	121.0	-	118.0	3.0
доход от сдачи внаем или в аренду имущества	23.0	-	23.0	-
на иждивении отдельных лиц	1378.0	15.0	1355.0	8.0
иной источник	141.0	-	133.0	8.0
Указавшие два источника средств к существованию	5751.0	38.0	1848.0	3865.0
Указавшие три и более источника средств к существованию	178.0	-	41.0	137.0
Республика Дагестан				
Население частных домохозяйств, состоящих из одного человека	42442.0	78.0	14759.0	27601.0
из них указали один источник средств к существованию	31011.0	6.0	11665.0	19337.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	6137.0	-	5774.0	362.0
личное подсобное хозяйство	2589.0	-	2494.0	94.0
стипендию	61.0	-	61.0	-
пенсию (кроме пенсии по инвалидности)	18284.0	1.0	330.0	17952.0
пенсию по инвалидности	1982.0	-	1094.0	888.0
пособие (кроме пособия по безработице)	29.0	4.0	17.0	8.0
пособие по безработице	433.0	-	433.0	-
другой вид государственного обеспечения	12.0	-	12.0	-
сбережения	91.0	-	88.0	3.0
доход от сдачи внаем или в аренду имущества	25.0	-	25.0	-
на иждивении отдельных лиц	1042.0	1.0	1020.0	21.0
иной источник	326.0	-	317.0	9.0
Указавшие два источника средств к существованию	10901.0	64.0	2978.0	7859.0
Указавшие три и более источника средств к существованию	529.0	8.0	115.0	405.0
Республика Ингушетия				
Население частных домохозяйств, состоящих из одного человека	908.0	8.0	401.0	495.0
из них указали один источник средств к существованию	840.0	7.0	381.0	452.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	112.0	-	97.0	15.0
личное подсобное хозяйство	13.0	-	12.0	1.0
стипендию	6.0	-	6.0	-
пенсию (кроме пенсии по инвалидности)	422.0	-	24.0	398.0
пенсию по инвалидности	74.0	-	44.0	30.0
пособие (кроме пособия по безработице)	40.0	6.0	32.0	2.0
пособие по безработице	26.0	-	26.0	-
другой вид государственного обеспечения	27.0	-	25.0	2.0
сбережения	11.0	-	11.0	-
доход от сдачи внаем или в аренду имущества	2.0	-	2.0	-
на иждивении отдельных лиц	73.0	1.0	69.0	3.0
иной источник	34.0	-	33.0	1.0
Указавшие два источника средств к существованию	63.0	1.0	19.0	43.0
Указавшие три и более источника средств к существованию	1.0	-	1.0	-
Кабардино–Балкарская Республика				
Население частных домохозяйств, состоящих из одного человека	23524.0	41.0	9596.0	13887.0
из них указали один источник средств к существованию	18304.0	7.0	7911.0	10386.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	5857.0	2.0	5662.0	193.0
личное подсобное хозяйство	397.0	-	387.0	10.0
стипендию	10.0	-	10.0	-
пенсию (кроме пенсии по инвалидности)	9892.0	1.0	257.0	9634.0
пенсию по инвалидности	949.0	-	411.0	538.0
пособие (кроме пособия по безработице)	18.0	-	16.0	2.0
пособие по безработице	105.0	-	105.0	-
другой вид государственного обеспечения	4.0	-	4.0	-
сбережения	106.0	-	105.0	1.0
доход от сдачи внаем или в аренду имущества	17.0	-	17.0	-
на иждивении отдельных лиц	860.0	4.0	849.0	7.0
иной источник	89.0	-	88.0	1.0
Указавшие два источника средств к существованию	5065.0	32.0	1631.0	3402.0
Указавшие три и более источника средств к существованию	155.0	2.0	54.0	99.0
Республика Калмыкия				
Население частных домохозяйств, состоящих из одного человека	13631.0	81.0	7551.0	5998.0
из них указали один источник средств к существованию	11355.0	10.0	6181.0	5164.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	3824.0	-	3744.0	80.0
личное подсобное хозяйство	481.0	-	473.0	8.0
стипендию	7.0	-	7.0	-
пенсию (кроме пенсии по инвалидности)	5075.0	-	155.0	4920.0
пенсию по инвалидности	508.0	-	367.0	141.0
пособие (кроме пособия по безработице)	12.0	-	8.0	4.0
пособие по безработице	118.0	-	118.0	-
другой вид государственного обеспечения	3.0	-	2.0	1.0
сбережения	48.0	-	48.0	-
доход от сдачи внаем или в аренду имущества	12.0	-	11.0	1.0
на иждивении отдельных лиц	1129.0	10.0	1112.0	7.0
иной источник	138.0	-	136.0	2.0
Указавшие два источника средств к существованию	2182.0	67.0	1304.0	810.0
Указавшие три и более источника средств к существованию	94.0	4.0	66.0	24.0
Карачаево-Черкесская Республика				
Население частных домохозяйств, состоящих из одного человека	20299.0	51.0	7955.0	12277.0
из них указали один источник средств к существованию	17155.0	7.0	6980.0	10159.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	3758.0	-	3592.0	165.0
личное подсобное хозяйство	652.0	-	625.0	26.0
стипендию	23.0	1.0	22.0	-
пенсию (кроме пенсии по инвалидности)	9665.0	-	264.0	9401.0
пенсию по инвалидности	1314.0	-	774.0	540.0
пособие (кроме пособия по безработице)	23.0	1.0	18.0	4.0
пособие по безработице	73.0	-	73.0	-
другой вид государственного обеспечения	11.0	-	10.0	1.0
сбережения	58.0	-	57.0	1.0
доход от сдачи внаем или в аренду имущества	11.0	-	11.0	-
на иждивении отдельных лиц	511.0	5.0	501.0	5.0
иной источник	1056.0	-	1033.0	16.0
Указавшие два источника средств к существованию	3052.0	43.0	931.0	2078.0
Указавшие три и более источника средств к существованию	60.0	1.0	26.0	33.0
Республика Северная Осетия – Алания				
Население частных домохозяйств, состоящих из одного человека	33537.0	46.0	13266.0	19641.0
из них указали один источник средств к существованию	26586.0	14.0	11258.0	15306.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	7404.0	-	6914.0	489.0
личное подсобное хозяйство	584.0	1.0	566.0	17.0
стипендию	28.0	-	28.0	-
пенсию (кроме пенсии по инвалидности)	14650.0	2.0	524.0	14122.0
пенсию по инвалидности	1326.0	-	721.0	605.0
пособие (кроме пособия по безработице)	31.0	1.0	23.0	7.0
пособие по безработице	128.0	-	128.0	-
другой вид государственного обеспечения	20.0	-	17.0	3.0
сбережения	198.0	-	189.0	8.0
доход от сдачи внаем или в аренду имущества	58.0	-	57.0	1.0
на иждивении отдельных лиц	1765.0	10.0	1712.0	42.0
иной источник	394.0	-	379.0	12.0
Указавшие два источника средств к существованию	5468.0	26.0	1470.0	3971.0
Указавшие три и более источника средств к существованию	147.0	1.0	52.0	93.0
Чеченская Республика				
Население частных домохозяйств, состоящих из одного человека	7250.0	9.0	3181.0	4054.0
из них указали один источник средств к существованию	6331.0	9.0	2767.0	3552.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	918.0	-	856.0	62.0
личное подсобное хозяйство	360.0	-	344.0	16.0
стипендию	18.0	-	18.0	-
пенсию (кроме пенсии по инвалидности)	3439.0	-	163.0	3274.0
пенсию по инвалидности	327.0	-	183.0	144.0
пособие (кроме пособия по безработице)	64.0	6.0	31.0	27.0
пособие по безработице	547.0	-	547.0	-
другой вид государственного обеспечения	21.0	-	12.0	9.0
сбережения	8.0	-	7.0	1.0
доход от сдачи внаем или в аренду имущества	-	-	-	-
на иждивении отдельных лиц	237.0	3.0	225.0	8.0
иной источник	392.0	-	381.0	11.0
Указавшие два источника средств к существованию	777.0	-	300.0	474.0
Указавшие три и более источника средств к существованию	29.0	-	17.0	12.0
Краснодарский край				
Население частных домохозяйств, состоящих из одного человека	332198.0	603.0	116959.0	214514.0
из них указали один источник средств к существованию	263195.0	297.0	97326.0	165550.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	69140.0	5.0	66725.0	2403.0
личное подсобное хозяйство	5984.0	1.0	5707.0	275.0
стипендию	399.0	8.0	391.0	-
пенсию (кроме пенсии по инвалидности)	161063.0	7.0	3595.0	157453.0
пенсию по инвалидности	9571.0	2.0	4450.0	5117.0
пособие (кроме пособия по безработице)	253.0	15.0	187.0	51.0
пособие по безработице	721.0	-	721.0	-
другой вид государственного обеспечения	132.0	5.0	99.0	28.0
сбережения	1326.0	-	1303.0	23.0
доход от сдачи внаем или в аренду имущества	313.0	-	302.0	11.0
на иждивении отдельных лиц	11295.0	250.0	10907.0	134.0
иной источник	2998.0	4.0	2939.0	55.0
Указавшие два источника средств к существованию	65086.0	285.0	17866.0	46932.0
Указавшие три и более источника средств к существованию	2752.0	15.0	988.0	1749.0
Ставропольский край				
Население частных домохозяйств, состоящих из одного человека	198876.0	640.0	88010.0	110224.0
из них указали один источник средств к существованию	165669.0	428.0	75385.0	89854.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	52183.0	13.0	50724.0	1445.0
личное подсобное хозяйство	1994.0	-	1938.0	56.0
стипендию	530.0	7.0	523.0	-
пенсию (кроме пенсии по инвалидности)	85971.0	4.0	1735.0	84231.0
пенсию по инвалидности	7091.0	1.0	3171.0	3919.0
пособие (кроме пособия по безработице)	141.0	3.0	105.0	33.0
пособие по безработице	609.0	-	609.0	-
другой вид государственного обеспечения	123.0	-	95.0	28.0
сбережения	681.0	-	668.0	13.0
доход от сдачи внаем или в аренду имущества	174.0	-	168.0	6.0
на иждивении отдельных лиц	13538.0	399.0	13069.0	70.0
иной источник	2634.0	1.0	2580.0	53.0
Указавшие два источника средств к существованию	30877.0	206.0	12055.0	18616.0
Указавшие три и более источника средств к существованию	2329.0	6.0	569.0	1754.0
Астраханская область				
Население частных домохозяйств, состоящих из одного человека	65121.0	232.0	26570.0	38283.0
из них указали один источник средств к существованию	56661.0	61.0	22941.0	33646.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	16475.0	-	15923.0	547.0
личное подсобное хозяйство	436.0	-	423.0	13.0
стипендию	96.0	7.0	88.0	-
пенсию (кроме пенсии по инвалидности)	33180.0	3.0	855.0	32315.0
пенсию по инвалидности	1414.0	-	747.0	667.0
пособие (кроме пособия по безработице)	85.0	-	59.0	26.0
пособие по безработице	375.0	-	375.0	-
другой вид государственного обеспечения	49.0	2.0	42.0	5.0
сбережения	104.0	-	103.0	1.0
доход от сдачи внаем или в аренду имущества	25.0	-	25.0	-
на иждивении отдельных лиц	2270.0	48.0	2195.0	27.0
иной источник	2152.0	1.0	2106.0	45.0
Указавшие два источника средств к существованию	7963.0	167.0	3340.0	4455.0
Указавшие три и более источника средств к существованию	285.0	1.0	130.0	153.0
Волгоградская область				
Население частных домохозяйств, состоящих из одного человека	199791.0	450.0	77607.0	121229.0
из них указали один источник средств к существованию	167728.0	255.0	66242.0	101133.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	45107.0	3.0	43842.0	1216.0
личное подсобное хозяйство	1970.0	-	1925.0	45.0
стипендию	477.0	6.0	471.0	-
пенсию (кроме пенсии по инвалидности)	99143.0	3.0	2545.0	96571.0
пенсию по инвалидности	5870.0	1.0	2827.0	3039.0
пособие (кроме пособия по безработице)	163.0	5.0	116.0	42.0
пособие по безработице	508.0	-	508.0	-
другой вид государственного обеспечения	96.0	1.0	70.0	25.0
сбережения	340.0	-	334.0	5.0
доход от сдачи внаем или в аренду имущества	88.0	-	83.0	5.0
на иждивении отдельных лиц	8449.0	229.0	8125.0	77.0
иной источник	5517.0	7.0	5396.0	108.0
Указавшие два источника средств к существованию	28789.0	165.0	9774.0	18845.0
Указавшие три и более источника средств к существованию	1593.0	7.0	632.0	954.0
Ростовская область				
Население частных домохозяйств, состоящих из одного человека	315509.0	1040.0	130080.0	183922.0
из них указали один источник средств к существованию	267315.0	437.0	107217.0	159566.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	69761.0	7.0	67696.0	2014.0
личное подсобное хозяйство	3513.0	-	3390.0	123.0
стипендию	1787.0	103.0	1683.0	-
пенсию (кроме пенсии по инвалидности)	155302.0	4.0	4507.0	150760.0
пенсию по инвалидности	13412.0	2.0	7084.0	6324.0
пособие (кроме пособия по безработице)	274.0	9.0	214.0	51.0
пособие по безработице	881.0	-	881.0	-
другой вид государственного обеспечения	134.0	-	102.0	32.0
сбережения	609.0	-	602.0	7.0
доход от сдачи внаем или в аренду имущества	208.0	-	194.0	14.0
на иждивении отдельных лиц	17673.0	309.0	17188.0	161.0
иной источник	3761.0	3.0	3676.0	80.0
Указавшие два источника средств к существованию	44609.0	577.0	20982.0	23039.0
Указавшие три и более источника средств к существованию	2116.0	13.0	1046.0	1056.0
Приволжский федеральный округ				
Население частных домохозяйств, состоящих из одного человека	2470577.0	9994.0	968366.0	1489797.0
из них указали один источник средств к существованию	1844862.0	4299.0	761656.0	1078441.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	534433.0	31.0	522247.0	11914.0
личное подсобное хозяйство	29372.0	1.0	28121.0	1246.0
стипендию	7597.0	431.0	7163.0	-
пенсию (кроме пенсии по инвалидности)	1054417.0	64.0	25845.0	1028388.0
пенсию по инвалидности	71967.0	7.0	36428.0	35518.0
пособие (кроме пособия по безработице)	1822.0	98.0	1416.0	307.0
пособие по безработице	10149.0	-	10148.0	-
другой вид государственного обеспечения	947.0	40.0	797.0	110.0
сбережения	4029.0	-	3981.0	47.0
доход от сдачи внаем или в аренду имущества	684.0	3.0	668.0	13.0
на иждивении отдельных лиц	95307.0	3597.0	91200.0	462.0
иной источник	34138.0	27.0	33642.0	436.0
Указавшие два источника средств к существованию	584810.0	4813.0	185543.0	394392.0
Указавшие три и более источника средств к существованию	26849.0	769.0	12043.0	14035.0
Республика Башкортостан				
Население частных домохозяйств, состоящих из одного человека	270706.0	1433.0	109324.0	159841.0
из них указали один источник средств к существованию	187514.0	868.0	83014.0	103598.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	58167.0	5.0	57034.0	1114.0
личное подсобное хозяйство	4232.0	-	3952.0	280.0
стипендию	758.0	68.0	689.0	-
пенсию (кроме пенсии по инвалидности)	102539.0	5.0	2634.0	99885.0
пенсию по инвалидности	5123.0	-	2971.0	2152.0
пособие (кроме пособия по безработице)	223.0	7.0	176.0	40.0
пособие по безработице	1140.0	-	1140.0	-
другой вид государственного обеспечения	118.0	1.0	108.0	9.0
сбережения	567.0	-	564.0	3.0
доход от сдачи внаем или в аренду имущества	69.0	-	68.0	1.0
на иждивении отдельных лиц	10347.0	780.0	9502.0	61.0
иной источник	4231.0	2.0	4176.0	53.0
Указавшие два источника средств к существованию	79101.0	477.0	24166.0	54447.0
Указавшие три и более источника средств к существованию	3478.0	88.0	1677.0	1712.0
Республика Марий Эл				
Население частных домохозяйств, состоящих из одного человека	59228.0	626.0	28013.0	30556.0
из них указали один источник средств к существованию	39489.0	242.0	18867.0	20378.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	11529.0	-	11385.0	143.0
личное подсобное хозяйство	1478.0	-	1464.0	14.0
стипендию	108.0	11.0	97.0	-
пенсию (кроме пенсии по инвалидности)	19638.0	3.0	464.0	19171.0
пенсию по инвалидности	2120.0	1.0	1093.0	1026.0
пособие (кроме пособия по безработице)	50.0	-	43.0	7.0
пособие по безработице	330.0	-	330.0	-
другой вид государственного обеспечения	9.0	1.0	8.0	-
сбережения	79.0	-	76.0	3.0
доход от сдачи внаем или в аренду имущества	22.0	-	21.0	1.0
на иждивении отдельных лиц	3543.0	226.0	3309.0	7.0
иной источник	583.0	-	577.0	6.0
Указавшие два источника средств к существованию	17871.0	259.0	7823.0	9788.0
Указавшие три и более источника средств к существованию	1387.0	122.0	987.0	277.0
Республика Мордовия				
Население частных домохозяйств, состоящих из одного человека	81574.0	314.0	29644.0	51603.0
из них указали один источник средств к существованию	43573.0	40.0	17096.0	26435.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	10040.0	-	9884.0	155.0
личное подсобное хозяйство	1456.0	-	1427.0	29.0
стипендию	75.0	9.0	66.0	-
пенсию (кроме пенсии по инвалидности)	25535.0	1.0	613.0	24920.0
пенсию по инвалидности	2516.0	-	1203.0	1313.0
пособие (кроме пособия по безработице)	14.0	1.0	12.0	1.0
пособие по безработице	222.0	-	222.0	-
другой вид государственного обеспечения	14.0	-	12.0	2.0
сбережения	61.0	-	60.0	1.0
доход от сдачи внаем или в аренду имущества	15.0	-	13.0	2.0
на иждивении отдельных лиц	3186.0	29.0	3150.0	7.0
иной источник	439.0	-	434.0	5.0
Указавшие два источника средств к существованию	35962.0	228.0	11413.0	24319.0
Указавшие три и более источника средств к существованию	1319.0	40.0	655.0	624.0
Республика Татарстан				
Население частных домохозяйств, состоящих из одного человека	244836.0	495.0	101189.0	143027.0
из них указали один источник средств к существованию	192149.0	356.0	86305.0	105440.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	66219.0	1.0	64482.0	1705.0
личное подсобное хозяйство	1353.0	-	1184.0	169.0
стипендию	2204.0	90.0	2113.0	-
пенсию (кроме пенсии по инвалидности)	102961.0	11.0	2501.0	100437.0
пенсию по инвалидности	6820.0	1.0	3824.0	2994.0
пособие (кроме пособия по безработице)	184.0	7.0	154.0	23.0
пособие по безработице	686.0	-	686.0	-
другой вид государственного обеспечения	79.0	4.0	66.0	9.0
сбережения	452.0	-	448.0	3.0
доход от сдачи внаем или в аренду имущества	76.0	1.0	73.0	2.0
на иждивении отдельных лиц	7414.0	237.0	7128.0	48.0
иной источник	3701.0	4.0	3646.0	50.0
Указавшие два источника средств к существованию	51133.0	131.0	14297.0	36699.0
Указавшие три и более источника средств к существованию	1368.0	7.0	504.0	857.0
Удмуртская Республика				
Население частных домохозяйств, состоящих из одного человека	108841.0	568.0	48028.0	60213.0
из них указали один источник средств к существованию	76229.0	175.0	35767.0	40275.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	25024.0	1.0	24654.0	364.0
личное подсобное хозяйство	1081.0	-	1065.0	16.0
стипендию	147.0	6.0	141.0	-
пенсию (кроме пенсии по инвалидности)	39856.0	3.0	1113.0	38736.0
пенсию по инвалидности	2685.0	-	1603.0	1081.0
пособие (кроме пособия по безработице)	88.0	3.0	71.0	14.0
пособие по безработице	649.0	-	649.0	-
другой вид государственного обеспечения	67.0	1.0	62.0	4.0
сбережения	190.0	-	188.0	2.0
доход от сдачи внаем или в аренду имущества	28.0	-	26.0	2.0
на иждивении отдельных лиц	5003.0	160.0	4810.0	33.0
иной источник	1411.0	1.0	1385.0	23.0
Указавшие два источника средств к существованию	30398.0	318.0	11061.0	19017.0
Указавшие три и более источника средств к существованию	1777.0	71.0	872.0	834.0
Чувашская Республика				
Население частных домохозяйств, состоящих из одного человека	99529.0	298.0	40754.0	58426.0
из них указали один источник средств к существованию	54022.0	106.0	27417.0	26487.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	18574.0	1.0	18281.0	287.0
личное подсобное хозяйство	2690.0	-	2578.0	111.0
стипендию	99.0	1.0	98.0	-
пенсию (кроме пенсии по инвалидности)	25821.0	5.0	727.0	25084.0
пенсию по инвалидности	2170.0	-	1218.0	951.0
пособие (кроме пособия по безработице)	85.0	5.0	61.0	19.0
пособие по безработице	365.0	-	365.0	-
другой вид государственного обеспечения	43.0	2.0	35.0	6.0
сбережения	186.0	-	184.0	2.0
доход от сдачи внаем или в аренду имущества	19.0	-	18.0	1.0
на иждивении отдельных лиц	3322.0	91.0	3216.0	15.0
иной источник	648.0	1.0	636.0	11.0
Указавшие два источника средств к существованию	43239.0	153.0	12150.0	30931.0
Указавшие три и более источника средств к существованию	1464.0	33.0	627.0	804.0
Кировская область				
Население частных домохозяйств, состоящих из одного человека	152646.0	863.0	62476.0	89103.0
из них указали один источник средств к существованию	97029.0	292.0	42726.0	53993.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	26551.0	1.0	26254.0	286.0
личное подсобное хозяйство	1525.0	-	1480.0	45.0
стипендию	299.0	34.0	265.0	-
пенсию (кроме пенсии по инвалидности)	53068.0	-	1080.0	51983.0
пенсию по инвалидности	3544.0	-	1933.0	1611.0
пособие (кроме пособия по безработице)	134.0	5.0	110.0	18.0
пособие по безработице	1021.0	-	1021.0	-
другой вид государственного обеспечения	68.0	1.0	58.0	9.0
сбережения	186.0	-	183.0	3.0
доход от сдачи внаем или в аренду имущества	29.0	1.0	28.0	-
на иждивении отдельных лиц	8356.0	250.0	8086.0	18.0
иной источник	2248.0	-	2228.0	20.0
Указавшие два источника средств к существованию	51503.0	493.0	17605.0	33402.0
Указавшие три и более источника средств к существованию	3206.0	70.0	1604.0	1532.0
Нижегородская область				
Население частных домохозяйств, состоящих из одного человека	331004.0	791.0	108876.0	221243.0
из них указали один источник средств к существованию	257414.0	443.0	92685.0	164220.0
в том числе:				
доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	69292.0	5.0	67213.0	2019.0
личное подсобное хозяйство	2118.0	-	1860.0	257.0
стипендию	341.0	10.0	331.0	-
пенсию (кроме пенсии по инвалидности)	158497.0	5.0	3647.0	154838.0
пенсию по инвалидности	11723.0	3.0	4810.0	6910.0
пособие (кроме пособия по безработице)	169.0	9.0	128.0	32.0
пособие по безработице	814.0	-	814.0	-
другой вид государственного обеспечения	148.0	10.0	112.0	26.0
сбережения	386.0	-	378.0	8.0
доход от сдачи внаем или в аренду имущества	77.0	-	75.0	2.0
на иждивении отдельных лиц	8626.0	398.0	8164.0	62.0
иной источник	5223.0	3.0	5153.0	66.0
Указавшие два источника средств к существованию	70878.0	308.0	15440.0	55126.0
Указавшие три и более источника средств к существованию	2654.0	38.0	729.0	1887.0
Оренбургская область				
Население частных домохозяйств, состоящих из одного человека	159373.0	1000.0	62371.0	95606.0
