11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА В  ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ						
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС						
						
	Мужчины и женщины		Мужчины		Женщины	
 Все население	628.0	100.0	271.0	100.0	357.0	100.0
Экономически активные	439.0	69.9	200.0	73.8	239.0	67.0
в том числе:						
занятые в экономике	392.0	62.4	175.0	64.6	217.0	60.8
безработные	47.0	7.5	25.0	9.2	22.0	6.2
Экономически неактивные	170.0	27.1	66.0	24.4	104.0	29.1
 Не указавшие экономическую активность	19.0	3.0	5.0	1.8	14.0	3.9
Чукотский автономный округ						
 Все население	622.0	100.0	270.0	100.0	352.0	100.0
Экономически активные	437.0	70.3	200.0	74.1	237.0	67.3
в том числе:						
занятые в экономике	391.0	62.9	175.0	64.8	216.0	61.3
безработные	46.0	7.4	25.0	9.3	21.0	6.0
Экономически неактивные	166.0	26.7	65.0	24.1	101.0	28.7
 Не указавшие экономическую активность	19.0	3.0	5.0	1.8	14.0	4.0
Магаданская область						
 Все население	6.0	100.0	1.0	100.0	5.0	100.0
Экономически активные	2.0	33.3	-	-	2.0	40.0
в том числе:						
занятые в экономике	1.0	16.6	-	-	1.0	20.0
безработные	1.0	16.7	-	-	1.0	20.0
Экономически неактивные	4.0	66.7	1.0	100.0	3.0	60.0
 Не указавшие экономическую активность	-	-	-	-	-	-
ЧУКЧИ						
Территории преимущественного проживания КМНС						
 Все население	9106.0	100.0	4147.0	100.0	4959.0	100.0
Экономически активные	6380.0	70.1	3029.0	73.1	3351.0	67.6
в том числе:						
занятые в экономике	5017.0	55.1	2369.0	57.2	2648.0	53.4
безработные	1363.0	15.0	660.0	15.9	703.0	14.2
Экономически неактивные	2356.0	25.9	947.0	22.8	1409.0	28.4
 Не указавшие экономическую активность	370.0	4.0	171.0	4.1	199.0	4.0
Чукотский автономный округ						
 Все население	8157.0	100.0	3723.0	100.0	4434.0	100.0
Экономически активные	5699.0	69.9	2721.0	73.1	2978.0	67.1
в том числе:						
занятые в экономике	4683.0	57.4	2260.0	60.7	2423.0	54.6
безработные	1016.0	12.5	461.0	12.4	555.0	12.5
Экономически неактивные	2089.0	25.6	831.0	22.3	1258.0	28.4
 Не указавшие экономическую активность	369.0	4.5	171.0	4.6	198.0	4.5
Корякский автономный округ						
 Все население	949.0	100.0	424.0	100.0	525.0	100.0
Экономически активные	681.0	71.8	308.0	72.6	373.0	71.0
в том числе:						
занятые в экономике	334.0	35.2	109.0	25.7	225.0	42.8
безработные	347.0	36.6	199.0	46.9	148.0	28.2
Экономически неактивные	267.0	28.1	116.0	27.4	151.0	28.8
 Не указавшие экономическую активность	1.0	0.1	-	-	1.0	0.2
ШОРЦЫ						
Территории преимущественного проживания КМНС						
 Все население	1831.0	100.0	940.0	100.0	891.0	100.0
Экономически активные	854.0	46.6	489.0	52.0	365.0	41.0
в том числе:						
занятые в экономике	554.0	30.2	359.0	38.2	195.0	21.9
безработные	300.0	16.4	130.0	13.8	170.0	19.1
Экономически неактивные	882.0	48.2	417.0	44.4	465.0	52.2
 Не указавшие экономическую активность	95.0	5.2	34.0	3.6	61.0	6.8
Кемеровская область						
 Все население	1623.0	100.0	847.0	100.0	776.0	100.0
Экономически активные	792.0	48.8	449.0	53.0	343.0	44.2
в том числе:						
занятые в экономике	507.0	31.2	324.0	38.2	183.0	23.6
безработные	285.0	17.6	125.0	14.8	160.0	20.6
Экономически неактивные	825.0	50.8	395.0	46.6	430.0	55.4
 Не указавшие экономическую активность	6.0	0.4	3.0	0.4	3.0	0.4
Республика Хакасия						
 Все население	153.0	100.0	67.0	100.0	86.0	100.0
Экономически активные	37.0	24.2	27.0	40.3	10.0	11.6
в том числе:						
занятые в экономике	30.0	19.6	24.0	35.8	6.0	7.0
безработные	7.0	4.6	3.0	4.5	4.0	4.6
Экономически неактивные	27.0	17.6	9.0	13.4	18.0	20.9
 Не указавшие экономическую активность	89.0	58.2	31.0	46.3	58.0	67.5
Республика Алтай						
 Все население	55.0	100.0	26.0	100.0	29.0	100.0
Экономически активные	25.0	45.5	13.0	50.0	12.0	41.4
в том числе:						
занятые в экономике	17.0	30.9	11.0	42.3	6.0	20.7
безработные	8.0	14.6	2.0	7.7	6.0	20.7
Экономически неактивные	30.0	54.5	13.0	50.0	17.0	58.6
 Не указавшие экономическую активность	-	-	-	-	-	-
ЭВЕНКИ						
Территории преимущественного проживания КМНС						
 Все население	15739.0	100.0	7455.0	100.0	8284.0	100.0
Экономически активные	9660.0	61.4	4537.0	60.9	5123.0	61.8
в том числе:						
занятые в экономике	7694.0	48.9	3573.0	47.9	4121.0	49.7
безработные	1966.0	12.5	964.0	13.0	1002.0	12.1
Экономически неактивные	5975.0	38.0	2873.0	38.5	3102.0	37.5
 Не указавшие экономическую активность	104.0	0.6	45.0	0.6	59.0	0.7
Республика Саха (Якутия)						
 Все население	7335.0	100.0	3621.0	100.0	3714.0	100.0
Экономически активные	4742.0	64.6	2339.0	64.6	2403.0	64.7
в том числе:						
занятые в экономике	3968.0	54.1	1924.0	53.1	2044.0	55.0
безработные	774.0	10.5	415.0	11.5	359.0	9.7
Экономически неактивные	2537.0	34.6	1254.0	34.6	1283.0	34.5
 Не указавшие экономическую активность	56.0	0.8	28.0	0.8	28.0	0.8
Красноярский край						
 Все население	2698.0	100.0	1169.0	100.0	1529.0	100.0
Экономически активные	1653.0	61.3	700.0	59.9	953.0	62.3
в том числе:						
занятые в экономике	1237.0	45.9	478.0	40.9	759.0	49.6
безработные	416.0	15.4	222.0	19.0	194.0	12.7
Экономически неактивные	1033.0	38.3	466.0	39.9	567.0	37.1
 Не указавшие экономическую активность	12.0	0.4	3.0	0.2	9.0	0.6
Эвенкийский автономный округ						
 Все население	2378.0	100.0	1024.0	100.0	1354.0	100.0
Экономически активные	1459.0	61.4	601.0	58.7	858.0	63.4
в том числе:						
занятые в экономике	1091.0	45.9	402.0	39.3	689.0	50.9
безработные	368.0	15.5	199.0	19.4	169.0	12.5
Экономически неактивные	918.0	38.6	422.0	41.2	496.0	36.6
 Не указавшие экономическую активность	1.0	0.0	1.0	0.1	-	-
Хабаровский край						
 Все население	2510.0	100.0	1113.0	100.0	1397.0	100.0
Экономически активные	1489.0	59.3	603.0	54.2	886.0	63.4
в том числе:						
занятые в экономике	1106.0	44.1	467.0	42.0	639.0	45.7
безработные	383.0	15.2	136.0	12.2	247.0	17.7
Экономически неактивные	1009.0	40.2	504.0	45.3	505.0	36.2
 Не указавшие экономическую активность	12.0	0.5	6.0	0.5	6.0	0.4
Республика Бурятия						
 Все население	922.0	100.0	472.0	100.0	450.0	100.0
Экономически активные	480.0	52.1	241.0	51.1	239.0	53.1
в том числе:						
занятые в экономике	341.0	37.0	166.0	35.2	175.0	38.9
безработные	139.0	15.1	75.0	15.9	64.0	14.2
Экономически неактивные	441.0	47.8	231.0	48.9	210.0	46.7
 Не указавшие экономическую активность	1.0	0.1	-	-	1.0	0.2
Амурская область						
 Все население	805.0	100.0	380.0	100.0	425.0	100.0
Экономически активные	499.0	62.0	247.0	65.0	252.0	59.3
в том числе:						
занятые в экономике	417.0	51.8	208.0	54.7	209.0	49.2
безработные	82.0	10.2	39.0	10.3	43.0	10.1
Экономически неактивные	303.0	37.6	131.0	34.5	172.0	40.5
 Не указавшие экономическую активность	3.0	0.4	2.0	0.5	1.0	0.2
Читинская область						
 Все население	631.0	100.0	290.0	100.0	341.0	100.0
Экономически активные	347.0	55.0	162.0	55.9	185.0	54.2
в том числе:						
занятые в экономике	277.0	43.9	137.0	47.3	140.0	41.0
безработные	70.0	11.1	25.0	8.6	45.0	13.2
Экономически неактивные	276.0	43.7	124.0	42.7	152.0	44.6
 Не указавшие экономическую активность	8.0	1.3	4.0	1.4	4.0	1.2
Иркутская область						
 Все население	578.0	100.0	296.0	100.0	282.0	100.0
Экономически активные	301.0	52.1	177.0	59.8	124.0	44.0
в том числе:						
занятые в экономике	255.0	44.1	154.0	52.0	101.0	35.8
безработные	46.0	8.0	23.0	7.8	23.0	8.2
Экономически неактивные	265.0	45.8	117.0	39.5	148.0	52.5
 Не указавшие экономическую активность	12.0	2.1	2.0	0.7	10.0	3.5
Сахалинская область						
 Все население	146.0	100.0	56.0	100.0	90.0	100.0
Экономически активные	83.0	56.8	30.0	53.6	53.0	58.9
в том числе:						
занятые в экономике	54.0	37.0	14.0	25.0	40.0	44.5
безработные	29.0	19.8	16.0	28.6	13.0	14.4
Экономически неактивные	63.0	43.2	26.0	46.4	37.0	41.1
 Не указавшие экономическую активность	-	-	-	-	-	-
Томская область						
 Все население	59.0	100.0	28.0	100.0	31.0	100.0
Экономически активные	30.0	50.8	15.0	53.6	15.0	48.4
в том числе:						
занятые в экономике	15.0	25.4	10.0	35.7	5.0	16.1
безработные	15.0	25.4	5.0	17.9	10.0	32.3
Экономически неактивные	29.0	49.2	13.0	46.4	16.0	51.6
 Не указавшие экономическую активность	-	-	-	-	-	-
Тюменская область						
 Все население	55.0	100.0	30.0	100.0	25.0	100.0
Экономически активные	36.0	65.5	23.0	76.7	13.0	52.0
в том числе:						
занятые в экономике	24.0	43.7	15.0	50.0	9.0	36.0
безработные	12.0	21.8	8.0	26.7	4.0	16.0
Экономически неактивные	19.0	34.5	7.0	23.3	12.0	48.0
 Не указавшие экономическую активность	-	-	-	-	-	-
ЭВЕНЫ						
Территории преимущественного проживания КМНС						
 Все население	8213.0	100.0	3671.0	100.0	4542.0	100.0
Экономически активные	5340.0	65.0	2352.0	64.1	2988.0	65.8
в том числе:						
занятые в экономике	4268.0	52.0	1860.0	50.7	2408.0	53.0
безработные	1072.0	13.0	492.0	13.4	580.0	12.8
Экономически неактивные	2811.0	34.2	1294.0	35.2	1517.0	33.4
 Не указавшие экономическую активность	62.0	0.8	25.0	0.7	37.0	0.8
Республика Саха (Якутия)						
 Все население	4241.0	100.0	1892.0	100.0	2349.0	100.0
Экономически активные	2936.0	69.2	1334.0	70.5	1602.0	68.2
в том числе:						
занятые в экономике	2544.0	60.0	1147.0	60.6	1397.0	59.5
безработные	392.0	9.2	187.0	9.9	205.0	8.7
Экономически неактивные	1283.0	30.3	550.0	29.1	733.0	31.2
 Не указавшие экономическую активность	22.0	0.5	8.0	0.4	14.0	0.6
Магаданская область						
 Все население	1368.0	100.0	608.0	100.0	760.0	100.0
Экономически активные	877.0	64.1	374.0	61.5	503.0	66.2
в том числе:						
занятые в экономике	569.0	41.6	243.0	40.0	326.0	42.9
безработные	308.0	22.5	131.0	21.5	177.0	23.3
Экономически неактивные	491.0	35.9	234.0	38.5	257.0	33.8
 Не указавшие экономическую активность	-	-	-	-	-	-
Камчатская область						
 Все население	995.0	100.0	454.0	100.0	541.0	100.0
Экономически активные	636.0	63.9	260.0	57.3	376.0	69.5
в том числе:						
занятые в экономике	457.0	45.9	166.0	36.6	291.0	53.8
безработные	179.0	18.0	94.0	20.7	85.0	15.7
Экономически неактивные	356.0	35.8	194.0	42.7	162.0	29.9
 Не указавшие экономическую активность	3.0	0.3	-	-	3.0	0.6
Корякский автономный округ						
 Все население	485.0	100.0	218.0	100.0	267.0	100.0
Экономически активные	329.0	67.8	140.0	64.2	189.0	70.8
в том числе:						
занятые в экономике	232.0	47.8	77.0	35.3	155.0	58.1
безработные	97.0	20.0	63.0	28.9	34.0	12.7
Экономически неактивные	154.0	31.8	78.0	35.8	76.0	28.5
 Не указавшие экономическую активность	2.0	0.4	-	-	2.0	0.7
Чукотский автономный округ						
 Все население	914.0	100.0	406.0	100.0	508.0	100.0
Экономически активные	553.0	60.5	239.0	58.9	314.0	61.8
в том числе:						
занятые в экономике	459.0	50.2	194.0	47.8	265.0	52.2
безработные	94.0	10.3	45.0	11.1	49.0	9.6
Экономически неактивные	338.0	37.0	157.0	38.7	181.0	35.6
 Не указавшие экономическую активность	23.0	2.5	10.0	2.4	13.0	2.6
Хабаровский край						
 Все население	695.0	100.0	311.0	100.0	384.0	100.0
Экономически активные	338.0	48.6	145.0	46.6	193.0	50.3
в том числе:						
занятые в экономике	239.0	34.4	110.0	35.4	129.0	33.6
безработные	99.0	14.2	35.0	11.2	64.0	16.7
Экономически неактивные	343.0	49.4	159.0	51.1	184.0	47.9
 Не указавшие экономическую активность	14.0	2.0	7.0	2.3	7.0	1.8
ЭНЦЫ						
Таймырский (Долгано-Ненецкий) автономный округ						
 Все население	136.0	100.0	65.0	100.0	71.0	100.0
Экономически активные	90.0	66.2	43.0	66.2	47.0	66.2
в том числе:						
занятые в экономике	63.0	46.3	28.0	43.1	35.0	49.3
безработные	27.0	19.9	15.0	23.1	12.0	16.9
Экономически неактивные	46.0	33.8	22.0	33.8	24.0	33.8
 Не указавшие экономическую активность	-	-	-	-	-	-
ЭСКИМОСЫ						
Чукотский автономный округ						
 Все население	1035.0	100.0	481.0	100.0	554.0	100.0
Экономически активные	722.0	69.8	339.0	70.5	383.0	69.1
в том числе:						
занятые в экономике	562.0	54.3	269.0	55.9	293.0	52.9
безработные	160.0	15.5	70.0	14.6	90.0	16.2
Экономически неактивные	249.0	24.0	114.0	23.7	135.0	24.4
 Не указавшие экономическую активность	64.0	6.2	28.0	5.8	36.0	6.5
ЮКАГИРЫ						
Территории преимущественного проживания КМНС						
 Все население	460.0	100.0	216.0	100.0	244.0	100.0
Экономически активные	330.0	71.7	168.0	77.8	162.0	66.4
в том числе:						
занятые в экономике	291.0	63.2	151.0	69.9	140.0	57.4
безработные	39.0	8.5	17.0	7.9	22.0	9.0
Экономически неактивные	130.0	28.3	48.0	22.2	82.0	33.6
 Не указавшие экономическую активность	-	-	-	-	-	-
Республика Саха (Якутия)						
 Все население	427.0	100.0	200.0	100.0	227.0	100.0
Экономически активные	310.0	72.6	159.0	79.5	151.0	66.5
в том числе:						
занятые в экономике	273.0	63.9	143.0	71.5	130.0	57.3
безработные	37.0	8.7	16.0	8.0	21.0	9.2
Экономически неактивные	117.0	27.4	41.0	20.5	76.0	33.5
 Не указавшие экономическую активность	-	-	-	-	-	-
Магаданская область						
 Все население	33.0	100.0	16.0	100.0	17.0	100.0
Экономически активные	20.0	60.6	9.0	56.2	11.0	64.7
в том числе:						
занятые в экономике	18.0	54.5	8.0	50.0	10.0	58.8
безработные	2.0	6.1	1.0	6.2	1.0	5.9
Экономически неактивные	13.0	39.4	7.0	43.8	6.0	35.3
 Не указавшие экономическую активность	-	-	-	-	-	-
