4. ДЕТИ В ВОЗРАСТЕ 3-9 ЛЕТ ПО ОБУЧЕНИЮ В ДОШКОЛЬНЫХ И ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
					
	Всего	в том числе дети		На 1000 детей     соответствующего  возраста	
4.0	10098.0	8510.0	1440.0	843.0	142.0
5.0	10125.0	8549.0	1415.0	844.0	140.0
6.0	10437.0	9203.0	1106.0	882.0	106.0
7.0	11269.0	10972.0	186.0	974.0	16.0
8.0	11244.0	11077.0	71.0	985.0	6.0
9.0	11079.0	10897.0	66.0	983.0	6.0
Городское население					
Дети в возрасте 3-9 лет	59024.0	54889.0	3299.0	930.0	56.0
в том числе в возрасте, лет:					
3.0	7892.0	6725.0	1002.0	852.0	127.0
4.0	8109.0	7225.0	751.0	891.0	93.0
5.0	8144.0	7254.0	747.0	891.0	92.0
6.0	8330.0	7637.0	581.0	917.0	70.0
7.0	8938.0	8729.0	114.0	976.0	13.0
8.0	8852.0	8711.0	53.0	984.0	6.0
9.0	8759.0	8608.0	51.0	983.0	6.0
Сельское население					
Дети в возрасте 3-9 лет	15027.0	12244.0	2672.0	815.0	178.0
в том числе в возрасте, лет:					
3.0	1907.0	1200.0	685.0	629.0	359.0
4.0	1989.0	1285.0	689.0	646.0	346.0
5.0	1981.0	1295.0	668.0	654.0	337.0
6.0	2107.0	1566.0	525.0	743.0	249.0
7.0	2331.0	2243.0	72.0	962.0	31.0
8.0	2392.0	2366.0	18.0	989.0	8.0
9.0	2320.0	2289.0	15.0	987.0	6.0
г. Москва					
Городское население					
Дети в возрасте 3-9 лет	506310.0	416461.0	51877.0	822.0	103.0
в том числе в возрасте, лет:					
3.0	72147.0	44663.0	19935.0	619.0	276.0
4.0	72384.0	53198.0	12688.0	735.0	175.0
5.0	72105.0	55068.0	10019.0	764.0	139.0
6.0	72374.0	60518.0	6477.0	836.0	90.0
7.0	74468.0	69077.0	1319.0	927.0	18.0
8.0	71981.0	67468.0	824.0	937.0	12.0
9.0	70851.0	66469.0	615.0	938.0	9.0
Северо-Западный федеральный округ					
Все население					
Дети в возрасте 3-9 лет	785018.0	685554.0	70311.0	873.0	90.0
в том числе в возрасте, лет:					
3.0	104388.0	77217.0	21852.0	740.0	209.0
4.0	108057.0	85019.0	18333.0	787.0	170.0
5.0	107317.0	86184.0	16153.0	803.0	151.0
6.0	109121.0	93181.0	11528.0	854.0	106.0
7.0	116584.0	111629.0	1490.0	957.0	13.0
8.0	118409.0	114736.0	540.0	969.0	5.0
9.0	121142.0	117588.0	415.0	971.0	3.0
Городское население					
Дети в возрасте 3-9 лет	630566.0	560305.0	42565.0	889.0	68.0
в том числе в возрасте, лет:					
3.0	84310.0	64999.0	14284.0	771.0	169.0
4.0	87318.0	71873.0	10984.0	823.0	126.0
5.0	86555.0	72697.0	9154.0	840.0	106.0
6.0	87738.0	77089.0	6506.0	879.0	74.0
7.0	93960.0	89622.0	992.0	954.0	11.0
8.0	94514.0	91123.0	373.0	964.0	4.0
9.0	96171.0	92902.0	272.0	966.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	154452.0	125249.0	27746.0	811.0	180.0
в том числе в возрасте, лет:					
3.0	20078.0	12218.0	7568.0	609.0	377.0
4.0	20739.0	13146.0	7349.0	634.0	354.0
5.0	20762.0	13487.0	6999.0	650.0	337.0
6.0	21383.0	16092.0	5022.0	753.0	235.0
7.0	22624.0	22007.0	498.0	973.0	22.0
8.0	23895.0	23613.0	167.0	988.0	7.0
9.0	24971.0	24686.0	143.0	989.0	6.0
Республика Карелия					
Все население					
Дети в возрасте 3-9 лет	44034.0	40012.0	3595.0	908.0	82.0
в том числе в возрасте, лет:					
3.0	5953.0	4802.0	1067.0	807.0	179.0
4.0	6026.0	5022.0	934.0	833.0	155.0
5.0	6049.0	5092.0	881.0	842.0	146.0
6.0	6183.0	5521.0	606.0	893.0	98.0
7.0	6576.0	6455.0	63.0	982.0	9.0
8.0	6423.0	6360.0	26.0	990.0	4.0
9.0	6824.0	6760.0	18.0	990.0	3.0
Городское население					
Дети в возрасте 3-9 лет	32957.0	30790.0	1789.0	934.0	54.0
в том числе в возрасте, лет:					
3.0	4439.0	3831.0	530.0	863.0	119.0
4.0	4573.0	4030.0	483.0	881.0	106.0
5.0	4551.0	4048.0	438.0	890.0	96.0
6.0	4612.0	4281.0	283.0	929.0	61.0
7.0	4962.0	4875.0	36.0	983.0	7.0
8.0	4724.0	4677.0	13.0	990.0	3.0
9.0	5096.0	5048.0	6.0	991.0	1.0
Сельское население					
Дети в возрасте 3-9 лет	11077.0	9222.0	1806.0	833.0	163.0
в том числе в возрасте, лет:					
3.0	1514.0	971.0	537.0	641.0	355.0
4.0	1453.0	992.0	451.0	683.0	310.0
5.0	1498.0	1044.0	443.0	697.0	296.0
6.0	1571.0	1240.0	323.0	789.0	206.0
7.0	1614.0	1580.0	27.0	979.0	17.0
8.0	1699.0	1683.0	13.0	990.0	8.0
9.0	1728.0	1712.0	12.0	991.0	7.0
Республика Коми					
Все население					
Дети в возрасте 3-9 лет	72143.0	66189.0	5336.0	917.0	74.0
в том числе в возрасте, лет:					
3.0	9646.0	7980.0	1539.0	827.0	160.0
4.0	10125.0	8658.0	1373.0	855.0	136.0
5.0	9745.0	8405.0	1242.0	863.0	127.0
6.0	10085.0	8979.0	984.0	890.0	98.0
7.0	10404.0	10226.0	113.0	983.0	11.0
8.0	10980.0	10880.0	46.0	991.0	4.0
9.0	11158.0	11061.0	39.0	992.0	3.0
Городское население					
Дети в возрасте 3-9 лет	53409.0	49591.0	3282.0	929.0	61.0
в том числе в возрасте, лет:					
3.0	7208.0	6137.0	964.0	851.0	134.0
4.0	7601.0	6670.0	847.0	878.0	111.0
5.0	7375.0	6561.0	728.0	889.0	99.0
6.0	7558.0	6857.0	598.0	907.0	79.0
7.0	7654.0	7511.0	82.0	981.0	11.0
8.0	7952.0	7872.0	34.0	990.0	4.0
9.0	8061.0	7983.0	29.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	18734.0	16598.0	2054.0	886.0	110.0
в том числе в возрасте, лет:					
3.0	2438.0	1843.0	575.0	756.0	236.0
4.0	2524.0	1988.0	526.0	788.0	208.0
5.0	2370.0	1844.0	514.0	778.0	217.0
6.0	2527.0	2122.0	386.0	839.0	153.0
7.0	2750.0	2715.0	31.0	987.0	11.0
8.0	3028.0	3008.0	12.0	993.0	4.0
9.0	3097.0	3078.0	10.0	994.0	3.0
Архангельская область					
Все население					
Дети в возрасте 3-9 лет	86133.0	78403.0	7260.0	911.0	84.0
в том числе в возрасте, лет:					
3.0	11489.0	9251.0	2117.0	805.0	184.0
4.0	12286.0	10237.0	1973.0	833.0	161.0
5.0	11756.0	10024.0	1656.0	853.0	141.0
6.0	12025.0	10681.0	1272.0	888.0	106.0
7.0	12527.0	12347.0	144.0	986.0	11.0
8.0	12882.0	12789.0	53.0	993.0	4.0
9.0	13168.0	13074.0	45.0	993.0	3.0
Городское население					
Дети в возрасте 3-9 лет	62982.0	59024.0	3576.0	937.0	57.0
в том числе в возрасте, лет:					
3.0	8465.0	7296.0	1070.0	862.0	126.0
4.0	9150.0	8136.0	956.0	889.0	105.0
5.0	8676.0	7833.0	785.0	903.0	90.0
6.0	8907.0	8240.0	610.0	925.0	69.0
7.0	9164.0	9047.0	87.0	987.0	10.0
8.0	9293.0	9214.0	41.0	992.0	4.0
9.0	9327.0	9258.0	27.0	993.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	23151.0	19379.0	3684.0	837.0	159.0
в том числе в возрасте, лет:					
3.0	3024.0	1955.0	1047.0	647.0	346.0
4.0	3136.0	2101.0	1017.0	670.0	324.0
5.0	3080.0	2191.0	871.0	711.0	283.0
6.0	3118.0	2441.0	662.0	783.0	212.0
7.0	3363.0	3300.0	57.0	981.0	17.0
8.0	3589.0	3575.0	12.0	996.0	3.0
9.0	3841.0	3816.0	18.0	994.0	4.0
Ненецкий автономный округ					
Все население					
Дети в возрасте 3-9 лет	3897.0	3544.0	289.0	910.0	74.0
в том числе в возрасте, лет:					
3.0	531.0	441.0	77.0	831.0	145.0
4.0	559.0	483.0	68.0	864.0	122.0
5.0	542.0	466.0	67.0	860.0	124.0
6.0	542.0	476.0	56.0	879.0	103.0
7.0	565.0	547.0	12.0	968.0	21.0
8.0	583.0	567.0	7.0	973.0	12.0
9.0	575.0	564.0	2.0	981.0	3.0
Городское население					
Дети в возрасте 3-9 лет	2264.0	2124.0	80.0	938.0	35.0
в том числе в возрасте, лет:					
3.0	306.0	270.0	24.0	882.0	79.0
4.0	323.0	303.0	13.0	938.0	40.0
5.0	311.0	286.0	16.0	920.0	51.0
6.0	313.0	291.0	14.0	930.0	45.0
7.0	343.0	332.0	5.0	968.0	15.0
8.0	340.0	325.0	6.0	956.0	18.0
9.0	328.0	317.0	2.0	967.0	6.0
Сельское население					
Дети в возрасте 3-9 лет	1633.0	1420.0	209.0	870.0	128.0
в том числе в возрасте, лет:					
3.0	225.0	171.0	53.0	760.0	236.0
4.0	236.0	180.0	55.0	763.0	233.0
5.0	231.0	180.0	51.0	779.0	221.0
6.0	229.0	185.0	42.0	808.0	183.0
7.0	222.0	215.0	7.0	968.0	32.0
8.0	243.0	242.0	1.0	996.0	4.0
9.0	247.0	247.0	-	1000.0	-
Вологодская область					
Все население					
Дети в возрасте 3-9 лет	78340.0	71490.0	5885.0	913.0	75.0
в том числе в возрасте, лет:					
3.0	10425.0	8632.0	1581.0	828.0	152.0
4.0	10582.0	8897.0	1502.0	841.0	142.0
5.0	10682.0	9106.0	1408.0	852.0	132.0
6.0	11120.0	9895.0	1086.0	890.0	98.0
7.0	11429.0	11171.0	173.0	978.0	15.0
8.0	11810.0	11650.0	73.0	987.0	6.0
9.0	12292.0	12139.0	62.0	988.0	5.0
Городское население					
Дети в возрасте 3-9 лет	53418.0	50241.0	2339.0	940.0	44.0
в том числе в возрасте, лет:					
3.0	7343.0	6485.0	674.0	883.0	92.0
4.0	7412.0	6679.0	573.0	901.0	77.0
5.0	7321.0	6672.0	501.0	911.0	69.0
6.0	7607.0	7064.0	421.0	929.0	55.0
7.0	7769.0	7597.0	96.0	978.0	12.0
8.0	7876.0	7756.0	44.0	984.0	6.0
9.0	8090.0	7988.0	30.0	987.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	24922.0	21249.0	3546.0	853.0	142.0
в том числе в возрасте, лет:					
3.0	3082.0	2147.0	907.0	697.0	294.0
4.0	3170.0	2218.0	929.0	700.0	293.0
5.0	3361.0	2434.0	907.0	724.0	270.0
6.0	3513.0	2831.0	665.0	806.0	189.0
7.0	3660.0	3574.0	77.0	977.0	21.0
8.0	3934.0	3894.0	29.0	990.0	7.0
9.0	4202.0	4151.0	32.0	988.0	8.0
Калининградская область					
Все население					
Дети в возрасте 3-9 лет	58113.0	47797.0	9245.0	823.0	159.0
в том числе в возрасте, лет:					
3.0	7707.0	4756.0	2708.0	617.0	351.0
4.0	7839.0	5274.0	2394.0	673.0	305.0
5.0	7705.0	5238.0	2279.0	680.0	296.0
6.0	7883.0	6048.0	1642.0	767.0	208.0
7.0	8584.0	8358.0	132.0	974.0	15.0
8.0	9020.0	8881.0	49.0	985.0	5.0
9.0	9375.0	9242.0	41.0	986.0	4.0
Городское население					
Дети в возрасте 3-9 лет	41611.0	36558.0	4158.0	879.0	100.0
в том числе в возрасте, лет:					
3.0	5559.0	4005.0	1347.0	721.0	242.0
4.0	5558.0	4368.0	1049.0	786.0	189.0
5.0	5414.0	4336.0	932.0	801.0	172.0
6.0	5699.0	4818.0	727.0	845.0	128.0
7.0	6168.0	6019.0	66.0	976.0	11.0
8.0	6475.0	6374.0	19.0	984.0	3.0
9.0	6738.0	6638.0	18.0	985.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	16502.0	11239.0	5087.0	681.0	308.0
в том числе в возрасте, лет:					
3.0	2148.0	751.0	1361.0	350.0	633.0
4.0	2281.0	906.0	1345.0	397.0	590.0
5.0	2291.0	902.0	1347.0	394.0	588.0
6.0	2184.0	1230.0	915.0	563.0	419.0
7.0	2416.0	2339.0	66.0	968.0	27.0
8.0	2545.0	2507.0	30.0	985.0	12.0
9.0	2637.0	2604.0	23.0	987.0	9.0
Ленинградская область					
Все население					
Дети в возрасте 3-9 лет	90558.0	77619.0	9758.0	857.0	108.0
в том числе в возрасте, лет:					
3.0	12050.0	8586.0	2894.0	713.0	240.0
4.0	12412.0	9334.0	2565.0	752.0	207.0
5.0	12489.0	9577.0	2338.0	767.0	187.0
6.0	12484.0	10335.0	1650.0	828.0	132.0
7.0	13586.0	13020.0	209.0	958.0	16.0
8.0	13540.0	13129.0	64.0	969.0	5.0
9.0	13997.0	13638.0	38.0	974.0	3.0
Городское население					
Дети в возрасте 3-9 лет	60493.0	52980.0	4986.0	876.0	82.0
в том числе в возрасте, лет:					
3.0	8045.0	6024.0	1578.0	749.0	196.0
4.0	8310.0	6587.0	1319.0	793.0	159.0
5.0	8370.0	6785.0	1132.0	811.0	135.0
6.0	8230.0	7055.0	789.0	857.0	96.0
7.0	9186.0	8778.0	110.0	956.0	12.0
8.0	8999.0	8680.0	35.0	965.0	4.0
9.0	9353.0	9071.0	23.0	970.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	30065.0	24639.0	4772.0	819.0	159.0
в том числе в возрасте, лет:					
3.0	4005.0	2562.0	1316.0	640.0	328.0
4.0	4102.0	2747.0	1246.0	670.0	304.0
5.0	4119.0	2792.0	1206.0	678.0	293.0
6.0	4254.0	3280.0	861.0	771.0	202.0
7.0	4400.0	4242.0	99.0	964.0	23.0
8.0	4541.0	4449.0	29.0	980.0	6.0
9.0	4644.0	4567.0	15.0	984.0	3.0
Мурманская область					
Все население					
Дети в возрасте 3-9 лет	56627.0	52336.0	3587.0	925.0	63.0
в том числе в возрасте, лет:					
3.0	7689.0	6292.0	1260.0	818.0	164.0
4.0	7952.0	6910.0	925.0	869.0	116.0
5.0	7817.0	6897.0	806.0	882.0	103.0
6.0	7973.0	7352.0	490.0	922.0	62.0
7.0	8275.0	8136.0	68.0	983.0	8.0
8.0	8538.0	8448.0	22.0	989.0	3.0
9.0	8383.0	8301.0	16.0	990.0	2.0
Городское население					
Дети в возрасте 3-9 лет	51688.0	48042.0	2983.0	929.0	58.0
в том числе в возрасте, лет:					
3.0	6981.0	5788.0	1069.0	829.0	153.0
4.0	7267.0	6383.0	774.0	878.0	107.0
5.0	7137.0	6366.0	664.0	892.0	93.0
6.0	7307.0	6787.0	391.0	928.0	54.0
7.0	7569.0	7454.0	48.0	985.0	6.0
8.0	7764.0	7679.0	21.0	989.0	3.0
9.0	7663.0	7585.0	16.0	990.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	4939.0	4294.0	604.0	869.0	122.0
в том числе в возрасте, лет:					
3.0	708.0	504.0	191.0	712.0	270.0
4.0	685.0	527.0	151.0	769.0	221.0
5.0	680.0	531.0	142.0	781.0	209.0
6.0	666.0	565.0	99.0	848.0	149.0
7.0	706.0	682.0	20.0	966.0	28.0
8.0	774.0	769.0	1.0	994.0	1.0
9.0	720.0	716.0	-	994.0	-
Новгородская область					
Все население					
Дети в возрасте 3-9 лет	39441.0	35041.0	3807.0	889.0	96.0
в том числе в возрасте, лет:					
3.0	5180.0	3946.0	1105.0	762.0	213.0
4.0	5521.0	4387.0	1033.0	795.0	187.0
5.0	5340.0	4380.0	865.0	820.0	162.0
6.0	5474.0	4752.0	639.0	868.0	117.0
7.0	5853.0	5699.0	93.0	973.0	16.0
8.0	5980.0	5889.0	33.0	985.0	5.0
9.0	6093.0	5988.0	39.0	983.0	6.0
Городское население					
Дети в возрасте 3-9 лет	27936.0	25599.0	1835.0	916.0	66.0
в том числе в возрасте, лет:					
3.0	3708.0	3032.0	562.0	818.0	151.0
4.0	3954.0	3352.0	513.0	848.0	130.0
5.0	3828.0	3343.0	405.0	873.0	106.0
6.0	3886.0	3544.0	278.0	912.0	72.0
7.0	4102.0	4002.0	47.0	976.0	11.0
8.0	4202.0	4142.0	12.0	985.0	3.0
9.0	4256.0	4184.0	18.0	983.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	11505.0	9442.0	1972.0	821.0	171.0
в том числе в возрасте, лет:					
3.0	1472.0	914.0	543.0	621.0	369.0
4.0	1567.0	1035.0	520.0	660.0	332.0
5.0	1512.0	1037.0	460.0	686.0	304.0
6.0	1588.0	1208.0	361.0	761.0	227.0
7.0	1751.0	1697.0	46.0	969.0	26.0
8.0	1778.0	1747.0	21.0	982.0	12.0
9.0	1837.0	1804.0	21.0	982.0	11.0
Псковская область					
Все население					
Дети в возрасте 3-9 лет	42351.0	34782.0	6992.0	821.0	165.0
в том числе в возрасте, лет:					
3.0	5419.0	3394.0	1918.0	626.0	354.0
4.0	5747.0	3753.0	1899.0	653.0	330.0
5.0	5791.0	3906.0	1767.0	675.0	305.0
6.0	6029.0	4697.0	1209.0	779.0	201.0
7.0	6175.0	6001.0	132.0	972.0	21.0
8.0	6362.0	6275.0	44.0	986.0	7.0
9.0	6828.0	6756.0	23.0	990.0	3.0
Городское население					
Дети в возрасте 3-9 лет	28794.0	25595.0	2771.0	889.0	96.0
в том числе в возрасте, лет:					
3.0	3732.0	2823.0	827.0	756.0	222.0
4.0	3926.0	3121.0	735.0	795.0	187.0
5.0	3940.0	3194.0	658.0	811.0	167.0
6.0	4067.0	3522.0	459.0	866.0	113.0
7.0	4211.0	4123.0	57.0	979.0	14.0
8.0	4355.0	4294.0	24.0	986.0	6.0
9.0	4563.0	4518.0	11.0	990.0	2.0
Сельское население					
Дети в возрасте 3-9 лет	13557.0	9187.0	4221.0	678.0	311.0
в том числе в возрасте, лет:					
3.0	1687.0	571.0	1091.0	338.0	647.0
4.0	1821.0	632.0	1164.0	347.0	639.0
5.0	1851.0	712.0	1109.0	385.0	599.0
6.0	1962.0	1175.0	750.0	599.0	382.0
7.0	1964.0	1878.0	75.0	956.0	38.0
8.0	2007.0	1981.0	20.0	987.0	10.0
9.0	2265.0	2238.0	12.0	988.0	5.0
г. Санкт-Петербург					
Городское население					
Дети в возрасте 3-9 лет	217278.0	181885.0	14846.0	837.0	68.0
в том числе в возрасте, лет:					
3.0	28830.0	19578.0	5663.0	679.0	196.0
4.0	29567.0	22547.0	3735.0	763.0	126.0
5.0	29943.0	23559.0	2911.0	787.0	97.0
6.0	29865.0	24921.0	1950.0	835.0	65.0
7.0	33175.0	30216.0	363.0	911.0	11.0
8.0	32874.0	30435.0	130.0	926.0	4.0
9.0	33024.0	30629.0	94.0	927.0	3.0
Южный федеральный округ					
Все население					
Дети в возрасте 3-9 лет	1860337.0	1399113.0	417061.0	752.0	224.0
в том числе в возрасте, лет:					
3.0	248170.0	112298.0	125641.0	453.0	506.0
4.0	253140.0	127903.0	117026.0	505.0	462.0
5.0	254746.0	131908.0	111796.0	518.0	439.0
6.0	260869.0	199809.0	53564.0	766.0	205.0
7.0	275686.0	267281.0	5767.0	970.0	21.0
8.0	281831.0	277718.0	1976.0	985.0	7.0
9.0	285895.0	282196.0	1291.0	987.0	5.0
Городское население					
Дети в возрасте 3-9 лет	917061.0	749881.0	146631.0	818.0	160.0
в том числе в возрасте, лет:					
3.0	122621.0	71269.0	46401.0	581.0	378.0
4.0	124117.0	80996.0	39297.0	653.0	317.0
5.0	125287.0	83945.0	36544.0	670.0	292.0
6.0	128213.0	103731.0	20825.0	809.0	162.0
7.0	136394.0	132884.0	2281.0	974.0	17.0
8.0	139658.0	137852.0	774.0	987.0	6.0
9.0	140771.0	139204.0	509.0	989.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	943276.0	649232.0	270430.0	688.0	287.0
в том числе в возрасте, лет:					
3.0	125549.0	41029.0	79240.0	327.0	631.0
4.0	129023.0	46907.0	77729.0	364.0	602.0
5.0	129459.0	47963.0	75252.0	370.0	581.0
6.0	132656.0	96078.0	32739.0	724.0	247.0
7.0	139292.0	134397.0	3486.0	965.0	25.0
8.0	142173.0	139866.0	1202.0	984.0	8.0
9.0	145124.0	142992.0	782.0	985.0	5.0
Республика Адыгея					
Все население					
Дети в возрасте 3-9 лет	32827.0	25719.0	6638.0	784.0	202.0
в том числе в возрасте, лет:					
3.0	4177.0	2262.0	1810.0	542.0	433.0
4.0	4520.0	2630.0	1807.0	582.0	400.0
5.0	4635.0	2807.0	1734.0	606.0	374.0
6.0	4722.0	3524.0	1102.0	746.0	234.0
7.0	4872.0	4713.0	129.0	967.0	27.0
8.0	4904.0	4837.0	38.0	986.0	8.0
9.0	4997.0	4946.0	18.0	989.0	4.0
Городское население					
Дети в возрасте 3-9 лет	15417.0	13198.0	2042.0	856.0	132.0
в том числе в возрасте, лет:					
3.0	1959.0	1307.0	598.0	667.0	305.0
4.0	2112.0	1542.0	546.0	730.0	259.0
5.0	2148.0	1623.0	492.0	756.0	229.0
6.0	2242.0	1850.0	350.0	825.0	156.0
7.0	2340.0	2286.0	41.0	977.0	17.0
8.0	2279.0	2264.0	8.0	994.0	3.0
9.0	2337.0	2326.0	7.0	995.0	3.0
Сельское население					
Дети в возрасте 3-9 лет	17410.0	12521.0	4596.0	719.0	264.0
в том числе в возрасте, лет:					
3.0	2218.0	955.0	1212.0	431.0	546.0
4.0	2408.0	1088.0	1261.0	452.0	524.0
5.0	2487.0	1184.0	1242.0	476.0	499.0
6.0	2480.0	1674.0	752.0	675.0	303.0
7.0	2532.0	2427.0	88.0	958.0	35.0
8.0	2625.0	2573.0	30.0	980.0	12.0
9.0	2660.0	2620.0	11.0	985.0	4.0
Республика Дагестан					
Все население					
Дети в возрасте 3-9 лет	329591.0	229491.0	94523.0	696.0	287.0
в том числе в возрасте, лет:					
3.0	45144.0	14746.0	29119.0	327.0	645.0
4.0	45910.0	16586.0	28472.0	361.0	620.0
5.0	45901.0	16198.0	27863.0	353.0	607.0
6.0	46983.0	38043.0	7982.0	810.0	170.0
7.0	49077.0	48067.0	734.0	980.0	15.0
8.0	48895.0	48491.0	236.0	992.0	5.0
9.0	47681.0	47360.0	117.0	994.0	2.0
Городское население					
Дети в возрасте 3-9 лет	121156.0	95350.0	23861.0	787.0	197.0
в том числе в возрасте, лет:					
3.0	17120.0	8676.0	7986.0	507.0	466.0
4.0	16962.0	9726.0	6949.0	573.0	410.0
5.0	16552.0	9426.0	6472.0	569.0	391.0
6.0	16971.0	14428.0	2236.0	850.0	132.0
7.0	17907.0	17650.0	155.0	985.0	9.0
8.0	18167.0	18057.0	44.0	994.0	2.0
9.0	17477.0	17387.0	19.0	995.0	1.0
Сельское население					
Дети в возрасте 3-9 лет	208435.0	134141.0	70662.0	643.0	339.0
в том числе в возрасте, лет:					
3.0	28024.0	6070.0	21133.0	217.0	754.0
4.0	28948.0	6860.0	21523.0	237.0	743.0
5.0	29349.0	6772.0	21391.0	231.0	729.0
6.0	30012.0	23615.0	5746.0	787.0	191.0
7.0	31170.0	30417.0	579.0	976.0	18.0
8.0	30728.0	30434.0	192.0	991.0	6.0
9.0	30204.0	29973.0	98.0	992.0	3.0
Республика Ингушетия					
Все население					
Дети в возрасте 3-9 лет	76112.0	44764.0	28044.0	588.0	369.0
в том числе в возрасте, лет:					
3.0	11424.0	1599.0	8956.0	140.0	784.0
4.0	10872.0	1828.0	8395.0	168.0	772.0
5.0	10433.0	1824.0	7595.0	175.0	728.0
6.0	10687.0	7526.0	2708.0	705.0	253.0
7.0	11111.0	10691.0	268.0	962.0	24.0
8.0	10944.0	10792.0	72.0	986.0	7.0
9.0	10641.0	10504.0	50.0	987.0	5.0
Городское население					
Дети в возрасте 3-9 лет	31434.0	19042.0	11241.0	605.0	358.0
в том числе в возрасте, лет:					
3.0	4772.0	826.0	3623.0	173.0	759.0
4.0	4435.0	953.0	3274.0	215.0	738.0
5.0	4366.0	946.0	3068.0	217.0	703.0
6.0	4379.0	3100.0	1117.0	708.0	255.0
7.0	4567.0	4409.0	110.0	965.0	24.0
8.0	4544.0	4480.0	29.0	986.0	6.0
9.0	4371.0	4328.0	20.0	990.0	5.0
Сельское население					
Дети в возрасте 3-9 лет	44678.0	25722.0	16803.0	576.0	376.0
в том числе в возрасте, лет:					
3.0	6652.0	773.0	5333.0	116.0	802.0
4.0	6437.0	875.0	5121.0	136.0	796.0
5.0	6067.0	878.0	4527.0	145.0	746.0
6.0	6308.0	4426.0	1591.0	702.0	252.0
7.0	6544.0	6282.0	158.0	960.0	24.0
8.0	6400.0	6312.0	43.0	986.0	7.0
9.0	6270.0	6176.0	30.0	985.0	5.0
Кабардино-Балкарская Республика					
Все население					
Дети в возрасте 3-9 лет	82958.0	70653.0	11546.0	852.0	139.0
в том числе в возрасте, лет:					
3.0	11021.0	6743.0	4099.0	612.0	372.0
4.0	11267.0	7885.0	3278.0	700.0	291.0
5.0	11444.0	8286.0	2924.0	724.0	256.0
6.0	11384.0	10306.0	998.0	905.0	88.0
7.0	12034.0	11843.0	147.0	984.0	12.0
8.0	12781.0	12661.0	66.0	991.0	5.0
9.0	13027.0	12929.0	34.0	992.0	3.0
Городское население					
Дети в возрасте 3-9 лет	39348.0	34667.0	4364.0	881.0	111.0
в том числе в возрасте, лет:					
3.0	5141.0	3541.0	1530.0	689.0	297.0
4.0	5264.0	4084.0	1127.0	776.0	214.0
5.0	5438.0	4383.0	992.0	806.0	182.0
6.0	5395.0	4800.0	556.0	890.0	103.0
7.0	5775.0	5666.0	89.0	981.0	15.0
8.0	6087.0	6008.0	45.0	987.0	7.0
9.0	6248.0	6185.0	25.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	43610.0	35986.0	7182.0	825.0	165.0
в том числе в возрасте, лет:					
3.0	5880.0	3202.0	2569.0	545.0	437.0
4.0	6003.0	3801.0	2151.0	633.0	358.0
5.0	6006.0	3903.0	1932.0	650.0	322.0
6.0	5989.0	5506.0	442.0	919.0	74.0
7.0	6259.0	6177.0	58.0	987.0	9.0
8.0	6694.0	6653.0	21.0	994.0	3.0
9.0	6779.0	6744.0	9.0	995.0	1.0
Республика Калмыкия					
Все население					
Дети в возрасте 3-9 лет	26816.0	21564.0	5038.0	804.0	188.0
в том числе в возрасте, лет:					
3.0	3422.0	1888.0	1501.0	552.0	438.0
4.0	3572.0	2080.0	1469.0	582.0	411.0
5.0	3588.0	2075.0	1437.0	578.0	401.0
6.0	3627.0	3088.0	505.0	852.0	139.0
7.0	3918.0	3834.0	76.0	979.0	19.0
8.0	4253.0	4202.0	26.0	988.0	6.0
9.0	4436.0	4397.0	24.0	992.0	5.0
Городское население					
Дети в возрасте 3-9 лет	10849.0	9694.0	1069.0	893.0	99.0
в том числе в возрасте, лет:					
3.0	1407.0	1059.0	332.0	753.0	236.0
4.0	1472.0	1163.0	296.0	790.0	201.0
5.0	1492.0	1171.0	290.0	785.0	194.0
6.0	1456.0	1338.0	108.0	919.0	74.0
7.0	1578.0	1553.0	22.0	984.0	14.0
8.0	1719.0	1700.0	10.0	989.0	6.0
9.0	1725.0	1710.0	11.0	992.0	6.0
Сельское население					
Дети в возрасте 3-9 лет	15967.0	11870.0	3969.0	743.0	249.0
в том числе в возрасте, лет:					
3.0	2015.0	829.0	1169.0	411.0	580.0
4.0	2100.0	917.0	1173.0	437.0	558.0
5.0	2096.0	904.0	1147.0	431.0	547.0
6.0	2171.0	1750.0	397.0	806.0	183.0
7.0	2340.0	2281.0	54.0	975.0	23.0
8.0	2534.0	2502.0	16.0	988.0	6.0
9.0	2711.0	2687.0	13.0	991.0	5.0
Карачаево-Черкесская Республика					
Все население					
Дети в возрасте 3-9 лет	38274.0	29289.0	8476.0	765.0	222.0
в том числе в возрасте, лет:					
3.0	4989.0	2276.0	2601.0	456.0	521.0
