3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ		
		
		
	Численность лиц соответствующей национальности	из них владеют русским языком
Лица, не указавшие национальность в переписном листе 	4695.0	1757.0
Тверская область	1471459.0	1456157.0
Абазины 	6.0	6.0
Абхазы 	52.0	52.0
Аварцы 	486.0	476.0
Агулы 	26.0	26.0
Адыгейцы 	27.0	27.0
Азербайджанцы 	4607.0	4320.0
Алеуты 	1.0	1.0
Алтайцы 	7.0	7.0
Американцы	3.0	3.0
Арабы 	212.0	199.0
Армяне 	7331.0	7179.0
Ассирийцы 	66.0	66.0
Балкарцы 	27.0	27.0
Башкиры 	499.0	498.0
Белорусы 	8581.0	8573.0
Болгары	281.0	281.0
Буряты 	56.0	55.0
Венгры 	30.0	29.0
Вепсы 	11.0	11.0
Вьетнамцы 	82.0	67.0
Гагаузы	125.0	125.0
Греки 	297.0	295.0
Грузины 	1421.0	1391.0
Мегрелы 	2.0	2.0
Даргинцы 	480.0	467.0
Долганы 	4.0	4.0
Дунгане 	1.0	1.0
Евреи 	968.0	966.0
Евреи горские 	7.0	7.0
Езиды 	350.0	336.0
Ижорцы 	1.0	1.0
Ингуши 	304.0	297.0
Индийцы хиндиязычные 	325.0	279.0
Испанцы	18.0	18.0
Итальянцы	4.0	3.0
Ительмены 	1.0	1.0
Кабардинцы 	60.0	58.0
Казахи 	438.0	433.0
Калмыки 	46.0	45.0
Камчадалы 	2.0	2.0
Караимы 	2.0	2.0
Каракалпаки 	16.0	14.0
Карачаевцы 	92.0	92.0
Карелы 	14633.0	14608.0
Кеты 	3.0	3.0
Юги 	1.0	1.0
Киргизы 	144.0	143.0
Китайцы 	19.0	18.0
Коми 	199.0	198.0
Коми-пермяки	152.0	152.0
Корейцы 	691.0	684.0
Коряки 	3.0	3.0
Кубинцы	2.0	2.0
Кумыки 	184.0	179.0
Курды 	40.0	38.0
Лакцы 	162.0	156.0
Латыши 	265.0	265.0
Латгальцы 	4.0	4.0
Лезгины 	989.0	977.0
Литовцы 	291.0	291.0
Манси 	8.0	8.0
Марийцы 	545.0	544.0
Горные марийцы 	5.0	5.0
Лугово-восточные марийцы 	26.0	26.0
Молдаване 	1772.0	1758.0
Монголы 	9.0	9.0
Мордва 	1694.0	1689.0
Мордва-мокша 	9.0	8.0
Мордва-эрзя	3.0	3.0
Нагайбаки 	1.0	1.0
Нанайцы 	8.0	8.0
Немцы 	1766.0	1762.0
Ненцы 	15.0	15.0
Нивхи	2.0	2.0
Ногайцы	34.0	34.0
Осетины 	332.0	330.0
Осетины-дигорцы 	3.0	3.0
Персы 	30.0	29.0
Поляки 	715.0	715.0
Пуштуны	32.0	27.0
Румыны 	36.0	36.0
Русские 	1361006.0	1356610.0
Казаки 	122.0	122.0
Поморы 	1.0	1.0
Рутульцы 	41.0	41.0
Сербы	19.0	19.0
Словаки	4.0	4.0
Табасараны 	326.0	318.0
Таджики 	1175.0	1108.0
Талыши 	6.0	6.0
Татары 	6717.0	6676.0
Кряшены 	1.0	1.0
Татары крымские 	12.0	12.0
Тувинцы 	18.0	18.0
Турки 	60.0	59.0
Турки-месхетинцы	1.0	1.0
Туркмены 	289.0	281.0
Удины 	34.0	34.0
Удмурты 	411.0	411.0
Удэгейцы 	2.0	2.0
Узбеки 	976.0	962.0
Уйгуры	11.0	11.0
Украинцы 	22563.0	22510.0
Финны 	305.0	303.0
Финны-ингерманландцы 	1.0	1.0
Французы	1.0	1.0
Хакасы 	11.0	11.0
Ханты 	8.0	8.0
Цахуры 	18.0	18.0
Цыгане 	4553.0	4476.0
Черкесы 	9.0	9.0
Чехи 	11.0	11.0
Чеченцы 	2724.0	2609.0
Чеченцы-аккинцы 	4.0	4.0
Чуваши 	3057.0	3045.0
Чукчи 	6.0	6.0
Шорцы 	6.0	6.0
Эвенки 	10.0	10.0
Эвены 	2.0	2.0
Эстонцы 	443.0	443.0
Юкагиры 	3.0	3.0
Якуты 	48.0	48.0
Лица других национальностей (не перечисленных выше)	493.0	453.0
Лица, не указавшие национальность в переписном листе 	13951.0	4188.0
Тульская область	1675758.0	1670504.0
Абазины 	1.0	1.0
Абхазы 	66.0	66.0
Аварцы 	488.0	482.0
Андийцы 	7.0	6.0
Каратинцы 	1.0	1.0
Агулы 	68.0	66.0
Адыгейцы 	19.0	19.0
Азербайджанцы 	4491.0	4320.0
Алтайцы 	4.0	4.0
Американцы	2.0	2.0
Арабы 	105.0	99.0
Арабы среднеазиатские 	1.0	1.0
Армяне 	6507.0	6418.0
Ассирийцы 	58.0	57.0
Балкарцы 	25.0	25.0
Башкиры 	409.0	409.0
Белорусы 	5974.0	5964.0
Бесермяне 	3.0	3.0
Болгары	222.0	221.0
Буряты 	27.0	27.0
Венгры 	38.0	38.0
Вепсы 	1.0	1.0
Вьетнамцы 	92.0	80.0
Гагаузы	150.0	150.0
Греки 	305.0	300.0
Греки-урумы 	2.0	2.0
Грузины 	1925.0	1905.0
Лазы 	1.0	1.0
Мегрелы 	3.0	3.0
Даргинцы 	275.0	270.0
Долганы 	1.0	1.0
Дунгане 	12.0	11.0
Евреи 	1288.0	1287.0
Евреи горские 	9.0	9.0
Езиды 	608.0	543.0
Ингуши 	126.0	123.0
Индийцы хиндиязычные 	28.0	28.0
Испанцы	7.0	7.0
Ительмены 	1.0	1.0
Кабардинцы 	40.0	40.0
Казахи 	332.0	331.0
Калмыки 	27.0	27.0
Караимы 	2.0	2.0
Каракалпаки 	2.0	2.0
Карачаевцы 	45.0	44.0
Карелы 	48.0	48.0
Кеты 	1.0	1.0
Киргизы 	57.0	52.0
Китайцы 	251.0	210.0
Коми 	155.0	155.0
Коми-пермяки	113.0	113.0
Корейцы 	367.0	367.0
Коряки 	1.0	1.0
Крымчаки 	2.0	2.0
Кубинцы	10.0	10.0
Кумандинцы 	1.0	1.0
Кумыки 	177.0	177.0
Курды 	178.0	173.0
Лакцы 	113.0	113.0
Латыши 	143.0	143.0
Латгальцы 	1.0	1.0
Лезгины 	874.0	866.0
Литовцы 	181.0	180.0
Марийцы 	217.0	217.0
Горные марийцы 	3.0	3.0
Лугово-восточные марийцы 	8.0	8.0
Молдаване 	1656.0	1637.0
Монголы 	7.0	6.0
Мордва 	1217.0	1214.0
Мордва-мокша 	34.0	34.0
Мордва-эрзя	14.0	14.0
Нагайбаки 	4.0	4.0
Немцы 	4689.0	4683.0
Ненцы 	6.0	6.0
Ногайцы	123.0	123.0
Осетины 	409.0	408.0
Осетины-дигорцы 	1.0	1.0
Персы 	12.0	12.0
Поляки 	447.0	446.0
Пуштуны	15.0	15.0
Румыны 	93.0	91.0
Русские 	1595564.0	1593041.0
Казаки 	123.0	123.0
Поморы 	4.0	4.0
Рутульцы 	150.0	143.0
Сербы	37.0	36.0
Словаки	7.0	7.0
Табасараны 	174.0	172.0
Таджики 	599.0	587.0
Талыши 	7.0	7.0
Татары 	8968.0	8946.0
Кряшены 	1.0	1.0
Татары сибирские 	1.0	1.0
Татары крымские 	29.0	29.0
Таты 	9.0	9.0
Тувинцы 	3.0	3.0
Турки 	152.0	132.0
Туркмены 	183.0	181.0
Удины 	1.0	1.0
Удмурты 	263.0	262.0
Узбеки 	782.0	765.0
Уйгуры	13.0	13.0
Украинцы 	22260.0	22215.0
Ульчи 	1.0	1.0
Финны 	33.0	33.0
Французы	7.0	7.0
Хакасы 	6.0	6.0
Ханты 	11.0	11.0
Цахуры 	26.0	26.0
Цыгане 	3843.0	3682.0
Черкесы 	7.0	7.0
Чехи 	13.0	13.0
Чеченцы 	469.0	457.0
Чуваши 	1085.0	1085.0
Шорцы 	4.0	4.0
Эвенки 	2.0	2.0
Эвены 	1.0	1.0
Эскимосы 	1.0	1.0
Эстонцы 	65.0	65.0
Юкагиры 	1.0	1.0
Якуты 	17.0	17.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	1301.0	408.0
Лица, не указавшие национальность в переписном листе 	4312.0	3269.0
Ярославская область	1367398.0	1361558.0
Абазины 	3.0	3.0
Абхазы 	62.0	62.0
Аварцы 	181.0	181.0
Бежтинцы 	2.0	2.0
Дидойцы 	1.0	1.0
Агулы 	17.0	17.0
Адыгейцы 	15.0	15.0
Азербайджанцы 	5667.0	5400.0
Алеуты 	2.0	2.0
Алтайцы 	3.0	3.0
Американцы	11.0	7.0
Англичане	1.0	1.0
Арабы 	91.0	89.0
Армяне 	5993.0	5869.0
Ассирийцы 	35.0	35.0
Балкарцы 	13.0	13.0
Башкиры 	397.0	396.0
Белорусы 	4275.0	4272.0
Болгары	233.0	232.0
Буряты 	36.0	36.0
Венгры 	17.0	17.0
Вепсы 	7.0	7.0
Водь 	1.0	1.0
Вьетнамцы 	136.0	125.0
Гагаузы	104.0	103.0
Греки 	216.0	215.0
Грузины 	1169.0	1149.0
Аджарцы 	2.0	2.0
Даргинцы 	306.0	298.0
Дунгане 	4.0	4.0
Евреи 	1014.0	1014.0
Евреи горские 	5.0	5.0
Евреи среднеазиатские 	1.0	1.0
Езиды 	2718.0	2585.0
Ижорцы 	2.0	2.0
Ингуши 	511.0	503.0
Индийцы хиндиязычные 	15.0	13.0
Испанцы	6.0	6.0
Итальянцы	3.0	3.0
Кабардинцы 	51.0	51.0
Казахи 	285.0	285.0
Калмыки 	18.0	18.0
Караимы 	1.0	1.0
Каракалпаки 	5.0	5.0
Карачаевцы 	26.0	26.0
Карелы 	141.0	141.0
Киргизы 	136.0	134.0
Китайцы 	24.0	24.0
Коми 	343.0	342.0
Коми-ижемцы 	3.0	3.0
Коми-пермяки	47.0	47.0
Корейцы 	324.0	320.0
Крымчаки 	1.0	1.0
Кубинцы	6.0	6.0
Кумыки 	90.0	90.0
Курды 	142.0	122.0
Лакцы 	36.0	36.0
Латыши 	114.0	114.0
Лезгины 	477.0	469.0
Литовцы 	182.0	181.0
Манси 	3.0	3.0
Марийцы 	302.0	302.0
Горные марийцы 	3.0	3.0
Лугово-восточные марийцы 	10.0	10.0
Молдаване 	820.0	818.0
Монголы 	20.0	12.0
Мордва 	713.0	713.0
Мордва-мокша 	2.0	2.0
Мордва-эрзя	3.0	3.0
Нанайцы 	2.0	2.0
Нганасаны 	1.0	1.0
Немцы 	1042.0	1040.0
Ненцы 	10.0	10.0
Ногайцы	13.0	13.0
Осетины 	237.0	236.0
Персы 	8.0	8.0
Поляки 	380.0	380.0
Пуштуны	17.0	17.0
Румыны 	19.0	19.0
Русские 	1301130.0	1299723.0
Казаки 	107.0	107.0
Рутульцы 	18.0	18.0
Саамы 	2.0	2.0
Сербы	13.0	13.0
Словаки	3.0	3.0
Табасараны 	114.0	109.0
Таджики 	725.0	710.0
Талыши 	8.0	8.0
Татары 	6175.0	6165.0
Татары крымские 	2.0	2.0
Таты 	6.0	6.0
Тофалары 	1.0	1.0
Тувинцы 	21.0	21.0
Турки 	12.0	12.0
Туркмены 	110.0	109.0
Удины 	14.0	14.0
Удмурты 	310.0	310.0
Узбеки 	687.0	673.0
Уйгуры	18.0	18.0
Украинцы 	13155.0	13138.0
Финны 	113.0	113.0
Финны-ингерманландцы 	1.0	1.0
Французы	3.0	3.0
Хакасы 	12.0	12.0
Ханты 	5.0	5.0
Цахуры 	4.0	4.0
Цыгане 	1308.0	1296.0
Черкесы 	14.0	14.0
Чехи 	20.0	20.0
Чеченцы 	989.0	974.0
Чеченцы-аккинцы 	3.0	3.0
Чуваши 	991.0	990.0
Чукчи 	5.0	5.0
Шорцы 	2.0	2.0
Эвенки 	7.0	7.0
Эвены 	7.0	7.0
Эстонцы 	131.0	131.0
Якуты 	22.0	22.0
Лица других национальностей (не перечисленных выше)	105.0	103.0
Лица, не указавшие национальность в переписном листе 	11830.0	8124.0
г. Москва	10382754.0	10010156.0
Абазины 	191.0	188.0
Абхазы 	3687.0	3624.0
Аварцы 	4950.0	4871.0
Андийцы 	6.0	6.0
Арчинцы 	65.0	65.0
Ахвахцы 	1.0	1.0
Багулалы 	2.0	1.0
Бежтинцы 	1.0	1.0
Ботлихцы 	8.0	7.0
Годоберинцы 	6.0	6.0
Гунзибцы 	5.0	5.0
Дидойцы 	6.0	6.0
Каратинцы 	5.0	5.0
Тиндалы 	2.0	2.0
Чамалалы 	1.0	1.0
Агулы 	175.0	170.0
Адыгейцы 	648.0	639.0
Азербайджанцы 	95563.0	92721.0
Алеуты 	11.0	9.0
Алтайцы 	85.0	84.0
Американцы	457.0	384.0
Англичане	214.0	178.0
Арабы 	3663.0	3401.0
Арабы среднеазиатские 	16.0	16.0
Армяне 	124425.0	122155.0
Ассирийцы 	2737.0	2711.0
Балкарцы 	354.0	352.0
Башкиры 	5941.0	5888.0
Белорусы 	59353.0	59061.0
Бесермяне 	6.0	6.0
Болгары	2374.0	2353.0
Буряты 	2304.0	2294.0
Венгры 	450.0	436.0
Вепсы 	25.0	25.0
Водь 	10.0	10.0
Вьетнамцы 	15616.0	12110.0
Гагаузы	1001.0	986.0
Греки 	3726.0	3679.0
Греки-урумы 	3.0	3.0
Грузины 	54387.0	53410.0
Аджарцы 	66.0	65.0
Ингилойцы 	1.0	1.0
Лазы 	7.0	7.0
Мегрелы 	86.0	85.0
Сваны	4.0	4.0
Даргинцы 	2898.0	2821.0
Кубачинцы 	9.0	9.0
Долганы 	14.0	13.0
Дунгане 	37.0	36.0
Евреи 	79359.0	78755.0
Евреи горские 	979.0	965.0
Евреи грузинские 	39.0	39.0
Евреи среднеазиатские 	14.0	14.0
Езиды 	1643.0	1599.0
Ижорцы 	6.0	4.0
Ингуши 	4050.0	3961.0
Индийцы хиндиязычные 	2853.0	2196.0
Испанцы	840.0	823.0
Итальянцы	318.0	275.0
Ительмены 	7.0	7.0
Кабардинцы 	1801.0	1786.0
Казахи 	7997.0	7902.0
Калмыки 	2047.0	2018.0
Камчадалы 	3.0	3.0
Караимы 	119.0	118.0
Каракалпаки 	161.0	155.0
Карачаевцы 	823.0	811.0
Карелы 	568.0	564.0
Кеты 	9.0	9.0
Киргизы 	4102.0	4016.0
Китайцы 	12801.0	10903.0
Коми 	734.0	732.0
Коми-ижемцы 	5.0	4.0
Коми-пермяки	331.0	329.0
Корейцы 	8630.0	8387.0
Коряки 	88.0	87.0
Крымчаки 	30.0	30.0
Кубинцы	193.0	189.0
Кумандинцы 	4.0	4.0
Кумыки 	1615.0	1581.0
Курды 	695.0	656.0
Лакцы 	1834.0	1806.0
Латыши 	2422.0	2409.0
Латгальцы 	7.0	7.0
Лезгины 	4475.0	4392.0
Литовцы 	2197.0	2178.0
Манси 	22.0	21.0
Марийцы 	1979.0	1972.0
Горные марийцы 	89.0	88.0
Лугово-восточные марийцы 	84.0	84.0
Молдаване 	36570.0	36141.0
Монголы 	549.0	526.0
Мордва 	23387.0	23240.0
Мордва-мокша 	483.0	479.0
Мордва-эрзя	100.0	98.0
Нагайбаки 	12.0	12.0
Нанайцы 	21.0	19.0
Нганасаны 	3.0	3.0
Негидальцы 	3.0	3.0
Немцы 	5271.0	5219.0
Ненцы 	66.0	65.0
Нивхи	11.0	11.0
Ногайцы	158.0	158.0
Осетины 	10561.0	10425.0
Осетины-дигорцы 	13.0	13.0
Осетины-иронцы 	7.0	6.0
Персы 	653.0	561.0
Поляки 	4456.0	4426.0
Пуштуны	5993.0	5442.0
Румыны 	357.0	350.0
Русины 	9.0	9.0
Русские 	8808009.0	8745209.0
Казаки 	548.0	548.0
Поморы 	10.0	9.0
Рутульцы 	198.0	191.0
Саамы 	12.0	12.0
Селькупы 	6.0	6.0
Сербы	1568.0	1523.0
Словаки	125.0	123.0
Табасараны 	731.0	706.0
Таджики 	35385.0	33866.0
Тазы 	1.0	1.0
Талыши 	501.0	477.0
Татары 	166083.0	164436.0
Астраханские татары 	5.0	5.0
Кряшены 	38.0	37.0
Татары сибирские 	51.0	42.0
Татары крымские 	224.0	222.0
Таты 	621.0	613.0
Телеуты 	3.0	3.0
Тофалары 	3.0	3.0
Тувинцы 	415.0	410.0
Турки 	2358.0	1956.0
Турки-месхетинцы	9.0	6.0
Туркмены 	3526.0	3414.0
Удины 	114.0	112.0
Удмурты 	1983.0	1969.0
Удэгейцы 	3.0	3.0
Узбеки 	24312.0	23593.0
Уйгуры	171.0	166.0
Украинцы 	253644.0	251982.0
Ульта (ороки)	2.0	1.0
Финны 	400.0	389.0
Финны-ингерманландцы 	10.0	10.0
Французы	352.0	290.0
Хакасы 	330.0	320.0
Ханты 	44.0	44.0
Цахуры 	83.0	82.0
Цыгане 	974.0	955.0
Цыгане среднеазиатские 	11.0	11.0
Черкесы 	520.0	517.0
Чехи 	238.0	235.0
Чеченцы 	14465.0	13986.0
Чеченцы-аккинцы 	16.0	16.0
Чуванцы 	2.0	2.0
Чуваши 	16011.0	15910.0
Чукчи 	138.0	126.0
Чулымцы 	1.0	1.0
Шапсуги 	4.0	4.0
Шорцы 	37.0	36.0
Эвенки 	74.0	74.0
Эвены 	26.0	26.0
Эскимосы 	15.0	15.0
Эстонцы 	1244.0	1235.0
Эстонцы-сету 	3.0	3.0
Юкагиры 	16.0	16.0
Якуты 	1448.0	1437.0
Японцы 	206.0	181.0
Лица других национальностей (не перечисленных выше)	9796.0	9119.0
Лица, не указавшие национальность в переписном листе 	417126.0	131205.0
Северо-Западный федеральный округ		
Республика Карелия	716281.0	711201.0
Абазины 	1.0	1.0
Абхазы 	14.0	14.0
Аварцы 	91.0	91.0
Агулы 	18.0	18.0
Адыгейцы 	12.0	12.0
Азербайджанцы 	1753.0	1661.0
Алтайцы 	3.0	3.0
Американцы	13.0	9.0
Англичане	1.0	-
Арабы 	57.0	56.0
Армяне 	1599.0	1557.0
Ассирийцы 	35.0	35.0
Балкарцы 	15.0	15.0
Башкиры 	312.0	312.0
Белорусы 	37681.0	37660.0
Болгары	148.0	147.0
Буряты 	20.0	20.0
Венгры 	24.0	24.0
Вепсы 	4870.0	4869.0
Вьетнамцы 	45.0	39.0
Гагаузы	33.0	32.0
Греки 	82.0	82.0
Грузины 	540.0	530.0
Мегрелы 	1.0	1.0
Даргинцы 	175.0	174.0
Дунгане 	2.0	2.0
Евреи 	719.0	719.0
Езиды 	9.0	9.0
Ижорцы 	24.0	24.0
Ингуши 	96.0	95.0
Итальянцы	8.0	8.0
Ительмены 	1.0	1.0
Кабардинцы 	50.0	50.0
Казахи 	205.0	205.0
Калмыки 	20.0	20.0
Караимы 	2.0	2.0
Каракалпаки 	2.0	2.0
Карачаевцы 	28.0	28.0
Карелы 	65651.0	65546.0
Кеты 	1.0	1.0
Киргизы 	40.0	40.0
Китайцы 	10.0	10.0
Коми 	282.0	282.0
Коми-ижемцы 	1.0	1.0
Коми-пермяки	72.0	72.0
Корейцы 	114.0	114.0
Коряки 	1.0	1.0
Кубинцы	4.0	4.0
Кумандинцы 	1.0	1.0
Кумыки 	38.0	38.0
Курды 	2.0	2.0
Лакцы 	33.0	33.0
Латыши 	252.0	252.0
Лезгины 	172.0	172.0
Литовцы 	1074.0	1072.0
Манси 	1.0	1.0
Марийцы 	362.0	361.0
Горные марийцы 	1.0	1.0
Лугово-восточные марийцы 	20.0	20.0
Молдаване 	628.0	626.0
Монголы 	2.0	2.0
Мордва 	808.0	807.0
Мордва-мокша 	4.0	4.0
Мордва-эрзя	2.0	2.0
Нанайцы 	1.0	1.0
Немцы 	772.0	772.0
Ненцы 	6.0	6.0
Ногайцы	5.0	5.0
Орочи 	2.0	2.0
Осетины 	142.0	141.0
Персы 	3.0	3.0
Поляки 	3022.0	3021.0
Пуштуны	11.0	11.0
Румыны 	40.0	40.0
Русские 	548941.0	548553.0
Казаки 	28.0	28.0
Поморы 	13.0	13.0
Рутульцы 	14.0	14.0
Саамы 	7.0	7.0
Сербы	4.0	4.0
Словаки	5.0	5.0
Табасараны 	22.0	22.0
Таджики 	201.0	196.0
Тазы 	3.0	3.0
Талыши 	62.0	55.0
Татары 	2628.0	2627.0
Татары сибирские 	1.0	1.0
Татары крымские 	3.0	3.0
Тувинцы 	7.0	7.0
Турки 	17.0	16.0
Туркмены 	44.0	44.0
Удмурты 	290.0	290.0
Узбеки 	273.0	270.0
Уйгуры	4.0	4.0
Украинцы 	19248.0	19228.0
Ульта (ороки)	1.0	1.0
Финны 	14156.0	14138.0
Финны-ингерманландцы 	154.0	154.0
Французы	2.0	2.0
Хакасы 	7.0	7.0
Ханты 	4.0	4.0
Цахуры 	1.0	1.0
Цыгане 	1098.0	1092.0
Черкесы 	13.0	13.0
Чехи 	11.0	11.0
Чеченцы 	393.0	385.0
Чуванцы 	2.0	2.0
Чуваши 	1298.0	1297.0
Чукчи 	3.0	3.0
Шорцы 	1.0	1.0
Эвенки 	1.0	1.0
Эвены 	1.0	1.0
Эстонцы 	257.0	257.0
Якуты 	14.0	14.0
Японцы 	1.0	1.0
Лица других национальностей (не перечисленных выше)	98.0	93.0
Лица, не указавшие национальность в переписном листе 	4886.0	564.0
Республика Коми	1018674.0	1010173.0
Абазины 	33.0	33.0
Абхазы 	45.0	45.0
Аварцы 	374.0	369.0
Андийцы 	1.0	1.0
Агулы 	19.0	19.0
Адыгейцы 	64.0	64.0
Азербайджанцы 	6066.0	5783.0
Алтайцы 	7.0	7.0
Американцы	1.0	1.0
Арабы 	7.0	7.0
Армяне 	2102.0	2087.0
Ассирийцы 	16.0	16.0
Балкарцы 	33.0	33.0
Башкиры 	3149.0	3145.0
Белорусы 	15212.0	15188.0
Бесермяне 	3.0	3.0
Болгары	768.0	768.0
Буряты 	34.0	34.0
Венгры 	146.0	146.0
Вепсы 	37.0	37.0
Вьетнамцы 	7.0	5.0
Гагаузы	155.0	154.0
Греки 	283.0	283.0
Грузины 	896.0	894.0
Аджарцы 	1.0	1.0
Ингилойцы 	8.0	8.0
Мегрелы 	3.0	3.0
Даргинцы 	268.0	267.0
Кубачинцы 	1.0	1.0
Долганы 	2.0	2.0
Дунгане 	3.0	3.0
Евреи 	502.0	500.0
Евреи горские 	24.0	23.0
Евреи грузинские 	1.0	1.0
Езиды 	11.0	11.0
Ижорцы 	2.0	2.0
Ингуши 	156.0	152.0
Индийцы хиндиязычные 	5.0	5.0
Испанцы	5.0	5.0
Итальянцы	3.0	3.0
Кабардинцы 	191.0	191.0
Казахи 	553.0	553.0
Калмыки 	49.0	49.0
Караимы 	2.0	2.0
Каракалпаки 	3.0	3.0
Карачаевцы 	84.0	84.0
Карелы 	341.0	341.0
Кеты 	10.0	10.0
Юги 	2.0	2.0
Киргизы 	767.0	742.0
Китайцы 	39.0	39.0
Коми 	256464.0	251775.0
Коми-ижемцы 	12689.0	12062.0
Коми-пермяки	1118.0	1113.0
Корейцы 	264.0	263.0
Коряки 	1.0	1.0
Кубинцы	4.0	4.0
Кумандинцы 	2.0	2.0
Кумыки 	198.0	198.0
Курды 	7.0	7.0
Лакцы 	94.0	93.0
Латыши 	468.0	466.0
Латгальцы 	1.0	1.0
Лезгины 	1198.0	1181.0
Литовцы 	1607.0	1606.0
Манси 	11.0	11.0
Марийцы 	3202.0	3197.0
Горные марийцы 	7.0	7.0
Лугово-восточные марийцы 	56.0	56.0
Молдаване 	3447.0	3435.0
Монголы 	1.0	1.0
Мордва 	2390.0	2383.0
Мордва-мокша 	18.0	16.0
Мордва-эрзя	5.0	5.0
Нагайбаки 	5.0	5.0
Немцы 	9246.0	9237.0
Ненцы 	708.0	625.0
Ногайцы	53.0	53.0
Осетины 	418.0	417.0
Осетины-иронцы 	1.0	1.0
Персы 	23.0	23.0
Поляки 	1456.0	1450.0
Пуштуны	5.0	5.0
Румыны 	124.0	124.0
Русины 	1.0	1.0
Русские 	607021.0	606317.0
Казаки 	60.0	60.0
Поморы 	11.0	11.0
Рутульцы 	52.0	51.0
Селькупы 	12.0	12.0
Сербы	12.0	12.0
Словаки	11.0	11.0
Табасараны 	105.0	105.0
Таджики 	378.0	372.0
Тазы 	1.0	1.0
Талыши 	49.0	49.0
Татары 	15680.0	15638.0
Кряшены 	5.0	5.0
Татары крымские 	16.0	16.0
Таты 	5.0	5.0
Теленгиты 	2.0	2.0
Тувинцы 	7.0	7.0
Турки 	44.0	44.0
Туркмены 	63.0	63.0
Удмурты 	2336.0	2331.0
Удэгейцы 	1.0	1.0
Узбеки 	709.0	700.0
Уйгуры	19.0	19.0
Украинцы 	62115.0	62039.0
Финны 	207.0	207.0
Финны-ингерманландцы 	2.0	2.0
Французы	4.0	4.0
Хакасы 	37.0	37.0
Ханты 	88.0	77.0
Цахуры 	16.0	16.0
Цыгане 	522.0	511.0
Челканцы 	1.0	1.0
Черкесы 	29.0	29.0
Чехи 	32.0	32.0
Чеченцы 	410.0	404.0
Чуванцы 	1.0	1.0
Чуваши 	7529.0	7521.0
Чукчи 	10.0	10.0
Шорцы 	14.0	14.0
Эвенки 	6.0	6.0
Эвены 	4.0	4.0
Энцы 	2.0	2.0
Эстонцы 	241.0	241.0
Юкагиры 	5.0	5.0
Якуты 	25.0	25.0
Лица других национальностей (не перечисленных выше)	160.0	160.0
Лица, не указавшие национальность в переписном листе 	5700.0	3286.0
Архангельская область	1336539.0	1334098.0
Абазины 	7.0	7.0
Абхазы 	19.0	19.0
Аварцы 	187.0	185.0
Агулы 	6.0	6.0
Адыгейцы 	19.0	19.0
Азербайджанцы 	3034.0	2908.0
Алеуты 	1.0	-
Алтайцы 	13.0	13.0
Американцы	1.0	1.0
Англичане	3.0	2.0
Арабы 	5.0	5.0
Армяне 	1159.0	1150.0
Ассирийцы 	29.0	29.0
Балкарцы 	19.0	19.0
Башкиры 	474.0	473.0
Белорусы 	10412.0	10408.0
Бесермяне 	1.0	1.0
Болгары	186.0	186.0
Буряты 	30.0	30.0
Венгры 	25.0	25.0
Вепсы 	31.0	31.0
Водь 	1.0	1.0
Вьетнамцы 	35.0	32.0
Гагаузы	57.0	57.0
Греки 	81.0	80.0
Грузины 	439.0	434.0
Мегрелы 	2.0	2.0
Даргинцы 	144.0	143.0
Долганы 	2.0	2.0
Евреи 	469.0	469.0
Евреи горские 	4.0	4.0
Езиды 	29.0	29.0
Ижорцы 	1.0	1.0
Ингуши 	121.0	120.0
Индийцы хиндиязычные 	61.0	2.0
Кабардинцы 	72.0	72.0
Казахи 	275.0	275.0
Калмыки 	28.0	28.0
Камчадалы 	1.0	1.0
Караимы 	1.0	1.0
Каракалпаки 	5.0	5.0
Карачаевцы 	35.0	35.0
Карелы 	388.0	388.0
Кеты 	8.0	8.0
Киргизы 	33.0	33.0
Китайцы 	11.0	11.0
Коми 	5745.0	5717.0
Коми-ижемцы 	6.0	6.0
Коми-пермяки	178.0	178.0
Корейцы 	107.0	107.0
Коряки 	3.0	3.0
Крымчаки 	1.0	1.0
Кумыки 	83.0	83.0
Курды 	6.0	6.0
Лакцы 	69.0	69.0
Латыши 	153.0	153.0
Латгальцы 	1.0	1.0
Лезгины 	364.0	363.0
Литовцы 	534.0	534.0
Манси 	8.0	8.0
Марийцы 	644.0	643.0
Лугово-восточные марийцы 	18.0	18.0
Молдаване 	1319.0	1315.0
Мордва 	944.0	943.0
Мордва-мокша 	8.0	8.0
Мордва-эрзя	2.0	2.0
Нагайбаки 	1.0	1.0
Нанайцы 	6.0	6.0
Негидальцы 	1.0	1.0
Немцы 	1571.0	1571.0
Ненцы 	8326.0	8123.0
Нивхи	3.0	3.0
Ногайцы	15.0	15.0
Осетины 	181.0	181.0
Персы 	8.0	8.0
Поляки 	737.0	737.0
Пуштуны	3.0	3.0
Румыны 	73.0	72.0
Русские 	1258938.0	1258150.0
Казаки 	51.0	51.0
Поморы 	6295.0	6292.0
Рутульцы 	6.0	6.0
Саамы 	7.0	7.0
Сербы	3.0	3.0
Словаки	1.0	1.0
Табасараны 	79.0	78.0
Таджики 	179.0	170.0
