4. СРЕДНЕЕ ЧИСЛО РОЖДЕННЫХ ДЕТЕЙ ЖЕНЩИНАМИ, ИМЕЮЩИМИ РАЗЛИЧНЫЙ 								
УРОВЕНЬ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
(на 1000 женщин соответствующего возраста и уровня образования, указавших число рожденных детей)								
								
	Среднее число рожденных детей	У женщин, имеющих образование						Среднее число рожденных детей женщинами, не имеющими
15 – 17 лет	12.0	-	-	0.0	6.0	13.0	11.0	0.0
18 – 19 -" -	96.0	-	0.0	91.0	73.0	132.0	426.0	0.0
20 – 24 -" -	563.0	386.0	242.0	471.0	558.0	817.0	1129.0	82.0
25 – 29 -" -	1121.0	850.0	900.0	1068.0	1150.0	1272.0	1927.0	0.0
30 – 34 -" -	1591.0	1269.0	1301.0	1504.0	1733.0	1889.0	1554.0	600.0
35 – 39 -" -	1929.0	1668.0	1692.0	1835.0	2010.0	2394.0	2429.0	300.0
40 – 44 -" -	2059.0	1921.0	2035.0	2004.0	2087.0	2355.0	2117.0	1417.0
45 – 49 -" -	2103.0	1838.0	2282.0	2000.0	2172.0	2394.0	2076.0	1444.0
50 – 54 -" -	2101.0	1931.0	1814.0	1960.0	2040.0	2421.0	2426.0	969.0
55 – 59 -" -	1991.0	1747.0	1548.0	1919.0	1912.0	2147.0	2283.0	1000.0
60 – 64 -" -	2058.0	1604.0	1795.0	1845.0	1868.0	2172.0	2327.0	1677.0
65 – 69 -" -	2078.0	1597.0	1414.0	1745.0	1827.0	2046.0	2293.0	2105.0
70 лет и более	2329.0	1693.0	1944.0	2022.0	2080.0	2268.0	2378.0	2643.0
г. Москва								
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1216.0	1192.0	711.0	1325.0	1185.0	1194.0	1566.0	1649.0
15 – 17 лет	24.0	-	12.0	71.0	25.0	21.0	29.0	9.0
18 – 19 -" -	73.0	144.0	43.0	114.0	65.0	165.0	327.0	0.0
20 – 24 -" -	349.0	300.0	197.0	483.0	408.0	640.0	616.0	410.0
25 – 29 -" -	812.0	675.0	745.0	945.0	951.0	978.0	935.0	849.0
30 – 34 -" -	1143.0	1052.0	1112.0	1220.0	1236.0	1236.0	1377.0	1079.0
35 – 39 -" -	1353.0	1270.0	1287.0	1421.0	1453.0	1438.0	1379.0	1641.0
40 – 44 -" -	1481.0	1390.0	1447.0	1538.0	1581.0	1565.0	1402.0	1524.0
45 – 49 -" -	1490.0	1403.0	1459.0	1535.0	1581.0	1654.0	1622.0	1327.0
50 – 54 -" -	1446.0	1371.0	1424.0	1471.0	1517.0	1624.0	1452.0	1122.0
55 – 59 -" -	1377.0	1311.0	1371.0	1402.0	1449.0	1512.0	1565.0	1387.0
60 – 64 -" -	1359.0	1278.0	1334.0	1372.0	1413.0	1490.0	1478.0	1488.0
65 – 69 -" -	1376.0	1266.0	1368.0	1370.0	1418.0	1484.0	1559.0	1490.0
70 лет и более	1489.0	1307.0	1456.0	1422.0	1486.0	1537.0	1675.0	1975.0
Северо-Западный федеральный округ								
Республика Карелия								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1510.0	1310.0	785.0	1542.0	1324.0	1501.0	2391.0	2586.0
15 – 17 лет	11.0	-	-	0.0	15.0	11.0	8.0	0.0
18 – 19 -" -	83.0	-	34.0	70.0	66.0	176.0	208.0	0.0
20 – 24 -" -	405.0	241.0	110.0	390.0	476.0	689.0	623.0	327.0
25 – 29 -" -	918.0	631.0	658.0	947.0	1055.0	1139.0	1011.0	410.0
30 – 34 -" -	1326.0	1094.0	1268.0	1346.0	1456.0	1513.0	1541.0	381.0
35 – 39 -" -	1658.0	1428.0	1659.0	1655.0	1805.0	1963.0	1487.0	200.0
40 – 44 -" -	1827.0	1586.0	1706.0	1811.0	1985.0	2190.0	1610.0	0.0
45 – 49 -" -	1898.0	1631.0	1809.0	1881.0	1927.0	2414.0	2274.0	1000.0
50 – 54 -" -	1847.0	1557.0	1652.0	1809.0	1930.0	2223.0	2287.0	667.0
55 – 59 -" -	1859.0	1490.0	1699.0	1788.0	1967.0	2202.0	2458.0	1000.0
60 – 64 -" -	1921.0	1456.0	1567.0	1764.0	1889.0	2142.0	2390.0	2373.0
65 – 69 -" -	2125.0	1502.0	2075.0	1828.0	2010.0	2270.0	2506.0	2730.0
70 лет и более	2359.0	1515.0	1923.0	2032.0	2065.0	2288.0	2630.0	2796.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1360.0	1270.0	712.0	1471.0	1197.0	1310.0	2055.0	2274.0
15 – 17 лет	10.0	-	-	0.0	13.0	10.0	8.0	0.0
18 – 19 -" -	67.0	-	34.0	65.0	52.0	152.0	226.0	0.0
20 – 24 -" -	357.0	241.0	106.0	367.0	429.0	618.0	667.0	333.0
25 – 29 -" -	858.0	627.0	640.0	922.0	977.0	1029.0	1051.0	696.0
30 – 34 -" -	1258.0	1076.0	1254.0	1288.0	1379.0	1398.0	1000.0	-
35 – 39 -" -	1567.0	1400.0	1595.0	1593.0	1680.0	1730.0	2250.0	250.0
40 – 44 -" -	1733.0	1549.0	1688.0	1750.0	1872.0	1901.0	1475.0	0.0
45 – 49 -" -	1788.0	1593.0	1680.0	1808.0	1839.0	2136.0	2535.0	1267.0
50 – 54 -" -	1750.0	1529.0	1563.0	1746.0	1815.0	2110.0	1861.0	1000.0
55 – 59 -" -	1713.0	1422.0	1685.0	1725.0	1830.0	1973.0	2053.0	-
60 – 64 -" -	1737.0	1422.0	1484.0	1685.0	1775.0	1948.0	1982.0	2303.0
65 – 69 -" -	1849.0	1461.0	1812.0	1706.0	1786.0	2042.0	2117.0	2243.0
70 лет и более	2084.0	1473.0	1803.0	1935.0	1918.0	2106.0	2295.0	2447.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1983.0	1643.0	1592.0	1824.0	1738.0	1876.0	2780.0	2867.0
15 – 17 лет	15.0	-	-	0.0	28.0	15.0	7.0	0.0
18 – 19 -" -	176.0	-	-	101.0	161.0	231.0	186.0	0.0
20 – 24 -" -	621.0	255.0	208.0	501.0	644.0	810.0	589.0	320.0
25 – 29 -" -	1167.0	689.0	901.0	1068.0	1276.0	1324.0	933.0	0.0
30 – 34 -" -	1588.0	1274.0	1361.0	1591.0	1646.0	1703.0	2571.0	381.0
35 – 39 -" -	1963.0	1658.0	2067.0	1882.0	2064.0	2292.0	1148.0	0.0
40 – 44 -" -	2110.0	1833.0	1849.0	1999.0	2243.0	2462.0	1692.0	0.0
45 – 49 -" -	2237.0	1872.0	2463.0	2143.0	2178.0	2678.0	2000.0	0.0
50 – 54 -" -	2180.0	1759.0	1934.0	2054.0	2316.0	2383.0	2755.0	500.0
55 – 59 -" -	2377.0	1924.0	2000.0	2122.0	2442.0	2578.0	2889.0	1000.0
60 – 64 -" -	2424.0	1774.0	2000.0	2166.0	2322.0	2476.0	2721.0	2430.0
65 – 69 -" -	2707.0	1908.0	2879.0	2272.0	2823.0	2682.0	2888.0	3157.0
70 лет и более	2940.0	1981.0	2492.0	2450.0	2844.0	2825.0	3054.0	3116.0
Республика Коми								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1559.0	1360.0	866.0	1594.0	1389.0	1515.0	2586.0	2879.0
15 – 17 лет	17.0	-	-	0.0	23.0	16.0	11.0	0.0
18 – 19 -" -	100.0	-	66.0	101.0	75.0	184.0	263.0	0.0
20 – 24 -" -	454.0	278.0	223.0	474.0	478.0	680.0	681.0	152.0
25 – 29 -" -	981.0	732.0	751.0	984.0	1087.0	1234.0	1113.0	438.0
30 – 34 -" -	1383.0	1166.0	1255.0	1373.0	1534.0	1611.0	1230.0	729.0
35 – 39 -" -	1706.0	1439.0	1552.0	1701.0	1844.0	2103.0	1035.0	1866.0
40 – 44 -" -	1875.0	1588.0	1737.0	1851.0	2000.0	2364.0	1766.0	1949.0
45 – 49 -" -	1998.0	1712.0	1809.0	1934.0	2082.0	2487.0	2190.0	3371.0
50 – 54 -" -	1971.0	1664.0	1686.0	1905.0	2009.0	2420.0	2607.0	2435.0
55 – 59 -" -	1960.0	1651.0	1727.0	1880.0	1963.0	2310.0	2602.0	4375.0
60 – 64 -" -	2166.0	1612.0	1912.0	1901.0	2052.0	2419.0	2850.0	2774.0
65 – 69 -" -	2419.0	1654.0	2271.0	2071.0	2200.0	2474.0	2911.0	3213.0
70 лет и более	2768.0	1888.0	2573.0	2329.0	2375.0	2727.0	3018.0	3224.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1400.0	1315.0	801.0	1509.0	1290.0	1278.0	2032.0	2558.0
15 – 17 лет	16.0	-	-	0.0	22.0	16.0	10.0	0.0
18 – 19 -" -	82.0	-	69.0	96.0	60.0	159.0	261.0	0.0
20 – 24 -" -	417.0	268.0	213.0	463.0	439.0	613.0	742.0	190.0
25 – 29 -" -	932.0	709.0	760.0	956.0	1036.0	1147.0	1213.0	727.0
30 – 34 -" -	1317.0	1128.0	1215.0	1326.0	1455.0	1485.0	2000.0	1344.0
35 – 39 -" -	1606.0	1400.0	1498.0	1617.0	1733.0	1877.0	1364.0	2661.0
40 – 44 -" -	1769.0	1559.0	1631.0	1771.0	1885.0	2133.0	2288.0	2411.0
45 – 49 -" -	1877.0	1676.0	1772.0	1851.0	1979.0	2193.0	1831.0	4917.0
50 – 54 -" -	1865.0	1604.0	1685.0	1843.0	1938.0	2198.0	2465.0	3000.0
55 – 59 -" -	1828.0	1621.0	1693.0	1798.0	1913.0	2032.0	2058.0	4600.0
60 – 64 -" -	1892.0	1577.0	1929.0	1770.0	1908.0	2080.0	2251.0	1870.0
65 – 69 -" -	1997.0	1587.0	1881.0	1905.0	2025.0	2066.0	2176.0	2725.0
70 лет и более	2350.0	1758.0	2022.0	2078.0	2241.0	2393.0	2490.0	2931.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2080.0	1667.0	1377.0	1949.0	1770.0	1962.0	3239.0	3208.0
15 – 17 лет	18.0	-	-	-	40.0	16.0	16.0	0.0
18 – 19 -" -	196.0	-	0.0	134.0	175.0	254.0	265.0	0.0
20 – 24 -" -	614.0	380.0	320.0	531.0	634.0	789.0	598.0	0.0
25 – 29 -" -	1188.0	927.0	698.0	1138.0	1261.0	1362.0	1000.0	0.0
30 – 34 -" -	1633.0	1449.0	1600.0	1578.0	1753.0	1788.0	597.0	0.0
35 – 39 -" -	2017.0	1665.0	1895.0	1989.0	2120.0	2323.0	831.0	780.0
40 – 44 -" -	2215.0	1774.0	2632.0	2143.0	2313.0	2564.0	1500.0	773.0
45 – 49 -" -	2405.0	1920.0	2250.0	2259.0	2484.0	2766.0	2486.0	0.0
50 – 54 -" -	2378.0	2043.0	1704.0	2175.0	2365.0	2777.0	2735.0	1143.0
55 – 59 -" -	2515.0	1873.0	1889.0	2289.0	2262.0	2933.0	3208.0	4176.0
60 – 64 -" -	2984.0	2000.0	1826.0	2443.0	2710.0	3197.0	3447.0	3712.0
65 – 69 -" -	3321.0	2191.0	3172.0	2687.0	2969.0	3290.0	3677.0	3631.0
70 лет и более	3503.0	2498.0	3448.0	3130.0	3024.0	3525.0	3630.0	3492.0
Архангельская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1595.0	1344.0	781.0	1596.0	1370.0	1635.0	2567.0	2639.0
15 – 17 лет	11.0	-	-	0.0	11.0	11.0	8.0	67.0
18 – 19 -" -	86.0	-	30.0	88.0	57.0	175.0	280.0	121.0
20 – 24 -" -	421.0	241.0	163.0	412.0	458.0	687.0	574.0	93.0
25 – 29 -" -	974.0	680.0	790.0	984.0	1086.0	1224.0	885.0	387.0
30 – 34 -" -	1398.0	1150.0	1173.0	1419.0	1489.0	1659.0	1301.0	935.0
35 – 39 -" -	1708.0	1446.0	1553.0	1701.0	1821.0	2124.0	1429.0	329.0
40 – 44 -" -	1928.0	1595.0	1747.0	1890.0	2066.0	2428.0	2010.0	700.0
45 – 49 -" -	2035.0	1707.0	1878.0	1960.0	2077.0	2583.0	2233.0	481.0
50 – 54 -" -	1995.0	1693.0	1911.0	1921.0	1963.0	2403.0	2653.0	1125.0
55 – 59 -" -	1947.0	1607.0	1783.0	1869.0	1955.0	2252.0	2542.0	2103.0
60 – 64 -" -	2060.0	1595.0	1758.0	1830.0	1945.0	2295.0	2564.0	2754.0
65 – 69 -" -	2243.0	1613.0	1994.0	1953.0	1971.0	2354.0	2636.0	2784.0
70 лет и более	2527.0	1581.0	2057.0	2078.0	2177.0	2488.0	2783.0	2959.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1427.0	1287.0	704.0	1504.0	1246.0	1417.0	2238.0	2439.0
15 – 17 лет	11.0	-	-	0.0	10.0	11.0	10.0	0.0
18 – 19 -" -	72.0	-	32.0	86.0	48.0	163.0	235.0	200.0
20 – 24 -" -	383.0	233.0	157.0	403.0	422.0	619.0	571.0	130.0
25 – 29 -" -	914.0	671.0	781.0	950.0	1019.0	1117.0	823.0	194.0
30 – 34 -" -	1297.0	1118.0	1154.0	1332.0	1372.0	1447.0	954.0	1217.0
35 – 39 -" -	1580.0	1388.0	1528.0	1600.0	1658.0	1830.0	1750.0	643.0
40 – 44 -" -	1794.0	1548.0	1674.0	1787.0	1928.0	2117.0	2038.0	1857.0
45 – 49 -" -	1906.0	1635.0	1899.0	1882.0	1972.0	2335.0	2095.0	1000.0
50 – 54 -" -	1860.0	1645.0	1751.0	1834.0	1871.0	2158.0	2216.0	1267.0
55 – 59 -" -	1810.0	1558.0	1669.0	1786.0	1851.0	2027.0	2336.0	1259.0
60 – 64 -" -	1865.0	1545.0	1764.0	1736.0	1836.0	2052.0	2201.0	2326.0
65 – 69 -" -	1980.0	1522.0	1638.0	1822.0	1862.0	2127.0	2217.0	2431.0
70 лет и более	2236.0	1508.0	1863.0	1879.0	1999.0	2263.0	2461.0	2741.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2140.0	1765.0	1426.0	1971.0	1852.0	2094.0	3001.0	2868.0
15 – 17 лет	14.0	-	-	0.0	24.0	13.0	5.0	200.0
18 – 19 -" -	167.0	-	0.0	99.0	151.0	206.0	338.0	0.0
20 – 24 -" -	595.0	355.0	277.0	457.0	605.0	828.0	579.0	50.0
25 – 29 -" -	1233.0	782.0	874.0	1168.0	1299.0	1421.0	965.0	744.0
30 – 34 -" -	1781.0	1425.0	1314.0	1764.0	1833.0	2002.0	1814.0	125.0
35 – 39 -" -	2107.0	1773.0	1681.0	2040.0	2234.0	2507.0	1055.0	0.0
40 – 44 -" -	2344.0	1879.0	2029.0	2250.0	2446.0	2778.0	1992.0	204.0
45 – 49 -" -	2454.0	2140.0	1722.0	2264.0	2451.0	2880.0	2358.0	298.0
50 – 54 -" -	2489.0	2047.0	2654.0	2301.0	2400.0	2809.0	2995.0	962.0
55 – 59 -" -	2494.0	1996.0	2688.0	2283.0	2473.0	2735.0	2774.0	4000.0
60 – 64 -" -	2636.0	1908.0	1731.0	2255.0	2368.0	2827.0	3043.0	3169.0
65 – 69 -" -	2865.0	2126.0	2788.0	2435.0	2412.0	2876.0	3185.0	3160.0
70 лет и более	3094.0	2095.0	2469.0	2762.0	2877.0	3033.0	3211.0	3213.0
Ненецкий автономный округ								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1921.0	1428.0	1192.0	1846.0	1625.0	1903.0	3516.0	3603.0
15 – 17 лет	22.0	-	-	0.0	51.0	21.0	8.0	0.0
18 – 19 -" -	171.0	-	0.0	156.0	154.0	215.0	154.0	0.0
20 – 24 -" -	585.0	349.0	422.0	557.0	570.0	824.0	563.0	214.0
25 – 29 -" -	1195.0	780.0	780.0	1188.0	1287.0	1599.0	933.0	625.0
30 – 34 -" -	1709.0	1237.0	1400.0	1637.0	1893.0	2167.0	2200.0	2500.0
35 – 39 -" -	2049.0	1583.0	1556.0	1988.0	2189.0	2681.0	3167.0	4750.0
40 – 44 -" -	2191.0	1754.0	1950.0	2061.0	2359.0	2869.0	2167.0	4375.0
45 – 49 -" -	2334.0	1869.0	1833.0	2188.0	2443.0	2882.0	2778.0	3286.0
50 – 54 -" -	2449.0	1819.0	1667.0	2288.0	2381.0	3038.0	3453.0	2200.0
55 – 59 -" -	2368.0	1727.0	2667.0	2136.0	2182.0	2827.0	3744.0	2500.0
60 – 64 -" -	2912.0	1861.0	2500.0	2392.0	2422.0	3138.0	3884.0	5308.0
65 – 69 -" -	3249.0	1700.0	2667.0	2675.0	2390.0	3335.0	4015.0	4818.0
70 лет и более	3951.0	1667.0	3091.0	3211.0	2759.0	3800.0	4302.0	4395.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1583.0	1384.0	1076.0	1679.0	1352.0	1457.0	2748.0	3418.0
15 – 17 лет	29.0	-	-	0.0	62.0	25.0	26.0	0.0
18 – 19 -" -	143.0	-	0.0	145.0	137.0	168.0	0.0	0.0
20 – 24 -" -	540.0	342.0	455.0	564.0	495.0	762.0	600.0	286.0
25 – 29 -" -	1061.0	760.0	727.0	1126.0	1156.0	1324.0	1500.0	500.0
30 – 34 -" -	1530.0	1245.0	1370.0	1564.0	1669.0	1689.0	-	4333.0
35 – 39 -" -	1782.0	1544.0	1450.0	1839.0	1782.0	2041.0	2000.0	6333.0
40 – 44 -" -	1926.0	1722.0	1882.0	1922.0	2011.0	2130.0	2000.0	5833.0
45 – 49 -" -	2079.0	1857.0	1818.0	2047.0	2097.0	2450.0	1000.0	4000.0
50 – 54 -" -	2087.0	1711.0	1700.0	2101.0	2096.0	2388.0	2200.0	3667.0
55 – 59 -" -	1933.0	1600.0	2000.0	1908.0	1860.0	2193.0	2900.0	2750.0
60 – 64 -" -	2200.0	1850.0	2000.0	2035.0	2116.0	2381.0	2576.0	5333.0
65 – 69 -" -	2627.0	1810.0	1500.0	2320.0	2382.0	2922.0	3042.0	4200.0
70 лет и более	3098.0	1577.0	2800.0	2651.0	2818.0	3201.0	3269.0	3833.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2568.0	1735.0	1738.0	2305.0	2131.0	2436.0	3959.0	3729.0
15 – 17 лет	10.0	-	-	-	0.0	14.0	0.0	0.0
18 – 19 -" -	240.0	-	0.0	200.0	213.0	288.0	182.0	0.0
20 – 24 -" -	699.0	429.0	222.0	531.0	742.0	899.0	556.0	143.0
25 – 29 -" -	1554.0	1000.0	1167.0	1444.0	1573.0	1848.0	727.0	667.0
30 – 34 -" -	2071.0	1174.0	1667.0	1838.0	2104.0	2602.0	2200.0	667.0
35 – 39 -" -	2496.0	1824.0	1857.0	2299.0	2521.0	3096.0	3750.0	0.0
40 – 44 -" -	2690.0	2032.0	2333.0	2379.0	2713.0	3425.0	2200.0	0.0
45 – 49 -" -	2877.0	1939.0	2000.0	2599.0	3108.0	3228.0	3133.0	1500.0
50 – 54 -" -	3292.0	2480.0	1500.0	2815.0	3531.0	3748.0	3947.0	0.0
55 – 59 -" -	3250.0	2462.0	3000.0	2787.0	3100.0	3548.0	4034.0	2000.0
60 – 64 -" -	3946.0	1895.0	3000.0	3338.0	3429.0	3921.0	4698.0	5300.0
65 – 69 -" -	4080.0	1125.0	5000.0	3333.0	2429.0	4040.0	4576.0	5000.0
70 лет и более	4860.0	2250.0	3333.0	4500.0	2571.0	4846.0	5043.0	4722.0
Вологодская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1581.0	1339.0	782.0	1542.0	1357.0	1568.0	2469.0	2633.0
15 – 17 лет	17.0	-	-	45.0	18.0	17.0	17.0	0.0
18 – 19 -" -	90.0	-	36.0	101.0	66.0	176.0	190.0	0.0
20 – 24 -" -	430.0	239.0	184.0	441.0	475.0	707.0	607.0	212.0
25 – 29 -" -	982.0	713.0	730.0	1033.0	1096.0	1254.0	1268.0	609.0
30 – 34 -" -	1380.0	1165.0	1242.0	1390.0	1521.0	1645.0	2138.0	158.0
35 – 39 -" -	1674.0	1431.0	1509.0	1668.0	1879.0	2002.0	1933.0	286.0
40 – 44 -" -	1876.0	1609.0	1717.0	1855.0	2006.0	2369.0	1984.0	842.0
45 – 49 -" -	1934.0	1668.0	1766.0	1911.0	1980.0	2404.0	2117.0	1693.0
50 – 54 -" -	1905.0	1691.0	1739.0	1831.0	1868.0	2346.0	2551.0	957.0
55 – 59 -" -	1834.0	1639.0	1682.0	1746.0	1758.0	2148.0	2498.0	878.0
60 – 64 -" -	1935.0	1511.0	1975.0	1714.0	1792.0	2169.0	2378.0	1922.0
65 – 69 -" -	2145.0	1566.0	1541.0	1839.0	1851.0	2167.0	2546.0	3058.0
70 лет и более	2434.0	1598.0	2144.0	2022.0	2086.0	2337.0	2650.0	2856.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1349.0	1265.0	690.0	1432.0	1197.0	1260.0	1987.0	2328.0
15 – 17 лет	16.0	-	-	46.0	18.0	16.0	10.0	0.0
18 – 19 -" -	77.0	-	39.0	108.0	56.0	142.0	200.0	0.0
20 – 24 -" -	377.0	238.0	169.0	424.0	412.0	595.0	578.0	211.0
25 – 29 -" -	896.0	695.0	707.0	976.0	990.0	1058.0	1079.0	455.0
30 – 34 -" -	1259.0	1120.0	1176.0	1299.0	1357.0	1329.0	2471.0	286.0
35 – 39 -" -	1519.0	1346.0	1443.0	1542.0	1683.0	1617.0	1831.0	800.0
40 – 44 -" -	1723.0	1544.0	1601.0	1739.0	1826.0	1963.0	2454.0	1111.0
45 – 49 -" -	1785.0	1600.0	1775.0	1803.0	1826.0	2086.0	2101.0	1154.0
50 – 54 -" -	1750.0	1610.0	1637.0	1732.0	1771.0	2038.0	2094.0	143.0
55 – 59 -" -	1669.0	1575.0	1634.0	1656.0	1659.0	1827.0	1891.0	1600.0
60 – 64 -" -	1682.0	1448.0	1911.0	1616.0	1692.0	1826.0	1851.0	1718.0
65 – 69 -" -	1778.0	1485.0	1424.0	1665.0	1700.0	1857.0	1996.0	2332.0
70 лет и более	2033.0	1516.0	2019.0	1811.0	1892.0	2010.0	2206.0	2578.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	2118.0	1730.0	1422.0	1885.0	1798.0	2046.0	2839.0	2804.0
15 – 17 лет	19.0	-	-	0.0	17.0	18.0	29.0	0.0
18 – 19 -" -	152.0	-	0.0	74.0	130.0	260.0	182.0	0.0
20 – 24 -" -	626.0	249.0	409.0	508.0	663.0	874.0	642.0	213.0
25 – 29 -" -	1280.0	875.0	899.0	1254.0	1335.0	1520.0	1436.0	750.0
30 – 34 -" -	1709.0	1440.0	1778.0	1658.0	1774.0	2029.0	1667.0	83.0
35 – 39 -" -	2050.0	1781.0	1850.0	2001.0	2188.0	2413.0	2047.0	125.0
40 – 44 -" -	2244.0	1908.0	2107.0	2158.0	2332.0	2753.0	1510.0	600.0
45 – 49 -" -	2322.0	1975.0	1702.0	2228.0	2364.0	2696.0	2124.0	2472.0
50 – 54 -" -	2331.0	2079.0	2087.0	2161.0	2221.0	2661.0	2889.0	1313.0
55 – 59 -" -	2311.0	1933.0	1905.0	2101.0	2163.0	2584.0	2835.0	190.0
60 – 64 -" -	2446.0	1827.0	2132.0	2048.0	2137.0	2638.0	2755.0	2030.0
65 – 69 -" -	2723.0	1942.0	1891.0	2327.0	2303.0	2659.0	2966.0	3389.0
70 лет и более	2914.0	2002.0	2372.0	2610.0	2814.0	2883.0	2978.0	3014.0
Калининградская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1400.0	1301.0	799.0	1444.0	1280.0	1346.0	2095.0	2391.0
15 – 17 лет	24.0	-	0.0	39.0	32.0	20.0	25.0	89.0
18 – 19 -" -	91.0	-	46.0	101.0	79.0	166.0	194.0	190.0
20 – 24 -" -	442.0	301.0	206.0	467.0	468.0	760.0	618.0	262.0
25 – 29 -" -	948.0	652.0	729.0	962.0	1099.0	1287.0	1075.0	276.0
30 – 34 -" -	1325.0	1115.0	1211.0	1317.0	1452.0	1762.0	1792.0	1000.0
35 – 39 -" -	1575.0	1341.0	1477.0	1555.0	1827.0	2078.0	2122.0	0.0
40 – 44 -" -	1714.0	1490.0	1600.0	1702.0	1903.0	2273.0	2117.0	918.0
45 – 49 -" -	1736.0	1546.0	1724.0	1691.0	1875.0	2285.0	2203.0	0.0
50 – 54 -" -	1725.0	1545.0	1665.0	1677.0	1802.0	2155.0	2261.0	1175.0
55 – 59 -" -	1715.0	1522.0	1597.0	1634.0	1756.0	1984.0	2654.0	2125.0
60 – 64 -" -	1733.0	1465.0	1693.0	1584.0	1738.0	1958.0	2188.0	2870.0
65 – 69 -" -	1799.0	1519.0	1601.0	1626.0	1671.0	1873.0	2196.0	2929.0
70 лет и более	1953.0	1556.0	1742.0	1684.0	1755.0	1912.0	2224.0	2605.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1293.0	1273.0	763.0	1392.0	1161.0	1167.0	1802.0	2124.0
15 – 17 лет	18.0	-	0.0	48.0	25.0	13.0	21.0	125.0
18 – 19 -" -	68.0	-	36.0	101.0	58.0	140.0	0.0	0.0
20 – 24 -" -	382.0	298.0	197.0	439.0	402.0	663.0	462.0	250.0
25 – 29 -" -	868.0	640.0	705.0	926.0	1016.0	1084.0	709.0	333.0
30 – 34 -" -	1221.0	1100.0	1145.0	1248.0	1293.0	1456.0	1579.0	1500.0
35 – 39 -" -	1452.0	1317.0	1424.0	1479.0	1604.0	1649.0	1121.0	0.0
40 – 44 -" -	1589.0	1457.0	1526.0	1632.0	1683.0	1736.0	1750.0	625.0
45 – 49 -" -	1616.0	1510.0	1712.0	1612.0	1747.0	1730.0	1652.0	0.0
50 – 54 -" -	1602.0	1504.0	1637.0	1612.0	1665.0	1713.0	1580.0	1458.0
55 – 59 -" -	1582.0	1480.0	1575.0	1566.0	1646.0	1711.0	1978.0	1917.0
60 – 64 -" -	1586.0	1440.0	1606.0	1530.0	1618.0	1743.0	1783.0	2622.0
65 – 69 -" -	1623.0	1494.0	1597.0	1578.0	1603.0	1701.0	1764.0	2167.0
70 лет и более	1776.0	1523.0	1695.0	1640.0	1686.0	1792.0	1948.0	2381.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1799.0	1577.0	1106.0	1705.0	1651.0	1708.0	2539.0	2639.0
15 – 17 лет	44.0	-	-	0.0	66.0	42.0	30.0	0.0
18 – 19 -" -	170.0	-	138.0	101.0	170.0	196.0	280.0	308.0
20 – 24 -" -	634.0	337.0	288.0	571.0	635.0	841.0	665.0	276.0
25 – 29 -" -	1229.0	773.0	1000.0	1120.0	1295.0	1463.0	1300.0	235.0
30 – 34 -" -	1695.0	1264.0	1598.0	1612.0	1778.0	2006.0	1959.0	619.0
35 – 39 -" -	2020.0	1569.0	1833.0	1877.0	2238.0	2356.0	2702.0	0.0
40 – 44 -" -	2164.0	1761.0	2040.0	1997.0	2359.0	2632.0	2299.0	1471.0
45 – 49 -" -	2217.0	1879.0	1826.0	2069.0	2217.0	2801.0	2592.0	0.0
50 – 54 -" -	2262.0	1926.0	1824.0	2054.0	2285.0	2685.0	2691.0	750.0
55 – 59 -" -	2299.0	1902.0	1833.0	2030.0	2236.0	2490.0	3163.0	2333.0
60 – 64 -" -	2338.0	1762.0	2333.0	2009.0	2319.0	2451.0	2585.0	3156.0
65 – 69 -" -	2469.0	1769.0	1667.0	2026.0	2176.0	2406.0	2743.0	3404.0
70 лет и более	2659.0	2067.0	2255.0	2128.0	2494.0	2604.0	2771.0	2817.0
Ленинградская область								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1419.0	1319.0	827.0	1462.0	1323.0	1352.0	1926.0	2341.0
15 – 17 лет	33.0	-	-	74.0	44.0	30.0	23.0	0.0
18 – 19 -" -	106.0	-	56.0	113.0	84.0	187.0	414.0	265.0
20 – 24 -" -	431.0	283.0	212.0	451.0	462.0	700.0	576.0	507.0
