3. ОБЩАЯ ПЛОЩАДЬ, В СРЕДНЕМ ПРИХОДЯЩАЯСЯ НА ОДНОГО ЧЛЕНА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
(кв. м на одного человека)						
						
	Средний размер общей площади, приходящейся на одного человека, проживающего	в частных домохозяйствах, состоящих из				
в коммунальных квартирах	15.0	24.0	15.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	46.0	25.0	19.0	15.0	12.0
в отдельных квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	21.0	13.0	9.0	8.0	12.0
Новгородская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	48.0	26.0	20.0	16.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	49.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	46.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	25.0	48.0	26.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	22.0	15.0	11.0	9.0	7.0
Псковская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	44.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	25.0	50.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	14.0	23.0	14.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	49.0	27.0	20.0	16.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	14.0	23.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	24.0	48.0	27.0	19.0	15.0	11.0
в том числе:						
в индивидуальных домах	26.0	50.0	27.0	20.0	16.0	12.0
в отдельных квартирах	19.0	40.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	15.0	25.0	16.0	14.0	11.0	9.0
г. Санкт-Петербург						
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	39.0	23.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	57.0	31.0	25.0	21.0	15.0
в отдельных квартирах	19.0	43.0	24.0	18.0	15.0	12.0
в коммунальных квартирах	16.0	26.0	17.0	13.0	12.0	10.0
Южный федеральный округ						
Республика Адыгея						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	47.0	27.0	20.0	16.0	13.0
в том числе:						
в индивидуальных домах	21.0	52.0	30.0	22.0	18.0	14.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	15.0	26.0	18.0	15.0	12.0	10.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	26.0	19.0	16.0	13.0
в том числе:						
в индивидуальных домах	22.0	52.0	30.0	22.0	19.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	15.0	25.0	16.0	14.0	12.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	50.0	29.0	21.0	17.0	13.0
в том числе:						
в индивидуальных домах	21.0	53.0	30.0	22.0	18.0	14.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	10.0
в коммунальных квартирах	19.0	33.0	25.0	25.0	14.0	13.0
Республика Дагестан						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	67.0	37.0	26.0	21.0	16.0
в том числе:						
в индивидуальных домах	21.0	78.0	44.0	31.0	25.0	17.0
в отдельных квартирах	13.0	42.0	24.0	17.0	14.0	10.0
в коммунальных квартирах	16.0	32.0	22.0	17.0	15.0	13.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	16.0	52.0	29.0	21.0	17.0	14.0
в том числе:						
в индивидуальных домах	20.0	74.0	41.0	30.0	25.0	17.0
в отдельных квартирах	13.0	43.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	27.0	18.0	14.0	12.0	11.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	21.0	73.0	42.0	30.0	24.0	17.0
в том числе:						
в индивидуальных домах	22.0	79.0	45.0	31.0	25.0	17.0
в отдельных квартирах	17.0	41.0	27.0	20.0	16.0	12.0
в коммунальных квартирах	17.0	32.0	23.0	18.0	16.0	13.0
Республика Ингушетия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	11.0	46.0	27.0	20.0	16.0	10.0
в том числе:						
в индивидуальных домах	12.0	60.0	35.0	25.0	19.0	11.0
в отдельных квартирах	9.0	34.0	19.0	14.0	12.0	8.0
в коммунальных квартирах	8.0	23.0	16.0	16.0	13.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	12.0	45.0	26.0	20.0	16.0	11.0
в том числе:						
в индивидуальных домах	13.0	60.0	34.0	25.0	20.0	12.0
в отдельных квартирах	9.0	37.0	21.0	14.0	12.0	8.0
в коммунальных квартирах	9.0	28.0	19.0	18.0	14.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	11.0	47.0	28.0	20.0	16.0	10.0
в том числе:						
в индивидуальных домах	11.0	61.0	36.0	24.0	19.0	10.0
в отдельных квартирах	9.0	29.0	17.0	13.0	11.0	8.0
в коммунальных квартирах	7.0	17.0	13.0	12.0	11.0	6.0
Кабардино–Балкарская Республика						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	48.0	27.0	20.0	17.0	14.0
в том числе:						
в индивидуальных домах	18.0	58.0	32.0	25.0	20.0	14.0
в отдельных квартирах	15.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	24.0	17.0	14.0	12.0	11.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	45.0	25.0	19.0	15.0	13.0
в том числе:						
в индивидуальных домах	19.0	56.0	31.0	23.0	19.0	14.0
в отдельных квартирах	16.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	24.0	15.0	13.0	11.0	11.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	56.0	32.0	24.0	20.0	14.0
в том числе:						
в индивидуальных домах	17.0	59.0	34.0	25.0	20.0	14.0
в отдельных квартирах	15.0	42.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	14.0	25.0	19.0	17.0	13.0	12.0
Республика Калмыкия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	49.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	19.0	54.0	30.0	22.0	18.0	12.0
в отдельных квартирах	18.0	45.0	26.0	19.0	15.0	11.0
в коммунальных квартирах	11.0	22.0	15.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	48.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	21.0	58.0	33.0	24.0	20.0	14.0
в отдельных квартирах	18.0	44.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	11.0	23.0	15.0	11.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	50.0	28.0	21.0	16.0	11.0
в том числе:						
в индивидуальных домах	19.0	52.0	30.0	21.0	17.0	12.0
в отдельных квартирах	18.0	47.0	27.0	20.0	15.0	11.0
в коммунальных квартирах	11.0	20.0	16.0	11.0	10.0	8.0
Карачаево-Черкесская Республика						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	46.0	27.0	20.0	17.0	14.0
в том числе:						
в индивидуальных домах	19.0	51.0	30.0	23.0	19.0	14.0
в отдельных квартирах	17.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	29.0	17.0	12.0	11.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	15.0	13.0
в том числе:						
в индивидуальных домах	20.0	51.0	30.0	23.0	19.0	15.0
в отдельных квартирах	17.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	13.0	28.0	17.0	12.0	10.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	49.0	29.0	22.0	18.0	14.0
в том числе:						
в индивидуальных домах	19.0	51.0	30.0	23.0	19.0	14.0
в отдельных квартирах	17.0	43.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	31.0	16.0	15.0	12.0	9.0
Республика Северная Осетия – Алания						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	49.0	28.0	20.0	16.0	13.0
в том числе:						
в индивидуальных домах	20.0	64.0	36.0	26.0	20.0	14.0
в отдельных квартирах	17.0	42.0	23.0	17.0	14.0	10.0
в коммунальных квартирах	13.0	27.0	18.0	14.0	10.0	10.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	46.0	26.0	19.0	15.0	13.0
в том числе:						
в индивидуальных домах	21.0	64.0	35.0	26.0	20.0	15.0
в отдельных квартирах	17.0	42.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	28.0	17.0	13.0	9.0	10.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	61.0	34.0	24.0	19.0	14.0
в том числе:						
в индивидуальных домах	19.0	65.0	36.0	26.0	20.0	14.0
в отдельных квартирах	14.0	43.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	14.0	22.0	21.0	17.0	14.0	10.0
Чеченская Республика						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	58.0	32.0	23.0	18.0	13.0
в том числе:						
в индивидуальных домах	15.0	68.0	37.0	26.0	21.0	13.0
в отдельных квартирах	11.0	41.0	23.0	16.0	13.0	9.0
в коммунальных квартирах	11.0	27.0	19.0	14.0	12.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	13.0	53.0	31.0	21.0	16.0	11.0
в том числе:						
в индивидуальных домах	15.0	73.0	39.0	28.0	20.0	13.0
в отдельных квартирах	11.0	43.0	23.0	16.0	12.0	9.0
в коммунальных квартирах	8.0	18.0	14.0	16.0	10.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	15.0	59.0	32.0	23.0	19.0	13.0
в том числе:						
в индивидуальных домах	16.0	67.0	36.0	26.0	21.0	13.0
в отдельных квартирах	13.0	40.0	23.0	16.0	14.0	10.0
в коммунальных квартирах	12.0	29.0	20.0	14.0	13.0	9.0
Краснодарский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	45.0	26.0	19.0	16.0	12.0
в том числе:						
в индивидуальных домах	21.0	49.0	29.0	22.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	23.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	21.0	51.0	30.0	23.0	18.0	14.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	23.0	15.0	11.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	47.0	27.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	20.0	48.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	40.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	15.0	26.0	19.0	14.0	12.0	9.0
Ставропольский край						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	47.0	27.0	20.0	17.0	12.0
в том числе:						
в индивидуальных домах	21.0	53.0	31.0	23.0	18.0	13.0
в отдельных квартирах	18.0	41.0	24.0	18.0	14.0	11.0
в коммунальных квартирах	13.0	24.0	16.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	44.0	26.0	19.0	16.0	12.0
в том числе:						
в индивидуальных домах	22.0	54.0	32.0	24.0	19.0	14.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	24.0	16.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	50.0	29.0	22.0	17.0	12.0
в том числе:						
в индивидуальных домах	20.0	52.0	30.0	22.0	18.0	13.0
в отдельных квартирах	18.0	44.0	27.0	20.0	16.0	11.0
в коммунальных квартирах	14.0	27.0	17.0	15.0	13.0	9.0
Астраханская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	24.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	19.0	46.0	26.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	22.0	14.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	46.0	26.0	20.0	16.0	12.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	22.0	14.0	10.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	45.0	26.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	19.0	47.0	27.0	21.0	17.0	12.0
в отдельных квартирах	17.0	42.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	10.0	23.0	14.0	10.0	10.0	6.0
Волгоградская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	43.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	21.0	48.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	24.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	22.0	49.0	29.0	22.0	18.0	13.0
в отдельных квартирах	18.0	41.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	46.0	27.0	20.0	16.0	11.0
в том числе:						
в индивидуальных домах	21.0	47.0	27.0	20.0	16.0	11.0
в отдельных квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	13.0	10.0	8.0
Ростовская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	44.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	21.0	50.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	14.0	23.0	16.0	13.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	50.0	28.0	21.0	17.0	13.0
в отдельных квартирах	18.0	39.0	22.0	16.0	13.0	10.0
в коммунальных квартирах	14.0	23.0	16.0	13.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	49.0	28.0	20.0	16.0	11.0
в том числе:						
в индивидуальных домах	21.0	51.0	29.0	21.0	16.0	12.0
в отдельных квартирах	18.0	43.0	25.0	18.0	14.0	10.0
в коммунальных квартирах	13.0	23.0	17.0	13.0	11.0	9.0
Приволжский федеральный округ						
Республика Башкортостан						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	19.0	43.0	26.0	19.0	15.0	11.0
в отдельных квартирах	17.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	45.0	27.0	20.0	16.0	12.0
в отдельных квартирах	17.0	41.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	43.0	25.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	43.0	25.0	19.0	15.0	11.0
в отдельных квартирах	16.0	40.0	24.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	15.0	11.0	10.0	9.0
Республика Марий Эл						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	43.0	25.0	19.0	15.0	11.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	47.0	28.0	21.0	17.0	13.0
в отдельных квартирах	18.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	41.0	24.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	18.0	14.0	11.0
в отдельных квартирах	16.0	39.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	15.0	10.0	9.0	8.0
Республика Мордовия						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	46.0	27.0	21.0	17.0	13.0
в отдельных квартирах	17.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	49.0	29.0	22.0	18.0	13.0
в отдельных квартирах	17.0	38.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	13.0	23.0	16.0	11.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	45.0	27.0	20.0	16.0	13.0
в том числе:						
в индивидуальных домах	23.0	46.0	27.0	21.0	17.0	13.0
в отдельных квартирах	18.0	41.0	25.0	18.0	15.0	11.0
в коммунальных квартирах	15.0	24.0	17.0	15.0	13.0	9.0
Республика Татарстан						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	20.0	46.0	28.0	21.0	17.0	13.0
в отдельных квартирах	17.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	22.0	52.0	30.0	23.0	19.0	14.0
в отдельных квартирах	17.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	8.0	7.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	44.0	26.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	20.0	44.0	27.0	21.0	17.0	12.0
в отдельных квартирах	17.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	22.0	16.0	12.0	11.0	9.0
Удмуртская Республика						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	39.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	18.0	15.0	11.0
в отдельных квартирах	17.0	38.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	38.0	23.0	16.0	13.0	11.0
в том числе:						
в индивидуальных домах	19.0	42.0	25.0	18.0	15.0	12.0
в отдельных квартирах	17.0	39.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	12.0	20.0	13.0	10.0	9.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	17.0	40.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	18.0	42.0	24.0	18.0	15.0	11.0
в отдельных квартирах	16.0	38.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	20.0	12.0	10.0	10.0	8.0
Чувашская Республика						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	44.0	26.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	21.0	47.0	28.0	21.0	17.0	13.0
в отдельных квартирах	17.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	8.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	21.0	47.0	27.0	20.0	16.0	12.0
в отдельных квартирах	17.0	40.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	11.0	21.0	13.0	10.0	8.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	47.0	28.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	21.0	48.0	28.0	21.0	17.0	13.0
в отдельных квартирах	16.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	13.0	23.0	16.0	13.0	10.0	9.0
Кировская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	38.0	23.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	20.0	41.0	24.0	18.0	15.0	11.0
в отдельных квартирах	18.0	38.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	14.0	22.0	14.0	11.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	38.0	22.0	16.0	13.0	11.0
в том числе:						
в индивидуальных домах	20.0	41.0	23.0	18.0	15.0	12.0
в отдельных квартирах	18.0	38.0	23.0	16.0	13.0	11.0
в коммунальных квартирах	14.0	22.0	14.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	23.0	17.0	14.0	10.0
в том числе:						
в индивидуальных домах	21.0	41.0	24.0	18.0	15.0	11.0
в отдельных квартирах	18.0	39.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	14.0	20.0	15.0	11.0	9.0	9.0
Нижегородская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	24.0	18.0	14.0	11.0
в том числе:						
в индивидуальных домах	24.0	46.0	27.0	20.0	17.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	15.0	12.0	11.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	41.0	24.0	17.0	14.0	11.0
в том числе:						
в индивидуальных домах	23.0	49.0	28.0	21.0	17.0	13.0
в отдельных квартирах	19.0	40.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	11.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	44.0	25.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	24.0	45.0	26.0	20.0	16.0	12.0
в отдельных квартирах	18.0	41.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	14.0	24.0	16.0	13.0	11.0	9.0
Оренбургская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	43.0	26.0	19.0	15.0	12.0
в том числе:						
в индивидуальных домах	21.0	48.0	28.0	21.0	17.0	12.0
в отдельных квартирах	18.0	41.0	24.0	17.0	14.0	11.0
в коммунальных квартирах	14.0	23.0	16.0	12.0	10.0	9.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	42.0	25.0	18.0	15.0	11.0
в том числе:						
в индивидуальных домах	23.0	51.0	30.0	23.0	18.0	13.0
в отдельных квартирах	18.0	40.0	23.0	17.0	13.0	11.0
в коммунальных квартирах	14.0	23.0	15.0	12.0	10.0	9.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	46.0	27.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	21.0	47.0	28.0	21.0	16.0	12.0
в отдельных квартирах	19.0	43.0	26.0	19.0	15.0	11.0
в коммунальных квартирах	14.0	24.0	17.0	13.0	11.0	8.0
Пензенская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	20.0	42.0	25.0	18.0	15.0	12.0
в том числе:						
в индивидуальных домах	23.0	46.0	27.0	21.0	17.0	13.0
в отдельных квартирах	18.0	39.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	21.0	14.0	11.0	10.0	8.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	19.0	40.0	24.0	17.0	14.0	12.0
в том числе:						
в индивидуальных домах	23.0	48.0	29.0	22.0	18.0	14.0
в отдельных квартирах	18.0	38.0	23.0	17.0	14.0	11.0
в коммунальных квартирах	13.0	21.0	14.0	11.0	10.0	8.0
Сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	22.0	44.0	26.0	20.0	16.0	12.0
в том числе:						
в индивидуальных домах	23.0	45.0	27.0	21.0	17.0	13.0
в отдельных квартирах	19.0	42.0	25.0	18.0	14.0	11.0
в коммунальных квартирах	15.0	23.0	19.0	14.0	13.0	9.0
Пермская область						
Городские и сельские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	39.0	23.0	16.0	13.0	10.0
в том числе:						
в индивидуальных домах	18.0	40.0	23.0	17.0	14.0	10.0
в отдельных квартирах	17.0	39.0	23.0	16.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	13.0	10.0	9.0	7.0
Городские населенные пункты						
Население, проживающее в индивидуальных домах и квартирах	18.0	38.0	22.0	16.0	13.0	10.0
в том числе:						
в индивидуальных домах	18.0	41.0	23.0	17.0	14.0	10.0
в отдельных квартирах	18.0	39.0	23.0	17.0	13.0	10.0
в коммунальных квартирах	12.0	21.0	13.0	10.0	9.0	7.0
Сельские населенные пункты						
