7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
10 - 14	67217.0	34200.0	33017.0	46507.0	23568.0	22939.0	20710.0	10632.0	10078.0
15 - 17	51634.0	26046.0	25588.0	37945.0	18834.0	19111.0	13689.0	7212.0	6477.0
18 - 19	32257.0	15735.0	16522.0	25402.0	12257.0	13145.0	6855.0	3478.0	3377.0
20 - 24	72611.0	36287.0	36324.0	55860.0	27328.0	28532.0	16751.0	8959.0	7792.0
25 - 29	66042.0	33091.0	32951.0	50522.0	24841.0	25681.0	15520.0	8250.0	7270.0
30 - 34	60619.0	30035.0	30584.0	45189.0	22017.0	23172.0	15430.0	8018.0	7412.0
35 - 39	65501.0	31914.0	33587.0	47084.0	22155.0	24929.0	18417.0	9759.0	8658.0
40 - 44	83882.0	40313.0	43569.0	60493.0	27770.0	32723.0	23389.0	12543.0	10846.0
45 - 49	82289.0	38690.0	43599.0	60220.0	27123.0	33097.0	22069.0	11567.0	10502.0
50 - 54	72214.0	33326.0	38888.0	53172.0	23654.0	29518.0	19042.0	9672.0	9370.0
55 - 59	36073.0	15833.0	20240.0	26028.0	11183.0	14845.0	10045.0	4650.0	5395.0
60 - 64	54052.0	21478.0	32574.0	35338.0	13742.0	21596.0	18714.0	7736.0	10978.0
65 - 69	45807.0	17441.0	28366.0	27927.0	10360.0	17567.0	17880.0	7081.0	10799.0
70 и более	112038.0	29125.0	82913.0	64331.0	16736.0	47595.0	47707.0	12389.0	35318.0
возраст не указан	413.0	184.0	229.0	348.0	155.0	193.0	65.0	29.0	36.0
Из общей численности - население в возрасте:									
моложе трудоспособного	162682.0	83071.0	79611.0	114433.0	58356.0	56077.0	48249.0	24715.0	23534.0
трудоспособном	584841.0	292108.0	292733.0	434291.0	210744.0	223547.0	150550.0	81364.0	69186.0
старше трудоспособного	232137.0	68044.0	164093.0	142441.0	40838.0	101603.0	89696.0	27206.0	62490.0
Медианный возраст	   39,8	   36,1	   42,6	   38,3	   34,5	   41,0	   43,2	   39,6	   47,1
Украинцы	17362.0	8498.0	8864.0	12182.0	5934.0	6248.0	5180.0	2564.0	2616.0
 в том числе в возрасте, лет:									
0 - 4	142.0	78.0	64.0	79.0	44.0	35.0	63.0	34.0	29.0
5 - 9	252.0	122.0	130.0	143.0	64.0	79.0	109.0	58.0	51.0
10 - 14	483.0	243.0	240.0	308.0	160.0	148.0	175.0	83.0	92.0
15 - 17	368.0	179.0	189.0	241.0	114.0	127.0	127.0	65.0	62.0
18 - 19	210.0	93.0	117.0	145.0	62.0	83.0	65.0	31.0	34.0
20 - 24	661.0	327.0	334.0	450.0	215.0	235.0	211.0	112.0	99.0
25 - 29	960.0	455.0	505.0	679.0	321.0	358.0	281.0	134.0	147.0
30 - 34	1434.0	654.0	780.0	983.0	449.0	534.0	451.0	205.0	246.0
35 - 39	1955.0	974.0	981.0	1369.0	699.0	670.0	586.0	275.0	311.0
40 - 44	2182.0	1110.0	1072.0	1474.0	723.0	751.0	708.0	387.0	321.0
45 - 49	1832.0	927.0	905.0	1268.0	623.0	645.0	564.0	304.0	260.0
50 - 54	1710.0	913.0	797.0	1237.0	663.0	574.0	473.0	250.0	223.0
55 - 59	1012.0	552.0	460.0	704.0	393.0	311.0	308.0	159.0	149.0
60 - 64	1528.0	725.0	803.0	1125.0	540.0	585.0	403.0	185.0	218.0
65 - 69	928.0	475.0	453.0	691.0	348.0	343.0	237.0	127.0	110.0
70 и более	1700.0	668.0	1032.0	1281.0	513.0	768.0	419.0	155.0	264.0
возраст не указан	5.0	3.0	2.0	5.0	3.0	2.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	988.0	491.0	497.0	604.0	300.0	304.0	384.0	191.0	193.0
трудоспособном	11753.0	6136.0	5617.0	8165.0	4230.0	3935.0	3588.0	1906.0	1682.0
старше трудоспособного	4616.0	1868.0	2748.0	3408.0	1401.0	2007.0	1208.0	467.0	741.0
Медианный возраст	   45,1	   45,1	   45,1	   45,8	   45,8	   45,7	   43,5	   43,5	   43,6
Белорусы	16231.0	6896.0	9335.0	11762.0	4999.0	6763.0	4469.0	1897.0	2572.0
 в том числе в возрасте, лет:									
0 - 4	106.0	58.0	48.0	81.0	42.0	39.0	25.0	16.0	9.0
5 - 9	181.0	94.0	87.0	114.0	59.0	55.0	67.0	35.0	32.0
10 - 14	319.0	164.0	155.0	213.0	112.0	101.0	106.0	52.0	54.0
15 - 17	428.0	211.0	217.0	315.0	149.0	166.0	113.0	62.0	51.0
18 - 19	309.0	110.0	199.0	260.0	91.0	169.0	49.0	19.0	30.0
20 - 24	597.0	292.0	305.0	437.0	208.0	229.0	160.0	84.0	76.0
25 - 29	788.0	390.0	398.0	588.0	301.0	287.0	200.0	89.0	111.0
30 - 34	1079.0	471.0	608.0	776.0	342.0	434.0	303.0	129.0	174.0
35 - 39	1613.0	660.0	953.0	1136.0	461.0	675.0	477.0	199.0	278.0
40 - 44	2223.0	879.0	1344.0	1576.0	620.0	956.0	647.0	259.0	388.0
45 - 49	1995.0	905.0	1090.0	1454.0	666.0	788.0	541.0	239.0	302.0
50 - 54	1707.0	774.0	933.0	1258.0	553.0	705.0	449.0	221.0	228.0
55 - 59	942.0	434.0	508.0	681.0	308.0	373.0	261.0	126.0	135.0
60 - 64	1253.0	526.0	727.0	947.0	407.0	540.0	306.0	119.0	187.0
65 - 69	1011.0	421.0	590.0	728.0	315.0	413.0	283.0	106.0	177.0
70 и более	1675.0	506.0	1169.0	1195.0	365.0	830.0	480.0	141.0	339.0
возраст не указан	5.0	1.0	4.0	3.0	-	3.0	2.0	1.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	734.0	383.0	351.0	497.0	258.0	239.0	237.0	125.0	112.0
трудоспособном	11045.0	5059.0	5986.0	8019.0	3654.0	4365.0	3026.0	1405.0	1621.0
старше трудоспособного	4447.0	1453.0	2994.0	3243.0	1087.0	2156.0	1204.0	366.0	838.0
Медианный возраст	   46,1	   45,6	   46,4	   46,3	   45,8	   46,6	   45,7	   45,1	   46,1
Тамбовская область									
Русские	1136864.0	518424.0	618440.0	650534.0	291504.0	359030.0	486330.0	226920.0	259410.0
 в том числе в возрасте, лет:									
0 - 4	42955.0	22028.0	20927.0	24351.0	12553.0	11798.0	18604.0	9475.0	9129.0
5 - 9	50812.0	26047.0	24765.0	27914.0	14311.0	13603.0	22898.0	11736.0	11162.0
10 - 14	77193.0	39430.0	37763.0	43031.0	21914.0	21117.0	34162.0	17516.0	16646.0
15 - 17	55272.0	28348.0	26924.0	33387.0	16810.0	16577.0	21885.0	11538.0	10347.0
18 - 19	32423.0	15316.0	17107.0	21930.0	10384.0	11546.0	10493.0	4932.0	5561.0
20 - 24	74030.0	36146.0	37884.0	47190.0	22425.0	24765.0	26840.0	13721.0	13119.0
25 - 29	74306.0	37443.0	36863.0	46013.0	22643.0	23370.0	28293.0	14800.0	13493.0
30 - 34	70968.0	35380.0	35588.0	42309.0	20320.0	21989.0	28659.0	15060.0	13599.0
35 - 39	78474.0	39228.0	39246.0	45398.0	21605.0	23793.0	33076.0	17623.0	15453.0
40 - 44	97405.0	48590.0	48815.0	56807.0	26501.0	30306.0	40598.0	22089.0	18509.0
45 - 49	90235.0	43874.0	46361.0	54347.0	24854.0	29493.0	35888.0	19020.0	16868.0
50 - 54	81700.0	38362.0	43338.0	50469.0	22538.0	27931.0	31231.0	15824.0	15407.0
55 - 59	42226.0	18537.0	23689.0	25494.0	11028.0	14466.0	16732.0	7509.0	9223.0
60 - 64	76049.0	29955.0	46094.0	39656.0	15299.0	24357.0	36393.0	14656.0	21737.0
65 - 69	58248.0	22204.0	36044.0	28404.0	10587.0	17817.0	29844.0	11617.0	18227.0
70 и более	134424.0	37465.0	96959.0	63738.0	17686.0	46052.0	70686.0	19779.0	50907.0
возраст не указан	144.0	71.0	73.0	96.0	46.0	50.0	48.0	25.0	23.0
Из общей численности - население в возрасте:									
моложе трудоспособного	190399.0	97525.0	92874.0	106570.0	54519.0	52051.0	83829.0	43006.0	40823.0
трудоспособном	653911.0	331204.0	322707.0	397604.0	193367.0	204237.0	256307.0	137837.0	118470.0
старше трудоспособного	292410.0	89624.0	202786.0	146264.0	43572.0	102692.0	146146.0	46052.0	100094.0
Медианный возраст	   40,6	   37,6	   43,3	   39,4	   36,1	   41,9	   42,3	   39,3	   45,7
Украинцы	10809.0	4709.0	6100.0	5961.0	2809.0	3152.0	4848.0	1900.0	2948.0
 в том числе в возрасте, лет:									
0 - 4	83.0	46.0	37.0	34.0	20.0	14.0	49.0	26.0	23.0
5 - 9	146.0	77.0	69.0	53.0	24.0	29.0	93.0	53.0	40.0
10 - 14	240.0	117.0	123.0	109.0	52.0	57.0	131.0	65.0	66.0
15 - 17	157.0	76.0	81.0	74.0	36.0	38.0	83.0	40.0	43.0
18 - 19	125.0	55.0	70.0	70.0	30.0	40.0	55.0	25.0	30.0
20 - 24	360.0	158.0	202.0	161.0	71.0	90.0	199.0	87.0	112.0
25 - 29	582.0	246.0	336.0	248.0	106.0	142.0	334.0	140.0	194.0
30 - 34	823.0	342.0	481.0	398.0	177.0	221.0	425.0	165.0	260.0
35 - 39	1035.0	431.0	604.0	502.0	242.0	260.0	533.0	189.0	344.0
40 - 44	1191.0	524.0	667.0	583.0	299.0	284.0	608.0	225.0	383.0
45 - 49	1069.0	522.0	547.0	589.0	301.0	288.0	480.0	221.0	259.0
50 - 54	1064.0	444.0	620.0	579.0	269.0	310.0	485.0	175.0	310.0
55 - 59	776.0	350.0	426.0	443.0	238.0	205.0	333.0	112.0	221.0
60 - 64	1061.0	493.0	568.0	653.0	334.0	319.0	408.0	159.0	249.0
65 - 69	751.0	335.0	416.0	500.0	236.0	264.0	251.0	99.0	152.0
70 и более	1346.0	493.0	853.0	965.0	374.0	591.0	381.0	119.0	262.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	523.0	263.0	260.0	224.0	108.0	116.0	299.0	155.0	144.0
трудоспособном	6702.0	3125.0	3577.0	3414.0	1757.0	1657.0	3288.0	1368.0	1920.0
старше трудоспособного	3584.0	1321.0	2263.0	2323.0	944.0	1379.0	1261.0	377.0	884.0
Медианный возраст	   48,0	   47,8	   48,3	   51,3	   50,7	   52,0	   44,3	   43,4	   44,7
Тверская область									
Русские	1361006.0	608666.0	752340.0	997735.0	441146.0	556589.0	363271.0	167520.0	195751.0
 в том числе в возрасте, лет:									
0 - 4	52597.0	27174.0	25423.0	39362.0	20392.0	18970.0	13235.0	6782.0	6453.0
5 - 9	56118.0	28926.0	27192.0	40678.0	20838.0	19840.0	15440.0	8088.0	7352.0
10 - 14	91550.0	46653.0	44897.0	65270.0	33070.0	32200.0	26280.0	13583.0	12697.0
15 - 17	67701.0	34787.0	32914.0	51657.0	26267.0	25390.0	16044.0	8520.0	7524.0
18 - 19	41372.0	19969.0	21403.0	33369.0	15813.0	17556.0	8003.0	4156.0	3847.0
20 - 24	93828.0	46740.0	47088.0	73917.0	36154.0	37763.0	19911.0	10586.0	9325.0
25 - 29	88446.0	44112.0	44334.0	69967.0	34232.0	35735.0	18479.0	9880.0	8599.0
30 - 34	80347.0	39257.0	41090.0	62416.0	30005.0	32411.0	17931.0	9252.0	8679.0
35 - 39	87101.0	42014.0	45087.0	65368.0	30680.0	34688.0	21733.0	11334.0	10399.0
40 - 44	112265.0	53721.0	58544.0	83430.0	38349.0	45081.0	28835.0	15372.0	13463.0
45 - 49	111125.0	52561.0	58564.0	83591.0	37840.0	45751.0	27534.0	14721.0	12813.0
50 - 54	99803.0	46026.0	53777.0	75158.0	33453.0	41705.0	24645.0	12573.0	12072.0
55 - 59	50985.0	22639.0	28346.0	38174.0	16644.0	21530.0	12811.0	5995.0	6816.0
60 - 64	85653.0	33074.0	52579.0	59403.0	22133.0	37270.0	26250.0	10941.0	15309.0
65 - 69	73934.0	27431.0	46503.0	49377.0	17503.0	31874.0	24557.0	9928.0	14629.0
70 и более	167965.0	43488.0	124477.0	106452.0	27710.0	78742.0	61513.0	15778.0	45735.0
возраст не указан	216.0	94.0	122.0	146.0	63.0	83.0	70.0	31.0	39.0
Из общей численности - население в возрасте:									
моложе трудоспособного	224052.0	115093.0	108959.0	162968.0	83433.0	79535.0	61084.0	31660.0	29424.0
трудоспособном	780840.0	389486.0	391354.0	597859.0	290304.0	307555.0	182981.0	99182.0	83799.0
старше трудоспособного	355898.0	103993.0	251905.0	236762.0	67346.0	169416.0	119136.0	36647.0	82489.0
Медианный возраст	   41,0	   37,1	   44,0	   39,8	   35,7	   42,7	   44,3	   40,5	   48,6
Украинцы	22563.0	10764.0	11799.0	17161.0	8141.0	9020.0	5402.0	2623.0	2779.0
 в том числе в возрасте, лет:									
0 - 4	226.0	114.0	112.0	167.0	87.0	80.0	59.0	27.0	32.0
5 - 9	356.0	176.0	180.0	268.0	135.0	133.0	88.0	41.0	47.0
10 - 14	637.0	319.0	318.0	435.0	216.0	219.0	202.0	103.0	99.0
15 - 17	494.0	249.0	245.0	377.0	188.0	189.0	117.0	61.0	56.0
18 - 19	250.0	126.0	124.0	203.0	106.0	97.0	47.0	20.0	27.0
20 - 24	791.0	357.0	434.0	591.0	258.0	333.0	200.0	99.0	101.0
25 - 29	1294.0	604.0	690.0	996.0	448.0	548.0	298.0	156.0	142.0
30 - 34	1993.0	815.0	1178.0	1496.0	603.0	893.0	497.0	212.0	285.0
35 - 39	2485.0	1142.0	1343.0	1851.0	840.0	1011.0	634.0	302.0	332.0
40 - 44	2582.0	1239.0	1343.0	1933.0	918.0	1015.0	649.0	321.0	328.0
45 - 49	2215.0	1142.0	1073.0	1710.0	874.0	836.0	505.0	268.0	237.0
50 - 54	2041.0	1047.0	994.0	1541.0	778.0	763.0	500.0	269.0	231.0
55 - 59	1431.0	733.0	698.0	1139.0	573.0	566.0	292.0	160.0	132.0
60 - 64	1972.0	1010.0	962.0	1484.0	765.0	719.0	488.0	245.0	243.0
65 - 69	1359.0	641.0	718.0	1030.0	484.0	546.0	329.0	157.0	172.0
70 и более	2433.0	1049.0	1384.0	1938.0	868.0	1070.0	495.0	181.0	314.0
возраст не указан	4.0	1.0	3.0	2.0	-	2.0	2.0	1.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	1387.0	696.0	691.0	996.0	503.0	493.0	391.0	193.0	198.0
трудоспособном	14710.0	7367.0	7343.0	11145.0	5521.0	5624.0	3565.0	1846.0	1719.0
старше трудоспособного	6462.0	2700.0	3762.0	5018.0	2117.0	2901.0	1444.0	583.0	861.0
Медианный возраст	   45,3	   45,9	   44,7	   45,6	   46,3	   45,0	   44,3	   44,5	   44,1
Карелы	14633.0	5996.0	8637.0	5851.0	2260.0	3591.0	8782.0	3736.0	5046.0
 в том числе в возрасте, лет:									
0 - 4	64.0	34.0	30.0	16.0	8.0	8.0	48.0	26.0	22.0
5 - 9	79.0	49.0	30.0	20.0	13.0	7.0	59.0	36.0	23.0
10 - 14	180.0	97.0	83.0	49.0	26.0	23.0	131.0	71.0	60.0
15 - 17	145.0	79.0	66.0	69.0	39.0	30.0	76.0	40.0	36.0
18 - 19	93.0	57.0	36.0	45.0	25.0	20.0	48.0	32.0	16.0
20 - 24	309.0	141.0	168.0	149.0	58.0	91.0	160.0	83.0	77.0
25 - 29	375.0	205.0	170.0	202.0	100.0	102.0	173.0	105.0	68.0
30 - 34	418.0	223.0	195.0	188.0	90.0	98.0	230.0	133.0	97.0
35 - 39	828.0	455.0	373.0	331.0	165.0	166.0	497.0	290.0	207.0
40 - 44	1428.0	770.0	658.0	610.0	315.0	295.0	818.0	455.0	363.0
45 - 49	1642.0	853.0	789.0	749.0	314.0	435.0	893.0	539.0	354.0
50 - 54	1465.0	746.0	719.0	697.0	316.0	381.0	768.0	430.0	338.0
55 - 59	512.0	243.0	269.0	235.0	99.0	136.0	277.0	144.0	133.0
60 - 64	1261.0	499.0	762.0	501.0	177.0	324.0	760.0	322.0	438.0
65 - 69	1508.0	543.0	965.0	557.0	175.0	382.0	951.0	368.0	583.0
70 и более	4321.0	1000.0	3321.0	1430.0	339.0	1091.0	2891.0	661.0	2230.0
возраст не указан	5.0	2.0	3.0	3.0	1.0	2.0	2.0	1.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	388.0	214.0	174.0	109.0	59.0	50.0	279.0	155.0	124.0
трудоспособном	6881.0	3738.0	3143.0	3115.0	1509.0	1606.0	3766.0	2229.0	1537.0
старше трудоспособного	7359.0	2042.0	5317.0	2624.0	691.0	1933.0	4735.0	1351.0	3384.0
Медианный возраст	   56,7	   50,2	   64,9	   53,4	   49,6	   60,1	   61,7	   50,6	   67,6
Белорусы	8581.0	3780.0	4801.0	6378.0	2851.0	3527.0	2203.0	929.0	1274.0
 в том числе в возрасте, лет:									
0 - 4	60.0	36.0	24.0	49.0	28.0	21.0	11.0	8.0	3.0
5 - 9	117.0	55.0	62.0	87.0	40.0	47.0	30.0	15.0	15.0
10 - 14	246.0	123.0	123.0	161.0	82.0	79.0	85.0	41.0	44.0
15 - 17	183.0	92.0	91.0	135.0	70.0	65.0	48.0	22.0	26.0
18 - 19	93.0	37.0	56.0	67.0	27.0	40.0	26.0	10.0	16.0
20 - 24	264.0	134.0	130.0	199.0	105.0	94.0	65.0	29.0	36.0
25 - 29	373.0	188.0	185.0	280.0	131.0	149.0	93.0	57.0	36.0
30 - 34	617.0	279.0	338.0	479.0	218.0	261.0	138.0	61.0	77.0
35 - 39	859.0	344.0	515.0	651.0	270.0	381.0	208.0	74.0	134.0
40 - 44	1112.0	497.0	615.0	799.0	361.0	438.0	313.0	136.0	177.0
45 - 49	926.0	410.0	516.0	665.0	304.0	361.0	261.0	106.0	155.0
50 - 54	721.0	303.0	418.0	529.0	218.0	311.0	192.0	85.0	107.0
55 - 59	510.0	224.0	286.0	406.0	179.0	227.0	104.0	45.0	59.0
60 - 64	782.0	383.0	399.0	589.0	288.0	301.0	193.0	95.0	98.0
65 - 69	702.0	311.0	391.0	510.0	227.0	283.0	192.0	84.0	108.0
70 и более	1015.0	364.0	651.0	771.0	303.0	468.0	244.0	61.0	183.0
возраст не указан	1.0	-	1.0	1.0	-	1.0	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	491.0	244.0	247.0	346.0	173.0	173.0	145.0	71.0	74.0
трудоспособном	5304.0	2478.0	2826.0	3934.0	1860.0	2074.0	1370.0	618.0	752.0
старше трудоспособного	2785.0	1058.0	1727.0	2097.0	818.0	1279.0	688.0	240.0	448.0
Медианный возраст	   46,8	   46,1	   47,5	   46,9	   46,3	   47,5	   46,6	   45,4	   47,5
Татары	6717.0	3159.0	3558.0	5080.0	2354.0	2726.0	1637.0	805.0	832.0
 в том числе в возрасте, лет:									
0 - 4	145.0	88.0	57.0	107.0	67.0	40.0	38.0	21.0	17.0
5 - 9	172.0	101.0	71.0	128.0	77.0	51.0	44.0	24.0	20.0
10 - 14	326.0	186.0	140.0	237.0	134.0	103.0	89.0	52.0	37.0
15 - 17	258.0	143.0	115.0	196.0	108.0	88.0	62.0	35.0	27.0
18 - 19	200.0	110.0	90.0	168.0	88.0	80.0	32.0	22.0	10.0
20 - 24	430.0	244.0	186.0	333.0	194.0	139.0	97.0	50.0	47.0
25 - 29	434.0	235.0	199.0	320.0	172.0	148.0	114.0	63.0	51.0
30 - 34	453.0	216.0	237.0	346.0	163.0	183.0	107.0	53.0	54.0
35 - 39	577.0	258.0	319.0	434.0	184.0	250.0	143.0	74.0	69.0
40 - 44	781.0	355.0	426.0	582.0	253.0	329.0	199.0	102.0	97.0
45 - 49	719.0	332.0	387.0	534.0	238.0	296.0	185.0	94.0	91.0
50 - 54	533.0	235.0	298.0	384.0	171.0	213.0	149.0	64.0	85.0
55 - 59	307.0	160.0	147.0	233.0	123.0	110.0	74.0	37.0	37.0
60 - 64	478.0	187.0	291.0	350.0	137.0	213.0	128.0	50.0	78.0
65 - 69	353.0	135.0	218.0	274.0	102.0	172.0	79.0	33.0	46.0
70 и более	549.0	173.0	376.0	454.0	143.0	311.0	95.0	30.0	65.0
возраст не указан	2.0	1.0	1.0	-	-	-	2.0	1.0	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	710.0	409.0	301.0	520.0	302.0	218.0	190.0	107.0	83.0
трудоспособном	4478.0	2254.0	2224.0	3372.0	1670.0	1702.0	1106.0	584.0	522.0
старше трудоспособного	1527.0	495.0	1032.0	1188.0	382.0	806.0	339.0	113.0	226.0
Медианный возраст	   42,3	   40,0	   44,2	   42,3	   39,8	   44,2	   42,4	   40,4	   44,3
Тульская область									
Русские	1595564.0	714591.0	880973.0	1304393.0	581826.0	722567.0	291171.0	132765.0	158406.0
 в том числе в возрасте, лет:									
0 - 4	56029.0	28710.0	27319.0	45304.0	23101.0	22203.0	10725.0	5609.0	5116.0
5 - 9	63303.0	32261.0	31042.0	50680.0	25846.0	24834.0	12623.0	6415.0	6208.0
10 - 14	96348.0	49614.0	46734.0	76489.0	39355.0	37134.0	19859.0	10259.0	9600.0
15 - 17	72483.0	37111.0	35372.0	58777.0	30010.0	28767.0	13706.0	7101.0	6605.0
18 - 19	48379.0	24513.0	23866.0	40536.0	20601.0	19935.0	7843.0	3912.0	3931.0
20 - 24	110459.0	55226.0	55233.0	92754.0	46196.0	46558.0	17705.0	9030.0	8675.0
25 - 29	109435.0	54979.0	54456.0	93371.0	46811.0	46560.0	16064.0	8168.0	7896.0
30 - 34	101216.0	50625.0	50591.0	85667.0	42691.0	42976.0	15549.0	7934.0	7615.0
35 - 39	99922.0	48847.0	51075.0	82579.0	39890.0	42689.0	17343.0	8957.0	8386.0
40 - 44	128587.0	61715.0	66872.0	105429.0	49633.0	55796.0	23158.0	12082.0	11076.0
45 - 49	130794.0	61169.0	69625.0	108810.0	49777.0	59033.0	21984.0	11392.0	10592.0
50 - 54	123558.0	55815.0	67743.0	103858.0	45992.0	57866.0	19700.0	9823.0	9877.0
55 - 59	65037.0	27623.0	37414.0	54747.0	22972.0	31775.0	10290.0	4651.0	5639.0
60 - 64	108156.0	40984.0	67172.0	87262.0	32736.0	54526.0	20894.0	8248.0	12646.0
65 - 69	86699.0	31754.0	54945.0	67649.0	24472.0	43177.0	19050.0	7282.0	11768.0
70 и более	195061.0	53602.0	141459.0	150392.0	41705.0	108687.0	44669.0	11897.0	32772.0
возраст не указан	98.0	43.0	55.0	89.0	38.0	51.0	9.0	5.0	4.0
Из общей численности - население в возрасте:									
моложе трудоспособного	240750.0	123399.0	117351.0	192655.0	98613.0	94042.0	48095.0	24786.0	23309.0
трудоспособном	927386.0	464809.0	462577.0	774571.0	384262.0	390309.0	152815.0	80547.0	72268.0
старше трудоспособного	427330.0	126340.0	300990.0	337078.0	98913.0	238165.0	90252.0	27427.0	62825.0
Медианный возраст	   41,7	   37,6	   44,9	   41,3	   37,1	   44,5	   43,2	   39,5	   46,8
Украинцы	22260.0	10029.0	12231.0	17614.0	7864.0	9750.0	4646.0	2165.0	2481.0
 в том числе в возрасте, лет:									
0 - 4	155.0	86.0	69.0	102.0	57.0	45.0	53.0	29.0	24.0
5 - 9	264.0	115.0	149.0	172.0	71.0	101.0	92.0	44.0	48.0
10 - 14	457.0	206.0	251.0	298.0	127.0	171.0	159.0	79.0	80.0
15 - 17	321.0	177.0	144.0	196.0	112.0	84.0	125.0	65.0	60.0
18 - 19	211.0	96.0	115.0	145.0	66.0	79.0	66.0	30.0	36.0
20 - 24	680.0	346.0	334.0	486.0	235.0	251.0	194.0	111.0	83.0
25 - 29	1042.0	504.0	538.0	762.0	373.0	389.0	280.0	131.0	149.0
30 - 34	1448.0	705.0	743.0	1101.0	542.0	559.0	347.0	163.0	184.0
35 - 39	1646.0	793.0	853.0	1249.0	588.0	661.0	397.0	205.0	192.0
40 - 44	1853.0	856.0	997.0	1408.0	649.0	759.0	445.0	207.0	238.0
45 - 49	1881.0	913.0	968.0	1437.0	700.0	737.0	444.0	213.0	231.0
50 - 54	2086.0	987.0	1099.0	1648.0	775.0	873.0	438.0	212.0	226.0
55 - 59	1573.0	773.0	800.0	1278.0	609.0	669.0	295.0	164.0	131.0
60 - 64	2461.0	1104.0	1357.0	2025.0	891.0	1134.0	436.0	213.0	223.0
65 - 69	1759.0	730.0	1029.0	1462.0	610.0	852.0	297.0	120.0	177.0
70 и более	4421.0	1638.0	2783.0	3844.0	1459.0	2385.0	577.0	179.0	398.0
возраст не указан	2.0	-	2.0	1.0	-	1.0	1.0	-	1.0
Из общей численности - население в возрасте:									
моложе трудоспособного	974.0	456.0	518.0	625.0	282.0	343.0	349.0	174.0	175.0
трудоспособном	11843.0	6101.0	5742.0	8988.0	4622.0	4366.0	2855.0	1479.0	1376.0
старше трудоспособного	9441.0	3472.0	5969.0	8000.0	2960.0	5040.0	1441.0	512.0	929.0
Медианный возраст	   52,8	   51,0	   54,3	   54,3	   52,6	   55,9	   46,8	   45,5	   48,2
Татары	8968.0	4211.0	4757.0	7785.0	3623.0	4162.0	1183.0	588.0	595.0
 в том числе в возрасте, лет:									
0 - 4	158.0	71.0	87.0	137.0	61.0	76.0	21.0	10.0	11.0
5 - 9	224.0	123.0	101.0	189.0	103.0	86.0	35.0	20.0	15.0
10 - 14	354.0	199.0	155.0	281.0	152.0	129.0	73.0	47.0	26.0
15 - 17	313.0	157.0	156.0	265.0	132.0	133.0	48.0	25.0	23.0
18 - 19	260.0	159.0	101.0	235.0	142.0	93.0	25.0	17.0	8.0
20 - 24	532.0	324.0	208.0	449.0	269.0	180.0	83.0	55.0	28.0
25 - 29	490.0	260.0	230.0	418.0	220.0	198.0	72.0	40.0	32.0
30 - 34	499.0	257.0	242.0	417.0	210.0	207.0	82.0	47.0	35.0
35 - 39	614.0	290.0	324.0	505.0	240.0	265.0	109.0	50.0	59.0
40 - 44	899.0	426.0	473.0	764.0	364.0	400.0	135.0	62.0	73.0
45 - 49	999.0	476.0	523.0	863.0	414.0	449.0	136.0	62.0	74.0
50 - 54	889.0	405.0	484.0	779.0	354.0	425.0	110.0	51.0	59.0
55 - 59	435.0	194.0	241.0	387.0	170.0	217.0	48.0	24.0	24.0
60 - 64	654.0	274.0	380.0	585.0	247.0	338.0	69.0	27.0	42.0
65 - 69	552.0	219.0	333.0	509.0	199.0	310.0	43.0	20.0	23.0
70 и более	1096.0	377.0	719.0	1002.0	346.0	656.0	94.0	31.0	63.0
возраст не указан	-	-	-	-	-	-	-	-	-
Из общей численности - население в возрасте:									
моложе трудоспособного	835.0	454.0	381.0	687.0	366.0	321.0	148.0	88.0	60.0
трудоспособном	5590.0	2887.0	2703.0	4785.0	2465.0	2320.0	805.0	422.0	383.0
старше трудоспособного	2543.0	870.0	1673.0	2313.0	792.0	1521.0	230.0	78.0	152.0
Медианный возраст	   45,7	   43,2	   47,8	   46,3	   43,9	   48,5	   41,9	   38,5	   44,2
Белорусы	5974.0	2754.0	3220.0	4953.0	2263.0	2690.0	1021.0	491.0	530.0
 в том числе в возрасте, лет:									
0 - 4	29.0	15.0	14.0	24.0	13.0	11.0	5.0	2.0	3.0
5 - 9	50.0	27.0	23.0	40.0	23.0	17.0	10.0	4.0	6.0
10 - 14	96.0	56.0	40.0	65.0	38.0	27.0	31.0	18.0	13.0
15 - 17	77.0	43.0	34.0	49.0	28.0	21.0	28.0	15.0	13.0
18 - 19	51.0	28.0	23.0	35.0	18.0	17.0	16.0	10.0	6.0
20 - 24	156.0	82.0	74.0	117.0	56.0	61.0	39.0	26.0	13.0
