11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
возраст не указан	1744.0	607.0	513.0	405.0	176.0	43.0
Новгородская область						
Все население	682476.0	75035.0	172112.0	190878.0	155080.0	89371.0
в том числе в возрасте, лет:						
 0 – 3	21324.0	7.0	1016.0	6983.0	6862.0	6456.0
 4 – 5	10711.0	5.0	725.0	3416.0	3753.0	2812.0
 6 – 9	23075.0	13.0	1919.0	7167.0	8561.0	5415.0
10 – 14 	46785.0	41.0	4257.0	14275.0	18338.0	9874.0
15 – 17 	34431.0	489.0	4072.0	10822.0	12475.0	6573.0
18 – 24	67164.0	3261.0	12042.0	21555.0	18190.0	12116.0
25 – 34 	85247.0	4192.0	13822.0	32744.0	21939.0	12550.0
35 – 44 	104123.0	5687.0	18453.0	34919.0	32458.0	12606.0
45 – 54	107866.0	10126.0	34390.0	32464.0	19845.0	11041.0
55 – 64	67119.0	12921.0	31404.0	12380.0	5885.0	4529.0
65 и более	114065.0	38181.0	49880.0	14065.0	6691.0	5248.0
возраст не указан	566.0	112.0	132.0	88.0	83.0	151.0
Псковская область						
Все население	742535.0	85165.0	191936.0	210963.0	161684.0	92787.0
в том числе в возрасте, лет:						
 0 – 3	22438.0	5.0	1023.0	7347.0	7229.0	6834.0
 4 – 5	11422.0	4.0	717.0	3765.0	3892.0	3044.0
 6 – 9	24999.0	5.0	2008.0	7934.0	9128.0	5924.0
10 – 14 	49377.0	39.0	4419.0	15863.0	19124.0	9932.0
15 – 17 	36224.0	766.0	3985.0	11908.0	12870.0	6695.0
18 – 24	68290.0	3769.0	12147.0	22296.0	18302.0	11776.0
25 – 34 	92752.0	4417.0	14812.0	36749.0	23379.0	13395.0
35 – 44 	113238.0	6311.0	20905.0	39487.0	33560.0	12975.0
45 – 54	118361.0	11778.0	39312.0	36155.0	20148.0	10968.0
55 – 64	74179.0	14030.0	35246.0	13694.0	6250.0	4959.0
65 и более	130948.0	43972.0	57271.0	15704.0	7760.0	6241.0
возраст не указан	307.0	69.0	91.0	61.0	42.0	44.0
г. Санкт-Петербург						
Все население	4565772.0	426012.0	975534.0	1250289.0	1106008.0	807929.0
в том числе в возрасте, лет:						
 0 – 3	117382.0	218.0	6788.0	32627.0	35630.0	42119.0
 4 – 5	59043.0	130.0	4676.0	16259.0	18900.0	19078.0
 6 – 9	128094.0	347.0	12015.0	36562.0	42234.0	36936.0
10 – 14 	258095.0	1118.0	28147.0	73835.0	92397.0	62598.0
15 – 17 	210481.0	6467.0	25706.0	59005.0	74657.0	44646.0
18 – 24	513590.0	41780.0	88133.0	137517.0	144244.0	101916.0
25 – 34 	643682.0	42163.0	118244.0	201172.0	151096.0	131007.0
35 – 44 	713990.0	47225.0	122883.0	223048.0	204715.0	116119.0
45 – 54	718768.0	59499.0	164848.0	215260.0	173274.0	105887.0
55 – 64	490070.0	69467.0	157693.0	120867.0	77561.0	64482.0
65 и более	696958.0	154077.0	242947.0	130691.0	88389.0	80854.0
возраст не указан	15619.0	3521.0	3454.0	3446.0	2911.0	2287.0
Южный федеральный округ						
Все население	22559686.0	1283140.0	3504252.0	4555542.0	5408328.0	7808424.0
в том числе в возрасте, лет:						
 0 – 3	966015.0	121.0	18862.0	172119.0	247619.0	527294.0
 4 – 5	506545.0	75.0	14070.0	80487.0	141657.0	270256.0
 6 – 9	1099183.0	176.0	37954.0	169173.0	326936.0	564944.0
10 – 14 	1826334.0	631.0	81555.0	300881.0	578893.0	864374.0
15 – 17 	1269115.0	22360.0	79231.0	234675.0	386536.0	546313.0
18 – 24	2620160.0	93307.0	267342.0	544412.0	653566.0	1061533.0
25 – 34 	3138564.0	89193.0	321149.0	782404.0	826550.0	1119268.0
35 – 44 	3402590.0	114648.0	372823.0	757078.0	1045172.0	1112869.0
45 – 54	2970885.0	168208.0	623547.0	745973.0	653362.0	779795.0
55 – 64	1983529.0	234438.0	702050.0	372941.0	256071.0	418029.0
65 и более	2767159.0	558135.0	983871.0	393592.0	290093.0	541468.0
возраст не указан	9607.0	1848.0	1798.0	1807.0	1873.0	2281.0
Республика Адыгея						
Все население	440449.0	30054.0	78478.0	100338.0	110864.0	120715.0
в том числе в возрасте, лет:						
 0 – 3	16990.0	-	377.0	3593.0	5023.0	7997.0
 4 – 5	9142.0	1.0	297.0	1761.0	2878.0	4205.0
 6 – 9	19371.0	1.0	788.0	3645.0	6692.0	8245.0
10 – 14 	32706.0	17.0	1815.0	6422.0	11946.0	12506.0
15 – 17 	24072.0	402.0	1939.0	5498.0	8353.0	7880.0
18 – 24	47260.0	1711.0	5884.0	11990.0	13204.0	14471.0
25 – 34 	57830.0	1700.0	6435.0	16582.0	16125.0	16988.0
35 – 44 	65541.0	2466.0	7709.0	15939.0	21745.0	17682.0
45 – 54	60506.0	3962.0	13556.0	16854.0	13803.0	12331.0
55 – 64	44017.0	5680.0	16170.0	8869.0	5338.0	7960.0
65 и более	62821.0	14013.0	23474.0	9165.0	5735.0	10434.0
возраст не указан	193.0	101.0	34.0	20.0	22.0	16.0
Республика Дагестан						
Все население	2559499.0	42442.0	137108.0	218844.0	504464.0	1656641.0
в том числе в возрасте, лет:						
 0 – 3	166979.0	12.0	1194.0	16340.0	35701.0	113732.0
 4 – 5	91724.0	10.0	879.0	5197.0	21397.0	64241.0
 6 – 9	192293.0	14.0	1979.0	9037.0	41550.0	139713.0
10 – 14 	282204.0	24.0	3827.0	13962.0	53258.0	211133.0
15 – 17 	178047.0	182.0	3737.0	10713.0	31562.0	131853.0
18 – 24	356643.0	1793.0	16858.0	32860.0	60045.0	245087.0
25 – 34 	393923.0	3567.0	20159.0	44150.0	94741.0	231306.0
35 – 44 	373840.0	4296.0	15672.0	29168.0	84271.0	240433.0
45 – 54	220756.0	4466.0	16577.0	24760.0	44382.0	130571.0
55 – 64	118489.0	5718.0	18005.0	14598.0	17913.0	62255.0
65 и более	184529.0	22356.0	38214.0	18044.0	19637.0	86278.0
возраст не указан	72.0	4.0	7.0	15.0	7.0	39.0
Республика Ингушетия						
Все население	463532.0	908.0	4640.0	11256.0	22820.0	423908.0
в том числе в возрасте, лет:						
 0 – 3	39288.0	3.0	85.0	928.0	2235.0	36037.0
 4 – 5	21207.0	3.0	36.0	291.0	964.0	19913.0
 6 – 9	43152.0	2.0	84.0	465.0	1643.0	40958.0
10 – 14 	56117.0	-	133.0	733.0	2064.0	53187.0
15 – 17 	31401.0	2.0	102.0	446.0	1180.0	29671.0
18 – 24	64354.0	35.0	566.0	1486.0	2803.0	59464.0
25 – 34 	71646.0	96.0	905.0	2375.0	4156.0	64114.0
35 – 44 	61823.0	126.0	792.0	1775.0	3647.0	55483.0
45 – 54	35965.0	128.0	630.0	1201.0	2109.0	31897.0
55 – 64	17546.0	175.0	493.0	731.0	956.0	15191.0
65 и более	20723.0	334.0	810.0	824.0	1038.0	17717.0
возраст не указан	310.0	4.0	4.0	1.0	25.0	276.0
Кабардино–Балкарская Республика						
Все население	891783.0	23524.0	77206.0	108582.0	214540.0	467931.0
в том числе в возрасте, лет:						
 0 – 3	40941.0	1.0	425.0	3780.0	8452.0	28283.0
 4 – 5	22683.0	1.0	350.0	1768.0	5228.0	15336.0
 6 – 9	49032.0	3.0	998.0	3747.0	12248.0	32036.0
10 – 14 	83117.0	16.0	2192.0	7236.0	21920.0	51753.0
15 – 17 	52092.0	91.0	1897.0	5346.0	14035.0	30723.0
18 – 24	115137.0	1032.0	6833.0	14246.0	28686.0	64340.0
25 – 34 	132228.0	1816.0	9201.0	18530.0	33645.0	69036.0
35 – 44 	142317.0	2811.0	10102.0	17790.0	40947.0	70667.0
45 – 54	103304.0	3466.0	12667.0	16807.0	26588.0	43776.0
55 – 64	66876.0	4422.0	13199.0	9665.0	11764.0	27826.0
65 и более	84043.0	9865.0	19342.0	9664.0	11026.0	34146.0
возраст не указан	13.0	-	-	3.0	1.0	9.0
Республика Калмыкия						
Все население	289816.0	13631.0	41082.0	60924.0	76020.0	98159.0
в том числе в возрасте, лет:						
 0 – 3	13556.0	-	299.0	2451.0	3915.0	6891.0
 4 – 5	7138.0	-	235.0	1221.0	2351.0	3331.0
 6 – 9	16184.0	1.0	637.0	2485.0	5621.0	7440.0
10 – 14 	28481.0	16.0	1400.0	4925.0	9823.0	12317.0
15 – 17 	18176.0	444.0	1247.0	3638.0	5510.0	7337.0
18 – 24	30765.0	964.0	3234.0	6931.0	7482.0	12154.0
25 – 34 	38159.0	1073.0	3597.0	8967.0	11422.0	13100.0
35 – 44 	51584.0	2118.0	5997.0	11657.0	15808.0	16004.0
45 – 54	40486.0	2785.0	9046.0	10350.0	8393.0	9912.0
55 – 64	18780.0	2157.0	6691.0	3710.0	2352.0	3870.0
65 и более	26478.0	4072.0	8691.0	4582.0	3340.0	5793.0
возраст не указан	29.0	1.0	8.0	7.0	3.0	10.0
Карачаево-Черкесская Республика						
Все население	437338.0	20299.0	51420.0	72309.0	101520.0	191790.0
в том числе в возрасте, лет:						
 0 – 3	19415.0	1.0	317.0	2842.0	4577.0	11678.0
 4 – 5	10422.0	1.0	242.0	1251.0	2861.0	6067.0
 6 – 9	22751.0	7.0	657.0	2650.0	6370.0	13067.0
10 – 14 	38574.0	22.0	1523.0	4966.0	11187.0	20876.0
15 – 17 	25096.0	106.0	1249.0	3768.0	7018.0	12955.0
18 – 24	50830.0	711.0	3828.0	8587.0	11995.0	25709.0
25 – 34 	61418.0	1519.0	5162.0	12094.0	15158.0	27485.0
35 – 44 	69199.0	2256.0	6058.0	11736.0	20009.0	29140.0
45 – 54	54152.0	3049.0	8773.0	11244.0	12246.0	18840.0
55 – 64	33283.0	3631.0	8948.0	6121.0	4540.0	10043.0
65 и более	52049.0	8980.0	14634.0	7019.0	5512.0	15904.0
возраст не указан	149.0	16.0	29.0	31.0	47.0	26.0
Республика Северная Осетия – Алания						
Все население	690806.0	33537.0	77870.0	113097.0	156080.0	310222.0
в том числе в возрасте, лет:						
 0 – 3	29877.0	2.0	449.0	4121.0	6709.0	18596.0
 4 – 5	15947.0	2.0	320.0	1809.0	3984.0	9832.0
 6 – 9	35872.0	9.0	965.0	3819.0	9642.0	21437.0
10 – 14 	56722.0	18.0	2025.0	7099.0	15800.0	31780.0
15 – 17 	36763.0	117.0	1786.0	5294.0	9921.0	19645.0
18 – 24	74244.0	1139.0	5900.0	12581.0	17944.0	36680.0
25 – 34 	99345.0	2672.0	8893.0	19054.0	23648.0	45078.0
35 – 44 	104355.0	4031.0	9595.0	17400.0	28138.0	45191.0
45 – 54	82572.0	4717.0	11962.0	16354.0	19573.0	29966.0
55 – 64	62914.0	6351.0	13436.0	11971.0	10108.0	21048.0
65 и более	91016.0	13895.0	22400.0	13467.0	10426.0	30828.0
возраст не указан	1179.0	584.0	139.0	128.0	187.0	141.0
Чеченская Республика						
Все население	1069600.0	7250.0	30744.0	54927.0	132744.0	843935.0
в том числе в возрасте, лет:						
 0 – 3	92685.0	-	339.0	4315.0	12109.0	75922.0
 4 – 5	47675.0	-	170.0	1247.0	5879.0	40379.0
 6 – 9	91254.0	3.0	422.0	2279.0	9950.0	78600.0
10 – 14 	130032.0	1.0	853.0	3862.0	13770.0	111546.0
15 – 17 	71832.0	25.0	936.0	2622.0	7584.0	60665.0
18 – 24	137069.0	252.0	3407.0	7622.0	15676.0	110112.0
25 – 34 	152266.0	596.0	4531.0	9802.0	23099.0	114238.0
35 – 44 	148804.0	954.0	4399.0	7923.0	20456.0	115072.0
45 – 54	100057.0	1258.0	4951.0	7259.0	13770.0	72819.0
55 – 64	38738.0	1135.0	3501.0	3191.0	4598.0	26313.0
65 и более	58559.0	3020.0	7202.0	4770.0	5771.0	37796.0
возраст не указан	629.0	6.0	33.0	35.0	82.0	473.0
Краснодарский край						
Все население	5042278.0	332198.0	929370.0	1180575.0	1317304.0	1282831.0
в том числе в возрасте, лет:						
 0 – 3	178689.0	28.0	4252.0	40645.0	54532.0	79232.0
 4 – 5	90240.0	11.0	3272.0	20235.0	30495.0	36227.0
 6 – 9	205137.0	26.0	9004.0	43440.0	75985.0	76682.0
10 – 14 	358902.0	106.0	20065.0	77709.0	140655.0	120367.0
15 – 17 	260450.0	4172.0	19048.0	61200.0	96286.0	79744.0
18 – 24	539425.0	18166.0	62072.0	137151.0	158087.0	163949.0
25 – 34 	683421.0	19988.0	76614.0	198176.0	196183.0	192460.0
35 – 44 	755862.0	26624.0	94309.0	197870.0	257685.0	179374.0
45 – 54	727700.0	42670.0	168388.0	199844.0	165060.0	151738.0
55 – 64	528139.0	65268.0	202532.0	101515.0	66665.0	92159.0
65 и более	713637.0	155017.0	269672.0	102680.0	75525.0	110743.0
возраст не указан	676.0	122.0	142.0	110.0	146.0	156.0
Ставропольский край						
Все население	2689619.0	198876.0	457338.0	579987.0	685120.0	768298.0
в том числе в возрасте, лет:						
 0 – 3	99214.0	18.0	2383.0	21317.0	29433.0	46063.0
 4 – 5	52132.0	11.0	1841.0	10196.0	17358.0	22726.0
 6 – 9	115653.0	25.0	5038.0	21373.0	41118.0	48099.0
10 – 14 	201260.0	109.0	10317.0	37938.0	75993.0	76903.0
15 – 17 	152696.0	5208.0	9983.0	29930.0	50897.0	56678.0
18 – 24	318537.0	19583.0	33606.0	70208.0	83187.0	111953.0
25 – 34 	364403.0	16381.0	39635.0	98391.0	102435.0	107561.0
35 – 44 	404434.0	19046.0	45342.0	94106.0	137060.0	108880.0
45 – 54	369311.0	25183.0	80503.0	98109.0	82129.0	83387.0
55 – 64	256382.0	33913.0	95760.0	48756.0	30881.0	47072.0
65 и более	355588.0	79397.0	132929.0	49661.0	34626.0	58975.0
возраст не указан	9.0	2.0	1.0	2.0	3.0	1.0
Астраханская область						
Все население	988085.0	65121.0	179444.0	243807.0	267380.0	232333.0
в том числе в возрасте, лет:						
 0 – 3	38828.0	8.0	1170.0	9709.0	12252.0	15689.0
 4 – 5	19423.0	4.0	834.0	4664.0	6744.0	7177.0
 6 – 9	42179.0	13.0	2275.0	9208.0	16069.0	14614.0
10 – 14 	78339.0	26.0	4709.0	16900.0	30993.0	25711.0
15 – 17 	55071.0	1069.0	4216.0	12724.0	20542.0	16520.0
18 – 24	111880.0	4149.0	14432.0	29408.0	31751.0	32140.0
25 – 34 	137827.0	4758.0	17719.0	43376.0	39353.0	32621.0
35 – 44 	156805.0	6206.0	19982.0	41051.0	55397.0	34169.0
45 – 54	144790.0	9445.0	34059.0	41310.0	32850.0	27126.0
55 – 64	82503.0	11642.0	32618.0	17160.0	10040.0	11043.0
65 и более	120049.0	27765.0	47375.0	18233.0	11270.0	15406.0
возраст не указан	391.0	36.0	55.0	64.0	119.0	117.0
Волгоградская область						
Все население	2652032.0	199791.0	562400.0	705294.0	692928.0	491619.0
в том числе в возрасте, лет:						
 0 – 3	90281.0	24.0	3221.0	26090.0	29150.0	31796.0
 4 – 5	45555.0	13.0	2294.0	12539.0	16305.0	14404.0
 6 – 9	102270.0	32.0	6198.0	27007.0	39218.0	29815.0
10 – 14 	185072.0	130.0	13133.0	46870.0	75680.0	49259.0
15 – 17 	137029.0	2818.0	12660.0	36290.0	51414.0	33847.0
18 – 24	286507.0	13587.0	42560.0	81195.0	83173.0	65992.0
25 – 34 	363164.0	14072.0	50819.0	125104.0	102189.0	70980.0
35 – 44 	403576.0	17037.0	58648.0	119488.0	138401.0	70002.0
45 – 54	393473.0	26961.0	103478.0	116768.0	87661.0	58605.0
55 – 64	266235.0	36747.0	112886.0	54893.0	32025.0	29684.0
65 и более	376158.0	87865.0	155851.0	58378.0	37219.0	36845.0
возраст не указан	2712.0	505.0	652.0	672.0	493.0	390.0
Ростовская область						
Все население	4344849.0	315509.0	877152.0	1105602.0	1126544.0	920042.0
в том числе в возрасте, лет:						
 0 – 3	139272.0	24.0	4351.0	35988.0	43531.0	55378.0
 4 – 5	73257.0	18.0	3300.0	18308.0	25213.0	26418.0
 6 – 9	164035.0	40.0	8909.0	40018.0	60830.0	54238.0
10 – 14 	294808.0	146.0	19563.0	72259.0	115804.0	87036.0
15 – 17 	226390.0	7724.0	20431.0	57206.0	82234.0	58795.0
18 – 24	487509.0	30185.0	68162.0	130147.0	139533.0	119482.0
25 – 34 	582934.0	20955.0	77479.0	185803.0	164396.0	134301.0
35 – 44 	664450.0	26677.0	94218.0	191175.0	221608.0	130772.0
45 – 54	637813.0	40118.0	158957.0	185113.0	144798.0	108827.0
55 – 64	449627.0	57599.0	177811.0	91761.0	58891.0	63565.0
65 и более	621509.0	131556.0	243277.0	97105.0	68968.0	80603.0
возраст не указан	3245.0	467.0	694.0	719.0	738.0	627.0
Приволжский федеральный округ						
Все население	30703054.0	2470577.0	6267324.0	8287710.0	8274052.0	5403391.0
в том числе в возрасте, лет:						
 0 – 3	1088954.0	185.0	36072.0	312912.0	358718.0	381067.0
 4 – 5	557368.0	112.0	27668.0	155118.0	205048.0	169422.0
 6 – 9	1227675.0	339.0	73292.0	320307.0	494241.0	339496.0
10 – 14 	2308326.0	1999.0	157677.0	588237.0	988024.0	572389.0
15 – 17 	1673591.0	52799.0	144549.0	450376.0	656599.0	369268.0
18 – 24	3220110.0	173281.0	467031.0	942092.0	947729.0	689977.0
25 – 34 	4183413.0	165600.0	564029.0	1485945.0	1181930.0	785909.0
35 – 44 	4917108.0	212612.0	680358.0	1473163.0	1775970.0	775005.0
45 – 54	4583708.0	330653.0	1208181.0	1393318.0	1013564.0	637992.0
55 – 64	2808877.0	419288.0	1198413.0	580737.0	312384.0	298055.0
65 и более	4121846.0	1111289.0	1707104.0	582648.0	337592.0	383213.0
возраст не указан	12078.0	2420.0	2950.0	2857.0	2253.0	1598.0
Республика Башкортостан						
Все население	4066649.0	270706.0	737238.0	1009260.0	1187640.0	861805.0
в том числе в возрасте, лет:						
 0 – 3	165246.0	17.0	4144.0	41102.0	56061.0	63922.0
 4 – 5	87419.0	9.0	3342.0	20159.0	34164.0	29745.0
 6 – 9	185813.0	47.0	8636.0	39450.0	79040.0	58640.0
10 – 14 	343145.0	439.0	18773.0	73026.0	150298.0	100609.0
15 – 17 	241446.0	6111.0	17836.0	57808.0	95631.0	64060.0
18 – 24	427492.0	19254.0	56904.0	116510.0	126996.0	107828.0
25 – 34 	540985.0	19279.0	66564.0	172907.0	166606.0	115629.0
35 – 44 	683911.0	26807.0	82214.0	178062.0	263688.0	133140.0
45 – 54	547675.0	34775.0	127921.0	163197.0	131585.0	90197.0
55 – 64	322908.0	42250.0	132897.0	69681.0	38799.0	39281.0
65 и более	519820.0	121610.0	217843.0	77178.0	44580.0	58609.0
возраст не указан	789.0	108.0	164.0	180.0	192.0	145.0
Республика Марий Эл						
Все население	717938.0	59228.0	136100.0	185319.0	192616.0	144675.0
в том числе в возрасте, лет:						
 0 – 3	25829.0	2.0	798.0	6618.0	8066.0	10345.0
 4 – 5	12862.0	-	608.0	3233.0	4521.0	4500.0
 6 – 9	29158.0	3.0	1671.0	6888.0	11387.0	9209.0
10 – 14 	58840.0	134.0	3853.0	13955.0	24320.0	16578.0
15 – 17 	43080.0	2994.0	3496.0	10506.0	15801.0	10283.0
18 – 24	77288.0	6660.0	10284.0	20619.0	21565.0	18160.0
25 – 34 	92582.0	3747.0	11985.0	31336.0	25544.0	19970.0
35 – 44 	122544.0	5890.0	17399.0	35507.0	42931.0	20817.0
45 – 54	110645.0	8316.0	28408.0	32490.0	24390.0	17041.0
55 – 64	56839.0	8552.0	23267.0	11558.0	6302.0	7160.0
65 и более	88157.0	22897.0	34298.0	12589.0	7775.0	10598.0
возраст не указан	114.0	33.0	33.0	20.0	14.0	14.0
Республика Мордовия						
Все население	866749.0	81574.0	175850.0	240282.0	234028.0	135015.0
в том числе в возрасте, лет:						
 0 – 3	27467.0	2.0	824.0	7496.0	9343.0	9802.0
 4 – 5	14381.0	-	654.0	4276.0	5434.0	4017.0
 6 – 9	33502.0	5.0	1984.0	9716.0	13759.0	8038.0
10 – 14 	63103.0	43.0	4279.0	17979.0	28362.0	12440.0
15 – 17 	45483.0	2325.0	3924.0	12922.0	18530.0	7782.0
18 – 24	85572.0	6624.0	10805.0	24704.0	25976.0	17463.0
25 – 34 	113358.0	3645.0	13195.0	42353.0	32889.0	21276.0
35 – 44 	142731.0	6162.0	19465.0	46917.0	52187.0	18000.0
45 – 54	132302.0	10045.0	35208.0	40326.0	29009.0	17714.0
55 – 64	80993.0	12495.0	33956.0	16732.0	9235.0	8575.0
65 и более	127795.0	40215.0	51542.0	16849.0	9294.0	9895.0
возраст не указан	62.0	13.0	14.0	12.0	10.0	13.0
Республика Татарстан						
Все население	3747267.0	244836.0	660298.0	917196.0	1107464.0	817473.0
в том числе в возрасте, лет:						
 0 – 3	141806.0	18.0	4122.0	34560.0	46212.0	56894.0
 4 – 5	75244.0	13.0	3199.0	17149.0	28126.0	26757.0
 6 – 9	163663.0	27.0	8299.0	33877.0	68511.0	52949.0
10 – 14 	297201.0	149.0	17601.0	62716.0	132587.0	84148.0
15 – 17 	208228.0	3283.0	15503.0	49298.0	87654.0	52490.0
18 – 24	390563.0	15948.0	50395.0	103379.0	123794.0	97047.0
25 – 34 	511397.0	18798.0	64142.0	159394.0	149907.0	119156.0
35 – 44 	616449.0	24371.0	73231.0	156389.0	243871.0	118587.0
45 – 54	537899.0	34914.0	117114.0	154424.0	138742.0	92705.0
55 – 64	320596.0	40451.0	119382.0	70808.0	42132.0	47823.0
65 и более	483338.0	106739.0	187103.0	75036.0	45700.0	68760.0
возраст не указан	883.0	125.0	207.0	166.0	228.0	157.0
Удмуртская Республика						
Все население	1548762.0	108841.0	288362.0	401664.0	431576.0	318319.0
в том числе в возрасте, лет:						
 0 – 3	62777.0	18.0	2102.0	16107.0	20177.0	24373.0
 4 – 5	30156.0	8.0	1494.0	7746.0	10800.0	10108.0
 6 – 9	62763.0	19.0	3696.0	15223.0	24798.0	19027.0
10 – 14 	122567.0	69.0	8140.0	28905.0	51796.0	33657.0
15 – 17 	88170.0	2875.0	7247.0	22223.0	34355.0	21470.0
18 – 24	173450.0	9264.0	22875.0	47869.0	50992.0	42450.0
25 – 34 	215961.0	8218.0	27091.0	71756.0	62085.0	46811.0
35 – 44 	252967.0	10508.0	33721.0	71114.0	92055.0	45569.0
45 – 54	237251.0	15868.0	59233.0	70099.0	53720.0	38331.0
55 – 64	124747.0	17513.0	51841.0	25412.0	14457.0	15524.0
65 и более	177748.0	44449.0	70872.0	25172.0	16288.0	20967.0
возраст не указан	205.0	32.0	50.0	38.0	53.0	32.0
Чувашская Республика						
Все население	1296636.0	99529.0	226220.0	313125.0	359176.0	298586.0
в том числе в возрасте, лет:						
 0 – 3	47470.0	9.0	1418.0	10902.0	14469.0	20672.0
 4 – 5	25352.0	6.0	1024.0	5577.0	8791.0	9954.0
 6 – 9	54642.0	17.0	2696.0	11697.0	20622.0	19610.0
10 – 14 	105457.0	59.0	6056.0	22347.0	44056.0	32939.0
15 – 17 	74673.0	1436.0	5840.0	17681.0	29759.0	19957.0
18 – 24	135798.0	5991.0	17643.0	35078.0	41657.0	35429.0
25 – 34 	183229.0	7628.0	22670.0	56710.0	50313.0	45908.0
35 – 44 	212978.0	10715.0	26300.0	55456.0	78627.0	41880.0
45 – 54	180177.0	13496.0	40264.0	50874.0	43699.0	31844.0
55 – 64	108133.0	15684.0	39797.0	22952.0	13280.0	16420.0
65 и более	168423.0	44437.0	62466.0	23782.0	13834.0	23904.0
возраст не указан	304.0	51.0	46.0	69.0	69.0	69.0
Кировская область						
Все население	1476339.0	152646.0	349754.0	422064.0	359532.0	192343.0
в том числе в возрасте, лет:						
 0 – 3	48555.0	3.0	1868.0	16921.0	15779.0	13984.0
 4 – 5	24077.0	-	1363.0	8198.0	8832.0	5684.0
 6 – 9	52220.0	7.0	3509.0	16113.0	21153.0	11438.0
10 – 14 	104859.0	79.0	7550.0	30767.0	45353.0	21110.0
15 – 17 	79113.0	5709.0	7042.0	23255.0	29085.0	14022.0
18 – 24	154061.0	15211.0	24025.0	47516.0	41002.0	26307.0
25 – 34 	188247.0	8971.0	26971.0	75715.0	50654.0	25936.0
35 – 44 	232115.0	11252.0	36957.0	77655.0	78439.0	27812.0
45 – 54	240171.0	19758.0	76534.0	74860.0	44569.0	24450.0
55 – 64	130119.0	22554.0	64464.0	23916.0	10404.0	8781.0
65 и более	221945.0	68898.0	99211.0	26930.0	14157.0	12749.0
возраст не указан	857.0	204.0	260.0	218.0	105.0	70.0
Нижегородская область						
Все население	3465935.0	331004.0	785656.0	996438.0	865660.0	487177.0
в том числе в возрасте, лет:						
 0 – 3	107228.0	10.0	4154.0	34480.0	35106.0	33478.0
 4 – 5	55195.0	14.0	3224.0	17791.0	19574.0	14592.0
 6 – 9	120907.0	29.0	8444.0	37278.0	46803.0	28353.0
10 – 14 	228352.0	194.0	18142.0	68237.0	96064.0	45715.0
15 – 17 	170741.0	3761.0	16141.0	52865.0	67505.0	30469.0
18 – 24	347882.0	15560.0	54301.0	112281.0	103625.0	62115.0
25 – 34 	460772.0	18608.0	67829.0	177901.0	122832.0	73602.0
35 – 44 	533666.0	24147.0	81689.0	179241.0	181442.0	67147.0
45 – 54	540323.0	42099.0	151217.0	171479.0	112749.0	62779.0
55 – 64	342627.0	56804.0	148537.0	69988.0	36805.0	30493.0
65 и более	557948.0	169684.0	231917.0	74837.0	43108.0	38402.0
возраст не указан	294.0	94.0	61.0	60.0	47.0	32.0
Оренбургская область						
Все население	2144583.0	159373.0	437918.0	592191.0	591916.0	363185.0
в том числе в возрасте, лет:						
 0 – 3	82817.0	7.0	2387.0	26187.0	28546.0	25690.0
 4 – 5	41403.0	1.0	1944.0	12016.0	15991.0	11451.0
 6 – 9	93232.0	13.0	5242.0	24142.0	39404.0	24431.0
10 – 14 	171524.0	120.0	10737.0	42857.0	75022.0	42788.0
15 – 17 	121715.0	5493.0	10228.0	32228.0	46780.0	26986.0
18 – 24	232608.0	12513.0	35302.0	72126.0	64923.0	47744.0
25 – 34 	293899.0	10098.0	36887.0	107653.0	89537.0	49724.0
35 – 44 	349707.0	13057.0	46921.0	105414.0	129413.0	54902.0
45 – 54	302714.0	19647.0	85730.0	94441.0	63195.0	39701.0
55 – 64	188816.0	27605.0	87095.0	38076.0	18497.0	17543.0
65 и более	263903.0	70423.0	114871.0	36397.0	20254.0	21958.0
возраст не указан	2245.0	396.0	574.0	654.0	354.0	267.0
Пензенская область						
Все население	1436599.0	128547.0	325020.0	414102.0	358800.0	210130.0
в том числе в возрасте, лет:						
 0 – 3	43009.0	7.0	1367.0	13474.0	13941.0	14220.0
 4 – 5	22415.0	3.0	1148.0	7134.0	8043.0	6087.0
 6 – 9	51719.0	14.0	3150.0	15837.0	20345.0	12373.0
10 – 14 	100110.0	56.0	7232.0	29933.0	42765.0	20124.0
15 – 17 	71287.0	1409.0	7106.0	22155.0	27886.0	12731.0
18 – 24	138880.0	5976.0	20971.0	44522.0	40995.0	26416.0
25 – 34 	187181.0	6778.0	23960.0	73176.0	51276.0	31991.0
35 – 44 	225238.0	9666.0	33456.0	77290.0	76628.0	28198.0
45 – 54	229407.0	17796.0	67540.0	71825.0	45118.0	27128.0
55 – 64	151732.0	23752.0	68296.0	29933.0	15525.0	14226.0
65 и более	215388.0	63012.0	90730.0	28768.0	16252.0	16626.0
возраст не указан	233.0	78.0	64.0	55.0	26.0	10.0
Пермская область						
Все население	2757638.0	231947.0	578938.0	748536.0	714176.0	484041.0
в том числе в возрасте, лет:						
 0 – 3	108613.0	35.0	4501.0	31671.0	35881.0	36525.0
 4 – 5	52751.0	21.0	3133.0	15045.0	18877.0	15675.0
