4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ПРОЖИВАЮЩЕЕ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ, ПО ПЕРИОДУ ПОСТРОЙКИ ДОМА И МАТЕРИАЛУ НАРУЖНЫХ СТЕН 1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	из них проживают в домах, где материал наружных стен 						Не указали материал наружных стен
в 1921-1945 гг.	83.0	5.0	-	-	78.0	-	-	-
в 1946-1956 гг.	19.0	-	-	-	18.0	1.0	-	-
в 1957-1970 гг.	96.0	29.0	-	-	60.0	7.0	-	-
в 1971-1995 гг.	304.0	57.0	138.0	17.0	77.0	15.0	-	-
после 1995 г.	11.0	11.0	-	-	-	-	-	-
не указавшие период постройки дома	-	-	-	-	-	-	-	-
Курская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1157636.0	365239.0	289758.0	37439.0	387278.0	59103.0	8611.0	10208.0
в том числе построенных:								
в 1920 г. и ранее	28605.0	9332.0	-	119.0	14948.0	3955.0	113.0	138.0
в 1921-1945 гг.	30989.0	5488.0	43.0	519.0	22135.0	2325.0	235.0	244.0
в 1946-1956 гг.	106485.0	17009.0	190.0	6422.0	71799.0	8641.0	1486.0	938.0
в 1957-1970 гг.	389353.0	97390.0	32526.0	16298.0	211557.0	23763.0	4711.0	3108.0
в 1971-1995 гг.	549853.0	210195.0	240605.0	12030.0	62645.0	18310.0	1878.0	4190.0
после 1995 г.	46495.0	24157.0	15326.0	1816.0	2872.0	1854.0	172.0	298.0
не указавшие период постройки дома	5856.0	1668.0	1068.0	235.0	1322.0	255.0	16.0	1292.0
Проживающие в индивидуальных домах	545597.0	102154.0	2992.0	22639.0	361051.0	45660.0	6539.0	4562.0
в том числе построенных:								
в 1920 г. и ранее	13475.0	2368.0	-	49.0	9248.0	1693.0	73.0	44.0
в 1921-1945 гг.	21949.0	1576.0	15.0	234.0	18462.0	1343.0	166.0	153.0
в 1946-1956 гг.	83155.0	6267.0	80.0	2565.0	66356.0	6063.0	1123.0	701.0
в 1957-1970 гг.	277538.0	33435.0	581.0	12399.0	204272.0	20626.0	4056.0	2169.0
в 1971-1995 гг.	131231.0	47977.0	2132.0	6229.0	58765.0	14038.0	1050.0	1040.0
после 1995 г.	16043.0	10104.0	155.0	1066.0	2794.0	1725.0	58.0	141.0
не указавшие период постройки дома	2206.0	427.0	29.0	97.0	1154.0	172.0	13.0	314.0
Проживающие в отдельных квартирах	603276.0	259863.0	283676.0	14461.0	24889.0	12852.0	2026.0	5509.0
в том числе построенных:								
в 1920 г. и ранее	14629.0	6754.0	-	70.0	5499.0	2172.0	40.0	94.0
в 1921-1945 гг.	8644.0	3805.0	28.0	277.0	3476.0	900.0	69.0	89.0
в 1946-1956 гг.	22372.0	10441.0	110.0	3717.0	5092.0	2444.0	338.0	230.0
в 1957-1970 гг.	109996.0	63343.0	31589.0	3760.0	6816.0	2931.0	642.0	915.0
в 1971-1995 гг.	413713.0	160340.0	235756.0	5754.0	3780.0	4193.0	823.0	3067.0
после 1995 г.	30355.0	13981.0	15165.0	750.0	68.0	129.0	111.0	151.0
не указавшие период постройки дома	3567.0	1199.0	1028.0	133.0	158.0	83.0	3.0	963.0
Проживающие в коммунальных квартирах	8763.0	3222.0	3090.0	339.0	1338.0	591.0	46.0	137.0
в том числе построенных:								
в 1920 г. и ранее	501.0	210.0	-	-	201.0	90.0	-	-
в 1921-1945 гг.	396.0	107.0	-	8.0	197.0	82.0	-	2.0
в 1946-1956 гг.	958.0	301.0	-	140.0	351.0	134.0	25.0	7.0
в 1957-1970 гг.	1819.0	612.0	356.0	139.0	469.0	206.0	13.0	24.0
в 1971-1995 гг.	4909.0	1878.0	2717.0	47.0	100.0	79.0	5.0	83.0
после 1995 г.	97.0	72.0	6.0	-	10.0	-	3.0	6.0
не указавшие период постройки дома	83.0	42.0	11.0	5.0	10.0	-	-	15.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	688717.0	259923.0	268804.0	21364.0	95247.0	32356.0	4810.0	6213.0
в том числе построенных:								
в 1920 г. и ранее	22877.0	7449.0	-	86.0	11519.0	3629.0	76.0	118.0
в 1921-1945 гг.	16815.0	4040.0	29.0	350.0	10269.0	1802.0	178.0	147.0
в 1946-1956 гг.	47916.0	12388.0	148.0	5295.0	22437.0	6214.0	967.0	467.0
в 1957-1970 гг.	159764.0	68769.0	31571.0	9417.0	34258.0	11826.0	2587.0	1336.0
в 1971-1995 гг.	399945.0	146719.0	221163.0	4931.0	15379.0	7957.0	852.0	2944.0
после 1995 г.	37700.0	19429.0	14914.0	1163.0	1006.0	812.0	140.0	236.0
не указавшие период постройки дома	3700.0	1129.0	979.0	122.0	379.0	116.0	10.0	965.0
Проживающие в индивидуальных домах	158820.0	43296.0	592.0	10945.0	77229.0	21826.0	3370.0	1562.0
в том числе построенных:								
в 1920 г. и ранее	9023.0	1125.0	-	26.0	6319.0	1476.0	45.0	32.0
в 1921-1945 гг.	9245.0	683.0	1.0	128.0	7283.0	972.0	111.0	67.0
в 1946-1956 гг.	28420.0	3113.0	50.0	1782.0	18475.0	4018.0	693.0	289.0
в 1957-1970 гг.	62923.0	14074.0	154.0	6339.0	30353.0	9267.0	2134.0	602.0
в 1971-1995 гг.	40023.0	17994.0	330.0	2147.0	13577.0	5286.0	354.0	335.0
после 1995 г.	8503.0	6128.0	57.0	496.0	958.0	745.0	26.0	93.0
не указавшие период постройки дома	683.0	179.0	-	27.0	264.0	62.0	7.0	144.0
Проживающие в отдельных квартирах	522214.0	213748.0	265489.0	10108.0	16959.0	9988.0	1407.0	4515.0
в том числе построенных:								
в 1920 г. и ранее	13391.0	6140.0	-	60.0	5011.0	2063.0	31.0	86.0
в 1921-1945 гг.	7193.0	3250.0	28.0	214.0	2805.0	751.0	67.0	78.0
в 1946-1956 гг.	18574.0	8978.0	98.0	3373.0	3643.0	2062.0	249.0	171.0
в 1957-1970 гг.	95268.0	54119.0	31061.0	2939.0	3603.0	2382.0	453.0	711.0
в 1971-1995 гг.	355736.0	127108.0	218483.0	2765.0	1752.0	2609.0	493.0	2526.0
после 1995 г.	29106.0	13233.0	14851.0	667.0	40.0	67.0	111.0	137.0
не указавшие период постройки дома	2946.0	920.0	968.0	90.0	105.0	54.0	3.0	806.0
Проживающие в коммунальных квартирах	7683.0	2879.0	2723.0	311.0	1059.0	542.0	33.0	136.0
в том числе построенных:								
в 1920 г. и ранее	463.0	184.0	-	-	189.0	90.0	-	-
в 1921-1945 гг.	377.0	107.0	-	8.0	181.0	79.0	-	2.0
в 1946-1956 гг.	922.0	297.0	-	140.0	319.0	134.0	25.0	7.0
в 1957-1970 гг.	1573.0	576.0	356.0	139.0	302.0	177.0	-	23.0
в 1971-1995 гг.	4186.0	1617.0	2350.0	19.0	50.0	62.0	5.0	83.0
после 1995 г.	91.0	68.0	6.0	-	8.0	-	3.0	6.0
не указавшие период постройки дома	71.0	30.0	11.0	5.0	10.0	-	-	15.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	468919.0	105316.0	20954.0	16075.0	292031.0	26747.0	3801.0	3995.0
в том числе построенных:								
в 1920 г. и ранее	5728.0	1883.0	-	33.0	3429.0	326.0	37.0	20.0
в 1921-1945 гг.	14174.0	1448.0	14.0	169.0	11866.0	523.0	57.0	97.0
в 1946-1956 гг.	58569.0	4621.0	42.0	1127.0	49362.0	2427.0	519.0	471.0
в 1957-1970 гг.	229589.0	28621.0	955.0	6881.0	177299.0	11937.0	2124.0	1772.0
в 1971-1995 гг.	149908.0	63476.0	19442.0	7099.0	47266.0	10353.0	1026.0	1246.0
после 1995 г.	8795.0	4728.0	412.0	653.0	1866.0	1042.0	32.0	62.0
не указавшие период постройки дома	2156.0	539.0	89.0	113.0	943.0	139.0	6.0	327.0
Проживающие в индивидуальных домах	386777.0	58858.0	2400.0	11694.0	283822.0	23834.0	3169.0	3000.0
в том числе построенных:								
в 1920 г. и ранее	4452.0	1243.0	-	23.0	2929.0	217.0	28.0	12.0
в 1921-1945 гг.	12704.0	893.0	14.0	106.0	11179.0	371.0	55.0	86.0
в 1946-1956 гг.	54735.0	3154.0	30.0	783.0	47881.0	2045.0	430.0	412.0
в 1957-1970 гг.	214615.0	19361.0	427.0	6060.0	173919.0	11359.0	1922.0	1567.0
в 1971-1995 гг.	91208.0	29983.0	1802.0	4082.0	45188.0	8752.0	696.0	705.0
после 1995 г.	7540.0	3976.0	98.0	570.0	1836.0	980.0	32.0	48.0
не указавшие период постройки дома	1523.0	248.0	29.0	70.0	890.0	110.0	6.0	170.0
Проживающие в отдельных квартирах	81062.0	46115.0	18187.0	4353.0	7930.0	2864.0	619.0	994.0
в том числе построенных:								
в 1920 г. и ранее	1238.0	614.0	-	10.0	488.0	109.0	9.0	8.0
в 1921-1945 гг.	1451.0	555.0	-	63.0	671.0	149.0	2.0	11.0
в 1946-1956 гг.	3798.0	1463.0	12.0	344.0	1449.0	382.0	89.0	59.0
в 1957-1970 гг.	14728.0	9224.0	528.0	821.0	3213.0	549.0	189.0	204.0
в 1971-1995 гг.	57977.0	33232.0	17273.0	2989.0	2028.0	1584.0	330.0	541.0
после 1995 г.	1249.0	748.0	314.0	83.0	28.0	62.0	-	14.0
не указавшие период постройки дома	621.0	279.0	60.0	43.0	53.0	29.0	-	157.0
Проживающие в коммунальных квартирах	1080.0	343.0	367.0	28.0	279.0	49.0	13.0	1.0
в том числе построенных:								
в 1920 г. и ранее	38.0	26.0	-	-	12.0	-	-	-
в 1921-1945 гг.	19.0	-	-	-	16.0	3.0	-	-
в 1946-1956 гг.	36.0	4.0	-	-	32.0	-	-	-
в 1957-1970 гг.	246.0	36.0	-	-	167.0	29.0	13.0	1.0
в 1971-1995 гг.	723.0	261.0	367.0	28.0	50.0	17.0	-	-
после 1995 г.	6.0	4.0	-	-	2.0	-	-	-
не указавшие период постройки дома	12.0	12.0	-	-	-	-	-	-
Липецкая область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1141005.0	629730.0	288746.0	35486.0	80468.0	67594.0	27364.0	11617.0
в том числе построенных:								
в 1920 г. и ранее	38246.0	24856.0	12.0	37.0	9059.0	3690.0	366.0	226.0
в 1921-1945 гг.	40373.0	24835.0	115.0	846.0	8641.0	4522.0	1083.0	331.0
в 1946-1956 гг.	88180.0	48515.0	771.0	2558.0	15105.0	14017.0	6263.0	951.0
в 1957-1970 гг.	320708.0	197839.0	32303.0	15074.0	29411.0	28682.0	14408.0	2991.0
в 1971-1995 гг.	585872.0	299669.0	230968.0	15684.0	16404.0	13756.0	4192.0	5199.0
после 1995 г.	59814.0	30349.0	22833.0	1071.0	1521.0	2568.0	937.0	535.0
не указавшие период постройки дома	7812.0	3667.0	1744.0	216.0	327.0	359.0	115.0	1384.0
Проживающие в индивидуальных домах	409236.0	258048.0	2315.0	7724.0	66587.0	49868.0	21232.0	3462.0
в том числе построенных:								
в 1920 г. и ранее	27230.0	18657.0	4.0	37.0	5751.0	2320.0	304.0	157.0
в 1921-1945 гг.	27873.0	17338.0	27.0	208.0	6453.0	2991.0	648.0	208.0
в 1946-1956 гг.	57763.0	29050.0	85.0	1387.0	11997.0	9728.0	4901.0	615.0
в 1957-1970 гг.	165060.0	99033.0	413.0	3850.0	25947.0	22432.0	12073.0	1312.0
в 1971-1995 гг.	111550.0	79669.0	1429.0	1625.0	14713.0	10389.0	2910.0	815.0
после 1995 г.	17735.0	13147.0	340.0	570.0	1445.0	1777.0	313.0	143.0
не указавшие период постройки дома	2025.0	1154.0	17.0	47.0	281.0	231.0	83.0	212.0
Проживающие в отдельных квартирах	722993.0	366284.0	285391.0	27410.0	13261.0	16797.0	5813.0	8037.0
в том числе построенных:								
в 1920 г. и ранее	10750.0	6121.0	8.0	-	3197.0	1314.0	46.0	64.0
в 1921-1945 гг.	11512.0	6908.0	88.0	557.0	2032.0	1408.0	404.0	115.0
в 1946-1956 гг.	28795.0	18374.0	682.0	1126.0	2909.0	4066.0	1316.0	322.0
в 1957-1970 гг.	152478.0	96802.0	31665.0	11030.0	3374.0	5860.0	2116.0	1631.0
в 1971-1995 гг.	471879.0	218530.0	228814.0	14027.0	1627.0	3245.0	1275.0	4361.0
после 1995 г.	41880.0	17098.0	22408.0	501.0	76.0	781.0	624.0	392.0
не указавшие период постройки дома	5699.0	2451.0	1726.0	169.0	46.0	123.0	32.0	1152.0
Проживающие в коммунальных квартирах	8776.0	5398.0	1040.0	352.0	620.0	929.0	319.0	118.0
в том числе построенных:								
в 1920 г. и ранее	266.0	78.0	-	-	111.0	56.0	16.0	5.0
в 1921-1945 гг.	988.0	589.0	-	81.0	156.0	123.0	31.0	8.0
в 1946-1956 гг.	1622.0	1091.0	4.0	45.0	199.0	223.0	46.0	14.0
в 1957-1970 гг.	3170.0	2004.0	225.0	194.0	90.0	390.0	219.0	48.0
в 1971-1995 гг.	2443.0	1470.0	725.0	32.0	64.0	122.0	7.0	23.0
после 1995 г.	199.0	104.0	85.0	-	-	10.0	-	-
не указавшие период постройки дома	88.0	62.0	1.0	-	-	5.0	-	20.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	717061.0	324160.0	267799.0	22105.0	38548.0	40076.0	16462.0	7911.0
в том числе построенных:								
в 1920 г. и ранее	17238.0	7018.0	10.0	4.0	7409.0	2557.0	130.0	110.0
в 1921-1945 гг.	17687.0	7593.0	85.0	764.0	5441.0	3009.0	619.0	176.0
в 1946-1956 гг.	48085.0	22528.0	731.0	2116.0	7606.0	10043.0	4437.0	624.0
в 1957-1970 гг.	179160.0	97582.0	31604.0	13377.0	10572.0	16193.0	7945.0	1887.0
в 1971-1995 гг.	403658.0	166954.0	211998.0	5291.0	6569.0	6666.0	2552.0	3628.0
после 1995 г.	45600.0	20287.0	21729.0	402.0	767.0	1365.0	698.0	352.0
не указавшие период постройки дома	5633.0	2198.0	1642.0	151.0	184.0	243.0	81.0	1134.0
Проживающие в индивидуальных домах	133391.0	57926.0	623.0	4844.0	30005.0	27029.0	11490.0	1474.0
в том числе построенных:								
в 1920 г. и ранее	8284.0	2451.0	2.0	4.0	4381.0	1305.0	79.0	62.0
в 1921-1945 гг.	7552.0	1655.0	9.0	155.0	3782.0	1658.0	229.0	64.0
в 1946-1956 гг.	24009.0	7123.0	63.0	1108.0	5647.0	6437.0	3255.0	376.0
в 1957-1970 гг.	52203.0	21206.0	157.0	2711.0	9244.0	12133.0	6242.0	510.0
в 1971-1995 гг.	33354.0	20001.0	307.0	577.0	6062.0	4608.0	1502.0	297.0
после 1995 г.	7161.0	5183.0	75.0	257.0	736.0	745.0	127.0	38.0
не указавшие период постройки дома	828.0	307.0	10.0	32.0	153.0	143.0	56.0	127.0
Проживающие в отдельных квартирах	575769.0	261489.0	266170.0	16920.0	7999.0	12167.0	4680.0	6344.0
в том числе построенных:								
в 1920 г. и ранее	8706.0	4502.0	8.0	-	2922.0	1196.0	35.0	43.0
в 1921-1945 гг.	9191.0	5377.0	76.0	528.0	1516.0	1231.0	359.0	104.0
в 1946-1956 гг.	22547.0	14353.0	664.0	963.0	1800.0	3387.0	1136.0	244.0
в 1957-1970 гг.	124079.0	74594.0	31222.0	10472.0	1248.0	3695.0	1511.0	1337.0
в 1971-1995 гг.	368257.0	145805.0	211000.0	4693.0	451.0	1953.0	1043.0	3312.0
после 1995 г.	38266.0	15026.0	21569.0	145.0	31.0	610.0	571.0	314.0
не указавшие период постройки дома	4723.0	1832.0	1631.0	119.0	31.0	95.0	25.0	990.0
Проживающие в коммунальных квартирах	7901.0	4745.0	1006.0	341.0	544.0	880.0	292.0	93.0
в том числе построенных:								
в 1920 г. и ранее	248.0	65.0	-	-	106.0	56.0	16.0	5.0
в 1921-1945 гг.	944.0	561.0	-	81.0	143.0	120.0	31.0	8.0
в 1946-1956 гг.	1529.0	1052.0	4.0	45.0	159.0	219.0	46.0	4.0
в 1957-1970 гг.	2878.0	1782.0	225.0	194.0	80.0	365.0	192.0	40.0
в 1971-1995 гг.	2047.0	1148.0	691.0	21.0	56.0	105.0	7.0	19.0
после 1995 г.	173.0	78.0	85.0	-	-	10.0	-	-
не указавшие период постройки дома	82.0	59.0	1.0	-	-	5.0	-	17.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	423944.0	305570.0	20947.0	13381.0	41920.0	27518.0	10902.0	3706.0
в том числе построенных:								
в 1920 г. и ранее	21008.0	17838.0	2.0	33.0	1650.0	1133.0	236.0	116.0
в 1921-1945 гг.	22686.0	17242.0	30.0	82.0	3200.0	1513.0	464.0	155.0
в 1946-1956 гг.	40095.0	25987.0	40.0	442.0	7499.0	3974.0	1826.0	327.0
в 1957-1970 гг.	141548.0	100257.0	699.0	1697.0	18839.0	12489.0	6463.0	1104.0
в 1971-1995 гг.	182214.0	132715.0	18970.0	10393.0	9835.0	7090.0	1640.0	1571.0
после 1995 г.	14214.0	10062.0	1104.0	669.0	754.0	1203.0	239.0	183.0
не указавшие период постройки дома	2179.0	1469.0	102.0	65.0	143.0	116.0	34.0	250.0
Проживающие в индивидуальных домах	275845.0	200122.0	1692.0	2880.0	36582.0	22839.0	9742.0	1988.0
в том числе построенных:								
в 1920 г. и ранее	18946.0	16206.0	2.0	33.0	1370.0	1015.0	225.0	95.0
в 1921-1945 гг.	20321.0	15683.0	18.0	53.0	2671.0	1333.0	419.0	144.0
в 1946-1956 гг.	33754.0	21927.0	22.0	279.0	6350.0	3291.0	1646.0	239.0
в 1957-1970 гг.	112857.0	77827.0	256.0	1139.0	16703.0	10299.0	5831.0	802.0
в 1971-1995 гг.	78196.0	59668.0	1122.0	1048.0	8651.0	5781.0	1408.0	518.0
после 1995 г.	10574.0	7964.0	265.0	313.0	709.0	1032.0	186.0	105.0
не указавшие период постройки дома	1197.0	847.0	7.0	15.0	128.0	88.0	27.0	85.0
Проживающие в отдельных квартирах	147224.0	104795.0	19221.0	10490.0	5262.0	4630.0	1133.0	1693.0
в том числе построенных:								
в 1920 г. и ранее	2044.0	1619.0	-	-	275.0	118.0	11.0	21.0
в 1921-1945 гг.	2321.0	1531.0	12.0	29.0	516.0	177.0	45.0	11.0
в 1946-1956 гг.	6248.0	4021.0	18.0	163.0	1109.0	679.0	180.0	78.0
в 1957-1970 гг.	28399.0	22208.0	443.0	558.0	2126.0	2165.0	605.0	294.0
в 1971-1995 гг.	103622.0	72725.0	17814.0	9334.0	1176.0	1292.0	232.0	1049.0
после 1995 г.	3614.0	2072.0	839.0	356.0	45.0	171.0	53.0	78.0
не указавшие период постройки дома	976.0	619.0	95.0	50.0	15.0	28.0	7.0	162.0
Проживающие в коммунальных квартирах	875.0	653.0	34.0	11.0	76.0	49.0	27.0	25.0
в том числе построенных:								
в 1920 г. и ранее	18.0	13.0	-	-	5.0	-	-	-
в 1921-1945 гг.	44.0	28.0	-	-	13.0	3.0	-	-
в 1946-1956 гг.	93.0	39.0	-	-	40.0	4.0	-	10.0
в 1957-1970 гг.	292.0	222.0	-	-	10.0	25.0	27.0	8.0
в 1971-1995 гг.	396.0	322.0	34.0	11.0	8.0	17.0	-	4.0
после 1995 г.	26.0	26.0	-	-	-	-	-	-
не указавшие период постройки дома	6.0	3.0	-	-	-	-	-	3.0
Московская область								
Городское и сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	6172579.0	2539450.0	2567418.0	331869.0	443016.0	171564.0	21407.0	97855.0
в том числе построенных:								
в 1920 г. и ранее	79657.0	21358.0	93.0	423.0	49307.0	7393.0	190.0	893.0
в 1921-1945 гг.	249436.0	82447.0	1077.0	5204.0	129490.0	26318.0	1934.0	2966.0
в 1946-1956 гг.	384853.0	163380.0	6352.0	28034.0	123197.0	52817.0	5660.0	5413.0
в 1957-1970 гг.	1678440.0	935803.0	456959.0	104862.0	101108.0	52883.0	7187.0	19638.0
в 1971-1995 гг.	3383460.0	1198036.0	1921796.0	174087.0	26142.0	21010.0	3186.0	39203.0
после 1995 г.	310609.0	110164.0	159367.0	15808.0	8791.0	9279.0	2971.0	4229.0
не указавшие период постройки дома	86124.0	28262.0	21774.0	3451.0	4981.0	1864.0	279.0	25513.0
Проживающие в индивидуальных домах	587337.0	138980.0	12343.0	22313.0	320655.0	74577.0	8228.0	10241.0
в том числе построенных:								
в 1920 г. и ранее	41428.0	2570.0	10.0	145.0	34252.0	3950.0	92.0	409.0
в 1921-1945 гг.	106499.0	5310.0	177.0	672.0	87825.0	11023.0	375.0	1117.0
в 1946-1956 гг.	127845.0	12454.0	391.0	4175.0	87951.0	18819.0	2339.0	1716.0
в 1957-1970 гг.	165461.0	40709.0	1359.0	10302.0	80019.0	26545.0	4607.0	1920.0
в 1971-1995 гг.	93004.0	48846.0	9002.0	5162.0	19557.0	8536.0	576.0	1325.0
после 1995 г.	44383.0	27334.0	1245.0	1644.0	8278.0	4960.0	175.0	747.0
не указавшие период постройки дома	8717.0	1757.0	159.0	213.0	2773.0	744.0	64.0	3007.0
Проживающие в отдельных квартирах	5432808.0	2319769.0	2531329.0	300335.0	102386.0	82995.0	11777.0	84217.0
в том числе построенных:								
в 1920 г. и ранее	30829.0	14594.0	76.0	245.0	12650.0	2782.0	79.0	403.0
в 1921-1945 гг.	105704.0	54727.0	783.0	3274.0	33604.0	10905.0	1024.0	1387.0
в 1946-1956 гг.	222657.0	133216.0	5745.0	20443.0	28977.0	28151.0	2824.0	3301.0
в 1957-1970 гг.	1477335.0	872603.0	450535.0	92317.0	18703.0	23766.0	2297.0	17114.0
в 1971-1995 гг.	3258032.0	1137410.0	1895364.0	166963.0	6227.0	12169.0	2569.0	37330.0
после 1995 г.	264528.0	82071.0	157540.0	14011.0	420.0	4262.0	2782.0	3442.0
не указавшие период постройки дома	73723.0	25148.0	21286.0	3082.0	1805.0	960.0	202.0	21240.0
Проживающие в коммунальных квартирах	152434.0	80701.0	23746.0	9221.0	19975.0	13992.0	1402.0	3397.0
в том числе построенных:								
в 1920 г. и ранее	7400.0	4194.0	7.0	33.0	2405.0	661.0	19.0	81.0
в 1921-1945 гг.	37233.0	22410.0	117.0	1258.0	8061.0	4390.0	535.0	462.0
в 1946-1956 гг.	34351.0	17710.0	216.0	3416.0	6269.0	5847.0	497.0	396.0
в 1957-1970 гг.	35644.0	22491.0	5065.0	2243.0	2386.0	2572.0	283.0	604.0
в 1971-1995 гг.	32424.0	11780.0	17430.0	1962.0	358.0	305.0	41.0	548.0
после 1995 г.	1698.0	759.0	582.0	153.0	93.0	57.0	14.0	40.0
не указавшие период постройки дома	3684.0	1357.0	329.0	156.0	403.0	160.0	13.0	1266.0
Городское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	4900580.0	2129560.0	2062758.0	268110.0	226762.0	120660.0	16367.0	76363.0
в том числе построенных:								
в 1920 г. и ранее	50271.0	18229.0	69.0	321.0	26166.0	4805.0	141.0	540.0
в 1921-1945 гг.	181821.0	77435.0	983.0	4810.0	74364.0	20192.0	1771.0	2266.0
в 1946-1956 гг.	298042.0	145703.0	5360.0	25005.0	71038.0	42060.0	4709.0	4167.0
в 1957-1970 гг.	1378874.0	794962.0	398381.0	88581.0	40947.0	35069.0	5173.0	15761.0
в 1971-1995 гг.	2675534.0	985962.0	1503193.0	134063.0	8657.0	11962.0	2137.0	29560.0
после 1995 г.	248235.0	84288.0	137797.0	12530.0	2818.0	5338.0	2233.0	3231.0
не указавшие период постройки дома	67803.0	22981.0	16975.0	2800.0	2772.0	1234.0	203.0	20838.0
Проживающие в индивидуальных домах	278286.0	70358.0	2569.0	13037.0	138105.0	43545.0	5805.0	4867.0
в том числе построенных:								
в 1920 г. и ранее	17525.0	1284.0	9.0	84.0	13925.0	2016.0	50.0	157.0
в 1921-1945 гг.	50784.0	3485.0	132.0	449.0	39442.0	6416.0	298.0	562.0
в 1946-1956 гг.	73826.0	8502.0	191.0	3406.0	45451.0	13389.0	1867.0	1020.0
в 1957-1970 гг.	80655.0	22764.0	528.0	7158.0	29898.0	16109.0	3215.0	983.0
в 1971-1995 гг.	32819.0	20792.0	1235.0	1195.0	5496.0	3322.0	277.0	502.0
после 1995 г.	18581.0	12662.0	432.0	663.0	2575.0	1895.0	59.0	295.0
не указавшие период постройки дома	4096.0	869.0	42.0	82.0	1318.0	398.0	39.0	1348.0
Проживающие в отдельных квартирах	4489433.0	1986349.0	2041200.0	246778.0	72548.0	64590.0	9255.0	68713.0
в том числе построенных:								
в 1920 г. и ранее	26170.0	12997.0	53.0	204.0	10268.0	2252.0	72.0	324.0
в 1921-1945 гг.	95820.0	52255.0	736.0	3116.0	27869.0	9649.0	939.0	1256.0
в 1946-1956 гг.	193350.0	121011.0	4976.0	18384.0	20494.0	23322.0	2377.0	2786.0
в 1957-1970 гг.	1267414.0	752260.0	393428.0	79335.0	9518.0	16866.0	1722.0	14285.0
в 1971-1995 гг.	2617511.0	955835.0	1488383.0	131382.0	3008.0	8417.0	1832.0	28654.0
после 1995 г.	228378.0	71031.0	136919.0	11787.0	174.0	3397.0	2162.0	2908.0
не указавшие период постройки дома	60790.0	20960.0	16705.0	2570.0	1217.0	687.0	151.0	18500.0
Проживающие в коммунальных квартирах	132861.0	72853.0	18989.0	8295.0	16109.0	12525.0	1307.0	2783.0
в том числе построенных:								
в 1920 г. и ранее	6576.0	3948.0	7.0	33.0	1973.0	537.0	19.0	59.0
в 1921-1945 гг.	35217.0	21695.0	115.0	1245.0	7053.0	4127.0	534.0	448.0
в 1946-1956 гг.	30866.0	16190.0	193.0	3215.0	5093.0	5349.0	465.0	361.0
в 1957-1970 гг.	30805.0	19938.0	4425.0	2088.0	1531.0	2094.0	236.0	493.0
в 1971-1995 гг.	25204.0	9335.0	13575.0	1486.0	153.0	223.0	28.0	404.0
после 1995 г.	1276.0	595.0	446.0	80.0	69.0	46.0	12.0	28.0
не указавшие период постройки дома	2917.0	1152.0	228.0	148.0	237.0	149.0	13.0	990.0
Сельское население								
Проживающие в индивидуальных домах, отдельных и коммунальных квартирах	1271999.0	409890.0	504660.0	63759.0	216254.0	50904.0	5040.0	21492.0
в том числе построенных:								
в 1920 г. и ранее	29386.0	3129.0	24.0	102.0	23141.0	2588.0	49.0	353.0
в 1921-1945 гг.	67615.0	5012.0	94.0	394.0	55126.0	6126.0	163.0	700.0
в 1946-1956 гг.	86811.0	17677.0	992.0	3029.0	52159.0	10757.0	951.0	1246.0
в 1957-1970 гг.	299566.0	140841.0	58578.0	16281.0	60161.0	17814.0	2014.0	3877.0
в 1971-1995 гг.	707926.0	212074.0	418603.0	40024.0	17485.0	9048.0	1049.0	9643.0
после 1995 г.	62374.0	25876.0	21570.0	3278.0	5973.0	3941.0	738.0	998.0
не указавшие период постройки дома	18321.0	5281.0	4799.0	651.0	2209.0	630.0	76.0	4675.0
Проживающие в индивидуальных домах	309051.0	68622.0	9774.0	9276.0	182550.0	31032.0	2423.0	5374.0
в том числе построенных:								
в 1920 г. и ранее	23903.0	1286.0	1.0	61.0	20327.0	1934.0	42.0	252.0
в 1921-1945 гг.	55715.0	1825.0	45.0	223.0	48383.0	4607.0	77.0	555.0
в 1946-1956 гг.	54019.0	3952.0	200.0	769.0	42500.0	5430.0	472.0	696.0
в 1957-1970 гг.	84806.0	17945.0	831.0	3144.0	50121.0	10436.0	1392.0	937.0
в 1971-1995 гг.	60185.0	28054.0	7767.0	3967.0	14061.0	5214.0	299.0	823.0
после 1995 г.	25802.0	14672.0	813.0	981.0	5703.0	3065.0	116.0	452.0
не указавшие период постройки дома	4621.0	888.0	117.0	131.0	1455.0	346.0	25.0	1659.0
