1.2. ЧИСЛЕННОСТЬ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ, МУЖЧИН И ЖЕНЩИН						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов		Женщин на 1000 мужчин
2002.0	35740.0	16125.0	19615.0	45.1	54.9	1216.0
Сельское население						
1989.0	111250.0	52661.0	58589.0	47.3	52.7	1113.0
2002.0	100336.0	48949.0	51387.0	48.8	51.2	1050.0
Самарская область						
Городское и сельское население						
1989.0	3262906.0	1512761.0	1750145.0	46.4	53.6	1157.0
2002.0	3239737.0	1496461.0	1743276.0	46.2	53.8	1165.0
Городское население						
1989.0	2634698.0	1215257.0	1419441.0	46.1	53.9	1168.0
2002.0	2611680.0	1199236.0	1412444.0	45.9	54.1	1178.0
Сельское население						
1989.0	628208.0	297504.0	330704.0	47.4	52.6	1112.0
2002.0	628057.0	297225.0	330832.0	47.3	52.7	1113.0
Саратовская область						
Городское и сельское население						
1989.0	2684471.0	1253278.0	1431193.0	46.7	53.3	1142.0
2002.0	2668310.0	1229074.0	1439236.0	46.1	53.9	1171.0
Городское население						
1989.0	1990129.0	926492.0	1063637.0	46.6	53.4	1148.0
2002.0	1963858.0	895215.0	1068643.0	45.6	54.4	1194.0
Сельское население						
1989.0	694342.0	326786.0	367556.0	47.1	52.9	1125.0
2002.0	704452.0	333859.0	370593.0	47.4	52.6	1110.0
Ульяновская область						
Городское и сельское население						
1989.0	1396193.0	650824.0	745369.0	46.6	53.4	1145.0
2002.0	1382811.0	637892.0	744919.0	46.1	53.9	1168.0
Городское население						
1989.0	995246.0	466982.0	528264.0	46.9	53.1	1131.0
2002.0	1011585.0	465225.0	546360.0	46.0	54.0	1174.0
Сельское население						
1989.0	400947.0	183842.0	217105.0	45.9	54.1	1181.0
2002.0	371226.0	172667.0	198559.0	46.5	53.5	1150.0
Уральский федеральный округ						
Городское и сельское население						
1989.0	12525837.0	5952265.0	6573572.0	47.5	52.5	1104.0
2002.0	12373926.0	5797903.0	6576023.0	46.9	53.1	1134.0
Городское население						
1989.0	10044662.0	4753467.0	5291195.0	47.3	52.7	1113.0
2002.0	9991785.0	4652913.0	5338872.0	46.6	53.4	1147.0
Сельское население						
1989.0	2481175.0	1198798.0	1282377.0	48.3	51.7	1070.0
2002.0	2382141.0	1144990.0	1237151.0	48.1	51.9	1080.0
Курганская область						
Городское и сельское население						
1989.0	1103665.0	514337.0	589328.0	46.6	53.4	1146.0
2002.0	1019532.0	470578.0	548954.0	46.2	53.8	1167.0
Городское население						
1989.0	602327.0	277937.0	324390.0	46.1	53.9	1167.0
2002.0	574381.0	259411.0	314970.0	45.2	54.8	1214.0
Сельское население						
1989.0	501338.0	236400.0	264938.0	47.2	52.8	1121.0
2002.0	445151.0	211167.0	233984.0	47.4	52.6	1108.0
Свердловская область						
Городское и сельское население						
1989.0	4706763.0	2195585.0	2511178.0	46.6	53.4	1144.0
2002.0	4486214.0	2071598.0	2414616.0	46.2	53.8	1166.0
Городское население						
1989.0	4096510.0	1900342.0	2196168.0	46.4	53.6	1156.0
2002.0	3943529.0	1809040.0	2134489.0	45.9	54.1	1180.0
Сельское население						
1989.0	610253.0	295243.0	315010.0	48.4	51.6	1067.0
2002.0	542685.0	262558.0	280127.0	48.4	51.6	1067.0
Тюменская область						
Городское и сельское население						
1989.0	3097657.0	1548518.0	1549139.0	50.0	50.0	1000.0
2002.0	3264841.0	1589162.0	1675679.0	48.7	51.3	1054.0
Городское население						
1989.0	2360617.0	1181898.0	1178719.0	50.1	49.9	997.0
2002.0	2526133.0	1227654.0	1298479.0	48.6	51.4	1058.0
Сельское население						
1989.0	737040.0	366620.0	370420.0	49.7	50.3	1010.0
2002.0	738708.0	361508.0	377200.0	48.9	51.1	1043.0
Ханты-Мансийский автономный округ - Югра						
Городское и сельское население						
1989.0	1282396.0	657441.0	624955.0	51.3	48.7	951.0
2002.0	1432817.0	712599.0	720218.0	49.7	50.3	1011.0
Городское население						
1989.0	1166339.0	597080.0	569259.0	51.2	48.8	953.0
2002.0	1301924.0	644353.0	657571.0	49.5	50.5	1021.0
Сельское население						
1989.0	116057.0	60361.0	55696.0	52.0	48.0	923.0
2002.0	130893.0	68246.0	62647.0	52.1	47.9	918.0
Ямало-Ненецкий автономный округ						
Городское и сельское население						
1989.0	494844.0	259214.0	235630.0	52.4	47.6	909.0
2002.0	507006.0	254873.0	252133.0	50.3	49.7	989.0
Городское население						
1989.0	385614.0	201486.0	184128.0	52.3	47.7	914.0
2002.0	422826.0	212128.0	210698.0	50.2	49.8	993.0
Сельское население						
1989.0	109230.0	57728.0	51502.0	52.8	47.2	892.0
2002.0	84180.0	42745.0	41435.0	50.8	49.2	969.0
Челябинская область						
Городское и сельское население						
1989.0	3617752.0	1693825.0	1923927.0	46.8	53.2	1136.0
2002.0	3603339.0	1666565.0	1936774.0	46.3	53.7	1162.0
Городское население						
1989.0	2985208.0	1393290.0	1591918.0	46.7	53.3	1143.0
2002.0	2947742.0	1356808.0	1590934.0	46.0	54.0	1173.0
Сельское население						
1989.0	632544.0	300535.0	332009.0	47.5	52.5	1105.0
2002.0	655597.0	309757.0	345840.0	47.2	52.8	1116.0
Сибирский федеральный округ						
Городское и сельское население						
1989.0	21068035.0	10083662.0	10984373.0	47.9	52.1	1089.0
2002.0	20062938.0	9399702.0	10663236.0	46.9	53.1	1134.0
Городское население						
1989.0	15133021.0	7185669.0	7947352.0	47.5	52.5	1106.0
2002.0	14272877.0	6606929.0	7665948.0	46.3	53.7	1160.0
Сельское население						
1989.0	5935014.0	2897993.0	3037021.0	48.8	51.2	1048.0
2002.0	5790061.0	2792773.0	2997288.0	48.2	51.8	1073.0
Республика Алтай						
Городское и сельское население						
1989.0	190831.0	90946.0	99885.0	47.7	52.3	1098.0
2002.0	202947.0	96572.0	106375.0	47.6	52.4	1102.0
Городское население						
1989.0	51649.0	23763.0	27886.0	46.0	54.0	1174.0
2002.0	53538.0	23996.0	29542.0	44.8	55.2	1231.0
Сельское население						
1989.0	139182.0	67183.0	71999.0	48.3	51.7	1072.0
2002.0	149409.0	72576.0	76833.0	48.6	51.4	1059.0
Республика Бурятия						
Городское и сельское население						
1989.0	1038252.0	504428.0	533824.0	48.6	51.4	1058.0
2002.0	981238.0	467984.0	513254.0	47.7	52.3	1097.0
Городское население						
1989.0	640353.0	308033.0	332320.0	48.1	51.9	1079.0
2002.0	584970.0	275010.0	309960.0	47.0	53.0	1127.0
Сельское население						
1989.0	397899.0	196395.0	201504.0	49.4	50.6	1026.0
2002.0	396268.0	192974.0	203294.0	48.7	51.3	1053.0
Республика Тыва						
Городское и сельское население						
1989.0	308557.0	151443.0	157114.0	49.1	50.9	1037.0
2002.0	305510.0	144961.0	160549.0	47.4	52.6	1108.0
Городское население						
1989.0	144310.0	70365.0	73945.0	48.8	51.2	1051.0
2002.0	157299.0	73433.0	83866.0	46.7	53.3	1142.0
Сельское население						
1989.0	164247.0	81078.0	83169.0	49.4	50.6	1026.0
2002.0	148211.0	71528.0	76683.0	48.3	51.7	1072.0
Республика Хакасия						
Городское и сельское население						
1989.0	566861.0	276027.0	290834.0	48.7	51.3	1054.0
2002.0	546072.0	254892.0	291180.0	46.7	53.3	1142.0
Городское население						
1989.0	410122.0	200589.0	209533.0	48.9	51.1	1045.0
2002.0	386865.0	179167.0	207698.0	46.3	53.7	1159.0
Сельское население						
1989.0	156739.0	75438.0	81301.0	48.1	51.9	1078.0
2002.0	159207.0	75725.0	83482.0	47.6	52.4	1102.0
Алтайский край						
Городское и сельское население						
1989.0	2631261.0	1239411.0	1391850.0	47.1	52.9	1123.0
2002.0	2607426.0	1215086.0	1392340.0	46.6	53.4	1146.0
Городское население						
1989.0	1524109.0	713301.0	810808.0	46.8	53.2	1137.0
2002.0	1386765.0	635394.0	751371.0	45.8	54.2	1183.0
Сельское население						
1989.0	1107152.0	526110.0	581042.0	47.5	52.5	1104.0
2002.0	1220661.0	579692.0	640969.0	47.5	52.5	1106.0
Красноярский край						
Городское и сельское население						
1989.0	3038593.0	1476070.0	1562523.0	48.6	51.4	1059.0
2002.0	2966042.0	1396017.0	1570025.0	47.1	52.9	1125.0
Городское население						
1989.0	2215980.0	1059386.0	1156594.0	47.8	52.2	1092.0
2002.0	2245715.0	1044771.0	1200944.0	46.5	53.5	1149.0
Сельское население						
1989.0	822613.0	416684.0	405929.0	50.7	49.3	974.0
2002.0	720327.0	351246.0	369081.0	48.8	51.2	1051.0
Таймырский (Долгано-Ненецкий) автономный округ						
Городское и сельское население						
1989.0	55803.0	28721.0	27082.0	51.5	48.5	943.0
2002.0	39786.0	19364.0	20422.0	48.7	51.3	1055.0
Городское население						
1989.0	36717.0	18624.0	18093.0	50.7	49.3	971.0
2002.0	26330.0	12562.0	13768.0	47.7	52.3	1096.0
Сельское население						
1989.0	19086.0	10097.0	8989.0	52.9	47.1	890.0
2002.0	13456.0	6802.0	6654.0	50.5	49.5	978.0
Эвенкийский автономный округ						
Городское и сельское население						
1989.0	24769.0	12986.0	11783.0	52.4	47.6	907.0
2002.0	17697.0	8878.0	8819.0	50.2	49.8	993.0
Городское население						
1989.0	7686.0	3937.0	3749.0	51.2	48.8	952.0
2002.0	5836.0	2813.0	3023.0	48.2	51.8	1075.0
Сельское население						
1989.0	17083.0	9049.0	8034.0	53.0	47.0	888.0
2002.0	11861.0	6065.0	5796.0	51.1	48.9	956.0
Иркутская область						
Городское и сельское население						
1989.0	2824920.0	1367656.0	1457264.0	48.4	51.6	1066.0
2002.0	2581705.0	1209195.0	1372510.0	46.8	53.2	1135.0
Городское население						
1989.0	2272664.0	1091129.0	1181535.0	48.0	52.0	1083.0
2002.0	2047614.0	948285.0	1099329.0	46.3	53.7	1159.0
Сельское население						
1989.0	552256.0	276527.0	275729.0	50.1	49.9	997.0
2002.0	534091.0	260910.0	273181.0	48.9	51.1	1047.0
Усть-Ордынский Бурятский автономный округ						
Городское и сельское население						
1989.0	135870.0	67117.0	68753.0	49.4	50.6	1024.0
2002.0	135327.0	65007.0	70320.0	48.0	52.0	1082.0
Городское население						
1989.0	25262.0	12174.0	13088.0	48.2	51.8	1075.0
2002.0	-	-	-	-	-	
Сельское население						
1989.0	110608.0	54943.0	55665.0	49.7	50.3	1013.0
2002.0	135327.0	65007.0	70320.0	48.0	52.0	1082.0
Кемеровская область						
Городское и сельское население						
1989.0	3171134.0	1507346.0	1663788.0	47.5	52.5	1104.0
2002.0	2899142.0	1347905.0	1551237.0	46.5	53.5	1151.0
Городское население						
1989.0	2768891.0	1314097.0	1454794.0	47.5	52.5	1107.0
2002.0	2512948.0	1161297.0	1351651.0	46.2	53.8	1164.0
Сельское население						
1989.0	402243.0	193249.0	208994.0	48.0	52.0	1081.0
2002.0	386194.0	186608.0	199586.0	48.3	51.7	1070.0
Новосибирская область						
Городское и сельское население						
1989.0	2778724.0	1297496.0	1481228.0	46.7	53.3	1142.0
2002.0	2692251.0	1249149.0	1443102.0	46.4	53.6	1155.0
Городское население						
1989.0	2071162.0	958500.0	1112662.0	46.3	53.7	1161.0
2002.0	2021597.0	927879.0	1093718.0	45.9	54.1	1179.0
Сельское население						
1989.0	707562.0	338996.0	368566.0	47.9	52.1	1087.0
2002.0	670654.0	321270.0	349384.0	47.9	52.1	1088.0
Омская область						
Городское и сельское население						
1989.0	2141909.0	1007509.0	1134400.0	47.0	53.0	1126.0
2002.0	2079220.0	965879.0	1113341.0	46.5	53.5	1153.0
Городское население						
1989.0	1448555.0	674209.0	774346.0	46.5	53.5	1149.0
2002.0	1428480.0	654532.0	773948.0	45.8	54.2	1182.0
Сельское население						
1989.0	693354.0	333300.0	360054.0	48.1	51.9	1080.0
2002.0	650740.0	311347.0	339393.0	47.8	52.2	1090.0
Томская область						
Городское и сельское население						
1989.0	1001653.0	488009.0	513644.0	48.7	51.3	1053.0
2002.0	1046039.0	493373.0	552666.0	47.2	52.8	1120.0
Городское население						
1989.0	690512.0	334675.0	355837.0	48.5	51.5	1063.0
2002.0	708541.0	331084.0	377457.0	46.7	53.3	1140.0
Сельское население						
1989.0	311141.0	153334.0	157807.0	49.3	50.7	1029.0
2002.0	337498.0	162289.0	175209.0	48.1	51.9	1080.0
Читинская область						
Городское и сельское население						
1989.0	1375340.0	677321.0	698019.0	49.2	50.8	1031.0
2002.0	1155346.0	558689.0	596657.0	48.4	51.6	1068.0
Городское население						
1989.0	894714.0	437622.0	457092.0	48.9	51.1	1044.0
2002.0	738545.0	352081.0	386464.0	47.7	52.3	1098.0
Сельское население						
1989.0	480626.0	239699.0	240927.0	49.9	50.1	1005.0
2002.0	416801.0	206608.0	210193.0	49.6	50.4	1017.0
Агинский Бурятский автономный округ						
Городское и сельское население						
1989.0	77188.0	38397.0	38791.0	49.7	50.3	1010.0
2002.0	72213.0	35127.0	37086.0	48.6	51.4	1056.0
Городское население						
1989.0	25134.0	12547.0	12587.0	49.9	50.1	1003.0
2002.0	25510.0	12018.0	13492.0	47.1	52.9	1123.0
Сельское население						
1989.0	52054.0	25850.0	26204.0	49.7	50.3	1014.0
2002.0	46703.0	23109.0	23594.0	49.5	50.5	1021.0
Дальневосточный федеральный округ						
Городское и сельское население						
1989.0	7950005.0	3984200.0	3965805.0	50.1	49.9	995.0
2002.0	6692865.0	3254984.0	3437881.0	48.6	51.4	1056.0
Городское население						
1989.0	6027395.0	2998750.0	3028645.0	49.8	50.2	1010.0
2002.0	5081575.0	2440462.0	2641113.0	48.0	52.0	1082.0
Сельское население						
1989.0	1922610.0	985450.0	937160.0	51.3	48.7	951.0
2002.0	1611290.0	814522.0	796768.0	50.6	49.4	978.0
Республика Саха (Якутия)						
Городское и сельское население						
1989.0	1094065.0	551595.0	542470.0	50.4	49.6	983.0
2002.0	949280.0	464217.0	485063.0	48.9	51.1	1045.0
Городское население						
1989.0	731963.0	370117.0	361846.0	50.6	49.4	978.0
2002.0	609999.0	296155.0	313844.0	48.6	51.4	1060.0
Сельское население						
1989.0	362102.0	181478.0	180624.0	50.1	49.9	995.0
2002.0	339281.0	168062.0	171219.0	49.5	50.5	1019.0
Приморский край						
Городское и сельское население						
1989.0	2256072.0	1118558.0	1137514.0	49.6	50.4	1017.0
2002.0	2071210.0	1002723.0	1068487.0	48.4	51.6	1066.0
Городское население						
1989.0	1743978.0	858109.0	885869.0	49.2	50.8	1032.0
2002.0	1621977.0	776824.0	845153.0	47.9	52.1	1088.0
Сельское население						
1989.0	512094.0	260449.0	251645.0	50.9	49.1	966.0
2002.0	449233.0	225899.0	223334.0	50.3	49.7	989.0
Хабаровский край						
Городское и сельское население						
1989.0	1597743.0	794172.0	803571.0	49.7	50.3	1012.0
2002.0	1436570.0	694210.0	742360.0	48.3	51.7	1069.0
Городское население						
1989.0	1280739.0	628508.0	652231.0	49.1	50.9	1038.0
2002.0	1157326.0	549151.0	608175.0	47.4	52.6	1107.0
Сельское население						
1989.0	317004.0	165664.0	151340.0	52.3	47.7	914.0
2002.0	279244.0	145059.0	134185.0	51.9	48.1	925.0
Амурская область						
Городское и сельское население						
1989.0	1050245.0	524570.0	525675.0	49.9	50.1	1002.0
2002.0	902844.0	435483.0	467361.0	48.2	51.8	1073.0
Городское население						
1989.0	714216.0	351671.0	362545.0	49.2	50.8	1031.0
2002.0	594386.0	281230.0	313156.0	47.3	52.7	1114.0
Сельское население						
1989.0	336029.0	172899.0	163130.0	51.5	48.5	943.0
2002.0	308458.0	154253.0	154205.0	50.0	50.0	1000.0
Камчатская область						
Городское и сельское население						
1989.0	471932.0	245950.0	225982.0	52.1	47.9	919.0
2002.0	358801.0	182755.0	176046.0	50.9	49.1	963.0
Городское население						
1989.0	384469.0	201213.0	183256.0	52.3	47.7	911.0
2002.0	290811.0	147927.0	142884.0	50.9	49.1	966.0
Сельское население						
1989.0	87463.0	44737.0	42726.0	51.1	48.9	955.0
2002.0	67990.0	34828.0	33162.0	51.2	48.8	952.0
Корякский автономный округ						
Городское и сельское население						
1989.0	39940.0	20667.0	19273.0	51.7	48.3	933.0
2002.0	25157.0	12822.0	12335.0	51.0	49.0	962.0
Городское население						
1989.0	15309.0	7942.0	7367.0	51.9	48.1	928.0
2002.0	6517.0	3105.0	3412.0	47.6	52.4	1099.0
Сельское население						
1989.0	24631.0	12725.0	11906.0	51.7	48.3	936.0
2002.0	18640.0	9717.0	8923.0	52.1	47.9	918.0
Магаданская область						
Городское и сельское население						
1989.0	391687.0	201925.0	189762.0	51.6	48.4	940.0
2002.0	182726.0	89753.0	92973.0	49.1	50.9	1036.0
Городское население						
1989.0	328293.0	166307.0	161986.0	50.7	49.3	974.0
2002.0	168725.0	82229.0	86496.0	48.7	51.3	1052.0
Сельское население						
1989.0	63394.0	35618.0	27776.0	56.2	43.8	780.0
2002.0	14001.0	7524.0	6477.0	53.7	46.3	861.0
Сахалинская область						
Городское и сельское население						
1989.0	710242.0	356631.0	353611.0	50.2	49.8	992.0
2002.0	546695.0	264925.0	281770.0	48.5	51.5	1064.0
Городское население						
1989.0	584273.0	292350.0	291923.0	50.0	50.0	999.0
2002.0	474123.0	227442.0	246681.0	48.0	52.0	1085.0
Сельское население						
1989.0	125969.0	64281.0	61688.0	51.0	49.0	960.0
2002.0	72572.0	37483.0	35089.0	51.6	48.4	936.0
Еврейская автономная область						
Городское и сельское население						
1989.0	214085.0	104575.0	109510.0	48.8	51.2	1047.0
2002.0	190915.0	92616.0	98299.0	48.5	51.5	1061.0
Городское население						
1989.0	140478.0	67636.0	72842.0	48.1	51.9	1077.0
2002.0	128359.0	60317.0	68042.0	47.0	53.0	1128.0
Сельское население						
1989.0	73607.0	36939.0	36668.0	50.2	49.8	993.0
2002.0	62556.0	32299.0	30257.0	51.6	48.4	937.0
Чукотский автономный округ						
Городское и сельское население						
1989.0	163934.0	86224.0	77710.0	52.6	47.4	901.0
2002.0	53824.0	28302.0	25522.0	52.6	47.4	902.0
Городское население						
1989.0	118986.0	62839.0	56147.0	52.8	47.2	894.0
2002.0	35869.0	19187.0	16682.0	53.5	46.5	869.0
Сельское население						
1989.0	44948.0	23385.0	21563.0	52.0	48.0	922.0
2002.0	17955.0	9115.0	8840.0	50.8	49.2	970.0
