5. ЗАНЯТОЕ В ЭКОНОМИКЕ НАСЕЛЕНИЕ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего		в том числе по положению в занятии					
трудоспособном	13002.0	12688.0	308.0	112.0	184.0	10.0	2.0	6.0
старше трудоспособного	757.0	745.0	12.0	6.0	5.0	1.0	-	-
Сельское население, занятое в экономике, в возрасте 15 лет и более	6017.0	5838.0	179.0	13.0	165.0	-	1.0	-
в том числе в возрасте, лет:								
15 – 19	208.0	202.0	6.0	-	6.0	-	-	-
20 – 29	1324.0	1278.0	46.0	-	45.0	-	1.0	-
30 – 39	1676.0	1614.0	62.0	5.0	57.0	-	-	-
40 – 49	1998.0	1948.0	50.0	3.0	47.0	-	-	-
50 – 59	663.0	652.0	11.0	4.0	7.0	-	-	-
60 – 64	97.0	95.0	2.0	-	2.0	-	-	-
65 и более	51.0	49.0	2.0	1.0	1.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-
Средний возраст	38.3	38.4	36.7	47.3	35.9	-	28.5	-
Из общей численности занятых - население в возрасте:								
трудоспособном	5782.0	5607.0	175.0	12.0	162.0	-	1.0	-
старше трудоспособного	233.0	229.0	4.0	1.0	3.0	-	-	-
Вологодская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	570153.0	540420.0	29523.0	8787.0	18549.0	1507.0	680.0	210.0
в том числе в возрасте, лет:								
15 – 19	16088.0	15700.0	381.0	50.0	288.0	29.0	14.0	7.0
20 – 29	135899.0	129689.0	6163.0	1561.0	4119.0	324.0	159.0	47.0
30 – 39	137910.0	128141.0	9714.0	3334.0	5798.0	404.0	178.0	55.0
40 – 49	180580.0	171122.0	9393.0	2889.0	5799.0	477.0	228.0	65.0
50 – 59	85884.0	82513.0	3341.0	854.0	2190.0	214.0	83.0	30.0
60 – 64	9654.0	9318.0	334.0	69.0	222.0	33.0	10.0	2.0
65 и более	4138.0	3937.0	197.0	30.0	133.0	26.0	8.0	4.0
Возраст не указан	114.0	111.0	3.0	2.0	1.0	-	-	-
Средний возраст	38.9	38.9	38.6	38.6	38.4	39.6	38.6	38.8
Из общей численности занятых - население в возрасте:								
трудоспособном	547664.0	518736.0	28731.0	8638.0	18011.0	1426.0	656.0	197.0
старше трудоспособного	22273.0	21475.0	785.0	149.0	531.0	81.0	24.0	13.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	282942.0	265465.0	17377.0	5861.0	10356.0	786.0	374.0	100.0
в том числе в возрасте, лет:								
15 – 19	8369.0	8166.0	198.0	23.0	150.0	19.0	6.0	5.0
20 – 29	71546.0	67827.0	3692.0	1024.0	2378.0	189.0	101.0	27.0
30 – 39	68149.0	62091.0	6034.0	2317.0	3392.0	225.0	100.0	24.0
40 – 49	85073.0	79700.0	5343.0	1887.0	3102.0	228.0	126.0	30.0
50 – 59	42650.0	40802.0	1837.0	544.0	1161.0	100.0	32.0	11.0
60 – 64	5139.0	4958.0	180.0	48.0	111.0	15.0	6.0	1.0
65 и более	2016.0	1921.0	93.0	18.0	62.0	10.0	3.0	2.0
Возраст не указан	58.0	56.0	2.0	1.0	1.0	-	-	-
Средний возраст	38.6	38.6	38.2	38.5	38.1	38.5	37.7	37.5
Из общей численности занятых - население в возрасте:								
трудоспособном	275632.0	258436.0	17099.0	5795.0	10178.0	761.0	365.0	97.0
старше трудоспособного	7155.0	6879.0	273.0	66.0	173.0	25.0	9.0	3.0
Женщины, занятые в экономике, в возрасте 15 лет и более	287211.0	274955.0	12146.0	2926.0	8193.0	721.0	306.0	110.0
в том числе в возрасте, лет:								
15 – 19	7719.0	7534.0	183.0	27.0	138.0	10.0	8.0	2.0
20 – 29	64353.0	61862.0	2471.0	537.0	1741.0	135.0	58.0	20.0
30 – 39	69761.0	66050.0	3680.0	1017.0	2406.0	179.0	78.0	31.0
40 – 49	95507.0	91422.0	4050.0	1002.0	2697.0	249.0	102.0	35.0
50 – 59	43234.0	41711.0	1504.0	310.0	1029.0	114.0	51.0	19.0
60 – 64	4515.0	4360.0	154.0	21.0	111.0	18.0	4.0	1.0
65 и более	2122.0	2016.0	104.0	12.0	71.0	16.0	5.0	2.0
Возраст не указан	56.0	55.0	1.0	1.0	-	-	-	-
Средний возраст	39.1	39.2	39.0	38.8	38.9	40.8	39.8	40.1
Из общей численности занятых - население в возрасте:								
трудоспособном	272032.0	260300.0	11632.0	2843.0	7833.0	665.0	291.0	100.0
старше трудоспособного	15118.0	14596.0	512.0	83.0	358.0	56.0	15.0	10.0
Городское население, занятое в экономике, в возрасте 15 лет и более	421452.0	396181.0	25112.0	7472.0	15724.0	1344.0	572.0	159.0
в том числе в возрасте, лет:								
15 – 19	11935.0	11592.0	340.0	47.0	258.0	22.0	13.0	3.0
20 – 29	106308.0	100888.0	5383.0	1377.0	3591.0	283.0	132.0	37.0
30 – 39	100086.0	91793.0	8250.0	2836.0	4910.0	354.0	150.0	43.0
40 – 49	127475.0	119624.0	7803.0	2407.0	4772.0	432.0	192.0	48.0
50 – 59	64018.0	61114.0	2879.0	719.0	1889.0	201.0	70.0	25.0
60 – 64	8127.0	7829.0	297.0	59.0	200.0	28.0	10.0	1.0
65 и более	3503.0	3341.0	160.0	27.0	104.0	24.0	5.0	2.0
Возраст не указан	95.0	92.0	3.0	2.0	1.0	-	-	-
Средний возраст	38.7	38.7	38.5	38.5	38.3	39.8	38.7	38.8
Из общей численности занятых - население в возрасте:								
трудоспособном	402862.0	378306.0	24407.0	7339.0	15244.0	1271.0	553.0	149.0
старше трудоспособного	18454.0	17746.0	698.0	133.0	473.0	73.0	19.0	10.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	148701.0	144239.0	4411.0	1315.0	2825.0	163.0	108.0	51.0
в том числе в возрасте, лет:								
15 – 19	4153.0	4108.0	41.0	3.0	30.0	7.0	1.0	4.0
20 – 29	29591.0	28801.0	780.0	184.0	528.0	41.0	27.0	10.0
30 – 39	37824.0	36348.0	1464.0	498.0	888.0	50.0	28.0	12.0
40 – 49	53105.0	51498.0	1590.0	482.0	1027.0	45.0	36.0	17.0
50 – 59	21866.0	21399.0	462.0	135.0	301.0	13.0	13.0	5.0
60 – 64	1527.0	1489.0	37.0	10.0	22.0	5.0	-	1.0
65 и более	635.0	596.0	37.0	3.0	29.0	2.0	3.0	2.0
Возраст не указан	19.0	19.0	-	-	-	-	-	-
Средний возраст	39.3	39.3	39.1	39.4	39.1	37.2	38.4	39.0
Из общей численности занятых - население в возрасте:								
трудоспособном	144802.0	140430.0	4324.0	1299.0	2767.0	155.0	103.0	48.0
старше трудоспособного	3819.0	3729.0	87.0	16.0	58.0	8.0	5.0	3.0
Калининградская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	427251.0	402045.0	24998.0	7510.0	14523.0	2253.0	712.0	208.0
в том числе в возрасте, лет:								
15 – 19	15881.0	15573.0	301.0	42.0	206.0	39.0	14.0	7.0
20 – 29	98674.0	94188.0	4456.0	1104.0	2766.0	440.0	146.0	30.0
30 – 39	102450.0	94641.0	7748.0	2570.0	4387.0	576.0	215.0	61.0
40 – 49	120574.0	112475.0	8038.0	2608.0	4609.0	627.0	194.0	61.0
50 – 59	68139.0	64519.0	3586.0	1032.0	2069.0	379.0	106.0	34.0
60 – 64	12611.0	12112.0	490.0	95.0	270.0	104.0	21.0	9.0
65 и более	8922.0	8537.0	379.0	59.0	216.0	88.0	16.0	6.0
Возраст не указан	49.0	48.0	-	-	-	-	-	1.0
Средний возраст	39.4	39.4	40.0	40.2	39.7	41.4	39.9	41.7
Из общей численности занятых - население в возрасте:								
трудоспособном	397374.0	373431.0	23753.0	7274.0	13809.0	2010.0	660.0	190.0
старше трудоспособного	29732.0	28475.0	1239.0	236.0	710.0	242.0	51.0	18.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	227483.0	212598.0	14783.0	4906.0	8246.0	1223.0	408.0	102.0
в том числе в возрасте, лет:								
15 – 19	11593.0	11450.0	138.0	21.0	89.0	22.0	6.0	5.0
20 – 29	57804.0	55013.0	2784.0	736.0	1702.0	249.0	97.0	7.0
30 – 39	55027.0	50018.0	4976.0	1766.0	2723.0	348.0	139.0	33.0
40 – 49	58633.0	54087.0	4518.0	1642.0	2468.0	317.0	91.0	28.0
50 – 59	33293.0	31346.0	1926.0	636.0	1039.0	194.0	57.0	21.0
60 – 64	6572.0	6315.0	252.0	68.0	129.0	44.0	11.0	5.0
65 и более	4561.0	4369.0	189.0	37.0	96.0	49.0	7.0	3.0
Возраст не указан	31.0	31.0	-	-	-	-	-	-
Средний возраст	38.4	38.3	39.4	39.9	38.9	40.6	38.7	42.6
Из общей численности занятых - население в возрасте:								
трудоспособном	216257.0	201822.0	14341.0	4801.0	8020.0	1130.0	390.0	94.0
старше трудоспособного	11133.0	10684.0	441.0	105.0	225.0	93.0	18.0	8.0
Женщины, занятые в экономике, в возрасте 15 лет и более	199768.0	189447.0	10215.0	2604.0	6277.0	1030.0	304.0	106.0
в том числе в возрасте, лет:								
15 – 19	4288.0	4123.0	163.0	21.0	117.0	17.0	8.0	2.0
20 – 29	40870.0	39175.0	1672.0	368.0	1064.0	191.0	49.0	23.0
30 – 39	47423.0	44623.0	2772.0	804.0	1664.0	228.0	76.0	28.0
40 – 49	61941.0	58388.0	3520.0	966.0	2141.0	310.0	103.0	33.0
50 – 59	34846.0	33173.0	1660.0	396.0	1030.0	185.0	49.0	13.0
60 – 64	6039.0	5797.0	238.0	27.0	141.0	60.0	10.0	4.0
65 и более	4361.0	4168.0	190.0	22.0	120.0	39.0	9.0	3.0
Возраст не указан	18.0	17.0	-	-	-	-	-	1.0
Средний возраст	40.6	40.6	40.9	40.7	40.8	42.3	41.5	40.8
Из общей численности занятых - население в возрасте:								
трудоспособном	181117.0	171609.0	9412.0	2473.0	5789.0	880.0	270.0	96.0
старше трудоспособного	18599.0	17791.0	798.0	131.0	485.0	149.0	33.0	10.0
Городское население, занятое в экономике, в возрасте 15 лет и более	349504.0	327548.0	21766.0	6710.0	12390.0	2068.0	598.0	190.0
в том числе в возрасте, лет:								
15 – 19	12453.0	12202.0	245.0	37.0	165.0	32.0	11.0	6.0
20 – 29	78494.0	74636.0	3830.0	990.0	2314.0	403.0	123.0	28.0
30 – 39	82844.0	75978.0	6811.0	2306.0	3789.0	529.0	187.0	55.0
40 – 49	97928.0	90966.0	6908.0	2325.0	3867.0	564.0	152.0	54.0
50 – 59	57819.0	54629.0	3158.0	915.0	1793.0	358.0	92.0	32.0
60 – 64	11573.0	11106.0	458.0	86.0	253.0	99.0	20.0	9.0
65 и более	8393.0	8031.0	356.0	51.0	209.0	83.0	13.0	6.0
Возраст не указан	44.0	43.0	-	-	-	-	-	1.0
Средний возраст	39.8	39.8	40.1	40.1	39.9	41.5	39.9	42.0
Из общей численности занятых - население в возрасте:								
трудоспособном	322097.0	301324.0	20601.0	6499.0	11714.0	1837.0	551.0	172.0
старше трудоспособного	27311.0	26134.0	1159.0	211.0	672.0	230.0	46.0	18.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	77747.0	74497.0	3232.0	800.0	2133.0	185.0	114.0	18.0
в том числе в возрасте, лет:								
15 – 19	3428.0	3371.0	56.0	5.0	41.0	7.0	3.0	1.0
20 – 29	20180.0	19552.0	626.0	114.0	452.0	37.0	23.0	2.0
30 – 39	19606.0	18663.0	937.0	264.0	598.0	47.0	28.0	6.0
40 – 49	22646.0	21509.0	1130.0	283.0	742.0	63.0	42.0	7.0
50 – 59	10320.0	9890.0	428.0	117.0	276.0	21.0	14.0	2.0
60 – 64	1038.0	1006.0	32.0	9.0	17.0	5.0	1.0	-
65 и более	529.0	506.0	23.0	8.0	7.0	5.0	3.0	-
Возраст не указан	5.0	5.0	-	-	-	-	-	-
Средний возраст	37.6	37.5	39.2	40.5	38.7	39.5	39.9	38.8
Из общей численности занятых - население в возрасте:								
трудоспособном	75277.0	72107.0	3152.0	775.0	2095.0	173.0	109.0	18.0
старше трудоспособного	2421.0	2341.0	80.0	25.0	38.0	12.0	5.0	-
Ленинградская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	761162.0	730526.0	29995.0	10050.0	15464.0	2670.0	1811.0	641.0
в том числе в возрасте, лет:								
15 – 19	27789.0	27238.0	526.0	104.0	286.0	94.0	42.0	25.0
20 – 29	173652.0	167751.0	5759.0	1615.0	3113.0	620.0	411.0	142.0
30 – 39	170858.0	161830.0	8882.0	3333.0	4397.0	697.0	455.0	146.0
40 – 49	231215.0	220978.0	10034.0	3595.0	5095.0	759.0	585.0	203.0
50 – 59	125525.0	121468.0	3978.0	1222.0	2127.0	381.0	248.0	79.0
60 – 64	20224.0	19697.0	503.0	122.0	272.0	72.0	37.0	24.0
65 и более	11899.0	11564.0	313.0	59.0	174.0	47.0	33.0	22.0
Возраст не указан	183.0	162.0	16.0	7.0	9.0	-	-	5.0
Средний возраст	39.5	39.5	39.5	39.7	39.5	38.9	39.4	40.1
Из общей численности занятых - население в возрасте:								
трудоспособном	713904.0	684575.0	28750.0	9749.0	14795.0	2502.0	1704.0	579.0
старше трудоспособного	47006.0	45716.0	1230.0	298.0	665.0	161.0	106.0	60.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	391776.0	373777.0	17678.0	6201.0	8868.0	1626.0	983.0	321.0
в том числе в возрасте, лет:								
15 – 19	19289.0	18983.0	294.0	60.0	154.0	64.0	16.0	12.0
20 – 29	99005.0	95375.0	3551.0	982.0	1930.0	389.0	250.0	79.0
30 – 39	86540.0	80915.0	5553.0	2186.0	2648.0	449.0	270.0	72.0
40 – 49	108107.0	102355.0	5658.0	2123.0	2800.0	447.0	288.0	94.0
50 – 59	61622.0	59386.0	2198.0	737.0	1118.0	217.0	126.0	38.0
60 – 64	10810.0	10532.0	265.0	72.0	134.0	37.0	22.0	13.0
65 и более	6403.0	6231.0	159.0	41.0	84.0	23.0	11.0	13.0
Возраст не указан	84.0	79.0	5.0	3.0	2.0	-	-	-
Средний возраст	38.7	38.6	39.0	39.6	38.8	38.3	38.6	39.5
Из общей численности занятых - население в возрасте:								
трудоспособном	374391.0	356850.0	17246.0	6087.0	8648.0	1561.0	950.0	295.0
старше трудоспособного	17213.0	16763.0	424.0	113.0	218.0	60.0	33.0	26.0
Женщины, занятые в экономике, в возрасте 15 лет и более	369386.0	356749.0	12317.0	3849.0	6596.0	1044.0	828.0	320.0
в том числе в возрасте, лет:								
15 – 19	8500.0	8255.0	232.0	44.0	132.0	30.0	26.0	13.0
20 – 29	74647.0	72376.0	2208.0	633.0	1183.0	231.0	161.0	63.0
30 – 39	84318.0	80915.0	3329.0	1147.0	1749.0	248.0	185.0	74.0
40 – 49	123108.0	118623.0	4376.0	1472.0	2295.0	312.0	297.0	109.0
50 – 59	63903.0	62082.0	1780.0	485.0	1009.0	164.0	122.0	41.0
60 – 64	9414.0	9165.0	238.0	50.0	138.0	35.0	15.0	11.0
65 и более	5496.0	5333.0	154.0	18.0	90.0	24.0	22.0	9.0
Возраст не указан	99.0	83.0	11.0	4.0	7.0	-	-	5.0
Средний возраст	40.4	40.4	40.2	40.0	40.3	40.0	40.3	40.8
Из общей численности занятых - население в возрасте:								
трудоспособном	339513.0	327725.0	11504.0	3662.0	6147.0	941.0	754.0	284.0
старше трудоспособного	29793.0	28953.0	806.0	185.0	447.0	101.0	73.0	34.0
Городское население, занятое в экономике, в возрасте 15 лет и более	521074.0	497679.0	22949.0	8013.0	11840.0	1774.0	1322.0	446.0
в том числе в возрасте, лет:								
15 – 19	18414.0	18028.0	368.0	78.0	201.0	57.0	32.0	18.0
20 – 29	116835.0	112305.0	4423.0	1311.0	2401.0	405.0	306.0	107.0
30 – 39	117387.0	110293.0	6985.0	2742.0	3457.0	461.0	325.0	109.0
40 – 49	157147.0	149410.0	7612.0	2814.0	3873.0	501.0	424.0	125.0
50 – 59	87471.0	84466.0	2955.0	929.0	1578.0	262.0	186.0	50.0
60 – 64	14931.0	14520.0	393.0	97.0	211.0	59.0	26.0	18.0
65 и более	8889.0	8657.0	213.0	42.0	119.0	29.0	23.0	19.0
Возраст не указан	108.0	93.0	10.0	5.0	5.0	-	-	5.0
Средний возраст	39.7	39.7	39.4	39.5	39.3	39.3	39.3	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	486313.0	463907.0	22010.0	7787.0	11333.0	1644.0	1246.0	396.0
старше трудоспособного	34600.0	33623.0	929.0	224.0	505.0	125.0	75.0	48.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	240088.0	232847.0	7046.0	2037.0	3624.0	896.0	489.0	195.0
в том числе в возрасте, лет:								
15 – 19	9375.0	9210.0	158.0	26.0	85.0	37.0	10.0	7.0
20 – 29	56817.0	55446.0	1336.0	304.0	712.0	215.0	105.0	35.0
30 – 39	53471.0	51537.0	1897.0	591.0	940.0	236.0	130.0	37.0
40 – 49	74068.0	71568.0	2422.0	781.0	1222.0	258.0	161.0	78.0
50 – 59	38054.0	37002.0	1023.0	293.0	549.0	119.0	62.0	29.0
60 – 64	5293.0	5177.0	110.0	25.0	61.0	13.0	11.0	6.0
65 и более	3010.0	2907.0	100.0	17.0	55.0	18.0	10.0	3.0
Возраст не указан	75.0	69.0	6.0	2.0	4.0	-	-	-
Средний возраст	39.0	39.0	39.8	40.5	39.9	38.2	39.5	40.8
Из общей численности занятых - население в возрасте:								
трудоспособном	227591.0	220668.0	6740.0	1962.0	3462.0	858.0	458.0	183.0
старше трудоспособного	12406.0	12093.0	301.0	74.0	160.0	36.0	31.0	12.0
Мурманская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	458173.0	440775.0	17215.0	5444.0	10290.0	1070.0	411.0	183.0
в том числе в возрасте, лет:								
15 – 19	20923.0	20738.0	183.0	36.0	125.0	14.0	8.0	2.0
20 – 29	113410.0	110015.0	3354.0	866.0	2169.0	239.0	80.0	41.0
30 – 39	110530.0	104943.0	5533.0	1917.0	3217.0	277.0	122.0	54.0
40 – 49	133470.0	127565.0	5849.0	1996.0	3369.0	351.0	133.0	56.0
50 – 59	63520.0	61566.0	1934.0	562.0	1163.0	152.0	57.0	20.0
60 – 64	11033.0	10783.0	243.0	52.0	167.0	19.0	5.0	7.0
65 и более	5287.0	5165.0	119.0	15.0	80.0	18.0	6.0	3.0
Возраст не указан	238.0	217.0	15.0	7.0	8.0	-	-	6.0
Средний возраст	38.3	38.3	39.1	39.4	38.9	39.6	39.3	40.9
Из общей численности занятых - население в возрасте:								
трудоспособном	433052.0	416281.0	16601.0	5325.0	9868.0	1016.0	392.0	170.0
старше трудоспособного	25060.0	24434.0	613.0	119.0	421.0	54.0	19.0	13.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	244312.0	234854.0	9360.0	3336.0	5204.0	624.0	196.0	98.0
в том числе в возрасте, лет:								
15 – 19	17328.0	17239.0	87.0	19.0	54.0	7.0	7.0	2.0
20 – 29	68234.0	66300.0	1914.0	519.0	1205.0	151.0	39.0	20.0
30 – 39	58768.0	55509.0	3230.0	1213.0	1776.0	175.0	66.0	29.0
40 – 49	63137.0	60040.0	3067.0	1231.0	1583.0	201.0	52.0	30.0
50 – 59	29747.0	28817.0	919.0	318.0	503.0	69.0	29.0	11.0
60 – 64	4867.0	4772.0	91.0	28.0	50.0	11.0	2.0	4.0
65 и более	2231.0	2177.0	52.0	8.0	33.0	10.0	1.0	2.0
Возраст не указан	162.0	150.0	7.0	4.0	3.0	-	-	5.0
Средний возраст	36.7	36.6	38.5	39.2	37.9	38.9	38.1	41.9
Из общей численности занятых - население в возрасте:								
трудоспособном	237181.0	227872.0	9217.0	3300.0	5121.0	603.0	193.0	92.0
старше трудоспособного	7098.0	6949.0	143.0	36.0	83.0	21.0	3.0	6.0
Женщины, занятые в экономике, в возрасте 15 лет и более	213861.0	205921.0	7855.0	2108.0	5086.0	446.0	215.0	85.0
в том числе в возрасте, лет:								
15 – 19	3595.0	3499.0	96.0	17.0	71.0	7.0	1.0	-
20 – 29	45176.0	43715.0	1440.0	347.0	964.0	88.0	41.0	21.0
30 – 39	51762.0	49434.0	2303.0	704.0	1441.0	102.0	56.0	25.0
40 – 49	70333.0	67525.0	2782.0	765.0	1786.0	150.0	81.0	26.0
50 – 59	33773.0	32749.0	1015.0	244.0	660.0	83.0	28.0	9.0
60 – 64	6166.0	6011.0	152.0	24.0	117.0	8.0	3.0	3.0
65 и более	3056.0	2988.0	67.0	7.0	47.0	8.0	5.0	1.0
Возраст не указан	76.0	67.0	8.0	3.0	5.0	-	-	1.0
Средний возраст	40.2	40.2	39.8	39.6	39.9	40.6	40.3	39.7
Из общей численности занятых - население в возрасте:								
трудоспособном	195871.0	188409.0	7384.0	2025.0	4747.0	413.0	199.0	78.0
старше трудоспособного	17962.0	17485.0	470.0	83.0	338.0	33.0	16.0	7.0
Городское население, занятое в экономике, в возрасте 15 лет и более	417312.0	400749.0	16389.0	5306.0	10082.0	609.0	392.0	174.0
в том числе в возрасте, лет:								
15 – 19	15245.0	15073.0	170.0	35.0	123.0	5.0	7.0	2.0
20 – 29	100465.0	97234.0	3191.0	851.0	2127.0	136.0	77.0	40.0
30 – 39	101842.0	96498.0	5292.0	1870.0	3153.0	155.0	114.0	52.0
40 – 49	124325.0	118699.0	5571.0	1945.0	3302.0	196.0	128.0	55.0
50 – 59	59936.0	58096.0	1822.0	540.0	1137.0	90.0	55.0	18.0
60 – 64	10490.0	10254.0	231.0	50.0	162.0	14.0	5.0	5.0
65 и более	5009.0	4895.0	112.0	15.0	78.0	13.0	6.0	2.0
Возраст не указан	211.0	190.0	15.0	7.0	8.0	-	-	6.0
Средний возраст	38.8	38.8	39.1	39.3	38.9	39.9	39.4	40.4
Из общей численности занятых - население в возрасте:								
трудоспособном	393444.0	377478.0	15802.0	5189.0	9670.0	570.0	373.0	164.0
старше трудоспособного	23816.0	23220.0	586.0	117.0	411.0	39.0	19.0	10.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	40861.0	40026.0	826.0	138.0	208.0	461.0	19.0	9.0
в том числе в возрасте, лет:								
15 – 19	5678.0	5665.0	13.0	1.0	2.0	9.0	1.0	-
20 – 29	12945.0	12781.0	163.0	15.0	42.0	103.0	3.0	1.0
30 – 39	8688.0	8445.0	241.0	47.0	64.0	122.0	8.0	2.0
40 – 49	9145.0	8866.0	278.0	51.0	67.0	155.0	5.0	1.0
50 – 59	3584.0	3470.0	112.0	22.0	26.0	62.0	2.0	2.0
60 – 64	543.0	529.0	12.0	2.0	5.0	5.0	-	2.0
65 и более	278.0	270.0	7.0	-	2.0	5.0	-	1.0
Возраст не указан	27.0	27.0	-	-	-	-	-	-
Средний возраст	33.7	33.6	39.5	40.7	39.7	39.2	36.1	50.8
Из общей численности занятых - население в возрасте:								
трудоспособном	39608.0	38803.0	799.0	136.0	198.0	446.0	19.0	6.0
старше трудоспособного	1244.0	1214.0	27.0	2.0	10.0	15.0	-	3.0
Новгородская область								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	289819.0	274351.0	15290.0	4134.0	9199.0	1245.0	712.0	178.0
в том числе в возрасте, лет:								
15 – 19	6996.0	6788.0	206.0	23.0	139.0	34.0	10.0	2.0
20 – 29	66252.0	63292.0	2909.0	690.0	1841.0	230.0	148.0	51.0
30 – 39	69565.0	64791.0	4730.0	1434.0	2768.0	322.0	206.0	44.0
40 – 49	91654.0	86487.0	5121.0	1441.0	3028.0	412.0	240.0	46.0
50 – 59	46888.0	44881.0	1979.0	472.0	1219.0	200.0	88.0	28.0
60 – 64	5773.0	5533.0	238.0	57.0	136.0	31.0	14.0	2.0
65 и более	2691.0	2579.0	107.0	17.0	68.0	16.0	6.0	5.0
Возраст не указан	72.0	67.0	5.0	4.0	-	1.0	-	-
Средний возраст	39.4	39.4	39.4	39.5	39.2	40.3	39.3	38.8
Из общей численности занятых - население в возрасте:								
трудоспособном	276133.0	261211.0	14756.0	4024.0	8870.0	1184.0	678.0	166.0
старше трудоспособного	13598.0	13057.0	529.0	109.0	326.0	60.0	34.0	12.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	141980.0	133291.0	8606.0	2631.0	4882.0	715.0	378.0	83.0
в том числе в возрасте, лет:								
15 – 19	3576.0	3466.0	110.0	10.0	73.0	23.0	4.0	-
20 – 29	35059.0	33328.0	1703.0	441.0	1025.0	149.0	88.0	28.0
30 – 39	33598.0	30776.0	2798.0	950.0	1546.0	190.0	112.0	24.0
40 – 49	42186.0	39383.0	2788.0	893.0	1548.0	225.0	122.0	15.0
50 – 59	22809.0	21765.0	1031.0	286.0	593.0	110.0	42.0	13.0
60 – 64	3239.0	3111.0	126.0	40.0	66.0	12.0	8.0	2.0
65 и более	1513.0	1462.0	50.0	11.0	31.0	6.0	2.0	1.0
Возраст не указан	32.0	28.0	4.0	3.0	-	1.0	-	-
Средний возраст	39.1	39.1	38.9	39.3	38.7	39.4	38.6	37.8
Из общей численности занятых - население в возрасте:								
трудоспособном	137166.0	128658.0	8428.0	2580.0	4783.0	697.0	368.0	80.0
старше трудоспособного	4752.0	4573.0	176.0	51.0	97.0	18.0	10.0	3.0
Женщины, занятые в экономике, в возрасте 15 лет и более	147839.0	141060.0	6684.0	1503.0	4317.0	530.0	334.0	95.0
в том числе в возрасте, лет:								
15 – 19	3420.0	3322.0	96.0	13.0	66.0	11.0	6.0	2.0
20 – 29	31193.0	29964.0	1206.0	249.0	816.0	81.0	60.0	23.0
30 – 39	35967.0	34015.0	1932.0	484.0	1222.0	132.0	94.0	20.0
40 – 49	49468.0	47104.0	2333.0	548.0	1480.0	187.0	118.0	31.0
50 – 59	24079.0	23116.0	948.0	186.0	626.0	90.0	46.0	15.0
60 – 64	2534.0	2422.0	112.0	17.0	70.0	19.0	6.0	-
65 и более	1178.0	1117.0	57.0	6.0	37.0	10.0	4.0	4.0
Возраст не указан	40.0	39.0	1.0	1.0	-	-	-	-
Средний возраст	39.7	39.7	39.9	39.7	39.7	41.5	40.1	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	138967.0	132553.0	6328.0	1444.0	4087.0	487.0	310.0	86.0
старше трудоспособного	8846.0	8484.0	353.0	58.0	229.0	42.0	24.0	9.0
Городское население, занятое в экономике, в возрасте 15 лет и более	222052.0	208876.0	13018.0	3626.0	7901.0	878.0	613.0	158.0
в том числе в возрасте, лет:								
15 – 19	5118.0	4947.0	170.0	21.0	118.0	24.0	7.0	1.0
20 – 29	52047.0	49422.0	2578.0	633.0	1633.0	178.0	134.0	47.0
30 – 39	52866.0	48751.0	4074.0	1264.0	2388.0	238.0	184.0	41.0
40 – 49	68307.0	64044.0	4225.0	1230.0	2544.0	252.0	199.0	38.0
50 – 59	36564.0	34878.0	1661.0	412.0	1033.0	144.0	72.0	25.0
60 – 64	4884.0	4669.0	214.0	51.0	124.0	26.0	13.0	1.0
65 и более	2266.0	2165.0	96.0	15.0	61.0	16.0	4.0	5.0
Возраст не указан	58.0	53.0	5.0	4.0	-	1.0	-	-
Средний возраст	39.4	39.4	39.2	39.3	39.0	40.2	39.0	38.7
Из общей численности занятых - население в возрасте:								
трудоспособном	210576.0	197895.0	12534.0	3525.0	7601.0	823.0	585.0	147.0
старше трудоспособного	11420.0	10929.0	480.0	100.0	298.0	54.0	28.0	11.0
Сельское население, занятое в экономике, в возрасте 15 лет и более	67767.0	65475.0	2272.0	508.0	1298.0	367.0	99.0	20.0
в том числе в возрасте, лет:								
15 – 19	1878.0	1841.0	36.0	2.0	21.0	10.0	3.0	1.0
20 – 29	14205.0	13870.0	331.0	57.0	208.0	52.0	14.0	4.0
30 – 39	16699.0	16040.0	656.0	170.0	380.0	84.0	22.0	3.0
