3. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
в том числе домохозяйства:								
с 1 ребенком	494874.0	1826033.0		234043.0	196581.0	52168.0	12082.0	3.68989480151
с 2 детьми	202776.0	901800.0			136326.0	48220.0	18230.0	4.44727186649
с 3 и более детьми	24475.0	145610.0				11769.0	12706.0	5.9493360572
в них детей		79360.0				35307.0	44053.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	89464.0	496103.0			13361.0	34819.0	41284.0	5.54528078333
из них домохозяйства, имеющие детей моложе 18 лет	64515.0	379080.0				27052.0	37463.0	5.87584282725
в том числе домохозяйства:								
с 1 ребенком	43287.0	236273.0				27052.0	16235.0	5.45829001779
с 2 детьми	17782.0	114566.0					17782.0	6.44280733326
с 3 и более детьми	3446.0	28241.0					3446.0	8.19529889727
в них детей		11473.0					11473.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	3284.0	27385.0					3284.0	8.33891595615
из них домохозяйства, имеющие детей моложе 18 лет	2491.0	21200.0					2491.0	8.51063829787
в том числе домохозяйства:								
с 1 ребенком	883.0	6813.0					883.0	7.71574178935
с 2 детьми	1022.0	8564.0					1022.0	8.37964774951
с 3 и более детьми	586.0	5823.0					586.0	9.93686006826
в них детей		2037.0					2037.0	
Домохозяйства, состоящие из матери с детьми	411427.0	912749.0	332605.0	69766.0	7620.0	1055.0	381.0	2.2184956262
из них домохозяйства, имеющие детей моложе 18 лет	161998.0	386572.0	109165.0	45002.0	6484.0	981.0	366.0	2.38627637378
в том числе домохозяйства:								
с 1 ребенком	132718.0	291178.0	109165.0	21548.0	1851.0	130.0	24.0	2.19396012598
с 2 детьми	25828.0	80198.0		23454.0	2095.0	235.0	44.0	3.1050797584
с 3 и более детьми	3452.0	15196.0			2538.0	616.0	298.0	4.40208574739
в них детей		11139.0			7614.0	2199.0	1326.0	
Домохозяйства, состоящие из отца с детьми	83647.0	183026.0	69928.0	12058.0	1415.0	180.0	66.0	2.18807608163
из них домохозяйства, имеющие детей моложе 18 лет	38394.0	87675.0	29227.0	7768.0	1175.0	162.0	62.0	2.28355993124
в том числе домохозяйства:								
с 1 ребенком	32763.0	69404.0	29227.0	3223.0	289.0	21.0	3.0	2.11836522907
с 2 детьми	4957.0	15360.0		4545.0	357.0	44.0	11.0	3.09864837603
с 3 и более детьми	674.0	2911.0			529.0	97.0	48.0	4.31899109792
в них детей		2163.0			1587.0	351.0	225.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	108306.0	346238.0		88867.0	17846.0	1369.0	224.0	3.19684966669
из них домохозяйства, имеющие детей моложе 18 лет	79590.0	257129.0		63027.0	15050.0	1293.0	220.0	3.23066968212
в том числе домохозяйства:								
с 1 ребенком	67979.0	209126.0		63027.0	4729.0	210.0	13.0	3.07633239677
с 2 детьми	10693.0	43179.0			10321.0	339.0	33.0	4.03806228374
с 3 и более детьми	918.0	4824.0				744.0	174.0	5.25490196078
в них детей		2920.0				2232.0	688.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	155089.0	610764.0		62740.0	61275.0	19550.0	11524.0	3.93815164196
из них домохозяйства, имеющие детей моложе 18 лет	100289.0	415113.0		29031.0	45099.0	16635.0	9524.0	4.13916780504
в том числе домохозяйства:								
с 1 ребенком	73547.0	282120.0		28504.0	34236.0	7768.0	3039.0	3.83591444926
с 2 детьми	22075.0	103585.0		527.0	10690.0	7524.0	3334.0	4.69241223103
с 3 и более детьми	4667.0	29408.0			173.0	1343.0	3151.0	6.30126419541
в них детей		15419.0			519.0	4055.0	10845.0	
Прочие домохозяйства	377574.0	1516494.0	225618.0	53415.0	28819.0	10541.0	59181.0	4.01641532521
из них домохозяйства, имеющие детей моложе 18 лет	44093.0	183237.0	15693.0	12887.0	6927.0	2852.0	5734.0	4.15569364752
в том числе домохозяйства:								
с 1 ребенком	34322.0	127554.0	14452.0	10533.0	4484.0	1543.0	3310.0	3.71639181866
с 2 детьми	7039.0	33623.0	1241.0	1826.0	1895.0	875.0	1202.0	4.77667282284
с 3 и более детьми	2732.0	22060.0		528.0	548.0	434.0	1222.0	8.07467057101
в них детей		11368.0		1584.0	1864.0	1489.0	6431.0	
Северо-Западный федеральный округ								
Все домохозяйства	4032904.0	12346887.0	1527867.0	1301967.0	831380.0	252348.0	119342.0	3.06153754218
из них домохозяйства, имеющие детей моложе 18 лет	1977407.0	7184969.0	233865.0	763960.0	648331.0	221679.0	109572.0	3.63353067932
в том числе домохозяйства:								
с 1 ребенком	1402334.0	4621641.0	230923.0	707132.0	324502.0	108563.0	31214.0	3.29567777719
с 2 детьми	496353.0	2107144.0	2942.0	55523.0	316765.0	76919.0	44204.0	4.24525287447
с 3 и более детьми	78720.0	456184.0		1305.0	7064.0	36197.0	34154.0	5.7950203252
в них детей		261325.0		3915.0	21788.0	109929.0	125693.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	2638997.0	8422494.0	756073.0	946329.0	698506.0	179578.0	58511.0	3.19155118403
из них домохозяйства, имеющие детей моложе 18 лет	1315776.0	5018620.0		542169.0	557402.0	161171.0	55034.0	3.81419025731
в том числе домохозяйства:								
с 1 ребенком	892310.0	3117059.0		542169.0	274535.0	64271.0	11335.0	3.4932467416
с 2 детьми	369069.0	1588072.0			282867.0	66138.0	20064.0	4.30291354733
с 3 и более детьми	54397.0	313489.0				30762.0	23635.0	5.76298325275
в них детей		178161.0				92286.0	85875.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	100100.0	547285.0			15282.0	42670.0	42148.0	5.46738261738
из них домохозяйства, имеющие детей моложе 18 лет	74834.0	433300.0				35031.0	39803.0	5.79014886282
в том числе домохозяйства:								
с 1 ребенком	51301.0	275676.0				35031.0	16270.0	5.37369641917
с 2 детьми	19522.0	124946.0					19522.0	6.40026636615
с 3 и более детьми	4011.0	32678.0					4011.0	8.14709548741
в них детей		13388.0					13388.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	2239.0	18409.0					2239.0	8.22197409558
из них домохозяйства, имеющие детей моложе 18 лет	1888.0	16069.0					1888.0	8.51112288136
в том числе домохозяйства:								
с 1 ребенком	676.0	5026.0					676.0	7.4349112426
с 2 детьми	719.0	6044.0					719.0	8.40611961057
с 3 и более детьми	493.0	4999.0					493.0	10.139959432
в них детей		1749.0					1749.0	
Домохозяйства, состоящие из матери с детьми	626893.0	1418131.0	485925.0	122760.0	14642.0	2512.0	1054.0	2.26215797592
из них домохозяйства, имеющие детей моложе 18 лет	289048.0	700132.0	187790.0	85376.0	12545.0	2319.0	1018.0	2.42219977305
в том числе домохозяйства:								
с 1 ребенком	229310.0	504471.0	187790.0	37621.0	3529.0	316.0	54.0	2.19995203
с 2 детьми	52402.0	162729.0		47755.0	3935.0	582.0	130.0	3.10539674058
с 3 и более детьми	7336.0	32932.0			5081.0	1421.0	834.0	4.48909487459
в них детей		24014.0			15243.0	5068.0	3703.0	
Домохозяйства, состоящие из отца с детьми	74298.0	164152.0	60966.0	11588.0	1420.0	226.0	98.0	2.20937306522
из них домохозяйства, имеющие детей моложе 18 лет	30095.0	70325.0	21771.0	6944.0	1096.0	194.0	90.0	2.3367669048
в том числе домохозяйства:								
с 1 ребенком	25359.0	54803.0	21771.0	3156.0	380.0	42.0	10.0	2.16108679364
с 2 детьми	4206.0	13127.0		3788.0	345.0	59.0	14.0	3.12101759391
с 3 и более детьми	530.0	2395.0			371.0	93.0	66.0	4.51886792453
в них детей		1742.0			1113.0	329.0	300.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	129396.0	416227.0		104403.0	22488.0	2083.0	422.0	3.21669139695
из них домохозяйства, имеющие детей моложе 18 лет	98367.0	319475.0		76920.0	19054.0	1978.0	415.0	3.24778635111
в том числе домохозяйства:								
с 1 ребенком	83471.0	257358.0		76920.0	6183.0	345.0	23.0	3.08320254939
с 2 детьми	13508.0	54746.0			12871.0	564.0	73.0	4.05285756589
с 3 и более детьми	1388.0	7371.0				1069.0	319.0	5.31051873199
в них детей		4428.0				3207.0	1221.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	169574.0	654261.0		72874.0	65094.0	21424.0	10182.0	3.85826246948
из них домохозяйства, имеющие детей моложе 18 лет	120558.0	487018.0		39553.0	52437.0	19157.0	9411.0	4.03969873422
в том числе домохозяйства:								
с 1 ребенком	85336.0	316017.0		38521.0	36917.0	7786.0	2112.0	3.70320849348
с 2 детьми	28585.0	130232.0		1032.0	15236.0	9060.0	3257.0	4.55595592094
с 3 и более детьми	6637.0	40769.0			284.0	2311.0	4042.0	6.14268494802
в них детей		22155.0			852.0	6976.0	14327.0	
Прочие домохозяйства	291407.0	705928.0	224903.0	44013.0	13948.0	3855.0	4688.0	2.4224812719
из них домохозяйства, имеющие детей моложе 18 лет	46841.0	140030.0	24304.0	12998.0	5797.0	1829.0	1913.0	2.98947503256
в том числе домохозяйства:								
с 1 ребенком	34571.0	91231.0	21362.0	8745.0	2958.0	772.0	734.0	2.63894593735
с 2 детьми	8342.0	27248.0	2942.0	2948.0	1511.0	516.0	425.0	3.2663629825
с 3 и более детьми	3928.0	21551.0		1305.0	1328.0	541.0	754.0	5.48650712831
в них детей		15688.0		3915.0	4580.0	2063.0	5130.0	
Республика Карелия								
Все домохозяйства	211748.0	633147.0	83014.0	70638.0	41999.0	11600.0	4497.0	2.99009671874
из них домохозяйства, имеющие детей моложе 18 лет	109477.0	387285.0	12949.0	46209.0	35326.0	10640.0	4353.0	3.537592371
в том числе домохозяйства:								
с 1 ребенком	75425.0	239879.0	12800.0	42663.0	14682.0	4312.0	968.0	3.1803646006
с 2 детьми	29470.0	121994.0	149.0	3475.0	20206.0	3931.0	1709.0	4.13959959281
с 3 и более детьми	4582.0	25412.0		71.0	438.0	2397.0	1676.0	5.54604975993
в них детей		15039.0		213.0	1345.0	7273.0	6208.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	147240.0	457487.0	46031.0	53929.0	36203.0	8624.0	2453.0	3.10708367291
из них домохозяйства, имеющие детей моложе 18 лет	76233.0	283970.0		34779.0	31014.0	8043.0	2397.0	3.72502721918
в том числе домохозяйства:								
с 1 ребенком	50365.0	169984.0		34779.0	12687.0	2553.0	346.0	3.375042192
с 2 детьми	22578.0	95570.0			18327.0	3427.0	824.0	4.23288156613
с 3 и более детьми	3290.0	18416.0				2063.0	1227.0	5.59756838906
в них детей		10669.0				6189.0	4480.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	3813.0	20582.0			617.0	1714.0	1482.0	5.39784946237
из них домохозяйства, имеющие детей моложе 18 лет	2895.0	16564.0				1455.0	1440.0	5.72158894646
в том числе домохозяйства:								
с 1 ребенком	1997.0	10601.0				1455.0	542.0	5.30846269404
с 2 детьми	741.0	4697.0					741.0	6.33873144399
с 3 и более детьми	157.0	1266.0					157.0	8.06369426752
в них детей		535.0					535.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	60.0	486.0					60.0	8.1
из них домохозяйства, имеющие детей моложе 18 лет	54.0	450.0					54.0	8.33333333333
в том числе домохозяйства:								
с 1 ребенком	23.0	166.0					23.0	7.21739130435
с 2 детьми	17.0	140.0					17.0	8.23529411765
с 3 и более детьми	14.0	144.0					14.0	10.2857142857
в них детей		54.0					54.0	
Домохозяйства, состоящие из матери с детьми	32981.0	75452.0	24910.0	6984.0	861.0	152.0	74.0	2.28774142688
из них домохозяйства, имеющие детей моложе 18 лет	16885.0	41116.0	10805.0	5127.0	741.0	141.0	71.0	2.43506070477
в том числе домохозяйства:								
с 1 ребенком	13044.0	28583.0	10805.0	2015.0	199.0	19.0	6.0	2.19127568231
с 2 детьми	3381.0	10464.0		3112.0	229.0	30.0	10.0	3.09494232476
с 3 и более детьми	460.0	2069.0			313.0	92.0	55.0	4.49782608696
в них детей		1514.0			939.0	330.0	245.0	
Домохозяйства, состоящие из отца с детьми	2925.0	6517.0	2366.0	477.0	68.0	9.0	5.0	2.22803418803
из них домохозяйства, имеющие детей моложе 18 лет	1174.0	2803.0	814.0	290.0	57.0	8.0	5.0	2.38756388416
в том числе домохозяйства:								
с 1 ребенком	974.0	2126.0	814.0	143.0	16.0	1.0	-	2.18275154004
с 2 детьми	172.0	543.0		147.0	23.0	2.0	-	3.15697674419
с 3 и более детьми	28.0	134.0			18.0	5.0	5.0	4.78571428571
в них детей		96.0			54.0	17.0	25.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	5165.0	16732.0		4085.0	951.0	110.0	19.0	3.23949661181
из них домохозяйства, имеющие детей моложе 18 лет	4192.0	13711.0		3211.0	854.0	109.0	18.0	3.27075381679
в том числе домохозяйства:								
с 1 ребенком	3448.0	10601.0		3211.0	218.0	18.0	1.0	3.07453596288
с 2 детьми	674.0	2735.0			636.0	37.0	1.0	4.05786350148
с 3 и более детьми	70.0	375.0				54.0	16.0	5.35714285714
в них детей		225.0				162.0	63.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	7268.0	27464.0		3340.0	2720.0	875.0	333.0	3.77875619152
из них домохозяйства, имеющие детей моложе 18 лет	5680.0	22200.0		2178.0	2358.0	819.0	325.0	3.90845070423
в том числе домохозяйства:								
с 1 ребенком	3844.0	13611.0		2117.0	1431.0	251.0	45.0	3.54084287201
с 2 детьми	1492.0	6574.0		61.0	911.0	413.0	107.0	4.40616621984
с 3 и более детьми	344.0	2015.0			16.0	155.0	173.0	5.85755813953
в них детей		1140.0			48.0	470.0	622.0	
Прочие домохозяйства	12296.0	28427.0	9707.0	1823.0	579.0	116.0	71.0	2.31189004554
из них домохозяйства, имеющие детей моложе 18 лет	2364.0	6471.0	1330.0	624.0	302.0	65.0	43.0	2.73730964467
в том числе домохозяйства:								
с 1 ребенком	1730.0	4207.0	1181.0	398.0	131.0	15.0	5.0	2.43179190751
с 2 детьми	415.0	1271.0	149.0	155.0	80.0	22.0	9.0	3.06265060241
с 3 и более детьми	219.0	993.0		71.0	91.0	28.0	29.0	4.53424657534
в них детей		806.0		213.0	304.0	105.0	184.0	
Республика Коми								
Все домохозяйства	294679.0	905665.0	104533.0	100406.0	64357.0	18008.0	7375.0	3.07339511808
из них домохозяйства, имеющие детей моложе 18 лет	168498.0	599107.0	19953.0	69254.0	55383.0	16787.0	7121.0	3.55557335992
в том числе домохозяйства:								
с 1 ребенком	113197.0	358965.0	19788.0	63737.0	21947.0	6235.0	1490.0	3.17115294575
с 2 детьми	47231.0	195736.0	165.0	5404.0	32712.0	6216.0	2734.0	4.14422730834
с 3 и более детьми	8070.0	44406.0		113.0	724.0	4336.0	2897.0	5.50260223048
в них детей		26187.0		339.0	2224.0	13146.0	10478.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	205225.0	660659.0	54104.0	76622.0	56037.0	14120.0	4342.0	3.21919356804
из них домохозяйства, имеющие детей моложе 18 лет	119232.0	447969.0		52511.0	49145.0	13341.0	4235.0	3.75712057166
в том числе домохозяйства:								
с 1 ребенком	76148.0	257345.0		52511.0	19094.0	3927.0	616.0	3.379537217
с 2 детьми	36944.0	156336.0			30051.0	5550.0	1343.0	4.23170203551
с 3 и более детьми	6140.0	34288.0				3864.0	2276.0	5.58436482085
в них детей		19874.0				11592.0	8282.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	5255.0	28702.0			863.0	2142.0	2250.0	5.46184586108
из них домохозяйства, имеющие детей моложе 18 лет	4052.0	23477.0				1864.0	2188.0	5.79392892399
в том числе домохозяйства:								
с 1 ребенком	2624.0	13987.0				1864.0	760.0	5.33041158537
с 2 детьми	1164.0	7410.0					1164.0	6.36597938144
с 3 и более детьми	264.0	2080.0					264.0	7.87878787879
в них детей		865.0					865.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	81.0	668.0					81.0	8.24691358025
из них домохозяйства, имеющие детей моложе 18 лет	73.0	614.0					73.0	8.41095890411
в том числе домохозяйства:								
с 1 ребенком	28.0	209.0					28.0	7.46428571429
с 2 детьми	26.0	222.0					26.0	8.53846153846
с 3 и более детьми	19.0	183.0					19.0	9.63157894737
в них детей		59.0					59.0	
Домохозяйства, состоящие из матери с детьми	46699.0	107721.0	34524.0	10429.0	1438.0	237.0	71.0	2.3067089231
из них домохозяйства, имеющие детей моложе 18 лет	26388.0	64058.0	17006.0	7856.0	1239.0	223.0	64.0	2.4275428225
в том числе домохозяйства:								
с 1 ребенком	20492.0	44841.0	17006.0	3147.0	311.0	24.0	4.0	2.18821979309
с 2 детьми	5170.0	16053.0		4709.0	395.0	53.0	13.0	3.10502901354
с 3 и более детьми	726.0	3164.0			533.0	146.0	47.0	4.35812672176
в них детей		2335.0			1599.0	523.0	213.0	
Домохозяйства, состоящие из отца с детьми	4535.0	10235.0	3543.0	848.0	121.0	18.0	5.0	2.25689084895
из них домохозяйства, имеющие детей моложе 18 лет	1931.0	4649.0	1282.0	537.0	92.0	15.0	5.0	2.4075608493
в том числе домохозяйства:								
с 1 ребенком	1547.0	3388.0	1282.0	239.0	24.0	1.0	1.0	2.19004524887
с 2 детьми	339.0	1064.0		298.0	36.0	4.0	1.0	3.13864306785
с 3 и более детьми	45.0	197.0			32.0	10.0	3.0	4.37777777778
в них детей		147.0			96.0	39.0	12.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	6851.0	22168.0		5425.0	1263.0	140.0	23.0	3.23573200993
из них домохозяйства, имеющие детей моложе 18 лет	5800.0	18875.0		4509.0	1132.0	137.0	22.0	3.25431034483
в том числе домохозяйства:								
с 1 ребенком	4827.0	14824.0		4509.0	297.0	18.0	3.0	3.07105862855
с 2 детьми	874.0	3542.0			835.0	32.0	7.0	4.05263157895
с 3 и более детьми	99.0	509.0				87.0	12.0	5.14141414141
в них детей		304.0				261.0	43.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	10034.0	38119.0		4469.0	3862.0	1186.0	517.0	3.79898345625
из них домохозяйства, имеющие детей моложе 18 лет	7967.0	31298.0		2940.0	3399.0	1116.0	512.0	3.92845487637
в том числе домохозяйства:								
с 1 ребенком	5334.0	19049.0		2819.0	2070.0	374.0	71.0	3.57124109486
с 2 детьми	2149.0	9419.0		121.0	1296.0	556.0	176.0	4.38296882271
с 3 и более детьми	484.0	2830.0			33.0	186.0	265.0	5.84710743802
в них детей		1592.0			99.0	563.0	930.0	
Прочие домохозяйства	15999.0	37393.0	12362.0	2613.0	773.0	165.0	86.0	2.33720857554
из них домохозяйства, имеющие детей моложе 18 лет	3055.0	8167.0	1665.0	901.0	376.0	91.0	22.0	2.67332242226
в том числе домохозяйства:								
с 1 ребенком	2197.0	5322.0	1500.0	512.0	151.0	27.0	7.0	2.42239417387
с 2 детьми	565.0	1690.0	165.0	276.0	99.0	21.0	4.0	2.99115044248
с 3 и более детьми	293.0	1155.0		113.0	126.0	43.0	11.0	3.94197952218
в них детей		1011.0		339.0	430.0	168.0	74.0	
Архангельская область								
Все домохозяйства	388882.0	1182581.0	146712.0	127494.0	81660.0	23369.0	9647.0	3.04097644015
из них домохозяйства, имеющие детей моложе 18 лет	205517.0	738354.0	22953.0	83003.0	68657.0	21579.0	9325.0	3.59266630011
в том числе домохозяйства:								
с 1 ребенком	136656.0	437850.0	22599.0	76019.0	27814.0	8352.0	1872.0	3.20403055848
с 2 детьми	58159.0	240917.0	354.0	6787.0	39857.0	7703.0	3458.0	4.14238552932
с 3 и более детьми	10702.0	59587.0		197.0	986.0	5524.0	3995.0	5.56783778733
в них детей		35592.0		591.0	3042.0	16752.0	15207.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	273643.0	866157.0	81365.0	97488.0	71163.0	17944.0	5683.0	3.16528104136
из них домохозяйства, имеющие детей моложе 18 лет	145397.0	549596.0		62311.0	60769.0	16771.0	5546.0	3.77996794982
в том числе домохозяйства:								
с 1 ребенком	92393.0	314016.0		62311.0	24200.0	5140.0	742.0	3.39869903564
с 2 детьми	45086.0	191002.0			36569.0	6781.0	1736.0	4.23639267178
с 3 и более детьми	7918.0	44578.0				4850.0	3068.0	5.62995705986
в них детей		25969.0				14550.0	11419.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	6891.0	37326.0			1129.0	2983.0	2779.0	5.41663038746
из них домохозяйства, имеющие детей моложе 18 лет	5338.0	30618.0				2623.0	2715.0	5.73585612589
в том числе домохозяйства:								
с 1 ребенком	3630.0	19288.0				2623.0	1007.0	5.31349862259
с 2 детьми	1409.0	8945.0					1409.0	6.3484740951
с 3 и более детьми	299.0	2385.0					299.0	7.97658862876
в них детей		994.0					994.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	95.0	785.0					95.0	8.26315789474
из них домохозяйства, имеющие детей моложе 18 лет	84.0	716.0					84.0	8.52380952381
в том числе домохозяйства:								
с 1 ребенком	28.0	203.0					28.0	7.25
с 2 детьми	38.0	322.0					38.0	8.47368421053
с 3 и более детьми	18.0	191.0					18.0	10.6111111111
в них детей		65.0					65.0	
Домохозяйства, состоящие из матери с детьми	60260.0	139652.0	44413.0	13368.0	1915.0	406.0	158.0	2.31749087288
из них домохозяйства, имеющие детей моложе 18 лет	31139.0	77148.0	19172.0	9812.0	1639.0	366.0	150.0	2.47753620861
в том числе домохозяйства:								
с 1 ребенком	23493.0	51867.0	19172.0	3817.0	453.0	46.0	5.0	2.20776401481
с 2 детьми	6570.0	20428.0		5995.0	458.0	96.0	21.0	3.10928462709
с 3 и более детьми	1076.0	4853.0			728.0	224.0	124.0	4.51022304833
в них детей		3532.0			2184.0	798.0	550.0	
Домохозяйства, состоящие из отца с детьми	5453.0	12320.0	4297.0	954.0	159.0	33.0	10.0	2.25930680359
из них домохозяйства, имеющие детей моложе 18 лет	2232.0	5404.0	1499.0	577.0	118.0	28.0	10.0	2.42114695341
в том числе домохозяйства:								
с 1 ребенком	1800.0	3956.0	1499.0	253.0	42.0	5.0	1.0	2.19777777778
с 2 детьми	373.0	1184.0		324.0	35.0	12.0	2.0	3.17426273458
с 3 и более детьми	59.0	264.0			41.0	11.0	7.0	4.47457627119
в них детей		192.0			123.0	38.0	31.0	
Домохозяйства, состоящие из матери (отца) с детьми и одного из родителей матери (отца)	9130.0	29655.0		7175.0	1702.0	209.0	44.0	3.24808324206
из них домохозяйства, имеющие детей моложе 18 лет	7605.0	24904.0		5819.0	1540.0	202.0	44.0	3.27468770546
в том числе домохозяйства:								
с 1 ребенком	6237.0	19158.0		5819.0	390.0	27.0	1.0	3.07166907167
с 2 детьми	1202.0	4862.0			1150.0	50.0	2.0	4.04492512479
с 3 и более детьми	166.0	884.0				125.0	41.0	5.32530120482
в них детей		528.0				375.0	153.0	
Домохозяйства, состоящие из матери (отца) с детьми, одного из родителей матери или отца (или без них), прочих родственников (или без них) и не родственников (или без них)	12517.0	48077.0		5441.0	4769.0	1604.0	703.0	3.8409363266
из них домохозяйства, имеющие детей моложе 18 лет	9743.0	38884.0		3380.0	4183.0	1498.0	682.0	3.99096787437
в том числе домохозяйства:								
с 1 ребенком	6412.0	23071.0		3247.0	2600.0	488.0	77.0	3.59809731753
с 2 детьми	2639.0	11712.0		133.0	1539.0	740.0	227.0	4.43804471391
с 3 и более детьми	692.0	4101.0			44.0	270.0	378.0	5.92630057803
в них детей		2316.0			132.0	818.0	1366.0	
Прочие домохозяйства	20893.0	48609.0	16637.0	3068.0	823.0	190.0	175.0	2.32656870722
из них домохозяйства, имеющие детей моложе 18 лет	3979.0	11084.0	2282.0	1104.0	408.0	91.0	94.0	2.78562452878
в том числе домохозяйства:								
с 1 ребенком	2663.0	6291.0	1928.0	572.0	129.0	23.0	11.0	2.36237326324
с 2 детьми	842.0	2462.0	354.0	335.0	106.0	24.0	23.0	2.92399049881
с 3 и более детьми	474.0	2331.0		197.0	173.0	44.0	60.0	4.91772151899
в них детей		1996.0		591.0	603.0	173.0	629.0	
Ненецкий автономный округ								
Все домохозяйства	11225.0	38206.0	3363.0	3390.0	2552.0	1129.0	791.0	3.40365256125
из них домохозяйства, имеющие детей моложе 18 лет	7029.0	27771.0	648.0	2324.0	2234.0	1056.0	767.0	3.95091762697
в том числе домохозяйства:								
с 1 ребенком	3843.0	12605.0	634.0	2058.0	742.0	298.0	111.0	3.27998959147
с 2 детьми	2257.0	9592.0	14.0	262.0	1437.0	345.0	199.0	4.2498892335
с 3 и более детьми	929.0	5574.0		4.0	55.0	413.0	457.0	6.0
в них детей		3267.0		12.0	166.0	1251.0	1838.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	7745.0	27470.0	1694.0	2481.0	2146.0	896.0	528.0	3.54680438993
из них домохозяйства, имеющие детей моложе 18 лет	5038.0	20705.0		1735.0	1938.0	847.0	518.0	4.10976578007
в том числе домохозяйства:								
с 1 ребенком	2616.0	9051.0		1735.0	637.0	188.0	56.0	3.45986238532
с 2 детьми	1700.0	7355.0			1301.0	295.0	104.0	4.32647058824
с 3 и более детьми	722.0	4299.0				364.0	358.0	5.95429362881
в них детей		2554.0				1092.0	1462.0	
Домохозяйства, состоящие из двух супружеских пар,  родственников (или без них) и не родственников (или без них)	293.0	1715.0			44.0	97.0	152.0	5.85324232082
из них домохозяйства, имеющие детей моложе 18 лет	240.0	1492.0				89.0	151.0	6.21666666667
в том числе домохозяйства:								
с 1 ребенком	135.0	731.0				89.0	46.0	5.41481481481
с 2 детьми	68.0	442.0					68.0	6.5
с 3 и более детьми	37.0	319.0					37.0	8.62162162162
в них детей		126.0					126.0	
Домохозяйства, состоящие из трех и более супружеских пар, родственников (или без них) и не родственников (или без них)	12.0	122.0					12.0	10.1666666667
из них домохозяйства, имеющие детей моложе 18 лет	12.0	122.0					12.0	10.1666666667
в том числе домохозяйства:								
с 1 ребенком	-	-					-	-
с 2 детьми	6.0	51.0					6.0	8.5
с 3 и более детьми	6.0	71.0					6.0	11.8333333333
в них детей		29.0					29.0	
Домохозяйства, состоящие из матери с детьми	1703.0	4232.0	1112.0	440.0	98.0	36.0	17.0	2.48502642396
из них домохозяйства, имеющие детей моложе 18 лет	965.0	2559.0	533.0	309.0	78.0	30.0	15.0	2.6518134715
в том числе домохозяйства:								
с 1 ребенком	637.0	1406.0	533.0	80.0	20.0	4.0	-	2.20722135008
с 2 детьми	254.0	799.0		229.0	15.0	8.0	2.0	3.14566929134
с 3 и более детьми	74.0	354.0			43.0	18.0	13.0	4.78378378378
в них детей		255.0			129.0	65.0	61.0	
Домохозяйства, состоящие из отца с детьми	168.0	419.0	108.0	42.0	13.0	5.0	-	2.49404761905
из них домохозяйства, имеющие детей моложе 18 лет	70.0	185.0	39.0	21.0	6.0	4.0	-	2.64285714286
в том числе домохозяйства:								
