																			
1. НАСЕЛЕНИЕ ПО ПОЛУ, ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Все население	Всего указали источников средств к существованию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения указали			
Ленинградская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	634942.0	383085.0	349625.0	33460.0	160727.0	24444.0	55227.0	11459.0	770130.0	385198.0	351717.0	33481.0	122874.0	153044.0	96352.0	12662.0			
в том числе в     возрасте, лет:																			
  до 16	28.0	17.0	14.0	3.0		5.0	6.0		37.0	27.0	15.0	12.0		7.0	3.0				
16 – 17	28181.0	147.0	77.0	70.0	26999.0	13.0	32.0	990.0	27010.0	533.0	242.0	291.0	25601.0	12.0	28.0	836.0			
18 – 19	34296.0	717.0	454.0	263.0	32917.0	14.0	58.0	590.0	26061.0	3155.0	1988.0	1167.0	22237.0	16.0	88.0	565.0			
20 – 24	67747.0	13905.0	10694.0	3211.0	51590.0	37.0	754.0	1461.0	59746.0	23980.0	19246.0	4734.0	32141.0	214.0	2098.0	1313.0			
25 – 29	59036.0	31901.0	26743.0	5158.0	21857.0	77.0	3770.0	1431.0	56936.0	35091.0	30016.0	5075.0	13397.0	617.0	6613.0	1218.0			
30 – 34	51634.0	34806.0	30366.0	4440.0	8886.0	166.0	6554.0	1222.0	52129.0	35046.0	30973.0	4073.0	5965.0	1081.0	8997.0	1040.0			
35 – 39	53702.0	39758.0	35675.0	4083.0	5007.0	362.0	7591.0	984.0	57648.0	40157.0	36675.0	3482.0	3781.0	2219.0	10607.0	884.0			
40 – 44	70027.0	53300.0	48904.0	4396.0	4665.0	824.0	10115.0	1123.0	77194.0	53136.0	49290.0	3846.0	3989.0	4499.0	14507.0	1063.0			
45 – 49	67195.0	51994.0	48240.0	3754.0	3525.0	1306.0	9481.0	889.0	77239.0	51256.0	47751.0	3505.0	3406.0	7054.0	14478.0	1045.0			
50 – 54	58589.0	45768.0	42812.0	2956.0	2467.0	1992.0	7560.0	802.0	69269.0	43187.0	40490.0	2697.0	2927.0	9660.0	12479.0	1016.0			
55 – 59	29585.0	23548.0	22250.0	1298.0	858.0	1450.0	3291.0	438.0	36996.0	21163.0	19996.0	1167.0	1337.0	7562.0	6338.0	596.0			
60 – 64	38172.0	30429.0	28928.0	1501.0	909.0	3437.0	2974.0	423.0	58454.0	28979.0	27708.0	1271.0	1735.0	19119.0	7875.0	746.0			
65 – 69	31250.0	24857.0	23772.0	1085.0	510.0	3742.0	1802.0	339.0	52477.0	22513.0	21543.0	970.0	1426.0	22497.0	5421.0	620.0			
70 и более	45006.0	31813.0	30591.0	1222.0	502.0	11008.0	1225.0	458.0	118360.0	26823.0	25649.0	1174.0	4900.0	78463.0	6801.0	1373.0			
возраст не указан	494.0	125.0	105.0	20.0	35.0	11.0	14.0	309.0	574.0	152.0	135.0	17.0	32.0	24.0	19.0	347.0			
Мурманская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	352632.0	205394.0	184162.0	21232.0	106825.0	7662.0	28893.0	3858.0	379028.0	205360.0	184422.0	20938.0	62992.0	53166.0	54121.0	3389.0			
в том числе в     возрасте, лет:																			
  до 16	10.0	8.0	2.0	6.0		1.0	1.0		16.0	10.0	4.0	6.0		6.0	-				
16 – 17	14982.0	42.0	15.0	27.0	14631.0	1.0	2.0	306.0	14367.0	263.0	110.0	153.0	13871.0	2.0	5.0	226.0			
18 – 19	25735.0	337.0	196.0	141.0	25222.0	5.0	20.0	151.0	13401.0	1698.0	974.0	724.0	11544.0	3.0	44.0	112.0			
20 – 24	46263.0	8913.0	6579.0	2334.0	36413.0	14.0	515.0	408.0	34374.0	15852.0	12343.0	3509.0	16886.0	85.0	1260.0	291.0			
25 – 29	39602.0	22565.0	18398.0	4167.0	14133.0	37.0	2421.0	446.0	35866.0	24630.0	20793.0	3837.0	6739.0	275.0	3946.0	276.0			
30 – 34	35803.0	25235.0	21769.0	3466.0	5941.0	91.0	4188.0	348.0	32173.0	23579.0	20644.0	2935.0	2810.0	502.0	5067.0	215.0			
35 – 39	35057.0	26476.0	23529.0	2947.0	3486.0	196.0	4576.0	323.0	33784.0	24567.0	22334.0	2233.0	1913.0	967.0	6138.0	199.0			
40 – 44	41461.0	32507.0	29704.0	2803.0	2871.0	417.0	5316.0	350.0	43398.0	30977.0	28580.0	2397.0	1917.0	2133.0	8106.0	265.0			
45 – 49	37148.0	29538.0	27449.0	2089.0	1930.0	654.0	4737.0	289.0	43020.0	29016.0	27004.0	2012.0	1911.0	3581.0	8262.0	250.0			
50 – 54	30071.0	24274.0	22788.0	1486.0	1121.0	911.0	3523.0	242.0	38486.0	23542.0	22063.0	1479.0	1680.0	5273.0	7691.0	300.0			
55 – 59	14126.0	11475.0	10811.0	664.0	416.0	661.0	1456.0	118.0	18819.0	10073.0	9511.0	562.0	792.0	4079.0	3714.0	161.0			
60 – 64	14498.0	11529.0	10953.0	576.0	331.0	1309.0	1214.0	115.0	24397.0	10139.0	9605.0	534.0	935.0	8659.0	4454.0	210.0			
65 – 69	8532.0	6653.0	6380.0	273.0	163.0	1093.0	570.0	53.0	17658.0	5955.0	5652.0	303.0	634.0	8239.0	2674.0	156.0			
70 и более	8360.0	5564.0	5343.0	221.0	124.0	2270.0	338.0	64.0	28467.0	4798.0	4573.0	225.0	1346.0	19357.0	2742.0	224.0			
возраст не указан	984.0	278.0	246.0	32.0	43.0	2.0	16.0	645.0	802.0	261.0	232.0	29.0	14.0	5.0	18.0	504.0			
Новгородская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	253008.0	160053.0	143902.0	16151.0	58455.0	10355.0	22154.0	1991.0	325271.0	160891.0	144791.0	16100.0	54451.0	71731.0	35841.0	2357.0			
в том числе в     возрасте, лет:																			
  до 16	7.0	7.0	2.0	5.0		-	-		17.0	17.0	4.0	13.0		-	-				
16 – 17	11327.0	39.0	15.0	24.0	11074.0	1.0	5.0	208.0	10936.0	218.0	108.0	110.0	10516.0	4.0	7.0	191.0			
18 – 19	9945.0	328.0	215.0	113.0	9495.0	1.0	15.0	106.0	11296.0	1304.0	832.0	472.0	9831.0	5.0	35.0	121.0			
20 – 24	23705.0	6180.0	4810.0	1370.0	16988.0	10.0	283.0	244.0	25213.0	10232.0	8197.0	2035.0	13880.0	66.0	779.0	256.0			
25 – 29	22894.0	13491.0	11208.0	2283.0	7757.0	22.0	1432.0	192.0	22712.0	14541.0	12303.0	2238.0	5363.0	245.0	2360.0	203.0			
30 – 34	20547.0	14314.0	12394.0	1920.0	3508.0	59.0	2474.0	192.0	21288.0	14608.0	12759.0	1849.0	2503.0	563.0	3437.0	177.0			
35 – 39	22038.0	16315.0	14424.0	1891.0	2345.0	146.0	3067.0	165.0	24023.0	16784.0	15134.0	1650.0	1845.0	962.0	4261.0	171.0			
40 – 44	28930.0	21866.0	19726.0	2140.0	2470.0	344.0	4088.0	162.0	30717.0	21202.0	19361.0	1841.0	1749.0	1995.0	5598.0	173.0			
45 – 49	27761.0	21241.0	19317.0	1924.0	1917.0	549.0	3915.0	139.0	30930.0	20740.0	19072.0	1668.0	1533.0	3089.0	5400.0	168.0			
50 – 54	23317.0	18179.0	16714.0	1465.0	1236.0	781.0	2984.0	137.0	27140.0	17212.0	15879.0	1333.0	1325.0	4040.0	4410.0	153.0			
55 – 59	11770.0	9350.0	8660.0	690.0	502.0	565.0	1289.0	64.0	14351.0	8421.0	7826.0	595.0	652.0	3073.0	2132.0	73.0			
60 – 64	16797.0	13311.0	12339.0	972.0	620.0	1463.0	1315.0	88.0	24860.0	12474.0	11651.0	823.0	961.0	8412.0	2884.0	129.0			
65 – 69	13928.0	11156.0	10509.0	647.0	280.0	1652.0	784.0	56.0	23512.0	10189.0	9529.0	660.0	844.0	10414.0	1970.0	95.0			
70 и более	19792.0	14238.0	13541.0	697.0	243.0	4759.0	493.0	59.0	57951.0	12899.0	12092.0	807.0	3436.0	38849.0	2563.0	204.0			
возраст не указан	250.0	38.0	28.0	10.0	20.0	3.0	10.0	179.0	325.0	50.0	44.0	6.0	13.0	14.0	5.0	243.0			
Псковская область																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	285014.0	177787.0	160250.0	17537.0	68189.0	13086.0	25119.0	833.0	352524.0	178158.0	160845.0	17313.0	54094.0	81698.0	37568.0	1006.0			
в том числе в     возрасте, лет:																			
  до 16	4.0	3.0	1.0	2.0		1.0	-		10.0	10.0	4.0	6.0		-	-				
16 – 17	12493.0	36.0	18.0	18.0	12291.0	2.0	9.0	155.0	11816.0	228.0	88.0	140.0	11406.0	5.0	3.0	174.0			
18 – 19	13121.0	299.0	176.0	123.0	12743.0	-	12.0	67.0	11487.0	1360.0	892.0	468.0	10035.0	3.0	31.0	58.0			
20 – 24	26962.0	6542.0	5108.0	1434.0	19916.0	9.0	379.0	116.0	24987.0	10553.0	8548.0	2005.0	13413.0	87.0	877.0	57.0			
25 – 29	24388.0	14175.0	11995.0	2180.0	8417.0	45.0	1686.0	65.0	23993.0	15658.0	13483.0	2175.0	5345.0	281.0	2643.0	66.0			
30 – 34	22961.0	16043.0	14023.0	2020.0	3926.0	84.0	2842.0	66.0	23692.0	16603.0	14694.0	1909.0	2479.0	597.0	3951.0	62.0			
35 – 39	24864.0	18435.0	16440.0	1995.0	2669.0	206.0	3509.0	45.0	25929.0	18614.0	16845.0	1769.0	1716.0	1046.0	4498.0	55.0			
40 – 44	31130.0	23739.0	21441.0	2298.0	2529.0	443.0	4361.0	58.0	32845.0	23170.0	21139.0	2031.0	1599.0	2161.0	5846.0	69.0			
45 – 49	29850.0	22616.0	20428.0	2188.0	2182.0	699.0	4310.0	43.0	32512.0	22365.0	20461.0	1904.0	1389.0	3139.0	5547.0	72.0			
50 – 54	26855.0	20716.0	18918.0	1798.0	1537.0	1028.0	3538.0	36.0	30179.0	19676.0	18100.0	1576.0	1163.0	4586.0	4693.0	61.0			
55 – 59	13412.0	10560.0	9723.0	837.0	592.0	731.0	1499.0	30.0	16017.0	9578.0	8854.0	724.0	559.0	3541.0	2301.0	38.0			
60 – 64	18882.0	14857.0	13797.0	1060.0	676.0	1789.0	1535.0	25.0	26485.0	13820.0	12941.0	879.0	765.0	9086.0	2762.0	52.0			
65 – 69	15797.0	12571.0	11797.0	774.0	325.0	2045.0	837.0	19.0	25380.0	11293.0	10534.0	759.0	755.0	11407.0	1889.0	36.0			
70 и более	24149.0	17147.0	16343.0	804.0	375.0	6001.0	593.0	33.0	67020.0	15171.0	14206.0	965.0	3455.0	45748.0	2523.0	123.0			
возраст не указан	146.0	48.0	42.0	6.0	11.0	3.0	9.0	75.0	172.0	59.0	56.0	3.0	15.0	11.0	4.0	83.0			
г. Санкт-Петербург																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	1766217.0	987471.0	920288.0	67183.0	456807.0	63780.0	142794.0	115365.0	2258047.0	1008707.0	939556.0	69151.0	425619.0	378715.0	306700.0	138306.0			
в том числе в     возрасте, лет:																			
  до 16	58.0	46.0	27.0	19.0		3.0	9.0		81.0	57.0	33.0	24.0		10.0	14.0				
16 – 17	77553.0	273.0	140.0	133.0	71542.0	20.0	58.0	5660.0	72314.0	792.0	387.0	405.0	66261.0	32.0	64.0	5165.0			
18 – 19	92010.0	1459.0	840.0	619.0	85200.0	23.0	84.0	5244.0	81953.0	5146.0	3162.0	1984.0	71500.0	32.0	193.0	5082.0			
20 – 24	193232.0	29761.0	22770.0	6991.0	147927.0	87.0	1730.0	13727.0	183763.0	52149.0	41239.0	10910.0	114161.0	308.0	4301.0	12844.0			
25 – 29	164239.0	73687.0	62161.0	11526.0	69068.0	199.0	8202.0	13083.0	167784.0	88725.0	76752.0	11973.0	50111.0	1063.0	15787.0	12098.0			
30 – 34	158042.0	95103.0	83980.0	11123.0	32392.0	553.0	16636.0	13358.0	165660.0	99218.0	88989.0	10229.0	24857.0	2174.0	26976.0	12435.0			
35 – 39	154484.0	106039.0	96890.0	9149.0	16257.0	968.0	19724.0	11496.0	172292.0	107558.0	99585.0	7973.0	16583.0	4263.0	32541.0	11347.0			
40 – 44	181776.0	132542.0	124361.0	8181.0	11743.0	1997.0	24254.0	11240.0	217194.0	137202.0	129503.0	7699.0	15991.0	8591.0	42951.0	12459.0			
45 – 49	165518.0	123523.0	117188.0	6335.0	7714.0	2844.0	22253.0	9184.0	212405.0	129246.0	123019.0	6227.0	14338.0	13895.0	43586.0	11340.0			
50 – 54	150819.0	113274.0	108440.0	4834.0	5937.0	4341.0	18982.0	8285.0	199564.0	114186.0	109451.0	4735.0	12063.0	21858.0	40524.0	10933.0			
55 – 59	101566.0	76296.0	73389.0	2907.0	3300.0	4537.0	11958.0	5475.0	134846.0	70600.0	68191.0	2409.0	7601.0	21700.0	27624.0	7321.0			
60 – 64	104473.0	79742.0	77533.0	2209.0	2323.0	8599.0	8916.0	4893.0	155094.0	71309.0	69490.0	1819.0	7122.0	43043.0	25950.0	7670.0			
65 – 69	83851.0	64535.0	63066.0	1469.0	1532.0	9002.0	5511.0	3271.0	142664.0	58000.0	56784.0	1216.0	6345.0	52073.0	19681.0	6565.0			
70 и более	131047.0	89489.0	87905.0	1584.0	1621.0	30568.0	4346.0	5023.0	344236.0	72888.0	71426.0	1462.0	18427.0	209537.0	26322.0	17062.0			
возраст не указан	7549.0	1702.0	1598.0	104.0	251.0	39.0	131.0	5426.0	8197.0	1631.0	1545.0	86.0	259.0	136.0	186.0	5985.0			
Южный федеральный округ																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	8281079.0	5167513.0	4738945.0	428568.0	2221365.0	288340.0	581710.0	22151.0	9782573.0	5214692.0	4778451.0	436241.0	1781132.0	1696782.0	1066290.0	23677.0			
в том числе в     возрасте, лет:																			
  до 16	131.0	127.0	46.0	81.0		3.0	1.0		762.0	746.0	241.0	505.0		3.0	13.0				
16 – 17	430194.0	1893.0	919.0	974.0	424452.0	86.0	209.0	3554.0	426340.0	13495.0	7113.0	6382.0	409151.0	135.0	541.0	3018.0			
18 – 19	465374.0	10210.0	6716.0	3494.0	452252.0	94.0	516.0	2302.0	442461.0	59525.0	44026.0	15499.0	377762.0	317.0	2971.0	1886.0			
20 – 24	945650.0	201366.0	165921.0	35445.0	727458.0	559.0	12695.0	3572.0	947944.0	399643.0	340950.0	58693.0	499276.0	3988.0	41701.0	3336.0			
25 – 29	809675.0	459382.0	402096.0	57286.0	296067.0	1483.0	50508.0	2235.0	834309.0	543992.0	481536.0	62456.0	180275.0	11227.0	96809.0	2006.0			
30 – 34	758169.0	547053.0	487682.0	59371.0	127568.0	3053.0	78870.0	1625.0	787190.0	560533.0	505874.0	54659.0	82954.0	20620.0	121475.0	1608.0			
35 – 39	770438.0	607220.0	552246.0	54974.0	70312.0	4967.0	86812.0	1127.0	824532.0	608544.0	560491.0	48053.0	52067.0	32735.0	129894.0	1292.0			
40 – 44	887123.0	726303.0	670602.0	55701.0	49798.0	9535.0	100342.0	1145.0	956447.0	701012.0	652970.0	48042.0	42518.0	55895.0	155586.0	1436.0			
45 – 49	763237.0	635314.0	591174.0	44140.0	30384.0	12453.0	84096.0	990.0	848782.0	602921.0	563668.0	39253.0	31966.0	73881.0	138805.0	1209.0			
50 – 54	637252.0	534495.0	500151.0	34344.0	17820.0	17621.0	66522.0	794.0	741803.0	499113.0	467767.0	31346.0	23614.0	101459.0	116524.0	1093.0			
55 – 59	322134.0	271573.0	254954.0	16619.0	6915.0	13710.0	29510.0	426.0	414320.0	258021.0	242664.0	15357.0	11255.0	86121.0	58316.0	607.0			
60 – 64	515186.0	428568.0	402547.0	26021.0	9106.0	40976.0	35980.0	556.0	742282.0	402131.0	379047.0	23084.0	16772.0	238929.0	83590.0	860.0			
65 – 69	392334.0	324633.0	306735.0	17898.0	4705.0	42989.0	19616.0	391.0	576891.0	268113.0	252784.0	15329.0	13235.0	243218.0	51631.0	694.0			
70 и более	579520.0	418052.0	395964.0	22088.0	4207.0	140764.0	15951.0	546.0	1233236.0	295324.0	277896.0	17428.0	39841.0	828097.0	68314.0	1660.0			
возраст не указан	4662.0	1324.0	1192.0	132.0	321.0	47.0	82.0	2888.0	5274.0	1579.0	1424.0	155.0	446.0	157.0	120.0	2972.0			
Республика Адыгея																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	163587.0	103483.0	94696.0	8787.0	41793.0	5799.0	12011.0	501.0	196746.0	104355.0	95531.0	8824.0	32676.0	36913.0	22200.0	602.0			
в том числе в     возрасте, лет:																			
  до 16	-	-	-	-		-	-		13.0	13.0	5.0	8.0		-	-				
16 – 17	8144.0	35.0	16.0	19.0	8078.0	1.0	3.0	27.0	8003.0	260.0	123.0	137.0	7705.0	1.0	8.0	29.0			
18 – 19	7892.0	191.0	127.0	64.0	7658.0	2.0	15.0	26.0	8016.0	1119.0	813.0	306.0	6821.0	2.0	43.0	31.0			
20 – 24	17230.0	3877.0	3161.0	716.0	13058.0	4.0	239.0	52.0	17267.0	7432.0	6310.0	1122.0	8947.0	55.0	780.0	53.0			
25 – 29	14960.0	8310.0	7162.0	1148.0	5623.0	20.0	954.0	53.0	15219.0	10164.0	8936.0	1228.0	3086.0	167.0	1747.0	55.0			
30 – 34	14090.0	9867.0	8717.0	1150.0	2693.0	31.0	1467.0	32.0	14671.0	10491.0	9490.0	1001.0	1460.0	358.0	2313.0	49.0			
35 – 39	14552.0	11184.0	10178.0	1006.0	1631.0	73.0	1630.0	34.0	15321.0	11341.0	10411.0	930.0	910.0	584.0	2439.0	47.0			
40 – 44	17618.0	14044.0	12900.0	1144.0	1293.0	149.0	2090.0	42.0	18764.0	13690.0	12752.0	938.0	841.0	1015.0	3171.0	47.0			
45 – 49	15128.0	12415.0	11558.0	857.0	740.0	226.0	1701.0	46.0	16863.0	11977.0	11128.0	849.0	665.0	1367.0	2806.0	48.0			
50 – 54	13342.0	11098.0	10319.0	779.0	406.0	319.0	1490.0	29.0	15561.0	10589.0	9899.0	690.0	496.0	1980.0	2464.0	32.0			
55 – 59	6901.0	5802.0	5404.0	398.0	173.0	256.0	653.0	17.0	8818.0	5534.0	5222.0	312.0	242.0	1780.0	1236.0	26.0			
60 – 64	11594.0	9637.0	9046.0	591.0	216.0	836.0	880.0	25.0	16907.0	9176.0	8632.0	544.0	332.0	5327.0	2044.0	28.0			
65 – 69	8821.0	7375.0	6971.0	404.0	123.0	834.0	468.0	21.0	12914.0	6052.0	5675.0	377.0	266.0	5295.0	1275.0	26.0			
70 и более	13216.0	9624.0	9115.0	509.0	97.0	3047.0	420.0	28.0	28310.0	6490.0	6110.0	380.0	904.0	18982.0	1874.0	60.0			
возраст не указан	99.0	24.0	22.0	2.0	4.0	1.0	1.0	69.0	99.0	27.0	25.0	2.0	1.0	-	-	71.0			
Республика Дагестан																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	841078.0	526702.0	496073.0	30629.0	270684.0	18902.0	24767.0	23.0	943177.0	537497.0	504160.0	33337.0	220147.0	118790.0	66718.0	25.0			
в том числе в     возрасте, лет:																			
  до 16	5.0	5.0	5.0	-		-	-		58.0	58.0	28.0	30.0		-	-				
16 – 17	60702.0	106.0	65.0	41.0	60562.0	7.0	25.0	2.0	59846.0	1270.0	794.0	476.0	58485.0	21.0	68.0	2.0			
18 – 19	61330.0	552.0	383.0	169.0	60737.0	8.0	32.0	1.0	61663.0	7258.0	5842.0	1416.0	53991.0	33.0	378.0	3.0			
20 – 24	118843.0	18544.0	16019.0	2525.0	99275.0	103.0	915.0	6.0	126325.0	53958.0	47958.0	6000.0	67225.0	505.0	4632.0	5.0			
25 – 29	96888.0	59180.0	53567.0	5613.0	33994.0	302.0	3410.0	2.0	104017.0	73525.0	67326.0	6199.0	19503.0	1460.0	9529.0	-			
30 – 34	94153.0	78694.0	72832.0	5862.0	9657.0	498.0	5304.0	-	100816.0	78287.0	73101.0	5186.0	8033.0	2878.0	11615.0	3.0			
35 – 39	90844.0	82575.0	78058.0	4517.0	3275.0	597.0	4397.0	-	99649.0	79910.0	75690.0	4220.0	4614.0	4236.0	10888.0	1.0			
40 – 44	88683.0	82403.0	78900.0	3503.0	1526.0	787.0	3965.0	2.0	95748.0	75855.0	72569.0	3286.0	3184.0	6518.0	10191.0	-			
45 – 49	60720.0	56752.0	54551.0	2201.0	748.0	769.0	2451.0	-	66840.0	51319.0	49316.0	2003.0	1650.0	6903.0	6967.0	1.0			
50 – 54	43901.0	40894.0	39439.0	1455.0	385.0	1023.0	1598.0	1.0	49693.0	35759.0	34471.0	1288.0	912.0	8438.0	4584.0	-			
55 – 59	20599.0	19034.0	18361.0	673.0	137.0	742.0	686.0	-	25216.0	16804.0	16165.0	639.0	405.0	6130.0	1877.0	-			
60 – 64	31798.0	28629.0	27458.0	1171.0	161.0	2110.0	897.0	1.0	41058.0	23800.0	22944.0	856.0	569.0	14368.0	2320.0	1.0			
65 – 69	31084.0	27429.0	26215.0	1214.0	112.0	2964.0	579.0	-	41486.0	20730.0	19910.0	820.0	537.0	18466.0	1753.0	-			
70 и более	41501.0	31897.0	30215.0	1682.0	106.0	8992.0	506.0	-	70714.0	18937.0	18021.0	916.0	1034.0	48829.0	1912.0	2.0			
возраст не указан	27.0	8.0	5.0	3.0	9.0	-	2.0	8.0	48.0	27.0	25.0	2.0	5.0	5.0	4.0	7.0			
Республика Ингушетия																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	135336.0	66988.0	60271.0	6717.0	60664.0	2851.0	3645.0	1188.0	160677.0	72190.0	64214.0	7976.0	59445.0	19423.0	8476.0	1143.0			
в том числе в     возрасте, лет:																			
  до 16	7.0	7.0	3.0	4.0		-	-		28.0	26.0	14.0	12.0		-	2.0				
16 – 17	9962.0	54.0	25.0	29.0	9640.0	4.0	12.0	252.0	10914.0	278.0	147.0	131.0	10400.0	6.0	29.0	201.0			
18 – 19	9905.0	187.0	108.0	79.0	9530.0	5.0	27.0	156.0	10586.0	903.0	570.0	333.0	9407.0	28.0	118.0	130.0			
20 – 24	20990.0	2160.0	1579.0	581.0	18225.0	62.0	263.0	280.0	24473.0	5823.0	4558.0	1265.0	17387.0	267.0	736.0	260.0			
25 – 29	17062.0	4750.0	3852.0	898.0	11506.0	114.0	519.0	173.0	20013.0	8349.0	6978.0	1371.0	9724.0	581.0	1228.0	131.0			
30 – 34	15832.0	8080.0	6923.0	1157.0	6675.0	190.0	788.0	99.0	19147.0	10370.0	9019.0	1351.0	5984.0	1041.0	1661.0	91.0			
35 – 39	14093.0	10058.0	8917.0	1141.0	3078.0	245.0	666.0	46.0	17462.0	11209.0	9986.0	1223.0	3257.0	1405.0	1530.0	61.0			
40 – 44	14215.0	11948.0	10916.0	1032.0	1271.0	326.0	642.0	28.0	16407.0	11338.0	10406.0	932.0	1792.0	1880.0	1363.0	34.0			
45 – 49	10227.0	9206.0	8552.0	654.0	409.0	269.0	324.0	19.0	11630.0	8339.0	7766.0	573.0	767.0	1702.0	789.0	33.0			
50 – 54	6727.0	6169.0	5813.0	356.0	152.0	207.0	193.0	6.0	7595.0	5103.0	4839.0	264.0	320.0	1671.0	479.0	22.0			
55 – 59	3283.0	3041.0	2900.0	141.0	55.0	117.0	68.0	2.0	4109.0	2593.0	2490.0	103.0	126.0	1210.0	171.0	9.0			
60 – 64	4171.0	3790.0	3597.0	193.0	57.0	249.0	72.0	3.0	6070.0	3444.0	3279.0	165.0	115.0	2338.0	159.0	14.0			
65 – 69	3698.0	3355.0	3181.0	174.0	23.0	284.0	31.0	5.0	4963.0	2318.0	2206.0	112.0	70.0	2440.0	116.0	19.0			
70 и более	5007.0	4147.0	3870.0	277.0	30.0	776.0	38.0	16.0	7127.0	2068.0	1929.0	139.0	86.0	4849.0	90.0	34.0			
возраст не указан	157.0	36.0	35.0	1.0	13.0	3.0	2.0	103.0	153.0	29.0	27.0	2.0	10.0	5.0	5.0	104.0			
Кабардино-Балкарская Республика																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	314817.0	187307.0	180640.0	6667.0	100994.0	9451.0	17055.0	10.0	372546.0	190019.0	183047.0	6972.0	85586.0	59191.0	37744.0	6.0			
в том числе в     возрасте, лет:																			
  до 16	2.0	2.0	2.0	-		-	-		21.0	21.0	12.0	9.0		-	-				
16 – 17	17426.0	40.0	27.0	13.0	17382.0	-	3.0	1.0	17404.0	403.0	321.0	82.0	16977.0	1.0	22.0	1.0			
18 – 19	18413.0	231.0	201.0	30.0	18162.0	5.0	15.0	-	18522.0	2038.0	1837.0	201.0	16363.0	10.0	111.0	-			
20 – 24	40061.0	5900.0	5455.0	445.0	33771.0	15.0	375.0	-	43334.0	15397.0	14587.0	810.0	26207.0	120.0	1609.0	1.0			
25 – 29	33204.0	15581.0	14718.0	863.0	16115.0	48.0	1460.0	-	34985.0	20328.0	19432.0	896.0	10584.0	432.0	3640.0	1.0			
30 – 34	31725.0	21242.0	20342.0	900.0	7666.0	107.0	2710.0	-	33527.0	22635.0	21696.0	939.0	4953.0	897.0	5041.0	1.0			
35 – 39	33039.0	25990.0	25075.0	915.0	3880.0	195.0	2974.0	-	36939.0	26482.0	25554.0	928.0	3167.0	1658.0	5632.0	-			
40 – 44	34655.0	29132.0	28231.0	901.0	2009.0	381.0	3133.0	-	38742.0	27698.0	26827.0	871.0	2323.0	2608.0	6113.0	-			
45 – 49	27067.0	23492.0	22733.0	759.0	902.0	450.0	2223.0	-	31195.0	21553.0	20852.0	701.0	1564.0	3243.0	4835.0	-			
50 – 54	20721.0	17940.0	17379.0	561.0	462.0	621.0	1696.0	2.0	24985.0	16117.0	15599.0	518.0	989.0	4166.0	3713.0	-			
55 – 59	10979.0	9440.0	9162.0	278.0	187.0	565.0	786.0	1.0	14012.0	8358.0	8128.0	230.0	436.0	3487.0	1731.0	-			
60 – 64	16760.0	14399.0	13980.0	419.0	225.0	1297.0	839.0	-	25397.0	13116.0	12756.0	360.0	658.0	9286.0	2337.0	-			
65 – 69	12938.0	10843.0	10564.0	279.0	121.0	1523.0	451.0	-	18712.0	8018.0	7800.0	218.0	484.0	8855.0	1355.0	-			
70 и более	17819.0	13073.0	12769.0	304.0	112.0	4244.0	390.0	-	34766.0	7852.0	7643.0	209.0	881.0	24427.0	1605.0	1.0			
возраст не указан	8.0	2.0	2.0	-	-	-	-	6.0	5.0	3.0	3.0	-	-	1.0	-	1.0			
Республика Калмыкия																			
Население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	103164.0	63430.0	57349.0	6081.0	29366.0	3622.0	6695.0	51.0	116799.0	63571.0	57485.0	6086.0	25104.0	17930.0	10145.0	49.0			
в том числе в     возрасте, лет:																			
  до 16	1.0	1.0	-	1.0		-	-		14.0	13.0	2.0	11.0		1.0	-				
16 – 17	5918.0	14.0	6.0	8.0	5890.0	2.0	3.0	9.0	5458.0	129.0	69.0	60.0	5319.0	-	4.0	6.0			
18 – 19	4235.0	156.0	121.0	35.0	4065.0	-	6.0	8.0	4832.0	670.0	503.0	167.0	4137.0	3.0	20.0	2.0			
20 – 24	10840.0	2597.0	2241.0	356.0	8102.0	3.0	129.0	9.0	11379.0	5022.0	4401.0	621.0	5921.0	48.0	384.0	4.0			
25 – 29	10006.0	5514.0	4867.0	647.0	3904.0	8.0	578.0	2.0	10007.0	6489.0	5732.0	757.0	2402.0	153.0	963.0	-			
30 – 34	9254.0	6413.0	5663.0	750.0	1984.0	24.0	827.0	6.0	9569.0	6623.0	5892.0	731.0	1540.0	239.0	1165.0	2.0			
