11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
Сельское население	171045.0	190.0	15641.0	3582.0	38642.0	26304.0	34685.0	27875.0	20013.0	3567.0	2336.0	546.0
Адыгейцы	50087.0	55.0	7092.0	1759.0	12229.0	6103.0	11480.0	5720.0	4458.0	1190.0	974.0	1.0
Русские	101356.0	103.0	7249.0	1551.0	23105.0	17657.0	18886.0	18216.0	12973.0	1614.0	809.0	2.0
Армяне	5994.0	6.0	359.0	97.0	1031.0	885.0	1817.0	1297.0	436.0	66.0	37.0	-
Украинцы	3328.0	10.0	290.0	40.0	738.0	481.0	514.0	580.0	599.0	76.0	34.0	-
Республика Дагестан												
Все население	1842042.0	5080.0	222626.0	87010.0	305415.0	112271.0	597688.0	319395.0	163274.0	29218.0	23256.0	65.0
Аварцы	529339.0	1134.0	53986.0	22929.0	71411.0	27843.0	191054.0	99990.0	51915.0	9073.0	7260.0	4.0
Даргинцы	300075.0	660.0	29360.0	12654.0	37801.0	14538.0	94271.0	66572.0	38021.0	6190.0	5040.0	8.0
Кумыки	258525.0	775.0	31796.0	13292.0	51250.0	19958.0	76715.0	43339.0	18282.0	3116.0	2316.0	2.0
Лезгины	243510.0	793.0	33773.0	12848.0	44822.0	14895.0	86568.0	31444.0	15312.0	3041.0	2414.0	14.0
Лакцы	105299.0	490.0	21579.0	7874.0	21078.0	5770.0	27271.0	13182.0	6862.0	1190.0	903.0	3.0
Русские	103136.0	395.0	19231.0	4845.0	29620.0	7588.0	19732.0	13724.0	7275.0	717.0	361.0	9.0
Азербайджанцы	79265.0	315.0	9329.0	3713.0	13859.0	5778.0	25338.0	12833.0	6546.0	1544.0	1228.0	10.0
Табасараны	75511.0	177.0	8589.0	3513.0	10132.0	4786.0	28122.0	12221.0	6442.0	1521.0	1317.0	8.0
Чеченцы	59069.0	99.0	3488.0	1282.0	8430.0	5262.0	21013.0	12495.0	5768.0	1231.0	1045.0	1.0
Ногайцы	27173.0	27.0	2709.0	860.0	5187.0	2737.0	7705.0	5195.0	2351.0	402.0	355.0	-
Рутульцы	17359.0	49.0	1818.0	879.0	2726.0	847.0	6815.0	2460.0	1292.0	473.0	435.0	-
Агулы	16441.0	35.0	2126.0	892.0	2992.0	793.0	5644.0	2430.0	1230.0	299.0	254.0	-
Цахуры	5542.0	12.0	672.0	277.0	611.0	138.0	2419.0	749.0	489.0	175.0	167.0	-
Таты	681.0	1.0	246.0	36.0	157.0	36.0	111.0	59.0	28.0	7.0	7.0	-
Городское население	826645.0	3894.0	145765.0	64788.0	169426.0	45653.0	245747.0	105841.0	38900.0	6585.0	4520.0	46.0
Аварцы	193713.0	825.0	31927.0	16498.0	35382.0	9373.0	64080.0	25715.0	8537.0	1374.0	952.0	2.0
Даргинцы	109171.0	494.0	17572.0	9040.0	18786.0	5343.0	35620.0	15075.0	6128.0	1109.0	833.0	4.0
Кумыки	126640.0	572.0	20406.0	9597.0	27073.0	7070.0	37809.0	17085.0	5937.0	1091.0	742.0	-
Лезгины	105486.0	584.0	21443.0	9759.0	22046.0	5794.0	30234.0	11717.0	3301.0	597.0	381.0	11.0
Лакцы	74646.0	439.0	17779.0	6850.0	15774.0	3083.0	19879.0	7555.0	2900.0	385.0	256.0	2.0
Русские	83140.0	369.0	17781.0	4536.0	24760.0	5453.0	15863.0	9614.0	4282.0	474.0	203.0	8.0
Азербайджанцы	38034.0	260.0	5570.0	2487.0	7373.0	2898.0	11286.0	5387.0	2202.0	562.0	425.0	9.0
Табасараны	31369.0	103.0	4574.0	2484.0	5465.0	2343.0	9861.0	4399.0	1741.0	391.0	294.0	8.0
Чеченцы	26717.0	54.0	1993.0	806.0	4384.0	2262.0	10235.0	4661.0	2020.0	302.0	238.0	-
Ногайцы	4530.0	12.0	403.0	287.0	861.0	192.0	1715.0	811.0	211.0	38.0	32.0	-
Рутульцы	6353.0	36.0	1044.0	605.0	1195.0	276.0	2224.0	755.0	189.0	29.0	21.0	-
Агулы	6936.0	21.0	1121.0	579.0	1371.0	455.0	2202.0	818.0	320.0	49.0	32.0	-
Цахуры	1655.0	11.0	322.0	178.0	275.0	64.0	602.0	152.0	45.0	6.0	4.0	-
Таты	667.0	1.0	245.0	35.0	156.0	35.0	105.0	57.0	26.0	7.0	7.0	-
Сельское население	1015397.0	1186.0	76861.0	22222.0	135989.0	66618.0	351941.0	213554.0	124374.0	22633.0	18736.0	19.0
Аварцы	335626.0	309.0	22059.0	6431.0	36029.0	18470.0	126974.0	74275.0	43378.0	7699.0	6308.0	2.0
Даргинцы	190904.0	166.0	11788.0	3614.0	19015.0	9195.0	58651.0	51497.0	31893.0	5081.0	4207.0	4.0
Кумыки	131885.0	203.0	11390.0	3695.0	24177.0	12888.0	38906.0	26254.0	12345.0	2025.0	1574.0	2.0
Лезгины	138024.0	209.0	12330.0	3089.0	22776.0	9101.0	56334.0	19727.0	12011.0	2444.0	2033.0	3.0
Лакцы	30653.0	51.0	3800.0	1024.0	5304.0	2687.0	7392.0	5627.0	3962.0	805.0	647.0	1.0
Русские	19996.0	26.0	1450.0	309.0	4860.0	2135.0	3869.0	4110.0	2993.0	243.0	158.0	1.0
Азербайджанцы	41231.0	55.0	3759.0	1226.0	6486.0	2880.0	14052.0	7446.0	4344.0	982.0	803.0	1.0
Табасараны	44142.0	74.0	4015.0	1029.0	4667.0	2443.0	18261.0	7822.0	4701.0	1130.0	1023.0	-
Чеченцы	32352.0	45.0	1495.0	476.0	4046.0	3000.0	10778.0	7834.0	3748.0	929.0	807.0	1.0
Ногайцы	22643.0	15.0	2306.0	573.0	4326.0	2545.0	5990.0	4384.0	2140.0	364.0	323.0	-
Рутульцы	11006.0	13.0	774.0	274.0	1531.0	571.0	4591.0	1705.0	1103.0	444.0	414.0	-
Агулы	9505.0	14.0	1005.0	313.0	1621.0	338.0	3442.0	1612.0	910.0	250.0	222.0	-
Цахуры	3887.0	1.0	350.0	99.0	336.0	74.0	1817.0	597.0	444.0	169.0	163.0	-
Таты	14.0	-	1.0	1.0	1.0	1.0	6.0	2.0	2.0	-	-	-
Республика Ингушетия												
Все население	306396.0	933.0	33034.0	17998.0	43833.0	31482.0	97170.0	46469.0	23060.0	11749.0	8135.0	668.0
Ингуши	237121.0	741.0	27421.0	15247.0	34728.0	24200.0	73292.0	34235.0	17248.0	9519.0	6606.0	490.0
Чеченцы	60796.0	166.0	4749.0	2416.0	7469.0	6386.0	21745.0	10797.0	4967.0	1953.0	1381.0	148.0
Русские	4871.0	14.0	486.0	178.0	1112.0	505.0	1125.0	807.0	476.0	156.0	68.0	12.0
Украинцы	159.0	1.0	31.0	4.0	35.0	20.0	27.0	9.0	24.0	6.0	-	2.0
Кумыки	99.0	-	6.0	3.0	13.0	7.0	25.0	26.0	11.0	8.0	6.0	-
Аварцы	79.0	-	9.0	2.0	7.0	6.0	33.0	13.0	7.0	2.0	2.0	-
Армяне	50.0	-	6.0	3.0	5.0	2.0	18.0	11.0	4.0	-	-	1.0
Городское население	131722.0	480.0	18211.0	9337.0	21497.0	12961.0	37747.0	17818.0	8979.0	4560.0	3017.0	132.0
Ингуши	107173.0	383.0	15677.0	8219.0	17857.0	10722.0	29497.0	13663.0	7168.0	3884.0	2567.0	103.0
Чеченцы	21416.0	84.0	2198.0	1013.0	2871.0	1974.0	7371.0	3649.0	1621.0	610.0	419.0	25.0
Русские	2303.0	8.0	223.0	73.0	648.0	191.0	617.0	381.0	126.0	36.0	19.0	-
Украинцы	67.0	1.0	19.0	1.0	13.0	9.0	7.0	4.0	10.0	3.0	-	-
Кумыки	40.0	-	3.0	-	4.0	3.0	10.0	12.0	3.0	5.0	3.0	-
Аварцы	18.0	-	4.0	1.0	-	1.0	7.0	4.0	1.0	-	-	-
Армяне	24.0	-	2.0	2.0	5.0	1.0	9.0	5.0	-	-	-	-
Сельское население	174674.0	453.0	14823.0	8661.0	22336.0	18521.0	59423.0	28651.0	14081.0	7189.0	5118.0	536.0
Ингуши	129948.0	358.0	11744.0	7028.0	16871.0	13478.0	43795.0	20572.0	10080.0	5635.0	4039.0	387.0
Чеченцы	39380.0	82.0	2551.0	1403.0	4598.0	4412.0	14374.0	7148.0	3346.0	1343.0	962.0	123.0
Русские	2568.0	6.0	263.0	105.0	464.0	314.0	508.0	426.0	350.0	120.0	49.0	12.0
Украинцы	92.0	-	12.0	3.0	22.0	11.0	20.0	5.0	14.0	3.0	-	2.0
Кумыки	59.0	-	3.0	3.0	9.0	4.0	15.0	14.0	8.0	3.0	3.0	-
Аварцы	61.0	-	5.0	1.0	7.0	5.0	26.0	9.0	6.0	2.0	2.0	-
Армяне	26.0	-	4.0	1.0	-	1.0	9.0	6.0	4.0	-	-	1.0
Кабардино–Балкарская Республика												
Все население	704886.0	2050.0	112065.0	26648.0	187724.0	72652.0	157391.0	92557.0	45544.0	8249.0	5906.0	6.0
Кабардинцы	374363.0	1148.0	56529.0	14610.0	97147.0	37570.0	93074.0	48354.0	21675.0	4252.0	3379.0	4.0
Балкарцы	82002.0	317.0	15709.0	4457.0	18716.0	6404.0	19337.0	9170.0	6702.0	1190.0	826.0	-
Русские	192397.0	401.0	31162.0	5882.0	59247.0	23214.0	32574.0	25843.0	12652.0	1420.0	732.0	2.0
Осетины	8102.0	22.0	1516.0	330.0	2443.0	816.0	1529.0	941.0	436.0	69.0	50.0	-
Украинцы	7134.0	22.0	1212.0	159.0	2083.0	813.0	1081.0	878.0	797.0	89.0	40.0	-
Немцы	2133.0	5.0	190.0	45.0	576.0	314.0	400.0	354.0	227.0	22.0	10.0	-
Городское население	415009.0	1638.0	84021.0	19130.0	120030.0	39115.0	83520.0	45772.0	18668.0	3110.0	1977.0	5.0
Кабардинцы	177989.0	892.0	38497.0	9670.0	50177.0	14935.0	39372.0	17741.0	5682.0	1020.0	737.0	3.0
Балкарцы	39754.0	218.0	9633.0	2672.0	9691.0	3071.0	8762.0	3828.0	1640.0	239.0	142.0	-
Русские	155190.0	359.0	28230.0	5288.0	49952.0	17199.0	26206.0	18467.0	8518.0	969.0	511.0	2.0
Осетины	5815.0	18.0	1258.0	286.0	1803.0	549.0	1003.0	647.0	211.0	40.0	24.0	-
Украинцы	5824.0	21.0	1097.0	139.0	1752.0	628.0	890.0	659.0	570.0	68.0	29.0	-
Немцы	1474.0	3.0	160.0	36.0	442.0	201.0	281.0	204.0	133.0	14.0	6.0	-
Сельское население	289877.0	412.0	28044.0	7518.0	67694.0	33537.0	73871.0	46785.0	26876.0	5139.0	3929.0	1.0
Кабардинцы	196374.0	256.0	18032.0	4940.0	46970.0	22635.0	53702.0	30613.0	15993.0	3232.0	2642.0	1.0
Балкарцы	42248.0	99.0	6076.0	1785.0	9025.0	3333.0	10575.0	5342.0	5062.0	951.0	684.0	-
Русские	37207.0	42.0	2932.0	594.0	9295.0	6015.0	6368.0	7376.0	4134.0	451.0	221.0	-
Осетины	2287.0	4.0	258.0	44.0	640.0	267.0	526.0	294.0	225.0	29.0	26.0	-
Украинцы	1310.0	1.0	115.0	20.0	331.0	185.0	191.0	219.0	227.0	21.0	11.0	-
Немцы	659.0	2.0	30.0	9.0	134.0	113.0	119.0	150.0	94.0	8.0	4.0	-
Республика Калмыкия												
Все население	226786.0	386.0	33049.0	6587.0	58572.0	21241.0	49042.0	32679.0	21209.0	3993.0	2402.0	28.0
Калмыки	119046.0	280.0	22323.0	4599.0	30850.0	8869.0	27220.0	13476.0	9206.0	2210.0	1394.0	13.0
Русские	79582.0	84.0	8759.0	1550.0	23052.0	9728.0	14246.0	12367.0	8635.0	1151.0	575.0	10.0
Даргинцы	5020.0	-	142.0	45.0	406.0	236.0	1564.0	1690.0	856.0	80.0	43.0	1.0
Чеченцы	3994.0	2.0	222.0	90.0	455.0	289.0	1316.0	1083.0	455.0	82.0	53.0	-
Казахи	3845.0	3.0	273.0	60.0	832.0	404.0	1051.0	741.0	376.0	105.0	80.0	-
Украинцы	2287.0	5.0	249.0	36.0	607.0	281.0	392.0	391.0	285.0	40.0	23.0	1.0
Немцы	1289.0	-	64.0	18.0	316.0	212.0	267.0	232.0	145.0	35.0	24.0	-
Городское население	102884.0	328.0	21401.0	4354.0	30566.0	7434.0	19061.0	11694.0	6870.0	1160.0	621.0	16.0
Калмыки	58919.0	238.0	14939.0	3145.0	16139.0	3145.0	11478.0	5781.0	3405.0	642.0	333.0	7.0
Русские	37611.0	72.0	5495.0	1022.0	12783.0	3625.0	6185.0	5018.0	3036.0	368.0	173.0	7.0
Даргинцы	154.0	-	17.0	7.0	37.0	12.0	52.0	25.0	4.0	-	-	-
Чеченцы	544.0	1.0	70.0	34.0	89.0	36.0	179.0	99.0	31.0	5.0	3.0	-
Казахи	1314.0	2.0	140.0	28.0	346.0	197.0	313.0	172.0	97.0	19.0	11.0	-
Украинцы	970.0	5.0	159.0	21.0	308.0	95.0	152.0	123.0	93.0	13.0	7.0	1.0
Немцы	362.0	-	33.0	8.0	117.0	52.0	63.0	55.0	31.0	3.0	3.0	-
Сельское население	123902.0	58.0	11648.0	2233.0	28006.0	13807.0	29981.0	20985.0	14339.0	2833.0	1781.0	12.0
Калмыки	60127.0	42.0	7384.0	1454.0	14711.0	5724.0	15742.0	7695.0	5801.0	1568.0	1061.0	6.0
Русские	41971.0	12.0	3264.0	528.0	10269.0	6103.0	8061.0	7349.0	5599.0	783.0	402.0	3.0
Даргинцы	4866.0	-	125.0	38.0	369.0	224.0	1512.0	1665.0	852.0	80.0	43.0	1.0
Чеченцы	3450.0	1.0	152.0	56.0	366.0	253.0	1137.0	984.0	424.0	77.0	50.0	-
Казахи	2531.0	1.0	133.0	32.0	486.0	207.0	738.0	569.0	279.0	86.0	69.0	-
Украинцы	1317.0	-	90.0	15.0	299.0	186.0	240.0	268.0	192.0	27.0	16.0	-
Немцы	927.0	-	31.0	10.0	199.0	160.0	204.0	177.0	114.0	32.0	21.0	-
Карачаево-Черкесская Республика												
Все население	347882.0	998.0	53559.0	13154.0	77791.0	30541.0	89378.0	44917.0	31730.0	5667.0	4060.0	147.0
Карачаевцы	128365.0	503.0	22912.0	6491.0	18477.0	7464.0	42681.0	15603.0	11533.0	2698.0	2049.0	3.0
Черкесы	38583.0	122.0	6175.0	1361.0	9682.0	3926.0	9578.0	4353.0	2856.0	529.0	455.0	1.0
Русские	123284.0	230.0	16032.0	3264.0	35925.0	13247.0	23506.0	17112.0	12485.0	1427.0	774.0	56.0
Абазины	25352.0	71.0	3479.0	1002.0	6221.0	2438.0	6260.0	3330.0	2222.0	319.0	257.0	10.0
Ногайцы	11635.0	18.0	1616.0	415.0	2631.0	1581.0	2396.0	1703.0	1056.0	219.0	151.0	-
Украинцы	3144.0	10.0	542.0	64.0	951.0	302.0	513.0	378.0	350.0	34.0	18.0	-
Городское население	155587.0	599.0	31462.0	7659.0	42432.0	12909.0	33207.0	17303.0	8545.0	1324.0	861.0	147.0
Карачаевцы	45060.0	323.0	11595.0	3619.0	7535.0	2449.0	12206.0	4567.0	2257.0	506.0	354.0	3.0
Черкесы	12536.0	58.0	2975.0	652.0	3746.0	1054.0	2593.0	1129.0	284.0	44.0	30.0	1.0
Русские	74749.0	140.0	12092.0	2352.0	24836.0	7524.0	13291.0	8974.0	5023.0	461.0	227.0	56.0
Абазины	9344.0	35.0	1938.0	452.0	2750.0	789.0	2057.0	1002.0	278.0	33.0	22.0	10.0
Ногайцы	1758.0	9.0	493.0	140.0	387.0	96.0	423.0	157.0	46.0	7.0	4.0	-
Украинцы	2019.0	4.0	393.0	51.0	659.0	198.0	292.0	221.0	180.0	21.0	10.0	-
Сельское население	192295.0	399.0	22097.0	5495.0	35359.0	17632.0	56171.0	27614.0	23185.0	4343.0	3199.0	-
Карачаевцы	83305.0	180.0	11317.0	2872.0	10942.0	5015.0	30475.0	11036.0	9276.0	2192.0	1695.0	-
Черкесы	26047.0	64.0	3200.0	709.0	5936.0	2872.0	6985.0	3224.0	2572.0	485.0	425.0	-
Русские	48535.0	90.0	3940.0	912.0	11089.0	5723.0	10215.0	8138.0	7462.0	966.0	547.0	-
Абазины	16008.0	36.0	1541.0	550.0	3471.0	1649.0	4203.0	2328.0	1944.0	286.0	235.0	-
Ногайцы	9877.0	9.0	1123.0	275.0	2244.0	1485.0	1973.0	1546.0	1010.0	212.0	147.0	-
Украинцы	1125.0	6.0	149.0	13.0	292.0	104.0	221.0	157.0	170.0	13.0	8.0	-
Республика Северная Осетия – Алания												
Все население	569969.0	1824.0	110870.0	25489.0	146109.0	57341.0	108842.0	71739.0	39808.0	5226.0	3543.0	2721.0
Осетины	352719.0	1212.0	73316.0	17950.0	88251.0	35313.0	67890.0	41690.0	23735.0	2904.0	2013.0	458.0
Русские	140381.0	406.0	26335.0	4827.0	41576.0	15053.0	22715.0	18387.0	10046.0	812.0	376.0	224.0
Ингуши	15232.0	19.0	1093.0	633.0	2021.0	1131.0	5766.0	2747.0	1384.0	427.0	326.0	11.0
Армяне	13740.0	47.0	2902.0	590.0	3744.0	1226.0	2842.0	1613.0	710.0	47.0	22.0	19.0
Кумыки	8755.0	4.0	400.0	120.0	1650.0	1161.0	2224.0	2106.0	952.0	121.0	100.0	17.0
Грузины	8771.0	30.0	1818.0	436.0	2141.0	796.0	1822.0	1048.0	620.0	55.0	37.0	5.0
Городское население	378675.0	1550.0	90776.0	19074.0	103927.0	32501.0	67086.0	41009.0	18447.0	1905.0	1125.0	2400.0
Осетины	222948.0	1002.0	57799.0	12909.0	58977.0	18093.0	40284.0	22680.0	9846.0	1028.0	630.0	330.0
Русские	109575.0	376.0	23705.0	4241.0	33423.0	10724.0	17484.0	13019.0	6070.0	469.0	208.0	64.0
Ингуши	2187.0	1.0	216.0	129.0	348.0	113.0	712.0	413.0	220.0	31.0	25.0	4.0
Армяне	12795.0	45.0	2786.0	561.0	3530.0	1081.0	2627.0	1472.0	635.0	42.0	19.0	16.0
Кумыки	1649.0	3.0	175.0	53.0	450.0	215.0	438.0	225.0	83.0	7.0	7.0	-
Грузины	6637.0	30.0	1611.0	352.0	1739.0	509.0	1340.0	684.0	349.0	22.0	16.0	1.0
Сельское население	191294.0	274.0	20094.0	6415.0	42182.0	24840.0	41756.0	30730.0	21361.0	3321.0	2418.0	321.0
Осетины	129771.0	210.0	15517.0	5041.0	29274.0	17220.0	27606.0	19010.0	13889.0	1876.0	1383.0	128.0
Русские	30806.0	30.0	2630.0	586.0	8153.0	4329.0	5231.0	5368.0	3976.0	343.0	168.0	160.0
Ингуши	13045.0	18.0	877.0	504.0	1673.0	1018.0	5054.0	2334.0	1164.0	396.0	301.0	7.0
Армяне	945.0	2.0	116.0	29.0	214.0	145.0	215.0	141.0	75.0	5.0	3.0	3.0
Кумыки	7106.0	1.0	225.0	67.0	1200.0	946.0	1786.0	1881.0	869.0	114.0	93.0	17.0
Грузины	2134.0	-	207.0	84.0	402.0	287.0	482.0	364.0	271.0	33.0	21.0	4.0
Чеченская Республика												
Все население	741224.0	1724.0	52700.0	19847.0	87954.0	37478.0	282255.0	137813.0	69342.0	40900.0	29333.0	11211.0
Чеченцы	678149.0	1582.0	45911.0	18720.0	72970.0	31623.0	263868.0	127599.0	65267.0	39817.0	28665.0	10792.0
Русские	38989.0	91.0	4717.0	662.0	10642.0	4270.0	10910.0	5486.0	1676.0	339.0	116.0	196.0
Ногайцы	2687.0	-	135.0	34.0	392.0	206.0	618.0	725.0	443.0	120.0	92.0	14.0
Ингуши	2154.0	6.0	382.0	138.0	381.0	126.0	607.0	255.0	127.0	100.0	76.0	32.0
Городское население	248785.0	948.0	26690.0	10995.0	35971.0	12942.0	91911.0	37378.0	17677.0	10157.0	6389.0	4116.0
Чеченцы	233443.0	901.0	24488.0	10512.0	32073.0	11459.0	87712.0	35387.0	17001.0	9924.0	6279.0	3986.0
Русские	10523.0	31.0	1431.0	276.0	2866.0	1116.0	2784.0	1398.0	430.0	121.0	37.0	70.0
Ногайцы	11.0	-	2.0	-	4.0	1.0	3.0	-	1.0	-	-	-
Ингуши	1569.0	5.0	330.0	116.0	281.0	97.0	416.0	171.0	82.0	45.0	34.0	26.0
Сельское население	492439.0	776.0	26010.0	8852.0	51983.0	24536.0	190344.0	100435.0	51665.0	30743.0	22944.0	7095.0
Чеченцы	444706.0	681.0	21423.0	8208.0	40897.0	20164.0	176156.0	92212.0	48266.0	29893.0	22386.0	6806.0
Русские	28466.0	60.0	3286.0	386.0	7776.0	3154.0	8126.0	4088.0	1246.0	218.0	79.0	126.0
Ногайцы	2676.0	-	133.0	34.0	388.0	205.0	615.0	725.0	442.0	120.0	92.0	14.0
Ингуши	585.0	1.0	52.0	22.0	100.0	29.0	191.0	84.0	45.0	55.0	42.0	6.0
Краснодарский край												
Все население	4286102.0	9698.0	613691.0	115503.0	1083380.0	563491.0	863432.0	625143.0	358857.0	42374.0	21209.0	10533.0
Русские	3700019.0	8402.0	535919.0	101729.0	953406.0	496396.0	724442.0	536298.0	308599.0	34487.0	16548.0	341.0
Армяне	220759.0	362.0	24047.0	5312.0	44068.0	23959.0	69299.0	37632.0	14589.0	1476.0	868.0	15.0
Украинцы	126826.0	366.0	21949.0	2348.0	34904.0	16304.0	19232.0	16069.0	14090.0	1549.0	594.0	15.0
Греки	22564.0	58.0	3349.0	697.0	4748.0	2195.0	5400.0	3423.0	2398.0	296.0	163.0	-
Белорусы	25207.0	69.0	4007.0	418.0	6772.0	3312.0	3804.0	3217.0	3209.0	396.0	173.0	3.0
Татары	22577.0	45.0	3407.0	525.0	6431.0	2936.0	4510.0	2855.0	1653.0	204.0	112.0	11.0
Грузины	16869.0	36.0	2975.0	607.0	3892.0	1740.0	4727.0	2207.0	625.0	50.0	30.0	10.0
Немцы	16290.0	20.0	1657.0	352.0	3915.0	2598.0	3323.0	2444.0	1709.0	272.0	149.0	-
Адыгейцы	13183.0	69.0	2671.0	599.0	3525.0	1216.0	3107.0	1401.0	524.0	68.0	48.0	3.0
Азербайджанцы	9299.0	19.0	1147.0	202.0	1803.0	1162.0	2742.0	1663.0	481.0	80.0	54.0	-
Цыгане	7234.0	1.0	36.0	16.0	173.0	243.0	513.0	1454.0	2582.0	2216.0	1644.0	-
Молдаване	6014.0	11.0	442.0	73.0	1294.0	953.0	1206.0	901.0	847.0	139.0	91.0	148.0
Курды	3434.0	-	131.0	37.0	194.0	232.0	948.0	1193.0	581.0	118.0	97.0	-
Шапсуги	2596.0	2.0	398.0	80.0	551.0	260.0	740.0	343.0	205.0	17.0	15.0	-
Турки-месхетинцы	92.0	-	11.0	2.0	11.0	7.0	22.0	16.0	21.0	2.0	2.0	-
Городское население	2331395.0	7428.0	444690.0	84494.0	655165.0	249081.0	465224.0	281894.0	122597.0	11329.0	5055.0	9493.0
Русские	2004582.0	6415.0	387333.0	74562.0	573894.0	217286.0	391127.0	241321.0	103277.0	9040.0	3835.0	327.0
Армяне	123674.0	271.0	17914.0	3750.0	28335.0	12231.0	36363.0	18036.0	6237.0	522.0	270.0	15.0
Украинцы	73289.0	288.0	16484.0	1669.0	22307.0	7771.0	10825.0	7864.0	5560.0	507.0	177.0	14.0
Греки	15432.0	52.0	2612.0	563.0	3432.0	1382.0	3703.0	2190.0	1378.0	120.0	61.0	-
Белорусы	13572.0	48.0	2978.0	289.0	4152.0	1469.0	2033.0	1445.0	1049.0	106.0	53.0	3.0
Татары	12177.0	32.0	2336.0	346.0	3732.0	1328.0	2412.0	1323.0	607.0	50.0	29.0	11.0
Грузины	11389.0	32.0	2380.0	472.0	2794.0	1035.0	3066.0	1243.0	333.0	24.0	11.0	10.0
Немцы	6718.0	15.0	994.0	222.0	1865.0	879.0	1319.0	824.0	539.0	61.0	33.0	-
Адыгейцы	9771.0	64.0	2267.0	508.0	2646.0	842.0	2183.0	987.0	253.0	19.0	11.0	2.0
Азербайджанцы	4591.0	13.0	771.0	131.0	1044.0	465.0	1405.0	598.0	142.0	22.0	10.0	-
Цыгане	2571.0	1.0	25.0	13.0	82.0	89.0	250.0	635.0	924.0	552.0	400.0	-
Молдаване	2906.0	4.0	306.0	50.0	709.0	391.0	595.0	405.0	266.0	32.0	22.0	148.0
Курды	397.0	-	43.0	12.0	47.0	22.0	151.0	80.0	36.0	6.0	5.0	-
Шапсуги	662.0	1.0	147.0	33.0	200.0	54.0	116.0	75.0	35.0	1.0	1.0	-
Турки-месхетинцы	44.0	-	7.0	1.0	1.0	2.0	8.0	8.0	15.0	2.0	2.0	-
Сельское население	1954707.0	2270.0	169001.0	31009.0	428215.0	314410.0	398208.0	343249.0	236260.0	31045.0	16154.0	1040.0
Русские	1695437.0	1987.0	148586.0	27167.0	379512.0	279110.0	333315.0	294977.0	205322.0	25447.0	12713.0	14.0
Армяне	97085.0	91.0	6133.0	1562.0	15733.0	11728.0	32936.0	19596.0	8352.0	954.0	598.0	-
Украинцы	53537.0	78.0	5465.0	679.0	12597.0	8533.0	8407.0	8205.0	8530.0	1042.0	417.0	1.0
Греки	7132.0	6.0	737.0	134.0	1316.0	813.0	1697.0	1233.0	1020.0	176.0	102.0	-
Белорусы	11635.0	21.0	1029.0	129.0	2620.0	1843.0	1771.0	1772.0	2160.0	290.0	120.0	-
Татары	10400.0	13.0	1071.0	179.0	2699.0	1608.0	2098.0	1532.0	1046.0	154.0	83.0	-
Грузины	5480.0	4.0	595.0	135.0	1098.0	705.0	1661.0	964.0	292.0	26.0	19.0	-
Немцы	9572.0	5.0	663.0	130.0	2050.0	1719.0	2004.0	1620.0	1170.0	211.0	116.0	-
Адыгейцы	3412.0	5.0	404.0	91.0	879.0	374.0	924.0	414.0	271.0	49.0	37.0	1.0
Азербайджанцы	4708.0	6.0	376.0	71.0	759.0	697.0	1337.0	1065.0	339.0	58.0	44.0	-
Цыгане	4663.0	-	11.0	3.0	91.0	154.0	263.0	819.0	1658.0	1664.0	1244.0	-
Молдаване	3108.0	7.0	136.0	23.0	585.0	562.0	611.0	496.0	581.0	107.0	69.0	-
Курды	3037.0	-	88.0	25.0	147.0	210.0	797.0	1113.0	545.0	112.0	92.0	-
Шапсуги	1934.0	1.0	251.0	47.0	351.0	206.0	624.0	268.0	170.0	16.0	14.0	-
Турки-месхетинцы	48.0	-	4.0	1.0	10.0	5.0	14.0	8.0	6.0	-	-	-
Ставропольский край												
Все население	2263330.0	4920.0	324575.0	69982.0	563540.0	245884.0	478949.0	338714.0	205994.0	30762.0	16869.0	10.0
Русские	1862611.0	4070.0	275142.0	58696.0	484629.0	210201.0	373473.0	267294.0	168302.0	20797.0	10009.0	7.0
Армяне	119660.0	253.0	15226.0	3689.0	26871.0	11148.0	35973.0	18820.0	7038.0	641.0	366.0	1.0
Украинцы	43958.0	150.0	8352.0	919.0	11907.0	4625.0	6951.0	5518.0	4936.0	600.0	243.0	-
Даргинцы	27332.0	20.0	1048.0	396.0	2200.0	1615.0	7688.0	9704.0	4371.0	290.0	160.0	-
Греки	27628.0	64.0	4082.0	935.0	5472.0	2345.0	7189.0	4760.0	2319.0	462.0	325.0	-
Ногайцы	15451.0	11.0	1188.0	309.0	2920.0	1796.0	3798.0	3458.0	1668.0	303.0	238.0	-
Цыгане	11254.0	1.0	22.0	8.0	96.0	117.0	338.0	986.0	3953.0	5732.0	4275.0	1.0
Карачаевцы	12124.0	61.0	2324.0	840.0	1885.0	580.0	4105.0	1548.0	673.0	108.0	80.0	-
Азербайджанцы	12011.0	22.0	1129.0	281.0	2133.0	1152.0	4249.0	2290.0	685.0	70.0	45.0	-
