5.3. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛУ								
И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все занятое в экономике население		в том числе по положению в занятии					
Женщины	139540.0	124576.0	14964.0	1497.0	12928.0	399.0	140.0	-
Городское население	198719.0	177098.0	21620.0	3309.0	17567.0	516.0	228.0	1.0
Мужчины	98993.0	87576.0	11416.0	2190.0	8818.0	279.0	129.0	1.0
Женщины	99726.0	89522.0	10204.0	1119.0	8749.0	237.0	99.0	-
Сельское население	93185.0	82962.0	10223.0	1372.0	8249.0	470.0	132.0	-
Мужчины	53371.0	47908.0	5463.0	994.0	4070.0	308.0	91.0	-
Женщины	39814.0	35054.0	4760.0	378.0	4179.0	162.0	41.0	-
Республика Калмыкия	98362.0	92030.0	6328.0	1960.0	4130.0	131.0	107.0	4.0
Мужчины	48479.0	44663.0	3814.0	1114.0	2558.0	75.0	67.0	2.0
Женщины	49883.0	47367.0	2514.0	846.0	1572.0	56.0	40.0	2.0
Городское население	47092.0	43659.0	3432.0	1230.0	2088.0	63.0	51.0	1.0
Мужчины	21482.0	19562.0	1920.0	662.0	1192.0	38.0	28.0	-
Женщины	25610.0	24097.0	1512.0	568.0	896.0	25.0	23.0	1.0
Сельское население	51270.0	48371.0	2896.0	730.0	2042.0	68.0	56.0	3.0
Мужчины	26997.0	25101.0	1894.0	452.0	1366.0	37.0	39.0	2.0
Женщины	24273.0	23270.0	1002.0	278.0	676.0	31.0	17.0	1.0
Карачаево-Черкесская Республика	111591.0	104172.0	7419.0	1886.0	4515.0	402.0	616.0	-
Мужчины	57080.0	52687.0	4393.0	1280.0	2543.0	232.0	338.0	-
Женщины	54511.0	51485.0	3026.0	606.0	1972.0	170.0	278.0	-
Городское население	62548.0	57675.0	4873.0	1245.0	2968.0	247.0	413.0	-
Мужчины	30574.0	27835.0	2739.0	826.0	1573.0	138.0	202.0	-
Женщины	31974.0	29840.0	2134.0	419.0	1395.0	109.0	211.0	-
Сельское население	49043.0	46497.0	2546.0	641.0	1547.0	155.0	203.0	-
Мужчины	26506.0	24852.0	1654.0	454.0	970.0	94.0	136.0	-
Женщины	22537.0	21645.0	892.0	187.0	577.0	61.0	67.0	-
Республика Северная Осетия – Алания	213068.0	199656.0	13398.0	3074.0	8965.0	453.0	906.0	14.0
Мужчины	114909.0	106312.0	8588.0	2097.0	5684.0	293.0	514.0	9.0
Женщины	98159.0	93344.0	4810.0	977.0	3281.0	160.0	392.0	5.0
Городское население	160090.0	149227.0	10857.0	2528.0	7354.0	314.0	661.0	6.0
Мужчины	85172.0	78309.0	6859.0	1717.0	4570.0	210.0	362.0	4.0
Женщины	74918.0	70918.0	3998.0	811.0	2784.0	104.0	299.0	2.0
Сельское население	52978.0	50429.0	2541.0	546.0	1611.0	139.0	245.0	8.0
Мужчины	29737.0	28003.0	1729.0	380.0	1114.0	83.0	152.0	5.0
Женщины	23241.0	22426.0	812.0	166.0	497.0	56.0	93.0	3.0
Чеченская Республика	133673.0	124401.0	7998.0	635.0	2928.0	2010.0	2425.0	1274.0
Мужчины	91571.0	85737.0	5042.0	489.0	1805.0	1221.0	1527.0	792.0
Женщины	42102.0	38664.0	2956.0	146.0	1123.0	789.0	898.0	482.0
Городское население	51348.0	46649.0	4085.0	388.0	1429.0	1221.0	1047.0	614.0
Мужчины	33448.0	30576.0	2475.0	296.0	841.0	703.0	635.0	397.0
Женщины	17900.0	16073.0	1610.0	92.0	588.0	518.0	412.0	217.0
Сельское население	82325.0	77752.0	3913.0	247.0	1499.0	789.0	1378.0	660.0
Мужчины	58123.0	55161.0	2567.0	193.0	964.0	518.0	892.0	395.0
Женщины	24202.0	22591.0	1346.0	54.0	535.0	271.0	486.0	265.0
Краснодарский край	2010985.0	1857860.0	153121.0	36717.0	103274.0	8115.0	5015.0	4.0
Мужчины	1064993.0	972885.0	92106.0	24004.0	60509.0	4713.0	2880.0	2.0
Женщины	945992.0	884975.0	61015.0	12713.0	42765.0	3402.0	2135.0	2.0
Городское население	1163627.0	1067460.0	96165.0	26178.0	62203.0	4822.0	2962.0	2.0
Мужчины	602499.0	545881.0	56617.0	17013.0	35236.0	2727.0	1641.0	1.0
Женщины	561128.0	521579.0	39548.0	9165.0	26967.0	2095.0	1321.0	1.0
Сельское население	847358.0	790400.0	56956.0	10539.0	41071.0	3293.0	2053.0	2.0
Мужчины	462494.0	427004.0	35489.0	6991.0	25273.0	1986.0	1239.0	1.0
Женщины	384864.0	363396.0	21467.0	3548.0	15798.0	1307.0	814.0	1.0
Ставропольский край	1026470.0	936223.0	90244.0	19519.0	63383.0	4122.0	3220.0	3.0
Мужчины	546660.0	490498.0	56161.0	13275.0	38738.0	2265.0	1883.0	1.0
Женщины	479810.0	445725.0	34083.0	6244.0	24645.0	1857.0	1337.0	2.0
Городское население	638104.0	573865.0	64237.0	14216.0	44799.0	2969.0	2253.0	2.0
Мужчины	329256.0	290381.0	38874.0	9565.0	26436.0	1597.0	1276.0	1.0
Женщины	308848.0	283484.0	25363.0	4651.0	18363.0	1372.0	977.0	1.0
Сельское население	388366.0	362358.0	26007.0	5303.0	18584.0	1153.0	967.0	1.0
Мужчины	217404.0	200117.0	17287.0	3710.0	12302.0	668.0	607.0	-
Женщины	170962.0	162241.0	8720.0	1593.0	6282.0	485.0	360.0	1.0
Астраханская область	408448.0	380163.0	28223.0	7828.0	17111.0	2150.0	1134.0	62.0
Мужчины	214048.0	198030.0	15991.0	4892.0	9328.0	1146.0	625.0	27.0
Женщины	194400.0	182133.0	12232.0	2936.0	7783.0	1004.0	509.0	35.0
Городское население	304373.0	282574.0	21737.0	6094.0	13084.0	1740.0	819.0	62.0
Мужчины	157926.0	145810.0	12089.0	3814.0	6925.0	901.0	449.0	27.0
Женщины	146447.0	136764.0	9648.0	2280.0	6159.0	839.0	370.0	35.0
Сельское население	104075.0	97589.0	6486.0	1734.0	4027.0	410.0	315.0	-
Мужчины	56122.0	52220.0	3902.0	1078.0	2403.0	245.0	176.0	-
Женщины	47953.0	45369.0	2584.0	656.0	1624.0	165.0	139.0	-
Волгоградская область	1091258.0	1019994.0	71215.0	19084.0	44995.0	4573.0	2563.0	49.0
Мужчины	565550.0	523144.0	42372.0	12667.0	25628.0	2597.0	1480.0	34.0
Женщины	525708.0	496850.0	28843.0	6417.0	19367.0	1976.0	1083.0	15.0
Городское население	892857.0	834621.0	58190.0	16264.0	36658.0	3298.0	1970.0	46.0
Мужчины	454858.0	421250.0	33577.0	10648.0	20041.0	1789.0	1099.0	31.0
Женщины	437999.0	413371.0	24613.0	5616.0	16617.0	1509.0	871.0	15.0
Сельское население	198401.0	185373.0	13025.0	2820.0	8337.0	1275.0	593.0	3.0
Мужчины	110692.0	101894.0	8795.0	2019.0	5587.0	808.0	381.0	3.0
Женщины	87709.0	83479.0	4230.0	801.0	2750.0	467.0	212.0	-
Ростовская область	1711788.0	1593741.0	117890.0	28579.0	78737.0	6018.0	4556.0	157.0
Мужчины	898557.0	825661.0	72819.0	19471.0	47382.0	3365.0	2601.0	77.0
Женщины	813231.0	768080.0	45071.0	9108.0	31355.0	2653.0	1955.0	80.0
Городское население	1244652.0	1163434.0	81103.0	21573.0	51328.0	4853.0	3349.0	115.0
Мужчины	636630.0	587582.0	48992.0	14624.0	29850.0	2660.0	1858.0	56.0
Женщины	608022.0	575852.0	32111.0	6949.0	21478.0	2193.0	1491.0	59.0
Сельское население	467136.0	430307.0	36787.0	7006.0	27409.0	1165.0	1207.0	42.0
Мужчины	261927.0	238079.0	23827.0	4847.0	17532.0	705.0	743.0	21.0
Женщины	205209.0	192228.0	12960.0	2159.0	9877.0	460.0	464.0	21.0
Приволжский федеральный округ	13535645.0	12874223.0	660772.0	193258.0	385443.0	58719.0	23352.0	650.0
Мужчины	6861769.0	6473555.0	387880.0	124958.0	214737.0	35275.0	12910.0	334.0
Женщины	6673876.0	6400668.0	272892.0	68300.0	170706.0	23444.0	10442.0	316.0
Городское население	10234179.0	9690667.0	542957.0	169260.0	323234.0	31663.0	18800.0	555.0
Мужчины	5060482.0	4748949.0	311249.0	108700.0	175021.0	17395.0	10133.0	284.0
Женщины	5173697.0	4941718.0	231708.0	60560.0	148213.0	14268.0	8667.0	271.0
Сельское население	3301466.0	3183556.0	117815.0	23998.0	62209.0	27056.0	4552.0	95.0
Мужчины	1801287.0	1724606.0	76631.0	16258.0	39716.0	17880.0	2777.0	50.0
Женщины	1500179.0	1458950.0	41184.0	7740.0	22493.0	9176.0	1775.0	45.0
Республика Башкортостан	1690870.0	1607380.0	83485.0	26167.0	49056.0	4632.0	3630.0	5.0
Мужчины	875423.0	826179.0	49242.0	16682.0	27803.0	2721.0	2036.0	2.0
Женщины	815447.0	781201.0	34243.0	9485.0	21253.0	1911.0	1594.0	3.0
Городское население	1171273.0	1103810.0	67462.0	22370.0	39298.0	3126.0	2668.0	1.0
Мужчины	587123.0	548120.0	39003.0	14200.0	21641.0	1692.0	1470.0	-
Женщины	584150.0	555690.0	28459.0	8170.0	17657.0	1434.0	1198.0	1.0
Сельское население	519597.0	503570.0	16023.0	3797.0	9758.0	1506.0	962.0	4.0
Мужчины	288300.0	278059.0	10239.0	2482.0	6162.0	1029.0	566.0	2.0
Женщины	231297.0	225511.0	5784.0	1315.0	3596.0	477.0	396.0	2.0
Республика Марий Эл	304391.0	291045.0	13343.0	4130.0	8450.0	545.0	218.0	3.0
Мужчины	149916.0	142590.0	7324.0	2506.0	4381.0	313.0	124.0	2.0
Женщины	154475.0	148455.0	6019.0	1624.0	4069.0	232.0	94.0	1.0
Городское население	210830.0	199499.0	11328.0	3616.0	7199.0	320.0	193.0	3.0
Мужчины	101360.0	95305.0	6053.0	2161.0	3608.0	176.0	108.0	2.0
Женщины	109470.0	104194.0	5275.0	1455.0	3591.0	144.0	85.0	1.0
Сельское население	93561.0	91546.0	2015.0	514.0	1251.0	225.0	25.0	-
Мужчины	48556.0	47285.0	1271.0	345.0	773.0	137.0	16.0	-
Женщины	45005.0	44261.0	744.0	169.0	478.0	88.0	9.0	-
Республика Мордовия	362900.0	343389.0	19509.0	3564.0	9703.0	6068.0	174.0	2.0
Мужчины	180258.0	168875.0	11382.0	2201.0	5031.0	4042.0	108.0	1.0
Женщины	182642.0	174514.0	8127.0	1363.0	4672.0	2026.0	66.0	1.0
Городское население	238166.0	226945.0	11219.0	3016.0	7696.0	399.0	108.0	2.0
Мужчины	112417.0	106599.0	5817.0	1832.0	3692.0	231.0	62.0	1.0
Женщины	125749.0	120346.0	5402.0	1184.0	4004.0	168.0	46.0	1.0
Сельское население	124734.0	116444.0	8290.0	548.0	2007.0	5669.0	66.0	-
Мужчины	67841.0	62276.0	5565.0	369.0	1339.0	3811.0	46.0	-
Женщины	56893.0	54168.0	2725.0	179.0	668.0	1858.0	20.0	-
Республика Татарстан	1706142.0	1622436.0	83695.0	20962.0	43866.0	14609.0	4258.0	11.0
Мужчины	865984.0	815609.0	50370.0	13926.0	24718.0	9402.0	2324.0	5.0
Женщины	840158.0	806827.0	33325.0	7036.0	19148.0	5207.0	1934.0	6.0
Городское население	1316046.0	1250330.0	65705.0	19269.0	38595.0	4469.0	3372.0	11.0
Мужчины	650748.0	612125.0	38618.0	12744.0	21460.0	2631.0	1783.0	5.0
Женщины	665298.0	638205.0	27087.0	6525.0	17135.0	1838.0	1589.0	6.0
Сельское население	390096.0	372106.0	17990.0	1693.0	5271.0	10140.0	886.0	-
Мужчины	215236.0	203484.0	11752.0	1182.0	3258.0	6771.0	541.0	-
Женщины	174860.0	168622.0	6238.0	511.0	2013.0	3369.0	345.0	-
Удмуртская Республика	736097.0	704856.0	31236.0	9947.0	19544.0	787.0	958.0	5.0
Мужчины	364892.0	346135.0	18754.0	6695.0	11100.0	451.0	508.0	3.0
Женщины	371205.0	358721.0	12482.0	3252.0	8444.0	336.0	450.0	2.0
Городское население	535710.0	509519.0	26186.0	8587.0	16183.0	611.0	805.0	5.0
Мужчины	259018.0	243568.0	15447.0	5716.0	8957.0	340.0	434.0	3.0
Женщины	276692.0	265951.0	10739.0	2871.0	7226.0	271.0	371.0	2.0
Сельское население	200387.0	195337.0	5050.0	1360.0	3361.0	176.0	153.0	-
Мужчины	105874.0	102567.0	3307.0	979.0	2143.0	111.0	74.0	-
Женщины	94513.0	92770.0	1743.0	381.0	1218.0	65.0	79.0	-
Чувашская Республика	558062.0	530309.0	27752.0	7026.0	18464.0	1551.0	711.0	1.0
Мужчины	274995.0	259601.0	15393.0	4311.0	9752.0	951.0	379.0	1.0
Женщины	283067.0	270708.0	12359.0	2715.0	8712.0	600.0	332.0	-
Городское население	372164.0	348827.0	23336.0	6369.0	15619.0	786.0	562.0	1.0
Мужчины	174168.0	161668.0	12499.0	3856.0	7912.0	447.0	284.0	1.0
Женщины	197996.0	187159.0	10837.0	2513.0	7707.0	339.0	278.0	-
Сельское население	185898.0	181482.0	4416.0	657.0	2845.0	765.0	149.0	-
Мужчины	100827.0	97933.0	2894.0	455.0	1840.0	504.0	95.0	-
Женщины	85071.0	83549.0	1522.0	202.0	1005.0	261.0	54.0	-
Кировская область	682571.0	649875.0	32694.0	8779.0	20834.0	2580.0	501.0	2.0
Мужчины	340126.0	320732.0	19393.0	5777.0	11680.0	1632.0	304.0	1.0
Женщины	342445.0	329143.0	13301.0	3002.0	9154.0	948.0	197.0	1.0
Городское население	514998.0	487725.0	27271.0	7867.0	18219.0	763.0	422.0	2.0
Мужчины	251117.0	235298.0	15818.0	5119.0	9993.0	456.0	250.0	1.0
Женщины	263881.0	252427.0	11453.0	2748.0	8226.0	307.0	172.0	1.0
Сельское население	167573.0	162150.0	5423.0	912.0	2615.0	1817.0	79.0	-
Мужчины	89009.0	85434.0	3575.0	658.0	1687.0	1176.0	54.0	-
Женщины	78564.0	76716.0	1848.0	254.0	928.0	641.0	25.0	-
Нижегородская область	1618331.0	1552048.0	66270.0	22585.0	36594.0	4827.0	2264.0	13.0
Мужчины	806673.0	767523.0	39146.0	14732.0	20463.0	2708.0	1243.0	4.0
Женщины	811658.0	784525.0	27124.0	7853.0	16131.0	2119.0	1021.0	9.0
Городское население	1335682.0	1276315.0	59357.0	20839.0	32355.0	4235.0	1928.0	10.0
Мужчины	653804.0	619140.0	34662.0	13552.0	17736.0	2339.0	1035.0	2.0
Женщины	681878.0	657175.0	24695.0	7287.0	14619.0	1896.0	893.0	8.0
Сельское население	282649.0	275733.0	6913.0	1746.0	4239.0	592.0	336.0	3.0
Мужчины	152869.0	148383.0	4484.0	1180.0	2727.0	369.0	208.0	2.0
Женщины	129780.0	127350.0	2429.0	566.0	1512.0	223.0	128.0	1.0
Оренбургская область	900962.0	852877.0	48052.0	13693.0	30822.0	2143.0	1394.0	33.0
Мужчины	475507.0	448170.0	27318.0	8475.0	16901.0	1192.0	750.0	19.0
Женщины	425455.0	404707.0	20734.0	5218.0	13921.0	951.0	644.0	14.0
Городское население	561204.0	527432.0	33753.0	10035.0	21198.0	1520.0	1000.0	19.0
Мужчины	284137.0	265968.0	18157.0	6043.0	10818.0	790.0	506.0	12.0
Женщины	277067.0	261464.0	15596.0	3992.0	10380.0	730.0	494.0	7.0
Сельское население	339758.0	325445.0	14299.0	3658.0	9624.0	623.0	394.0	14.0
Мужчины	191370.0	182202.0	9161.0	2432.0	6083.0	402.0	244.0	7.0
Женщины	148388.0	143243.0	5138.0	1226.0	3541.0	221.0	150.0	7.0
Пензенская область	569785.0	537563.0	32172.0	9212.0	20891.0	1531.0	538.0	50.0
Мужчины	285730.0	267328.0	18369.0	5731.0	11534.0	815.0	289.0	33.0
Женщины	284055.0	270235.0	13803.0	3481.0	9357.0	716.0	249.0	17.0
Городское население	414326.0	387512.0	26778.0	7945.0	17273.0	1139.0	421.0	36.0
Мужчины	201755.0	186802.0	14931.0	4899.0	9216.0	602.0	214.0	22.0
Женщины	212571.0	200710.0	11847.0	3046.0	8057.0	537.0	207.0	14.0
Сельское население	155459.0	150051.0	5394.0	1267.0	3618.0	392.0	117.0	14.0
Мужчины	83975.0	80526.0	3438.0	832.0	2318.0	213.0	75.0	11.0
Женщины	71484.0	69525.0	1956.0	435.0	1300.0	179.0	42.0	3.0
Пермская область	1246868.0	1187917.0	58793.0	19443.0	33032.0	3918.0	2400.0	158.0
Мужчины	618117.0	583949.0	34087.0	12253.0	18223.0	2291.0	1320.0	81.0
Женщины	628751.0	603968.0	24706.0	7190.0	14809.0	1627.0	1080.0	77.0
Городское население	988834.0	938218.0	50485.0	17418.0	28598.0	2385.0	2084.0	131.0
Мужчины	482076.0	453000.0	29006.0	10959.0	15592.0	1334.0	1121.0	70.0
Женщины	506758.0	485218.0	21479.0	6459.0	13006.0	1051.0	963.0	61.0
Сельское население	258034.0	249699.0	8308.0	2025.0	4434.0	1533.0	316.0	27.0
Мужчины	136041.0	130949.0	5081.0	1294.0	2631.0	957.0	199.0	11.0
Женщины	121993.0	118750.0	3227.0	731.0	1803.0	576.0	117.0	16.0
Коми–Пермяцкий автономный округ	45588.0	44328.0	1260.0	412.0	729.0	67.0	52.0	-
Мужчины	22706.0	21969.0	737.0	258.0	388.0	60.0	31.0	-
Женщины	22882.0	22359.0	523.0	154.0	341.0	7.0	21.0	-
Городское население	13911.0	13233.0	678.0	204.0	449.0	9.0	16.0	-
Мужчины	6333.0	5975.0	358.0	109.0	235.0	7.0	7.0	-
Женщины	7578.0	7258.0	320.0	95.0	214.0	2.0	9.0	-
Сельское население	31677.0	31095.0	582.0	208.0	280.0	58.0	36.0	-
Мужчины	16373.0	15994.0	379.0	149.0	153.0	53.0	24.0	-
Женщины	15304.0	15101.0	203.0	59.0	127.0	5.0	12.0	-
Самарская область	1497209.0	1421045.0	76083.0	22250.0	43470.0	6976.0	3387.0	81.0
Мужчины	769698.0	725355.0	44302.0	14631.0	23980.0	3786.0	1905.0	41.0
Женщины	727511.0	695690.0	31781.0	7619.0	19490.0	3190.0	1482.0	40.0
Городское население	1263148.0	1195731.0	67346.0	19904.0	38528.0	6020.0	2894.0	71.0
Мужчины	642351.0	603533.0	38783.0	13108.0	20873.0	3188.0	1614.0	35.0
Женщины	620797.0	592198.0	28563.0	6796.0	17655.0	2832.0	1280.0	36.0
Сельское население	234061.0	225314.0	8737.0	2346.0	4942.0	956.0	493.0	10.0
Мужчины	127347.0	121822.0	5519.0	1523.0	3107.0	598.0	291.0	6.0
Женщины	106714.0	103492.0	3218.0	823.0	1835.0	358.0	202.0	4.0
Саратовская область	1073364.0	1013871.0	59249.0	17326.0	34362.0	5462.0	2099.0	244.0
Мужчины	555508.0	519727.0	35658.0	11569.0	19816.0	3106.0	1167.0	123.0
Женщины	517856.0	494144.0	23591.0	5757.0	14546.0	2356.0	932.0	121.0
Городское население	845532.0	797074.0	48230.0	14694.0	28130.0	3725.0	1681.0	228.0
Мужчины	428047.0	399983.0	27948.0	9630.0	15484.0	1939.0	895.0	116.0
Женщины	417485.0	397091.0	20282.0	5064.0	12646.0	1786.0	786.0	112.0
Сельское население	227832.0	216797.0	11019.0	2632.0	6232.0	1737.0	418.0	16.0
Мужчины	127461.0	119744.0	7710.0	1939.0	4332.0	1167.0	272.0	7.0
Женщины	100371.0	97053.0	3309.0	693.0	1900.0	570.0	146.0	9.0
Ульяновская область	588093.0	559612.0	28439.0	8174.0	16355.0	3090.0	820.0	42.0
Мужчины	298942.0	281782.0	17142.0	5469.0	9355.0	1865.0	453.0	18.0
Женщины	289151.0	277830.0	11297.0	2705.0	7000.0	1225.0	367.0	24.0
Городское население	466266.0	441730.0	24501.0	7331.0	14343.0	2165.0	662.0	35.0
Мужчины	232361.0	217840.0	14507.0	4881.0	8039.0	1230.0	357.0	14.0
Женщины	233905.0	223890.0	9994.0	2450.0	6304.0	935.0	305.0	21.0
Сельское население	121827.0	117882.0	3938.0	843.0	2012.0	925.0	158.0	7.0
Мужчины	66581.0	63942.0	2635.0	588.0	1316.0	635.0	96.0	4.0
Женщины	55246.0	53940.0	1303.0	255.0	696.0	290.0	62.0	3.0
Уральский федеральный округ	5667734.0	5415556.0	250807.0	81547.0	144486.0	14983.0	9791.0	1371.0
Мужчины	2914074.0	2765711.0	147664.0	52715.0	81127.0	8346.0	5476.0	699.0
Женщины	2753660.0	2649845.0	103143.0	28832.0	63359.0	6637.0	4315.0	672.0
Городское население	4808520.0	4585365.0	222024.0	73931.0	127042.0	12384.0	8667.0	1131.0
Мужчины	2445067.0	2315062.0	129444.0	47817.0	70069.0	6805.0	4753.0	561.0
Женщины	2363453.0	2270303.0	92580.0	26114.0	56973.0	5579.0	3914.0	570.0
Сельское население	859214.0	830191.0	28783.0	7616.0	17444.0	2599.0	1124.0	240.0
Мужчины	469007.0	450649.0	18220.0	4898.0	11058.0	1541.0	723.0	138.0
Женщины	390207.0	379542.0	10563.0	2718.0	6386.0	1058.0	401.0	102.0
Курганская область	389508.0	368690.0	20710.0	5916.0	13124.0	1122.0	548.0	108.0
Мужчины	199193.0	187108.0	12039.0	3584.0	7478.0	656.0	321.0	46.0
Женщины	190315.0	181582.0	8671.0	2332.0	5646.0	466.0	227.0	62.0
Городское население	250590.0	235442.0	15083.0	4469.0	9669.0	603.0	342.0	65.0
Мужчины	123483.0	115223.0	8238.0	2656.0	5084.0	310.0	188.0	22.0
Женщины	127107.0	120219.0	6845.0	1813.0	4585.0	293.0	154.0	43.0
Сельское население	138918.0	133248.0	5627.0	1447.0	3455.0	519.0	206.0	43.0
Мужчины	75710.0	71885.0	3801.0	928.0	2394.0	346.0	133.0	24.0
Женщины	63208.0	61363.0	1826.0	519.0	1061.0	173.0	73.0	19.0
Свердловская область	2087122.0	1999541.0	87399.0	29486.0	48287.0	5196.0	4430.0	182.0
Мужчины	1057470.0	1004589.0	52786.0	19695.0	27667.0	2946.0	2478.0	95.0
Женщины	1029652.0	994952.0	34613.0	9791.0	20620.0	2250.0	1952.0	87.0
Городское население	1885307.0	1802509.0	82623.0	28064.0	45632.0	4732.0	4195.0	175.0
Мужчины	945457.0	895687.0	49677.0	18750.0	25967.0	2654.0	2306.0	93.0
Женщины	939850.0	906822.0	32946.0	9314.0	19665.0	2078.0	1889.0	82.0
Сельское население	201815.0	197032.0	4776.0	1422.0	2655.0	464.0	235.0	7.0
Мужчины	112013.0	108902.0	3109.0	945.0	1700.0	292.0	172.0	2.0
Женщины	89802.0	88130.0	1667.0	477.0	955.0	172.0	63.0	5.0
Тюменская область	1577805.0	1510976.0	65852.0	20579.0	37311.0	5123.0	2839.0	977.0
Мужчины	833165.0	794462.0	38202.0	13286.0	20575.0	2769.0	1572.0	501.0
Женщины	744640.0	716514.0	27650.0	7293.0	16736.0	2354.0	1267.0	476.0
Городское население	1288852.0	1231946.0	56114.0	18169.0	31555.0	3981.0	2409.0	792.0
Мужчины	676436.0	643652.0	32391.0	11757.0	17171.0	2146.0	1317.0	393.0
Женщины	612416.0	588294.0	23723.0	6412.0	14384.0	1835.0	1092.0	399.0
Сельское население	288953.0	279030.0	9738.0	2410.0	5756.0	1142.0	430.0	185.0
Мужчины	156729.0	150810.0	5811.0	1529.0	3404.0	623.0	255.0	108.0
Женщины	132224.0	128220.0	3927.0	881.0	2352.0	519.0	175.0	77.0
Ханты-Мансийский автономный округ - Югра	755127.0	728181.0	26480.0	8624.0	14793.0	1773.0	1290.0	466.0
Мужчины	405414.0	389801.0	15373.0	5561.0	8167.0	943.0	702.0	240.0
Женщины	349713.0	338380.0	11107.0	3063.0	6626.0	830.0	588.0	226.0
Городское население	693275.0	667393.0	25464.0	8315.0	14250.0	1671.0	1228.0	418.0
Мужчины	370106.0	355068.0	14824.0	5364.0	7897.0	893.0	670.0	214.0
Женщины	323169.0	312325.0	10640.0	2951.0	6353.0	778.0	558.0	204.0
Сельское население	61852.0	60788.0	1016.0	309.0	543.0	102.0	62.0	48.0
Мужчины	35308.0	34733.0	549.0	197.0	270.0	50.0	32.0	26.0
Женщины	26544.0	26055.0	467.0	112.0	273.0	52.0	30.0	22.0
Ямало-Ненецкий автономный округ	274407.0	265861.0	8410.0	2654.0	4788.0	549.0	419.0	136.0
Мужчины	146700.0	141390.0	5240.0	1795.0	2878.0	326.0	241.0	70.0
Женщины	127707.0	124471.0	3170.0	859.0	1910.0	223.0	178.0	66.0
Городское население	235648.0	228619.0	6912.0	2455.0	3817.0	265.0	375.0	117.0
Мужчины	125386.0	121139.0	4190.0	1652.0	2167.0	159.0	212.0	57.0
Женщины	110262.0	107480.0	2722.0	803.0	1650.0	106.0	163.0	60.0
Сельское население	38759.0	37242.0	1498.0	199.0	971.0	284.0	44.0	19.0
Мужчины	21314.0	20251.0	1050.0	143.0	711.0	167.0	29.0	13.0
Женщины	17445.0	16991.0	448.0	56.0	260.0	117.0	15.0	6.0
Челябинская область	1613299.0	1536349.0	76846.0	25566.0	45764.0	3542.0	1974.0	104.0
Мужчины	824246.0	779552.0	44637.0	16150.0	25407.0	1975.0	1105.0	57.0
Женщины	789053.0	756797.0	32209.0	9416.0	20357.0	1567.0	869.0	47.0
Городское население	1383771.0	1315468.0	68204.0	23229.0	40186.0	3068.0	1721.0	99.0
Мужчины	699691.0	660500.0	39138.0	14654.0	21847.0	1695.0	942.0	53.0
Женщины	684080.0	654968.0	29066.0	8575.0	18339.0	1373.0	779.0	46.0
Сельское население	229528.0	220881.0	8642.0	2337.0	5578.0	474.0	253.0	5.0
Мужчины	124555.0	119052.0	5499.0	1496.0	3560.0	280.0	163.0	4.0
Женщины	104973.0	101829.0	3143.0	841.0	2018.0	194.0	90.0	1.0
Сибирский федеральный округ	8321124.0	7864034.0	456383.0	143838.0	270746.0	27619.0	14180.0	707.0
Мужчины	4293065.0	4028907.0	263807.0	89919.0	150371.0	15776.0	7741.0	351.0
Женщины	4028059.0	3835127.0	192576.0	53919.0	120375.0	11843.0	6439.0	356.0
Городское население	6363610.0	5984566.0	378488.0	124097.0	224221.0	19186.0	10984.0	556.0
Мужчины	3226631.0	3011716.0	214632.0	77359.0	121234.0	10146.0	5893.0	283.0
Женщины	3136979.0	2972850.0	163856.0	46738.0	102987.0	9040.0	5091.0	273.0
Сельское население	1957514.0	1879468.0	77895.0	19741.0	46525.0	8433.0	3196.0	151.0
Мужчины	1066434.0	1017191.0	49175.0	12560.0	29137.0	5630.0	1848.0	68.0
Женщины	891080.0	862277.0	28720.0	7181.0	17388.0	2803.0	1348.0	83.0
Республика Алтай	68270.0	63939.0	4331.0	1477.0	2642.0	100.0	112.0	-
Мужчины	33183.0	30607.0	2576.0	869.0	1571.0	63.0	73.0	-
Женщины	35087.0	33332.0	1755.0	608.0	1071.0	37.0	39.0	-
Городское население	21253.0	19819.0	1434.0	600.0	796.0	21.0	17.0	-
Мужчины	9964.0	9115.0	849.0	356.0	468.0	13.0	12.0	-
Женщины	11289.0	10704.0	585.0	244.0	328.0	8.0	5.0	-
Сельское население	47017.0	44120.0	2897.0	877.0	1846.0	79.0	95.0	-
Мужчины	23219.0	21492.0	1727.0	513.0	1103.0	50.0	61.0	-
Женщины	23798.0	22628.0	1170.0	364.0	743.0	29.0	34.0	-
Республика Бурятия	359707.0	338826.0	20794.0	5714.0	12387.0	2211.0	482.0	87.0
Мужчины	184192.0	172311.0	11836.0	3166.0	7040.0	1339.0	291.0	45.0
Женщины	175515.0	166515.0	8958.0	2548.0	5347.0	872.0	191.0	42.0
Городское население	244683.0	229937.0	14678.0	4549.0	8966.0	823.0	340.0	68.0
Мужчины	124829.0	116720.0	8072.0	2520.0	4928.0	426.0	198.0	37.0
Женщины	119854.0	113217.0	6606.0	2029.0	4038.0	397.0	142.0	31.0
