7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	3363.0	577.0	559.0	18.0			2786.0
из них имеют занятых							
1 человека	1404.0	424.0	424.0				980.0
2 человек	1129.0						1129.0
3 человек	3390.0	1717.0	1484.0	230.0	3.0	9.0	1673.0
из них имеют занятых							
1 человека	991.0	534.0	346.0	188.0			457.0
2 человек	1789.0	1041.0	1041.0				748.0
3 человек	312.0						312.0
4 человек	2552.0	1531.0	721.0	730.0	80.0	241.0	1021.0
из них имеют занятых							
1 человека	563.0	372.0	202.0	99.0	71.0	213.0	191.0
2 человек	1426.0	885.0	281.0	604.0			541.0
3 человек	363.0	204.0	204.0				159.0
4 человек	62.0						62.0
5 и более человек	1920.0	1136.0	539.0	357.0	240.0	841.0	784.0
в них членов домохозяйств	11102.0	6670.0	3117.0	2047.0	1506.0		4432.0
из них имеют занятых							
1 человека	370.0	247.0	140.0	55.0	52.0	184.0	123.0
2 человек	739.0	377.0	139.0	119.0	119.0	382.0	362.0
3 человек	406.0	276.0	127.0	119.0	30.0	116.0	130.0
4 человек	195.0	124.0	80.0	27.0	17.0	68.0	71.0
5 и более человек	71.0	33.0	15.0	11.0	7.0	37.0	38.0
в них занятых	385.0	176.0	79.0	58.0	39.0		209.0
Домохозяйства, в которых есть занятые	9820.0	4517.0	2999.0	1222.0	296.0	1000.0	5303.0
в них членов домохозяйств	34282.0	17610.0	10640.0	5274.0	1696.0		16672.0
Домохозяйства, в которых нет занятых	1405.0	444.0	304.0	113.0	27.0	91.0	961.0
в них членов домохозяйств	3924.0	1489.0	931.0	419.0	139.0		2435.0
Вологодская область							
Все домохозяйства	372439.0	129920.0	94546.0	29820.0	5554.0	17904.0	242519.0
в них членов домохозяйств	1122070.0	455970.0	309412.0	119242.0	27316.0		666100.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	145077.0	18818.0	18172.0	646.0			126259.0
из них имеют занятых							
1 человека	50500.0	12764.0	12764.0				37736.0
2 человек	34533.0						34533.0
3 человек	119198.0	51675.0	44702.0	6718.0	255.0	765.0	67523.0
из них имеют занятых							
1 человека	35228.0	17934.0	12260.0	5674.0			17294.0
2 человек	61678.0	29294.0	29294.0				32384.0
3 человек	11239.0						11239.0
4 человек	78790.0	41878.0	22713.0	16926.0	2239.0	6828.0	36912.0
из них имеют занятых							
1 человека	16535.0	10535.0	5363.0	3297.0	1875.0	5625.0	6000.0
2 человек	42591.0	23154.0	10210.0	12944.0			19437.0
3 человек	12793.0	6140.0	6140.0				6653.0
4 человек	2825.0						2825.0
5 и более человек	29374.0	17549.0	8959.0	5530.0	3060.0	10311.0	11825.0
в них членов домохозяйств	159162.0	95797.0	48110.0	30092.0	17595.0		63365.0
из них имеют занятых							
1 человека	5412.0	3530.0	1596.0	920.0	1014.0	3557.0	1882.0
2 человек	11458.0	6658.0	2833.0	2455.0	1370.0	4371.0	4800.0
3 человек	6807.0	4402.0	2573.0	1520.0	309.0	1016.0	2405.0
4 человек	3324.0	1824.0	1414.0	328.0	82.0	278.0	1500.0
5 и более человек	720.0	292.0	215.0	54.0	23.0	88.0	428.0
в них занятых	3741.0	1503.0	1106.0	279.0	118.0		2238.0
Домохозяйства, в которых есть занятые	295643.0	116527.0	84662.0	27192.0	4673.0	14935.0	179116.0
в них членов домохозяйств	943398.0	417581.0	283350.0	110679.0	23552.0		525817.0
Домохозяйства, в которых нет занятых	76796.0	13393.0	9884.0	2628.0	881.0	2969.0	63403.0
в них членов домохозяйств	178672.0	38389.0	26062.0	8563.0	3764.0		140283.0
Калининградская область							
Все домохозяйства	268298.0	122777.0	82214.0	31342.0	9221.0	30128.0	145521.0
в них членов домохозяйств	855783.0	448932.0	274465.0	127004.0	47463.0		406851.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	92016.0	17246.0	16539.0	707.0			74770.0
из них имеют занятых							
1 человека	37297.0	11530.0	11530.0				25767.0
2 человек	21581.0						21581.0
3 человек	86245.0	45384.0	36018.0	8952.0	414.0	1242.0	40861.0
из них имеют занятых							
1 человека	30256.0	18875.0	11421.0	7454.0			11381.0
2 человек	38370.0	20966.0	20966.0				17404.0
3 человек	7335.0						7335.0
4 человек	57784.0	37424.0	19777.0	14019.0	3628.0	11017.0	20360.0
из них имеют занятых							
1 человека	15952.0	12046.0	5176.0	3906.0	2964.0	8892.0	3906.0
2 человек	25695.0	17099.0	8083.0	9016.0			8596.0
3 человек	9579.0	5262.0	5262.0				4317.0
4 человек	1702.0						1702.0
5 и более человек	32253.0	22723.0	9880.0	7664.0	5179.0	17869.0	9530.0
в них членов домохозяйств	181880.0	128592.0	54225.0	42658.0	31709.0		53288.0
из них имеют занятых							
1 человека	6538.0	4954.0	1740.0	1430.0	1784.0	6282.0	1584.0
2 человек	10605.0	7748.0	2990.0	2959.0	1799.0	5900.0	2857.0
3 человек	7526.0	5545.0	2789.0	2137.0	619.0	2103.0	1981.0
4 человек	3417.0	2130.0	1418.0	488.0	224.0	768.0	1287.0
5 и более человек	1403.0	580.0	360.0	129.0	91.0	345.0	823.0
в них занятых	7837.0	3034.0	1858.0	677.0	499.0		4803.0
Домохозяйства, в которых есть занятые	217256.0	106735.0	71735.0	27519.0	7481.0	24290.0	110521.0
в них членов домохозяйств	723203.0	398614.0	245278.0	113735.0	39601.0		324589.0
Домохозяйства, в которых нет занятых	51042.0	16042.0	10479.0	3823.0	1740.0	5838.0	35000.0
в них членов домохозяйств	132580.0	50318.0	29187.0	13269.0	7862.0		82262.0
Ленинградская область							
Все домохозяйства	482941.0	208553.0	140979.0	53840.0	13734.0	44867.0	274388.0
в них членов домохозяйств	1474915.0	749534.0	461297.0	217515.0	70722.0		725381.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	187891.0	29844.0	28786.0	1058.0			158047.0
из них имеют занятых							
1 человека	71061.0	20704.0	20704.0				50357.0
2 человек	42864.0						42864.0
3 человек	150659.0	77472.0	63957.0	13091.0	424.0	1272.0	73187.0
из них имеют занятых							
1 человека	48370.0	28974.0	17788.0	11186.0			19396.0
2 человек	70554.0	41164.0	41164.0				29390.0
3 человек	15450.0						15450.0
4 человек	99835.0	67546.0	34611.0	27878.0	5057.0	15292.0	32289.0
из них имеют занятых							
1 человека	22327.0	17638.0	7145.0	6148.0	4345.0	13035.0	4689.0
2 человек	48542.0	35505.0	15016.0	20489.0			13037.0
3 человек	18737.0	11081.0	11081.0				7656.0
4 человек	4214.0						4214.0
5 и более человек	44556.0	33691.0	13625.0	11813.0	8253.0	28303.0	10865.0
в них членов домохозяйств	247816.0	187246.0	73410.0	64614.0	49222.0		60570.0
из них имеют занятых							
1 человека	7555.0	6357.0	1805.0	1921.0	2631.0	9383.0	1198.0
2 человек	15562.0	12317.0	4064.0	4855.0	3398.0	11029.0	3245.0
3 человек	11462.0	8755.0	4168.0	3567.0	1020.0	3406.0	2707.0
4 человек	5675.0	3820.0	2709.0	807.0	304.0	1044.0	1855.0
5 и более человек	1501.0	749.0	431.0	195.0	123.0	466.0	752.0
в них занятых	8723.0	4308.0	2427.0	1102.0	779.0		4415.0
Домохозяйства, в которых есть занятые	383874.0	187064.0	126075.0	49168.0	11821.0	38363.0	196810.0
в них членов домохозяйств	1236904.0	686278.0	422202.0	202124.0	61952.0		550626.0
Домохозяйства, в которых нет занятых	99067.0	21489.0	14904.0	4672.0	1913.0	6504.0	77578.0
в них членов домохозяйств	238011.0	63256.0	39095.0	15391.0	8770.0		174755.0
Мурманская область							
Все домохозяйства	260842.0	120559.0	85150.0	29475.0	5934.0	18869.0	140283.0
в них членов домохозяйств	768155.0	401458.0	262646.0	111377.0	27435.0		366697.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	98833.0	19438.0	18640.0	798.0			79395.0
из них имеют занятых							
1 человека	43399.0	14340.0	14340.0				29059.0
2 человек	31281.0						31281.0
3 человек	96617.0	55829.0	46120.0	9446.0	263.0	789.0	40788.0
из них имеют занятых							
1 человека	30646.0	20581.0	12162.0	8419.0			10065.0
2 человек	52145.0	31681.0	31681.0				20464.0
3 человек	7312.0						7312.0
4 человек	51262.0	35130.0	16114.0	15829.0	3187.0	9607.0	16132.0
из них имеют занятых							
1 человека	12493.0	9961.0	4028.0	3028.0	2905.0	8715.0	2532.0
2 человек	27998.0	19402.0	7088.0	12314.0			8596.0
3 человек	7522.0	4448.0	4448.0				3074.0
4 человек	1195.0						1195.0
5 и более человек	14130.0	10162.0	4276.0	3402.0	2484.0	8473.0	3968.0
в них членов домохозяйств	75590.0	54575.0	22550.0	18127.0	13898.0		21015.0
из них имеют занятых							
1 человека	2971.0	2438.0	822.0	629.0	987.0	3539.0	533.0
2 человек	5757.0	4131.0	1472.0	1563.0	1096.0	3491.0	1626.0
3 человек	3310.0	2330.0	1221.0	938.0	171.0	578.0	980.0
4 человек	1237.0	736.0	569.0	130.0	37.0	125.0	501.0
5 и более человек	227.0	79.0	57.0	10.0	12.0	53.0	148.0
в них занятых	1299.0	404.0	289.0	52.0	63.0		895.0
Домохозяйства, в которых есть занятые	227493.0	110127.0	77888.0	27031.0	5208.0	16501.0	117366.0
в них членов домохозяйств	688704.0	372856.0	244295.0	104052.0	24509.0		315848.0
Домохозяйства, в которых нет занятых	33349.0	10432.0	7262.0	2444.0	726.0	2368.0	22917.0
в них членов домохозяйств	79451.0	28602.0	18351.0	7325.0	2926.0		50849.0
Новгородская область							
Все домохозяйства	204593.0	68240.0	51965.0	13493.0	2782.0	9123.0	136353.0
в них членов домохозяйств	607441.0	239780.0	171190.0	54330.0	14260.0		367661.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	86056.0	11468.0	10923.0	545.0			74588.0
из них имеют занятых							
1 человека	29237.0	6557.0	6557.0				22680.0
2 человек	17676.0						17676.0
3 человек	63626.0	26209.0	22817.0	3181.0	211.0	633.0	37417.0
из них имеют занятых							
1 человека	19879.0	9933.0	7430.0	2503.0			9946.0
2 человек	30308.0	12749.0	12749.0				17559.0
3 человек	5431.0						5431.0
4 человек	38770.0	20342.0	12659.0	6742.0	941.0	2849.0	18428.0
из них имеют занятых							
1 человека	8997.0	5952.0	3526.0	1652.0	774.0	2322.0	3045.0
2 человек	19619.0	10233.0	5640.0	4593.0			9386.0
3 человек	6240.0	2673.0	2673.0				3567.0
4 человек	1249.0						1249.0
5 и более человек	16141.0	10221.0	5566.0	3025.0	1630.0	5641.0	5920.0
в них членов домохозяйств	89371.0	56849.0	30257.0	16729.0	9863.0		32522.0
из них имеют занятых							
1 человека	3274.0	2392.0	1179.0	664.0	549.0	1945.0	882.0
2 человек	5923.0	3651.0	1832.0	1231.0	588.0	1914.0	2272.0
3 человек	3578.0	2270.0	1405.0	705.0	160.0	527.0	1308.0
4 человек	1614.0	850.0	657.0	145.0	48.0	160.0	764.0
5 и более человек	335.0	152.0	113.0	24.0	15.0	62.0	183.0
в них занятых	1897.0	780.0	580.0	121.0	79.0		1117.0
Домохозяйства, в которых есть занятые	153360.0	57412.0	43761.0	11517.0	2134.0	6930.0	95948.0
в них членов домохозяйств	486053.0	208158.0	149119.0	47767.0	11272.0		277895.0
Домохозяйства, в которых нет занятых	51233.0	10828.0	8204.0	1976.0	648.0	2193.0	40405.0
в них членов домохозяйств	121388.0	31622.0	22071.0	6563.0	2988.0		89766.0
Псковская область							
Все домохозяйства	223570.0	60872.0	47760.0	10817.0	2295.0	7570.0	162698.0
в них членов домохозяйств	657370.0	211394.0	156380.0	43300.0	11714.0		445976.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	95968.0	11055.0	10646.0	409.0			84913.0
из них имеют занятых							
1 человека	30777.0	5942.0	5942.0				24835.0
2 человек	19455.0						19455.0
3 человек	70321.0	23595.0	20686.0	2776.0	133.0	399.0	46726.0
из них имеют занятых							
1 человека	21699.0	9201.0	7114.0	2087.0			12498.0
2 человек	33306.0	10782.0	10782.0				22524.0
3 человек	5816.0						5816.0
4 человек	40421.0	17535.0	11346.0	5327.0	862.0	2655.0	22886.0
из них имеют занятых							
1 человека	9999.0	5567.0	3563.0	1389.0	615.0	1845.0	4432.0
2 человек	19558.0	8001.0	4599.0	3402.0			11557.0
3 человек	6041.0	2195.0	2195.0				3846.0
4 человек	1200.0						1200.0
5 и более человек	16860.0	8687.0	5082.0	2305.0	1300.0	4516.0	8173.0
в них членов домохозяйств	92787.0	48359.0	27646.0	12846.0	7867.0		44428.0
из них имеют занятых							
1 человека	3641.0	2214.0	1246.0	532.0	436.0	1525.0	1427.0
2 человек	5996.0	2942.0	1606.0	893.0	443.0	1446.0	3054.0
3 человек	3403.0	1764.0	1188.0	467.0	109.0	358.0	1639.0
4 человек	1577.0	648.0	505.0	113.0	30.0	109.0	929.0
5 и более человек	360.0	111.0	77.0	24.0	10.0	40.0	249.0
в них занятых	1986.0	570.0	389.0	125.0	56.0		1416.0
Домохозяйства, в которых есть занятые	162828.0	49367.0	38817.0	8907.0	1643.0	5323.0	113461.0
в них членов домохозяйств	512056.0	177440.0	132066.0	36716.0	8658.0		334616.0
Домохозяйства, в которых нет занятых	60742.0	11505.0	8943.0	1910.0	652.0	2247.0	49237.0
в них членов домохозяйств	145314.0	33954.0	24314.0	6584.0	3056.0		111360.0
г. Санкт–Петербург							
Все домохозяйства	1324912.0	534257.0	370273.0	129809.0	34175.0	111783.0	790655.0
в них членов домохозяйств	4139760.0	1943114.0	1237068.0	527738.0	178308.0		2196646.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	487767.0	83504.0	78444.0	5060.0			404263.0
из них имеют занятых							
1 человека	204014.0	58767.0	58767.0				145247.0
2 человек	109857.0						109857.0
3 человек	416763.0	184964.0	149810.0	33537.0	1617.0	4851.0	231799.0
из них имеют занятых							
1 человека	138398.0	79487.0	51086.0	28401.0			58911.0
2 человек	171487.0	85006.0	85006.0				86481.0
3 человек	44945.0						44945.0
4 человек	276502.0	166336.0	96702.0	56914.0	12720.0	38646.0	110166.0
из них имеют занятых							
1 человека	61776.0	48693.0	21790.0	16203.0	10700.0	32100.0	13083.0
2 человек	118350.0	80367.0	43399.0	36968.0			37983.0
3 человек	52902.0	26684.0	26684.0				26218.0
4 человек	13074.0						13074.0
5 и более человек	143880.0	99453.0	45317.0	34298.0	19838.0	68286.0	44427.0
в них членов домохозяйств	807929.0	555870.0	243942.0	189351.0	122577.0		252059.0
из них имеют занятых							
1 человека	20450.0	17436.0	5248.0	5615.0	6573.0	23002.0	3014.0
2 человек	46885.0	36589.0	14588.0	14624.0	7377.0	24090.0	10296.0
3 человек	36594.0	26426.0	14342.0	9450.0	2634.0	8828.0	10168.0
4 человек	18355.0	11127.0	7750.0	2372.0	1005.0	3456.0	7228.0
5 и более человек	5894.0	2904.0	1654.0	723.0	527.0	2099.0	2990.0
в них занятых	32910.0	16325.0	8798.0	3996.0	3531.0		16585.0
Домохозяйства, в которых есть занятые	1042981.0	473486.0	330314.0	114356.0	28816.0	93575.0	569495.0
в них членов домохозяйств	3387158.0	1761325.0	1127646.0	478851.0	154828.0		1625833.0
Домохозяйства, в которых нет занятых	281931.0	60771.0	39959.0	15453.0	5359.0	18208.0	221160.0
в них членов домохозяйств	752602.0	181789.0	109422.0	48887.0	23480.0		570813.0
Южный федеральный округ							
Все домохозяйства	5900296.0	2409685.0	1579109.0	576361.0	254215.0	917531.0	3490611.0
в них членов домохозяйств	21276546.0	10084955.0	5920249.0	2589974.0	1574732.0		11191591.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	1752126.0	287216.0	269619.0	17597.0			1464910.0
из них имеют занятых							
1 человека	612072.0	161501.0	161501.0				450571.0
2 человек	306095.0						306095.0
3 человек	1518514.0	655439.0	526813.0	120700.0	7926.0	23778.0	863075.0
из них имеют занятых							
1 человека	573947.0	297754.0	210182.0	87572.0			276193.0
2 человек	566893.0	223586.0	223586.0				343307.0
3 человек	96991.0						96991.0
4 человек	1352082.0	715011.0	427551.0	225029.0	62431.0	191963.0	637071.0
из них имеют занятых							
1 человека	437730.0	280898.0	163260.0	73285.0	44353.0	133059.0	156832.0
2 человек	532889.0	259621.0	145118.0	114503.0			273268.0
3 человек	149323.0	64681.0	64681.0				84642.0
4 человек	29704.0						29704.0
5 и более человек	1277574.0	752019.0	355126.0	213035.0	183858.0	701790.0	525555.0
в них членов домохозяйств	7808424.0	4684162.0	2090368.0	1292564.0	1301230.0		3124262.0
из них имеют занятых							
1 человека	347372.0	225625.0	107703.0	57274.0	60648.0	222428.0	121747.0
2 человек	349573.0	196739.0	92264.0	65253.0	39222.0	134719.0	152834.0
3 человек	173760.0	104401.0	59814.0	32217.0	12370.0	43681.0	69359.0
4 человек	75235.0	37056.0	24781.0	8303.0	3972.0	14741.0	38179.0
5 и более человек	25638.0	10140.0	5880.0	2429.0	1831.0	7518.0	15498.0
в них занятых	143238.0	55712.0	31750.0	13335.0	10627.0		87526.0
Домохозяйства, в которых есть занятые	4277222.0	1862002.0	1258770.0	440836.0	162396.0	556146.0	2415220.0
в них членов домохозяйств	15965164.0	7799280.0	4804663.0	2005749.0	988868.0		8165884.0
Домохозяйства, в которых нет занятых	1623074.0	547683.0	320339.0	135525.0	91819.0	361385.0	1075391.0
в них членов домохозяйств	5311382.0	2285675.0	1115586.0	584225.0	585864.0		3025707.0
Республика Адыгея							
Все домохозяйства	121543.0	45330.0	31947.0	10072.0	3311.0	11105.0	76213.0
в них членов домохозяйств	410395.0	176270.0	115438.0	43046.0	17786.0		234125.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	39239.0	6327.0	5901.0	426.0			32912.0
из них имеют занятых							
1 человека	13171.0	3105.0	3105.0				10066.0
2 человек	5127.0						5127.0
3 человек	33446.0	13311.0	10793.0	2331.0	187.0	561.0	20135.0
из них имеют занятых							
1 человека	13322.0	6407.0	4941.0	1466.0			6915.0
2 человек	10949.0	3351.0	3351.0				7598.0
3 человек	1610.0						1610.0
4 человек	27716.0	13910.0	8980.0	3884.0	1046.0	3223.0	13806.0
из них имеют занятых							
1 человека	10038.0	6265.0	3973.0	1601.0	691.0	2073.0	3773.0
2 человек	10500.0	4348.0	2887.0	1461.0			6152.0
3 человек	2465.0	890.0	890.0				1575.0
4 человек	378.0						378.0
5 и более человек	21142.0	11782.0	6273.0	3431.0	2078.0	7321.0	9360.0
в них членов домохозяйств	120715.0	68043.0	35337.0	19665.0	13041.0		52672.0
из них имеют занятых							
1 человека	6475.0	4043.0	2098.0	1107.0	838.0	2941.0	2432.0
2 человек	6788.0	3455.0	1889.0	1093.0	473.0	1572.0	3333.0
3 человек	2884.0	1594.0	1007.0	467.0	120.0	420.0	1290.0
4 человек	1023.0	425.0	327.0	73.0	25.0	84.0	598.0
5 и более человек	176.0	79.0	49.0	21.0	9.0	35.0	97.0
в них занятых	911.0	414.0	256.0	109.0	49.0		497.0
Домохозяйства, в которых есть занятые	84906.0	33962.0	24517.0	7289.0	2156.0	7125.0	50944.0
в них членов домохозяйств	306382.0	136767.0	92266.0	32527.0	11974.0		169615.0
Домохозяйства, в которых нет занятых	36637.0	11368.0	7430.0	2783.0	1155.0	3980.0	25269.0
в них членов домохозяйств	104013.0	39503.0	23172.0	10519.0	5812.0		64510.0
Республика Дагестан							
Все домохозяйства	527594.0	205924.0	130826.0	48679.0	26419.0	95654.0	321670.0
в них членов домохозяйств	2517057.0	1097517.0	633166.0	274186.0	190165.0		1419540.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	68554.0	11197.0	10192.0	1005.0			57357.0
из них имеют занятых							
1 человека	20594.0	4914.0	4914.0				15680.0
2 человек	7761.0						7761.0
3 человек	72948.0	23258.0	19081.0	3884.0	293.0	879.0	49690.0
из них имеют занятых							
1 человека	27220.0	10771.0	9339.0	1432.0			16449.0
2 человек	13594.0	2103.0	2103.0				11491.0
3 человек	1874.0						1874.0
4 человек	126116.0	48006.0	34881.0	10632.0	2493.0	7852.0	78110.0
из них имеют занятых							
1 человека	46156.0	22888.0	18046.0	3901.0	941.0	2823.0	23268.0
2 человек	30402.0	6925.0	5306.0	1619.0			23477.0
3 человек	5041.0	1309.0	1309.0				3732.0
4 человек	1180.0						1180.0
5 и более человек	259976.0	123463.0	66672.0	33158.0	23633.0	86923.0	136513.0
в них членов домохозяйств	1656641.0	813325.0	416015.0	217996.0	179314.0		843316.0
из них имеют занятых							
1 человека	81119.0	44343.0	25883.0	10633.0	7827.0	27480.0	36776.0
2 человек	58005.0	24441.0	13248.0	7351.0	3842.0	13202.0	33564.0
3 человек	21297.0	10525.0	6336.0	2843.0	1346.0	4598.0	10772.0
4 человек	9360.0	3684.0	2420.0	857.0	407.0	1461.0	5676.0
5 и более человек	4701.0	1529.0	999.0	339.0	191.0	730.0	3172.0
в них занятых	26109.0	8352.0	5416.0	1838.0	1098.0		17757.0
Домохозяйства, в которых есть занятые	328304.0	133432.0	89903.0	28975.0	14554.0	50294.0	194872.0
в них членов домохозяйств	1633442.0	732719.0	449239.0	174367.0	109113.0		900723.0
Домохозяйства, в которых нет занятых	199290.0	72492.0	40923.0	19704.0	11865.0	45360.0	126798.0
в них членов домохозяйств	883615.0	364798.0	183927.0	99819.0	81052.0		518817.0
Республика Ингушетия							
Все домохозяйства	63979.0	46606.0	15294.0	11111.0	20201.0	89781.0	17373.0
в них членов домохозяйств	462624.0	356303.0	98891.0	78400.0	179012.0		106321.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	2320.0	844.0	684.0	160.0			1476.0
из них имеют занятых							
1 человека	509.0	183.0	183.0				326.0
2 человек	122.0						122.0
3 человек	3752.0	2084.0	1324.0	641.0	119.0	357.0	1668.0
из них имеют занятых							
1 человека	976.0	548.0	429.0	119.0			428.0
2 человек	236.0	65.0	65.0				171.0
3 человек	40.0						40.0
4 человек	5705.0	3594.0	1776.0	1184.0	634.0	2012.0	2111.0
из них имеют занятых							
1 человека	1546.0	1030.0	657.0	268.0	105.0	315.0	516.0
2 человек	419.0	170.0	111.0	59.0			249.0
3 человек	78.0	26.0	26.0				52.0
4 человек	9.0						9.0
5 и более человек	52202.0	40084.0	11510.0	9126.0	19448.0	87412.0	12118.0
в них членов домохозяйств	423908.0	333987.0	86447.0	71421.0	176119.0		89921.0
из них имеют занятых							
1 человека	13864.0	10896.0	3808.0	2372.0	4716.0	20375.0	2968.0
2 человек	5412.0	3996.0	1156.0	975.0	1865.0	7923.0	1416.0
3 человек	1898.0	1460.0	451.0	378.0	631.0	2709.0	438.0
4 человек	687.0	516.0	180.0	128.0	208.0	935.0	171.0
5 и более человек	374.0	254.0	93.0	52.0	109.0	492.0	120.0
в них занятых	2081.0	1378.0	500.0	279.0	599.0		703.0
Домохозяйства, в которых есть занятые	26170.0	19144.0	7159.0	4351.0	7634.0	32749.0	7026.0
в них членов домохозяйств	199744.0	155227.0	48314.0	33927.0	72986.0		44517.0
Домохозяйства, в которых нет занятых	37809.0	27462.0	8135.0	6760.0	12567.0	57032.0	10347.0
в них членов домохозяйств	262880.0	201076.0	50577.0	44473.0	106026.0		61804.0
Кабардино–Балкарская Республика							
Все домохозяйства	204398.0	69305.0	47510.0	15486.0	6309.0	21550.0	135093.0
в них членов домохозяйств	868259.0	324256.0	206207.0	78481.0	39568.0		544003.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	38603.0	6115.0	5717.0	398.0			32488.0
из них имеют занятых							
1 человека	15565.0	3184.0	3184.0				12381.0
2 человек	6611.0						6611.0
3 человек	36194.0	11151.0	9200.0	1810.0	141.0	423.0	25043.0
из них имеют занятых							
1 человека	15073.0	5832.0	4814.0	1018.0			9241.0
2 человек	11182.0	2160.0	2160.0				9022.0
3 человек	2155.0						2155.0
4 человек	53635.0	20522.0	14649.0	4790.0	1083.0	3352.0	33113.0
из них имеют занятых							
1 человека	19092.0	9599.0	7013.0	1968.0	618.0	1854.0	9493.0
2 человек	18892.0	5518.0	4099.0	1419.0			13374.0
3 человек	5536.0	1438.0	1438.0				4098.0
4 человек	1324.0						1324.0
5 и более человек	75966.0	31517.0	17944.0	8488.0	5085.0	17775.0	44449.0
в них членов домохозяйств	467931.0	196485.0	108577.0	53095.0	34813.0		271446.0
из них имеют занятых							
1 человека	23592.0	10868.0	6263.0	2711.0	1894.0	6515.0	12724.0
2 человек	20864.0	8073.0	4652.0	2284.0	1137.0	3749.0	12791.0
3 человек	10053.0	4266.0	2756.0	1108.0	402.0	1368.0	5787.0
4 человек	4912.0	1645.0	1141.0	384.0	120.0	420.0	3267.0
5 и более человек	2287.0	608.0	436.0	121.0	51.0	181.0	1679.0
в них занятых	12346.0	3241.0	2315.0	658.0	268.0		9105.0
Домохозяйства, в которых есть занятые	157138.0	53191.0	37956.0	11013.0	4222.0	14087.0	103947.0
в них членов домохозяйств	689140.0	255347.0	169742.0	58346.0	27259.0		433793.0
Домохозяйства, в которых нет занятых	47260.0	16114.0	9554.0	4473.0	2087.0	7463.0	31146.0
в них членов домохозяйств	179119.0	68909.0	36465.0	20135.0	12309.0		110210.0
Республика Калмыкия							
Все домохозяйства	76833.0	34313.0	23404.0	7871.0	3038.0	10291.0	42520.0
в них членов домохозяйств	276185.0	140394.0	87477.0	35308.0	17609.0		135791.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	20541.0	4611.0	4270.0	341.0			15930.0
из них имеют занятых							
1 человека	7985.0	2137.0	2137.0				5848.0
2 человек	3593.0						3593.0
3 человек	20308.0	8777.0	6992.0	1647.0	138.0	414.0	11531.0
из них имеют занятых							
1 человека	8470.0	4384.0	3550.0	834.0			4086.0
2 человек	6618.0	1718.0	1718.0				4900.0
3 человек	918.0						918.0
4 человек	19005.0	9841.0	6520.0	2621.0	700.0	2158.0	9164.0
из них имеют занятых							
1 человека	7318.0	4836.0	3438.0	1012.0	386.0	1158.0	2482.0
2 человек	7185.0	2487.0	1702.0	785.0			4698.0
3 человек	1279.0	412.0	412.0				867.0
4 человек	190.0						190.0
5 и более человек	16979.0	11084.0	5622.0	3262.0	2200.0	7719.0	5895.0
в них членов домохозяйств	98159.0	65477.0	31881.0	19201.0	14395.0		32682.0
из них имеют занятых							
1 человека	5367.0	4095.0	2128.0	1088.0	879.0	3051.0	1272.0
2 человек	5368.0	2922.0	1549.0	923.0	450.0	1515.0	2446.0
3 человек	2265.0	1339.0	837.0	357.0	145.0	511.0	926.0
4 человек	822.0	384.0	265.0	79.0	40.0	147.0	438.0
5 и более человек	225.0	98.0	63.0	19.0	16.0	57.0	127.0
в них занятых	1207.0	524.0	338.0	97.0	89.0		683.0
Домохозяйства, в которых есть занятые	57603.0	24812.0	17799.0	5097.0	1916.0	6439.0	32791.0
в них членов домохозяйств	216219.0	105866.0	69833.0	24326.0	11707.0		110353.0
Домохозяйства, в которых нет занятых	19230.0	9501.0	5605.0	2774.0	1122.0	3852.0	9729.0
в них членов домохозяйств	59966.0	34528.0	17644.0	10982.0	5902.0		25438.0
Карачаево-Черкесская Республика							
Все домохозяйства	107189.0	42404.0	29000.0	9324.0	4080.0	13895.0	64785.0
в них членов домохозяйств	417039.0	191204.0	119779.0	45949.0	25476.0		225835.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	25710.0	4063.0	3890.0	173.0			21647.0
