1. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе											
20 – 29	155116.0	121844.0	110117.0	485.0	11727.0	211.0	27701.0	4124.0	1660.0	2948.0	350.0	18619.0	5571.0
30 – 39	144912.0	125283.0	116639.0	1117.0	8644.0	409.0	14917.0	44.0	2607.0	1411.0	410.0	10445.0	4712.0
40 – 49	193607.0	167503.0	156641.0	5468.0	10862.0	1401.0	20753.0	8.0	8759.0	578.0	917.0	10491.0	5351.0
50 – 59	130523.0	93245.0	87325.0	18530.0	5920.0	2151.0	32624.0	-	27427.0	187.0	545.0	4465.0	4654.0
60 – 64	62483.0	16452.0	14905.0	12852.0	1547.0	1495.0	41837.0	-	41618.0	12.0	30.0	177.0	4194.0
Из общей численности -													
население в трудоспособном возрасте	668292.0	512495.0	470768.0	18044.0	41727.0	3585.0	131724.0	17620.0	29802.0	7900.0	2424.0	73978.0	24073.0
учащиеся	97710.0	25337.0	20402.0	197.0	4935.0	131.0	67605.0	18705.0	1667.0	5620.0	269.0	41344.0	4768.0
Сельское население  в возрасте  15-64 лет	380181.0	255955.0	229960.0	14167.0	25995.0	3095.0	115996.0	8049.0	48322.0	7070.0	5935.0	46620.0	8230.0
в том числе в возрасте, лет:													
15 – 19	43999.0	9277.0	6142.0	50.0	3135.0	64.0	32210.0	6394.0	1194.0	4297.0	419.0	19906.0	2512.0
20 – 29	75799.0	59912.0	53206.0	218.0	6706.0	116.0	14750.0	1636.0	1073.0	1686.0	818.0	9537.0	1137.0
30 – 39	68129.0	58207.0	53364.0	540.0	4843.0	217.0	9167.0	19.0	1398.0	714.0	979.0	6057.0	755.0
40 – 49	96034.0	80731.0	73956.0	2471.0	6775.0	796.0	14119.0	-	4398.0	276.0	2192.0	7253.0	1184.0
50 – 59	62633.0	41828.0	38011.0	6350.0	3817.0	1200.0	19779.0	-	14421.0	89.0	1490.0	3779.0	1026.0
60 – 64	33587.0	6000.0	5281.0	4538.0	719.0	702.0	25971.0	-	25838.0	8.0	37.0	88.0	1616.0
Из общей численности -													
население в трудоспособном возрасте	325492.0	245067.0	220489.0	6790.0	24578.0	1945.0	75038.0	7523.0	15335.0	4891.0	5838.0	41451.0	5387.0
учащиеся	41220.0	7431.0	5727.0	59.0	1704.0	35.0	31699.0	8049.0	953.0	3992.0	310.0	18395.0	2090.0
Мурманская область													
Городское и сельское  население  в возрасте 15-64 лет	649027.0	478712.0	426181.0	61719.0	52531.0	6747.0	161722.0	13135.0	66289.0	11497.0	750.0	70051.0	8593.0
в том числе в возрасте, лет:													
15 – 19	69804.0	12530.0	6781.0	59.0	5749.0	137.0	54965.0	10894.0	2005.0	8045.0	164.0	33857.0	2309.0
20 – 29	142145.0	118187.0	102393.0	260.0	15794.0	189.0	22326.0	2215.0	1199.0	2177.0	106.0	16629.0	1632.0
30 – 39	134363.0	121250.0	109767.0	1277.0	11483.0	528.0	11968.0	22.0	1683.0	863.0	159.0	9241.0	1145.0
40 – 49	163272.0	146109.0	132893.0	8932.0	13216.0	1321.0	15689.0	4.0	6266.0	326.0	263.0	8830.0	1474.0
50 – 59	100774.0	68647.0	63329.0	40798.0	5318.0	3611.0	31015.0	-	29419.0	73.0	54.0	1469.0	1112.0
60 – 64	38669.0	11989.0	11018.0	10393.0	971.0	961.0	25759.0	-	25717.0	13.0	4.0	25.0	921.0
Из общей численности -													
население в трудоспособном возрасте	575567.0	457050.0	406371.0	43472.0	50679.0	5080.0	111969.0	11945.0	30823.0	7279.0	707.0	61215.0	6548.0
учащиеся	92682.0	31679.0	26233.0	255.0	5446.0	146.0	59343.0	13135.0	1983.0	8038.0	164.0	36023.0	1660.0
Мужчины  в возрасте 15-64 лет	309720.0	241704.0	215447.0	24892.0	26257.0	3468.0	63783.0	7210.0	24432.0	4129.0	340.0	27672.0	4233.0
в том числе в возрасте, лет:													
15 – 19	34294.0	5895.0	3187.0	30.0	2708.0	66.0	27257.0	6347.0	943.0	3807.0	70.0	16090.0	1142.0
20 – 29	72021.0	64401.0	57219.0	128.0	7182.0	88.0	6732.0	854.0	649.0	138.0	38.0	5053.0	888.0
30 – 39	68504.0	64009.0	58015.0	930.0	5994.0	375.0	3900.0	9.0	999.0	39.0	54.0	2799.0	595.0
40 – 49	76992.0	69497.0	62599.0	5420.0	6898.0	900.0	6667.0	-	3662.0	89.0	124.0	2792.0	828.0
50 – 59	43565.0	32598.0	29575.0	13888.0	3023.0	1597.0	10436.0	-	9415.0	44.0	50.0	927.0	531.0
60 – 64	14344.0	5304.0	4852.0	4496.0	452.0	442.0	8791.0	-	8764.0	12.0	4.0	11.0	249.0
Из общей численности -													
население в трудоспособном возрасте	287258.0	236272.0	210564.0	20396.0	25708.0	3017.0	47463.0	6359.0	15338.0	2032.0	317.0	23417.0	3523.0
учащиеся	42841.0	13861.0	11672.0	143.0	2189.0	78.0	28184.0	7210.0	908.0	3744.0	71.0	16251.0	796.0
Женщины в возрасте  15-64 лет	339307.0	237008.0	210734.0	36827.0	26274.0	3279.0	97939.0	5925.0	41857.0	7368.0	410.0	42379.0	4360.0
в том числе в возрасте, лет:													
15 – 19	35510.0	6635.0	3594.0	29.0	3041.0	71.0	27708.0	4547.0	1062.0	4238.0	94.0	17767.0	1167.0
20 – 29	70124.0	53786.0	45174.0	132.0	8612.0	101.0	15594.0	1361.0	550.0	2039.0	68.0	11576.0	744.0
30 – 39	65859.0	57241.0	51752.0	347.0	5489.0	153.0	8068.0	13.0	684.0	824.0	105.0	6442.0	550.0
40 – 49	86280.0	76612.0	70294.0	3512.0	6318.0	421.0	9022.0	4.0	2604.0	237.0	139.0	6038.0	646.0
50 – 59	57209.0	36049.0	33754.0	26910.0	2295.0	2014.0	20579.0	-	20004.0	29.0	4.0	542.0	581.0
60 – 64	24325.0	6685.0	6166.0	5897.0	519.0	519.0	16968.0	-	16953.0	1.0	-	14.0	672.0
Из общей численности -													
население в трудоспособном возрасте	288309.0	220778.0	195807.0	23076.0	24971.0	2063.0	64506.0	5586.0	15485.0	5247.0	390.0	37798.0	3025.0
учащиеся	49841.0	17818.0	14561.0	112.0	3257.0	68.0	31159.0	5925.0	1075.0	4294.0	93.0	19772.0	864.0
Городское население  в возрасте 15-64 лет	604260.0	443819.0	394820.0	57858.0	48999.0	6415.0	152207.0	12557.0	62659.0	10604.0	547.0	65840.0	8234.0
в том числе в возрасте, лет:													
15 – 19	65517.0	11682.0	6250.0	55.0	5432.0	130.0	51616.0	10366.0	1793.0	7449.0	125.0	31883.0	2219.0
20 – 29	130546.0	108213.0	93509.0	241.0	14704.0	186.0	20805.0	2165.0	1097.0	1998.0	70.0	15475.0	1528.0
30 – 39	123940.0	111726.0	101088.0	1152.0	10638.0	487.0	11143.0	22.0	1537.0	791.0	120.0	8673.0	1071.0
40 – 49	152074.0	135981.0	123750.0	8028.0	12231.0	1197.0	14665.0	4.0	5795.0	285.0	181.0	8400.0	1428.0
50 – 59	95304.0	64795.0	59747.0	38501.0	5048.0	3479.0	29418.0	-	27916.0	69.0	47.0	1386.0	1091.0
60 – 64	36879.0	11422.0	10476.0	9881.0	946.0	936.0	24560.0	-	24521.0	12.0	4.0	23.0	897.0
Из общей численности -													
население в трудоспособном возрасте	534650.0	423180.0	375983.0	40496.0	47197.0	4798.0	105211.0	11445.0	28878.0	6712.0	514.0	57662.0	6259.0
учащиеся	87794.0	30148.0	24927.0	241.0	5221.0	140.0	56071.0	12557.0	1814.0	7458.0	128.0	34114.0	1575.0
Сельское население  в возрасте  15-64 лет	44767.0	34893.0	31361.0	3861.0	3532.0	332.0	9515.0	578.0	3630.0	893.0	203.0	4211.0	359.0
в том числе в возрасте, лет:													
15 – 19	4287.0	848.0	531.0	4.0	317.0	7.0	3349.0	528.0	212.0	596.0	39.0	1974.0	90.0
20 – 29	11599.0	9974.0	8884.0	19.0	1090.0	3.0	1521.0	50.0	102.0	179.0	36.0	1154.0	104.0
30 – 39	10423.0	9524.0	8679.0	125.0	845.0	41.0	825.0	-	146.0	72.0	39.0	568.0	74.0
40 – 49	11198.0	10128.0	9143.0	904.0	985.0	124.0	1024.0	-	471.0	41.0	82.0	430.0	46.0
50 – 59	5470.0	3852.0	3582.0	2297.0	270.0	132.0	1597.0	-	1503.0	4.0	7.0	83.0	21.0
60 – 64	1790.0	567.0	542.0	512.0	25.0	25.0	1199.0	-	1196.0	1.0	-	2.0	24.0
Из общей численности -													
население в трудоспособном возрасте	40917.0	33870.0	30388.0	2976.0	3482.0	282.0	6758.0	500.0	1945.0	567.0	193.0	3553.0	289.0
учащиеся	4888.0	1531.0	1306.0	14.0	225.0	6.0	3272.0	578.0	169.0	580.0	36.0	1909.0	85.0
Новгородская область													
Городское и сельское  население  в возрасте 15-64 лет	465950.0	312588.0	283471.0	18578.0	29117.0	2889.0	148224.0	14868.0	66065.0	14053.0	7467.0	45771.0	5138.0
в том числе в возрасте, лет:													
15 – 19	54550.0	10557.0	6552.0	107.0	4005.0	159.0	42168.0	11970.0	2241.0	8689.0	360.0	18908.0	1825.0
20 – 29	91401.0	72770.0	64747.0	410.0	8023.0	228.0	18108.0	2872.0	1491.0	3682.0	880.0	9183.0	523.0
30 – 39	86156.0	74320.0	68697.0	809.0	5623.0	340.0	11395.0	22.0	2297.0	1135.0	1614.0	6327.0	441.0
40 – 49	116816.0	98278.0	91050.0	3203.0	7228.0	691.0	18015.0	4.0	7056.0	407.0	2884.0	7664.0	523.0
50 – 59	75755.0	50315.0	46672.0	8822.0	3643.0	883.0	24882.0	-	19426.0	128.0	1709.0	3619.0	558.0
60 – 64	41272.0	6348.0	5753.0	5227.0	595.0	588.0	33656.0	-	33554.0	12.0	20.0	70.0	1268.0
Из общей численности -													
население в трудоспособном возрасте	398026.0	300400.0	272501.0	9277.0	27899.0	1943.0	94639.0	13299.0	23197.0	9232.0	7370.0	41541.0	2987.0
учащиеся	59607.0	15420.0	11837.0	143.0	3583.0	155.0	42931.0	14868.0	1713.0	8418.0	232.0	17700.0	1256.0
Мужчины  в возрасте 15-64 лет	217687.0	152599.0	137134.0	7810.0	15465.0	1421.0	62826.0	7131.0	26297.0	3991.0	3648.0	21759.0	2262.0
в том числе в возрасте, лет:													
15 – 19	26373.0	5026.0	3139.0	64.0	1887.0	71.0	20356.0	6246.0	1138.0	3676.0	170.0	9126.0	991.0
20 – 29	43726.0	37731.0	33629.0	221.0	4102.0	112.0	5770.0	873.0	799.0	103.0	333.0	3662.0	225.0
30 – 39	41070.0	36069.0	32828.0	379.0	3241.0	199.0	4795.0	12.0	1167.0	54.0	706.0	2856.0	206.0
40 – 49	55451.0	45644.0	41682.0	1645.0	3962.0	411.0	9530.0	-	4003.0	99.0	1403.0	4025.0	277.0
50 – 59	34493.0	24626.0	22631.0	2650.0	1995.0	357.0	9696.0	-	6553.0	55.0	1032.0	2056.0	171.0
60 – 64	16574.0	3503.0	3225.0	2851.0	278.0	271.0	12679.0	-	12637.0	4.0	4.0	34.0	392.0
Из общей численности -													
население в трудоспособном возрасте	194813.0	148886.0	133847.0	4954.0	15039.0	1146.0	44486.0	6092.0	13271.0	1742.0	3606.0	19775.0	1441.0
учащиеся	26393.0	6070.0	4513.0	58.0	1557.0	53.0	19645.0	7131.0	826.0	3525.0	96.0	8067.0	678.0
Женщины в возрасте  15-64 лет	248263.0	159989.0	146337.0	10768.0	13652.0	1468.0	85398.0	7737.0	39768.0	10062.0	3819.0	24012.0	2876.0
в том числе в возрасте, лет:													
15 – 19	28177.0	5531.0	3413.0	43.0	2118.0	88.0	21812.0	5724.0	1103.0	5013.0	190.0	9782.0	834.0
20 – 29	47675.0	35039.0	31118.0	189.0	3921.0	116.0	12338.0	1999.0	692.0	3579.0	547.0	5521.0	298.0
30 – 39	45086.0	38251.0	35869.0	430.0	2382.0	141.0	6600.0	10.0	1130.0	1081.0	908.0	3471.0	235.0
40 – 49	61365.0	52634.0	49368.0	1558.0	3266.0	280.0	8485.0	4.0	3053.0	308.0	1481.0	3639.0	246.0
50 – 59	41262.0	25689.0	24041.0	6172.0	1648.0	526.0	15186.0	-	12873.0	73.0	677.0	1563.0	387.0
60 – 64	24698.0	2845.0	2528.0	2376.0	317.0	317.0	20977.0	-	20917.0	8.0	16.0	36.0	876.0
Из общей численности -													
население в трудоспособном возрасте	203213.0	151514.0	138654.0	4323.0	12860.0	797.0	50153.0	7207.0	9926.0	7490.0	3764.0	21766.0	1546.0
учащиеся	33214.0	9350.0	7324.0	85.0	2026.0	102.0	23286.0	7737.0	887.0	4893.0	136.0	9633.0	578.0
Городское население  в возрасте 15-64 лет	338671.0	237163.0	216927.0	15216.0	20236.0	2274.0	97510.0	12065.0	42080.0	8833.0	2156.0	32376.0	3998.0
в том числе в возрасте, лет:													
15 – 19	40485.0	7806.0	4769.0	71.0	3037.0	105.0	31290.0	9455.0	1378.0	5022.0	206.0	15229.0	1389.0
20 – 29	70344.0	56733.0	50778.0	298.0	5955.0	167.0	13142.0	2584.0	947.0	2657.0	318.0	6636.0	469.0
30 – 39	63213.0	55961.0	52184.0	622.0	3777.0	280.0	6888.0	22.0	1506.0	821.0	443.0	4096.0	364.0
40 – 49	82789.0	72423.0	67901.0	2474.0	4522.0	517.0	9946.0	4.0	4564.0	244.0	767.0	4367.0	420.0
50 – 59	54815.0	38903.0	36423.0	7327.0	2480.0	741.0	15490.0	-	12988.0	78.0	414.0	2010.0	422.0
60 – 64	27025.0	5337.0	4872.0	4424.0	465.0	464.0	20754.0	-	20697.0	11.0	8.0	38.0	934.0
Из общей численности -													
население в трудоспособном возрасте	292487.0	227014.0	207731.0	7405.0	19283.0	1512.0	63027.0	10894.0	15120.0	6089.0	2099.0	28825.0	2446.0
учащиеся	47857.0	13443.0	10200.0	122.0	3243.0	135.0	33552.0	12065.0	1111.0	5041.0	200.0	15135.0	862.0
Сельское население  в возрасте  15-64 лет	127279.0	75425.0	66544.0	3362.0	8881.0	615.0	50714.0	2803.0	23985.0	5220.0	5311.0	13395.0	1140.0
в том числе в возрасте, лет:													
15 – 19	14065.0	2751.0	1783.0	36.0	968.0	54.0	10878.0	2515.0	863.0	3667.0	154.0	3679.0	436.0
20 – 29	21057.0	16037.0	13969.0	112.0	2068.0	61.0	4966.0	288.0	544.0	1025.0	562.0	2547.0	54.0
30 – 39	22943.0	18359.0	16513.0	187.0	1846.0	60.0	4507.0	-	791.0	314.0	1171.0	2231.0	77.0
40 – 49	34027.0	25855.0	23149.0	729.0	2706.0	174.0	8069.0	-	2492.0	163.0	2117.0	3297.0	103.0
50 – 59	20940.0	11412.0	10249.0	1495.0	1163.0	142.0	9392.0	-	6438.0	50.0	1295.0	1609.0	136.0
60 – 64	14247.0	1011.0	881.0	803.0	130.0	124.0	12902.0	-	12857.0	1.0	12.0	32.0	334.0
Из общей численности -													
население в трудоспособном возрасте	105539.0	73386.0	64770.0	1872.0	8616.0	431.0	31612.0	2405.0	8077.0	3143.0	5271.0	12716.0	541.0
учащиеся	11750.0	1977.0	1637.0	21.0	340.0	20.0	9379.0	2803.0	602.0	3377.0	32.0	2565.0	394.0
Псковская область													
Городское и сельское  население  в возрасте 15-64 лет	503044.0	333655.0	298914.0	19106.0	34741.0	3313.0	164783.0	14871.0	72002.0	16280.0	14357.0	47273.0	4606.0
в том числе в возрасте, лет:													
15 – 19	56677.0	10340.0	6647.0	106.0	3693.0	121.0	44756.0	12338.0	2193.0	11906.0	672.0	17647.0	1581.0
20 – 29	94837.0	75186.0	66431.0	366.0	8755.0	222.0	19201.0	2517.0	1780.0	2854.0	1592.0	10458.0	450.0
30 – 39	95773.0	81993.0	74482.0	847.0	7511.0	331.0	13392.0	16.0	2620.0	1009.0	2928.0	6819.0	388.0
40 – 49	124998.0	103762.0	94817.0	3398.0	8945.0	775.0	20799.0	-	6929.0	341.0	5516.0	8013.0	437.0
50 – 59	85751.0	55616.0	50557.0	8981.0	5059.0	1102.0	29550.0	-	21535.0	147.0	3603.0	4265.0	585.0
60 – 64	45008.0	6758.0	5980.0	5408.0	778.0	762.0	37085.0	-	36945.0	23.0	46.0	71.0	1165.0
Из общей численности -													
население в трудоспособном возрасте	429565.0	320908.0	287536.0	9520.0	33372.0	2185.0	106088.0	13669.0	24322.0	10026.0	14235.0	43836.0	2569.0
учащиеся	61842.0	15004.0	12069.0	126.0	2935.0	95.0	45413.0	14871.0	1610.0	11605.0	427.0	16900.0	1425.0
Мужчины  в возрасте 15-64 лет	237756.0	163608.0	145278.0	8564.0	18330.0	1777.0	72126.0	6962.0	29413.0	5787.0	7344.0	22620.0	2022.0
в том числе в возрасте, лет:													
15 – 19	27402.0	4931.0	3165.0	65.0	1766.0	65.0	21712.0	6112.0	1094.0	5473.0	360.0	8673.0	759.0
20 – 29	45986.0	39076.0	34643.0	197.0	4433.0	145.0	6713.0	838.0	1015.0	102.0	665.0	4093.0	197.0
30 – 39	46247.0	39972.0	35923.0	470.0	4049.0	195.0	6104.0	12.0	1479.0	61.0	1411.0	3141.0	171.0
40 – 49	59779.0	48318.0	43497.0	2125.0	4821.0	519.0	11255.0	-	4253.0	90.0	2805.0	4107.0	206.0
50 – 59	39703.0	27595.0	24717.0	2747.0	2878.0	483.0	11892.0	-	7211.0	57.0	2065.0	2559.0	216.0
60 – 64	18639.0	3716.0	3333.0	2960.0	383.0	370.0	14450.0	-	14361.0	4.0	38.0	47.0	473.0
Из общей численности -													
население в трудоспособном возрасте	212796.0	159728.0	141898.0	5604.0	17830.0	1403.0	51866.0	6196.0	14720.0	2787.0	7259.0	20904.0	1202.0
учащиеся	27894.0	6033.0	4741.0	62.0	1292.0	46.0	21182.0	6962.0	689.0	5376.0	202.0	7953.0	679.0
Женщины в возрасте  15-64 лет	265288.0	170047.0	153636.0	10542.0	16411.0	1536.0	92657.0	7909.0	42589.0	10493.0	7013.0	24653.0	2584.0
в том числе в возрасте, лет:													
15 – 19	29275.0	5409.0	3482.0	41.0	1927.0	56.0	23044.0	6226.0	1099.0	6433.0	312.0	8974.0	822.0
20 – 29	48851.0	36110.0	31788.0	169.0	4322.0	77.0	12488.0	1679.0	765.0	2752.0	927.0	6365.0	253.0
30 – 39	49526.0	42021.0	38559.0	377.0	3462.0	136.0	7288.0	4.0	1141.0	948.0	1517.0	3678.0	217.0
40 – 49	65219.0	55444.0	51320.0	1273.0	4124.0	256.0	9544.0	-	2676.0	251.0	2711.0	3906.0	231.0
50 – 59	46048.0	28021.0	25840.0	6234.0	2181.0	619.0	17658.0	-	14324.0	90.0	1538.0	1706.0	369.0
60 – 64	26369.0	3042.0	2647.0	2448.0	395.0	392.0	22635.0	-	22584.0	19.0	8.0	24.0	692.0
Из общей численности -													
население в трудоспособном возрасте	216769.0	161180.0	145638.0	3916.0	15542.0	782.0	54222.0	7473.0	9602.0	7239.0	6976.0	22932.0	1367.0
учащиеся	33948.0	8971.0	7328.0	64.0	1643.0	49.0	24231.0	7909.0	921.0	6229.0	225.0	8947.0	746.0
Городское население  в возрасте 15-64 лет	351646.0	248316.0	226375.0	15398.0	21941.0	2248.0	99857.0	12053.0	41339.0	10058.0	3099.0	33308.0	3473.0
в том числе в возрасте, лет:													
15 – 19	41653.0	7461.0	4789.0	68.0	2672.0	72.0	32980.0	9799.0	1212.0	7145.0	331.0	14493.0	1212.0
20 – 29	71316.0	57835.0	51964.0	250.0	5871.0	146.0	13108.0	2242.0	938.0	1948.0	410.0	7570.0	373.0
30 – 39	67650.0	60192.0	55598.0	631.0	4594.0	212.0	7144.0	12.0	1483.0	662.0	605.0	4382.0	314.0
40 – 49	85753.0	75351.0	70054.0	2595.0	5297.0	565.0	10065.0	-	4292.0	216.0	1068.0	4489.0	337.0
50 – 59	58556.0	41974.0	38946.0	7310.0	3028.0	778.0	16134.0	-	13059.0	80.0	669.0	2326.0	448.0
60 – 64	26718.0	5503.0	5024.0	4544.0	479.0	475.0	20426.0	-	20355.0	7.0	16.0	48.0	789.0
Из общей численности -													
население в трудоспособном возрасте	305424.0	237905.0	216852.0	7385.0	21053.0	1514.0	65492.0	11170.0	14581.0	6333.0	3015.0	30393.0	2027.0
учащиеся	49864.0	13300.0	10715.0	109.0	2585.0	76.0	35482.0	12053.0	1046.0	7126.0	316.0	14941.0	1082.0
Сельское население  в возрасте  15-64 лет	151398.0	85339.0	72539.0	3708.0	12800.0	1065.0	64926.0	2818.0	30663.0	6222.0	11258.0	13965.0	1133.0
в том числе в возрасте, лет:													
15 – 19	15024.0	2879.0	1858.0	38.0	1021.0	49.0	11776.0	2539.0	981.0	4761.0	341.0	3154.0	369.0
20 – 29	23521.0	17351.0	14467.0	116.0	2884.0	76.0	6093.0	275.0	842.0	906.0	1182.0	2888.0	77.0
30 – 39	28123.0	21801.0	18884.0	216.0	2917.0	119.0	6248.0	4.0	1137.0	347.0	2323.0	2437.0	74.0
40 – 49	39245.0	28411.0	24763.0	803.0	3648.0	210.0	10734.0	-	2637.0	125.0	4448.0	3524.0	100.0
50 – 59	27195.0	13642.0	11611.0	1671.0	2031.0	324.0	13416.0	-	8476.0	67.0	2934.0	1939.0	137.0
60 – 64	18290.0	1255.0	956.0	864.0	299.0	287.0	16659.0	-	16590.0	16.0	30.0	23.0	376.0
Из общей численности -													
население в трудоспособном возрасте	124141.0	83003.0	70684.0	2135.0	12319.0	671.0	40596.0	2499.0	9741.0	3693.0	11220.0	13443.0	542.0
учащиеся	11978.0	1704.0	1354.0	17.0	350.0	19.0	9931.0	2818.0	564.0	4479.0	111.0	1959.0	343.0
г. Санкт–Петербург													
Городское население  в возрасте 15-64 лет	3290581.0	2153291.0	1978368.0	136979.0	174923.0	22088.0	859475.0	94280.0	317201.0	49324.0	5263.0	393407.0	277815.0
в том числе в возрасте, лет:													
15 – 19	367043.0	67677.0	39737.0	290.0	27940.0	415.0	254953.0	54209.0	5053.0	27552.0	354.0	167785.0	44413.0
20 – 29	683214.0	480516.0	429938.0	1414.0	50578.0	879.0	150349.0	39304.0	5891.0	11542.0	679.0	92933.0	52349.0
30 – 39	638359.0	513798.0	481730.0	3636.0	32068.0	1542.0	75996.0	733.0	9992.0	7369.0	1062.0	56840.0	48565.0
40 – 49	766223.0	628795.0	592636.0	13532.0	36159.0	4282.0	85315.0	34.0	29808.0	2153.0	1826.0	51494.0	52113.0
50 – 59	578909.0	391537.0	369159.0	64181.0	22378.0	9236.0	139885.0	-	114399.0	684.0	1292.0	23510.0	47487.0
60 – 64	256833.0	70968.0	65168.0	53926.0	5800.0	5734.0	152977.0	-	152058.0	24.0	50.0	845.0	32888.0
Из общей численности -													
население в трудоспособном возрасте	2833114.0	2020432.0	1856623.0	46352.0	163809.0	12576.0	592127.0	93048.0	104874.0	35275.0	5135.0	353795.0	220555.0
учащиеся	451263.0	120958.0	83355.0	785.0	37603.0	564.0	306192.0	94280.0	5103.0	27360.0	398.0	179051.0	24113.0
Мужчины  в возрасте 15-64 лет	1509608.0	1061590.0	978220.0	58555.0	83370.0	10771.0	320909.0	43955.0	109217.0	15626.0	1759.0	150352.0	127109.0
в том числе в возрасте, лет:													
15 – 19	180819.0	33489.0	19618.0	175.0	13871.0	183.0	124897.0	25320.0	2585.0	13350.0	183.0	83459.0	22433.0
20 – 29	334076.0	254999.0	230041.0	770.0	24958.0	459.0	53826.0	18252.0	3244.0	973.0	264.0	31093.0	25251.0
30 – 39	304336.0	260862.0	245757.0	1954.0	15105.0	954.0	19879.0	374.0	5219.0	579.0	258.0	13449.0	23595.0
40 – 49	340259.0	285947.0	269628.0	8484.0	16319.0	2871.0	30191.0	9.0	15709.0	418.0	503.0	13552.0	24121.0
50 – 59	247268.0	186362.0	175970.0	17557.0	10392.0	3645.0	41302.0	-	32068.0	298.0	523.0	8413.0	19604.0
60 – 64	102850.0	39931.0	37206.0	29615.0	2725.0	2659.0	50814.0	-	50392.0	8.0	28.0	386.0	12105.0
Из общей численности -													
население в трудоспособном возрасте	1372569.0	1020458.0	940638.0	28931.0	79820.0	8091.0	242593.0	43279.0	58182.0	8706.0	1718.0	130708.0	109518.0
учащиеся	216319.0	57419.0	38654.0	398.0	18765.0	250.0	147158.0	43955.0	2653.0	12910.0	200.0	87440.0	11742.0
Женщины в возрасте  15-64 лет	1780973.0	1091701.0	1000148.0	78424.0	91553.0	11317.0	538566.0	50325.0	207984.0	33698.0	3504.0	243055.0	150706.0
в том числе в возрасте, лет:													
15 – 19	186224.0	34188.0	20119.0	115.0	14069.0	232.0	130056.0	28889.0	2468.0	14202.0	171.0	84326.0	21980.0
20 – 29	349138.0	225517.0	199897.0	644.0	25620.0	420.0	96523.0	21052.0	2647.0	10569.0	415.0	61840.0	27098.0
30 – 39	334023.0	252936.0	235973.0	1682.0	16963.0	588.0	56117.0	359.0	4773.0	6790.0	804.0	43391.0	24970.0
40 – 49	425964.0	342848.0	323008.0	5048.0	19840.0	1411.0	55124.0	25.0	14099.0	1735.0	1323.0	37942.0	27992.0
50 – 59	331641.0	205175.0	193189.0	46624.0	11986.0	5591.0	98583.0	-	82331.0	386.0	769.0	15097.0	27883.0
60 – 64	153983.0	31037.0	27962.0	24311.0	3075.0	3075.0	102163.0	-	101666.0	16.0	22.0	459.0	20783.0
Из общей численности -													
население в трудоспособном возрасте	1460545.0	999974.0	915985.0	17421.0	83989.0	4485.0	349534.0	49769.0	46692.0	26569.0	3417.0	223087.0	111037.0
учащиеся	234944.0	63539.0	44701.0	387.0	18838.0	314.0	159034.0	50325.0	2450.0	14450.0	198.0	91611.0	12371.0
Южный федеральный округ													
Городское и сельское  население  в возрасте 15-64 лет	14736077.0	9163495.0	7469671.0	363962.0	1693824.0	128806.0	5525111.0	476766.0	1926333.0	570159.0	616540.0	1935313.0	47471.0
в том числе в возрасте, лет:													
15 – 19	1970968.0	359401.0	145291.0	1064.0	214110.0	3813.0	1599710.0	327417.0	49670.0	433413.0	37454.0	751756.0	11857.0
20 – 29	3247258.0	2289767.0	1748318.0	5988.0	541449.0	7975.0	947637.0	148256.0	49939.0	85018.0	142245.0	522179.0	9854.0
30 – 39	2952293.0	2369721.0	1966879.0	13844.0	402842.0	14280.0	575226.0	1025.0	79897.0	35298.0	172297.0	286709.0	7346.0
40 – 49	3290143.0	2638394.0	2282198.0	48584.0	356196.0	26223.0	644219.0	68.0	183139.0	12491.0	184069.0	264452.0	7530.0
50 – 59	2047643.0	1303013.0	1158797.0	161134.0	144216.0	42947.0	739067.0	-	550185.0	3528.0	78152.0	107202.0	5563.0
60 – 64	1227772.0	203199.0	168188.0	133348.0	35011.0	33568.0	1019252.0	-	1013503.0	411.0	2323.0	3015.0	5321.0
Из общей численности -													
население в трудоспособном возрасте	12708061.0	8810449.0	7181555.0	154709.0	1628894.0	79839.0	3860221.0	456225.0	636159.0	348142.0	610612.0	1809083.0	37391.0
учащиеся	2093624.0	406054.0	255976.0	1630.0	150078.0	2476.0	1678286.0	476753.0	35283.0	414894.0	17435.0	733921.0	9284.0
Мужчины  в возрасте 15-64 лет	6934750.0	4713486.0	3872248.0	165325.0	841238.0	62361.0	2200125.0	225851.0	736417.0	215843.0	259494.0	762520.0	21139.0
в том числе в возрасте, лет:													
15 – 19	956896.0	175393.0	71018.0	706.0	104375.0	2144.0	775634.0	157274.0	27469.0	206747.0	17863.0	366281.0	5869.0
20 – 29	1564402.0	1218644.0	948989.0	3672.0	269655.0	4811.0	341399.0	68065.0	28238.0	3482.0	56576.0	185038.0	4359.0
30 – 39	1426041.0	1224526.0	1026636.0	7686.0	197890.0	7528.0	198300.0	481.0	42532.0	2135.0	70236.0	82916.0	3215.0
