1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
с 1989-1991 года	555.0	90.0	450.0	14.0	1.0	16.2162162162	81.0810810811	2.52252252252
с 1988 года и ранее	4981.0	55.0	4164.0	761.0	1.0	1.10419594459	83.5976711504	15.2780566151
год не указан	28.0	4.0	23.0	1.0	-	14.2857142857	82.1428571429	3.57142857143
не указавшие непрерывность проживания в месте постоянного жительства	372.0	90.0	256.0	21.0	5.0	24.1935483871	68.8172043011	5.64516129032
Женщины, проживающие непрерывно в месте постоянного жительства	20805.0	4992.0	12430.0	3374.0	9.0	23.9942321557	59.7452535448	16.2172554674
с рождения	11030.0	4174.0	5749.0	1106.0	1.0	37.8422484134	52.121486854	10.0271985494
не с рождения	9413.0	756.0	6462.0	2195.0	-	8.03144587273	68.6497397217	23.3188144056
в том числе:								
с 1992-2002 года	2646.0	592.0	1902.0	152.0	-	22.373393802	71.8820861678	5.74452003023
с 1989-1991 года	574.0	112.0	437.0	25.0	-	19.512195122	76.1324041812	4.35540069686
с 1988 года и ранее	6173.0	47.0	4113.0	2013.0	-	0.761380204115	66.6288676494	32.6097521464
год не указан	20.0	5.0	10.0	5.0	-	25.0	50.0	25.0
не указавшие непрерывность проживания в месте постоянного жительства	362.0	62.0	219.0	73.0	8.0	17.1270718232	60.4972375691	20.1657458564
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	25763.0	6023.0	17031.0	2689.0	20.0	23.3784885301	66.1064317044	10.4374490548
с рождения	12528.0	4816.0	7113.0	594.0	5.0	38.441890166	56.7768199234	4.74137931034
не с рождения	12533.0	1057.0	9472.0	2002.0	2.0	8.43373493976	75.5764780978	15.9738290912
в том числе:								
с 1992-2002 года	3963.0	848.0	2966.0	149.0	-	21.3979308605	74.8422911935	3.759777946
с 1989-1991 года	755.0	129.0	594.0	31.0	1.0	17.0860927152	78.6754966887	4.1059602649
с 1988 года и ранее	7772.0	73.0	5880.0	1818.0	1.0	0.939269171384	75.6562017499	23.3916623778
год не указан	43.0	7.0	32.0	4.0	-	16.2790697674	74.4186046512	9.3023255814
не указавшие непрерывность проживания в месте постоянного жительства	702.0	150.0	446.0	93.0	13.0	21.3675213675	63.5327635328	13.2478632479
Мужчины, проживающие непрерывно в месте постоянного жительства	12371.0	3095.0	8541.0	724.0	11.0	25.018187697	69.0404979387	5.8523967343
с рождения	5953.0	2468.0	3327.0	154.0	4.0	41.4580883588	55.8877876701	2.58693095918
не с рождения	6071.0	539.0	4980.0	550.0	2.0	8.8782737605	82.0293197167	9.05946302092
в том числе:								
с 1992-2002 года	2079.0	438.0	1610.0	31.0	-	21.0678210678	77.4410774411	1.4911014911
с 1989-1991 года	389.0	56.0	322.0	10.0	1.0	14.3958868895	82.7763496144	2.5706940874
с 1988 года и ранее	3578.0	42.0	3026.0	509.0	1.0	1.17384013415	84.5723868083	14.225824483
год не указан	25.0	3.0	22.0	-	-	12.0	88.0	-
не указавшие непрерывность проживания в месте постоянного жительства	347.0	88.0	234.0	20.0	5.0	25.3602305476	67.4351585014	5.76368876081
Женщины, проживающие непрерывно в месте постоянного жительства	13392.0	2928.0	8490.0	1965.0	9.0	21.8637992832	63.3960573477	14.6729390681
с рождения	6575.0	2348.0	3786.0	440.0	1.0	35.711026616	57.5817490494	6.69201520913
не с рождения	6462.0	518.0	4492.0	1452.0	-	8.01609408852	69.5140823275	22.469823584
в том числе:								
с 1992-2002 года	1884.0	410.0	1356.0	118.0	-	21.7622080679	71.974522293	6.26326963907
с 1989-1991 года	366.0	73.0	272.0	21.0	-	19.9453551913	74.3169398907	5.73770491803
с 1988 года и ранее	4194.0	31.0	2854.0	1309.0	-	0.739151168336	68.049594659	31.2112541726
год не указан	18.0	4.0	10.0	4.0	-	22.2222222222	55.5555555556	22.2222222222
не указавшие непрерывность проживания в месте постоянного жительства	355.0	62.0	212.0	73.0	8.0	17.4647887324	59.7183098592	20.5633802817
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	15104.0	4304.0	8777.0	2023.0	-	28.4957627119	58.110434322	13.3938029661
с рождения	9909.0	3843.0	5057.0	1009.0	-	38.782924614	51.0344131598	10.1826622263
не с рождения	5163.0	459.0	3691.0	1013.0	-	8.89018012783	71.4894441216	19.6203757505
в том числе:								
с 1992-2002 года	1402.0	355.0	1000.0	47.0	-	25.3209700428	71.3266761769	3.35235378031
с 1989-1991 года	374.0	73.0	293.0	8.0	-	19.5187165775	78.3422459893	2.13903743316
с 1988 года и ранее	3382.0	29.0	2397.0	956.0	-	0.857480780603	70.8752217623	28.2672974571
год не указан	5.0	2.0	1.0	2.0	-	40.0	20.0	40.0
не указавшие непрерывность проживания в месте постоянного жительства	32.0	2.0	29.0	1.0	-	6.25	90.625	3.125
Мужчины, проживающие непрерывно в месте постоянного жительства	7691.0	2240.0	4837.0	614.0	-	29.1249512417	62.8916915876	7.98335717072
с рождения	5454.0	2017.0	3094.0	343.0	-	36.9820315365	56.729006234	6.28896222956
не с рождения	2212.0	221.0	1721.0	270.0	-	9.99095840868	77.8028933092	12.2061482821
в том числе:								
с 1992-2002 года	640.0	173.0	454.0	13.0	-	27.03125	70.9375	2.03125
с 1989-1991 года	166.0	34.0	128.0	4.0	-	20.4819277108	77.1084337349	2.40963855422
с 1988 года и ранее	1403.0	13.0	1138.0	252.0	-	0.926585887384	81.1119030649	17.9615110478
год не указан	3.0	1.0	1.0	1.0	-	33.3333333333	33.3333333333	33.3333333333
не указавшие непрерывность проживания в месте постоянного жительства	25.0	2.0	22.0	1.0	-	8.0	88.0	4.0
Женщины, проживающие непрерывно в месте постоянного жительства	7413.0	2064.0	3940.0	1409.0	-	27.8429785512	53.1498718468	19.0071496021
с рождения	4455.0	1826.0	1963.0	666.0	-	40.987654321	44.0628507295	14.9494949495
не с рождения	2951.0	238.0	1970.0	743.0	-	8.06506269061	66.7570315147	25.1779057946
в том числе:								
с 1992-2002 года	762.0	182.0	546.0	34.0	-	23.8845144357	71.6535433071	4.46194225722
с 1989-1991 года	208.0	39.0	165.0	4.0	-	18.75	79.3269230769	1.92307692308
с 1988 года и ранее	1979.0	16.0	1259.0	704.0	-	0.808489135927	63.6179888833	35.5735219808
год не указан	2.0	1.0	-	1.0	-	50.0	-	50.0
не указавшие непрерывность проживания в месте постоянного жительства	7.0	-	7.0	-	-	-	100.0	-
Вологодская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1246948.0	225531.0	751792.0	267334.0	2291.0	18.0866403411	60.2905654446	21.4390656226
с рождения	692887.0	196366.0	387426.0	108811.0	284.0	28.3402632753	55.9147451172	15.7040036831
не с рождения	542938.0	27564.0	358359.0	156900.0	115.0	5.07682276798	66.0036689272	28.8983272492
в том числе:								
с 1992-2002 года	155135.0	22548.0	113764.0	18799.0	24.0	14.5344377478	73.3322590002	12.1178328553
с 1989-1991 года	34769.0	3195.0	26903.0	4671.0	-	9.18922028244	77.3763985159	13.4343812016
с 1988 года и ранее	350226.0	1337.0	216030.0	132768.0	91.0	0.381753496314	61.6830275308	37.9092357506
год не указан	2808.0	484.0	1662.0	662.0	-	17.2364672365	59.188034188	23.5754985755
не указавшие непрерывность проживания в месте постоянного жительства	11123.0	1601.0	6007.0	1623.0	1892.0	14.3935988492	54.0052144206	14.5913872157
Мужчины, проживающие непрерывно в месте постоянного жительства	571324.0	115461.0	372952.0	81815.0	1096.0	20.2093733153	65.2785459739	14.3202456049
с рождения	334117.0	100611.0	201073.0	32332.0	101.0	30.1125054996	60.1804158424	9.67684972629
не с рождения	231651.0	14013.0	168663.0	48918.0	57.0	6.04918606006	72.8090964425	21.1171115169
в том числе:								
с 1992-2002 года	71784.0	11499.0	54558.0	5708.0	19.0	16.0188900033	76.0030090271	7.95163267581
с 1989-1991 года	15840.0	1577.0	12684.0	1579.0	-	9.95580808081	80.0757575758	9.96843434343
с 1988 года и ранее	142684.0	731.0	100500.0	41415.0	38.0	0.512320932971	70.4353676656	29.0256791231
год не указан	1343.0	206.0	921.0	216.0	-	15.3387937453	68.5778108712	16.0833953835
не указавшие непрерывность проживания в месте постоянного жительства	5556.0	837.0	3216.0	565.0	938.0	15.0647948164	57.8833693305	10.1691864651
Женщины, проживающие непрерывно в месте постоянного жительства	675624.0	110070.0	378840.0	185519.0	1195.0	16.291605982	56.0726084331	27.4589120576
с рождения	358770.0	95755.0	186353.0	76479.0	183.0	26.6898012654	51.9421913761	21.3169997491
не с рождения	311287.0	13551.0	189696.0	107982.0	58.0	4.35321744885	60.9392618388	34.6888883892
в том числе:								
с 1992-2002 года	83351.0	11049.0	59206.0	13091.0	5.0	13.2559897302	71.0321411861	15.7058703555
с 1989-1991 года	18929.0	1618.0	14219.0	3092.0	-	8.54773099477	75.1175445084	16.3347244968
с 1988 года и ранее	207542.0	606.0	115530.0	91353.0	53.0	0.291989091365	55.665841131	44.0166327779
год не указан	1465.0	278.0	741.0	446.0	-	18.976109215	50.5802047782	30.4436860068
не указавшие непрерывность проживания в месте постоянного жительства	5567.0	764.0	2791.0	1058.0	954.0	13.723729118	50.1347224717	19.004850009
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	858777.0	152352.0	543008.0	161216.0	2201.0	17.7405775888	63.2303846051	18.7727430986
с рождения	462880.0	132811.0	279758.0	50073.0	238.0	28.6923176633	60.4385585897	10.817706533
не с рождения	385187.0	18065.0	257399.0	109623.0	100.0	4.68992982629	66.8244255388	28.4596832188
в том числе:								
с 1992-2002 года	106335.0	14980.0	80848.0	10488.0	19.0	14.0875534866	76.031410166	9.8631682889
с 1989-1991 года	20653.0	1888.0	16490.0	2275.0	-	9.14152907568	79.8431220646	11.0153488597
с 1988 года и ранее	256020.0	850.0	158686.0	96403.0	81.0	0.332005312085	61.9818764159	37.6544801187
год не указан	2179.0	347.0	1375.0	457.0	-	15.9247361175	63.1023405232	20.9729233593
не указавшие непрерывность проживания в месте постоянного жительства	10710.0	1476.0	5851.0	1520.0	1863.0	13.781512605	54.6311858077	14.1923436041
Мужчины, проживающие непрерывно в месте постоянного жительства	388251.0	78047.0	260891.0	48257.0	1056.0	20.1022019261	67.1964785667	12.4293305104
с рождения	221532.0	68040.0	138974.0	14439.0	79.0	30.7133958074	62.7331491613	6.517794269
не с рождения	161366.0	9234.0	118783.0	33293.0	56.0	5.72239505224	73.6109217555	20.6319794752
в том числе:								
с 1992-2002 года	47741.0	7700.0	37288.0	2734.0	19.0	16.1286944136	78.1047736746	5.72673383465
с 1989-1991 года	9309.0	950.0	7753.0	606.0	-	10.2051777849	83.2849930175	6.50982919755
с 1988 года и ранее	103257.0	449.0	72976.0	29795.0	37.0	0.434837347589	70.6741431574	28.8551865733
год не указан	1059.0	135.0	766.0	158.0	-	12.7478753541	72.3323890463	14.9197355996
не указавшие непрерывность проживания в месте постоянного жительства	5353.0	773.0	3134.0	525.0	921.0	14.4405006538	58.5466093779	9.80758453204
Женщины, проживающие непрерывно в месте постоянного жительства	470526.0	74305.0	282117.0	112959.0	1145.0	15.7919009789	59.957791918	24.0069624208
с рождения	241348.0	64771.0	140784.0	35634.0	159.0	26.8371811658	58.3323665413	14.7645723188
не с рождения	223821.0	8831.0	138616.0	76330.0	44.0	3.94556364237	61.9316328673	34.1031449238
в том числе:								
с 1992-2002 года	58594.0	7280.0	43560.0	7754.0	-	12.4244803222	74.3420828071	13.2334368707
с 1989-1991 года	11344.0	938.0	8737.0	1669.0	-	8.26868829337	77.0186882934	14.7126234133
с 1988 года и ранее	152763.0	401.0	85710.0	66608.0	44.0	0.262498118	56.1065179396	43.6021811564
год не указан	1120.0	212.0	609.0	299.0	-	18.9285714286	54.375	26.6964285714
не указавшие непрерывность проживания в месте постоянного жительства	5357.0	703.0	2717.0	995.0	942.0	13.1230166138	50.7186858316	18.5738286354
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	388171.0	73179.0	208784.0	106118.0	90.0	18.8522584119	53.7866043574	27.3379515729
с рождения	230007.0	63555.0	107668.0	58738.0	46.0	27.6317677288	46.8107492381	25.5374836418
не с рождения	157751.0	9499.0	100960.0	47277.0	15.0	6.02151491908	63.9995942973	29.9693821275
в том числе:								
с 1992-2002 года	48800.0	7568.0	32916.0	8311.0	5.0	15.5081967213	67.4508196721	17.0307377049
с 1989-1991 года	14116.0	1307.0	10413.0	2396.0	-	9.25899688297	73.7673561916	16.9736469255
с 1988 года и ранее	94206.0	487.0	57344.0	36365.0	10.0	0.516952211112	60.8708574825	38.6015752712
год не указан	629.0	137.0	287.0	205.0	-	21.7806041335	45.6279809221	32.5914149444
не указавшие непрерывность проживания в месте постоянного жительства	413.0	125.0	156.0	103.0	29.0	30.2663438257	37.7723970944	24.9394673123
Мужчины, проживающие непрерывно в месте постоянного жительства	183073.0	37414.0	112061.0	33558.0	40.0	20.4366564157	61.2111015824	18.3303927941
с рождения	112585.0	32571.0	62099.0	17893.0	22.0	28.9301416707	55.1574366035	15.8928809344
не с рождения	70285.0	4779.0	49880.0	15625.0	1.0	6.7994593441	70.9682008964	22.2309169809
в том числе:								
с 1992-2002 года	24043.0	3799.0	17270.0	2974.0	-	15.8008567982	71.8296385642	12.3695046375
с 1989-1991 года	6531.0	627.0	4931.0	973.0	-	9.60036747818	75.5014546011	14.8981779207
с 1988 года и ранее	39427.0	282.0	27524.0	11620.0	1.0	0.715245897481	69.8100286606	29.472189109
год не указан	284.0	71.0	155.0	58.0	-	25.0	54.5774647887	20.4225352113
не указавшие непрерывность проживания в месте постоянного жительства	203.0	64.0	82.0	40.0	17.0	31.5270935961	40.39408867	19.7044334975
Женщины, проживающие непрерывно в месте постоянного жительства	205098.0	35765.0	96723.0	72560.0	50.0	17.4380052463	47.1594067226	35.3782094413
с рождения	117422.0	30984.0	45569.0	40845.0	24.0	26.3868780978	38.8078894926	34.7847933096
не с рождения	87466.0	4720.0	51080.0	31652.0	14.0	5.39638259438	58.3998353646	36.1877758215
в том числе:								
с 1992-2002 года	24757.0	3769.0	15646.0	5337.0	5.0	15.223977057	63.1982873531	21.5575392818
с 1989-1991 года	7585.0	680.0	5482.0	1423.0	-	8.9650626236	72.274225445	18.7607119314
с 1988 года и ранее	54779.0	205.0	29820.0	24745.0	9.0	0.374231000931	54.4369192574	45.172420088
год не указан	345.0	66.0	132.0	147.0	-	19.1304347826	38.2608695652	42.6086956522
не указавшие непрерывность проживания в месте постоянного жительства	210.0	61.0	74.0	63.0	12.0	29.0476190476	35.2380952381	30.0
Калининградская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	923894.0	161391.0	576934.0	185063.0	506.0	17.4685624108	62.4459082968	20.0307611046
с рождения	384689.0	124781.0	256982.0	2865.0	61.0	32.4368515866	66.802533995	0.744757453423
не с рождения	528534.0	34625.0	313293.0	180565.0	51.0	6.55113956718	59.2758460194	34.1633650815
в том числе:								
с 1992-2002 года	157665.0	28186.0	109114.0	20349.0	16.0	17.8771445787	69.2062283956	12.9064789268
с 1989-1991 года	35586.0	4056.0	28339.0	3191.0	-	11.3977406845	79.6352498173	8.96700949812
с 1988 года и ранее	332788.0	1822.0	174433.0	156498.0	35.0	0.54749570297	52.4156520067	47.0263350842
год не указан	2495.0	561.0	1407.0	527.0	-	22.4849699399	56.3927855711	21.122244489
не указавшие непрерывность проживания в месте постоянного жительства	10671.0	1985.0	6659.0	1633.0	394.0	18.6018180114	62.4027738731	15.303158092
Мужчины, проживающие непрерывно в месте постоянного жительства	428206.0	82562.0	288705.0	56673.0	266.0	19.2809068532	67.4219884822	13.2349850306
с рождения	191638.0	64002.0	127131.0	464.0	41.0	33.3973429069	66.3391394191	0.242123169726
не с рождения	231442.0	17524.0	158215.0	55672.0	31.0	7.57165942223	68.3605395736	24.0544067196
в том числе:								
с 1992-2002 года	75180.0	14284.0	55062.0	5819.0	15.0	18.9997339718	73.2402234637	7.74009044959
с 1989-1991 года	17273.0	2052.0	14266.0	955.0	-	11.879812424	82.5913275054	5.52886007063
с 1988 года и ранее	137797.0	910.0	88128.0	48743.0	16.0	0.660391735669	63.9549482209	35.3730487601
год не указан	1192.0	278.0	759.0	155.0	-	23.322147651	63.6744966443	13.0033557047
не указавшие непрерывность проживания в месте постоянного жительства	5126.0	1036.0	3359.0	537.0	194.0	20.210690597	65.5286773313	10.476004682
Женщины, проживающие непрерывно в месте постоянного жительства	495688.0	78829.0	288229.0	128390.0	240.0	15.9029470151	58.1472619874	25.9013734446
с рождения	193051.0	60779.0	129851.0	2401.0	20.0	31.4833903994	67.2625368426	1.24371280128
не с рождения	297092.0	17101.0	155078.0	124893.0	20.0	5.75612941446	52.1986455374	42.0384931267
в том числе:								
с 1992-2002 года	82485.0	13902.0	54052.0	14530.0	1.0	16.8539734497	65.5294902103	17.6153239983
с 1989-1991 года	18313.0	2004.0	14073.0	2236.0	-	10.9430459237	76.8470485447	12.2099055316
с 1988 года и ранее	194991.0	912.0	86305.0	107755.0	19.0	0.467713894487	44.2610171752	55.2615248909
год не указан	1303.0	283.0	648.0	372.0	-	21.7191097467	49.7313891021	28.5495011512
не указавшие непрерывность проживания в месте постоянного жительства	5545.0	949.0	3300.0	1096.0	200.0	17.1145175834	59.5130748422	19.7655545537
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	715393.0	117043.0	449138.0	148746.0	466.0	16.3606577084	62.7819953508	20.7922079193
с рождения	298624.0	91765.0	204395.0	2409.0	55.0	30.7292782898	68.4456038363	0.806700064295
не с рождения	406765.0	23613.0	238319.0	144789.0	44.0	5.80507172446	58.588865807	35.595245412
в том числе:								
с 1992-2002 года	107752.0	18806.0	75699.0	13234.0	13.0	17.4530403148	70.2529883436	12.2819066003
с 1989-1991 года	26070.0	2984.0	20784.0	2302.0	-	11.446106636	79.7238204833	8.83007288071
с 1988 года и ранее	270866.0	1399.0	140653.0	128783.0	31.0	0.516491549327	51.9271521712	47.5449115061
год не указан	2077.0	424.0	1183.0	470.0	-	20.4140587386	56.9571497352	22.6287915262
не указавшие непрерывность проживания в месте постоянного жительства	10004.0	1665.0	6424.0	1548.0	367.0	16.6433426629	64.2143142743	15.4738104758
Мужчины, проживающие непрерывно в месте постоянного жительства	327694.0	59636.0	222203.0	45611.0	244.0	18.1986853589	67.8080770475	13.9187778842
с рождения	146916.0	46844.0	99647.0	388.0	37.0	31.8848866019	67.8258324485	0.264096490512
не с рождения	175977.0	11937.0	119299.0	44715.0	26.0	6.78327281406	67.792381959	25.4095705689
в том числе:								
с 1992-2002 года	50785.0	9510.0	37717.0	3545.0	13.0	18.7260017722	74.2679925175	6.98040760067
с 1989-1991 года	12626.0	1521.0	10465.0	640.0	-	12.0465705687	82.8845239981	5.06890543323
с 1988 года и ранее	111611.0	712.0	70483.0	40403.0	13.0	0.637929953141	63.1505855158	36.1998369336
год не указан	955.0	194.0	634.0	127.0	-	20.3141361257	66.387434555	13.2984293194
не указавшие непрерывность проживания в месте постоянного жительства	4801.0	855.0	3257.0	508.0	181.0	17.8087898355	67.8400333264	10.5811289315
Женщины, проживающие непрерывно в месте постоянного жительства	387699.0	57407.0	226935.0	103135.0	222.0	14.8071055123	58.5338110235	26.6018225479
с рождения	151708.0	44921.0	104748.0	2021.0	18.0	29.6101721729	69.0457985077	1.33216442112
не с рождения	230788.0	11676.0	119020.0	100074.0	18.0	5.05918851933	51.5711388807	43.3618732343
в том числе:								
с 1992-2002 года	56967.0	9296.0	37982.0	9689.0	-	16.31821932	66.6736882757	17.0080924044
с 1989-1991 года	13444.0	1463.0	10319.0	1662.0	-	10.8821779232	76.7554299316	12.3623921452
с 1988 года и ранее	159255.0	687.0	70170.0	88380.0	18.0	0.431383630027	44.0614109447	55.4959027974
год не указан	1122.0	230.0	549.0	343.0	-	20.4991087344	48.9304812834	30.5704099822
не указавшие непрерывность проживания в месте постоянного жительства	5203.0	810.0	3167.0	1040.0	186.0	15.5679415722	60.8687295791	19.9884681914
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	208501.0	44348.0	127796.0	36317.0	40.0	21.2699219668	61.2927515935	17.4181418794
с рождения	86065.0	33016.0	52587.0	456.0	6.0	38.3617033637	61.1014930576	0.529832103643
не с рождения	121769.0	11012.0	74974.0	35776.0	7.0	9.04335257742	61.5706789084	29.3802199246
в том числе:								
с 1992-2002 года	49913.0	9380.0	33415.0	7115.0	3.0	18.7926992968	66.9464868872	14.2548033578
с 1989-1991 года	9516.0	1072.0	7555.0	889.0	-	11.2652374947	79.3926019336	9.34216057167
с 1988 года и ранее	61922.0	423.0	33780.0	27715.0	4.0	0.683117470366	54.5525015342	44.7579212558
год не указан	418.0	137.0	224.0	57.0	-	32.7751196172	53.5885167464	13.6363636364
не указавшие непрерывность проживания в месте постоянного жительства	667.0	320.0	235.0	85.0	27.0	47.976011994	35.2323838081	12.7436281859
Мужчины, проживающие непрерывно в месте постоянного жительства	100512.0	22926.0	66502.0	11062.0	22.0	22.8092168099	66.1632441897	11.0056510665
с рождения	44722.0	17158.0	27484.0	76.0	4.0	38.3659049238	61.4552121998	0.169938732615
не с рождения	55465.0	5587.0	38916.0	10957.0	5.0	10.073019021	70.1631659605	19.7548003245
в том числе:								
с 1992-2002 года	24395.0	4774.0	17345.0	2274.0	2.0	19.5695839311	71.1006353761	9.32158229145
с 1989-1991 года	4647.0	531.0	3801.0	315.0	-	11.4267269206	81.7947062621	6.7785668173
с 1988 года и ранее	26186.0	198.0	17645.0	8340.0	3.0	0.756129229359	67.3833346063	31.8490796609
год не указан	237.0	84.0	125.0	28.0	-	35.4430379747	52.7426160338	11.8143459916
не указавшие непрерывность проживания в месте постоянного жительства	325.0	181.0	102.0	29.0	13.0	55.6923076923	31.3846153846	8.92307692308
Женщины, проживающие непрерывно в месте постоянного жительства	107989.0	21422.0	61294.0	25255.0	18.0	19.8372056413	56.7594847623	23.386641232
с рождения	41343.0	15858.0	25103.0	380.0	2.0	38.3571584065	60.7188641366	0.919139878577
не с рождения	66304.0	5425.0	36058.0	24819.0	2.0	8.18201013514	54.3828426641	37.4321307915
в том числе:								
с 1992-2002 года	25518.0	4606.0	16070.0	4841.0	1.0	18.0500039188	62.9751547927	18.9709224861
с 1989-1991 года	4869.0	541.0	3754.0	574.0	-	11.1111111111	77.1000205381	11.7888683508
с 1988 года и ранее	35736.0	225.0	16135.0	19375.0	1.0	0.629617192747	45.1505484665	54.2170360421
год не указан	181.0	53.0	99.0	29.0	-	29.2817679558	54.6961325967	16.0220994475
не указавшие непрерывность проживания в месте постоянного жительства	342.0	139.0	133.0	56.0	14.0	40.6432748538	38.8888888889	16.3742690058
Ленинградская область								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1634247.0	261214.0	993784.0	378225.0	1024.0	15.983752762	60.8099020527	23.1436863583
с рождения	617312.0	190943.0	365161.0	61086.0	122.0	30.931360479	59.1533940698	9.89548234928
не с рождения	969883.0	61678.0	599089.0	308900.0	216.0	6.35932375348	61.7692030894	31.8492024296
в том числе:								
с 1992-2002 года	265545.0	46563.0	171245.0	47658.0	79.0	17.5348810936	64.4881281892	17.9472405807
с 1989-1991 года	67171.0	7888.0	48984.0	10287.0	12.0	11.7431629721	72.9243274627	15.3146447127
с 1988 года и ранее	627384.0	4810.0	373574.0	248881.0	119.0	0.76667559262	59.5447126481	39.6696441095
год не указан	9783.0	2417.0	5286.0	2074.0	6.0	24.7061228662	54.0325053665	21.2000408873
не указавшие непрерывность проживания в месте постоянного жительства	47052.0	8593.0	29534.0	8239.0	686.0	18.2627731021	62.7688514835	17.51041401
Мужчины, проживающие непрерывно в месте постоянного жительства	740486.0	133430.0	493142.0	113457.0	457.0	18.019246819	66.5970727333	15.3219642235
с рождения	302545.0	97711.0	186353.0	18434.0	47.0	32.2963526087	61.5951346081	6.09297790411
не с рождения	415450.0	31353.0	291529.0	92459.0	109.0	7.54675652906	70.1718618366	22.2551450235
в том числе:								
с 1992-2002 года	124238.0	23339.0	86958.0	13890.0	51.0	18.7857177353	69.9930778023	11.1801542201
с 1989-1991 года	30943.0	4137.0	23530.0	3275.0	1.0	13.3697443687	76.0430468927	10.5839769899
с 1988 года и ранее	255844.0	2637.0	178416.0	74734.0	57.0	1.0307062116	69.7362455246	29.2107690624
год не указан	4425.0	1240.0	2625.0	560.0	-	28.0225988701	59.3220338983	12.6553672316
не указавшие непрерывность проживания в месте постоянного жительства	22491.0	4366.0	15260.0	2564.0	301.0	19.4122093282	67.849361967	11.4001156018
Женщины, проживающие непрерывно в месте постоянного жительства	893761.0	127784.0	500642.0	264768.0	567.0	14.2973345223	56.0151986941	29.624027005
с рождения	314767.0	93232.0	178808.0	42652.0	75.0	29.6193692477	56.8064631934	13.5503404105
не с рождения	554433.0	30325.0	307560.0	216441.0	107.0	5.46955177632	55.4728885185	39.0382607096
в том числе:								
с 1992-2002 года	141307.0	23224.0	84287.0	33768.0	28.0	16.435137679	59.6481419887	23.8969053196
с 1989-1991 года	36228.0	3751.0	25454.0	7012.0	11.0	10.3538699349	70.2605719333	19.3551948769
с 1988 года и ранее	371540.0	2173.0	195158.0	174147.0	62.0	0.584863002638	52.5267804274	46.8716692685
год не указан	5358.0	1177.0	2661.0	1514.0	6.0	21.9671519224	49.6640537514	28.2568122434
не указавшие непрерывность проживания в месте постоянного жительства	24561.0	4227.0	14274.0	5675.0	385.0	17.2102113106	58.1165262001	23.1057367371
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	1085040.0	173628.0	668292.0	242436.0	684.0	16.00199071	61.5914620659	22.3435080734
с рождения	420082.0	128053.0	257890.0	34048.0	91.0	30.4828581087	61.3903952086	8.10508424546
не с рождения	625511.0	38657.0	385312.0	201436.0	106.0	6.18006717708	61.5995562028	32.2034304752
в том числе:								
с 1992-2002 года	160358.0	29047.0	103966.0	27326.0	19.0	18.1138452712	64.8336846306	17.0406216091
с 1989-1991 года	42424.0	5059.0	31350.0	6005.0	10.0	11.9248538563	73.8968508391	14.1547237413
с 1988 года и ранее	416650.0	3177.0	246502.0	166900.0	71.0	0.76251050042	59.1628465139	40.0576023041
год не указан	6079.0	1374.0	3494.0	1205.0	6.0	22.6024017108	57.4765586445	19.8223392005
не указавшие непрерывность проживания в месте постоянного жительства	39447.0	6918.0	25090.0	6952.0	487.0	17.5374553198	63.6043298603	17.6236469187
Мужчины, проживающие непрерывно в месте постоянного жительства	488408.0	88522.0	327430.0	72146.0	310.0	18.1246007436	67.0402614208	14.7716663118
с рождения	204671.0	65497.0	129202.0	9936.0	36.0	32.0011139829	63.126676471	4.85462034191
не с рождения	264904.0	19504.0	185274.0	60077.0	49.0	7.36266723039	69.9400537553	22.6787817473
в том числе:								
с 1992-2002 года	73993.0	14466.0	51841.0	7675.0	11.0	19.5504980201	70.062032895	10.3726028138
с 1989-1991 года	19298.0	2622.0	14842.0	1834.0	-	13.5869001969	76.909524303	9.50357550005
с 1988 года и ранее	168830.0	1682.0	116865.0	50245.0	38.0	0.996268435705	69.2205176805	29.7607060357
год не указан	2783.0	734.0	1726.0	323.0	-	26.3744160977	62.0194035214	11.6061803809
не указавшие непрерывность проживания в месте постоянного жительства	18833.0	3521.0	12954.0	2133.0	225.0	18.6959061222	68.7835182924	11.3258641746
